2#app#app25#app2545/j  0.633 0.672  0.633 0.517  0.633 0.362  0.633 0.208  0.491 0.195  0.474 0.057  0.474 -0.098  0.345 -0.123  0.315 -0.248  0.229 -0.367  0.156 -0.491  0.156 -0.646  0.114 -0.759  -0.003 -0.796  -0.036 -0.918  -0.162 -0.947  -0.187 -1.077  -0.342 -1.077  -0.496 -1.077  -0.639 -1.065  -0.647 -0.918  -0.798 -0.915  -0.798 -0.760  -0.798 -0.606  -0.947 -0.600  -0.957 -0.455  -1.098 -0.441  -0.980 -0.441  -0.825 -0.441  -0.670 -0.441  -0.639 -0.318  -0.520 -0.282  -0.365 -0.282  -0.263 -0.188  -0.182 -0.056  -0.101 0.075  -0.020 0.207  0.061 0.339  0.142 0.471  0.223 0.602  0.304 0.734  0.385 0.866  0.466 0.998  0.547 1.129  0.628 1.261  0.710 1.393  0.791 1.525  0.872 1.656  0.955 1.784  1.109 1.784
2#lav#lav2#mp_0005/j  -0.472 -0.119  -0.385 0.043  -0.242 0.163  -0.134 0.315  -0.029 0.469  0.072 0.627  0.171 0.785  0.249 0.954  0.289 1.134  0.323 1.308  0.300 1.122  0.268 0.939  0.226 0.756  0.208 0.571  0.193 0.384  0.171 0.199  0.144 0.014  0.111 -0.170  0.070 -0.352  0.029 -0.535  -0.022 -0.714  -0.074 -0.894  -0.155 -1.061  -0.247 -1.224  -0.351 -1.380  -0.453 -1.536  -0.537 -1.703  -0.552 -1.579  -0.605 -1.401  -0.660 -1.223  -0.718 -1.045  -0.686 -0.920  -0.504 -0.880  -0.317 -0.878  -0.137 -0.828  -0.074 -0.661  -0.022 -0.481  0.029 -0.302  0.080 -0.122  0.131 0.058  0.183 0.238  0.234 0.417  0.285 0.597  0.336 0.777  0.387 0.957  0.439 1.136  0.490 1.316  0.541 1.496  0.641 1.589  0.778 1.642
2#tos#t2#t2032064/j  0.661 1.880  0.614 1.742  0.568 1.603  0.472 1.458  0.348 1.320  0.225 1.182  0.101 1.044  -0.022 0.906  -0.145 0.768  -0.269 0.630  -0.383 0.528  -0.348 0.528  -0.183 0.575  -0.044 0.621  0.122 0.668  0.300 0.697  0.470 0.761  0.474 0.767  0.474 0.582  0.402 0.419  0.335 0.259  0.335 0.074  0.212 -0.061  0.148 -0.227  0.144 -0.412  0.012 -0.498  0.008 -0.679  -0.020 -0.852  -0.085 -1.010  -0.132 -1.176  -0.156 -1.337  -0.248 -1.430  -0.433 -1.430  -0.598 -1.410  -0.738 -1.365  -0.816 -1.212  -0.878 -1.053  -0.875 -0.871  -0.763 -0.781  -0.664 -0.647  -0.539 -0.544  -0.370 -0.503  -0.263 -0.358  -0.093 -0.319  0.068 -0.260  0.247 -0.218  0.339 -0.125  0.521 -0.122  0.662 -0.078  0.801 -0.031
3#kai#kai1#jhkim5/j  -0.084 0.440  0.051 0.530  0.167 0.643  0.264 0.772  0.354 0.907  0.434 1.048  0.511 1.190  0.581 1.331  0.598 1.490  0.590 1.523  0.514 1.381  0.463 1.227  0.412 1.073  0.338 0.931  0.296 0.781  0.262 0.624  0.248 0.465  0.205 0.310  0.201 0.148  0.171 -0.010  0.114 -0.161  0.049 -0.309  0.011 -0.466  0.011 -0.629  -0.066 -0.767  -0.115 -0.920  -0.131 -1.080  -0.168 -1.237  -0.210 -1.393  -0.256 -1.548  -0.375 -1.635  -0.515 -1.583  -0.619 -1.463  -0.685 -1.316  -0.737 -1.162  -0.749 -1.002  -0.748 -0.840  -0.698 -0.686  -0.658 -0.529  -0.575 -0.391  -0.464 -0.273  -0.364 -0.146  -0.261 -0.022  -0.142 0.088  -0.013 0.185  0.117 0.282  0.241 0.386  0.358 0.498  0.491 0.590  0.581 0.725
2#apb#apb33#app3354/j  0.708 0.507  0.546 0.560  0.356 0.568  0.169 0.568  0.002 0.559  -0.166 0.507  -0.148 0.482  0.018 0.577  0.183 0.673  0.354 0.758  0.502 0.878  0.675 0.960  0.824 1.074  0.953 1.213  0.940 1.167  0.856 0.996  0.746 0.839  0.634 0.683  0.507 0.541  0.407 0.378  0.300 0.219  0.202 0.054  0.108 -0.113  0.012 -0.278  -0.096 -0.433  -0.230 -0.569  -0.354 -0.715  -0.479 -0.860  -0.617 -0.993  -0.739 -1.137  -0.883 -1.263  -1.016 -1.400  -1.166 -1.504  -1.259 -1.395  -1.206 -1.211  -1.123 -1.039  -1.016 -0.880  -0.891 -0.735  -0.739 -0.619  -0.597 -0.492  -0.437 -0.388  -0.277 -0.283  -0.105 -0.200  0.043 -0.079  0.192 0.043  0.361 0.130  0.521 0.230  0.665 0.356  0.802 0.486  0.959 0.578
1c#apb#apb14#app1422/j  0.577 0.661  0.577 0.796  0.606 0.917  0.710 0.881  0.742 0.750  0.766 0.617  0.756 0.484  0.728 0.352  0.699 0.220  0.654 0.092  0.610 -0.035  0.562 -0.161  0.506 -0.285  0.450 -0.408  0.393 -0.530  0.314 -0.640  0.236 -0.750  0.157 -0.860  0.064 -0.956  -0.038 -1.045  -0.141 -1.133  -0.263 -1.190  -0.386 -1.248  -0.518 -1.259  -0.652 -1.253  -0.768 -1.184  -0.864 -1.093  -0.912 -0.973  -0.908 -0.839  -0.846 -0.719  -0.783 -0.599  -0.721 -0.479  -0.658 -0.360  -0.596 -0.240  -0.533 -0.120  -0.471 -0.000  -0.408 0.120  -0.346 0.240  -0.283 0.359  -0.221 0.479  -0.158 0.599  -0.096 0.719  -0.033 0.839  0.029 0.959  0.092 1.078  0.155 1.198  0.217 1.318  0.280 1.438  0.342 1.558  0.380 1.684
1c#app#app06#app0688/j  0.282 0.749  0.282 0.620  0.282 0.492  0.282 0.364  0.268 0.237  0.237 0.112  0.217 -0.014  0.217 -0.142  0.217 -0.271  0.217 -0.399  0.217 -0.528  0.217 -0.656  0.217 -0.785  0.217 -0.913  0.217 -1.042  0.149 -1.142  0.091 -1.257  0.049 -1.369  -0.069 -1.395  -0.197 -1.395  -0.300 -1.333  -0.391 -1.242  -0.435 -1.132  -0.492 -1.017  -0.534 -0.905  -0.563 -0.788  -0.563 -0.660  -0.563 -0.531  -0.550 -0.408  -0.498 -0.301  -0.498 -0.173  -0.396 -0.124  -0.332 -0.015  -0.280 0.102  -0.228 0.219  -0.176 0.337  -0.123 0.454  -0.071 0.571  -0.019 0.689  0.033 0.806  0.085 0.924  0.137 1.041  0.190 1.158  0.242 1.276  0.294 1.393  0.346 1.511  0.398 1.628  0.507 1.659  0.562 1.744  0.607 1.854
3#kai#kai1#kclee4/j  -0.058 0.277  0.073 0.364  0.195 0.462  0.325 0.543  0.444 0.642  0.555 0.753  0.665 0.862  0.616 0.713  0.573 0.561  0.527 0.411  0.481 0.261  0.443 0.108  0.395 -0.042  0.340 -0.189  0.296 -0.340  0.234 -0.484  0.163 -0.624  0.093 -0.765  0.023 -0.906  -0.062 -1.038  -0.158 -1.161  -0.281 -1.259  -0.394 -1.369  -0.528 -1.442  -0.683 -1.434  -0.797 -1.338  -0.862 -1.195  -0.927 -1.052  -0.955 -0.902  -0.955 -0.744  -0.909 -0.598  -0.885 -0.446  -0.780 -0.328  -0.676 -0.211  -0.571 -0.093  -0.467 0.024  -0.362 0.142  -0.258 0.260  -0.153 0.377  -0.049 0.495  0.056 0.612  0.160 0.730  0.265 0.847  0.369 0.965  0.474 1.083  0.579 1.200  0.683 1.318  0.795 1.406  0.936 1.338  1.011 1.208
3#kai#kai1#kclee4/j  -0.176 0.198  -0.031 0.270  0.068 0.397  0.195 0.496  0.300 0.619  0.394 0.751  0.470 0.892  0.513 1.031  0.433 0.891  0.409 0.733  0.375 0.575  0.365 0.414  0.339 0.254  0.325 0.093  0.299 -0.065  0.299 -0.227  0.253 -0.382  0.209 -0.538  0.161 -0.693  0.137 -0.849  0.061 -0.991  0.010 -1.144  -0.046 -1.296  -0.128 -1.435  -0.243 -1.549  -0.372 -1.628  -0.517 -1.571  -0.614 -1.444  -0.646 -1.285  -0.687 -1.129  -0.687 -0.967  -0.687 -0.805  -0.640 -0.653  -0.570 -0.507  -0.500 -0.360  -0.430 -0.214  -0.360 -0.068  -0.290 0.079  -0.220 0.225  -0.151 0.371  -0.081 0.518  -0.011 0.664  0.059 0.810  0.129 0.957  0.199 1.103  0.269 1.249  0.339 1.396  0.409 1.542  0.478 1.688  0.591 1.585
2#app#app07#app0798/j  0.094 0.957  0.094 0.825  0.094 0.693  0.147 0.583  0.203 0.473  0.253 0.353  0.307 0.243  0.352 0.121  0.388 -0.003  0.423 -0.127  0.466 -0.249  0.466 -0.381  0.466 -0.513  0.466 -0.645  0.466 -0.778  0.466 -0.910  0.452 -1.039  0.413 -1.162  0.325 -1.257  0.222 -1.329  0.090 -1.329  -0.043 -1.329  -0.153 -1.275  -0.263 -1.222  -0.373 -1.169  -0.468 -1.109  -0.511 -0.990  -0.526 -0.874  -0.497 -0.744  -0.468 -0.615  -0.440 -0.486  -0.411 -0.357  -0.382 -0.228  -0.353 -0.099  -0.325 0.030  -0.296 0.159  -0.267 0.288  -0.239 0.417  -0.210 0.546  -0.181 0.675  -0.153 0.804  -0.124 0.933  -0.095 1.063  -0.067 1.192  -0.038 1.321  -0.009 1.450  0.019 1.579  0.048 1.708  0.077 1.837  0.094 1.967
2#tos#f2#f2038066/j  0.131 1.595  0.049 1.595  -0.009 1.539  -0.035 1.468  -0.005 1.399  0.031 1.347  0.112 1.347  0.146 1.290  0.174 1.219  0.179 1.137  0.183 1.056  0.187 0.974  0.192 0.893  0.196 0.811  0.200 0.730  0.204 0.649  0.209 0.567  0.213 0.486  0.150 0.443  0.131 0.374  0.131 0.292  0.131 0.210  0.131 0.129  0.131 0.047  0.131 -0.034  0.131 -0.116  0.131 -0.198  0.131 -0.279  0.131 -0.361  0.131 -0.442  0.131 -0.524  0.131 -0.606  0.131 -0.687  0.118 -0.767  0.092 -0.844  0.066 -0.922  0.048 -1.000  0.032 -1.075  -0.026 -1.133  -0.103 -1.143  -0.148 -1.202  -0.215 -1.226  -0.297 -1.226  -0.378 -1.226  -0.450 -1.216  -0.495 -1.162  -0.561 -1.116  -0.616 -1.057  -0.659 -1.018  -0.741 -1.018
3#app#app11#app1162/j  -0.119 1.842  -0.119 1.757  -0.119 1.673  -0.119 1.589  -0.119 1.504  -0.119 1.420  -0.119 1.336  -0.119 1.251  -0.106 1.170  -0.068 1.095  -0.038 1.017  -0.033 0.934  -0.013 0.852  0.008 0.770  0.028 0.688  0.043 0.606  0.055 0.524  0.093 0.449  0.124 0.372  0.124 0.287  0.124 0.203  0.135 0.121  0.173 0.046  0.205 -0.031  0.205 -0.115  0.205 -0.200  0.216 -0.281  0.253 -0.357  0.286 -0.434  0.286 -0.518  0.286 -0.602  0.286 -0.687  0.286 -0.771  0.286 -0.855  0.252 -0.906  0.205 -0.943  0.205 -1.028  0.161 -1.068  0.124 -1.115  0.073 -1.149  -0.011 -1.149  -0.096 -1.149  -0.180 -1.149  -0.257 -1.120  -0.333 -1.082  -0.414 -1.068  -0.482 -1.028  -0.541 -0.968  -0.601 -0.909  -0.604 -0.826
2#app#app40#app4055/j  0.179 0.624  0.179 0.757  0.179 0.629  0.179 0.495  0.268 0.399  0.315 0.285  0.361 0.171  0.451 0.075  0.451 -0.058  0.451 -0.191  0.451 -0.324  0.451 -0.457  0.451 -0.590  0.451 -0.723  0.451 -0.856  0.365 -0.954  0.315 -1.066  0.255 -1.139  0.122 -1.139  0.044 -1.194  -0.009 -1.274  -0.142 -1.274  -0.275 -1.274  -0.408 -1.274  -0.498 -1.232  -0.498 -1.099  -0.498 -0.966  -0.491 -0.833  -0.462 -0.704  -0.433 -0.574  -0.404 -0.444  -0.375 -0.314  -0.346 -0.184  -0.318 -0.054  -0.289 0.076  -0.260 0.206  -0.231 0.336  -0.202 0.466  -0.173 0.595  -0.144 0.725  -0.116 0.855  -0.087 0.985  -0.058 1.115  -0.029 1.245  -0.000 1.375  0.029 1.505  0.044 1.636  0.044 1.769  0.085 1.885  0.179 1.979
3#apa#apa09#app0944/j  0.143 0.985  0.050 1.076  0.074 0.949  0.149 0.838  0.223 0.726  0.286 0.608  0.345 0.488  0.405 0.368  0.465 0.248  0.525 0.128  0.585 0.008  0.621 -0.119  0.643 -0.252  0.665 -0.384  0.687 -0.516  0.676 -0.643  0.616 -0.763  0.556 -0.883  0.496 -1.003  0.436 -1.123  0.327 -1.189  0.202 -1.239  0.078 -1.289  -0.047 -1.337  -0.178 -1.323  -0.306 -1.280  -0.423 -1.227  -0.483 -1.107  -0.499 -0.979  -0.485 -0.846  -0.472 -0.713  -0.458 -0.579  -0.444 -0.446  -0.430 -0.313  -0.416 -0.179  -0.403 -0.046  -0.389 0.087  -0.375 0.221  -0.361 0.354  -0.347 0.487  -0.334 0.621  -0.320 0.754  -0.306 0.887  -0.292 1.021  -0.278 1.154  -0.265 1.287  -0.251 1.421  -0.237 1.554  -0.229 1.688  -0.229 1.822
2#apb#apb18#app1813/j  0.517 1.212  0.517 1.084  0.507 0.956  0.492 0.829  0.476 0.702  0.473 0.574  0.469 0.446  0.466 0.317  0.463 0.189  0.468 0.061  0.475 -0.067  0.482 -0.194  0.489 -0.322  0.497 -0.450  0.505 -0.578  0.513 -0.706  0.517 -0.834  0.517 -0.962  0.517 -1.090  0.486 -1.213  0.398 -1.275  0.270 -1.281  0.145 -1.266  0.027 -1.217  -0.091 -1.168  -0.204 -1.108  -0.314 -1.042  -0.424 -0.976  -0.534 -0.910  -0.533 -0.787  -0.523 -0.659  -0.513 -0.531  -0.503 -0.404  -0.494 -0.276  -0.484 -0.148  -0.474 -0.020  -0.464 0.107  -0.454 0.235  -0.444 0.363  -0.435 0.491  -0.425 0.618  -0.415 0.746  -0.405 0.874  -0.395 1.002  -0.385 1.129  -0.376 1.257  -0.366 1.385  -0.356 1.513  -0.346 1.640  -0.325 1.755
3#apa#apa12#app1298/j  0.428 1.169  0.428 1.025  0.428 0.881  0.428 0.736  0.428 0.592  0.428 0.447  0.452 0.313  0.521 0.197  0.521 0.052  0.521 -0.092  0.521 -0.237  0.521 -0.381  0.434 -0.489  0.428 -0.632  0.336 -0.684  0.336 -0.828  0.243 -0.880  0.196 -1.005  0.151 -1.130  0.058 -1.182  -0.034 -1.234  -0.179 -1.234  -0.312 -1.223  -0.375 -1.142  -0.427 -1.050  -0.571 -1.050  -0.613 -0.933  -0.729 -0.865  -0.781 -0.772  -0.866 -0.713  -0.812 -0.582  -0.742 -0.456  -0.672 -0.330  -0.602 -0.203  -0.532 -0.077  -0.461 0.049  -0.391 0.175  -0.321 0.302  -0.251 0.428  -0.181 0.554  -0.111 0.680  -0.041 0.807  0.030 0.933  0.100 1.059  0.170 1.185  0.240 1.312  0.310 1.438  0.380 1.564  0.450 1.690  0.521 1.817
2#tos#f3#f3067059/j  -0.241 0.626  -0.110 0.587  0.039 0.648  0.191 0.725  0.350 0.786  0.489 0.861  0.597 0.978  0.551 0.900  0.448 0.790  0.368 0.640  0.276 0.496  0.189 0.350  0.161 0.182  0.085 0.035  -0.014 -0.102  -0.068 -0.264  -0.104 -0.430  -0.140 -0.596  -0.194 -0.758  -0.266 -0.912  -0.281 -1.079  -0.322 -1.237  -0.359 -1.396  -0.359 -1.567  -0.373 -1.723  -0.485 -1.628  -0.515 -1.465  -0.515 -1.294  -0.515 -1.124  -0.515 -0.953  -0.430 -0.823  -0.303 -0.752  -0.153 -0.689  -0.007 -0.608  0.128 -0.514  0.226 -0.427  0.217 -0.257  0.209 -0.087  0.200 0.084  0.191 0.254  0.182 0.424  0.173 0.594  0.165 0.765  0.156 0.935  0.147 1.105  0.138 1.275  0.129 1.446  0.120 1.616  0.112 1.786  0.033 1.800
3#apa#apa02#app0247/j  0.142 0.702  0.254 0.733  0.254 0.753  0.318 0.638  0.365 0.515  0.365 0.374  0.426 0.246  0.476 0.117  0.476 -0.025  0.476 -0.167  0.476 -0.309  0.476 -0.450  0.476 -0.592  0.405 -0.704  0.365 -0.829  0.283 -0.937  0.254 -1.066  0.129 -1.091  0.028 -1.190  -0.114 -1.190  -0.255 -1.190  -0.397 -1.190  -0.539 -1.190  -0.680 -1.190  -0.822 -1.190  -0.859 -1.085  -0.801 -0.957  -0.740 -0.829  -0.679 -0.701  -0.618 -0.573  -0.557 -0.446  -0.496 -0.318  -0.434 -0.190  -0.373 -0.062  -0.312 0.066  -0.251 0.194  -0.190 0.321  -0.129 0.449  -0.068 0.577  -0.006 0.705  0.055 0.833  0.116 0.960  0.177 1.088  0.238 1.216  0.299 1.344  0.360 1.472  0.476 1.501  0.426 1.592  0.365 1.673  0.365 1.592
1c#tos#f1#f1041060/j  0.347 0.289  0.347 0.164  0.347 0.040  0.347 -0.085  0.347 -0.209  0.347 -0.334  0.347 -0.458  0.337 -0.581  0.291 -0.697  0.276 -0.818  0.276 -0.943  0.215 -1.042  0.170 -1.148  0.115 -1.232  0.053 -1.333  -0.072 -1.333  -0.196 -1.333  -0.321 -1.333  -0.445 -1.333  -0.444 -1.230  -0.420 -1.108  -0.396 -0.986  -0.372 -0.864  -0.347 -0.742  -0.323 -0.620  -0.299 -0.498  -0.275 -0.375  -0.251 -0.253  -0.227 -0.131  -0.203 -0.009  -0.178 0.113  -0.154 0.235  -0.130 0.357  -0.106 0.479  -0.082 0.602  -0.058 0.724  -0.034 0.846  -0.009 0.968  0.015 1.090  0.039 1.212  0.063 1.334  0.087 1.457  0.111 1.579  0.135 1.697  0.115 1.593  0.100 1.483  0.100 1.359  0.100 1.234  0.146 1.148  0.170 1.029
