3#apa#apa09#app0948/k  -0.265 1.328  -0.326 1.511  -0.387 1.694  -0.408 1.635  -0.408 1.442  -0.408 1.249  -0.408 1.056  -0.408 0.863  -0.408 0.671  -0.408 0.478  -0.408 0.285  -0.408 0.092  -0.408 -0.101  -0.408 -0.294  -0.408 -0.486  -0.408 -0.679  -0.408 -0.872  -0.408 -1.065  -0.408 -1.258  -0.444 -1.363  -0.552 -1.215  -0.552 -1.022  -0.529 -0.831  -0.497 -0.641  -0.466 -0.451  -0.434 -0.261  -0.388 -0.076  -0.281 0.084  -0.174 0.245  -0.040 0.378  0.121 0.485  0.281 0.592  0.465 0.642  0.654 0.680  0.843 0.717  1.027 0.749  1.027 0.556  1.027 0.363  1.021 0.173  0.884 0.037  0.748 -0.100  0.612 -0.236  0.475 -0.372  0.364 -0.529  0.257 -0.689  0.166 -0.854  0.222 -1.024  0.374 -1.134  0.557 -1.195  0.740 -1.256
3#apa#apa09#app0948/e  -0.524 -0.397  -0.524 -0.230  -0.608 -0.146  -0.775 -0.146  -0.657 -0.264  -0.539 -0.383  -0.378 -0.397  -0.210 -0.397  -0.043 -0.397  0.125 -0.397  0.289 -0.378  0.448 -0.325  0.607 -0.272  0.766 -0.219  0.925 -0.166  0.984 -0.041  0.994 0.124  1.068 0.274  1.143 0.424  1.218 0.574  1.145 0.699  1.026 0.818  0.908 0.936  0.789 1.055  0.645 1.111  0.478 1.111  0.310 1.111  0.143 1.111  -0.025 1.111  -0.192 1.111  -0.321 1.039  -0.414 0.899  -0.507 0.760  -0.600 0.621  -0.693 0.481  -0.776 0.339  -0.776 0.171  -0.776 0.004  -0.770 -0.163  -0.717 -0.322  -0.664 -0.481  -0.611 -0.639  -0.558 -0.798  -0.497 -0.954  -0.423 -1.104  -0.348 -1.254  -0.273 -1.403  -0.105 -1.403  0.062 -1.403  0.230 -1.403
3#apa#apa09#app0948/w  -0.738 0.772  -0.860 0.772  -0.934 0.705  -0.972 0.590  -1.011 0.474  -1.049 0.359  -1.086 0.243  -1.086 0.121  -1.086 -0.001  -1.086 -0.122  -1.086 -0.244  -1.086 -0.366  -1.086 -0.488  -1.086 -0.609  -0.973 -0.619  -0.852 -0.619  -0.734 -0.612  -0.666 -0.511  -0.598 -0.410  -0.531 -0.308  -0.463 -0.207  -0.396 -0.106  -0.311 -0.018  -0.225 0.068  -0.139 0.154  -0.053 0.240  -0.043 0.143  -0.004 0.037  0.082 -0.049  0.169 -0.135  0.255 -0.221  0.353 -0.287  0.469 -0.326  0.584 -0.364  0.700 -0.403  0.815 -0.441  0.936 -0.445  1.041 -0.404  1.127 -0.318  1.192 -0.219  1.230 -0.103  1.269 0.012  1.307 0.128  1.346 0.243  1.312 0.359  1.273 0.474  1.235 0.590  1.196 0.705  1.174 0.824  1.174 0.945
3#apa#apa09#app0948/i  -0.094 -0.413  -0.152 -0.297  -0.210 -0.180  -0.269 -0.063  -0.273 0.066  -0.202 0.125  -0.094 0.103  -0.094 -0.028  -0.127 -0.153  -0.168 -0.277  -0.209 -0.401  -0.250 -0.524  -0.273 -0.651  -0.273 -0.782  -0.273 -0.912  -0.273 -1.043  -0.244 -1.161  -0.151 -1.254  -0.045 -1.311  0.086 -1.311  0.178 -1.219  0.272 -1.129  0.388 -1.070  0.505 -1.012  0.622 -0.954  0.625 -0.825  0.596 -0.700  0.547 -0.579  0.499 -0.457  0.450 -0.336  0.402 -0.215  0.353 -0.094  0.305 0.027  0.256 0.149  0.208 0.270  0.159 0.391  0.111 0.512  0.062 0.634  0.014 0.755  -0.035 0.876  -0.083 0.997  -0.132 1.118  -0.180 1.240  -0.229 1.361  -0.277 1.482  -0.326 1.603  -0.374 1.725  -0.423 1.846  -0.453 1.971  -0.453 2.101
3#apa#apa09#app0948/t  0.153 1.842  0.153 1.999  0.087 1.877  0.016 1.736  -0.015 1.586  -0.015 1.428  -0.015 1.271  -0.031 1.116  -0.074 0.964  -0.117 0.813  -0.161 0.661  -0.204 0.510  -0.247 0.359  -0.290 0.207  -0.334 0.056  -0.349 -0.100  -0.349 -0.257  -0.349 -0.415  -0.349 -0.572  -0.349 -0.730  -0.349 -0.887  -0.349 -1.045  -0.349 -1.202  -0.327 -1.338  -0.170 -1.338  -0.012 -1.338  0.145 -1.338  0.153 -1.188  0.286 -1.126  0.435 -1.076  0.584 -1.027  0.692 -0.929  0.763 -0.788  0.802 -0.655  0.671 -0.568  0.540 -0.480  0.409 -0.393  0.278 -0.306  0.147 -0.218  0.016 -0.131  -0.115 -0.044  -0.236 0.056  -0.348 0.167  -0.459 0.278  -0.440 0.336  -0.286 0.357  -0.137 0.406  0.013 0.456  0.163 0.503  0.320 0.503
3#apa#apa09#app0948/h  -0.503 1.507  -0.503 1.628  -0.503 1.749  -0.503 1.773  -0.501 1.652  -0.481 1.532  -0.461 1.412  -0.441 1.293  -0.421 1.173  -0.402 1.054  -0.382 0.934  -0.362 0.814  -0.342 0.695  -0.322 0.575  -0.302 0.456  -0.282 0.336  -0.262 0.216  -0.242 0.097  -0.222 -0.023  -0.202 -0.142  -0.188 -0.263  -0.188 -0.384  -0.188 -0.505  -0.188 -0.626  -0.188 -0.748  -0.188 -0.869  -0.188 -0.990  -0.188 -1.111  -0.168 -1.109  -0.130 -0.994  -0.092 -0.879  -0.053 -0.764  -0.003 -0.655  0.064 -0.554  0.132 -0.453  0.199 -0.352  0.266 -0.251  0.364 -0.185  0.472 -0.130  0.581 -0.076  0.631 -0.163  0.669 -0.278  0.707 -0.393  0.746 -0.508  0.756 -0.628  0.756 -0.749  0.756 -0.870  0.756 -0.992  0.828 -1.083  0.913 -1.169
3#apa#apa09#app0948/f  0.278 1.447  0.278 1.600  0.277 1.751  0.135 1.718  0.016 1.622  -0.103 1.527  -0.223 1.431  -0.337 1.331  -0.406 1.195  -0.432 1.048  -0.432 0.895  -0.413 0.744  -0.383 0.594  -0.353 0.444  -0.296 0.314  -0.159 0.246  -0.044 0.147  0.064 0.039  0.172 -0.069  0.280 -0.177  0.407 -0.262  0.535 -0.347  0.625 -0.464  0.694 -0.601  0.762 -0.738  0.753 -0.880  0.705 -1.025  0.607 -1.127  0.469 -1.193  0.321 -1.230  0.173 -1.267  0.023 -1.291  -0.130 -1.291  -0.267 -1.253  -0.273 -1.161  -0.136 -1.093  -0.168 -0.952  -0.212 -0.805  -0.256 -0.659  -0.300 -0.512  -0.344 -0.366  -0.388 -0.219  -0.433 -0.073  -0.533 0.038  -0.470 0.128  -0.317 0.128  -0.164 0.128  -0.012 0.133  0.133 0.181  0.278 0.230
3#apa#apa09#app0948/r  0.157 0.075  0.038 0.075  -0.081 0.075  -0.146 0.021  -0.146 -0.099  -0.146 -0.218  -0.146 -0.337  -0.146 -0.457  -0.146 -0.576  -0.146 -0.695  -0.146 -0.815  -0.146 -0.934  -0.146 -1.053  -0.146 -1.173  -0.146 -1.292  -0.146 -1.411  -0.208 -1.381  -0.292 -1.297  -0.377 -1.213  -0.450 -1.124  -0.450 -1.004  -0.450 -0.885  -0.450 -0.766  -0.450 -0.646  -0.450 -0.527  -0.450 -0.408  -0.450 -0.289  -0.450 -0.169  -0.450 -0.050  -0.450 0.069  -0.387 0.170  -0.321 0.269  -0.254 0.368  -0.188 0.467  -0.122 0.567  -0.056 0.666  0.010 0.765  0.077 0.864  0.143 0.964  0.241 1.027  0.347 1.081  0.454 1.134  0.561 1.187  0.667 1.241  0.775 1.289  0.895 1.289  1.014 1.289  1.133 1.289  1.252 1.289  1.372 1.289
3#apa#apa09#app0948/a  1.095 0.592  0.979 0.709  0.862 0.826  0.733 0.914  0.568 0.914  0.403 0.914  0.238 0.914  0.073 0.914  -0.092 0.914  -0.238 0.867  -0.355 0.750  -0.472 0.634  -0.588 0.517  -0.705 0.400  -0.822 0.283  -0.939 0.167  -1.055 0.050  -1.156 -0.073  -1.156 -0.239  -1.156 -0.404  -1.156 -0.569  -1.156 -0.734  -1.156 -0.899  -1.113 -0.994  -0.965 -0.920  -0.817 -0.846  -0.670 -0.772  -0.522 -0.699  -0.403 -0.585  -0.287 -0.468  -0.170 -0.351  -0.053 -0.234  0.064 -0.118  0.180 -0.001  0.297 0.116  0.414 0.233  0.452 0.382  0.452 0.547  0.452 0.473  0.452 0.307  0.523 0.164  0.615 0.027  0.706 -0.111  0.798 -0.248  0.890 -0.386  0.981 -0.523  1.073 -0.660  1.183 -0.782  1.300 -0.899  1.417 -1.016
3#apa#apa09#app0948/n  -0.063 0.411  -0.213 0.411  -0.364 0.411  -0.463 0.326  -0.530 0.191  -0.598 0.057  -0.665 -0.078  -0.732 -0.213  -0.778 -0.353  -0.778 -0.504  -0.778 -0.655  -0.778 -0.805  -0.778 -0.956  -0.778 -1.107  -0.778 -1.258  -0.778 -1.349  -0.778 -1.199  -0.778 -1.048  -0.739 -0.903  -0.692 -0.760  -0.644 -0.617  -0.596 -0.474  -0.548 -0.331  -0.501 -0.188  -0.453 -0.045  -0.387 0.086  -0.280 0.193  -0.174 0.300  -0.067 0.406  0.040 0.513  0.146 0.620  0.253 0.726  0.359 0.833  0.466 0.939  0.573 1.046  0.690 1.127  0.841 1.127  0.992 1.127  1.011 0.996  1.011 0.845  1.011 0.694  1.011 0.543  1.011 0.392  1.011 0.242  1.011 0.091  1.011 -0.060  1.011 -0.211  1.011 -0.361  1.011 -0.512  1.011 -0.663
3#apa#apa09#app0948/t  0.580 1.904  0.469 1.793  0.387 1.662  0.325 1.518  0.263 1.373  0.201 1.229  0.140 1.085  0.078 0.940  0.016 0.796  -0.046 0.652  -0.096 0.503  -0.146 0.354  -0.195 0.205  -0.229 0.051  -0.260 -0.103  -0.291 -0.257  -0.322 -0.411  -0.352 -0.565  -0.360 -0.721  -0.360 -0.878  -0.360 -1.035  -0.360 -1.192  -0.249 -1.269  -0.100 -1.319  0.049 -1.368  0.187 -1.337  0.318 -1.250  0.449 -1.162  0.580 -1.075  0.691 -0.964  0.802 -0.853  0.872 -0.746  0.743 -0.656  0.614 -0.566  0.486 -0.476  0.357 -0.386  0.228 -0.295  0.100 -0.205  -0.029 -0.115  -0.158 -0.025  -0.286 0.065  -0.415 0.155  -0.544 0.245  -0.672 0.335  -0.674 0.491  -0.674 0.649  -0.674 0.806  -0.518 0.807  -0.361 0.807  -0.204 0.807
3#apa#apa09#app0948/i  -0.321 0.189  -0.321 0.313  -0.321 0.266  -0.321 0.142  -0.321 0.019  -0.321 -0.105  -0.321 -0.228  -0.321 -0.352  -0.321 -0.476  -0.321 -0.599  -0.321 -0.723  -0.321 -0.847  -0.321 -0.970  -0.321 -1.094  -0.321 -1.217  -0.249 -1.269  -0.129 -1.254  -0.018 -1.199  0.092 -1.144  0.200 -1.084  0.303 -1.015  0.406 -0.947  0.509 -0.878  0.612 -0.809  0.705 -0.729  0.793 -0.642  0.766 -0.540  0.704 -0.433  0.641 -0.326  0.579 -0.219  0.517 -0.113  0.455 -0.006  0.392 0.101  0.330 0.208  0.268 0.315  0.205 0.421  0.143 0.528  0.081 0.635  0.018 0.742  -0.044 0.848  -0.106 0.955  -0.168 1.062  -0.231 1.169  -0.293 1.276  -0.351 1.385  -0.407 1.495  -0.462 1.606  -0.483 1.724  -0.483 1.848  -0.483 1.972
3#apa#apa09#app0948/c  1.424 0.404  1.424 0.509  1.424 0.614  1.377 0.673  1.272 0.673  1.167 0.673  1.061 0.673  0.956 0.673  0.851 0.673  0.746 0.673  0.640 0.673  0.535 0.673  0.430 0.673  0.325 0.668  0.223 0.643  0.121 0.617  0.019 0.591  -0.084 0.566  -0.186 0.540  -0.288 0.515  -0.390 0.489  -0.492 0.464  -0.594 0.438  -0.696 0.413  -0.781 0.355  -0.855 0.281  -0.930 0.207  -1.002 0.131  -1.002 0.026  -1.002 -0.079  -0.975 -0.176  -0.916 -0.264  -0.858 -0.352  -0.799 -0.439  -0.741 -0.527  -0.683 -0.614  -0.624 -0.702  -0.566 -0.790  -0.507 -0.877  -0.438 -0.944  -0.332 -0.944  -0.227 -0.944  -0.122 -0.944  -0.017 -0.944  0.089 -0.944  0.194 -0.944  0.299 -0.944  0.405 -0.944  0.510 -0.944  0.615 -0.944
