3#apa#apa15#app1525/p  -0.217 0.371  -0.137 0.211  -0.057 0.051  -0.054 -0.127  -0.054 -0.306  -0.054 -0.484  -0.054 -0.663  -0.054 -0.842  -0.054 -1.021  -0.054 -1.200  -0.054 -1.379  -0.054 -1.557  -0.054 -1.736  -0.128 -1.603  -0.208 -1.443  -0.256 -1.271  -0.299 -1.097  -0.342 -0.924  -0.390 -0.752  -0.470 -0.592  -0.544 -0.431  -0.544 -0.252  -0.544 -0.073  -0.544 0.106  -0.568 0.281  -0.624 0.450  -0.681 0.620  -0.707 0.795  -0.627 0.941  -0.501 1.067  -0.372 1.187  -0.193 1.187  -0.014 1.187  0.165 1.187  0.344 1.187  0.523 1.187  0.701 1.187  0.815 1.081  0.895 0.921  1.004 0.782  1.088 0.638  1.035 0.481  0.909 0.355  0.782 0.228  0.628 0.141  0.468 0.061  0.293 0.045  0.122 -0.005  -0.048 -0.062  -0.217 -0.118
3#apa#apa15#app1525/(  0.179 1.715  0.179 1.638  0.176 1.561  0.121 1.507  0.067 1.452  0.028 1.390  0.028 1.312  0.022 1.236  0.003 1.161  -0.016 1.085  -0.035 1.010  -0.054 0.935  -0.072 0.860  -0.091 0.784  -0.110 0.709  -0.129 0.634  -0.148 0.559  -0.166 0.483  -0.185 0.408  -0.204 0.333  -0.223 0.258  -0.242 0.183  -0.261 0.107  -0.274 0.031  -0.274 -0.046  -0.274 -0.124  -0.274 -0.201  -0.267 -0.278  -0.252 -0.354  -0.237 -0.430  -0.222 -0.506  -0.207 -0.582  -0.191 -0.658  -0.176 -0.734  -0.161 -0.810  -0.146 -0.887  -0.131 -0.963  -0.096 -1.028  -0.041 -1.083  0.014 -1.138  0.085 -1.153  0.163 -1.153  0.240 -1.153  0.318 -1.153  0.395 -1.153  0.473 -1.153  0.550 -1.153  0.628 -1.153  0.705 -1.153  0.783 -1.153
3#apa#apa15#app1525/2  -0.795 0.707  -0.795 0.802  -0.795 0.898  -0.746 0.972  -0.678 1.040  -0.611 1.107  -0.529 1.138  -0.434 1.138  -0.338 1.138  -0.243 1.138  -0.148 1.138  -0.053 1.138  0.043 1.138  0.067 1.068  0.067 0.973  0.099 0.891  0.167 0.823  0.234 0.756  0.283 0.681  0.283 0.586  0.282 0.491  0.240 0.405  0.197 0.320  0.155 0.235  0.112 0.150  0.069 0.065  0.039 -0.025  0.009 -0.116  -0.022 -0.206  -0.052 -0.296  -0.082 -0.387  -0.112 -0.477  -0.142 -0.567  -0.148 -0.662  -0.148 -0.757  -0.148 -0.852  -0.148 -0.947  -0.131 -1.035  -0.064 -1.103  0.004 -1.170  0.073 -1.234  0.168 -1.234  0.263 -1.234  0.358 -1.234  0.454 -1.234  0.549 -1.234  0.644 -1.234  0.739 -1.234  0.835 -1.234  0.930 -1.234
3#apa#apa15#app1525/3  -0.566 0.593  -0.699 0.593  -0.763 0.662  -0.763 0.796  -0.763 0.929  -0.687 0.987  -0.566 0.998  -0.566 1.131  -0.485 1.184  -0.352 1.184  -0.219 1.184  -0.085 1.184  0.025 1.161  0.025 1.028  -0.004 0.899  -0.046 0.773  -0.088 0.647  -0.130 0.520  -0.172 0.394  -0.172 0.261  -0.243 0.199  -0.369 0.191  -0.369 0.058  -0.446 0.002  -0.552 0.002  -0.419 0.002  -0.286 0.002  -0.153 0.002  -0.020 0.002  0.114 0.002  0.247 0.002  0.380 0.002  0.485 -0.064  0.580 -0.158  0.652 -0.268  0.712 -0.387  0.772 -0.506  0.813 -0.630  0.813 -0.763  0.778 -0.890  0.736 -1.017  0.693 -1.143  0.651 -1.269  0.596 -1.383  0.470 -1.425  0.344 -1.467  0.217 -1.509  0.091 -1.551  -0.039 -1.573  -0.172 -1.573
3#apa#apa15#app1525/4  -1.157 0.912  -1.157 0.741  -1.157 0.570  -1.157 0.399  -1.157 0.228  -1.157 0.057  -1.157 -0.114  -1.049 -0.240  -0.920 -0.341  -0.749 -0.341  -0.625 -0.455  -0.493 -0.550  -0.322 -0.550  -0.151 -0.550  0.020 -0.550  0.191 -0.550  0.362 -0.550  0.512 -0.532  0.495 -0.362  0.478 -0.191  0.461 -0.021  0.444 0.149  0.427 0.319  0.410 0.489  0.393 0.659  0.376 0.829  0.359 1.000  0.342 1.170  0.325 1.340  0.308 1.510  0.305 1.396  0.305 1.225  0.305 1.054  0.305 0.883  0.305 0.712  0.305 0.541  0.305 0.370  0.305 0.199  0.305 0.028  0.305 -0.143  0.305 -0.314  0.305 -0.485  0.305 -0.656  0.305 -0.827  0.305 -0.998  0.305 -1.169  0.305 -1.340  0.361 -1.498  0.438 -1.650  0.514 -1.803
3#apa#apa15#app1525/)  -0.683 1.224  -0.683 1.302  -0.683 1.379  -0.683 1.328  -0.683 1.251  -0.683 1.173  -0.683 1.096  -0.652 1.036  -0.588 0.993  -0.524 0.950  -0.459 0.907  -0.395 0.864  -0.331 0.822  -0.267 0.779  -0.202 0.736  -0.144 0.685  -0.090 0.631  -0.035 0.576  0.019 0.522  0.074 0.467  0.129 0.412  0.168 0.348  0.192 0.275  0.216 0.201  0.241 0.128  0.265 0.055  0.290 -0.018  0.314 -0.092  0.345 -0.162  0.380 -0.231  0.414 -0.300  0.449 -0.369  0.483 -0.438  0.471 -0.511  0.446 -0.584  0.422 -0.657  0.397 -0.731  0.373 -0.804  0.349 -0.877  0.324 -0.950  0.300 -1.024  0.275 -1.097  0.251 -1.170  0.226 -1.243  0.202 -1.317  0.178 -1.390  0.151 -1.462  0.096 -1.516  0.042 -1.571  -0.013 -1.626
3#apa#apa15#app1525/5  0.577 1.007  0.577 1.128  0.525 1.196  0.404 1.196  0.283 1.196  0.162 1.196  0.041 1.196  -0.080 1.196  -0.201 1.196  -0.322 1.196  -0.422 1.145  -0.507 1.059  -0.559 0.960  -0.559 0.839  -0.559 0.718  -0.559 0.597  -0.559 0.476  -0.559 0.355  -0.570 0.239  -0.656 0.153  -0.741 0.068  -0.749 -0.050  -0.707 -0.129  -0.586 -0.129  -0.465 -0.129  -0.344 -0.129  -0.223 -0.129  -0.102 -0.129  0.019 -0.129  0.140 -0.129  0.261 -0.129  0.382 -0.129  0.469 -0.211  0.554 -0.296  0.640 -0.382  0.726 -0.467  0.767 -0.571  0.767 -0.692  0.715 -0.801  0.661 -0.909  0.607 -1.017  0.528 -1.101  0.420 -1.155  0.312 -1.209  0.203 -1.263  0.089 -1.302  -0.026 -1.341  -0.140 -1.379  -0.255 -1.417  -0.370 -1.455
3#apa#apa15#app1525/6  0.010 1.890  -0.148 1.890  -0.274 1.815  -0.385 1.703  -0.408 1.555  -0.431 1.401  -0.481 1.252  -0.531 1.102  -0.581 0.953  -0.617 0.801  -0.617 0.644  -0.617 0.486  -0.617 0.329  -0.617 0.171  -0.617 0.013  -0.617 -0.144  -0.617 -0.302  -0.617 -0.459  -0.617 -0.617  -0.617 -0.774  -0.543 -0.901  -0.431 -1.013  -0.284 -1.036  -0.134 -1.004  0.007 -0.933  0.148 -0.863  0.274 -0.772  0.386 -0.660  0.472 -0.531  0.542 -0.390  0.613 -0.249  0.683 -0.108  0.754 0.033  0.824 0.174  0.846 0.326  0.806 0.386  0.694 0.275  0.583 0.164  0.471 0.052  0.332 0.009  0.219 -0.036  0.219 -0.194  0.219 -0.351  0.219 -0.509  0.219 -0.666  0.219 -0.824  0.219 -0.981  0.322 -1.036  0.479 -1.036  0.637 -1.036
3#apa#apa15#app1525/7  -1.417 0.711  -1.327 0.711  -1.237 0.711  -1.147 0.711  -1.057 0.711  -0.968 0.711  -0.878 0.711  -0.788 0.711  -0.698 0.711  -0.608 0.711  -0.519 0.711  -0.429 0.711  -0.339 0.711  -0.249 0.711  -0.159 0.711  -0.070 0.711  0.020 0.711  0.110 0.711  0.200 0.711  0.290 0.711  0.379 0.711  0.469 0.711  0.477 0.629  0.477 0.539  0.477 0.449  0.477 0.360  0.477 0.270  0.477 0.180  0.477 0.090  0.477 0.000  0.477 -0.089  0.477 -0.179  0.462 -0.266  0.422 -0.346  0.382 -0.426  0.342 -0.506  0.302 -0.587  0.288 -0.673  0.288 -0.763  0.288 -0.853  0.288 -0.943  0.288 -1.032  0.288 -1.122  0.288 -1.212  0.288 -1.302  0.288 -1.392  0.288 -1.481  0.288 -1.571  0.288 -1.661  0.288 -1.751
3#apa#apa15#app1525/  1.346 -0.689  1.311 -0.619  1.276 -0.549  1.241 -0.479  1.206 -0.409  1.171 -0.340  1.136 -0.270  1.101 -0.200  1.066 -0.130  1.031 -0.060  0.996 0.010  0.961 0.080  0.927 0.149  0.892 0.219  0.857 0.289  0.814 0.346  0.735 0.346  0.657 0.346  0.579 0.346  0.501 0.346  0.423 0.346  0.345 0.346  0.269 0.332  0.195 0.307  0.121 0.282  0.047 0.258  -0.027 0.233  -0.101 0.208  -0.175 0.183  -0.250 0.159  -0.324 0.134  -0.398 0.109  -0.472 0.085  -0.546 0.060  -0.620 0.035  -0.694 0.011  -0.768 -0.014  -0.842 -0.039  -0.916 -0.063  -0.990 -0.088  -1.065 -0.113  -1.139 -0.138  -1.213 -0.162  -1.289 -0.172  -1.367 -0.172  -1.445 -0.172  -1.524 -0.172  -1.602 -0.172  -1.680 -0.172  -1.758 -0.172
3#apa#apa15#app1525/8  0.442 0.527  0.442 0.706  0.442 0.886  0.353 1.029  0.222 1.146  0.042 1.146  -0.138 1.146  -0.303 1.084  -0.464 1.003  -0.591 0.902  -0.596 0.723  -0.676 0.563  -0.756 0.402  -0.758 0.241  -0.677 0.080  -0.597 -0.080  -0.443 -0.167  -0.282 -0.247  -0.125 -0.335  0.025 -0.434  0.174 -0.534  0.324 -0.634  0.459 -0.746  0.539 -0.907  0.619 -1.068  0.567 -1.207  0.440 -1.334  0.313 -1.461  0.165 -1.539  -0.014 -1.539  -0.185 -1.524  -0.265 -1.363  -0.346 -1.202  -0.361 -1.034  -0.318 -0.860  -0.274 -0.686  -0.231 -0.511  -0.187 -0.337  -0.178 -0.158  -0.178 0.021  -0.129 0.186  -0.030 0.336  0.070 0.485  0.170 0.635  0.279 0.777  0.406 0.904  0.500 1.055  0.580 1.216  0.675 1.353  0.855 1.353
3#apa#apa15#app1525/9  0.387 -1.841  0.387 -1.700  0.387 -1.559  0.403 -1.421  0.448 -1.287  0.492 -1.153  0.537 -1.019  0.580 -0.885  0.614 -0.748  0.648 -0.611  0.682 -0.474  0.717 -0.338  0.751 -0.201  0.759 -0.061  0.759 0.080  0.754 0.221  0.709 0.354  0.665 0.488  0.620 0.622  0.575 0.756  0.453 0.823  0.327 0.886  0.201 0.949  0.060 0.949  -0.081 0.949  -0.222 0.949  -0.363 0.949  -0.505 0.949  -0.646 0.949  -0.770 0.908  -0.870 0.808  -0.969 0.708  -1.069 0.609  -1.101 0.481  -1.101 0.340  -1.101 0.199  -1.101 0.057  -1.029 -0.054  -0.929 -0.153  -0.794 -0.167  -0.653 -0.167  -0.512 -0.167  -0.370 -0.167  -0.229 -0.167  -0.088 -0.167  0.053 -0.167  0.194 -0.167  0.321 -0.108  0.447 -0.045  0.573 0.019
3#apa#apa15#app1525/0  -0.170 1.029  -0.271 1.130  -0.372 1.231  -0.332 1.191  -0.231 1.090  -0.130 0.989  -0.029 0.888  0.076 0.796  0.219 0.796  0.342 0.749  0.443 0.648  0.545 0.547  0.646 0.446  0.747 0.345  0.799 0.214  0.845 0.079  0.890 -0.057  0.935 -0.192  0.980 -0.328  0.993 -0.468  0.993 -0.611  0.993 -0.754  0.934 -0.861  0.806 -0.925  0.679 -0.988  0.551 -1.052  0.411 -1.064  0.268 -1.064  0.125 -1.064  -0.018 -1.064  -0.161 -1.064  -0.290 -1.004  -0.417 -0.940  -0.545 -0.876  -0.654 -0.793  -0.718 -0.665  -0.782 -0.538  -0.846 -0.410  -0.867 -0.272  -0.867 -0.129  -0.867 0.014  -0.867 0.156  -0.867 0.299  -0.867 0.442  -0.847 0.571  -0.712 0.616  -0.576 0.661  -0.441 0.706  -0.305 0.751  -0.170 0.796
3#apa#apa15#app1525/1  0.378 1.322  0.304 1.322  0.231 1.322  0.157 1.322  0.084 1.322  0.010 1.322  -0.064 1.322  -0.133 1.318  -0.133 1.244  -0.133 1.170  -0.133 1.097  -0.133 1.023  -0.133 0.949  -0.133 0.876  -0.133 0.802  -0.133 0.729  -0.133 0.655  -0.133 0.581  -0.133 0.508  -0.133 0.434  -0.133 0.361  -0.133 0.287  -0.133 0.213  -0.133 0.140  -0.133 0.066  -0.120 -0.006  -0.102 -0.077  -0.084 -0.149  -0.067 -0.220  -0.049 -0.292  -0.031 -0.363  -0.013 -0.435  0.005 -0.506  0.023 -0.577  0.041 -0.649  0.058 -0.720  0.076 -0.792  0.094 -0.863  0.112 -0.934  0.123 -1.007  0.123 -1.080  0.123 -1.154  0.123 -1.228  0.123 -1.301  0.123 -1.375  0.123 -1.448  0.123 -1.522  0.123 -1.596  0.123 -1.669  0.123 -1.743
3#apa#apa15#app1525/.  0.548 -1.600  0.548 -1.512  0.548 -1.425  0.548 -1.337  0.548 -1.249  0.548 -1.162  0.548 -1.074  0.548 -0.986  0.548 -0.899  0.548 -0.811  0.548 -0.723  0.548 -0.636  0.548 -0.548  0.548 -0.460  0.548 -0.373  0.548 -0.285  0.548 -0.197  0.548 -0.110  0.548 -0.022  0.548 0.066  0.548 0.153  0.548 0.241  0.548 0.329  0.548 0.416  0.548 0.504  0.504 0.548  0.416 0.548  0.329 0.548  0.241 0.548  0.153 0.548  0.066 0.548  -0.022 0.548  -0.110 0.548  -0.197 0.548  -0.285 0.548  -0.373 0.548  -0.460 0.548  -0.548 0.548  -0.636 0.548  -0.723 0.548  -0.811 0.548  -0.899 0.548  -0.986 0.548  -1.074 0.548  -1.162 0.548  -1.249 0.548  -1.337 0.548  -1.425 0.548  -1.512 0.548  -1.600 0.548
