3#app#app13#app1382/R  -0.568 0.412  -0.549 0.627  -0.461 0.813  -0.275 0.899  -0.275 0.677  -0.275 0.454  -0.312 0.241  -0.373 0.032  -0.373 -0.190  -0.373 -0.413  -0.423 -0.614  -0.471 -0.817  -0.471 -1.040  -0.471 -1.232  -0.471 -1.010  -0.471 -0.787  -0.471 -0.565  -0.373 -0.365  -0.373 -0.143  -0.373 0.080  -0.275 0.262  -0.275 0.485  -0.178 0.667  -0.117 0.864  -0.080 1.071  -0.009 1.264  0.115 1.435  0.168 1.636  0.354 1.638  0.473 1.454  0.506 1.239  0.506 1.016  0.506 0.794  0.506 0.571  0.477 0.355  0.408 0.149  0.286 -0.027  0.213 -0.232  0.029 -0.271  -0.064 -0.173  0.048 -0.302  0.129 -0.493  0.228 -0.692  0.310 -0.895  0.426 -1.070  0.506 -1.259  0.603 -1.442  0.701 -1.624  0.808 -1.745  0.896 -1.735
3#app#app13#app1382/n  -0.818 0.574  -0.818 0.428  -0.930 0.394  -0.998 0.316  -0.998 0.171  -0.998 0.025  -0.998 -0.121  -0.998 -0.267  -0.998 -0.413  -0.998 -0.559  -0.998 -0.704  -0.998 -0.850  -0.867 -0.865  -0.818 -0.768  -0.773 -0.641  -0.670 -0.538  -0.567 -0.435  -0.464 -0.332  -0.458 -0.188  -0.385 -0.073  -0.282 0.030  -0.215 0.160  -0.150 0.290  -0.077 0.415  0.026 0.518  0.129 0.621  0.232 0.725  0.335 0.828  0.439 0.931  0.442 1.075  0.549 1.114  0.695 1.114  0.801 1.074  0.801 0.928  0.801 0.783  0.801 0.637  0.801 0.491  0.801 0.345  0.801 0.199  0.801 0.053  0.801 -0.092  0.801 -0.238  0.801 -0.384  0.801 -0.530  0.801 -0.676  0.801 -0.822  0.801 -0.967  0.801 -1.113  0.801 -1.259  0.801 -1.405
3#app#app13#app1382/o  -0.139 0.429  -0.284 0.429  -0.429 0.429  -0.435 0.289  -0.572 0.281  -0.582 0.147  -0.582 0.001  -0.674 -0.106  -0.730 -0.228  -0.730 -0.373  -0.730 -0.518  -0.730 -0.664  -0.730 -0.809  -0.730 -0.954  -0.730 -1.099  -0.697 -1.231  -0.594 -1.334  -0.454 -1.346  -0.309 -1.346  -0.200 -1.258  -0.080 -1.198  0.009 -1.141  0.033 -1.001  0.098 -0.872  0.167 -0.744  0.269 -0.641  0.372 -0.539  0.475 -0.436  0.578 -0.333  0.636 -0.203  0.682 -0.066  0.728 0.072  0.749 0.214  0.749 0.359  0.749 0.505  0.749 0.650  0.749 0.795  0.749 0.941  0.703 1.067  0.601 1.170  0.601 1.315  0.457 1.317  0.312 1.317  0.167 1.317  0.157 1.181  0.063 1.075  -0.040 0.972  -0.139 0.868  -0.139 0.722  -0.139 0.577
3#app#app13#app1382/n  -0.499 1.289  -0.499 1.119  -0.515 0.966  -0.661 0.942  -0.661 0.772  -0.661 0.602  -0.661 0.433  -0.661 0.263  -0.661 0.094  -0.661 -0.076  -0.661 -0.246  -0.661 -0.415  -0.661 -0.585  -0.661 -0.755  -0.661 -0.924  -0.661 -1.094  -0.661 -1.263  -0.661 -1.433  -0.517 -1.459  -0.499 -1.307  -0.386 -1.184  -0.338 -1.035  -0.338 -0.865  -0.285 -0.708  -0.209 -0.556  -0.109 -0.422  0.002 -0.295  0.077 -0.144  0.153 0.008  0.229 0.160  0.305 0.312  0.309 0.480  0.385 0.632  0.460 0.784  0.536 0.935  0.612 1.087  0.720 1.216  0.794 1.223  0.794 1.054  0.794 0.884  0.794 0.714  0.794 0.545  0.794 0.375  0.794 0.206  0.794 0.036  0.794 -0.134  0.794 -0.303  0.794 -0.473  0.794 -0.643  0.794 -0.812
3#app#app13#app1382/e  -1.178 -0.814  -1.022 -0.814  -0.867 -0.814  -0.711 -0.814  -0.556 -0.814  -0.400 -0.814  -0.245 -0.814  -0.103 -0.757  0.036 -0.688  0.175 -0.618  0.304 -0.534  0.414 -0.424  0.504 -0.306  0.504 -0.150  0.574 -0.024  0.684 0.086  0.744 0.217  0.744 0.372  0.744 0.528  0.744 0.683  0.744 0.839  0.744 0.994  0.744 1.150  0.744 1.305  0.630 1.347  0.475 1.347  0.319 1.347  0.164 1.347  0.023 1.332  0.023 1.177  -0.037 1.046  -0.147 0.937  -0.217 0.810  -0.217 0.654  -0.307 0.536  -0.417 0.426  -0.457 0.287  -0.457 0.132  -0.457 -0.024  -0.457 -0.179  -0.457 -0.335  -0.457 -0.490  -0.407 -0.625  -0.297 -0.735  -0.217 -0.857  -0.217 -1.013  -0.217 -1.168  -0.197 -1.315  -0.087 -1.425  0.023 -1.535
3#app#app13#app1382/d  0.021 -0.240  0.021 -0.041  -0.019 0.142  -0.093 0.311  -0.273 0.331  -0.472 0.331  -0.636 0.245  -0.697 0.071  -0.838 -0.070  -0.947 -0.234  -1.008 -0.419  -1.114 -0.575  -1.122 -0.771  -1.090 -0.957  -0.949 -1.098  -0.887 -1.268  -0.687 -1.268  -0.488 -1.268  -0.298 -1.245  -0.136 -1.154  -0.023 -1.014  0.021 -0.825  0.104 -0.645  0.227 -0.491  0.324 -0.318  0.364 -0.128  0.364 0.071  0.388 0.265  0.477 0.444  0.478 0.643  0.478 0.842  0.478 1.042  0.478 1.241  0.478 1.441  0.592 1.526  0.575 1.686  0.478 1.526  0.478 1.327  0.478 1.128  0.478 0.928  0.478 0.729  0.478 0.529  0.477 0.330  0.388 0.151  0.364 -0.042  0.364 -0.242  0.364 -0.441  0.364 -0.641  0.364 -0.840  0.364 -1.040
3#app#app13#app1382/i  -0.156 -0.156  -0.156 -0.251  -0.156 -0.347  -0.156 -0.443  -0.156 -0.539  -0.156 -0.635  -0.156 -0.730  -0.156 -0.826  -0.156 -0.922  -0.156 -1.018  -0.156 -1.114  -0.156 -1.209  -0.156 -1.305  -0.156 -1.401  -0.147 -1.361  -0.135 -1.266  -0.124 -1.171  -0.112 -1.076  -0.100 -0.981  -0.088 -0.886  -0.076 -0.791  -0.064 -0.696  -0.052 -0.600  -0.040 -0.505  -0.029 -0.410  -0.017 -0.315  -0.005 -0.220  0.007 -0.125  0.019 -0.030  0.031 0.065  0.043 0.160  0.055 0.255  0.067 0.350  0.078 0.445  0.090 0.540  0.102 0.635  0.114 0.730  0.126 0.826  0.138 0.921  0.150 1.016  0.162 1.111  0.173 1.206  0.185 1.301  0.197 1.396  0.209 1.491  0.221 1.586  0.233 1.681  0.245 1.776  0.257 1.871  0.269 1.966
3#app#app13#app1382/m  -1.061 0.812  -1.061 0.674  -1.061 0.536  -1.061 0.398  -1.061 0.260  -1.061 0.122  -1.061 -0.017  -1.061 -0.155  -1.061 -0.293  -1.061 -0.431  -1.061 -0.569  -1.004 -0.650  -0.898 -0.617  -0.890 -0.488  -0.752 -0.488  -0.736 -0.365  -0.667 -0.256  -0.573 -0.156  -0.573 -0.018  -0.488 0.085  -0.411 0.191  -0.408 0.328  -0.310 0.425  -0.248 0.538  -0.222 0.650  -0.086 0.648  -0.086 0.510  0.030 0.487  0.077 0.396  0.144 0.325  0.239 0.282  0.257 0.162  0.396 0.162  0.402 0.030  0.509 -0.000  0.648 -0.000  0.786 -0.000  0.914 0.024  1.011 0.122  1.133 0.162  1.214 0.106  1.247 -0.000  1.377 -0.008  1.377 -0.146  1.377 -0.284  1.377 -0.423  1.377 -0.561  1.377 -0.699  1.377 -0.837  1.377 -0.975
3#app#app13#app1382/c  0.523 1.388  0.523 1.286  0.467 1.241  0.364 1.241  0.262 1.241  0.160 1.241  0.081 1.217  0.081 1.115  0.001 1.093  -0.066 1.059  -0.066 0.956  -0.158 0.946  -0.213 0.900  -0.214 0.798  -0.286 0.726  -0.358 0.654  -0.431 0.581  -0.503 0.509  -0.550 0.419  -0.596 0.328  -0.642 0.237  -0.655 0.138  -0.655 0.036  -0.655 -0.067  -0.655 -0.169  -0.655 -0.271  -0.655 -0.373  -0.655 -0.475  -0.620 -0.562  -0.548 -0.635  -0.475 -0.707  -0.403 -0.779  -0.323 -0.840  -0.232 -0.886  -0.141 -0.932  -0.047 -0.969  0.055 -0.969  0.157 -0.969  0.259 -0.969  0.361 -0.969  0.463 -0.969  0.553 -0.939  0.625 -0.867  0.708 -0.822  0.811 -0.822  0.913 -0.822  0.965 -0.772  0.968 -0.671  1.040 -0.599  1.113 -0.527
3#app#app13#app1382/o  -0.187 1.041  -0.318 1.041  -0.416 0.961  -0.509 0.868  -0.602 0.776  -0.638 0.659  -0.681 0.546  -0.774 0.453  -0.788 0.328  -0.829 0.206  -0.888 0.089  -0.938 -0.031  -0.938 -0.162  -0.938 -0.293  -0.859 -0.392  -0.788 -0.494  -0.788 -0.625  -0.788 -0.756  -0.700 -0.851  -0.595 -0.914  -0.470 -0.931  -0.377 -1.023  -0.263 -1.064  -0.132 -1.064  -0.000 -1.064  0.131 -1.064  0.262 -1.064  0.356 -0.973  0.415 -0.866  0.435 -0.743  0.528 -0.650  0.621 -0.557  0.714 -0.465  0.715 -0.334  0.793 -0.235  0.866 -0.134  0.866 -0.002  0.866 0.129  0.866 0.260  0.866 0.391  0.866 0.523  0.866 0.654  0.834 0.772  0.741 0.865  0.715 0.986  0.639 1.041  0.508 1.041  0.377 1.041  0.245 1.041  0.114 1.041
3#app#app13#app1382/r  -0.510 0.590  -0.510 0.456  -0.510 0.323  -0.510 0.190  -0.510 0.056  -0.510 -0.077  -0.510 -0.210  -0.605 -0.305  -0.699 -0.399  -0.709 -0.528  -0.709 -0.661  -0.709 -0.795  -0.709 -0.928  -0.709 -1.062  -0.709 -1.195  -0.709 -1.328  -0.709 -1.354  -0.709 -1.220  -0.624 -1.123  -0.529 -1.028  -0.510 -0.903  -0.482 -0.781  -0.388 -0.687  -0.293 -0.592  -0.199 -0.498  -0.105 -0.404  -0.010 -0.309  0.084 -0.215  0.090 -0.084  0.090 0.049  0.090 0.183  0.179 0.279  0.273 0.374  0.289 0.500  0.333 0.590  0.467 0.590  0.539 0.689  0.598 0.808  0.658 0.928  0.689 1.054  0.689 1.187  0.820 1.189  0.889 1.124  0.889 0.991  1.021 0.989  1.089 0.924  1.089 0.790  1.089 0.657  1.155 0.590  1.288 0.590
3#app#app13#app1382/n  -0.686 1.407  -0.686 1.251  -0.686 1.096  -0.686 0.940  -0.704 0.803  -0.860 0.803  -0.887 0.674  -0.887 0.518  -0.887 0.362  -0.887 0.206  -0.887 0.051  -0.887 -0.105  -0.887 -0.261  -0.887 -0.417  -0.887 -0.573  -0.887 -0.729  -0.812 -0.810  -0.656 -0.810  -0.501 -0.810  -0.484 -0.670  -0.391 -0.608  -0.282 -0.560  -0.282 -0.405  -0.212 -0.265  -0.142 -0.126  -0.062 -0.003  0.094 -0.003  0.121 0.126  0.158 0.273  0.227 0.412  0.297 0.551  0.422 0.601  0.562 0.640  0.672 0.750  0.725 0.722  0.760 0.601  0.916 0.601  0.927 0.456  0.927 0.300  0.927 0.144  0.927 -0.012  0.927 -0.168  0.927 -0.323  0.927 -0.479  0.927 -0.635  0.927 -0.791  0.927 -0.947  0.927 -1.102  0.927 -1.258  0.927 -1.414
3#app#app13#app1382/e  -0.888 -0.532  -0.740 -0.532  -0.592 -0.532  -0.445 -0.532  -0.297 -0.532  -0.149 -0.532  -0.002 -0.532  0.119 -0.467  0.224 -0.362  0.328 -0.258  0.432 -0.154  0.526 -0.044  0.526 0.103  0.526 0.251  0.526 0.399  0.622 0.507  0.726 0.611  0.761 0.744  0.761 0.892  0.761 1.040  0.761 1.187  0.761 1.335  0.631 1.353  0.484 1.353  0.336 1.353  0.218 1.281  0.114 1.177  0.009 1.072  -0.095 0.968  -0.181 0.856  -0.181 0.708  -0.242 0.585  -0.346 0.481  -0.417 0.362  -0.417 0.215  -0.417 0.067  -0.417 -0.081  -0.417 -0.228  -0.417 -0.376  -0.417 -0.524  -0.417 -0.671  -0.417 -0.819  -0.417 -0.967  -0.417 -1.114  -0.417 -1.262  -0.417 -1.410  -0.342 -1.511  -0.210 -1.577  -0.078 -1.643  0.054 -1.709
3#app#app13#app1382/r  -0.529 -0.380  -0.529 -0.472  -0.529 -0.564  -0.529 -0.656  -0.529 -0.747  -0.529 -0.839  -0.529 -0.931  -0.529 -1.022  -0.529 -1.114  -0.458 -1.135  -0.378 -1.147  -0.378 -1.238  -0.378 -1.242  -0.378 -1.150  -0.324 -1.081  -0.259 -1.016  -0.227 -0.937  -0.227 -0.846  -0.227 -0.754  -0.218 -0.664  -0.177 -0.582  -0.136 -0.500  -0.095 -0.418  -0.076 -0.331  -0.076 -0.239  -0.040 -0.156  0.001 -0.074  0.043 0.008  0.075 0.092  0.075 0.184  0.098 0.270  0.139 0.352  0.180 0.434  0.221 0.516  0.226 0.606  0.241 0.692  0.306 0.756  0.371 0.821  0.376 0.911  0.376 1.002  0.376 1.094  0.417 1.169  0.482 1.234  0.547 1.299  0.612 1.364  0.676 1.428  0.678 1.519  0.699 1.560  0.764 1.495  0.829 1.430
