3#apa#apa13#app1334/~  -0.928 -0.333  -0.928 -0.444  -0.967 -0.517  -1.079 -0.517  -1.035 -0.517  -0.928 -0.512  -0.928 -0.401  -0.928 -0.289  -0.928 -0.178  -0.928 -0.066  -0.928 0.046  -0.928 0.157  -0.928 0.269  -0.928 0.380  -0.867 0.466  -0.788 0.545  -0.744 0.639  -0.744 0.750  -0.656 0.773  -0.544 0.773  -0.432 0.773  -0.321 0.773  -0.209 0.773  -0.098 0.773  0.008 0.759  0.087 0.680  0.166 0.601  0.178 0.494  0.178 0.383  0.178 0.271  0.220 0.177  0.299 0.098  0.362 0.013  0.362 -0.099  0.406 -0.192  0.485 -0.271  0.546 -0.357  0.546 -0.469  0.609 -0.517  0.721 -0.517  0.832 -0.517  0.944 -0.517  1.056 -0.517  1.167 -0.517  1.279 -0.517  1.390 -0.517  1.502 -0.517  1.613 -0.517  1.725 -0.517  1.837 -0.517
2#pri#pri0#150/~  -1.242 -0.496  -1.254 -0.422  -1.296 -0.357  -1.304 -0.281  -1.304 -0.202  -1.304 -0.124  -1.273 -0.056  -1.226 0.007  -1.169 0.060  -1.108 0.109  -1.047 0.158  -0.986 0.207  -0.924 0.256  -0.857 0.295  -0.787 0.330  -0.717 0.365  -0.641 0.386  -0.566 0.408  -0.490 0.425  -0.412 0.425  -0.333 0.425  -0.255 0.425  -0.177 0.425  -0.103 0.399  -0.031 0.370  0.040 0.337  0.110 0.301  0.171 0.252  0.232 0.203  0.294 0.154  0.355 0.105  0.416 0.057  0.477 0.008  0.538 -0.041  0.599 -0.090  0.661 -0.139  0.722 -0.188  0.796 -0.213  0.870 -0.238  0.944 -0.264  1.018 -0.292  1.091 -0.319  1.165 -0.345  1.241 -0.362  1.318 -0.379  1.394 -0.396  1.471 -0.409  1.549 -0.417  1.627 -0.426  1.705 -0.434
1d#tos#t3#t3042061/~  -1.320 -0.036  -1.406 -0.036  -1.470 -0.058  -1.463 -0.033  -1.387 0.005  -1.358 0.076  -1.297 0.136  -1.223 0.164  -1.137 0.164  -1.120 0.232  -1.081 0.302  -1.000 0.314  -0.914 0.314  -0.829 0.314  -0.743 0.314  -0.660 0.294  -0.579 0.267  -0.501 0.230  -0.419 0.214  -0.356 0.157  -0.279 0.119  -0.258 0.042  -0.220 -0.035  -0.145 -0.061  -0.070 -0.086  -0.019 -0.121  0.048 -0.159  0.130 -0.186  0.181 -0.250  0.230 -0.286  0.316 -0.286  0.402 -0.286  0.488 -0.286  0.574 -0.286  0.659 -0.286  0.745 -0.286  0.831 -0.286  0.913 -0.271  0.981 -0.227  1.027 -0.186  1.112 -0.186  1.179 -0.139  1.232 -0.075  1.232 0.011  1.310 0.040  1.392 0.064  1.464 0.096  1.525 0.157  1.600 0.198  1.682 0.214
1d#app#app35#app3509/~  -1.457 -0.521  -1.457 -0.393  -1.365 -0.357  -1.292 -0.301  -1.279 -0.179  -1.188 -0.088  -1.109 0.011  -1.051 0.125  -0.994 0.240  -0.921 0.343  -0.830 0.434  -0.799 0.549  -0.751 0.630  -0.635 0.641  -0.635 0.769  -0.531 0.794  -0.423 0.842  -0.332 0.932  -0.242 0.894  -0.151 0.803  -0.142 0.679  -0.142 0.551  -0.123 0.427  -0.065 0.313  -0.008 0.198  0.023 0.077  0.039 -0.044  0.130 -0.135  0.187 -0.239  0.187 -0.368  0.187 -0.496  0.290 -0.521  0.352 -0.588  0.373 -0.707  0.464 -0.798  0.570 -0.850  0.680 -0.832  0.680 -0.704  0.790 -0.686  0.845 -0.612  0.871 -0.495  0.962 -0.404  1.052 -0.314  1.143 -0.223  1.174 -0.108  1.208 0.006  1.299 0.097  1.411 0.136  1.503 0.173  1.503 0.301
1d#app#app35#app3509/~  -1.443 -0.530  -1.443 -0.436  -1.443 -0.341  -1.436 -0.254  -1.341 -0.254  -1.305 -0.196  -1.299 -0.103  -1.257 -0.019  -1.214 0.065  -1.172 0.150  -1.084 0.159  -1.001 0.188  -0.935 0.254  -0.858 0.296  -0.763 0.296  -0.669 0.296  -0.575 0.296  -0.481 0.296  -0.386 0.296  -0.292 0.296  -0.199 0.292  -0.133 0.226  -0.066 0.159  0.028 0.159  0.072 0.108  0.079 0.021  0.173 0.021  0.210 -0.037  0.220 -0.127  0.287 -0.194  0.347 -0.263  0.347 -0.357  0.407 -0.392  0.501 -0.392  0.595 -0.392  0.670 -0.345  0.737 -0.278  0.821 -0.254  0.910 -0.242  0.977 -0.176  1.044 -0.109  1.110 -0.042  1.177 0.024  1.244 0.091  1.310 0.158  1.377 0.225  1.444 0.291  1.536 0.296  1.587 0.340  1.587 0.434
1d#app#app35#app3509/~  -1.290 -0.646  -1.290 -0.531  -1.290 -0.416  -1.290 -0.301  -1.290 -0.186  -1.290 -0.070  -1.264 0.019  -1.148 0.019  -1.124 0.109  -1.124 0.224  -1.124 0.340  -1.020 0.351  -0.920 0.388  -0.839 0.470  -0.748 0.539  -0.645 0.590  -0.542 0.642  -0.437 0.684  -0.322 0.684  -0.232 0.623  -0.150 0.542  -0.126 0.436  -0.105 0.330  -0.023 0.248  0.040 0.159  0.040 0.044  0.104 -0.045  0.185 -0.126  0.207 -0.233  0.231 -0.338  0.312 -0.419  0.373 -0.509  0.373 -0.625  0.466 -0.646  0.582 -0.646  0.697 -0.646  0.705 -0.540  0.745 -0.441  0.826 -0.359  0.923 -0.314  1.038 -0.314  1.089 -0.211  1.141 -0.108  1.192 -0.005  1.293 0.019  1.371 0.057  1.371 0.172  1.371 0.287  1.422 0.351  1.537 0.351
2#app#app25#app2587/~  -1.533 -0.491  -1.533 -0.402  -1.533 -0.313  -1.510 -0.246  -1.421 -0.246  -1.331 -0.246  -1.255 -0.214  -1.192 -0.151  -1.129 -0.087  -1.065 -0.024  -0.986 0.000  -0.897 0.000  -0.807 0.000  -0.718 0.000  -0.628 0.000  -0.550 -0.011  -0.550 -0.100  -0.550 -0.189  -0.516 -0.246  -0.427 -0.246  -0.338 -0.246  -0.248 -0.246  -0.159 -0.246  -0.069 -0.246  0.020 -0.246  0.110 -0.246  0.188 -0.234  0.188 -0.145  0.188 -0.056  0.221 0.000  0.311 0.000  0.400 0.000  0.490 0.000  0.579 0.000  0.668 0.000  0.735 0.056  0.798 0.119  0.861 0.182  0.925 0.246  1.014 0.246  1.103 0.246  1.171 0.268  1.171 0.357  1.171 0.447  1.215 0.492  1.305 0.492  1.394 0.492  1.483 0.492  1.573 0.492  1.662 0.492
1d#apa#apa02#app0272/~  -1.383 -0.458  -1.383 -0.585  -1.383 -0.607  -1.383 -0.480  -1.383 -0.353  -1.361 -0.236  -1.272 -0.146  -1.182 -0.056  -1.182 0.070  -1.130 0.144  -1.003 0.144  -0.907 0.219  -0.817 0.308  -0.706 0.345  -0.579 0.345  -0.490 0.435  -0.400 0.524  -0.283 0.546  -0.178 0.524  -0.178 0.398  -0.178 0.271  -0.178 0.144  -0.178 0.018  -0.141 -0.094  -0.051 -0.183  0.023 -0.279  0.023 -0.406  0.076 -0.511  0.165 -0.600  0.267 -0.659  0.394 -0.659  0.425 -0.563  0.447 -0.458  0.573 -0.458  0.626 -0.384  0.626 -0.257  0.752 -0.257  0.827 -0.205  0.827 -0.078  0.931 -0.056  1.027 -0.026  1.027 0.101  1.086 0.203  1.176 0.293  1.228 0.398  1.228 0.524  1.302 0.620  1.392 0.710  1.429 0.821  1.429 0.948
2#tos#t1#t1036060/~  -1.120 0.221  -1.120 0.130  -1.141 0.044  -1.182 -0.037  -1.213 -0.123  -1.241 -0.210  -1.255 -0.202  -1.255 -0.111  -1.235 -0.028  -1.171 0.036  -1.120 0.106  -1.120 0.197  -1.055 0.238  -0.967 0.260  -0.878 0.282  -0.788 0.289  -0.697 0.289  -0.606 0.289  -0.515 0.289  -0.423 0.289  -0.332 0.289  -0.244 0.286  -0.217 0.221  -0.154 0.176  -0.113 0.095  -0.032 0.061  0.055 0.032  0.129 -0.017  0.160 -0.095  0.163 -0.185  0.227 -0.250  0.308 -0.291  0.393 -0.318  0.484 -0.318  0.575 -0.318  0.666 -0.318  0.757 -0.318  0.847 -0.311  0.929 -0.271  1.007 -0.225  1.083 -0.174  1.159 -0.124  1.247 -0.112  1.328 -0.071  1.410 -0.030  1.491 0.011  1.578 0.037  1.666 0.059  1.755 0.081  1.778 0.154
2#tos#f2#f2067064/~  -1.323 -0.060  -1.364 -0.122  -1.448 -0.142  -1.448 -0.245  -1.386 -0.209  -1.323 -0.168  -1.282 -0.081  -1.209 -0.008  -1.173 0.065  -1.073 0.069  -1.073 0.173  -1.012 0.251  -0.910 0.253  -0.806 0.253  -0.703 0.253  -0.635 0.289  -0.621 0.378  -0.517 0.378  -0.440 0.441  -0.336 0.441  -0.259 0.503  -0.179 0.465  -0.135 0.372  -0.088 0.316  0.015 0.316  0.052 0.249  0.097 0.190  0.175 0.130  0.222 0.038  0.242 -0.060  0.345 -0.060  0.428 -0.081  0.428 -0.184  0.531 -0.185  0.572 -0.247  0.615 -0.307  0.705 -0.337  0.793 -0.372  0.865 -0.404  0.938 -0.435  1.036 -0.412  1.130 -0.372  1.234 -0.372  1.303 -0.338  1.370 -0.276  1.428 -0.209  1.499 -0.149  1.553 -0.079  1.553 0.024  1.616 0.065
2#app#app25#app2575/~  -1.822 0.168  -1.705 0.168  -1.588 0.168  -1.471 0.168  -1.354 0.168  -1.245 0.189  -1.162 0.272  -1.079 0.355  -0.997 0.438  -0.883 0.446  -0.766 0.446  -0.667 0.490  -0.584 0.573  -0.501 0.656  -0.418 0.710  -0.335 0.627  -0.252 0.544  -0.169 0.461  -0.155 0.350  -0.155 0.233  -0.155 0.116  -0.155 -0.002  -0.155 -0.119  -0.155 -0.236  -0.155 -0.353  -0.155 -0.470  -0.155 -0.588  -0.116 -0.666  0.002 -0.666  0.119 -0.666  0.236 -0.666  0.353 -0.666  0.401 -0.597  0.401 -0.480  0.427 -0.388  0.544 -0.388  0.661 -0.388  0.679 -0.289  0.679 -0.172  0.735 -0.110  0.852 -0.110  0.969 -0.110  1.086 -0.110  1.203 -0.110  1.296 -0.050  1.378 0.033  1.461 0.116  1.557 0.168  1.674 0.168  1.791 0.168
2#app#app06#app0639/~  -1.021 -0.078  -1.021 -0.198  -1.021 -0.318  -1.021 -0.437  -0.971 -0.537  -0.886 -0.621  -0.885 -0.741  -0.783 -0.759  -0.749 -0.844  -0.749 -0.964  -0.696 -1.031  -0.613 -1.068  -0.592 -1.167  -0.477 -1.163  -0.477 -1.043  -0.369 -1.031  -0.340 -0.940  -0.307 -0.828  -0.253 -0.721  -0.204 -0.612  -0.204 -0.492  -0.204 -0.372  -0.135 -0.281  -0.068 -0.189  -0.068 -0.069  -0.068 0.051  0.011 0.138  0.068 0.234  0.085 0.347  0.169 0.432  0.204 0.537  0.204 0.657  0.231 0.766  0.316 0.851  0.341 0.961  0.341 1.080  0.393 1.148  0.502 1.123  0.587 1.038  0.613 0.929  0.680 0.876  0.749 0.825  0.784 0.739  0.898 0.727  0.983 0.642  1.022 0.538  1.071 0.467  1.190 0.467  1.310 0.467  1.430 0.467
2#app#app06#app0643/~  -1.226 0.673  -1.317 0.764  -1.237 0.684  -1.226 0.560  -1.191 0.446  -1.131 0.343  -1.131 0.215  -1.119 0.098  -1.035 0.054  -1.035 -0.074  -0.986 -0.191  -0.923 -0.301  -0.833 -0.392  -0.747 -0.485  -0.719 -0.601  -0.619 -0.669  -0.510 -0.715  -0.402 -0.765  -0.363 -0.854  -0.242 -0.861  -0.172 -0.803  -0.081 -0.765  -0.076 -0.643  -0.017 -0.573  0.020 -0.482  0.108 -0.390  0.116 -0.265  0.116 -0.137  0.154 -0.018  0.211 0.097  0.234 0.216  0.308 0.313  0.308 0.442  0.370 0.544  0.404 0.658  0.484 0.753  0.603 0.762  0.691 0.671  0.716 0.553  0.807 0.462  0.903 0.386  0.979 0.333  1.039 0.230  1.130 0.139  1.241 0.098  1.339 0.026  1.363 -0.093  1.490 -0.094  1.555 -0.157  1.650 -0.190
2#app#app06#app0643/~  -1.229 0.656  -1.333 0.649  -1.247 0.562  -1.229 0.448  -1.229 0.326  -1.224 0.208  -1.117 0.194  -1.106 0.075  -1.051 -0.034  -0.992 -0.140  -0.906 -0.226  -0.893 -0.343  -0.813 -0.431  -0.726 -0.518  -0.670 -0.616  -0.633 -0.723  -0.544 -0.805  -0.435 -0.859  -0.324 -0.910  -0.203 -0.910  -0.111 -0.879  -0.070 -0.798  0.001 -0.747  0.062 -0.686  0.113 -0.615  0.113 -0.493  0.113 -0.371  0.214 -0.351  0.225 -0.239  0.234 -0.127  0.336 -0.107  0.358 0.006  0.444 0.092  0.451 0.211  0.537 0.297  0.560 0.410  0.660 0.432  0.672 0.542  0.757 0.629  0.784 0.740  0.878 0.767  0.895 0.872  0.976 0.798  1.062 0.712  1.119 0.614  1.156 0.507  1.242 0.421  1.328 0.335  1.343 0.219  1.454 0.208
2#app#app06#app0643/~  -1.193 1.257  -1.193 1.121  -1.091 1.088  -1.025 1.019  -1.025 0.884  -1.024 0.749  -0.963 0.628  -0.903 0.507  -0.856 0.383  -0.856 0.247  -0.856 0.112  -0.786 0.006  -0.690 -0.090  -0.687 -0.224  -0.687 -0.360  -0.641 -0.476  -0.546 -0.572  -0.518 -0.696  -0.474 -0.813  -0.378 -0.908  -0.282 -1.004  -0.186 -1.100  -0.053 -1.105  -0.012 -1.011  0.049 -0.937  0.157 -0.909  0.157 -0.774  0.157 -0.639  0.224 -0.531  0.320 -0.436  0.325 -0.303  0.325 -0.167  0.325 -0.032  0.353 0.076  0.489 0.076  0.494 0.205  0.494 0.341  0.557 0.413  0.663 0.443  0.663 0.578  0.794 0.582  0.930 0.582  1.000 0.517  1.032 0.413  1.167 0.413  1.169 0.280  1.169 0.144  1.236 0.076  1.338 0.042  1.338 -0.093
1d#app#app18#app1852/~  -1.175 -0.897  -1.175 -0.791  -1.175 -0.685  -1.175 -0.579  -1.175 -0.473  -1.175 -0.367  -1.175 -0.261  -1.175 -0.155  -1.175 -0.049  -1.156 0.050  -1.081 0.125  -1.006 0.199  -0.926 0.262  -0.820 0.262  -0.714 0.262  -0.712 0.366  -0.712 0.472  -0.628 0.494  -0.522 0.494  -0.416 0.494  -0.310 0.494  -0.204 0.494  -0.098 0.494  -0.016 0.469  -0.016 0.363  -0.016 0.257  -0.016 0.151  -0.016 0.045  0.075 0.030  0.181 0.030  0.216 -0.041  0.216 -0.147  0.267 -0.201  0.373 -0.201  0.479 -0.201  0.586 -0.201  0.692 -0.201  0.798 -0.201  0.904 -0.201  1.010 -0.201  1.116 -0.201  1.222 -0.201  1.328 -0.201  1.375 -0.142  1.375 -0.036  1.414 0.030  1.520 0.030  1.607 0.050  1.607 0.156  1.607 0.262
1d#apa#apa02#app0273/~  -1.429 -0.598  -1.429 -0.475  -1.429 -0.352  -1.429 -0.229  -1.425 -0.110  -1.302 -0.110  -1.267 -0.022  -1.218 0.053  -1.104 0.062  -1.104 0.185  -1.012 0.216  -0.904 0.253  -0.817 0.340  -0.730 0.427  -0.643 0.514  -0.531 0.541  -0.453 0.496  -0.447 0.379  -0.324 0.379  -0.290 0.290  -0.241 0.216  -0.127 0.206  -0.127 0.083  -0.061 -0.013  0.026 -0.100  0.036 -0.219  0.105 -0.273  0.198 -0.302  0.198 -0.426  0.198 -0.549  0.272 -0.598  0.395 -0.598  0.519 -0.598  0.524 -0.480  0.602 -0.435  0.725 -0.435  0.848 -0.435  0.850 -0.313  0.932 -0.273  1.012 -0.230  1.015 -0.107  1.102 -0.020  1.175 0.072  1.175 0.195  1.248 0.288  1.335 0.376  1.338 0.497  1.338 0.621  1.338 0.744  1.338 0.867
3#apa#apa04#app0403/~  -0.250 -0.214  -0.392 -0.214  -0.454 -0.293  -0.466 -0.429  -0.566 -0.529  -0.669 -0.620  -0.811 -0.620  -0.860 -0.712  -0.890 -0.823  -1.031 -0.823  -1.063 -0.932  -1.063 -0.978  -1.063 -0.837  -0.973 -0.733  -0.873 -0.633  -0.738 -0.620  -0.657 -0.560  -0.657 -0.418  -0.657 -0.277  -0.579 -0.214  -0.454 -0.198  -0.454 -0.057  -0.454 0.085  -0.420 0.192  -0.279 0.192  -0.250 0.305  -0.250 0.446  -0.250 0.588  -0.120 0.599  -0.047 0.667  -0.041 0.802  0.100 0.802  0.156 0.716  0.173 0.582  0.272 0.482  0.378 0.396  0.519 0.396  0.562 0.297  0.598 0.192  0.740 0.192  0.881 0.192  1.022 0.192  1.163 0.192  1.305 0.192  1.425 0.243  1.525 0.343  1.625 0.443  1.724 0.543  1.781 0.661  1.781 0.802
2#app#app34#app3491/~  -1.597 -0.492  -1.597 -0.378  -1.552 -0.282  -1.471 -0.201  -1.431 -0.103  -1.425 0.005  -1.310 0.005  -1.265 0.074  -1.247 0.170  -1.133 0.170  -1.019 0.170  -0.934 0.200  -0.934 0.315  -0.841 0.336  -0.727 0.336  -0.612 0.336  -0.498 0.336  -0.399 0.298  -0.319 0.217  -0.224 0.170  -0.109 0.170  -0.106 0.059  -0.046 0.005  0.060 -0.004  0.060 -0.118  0.131 -0.161  0.225 -0.181  0.225 -0.295  0.309 -0.327  0.391 -0.358  0.391 -0.473  0.486 -0.492  0.600 -0.492  0.715 -0.492  0.722 -0.385  0.778 -0.327  0.888 -0.322  0.888 -0.208  0.955 -0.161  1.054 -0.145  1.054 -0.031  1.054 0.084  1.081 0.170  1.196 0.170  1.219 0.261  1.219 0.375  1.219 0.490  1.322 0.502  1.334 0.502  1.219 0.502
