2#apb#apb08#app0811/P  0.179 -0.138  0.197 -0.276  0.215 -0.413  0.232 -0.550  0.249 -0.687  0.266 -0.824  0.284 -0.961  0.293 -1.099  0.293 -1.237  0.293 -1.375  0.288 -1.513  0.279 -1.651  0.272 -1.642  0.258 -1.505  0.244 -1.367  0.213 -1.233  0.182 -1.098  0.150 -0.963  0.120 -0.828  0.092 -0.693  0.064 -0.558  0.036 -0.422  0.006 -0.287  -0.031 -0.154  -0.068 -0.021  -0.105 0.112  -0.142 0.245  -0.175 0.380  -0.207 0.514  -0.240 0.648  -0.273 0.783  -0.310 0.916  -0.349 1.048  -0.387 1.181  -0.418 1.316  -0.429 1.446  -0.306 1.481  -0.175 1.437  -0.056 1.371  0.047 1.280  0.134 1.172  0.187 1.048  0.185 0.911  0.123 0.793  0.029 0.693  -0.092 0.633  -0.226 0.597  -0.359 0.560  -0.478 0.497  -0.590 0.434
2#apb#apb08#app0811/s  0.532 1.365  0.486 1.365  0.388 1.343  0.289 1.319  0.191 1.294  0.098 1.257  0.011 1.206  -0.077 1.155  -0.164 1.104  -0.249 1.048  -0.332 0.990  -0.415 0.932  -0.491 0.867  -0.550 0.785  -0.609 0.702  -0.679 0.630  -0.676 0.540  -0.644 0.444  -0.569 0.377  -0.493 0.310  -0.416 0.244  -0.329 0.193  -0.241 0.142  -0.154 0.091  -0.067 0.039  0.019 -0.015  0.104 -0.069  0.190 -0.124  0.274 -0.180  0.357 -0.238  0.440 -0.296  0.520 -0.358  0.592 -0.429  0.649 -0.508  0.669 -0.608  0.632 -0.699  0.587 -0.790  0.511 -0.857  0.436 -0.925  0.361 -0.993  0.282 -1.057  0.197 -1.111  0.112 -1.165  0.026 -1.220  -0.065 -1.263  -0.159 -1.300  -0.253 -1.338  -0.347 -1.377  -0.440 -1.417  -0.531 -1.404
2#apb#apb08#app0811/u  -1.665 0.674  -1.571 0.674  -1.477 0.674  -1.388 0.655  -1.306 0.608  -1.225 0.561  -1.143 0.514  -1.075 0.449  -1.009 0.382  -0.942 0.316  -0.876 0.249  -0.809 0.183  -0.742 0.116  -0.676 0.049  -0.609 -0.017  -0.543 -0.084  -0.476 -0.150  -0.409 -0.217  -0.343 -0.284  -0.276 -0.350  -0.210 -0.417  -0.143 -0.483  -0.075 -0.548  0.003 -0.601  0.081 -0.653  0.160 -0.705  0.244 -0.747  0.328 -0.789  0.413 -0.822  0.497 -0.780  0.577 -0.733  0.638 -0.661  0.699 -0.590  0.761 -0.518  0.813 -0.442  0.831 -0.350  0.850 -0.258  0.868 -0.165  0.887 -0.073  0.898 0.020  0.907 0.114  0.917 0.208  0.926 0.301  0.936 0.395  0.948 0.489  0.960 0.582  0.971 0.675  0.971 0.770  0.971 0.864  0.931 0.917
2#apb#apb08#app0811/i  0.130 0.224  0.207 0.148  0.249 0.051  0.278 -0.053  0.303 -0.158  0.324 -0.264  0.346 -0.370  0.355 -0.477  0.355 -0.585  0.355 -0.693  0.355 -0.801  0.370 -0.908  0.391 -1.014  0.412 -1.120  0.442 -1.224  0.476 -1.326  0.544 -1.373  0.501 -1.274  0.458 -1.175  0.415 -1.075  0.372 -0.976  0.329 -0.877  0.286 -0.778  0.243 -0.679  0.200 -0.579  0.157 -0.480  0.114 -0.381  0.072 -0.282  0.029 -0.183  -0.014 -0.084  -0.057 0.016  -0.100 0.115  -0.143 0.214  -0.186 0.313  -0.229 0.412  -0.272 0.512  -0.315 0.611  -0.358 0.710  -0.401 0.809  -0.444 0.908  -0.487 1.007  -0.530 1.107  -0.573 1.206  -0.616 1.305  -0.659 1.404  -0.701 1.503  -0.744 1.603  -0.787 1.702  -0.747 1.702  -0.705 1.606
2#apb#apb08#app0811/t  -0.531 1.982  -0.443 1.849  -0.353 1.718  -0.260 1.589  -0.218 1.440  -0.199 1.282  -0.181 1.124  -0.161 0.966  -0.137 0.809  -0.112 0.651  -0.087 0.494  -0.063 0.337  -0.055 0.178  -0.048 0.019  -0.040 -0.140  -0.033 -0.299  -0.011 -0.457  0.018 -0.613  0.047 -0.770  0.071 -0.927  0.071 -1.086  0.071 -1.245  0.071 -1.404  0.036 -1.440  -0.046 -1.303  -0.127 -1.167  -0.209 -1.030  -0.291 -0.893  -0.373 -0.757  -0.455 -0.620  -0.537 -0.484  -0.619 -0.347  -0.701 -0.211  -0.783 -0.074  -0.771 -0.000  -0.613 -0.023  -0.454 -0.025  -0.295 -0.013  -0.137 0.002  0.022 0.018  0.180 0.037  0.338 0.056  0.496 0.074  0.655 0.083  0.814 0.091  0.973 0.099  1.132 0.107  1.291 0.109  1.450 0.109  1.609 0.109
2#apb#apb08#app0811/o  0.348 1.166  0.213 1.166  0.078 1.166  -0.054 1.184  -0.186 1.194  -0.319 1.171  -0.431 1.101  -0.536 1.017  -0.622 0.913  -0.709 0.809  -0.763 0.686  -0.813 0.561  -0.863 0.436  -0.837 0.304  -0.809 0.172  -0.781 0.040  -0.751 -0.092  -0.697 -0.215  -0.643 -0.339  -0.589 -0.462  -0.534 -0.586  -0.471 -0.704  -0.387 -0.809  -0.302 -0.915  -0.218 -1.020  -0.125 -1.117  -0.029 -1.213  0.086 -1.260  0.221 -1.260  0.356 -1.256  0.480 -1.203  0.604 -1.150  0.672 -1.034  0.738 -0.917  0.769 -0.787  0.789 -0.653  0.810 -0.520  0.817 -0.388  0.771 -0.261  0.726 -0.134  0.681 -0.007  0.633 0.120  0.577 0.242  0.520 0.365  0.464 0.487  0.400 0.606  0.317 0.712  0.235 0.819  0.146 0.918  0.017 0.946
2#apb#apb08#app0811/n  -1.384 -0.609  -1.323 -0.669  -1.262 -0.730  -1.220 -0.747  -1.184 -0.669  -1.147 -0.592  -1.112 -0.514  -1.077 -0.435  -1.042 -0.357  -1.001 -0.282  -0.952 -0.212  -0.902 -0.141  -0.853 -0.071  -0.804 -0.001  -0.749 0.066  -0.693 0.131  -0.638 0.196  -0.580 0.260  -0.520 0.321  -0.459 0.382  -0.398 0.442  -0.338 0.503  -0.256 0.529  -0.174 0.552  -0.091 0.572  -0.005 0.572  0.081 0.572  0.167 0.572  0.253 0.572  0.331 0.538  0.410 0.503  0.488 0.467  0.566 0.432  0.642 0.393  0.715 0.347  0.788 0.301  0.861 0.256  0.917 0.192  0.967 0.123  1.017 0.053  1.056 -0.023  1.083 -0.104  1.110 -0.185  1.138 -0.267  1.174 -0.345  1.212 -0.421  1.251 -0.498  1.285 -0.577  1.312 -0.658  1.339 -0.740
2#apb#apb08#app0811/y  -1.569 1.115  -1.429 1.062  -1.293 1.003  -1.188 0.897  -1.082 0.791  -0.975 0.686  -0.857 0.595  -0.738 0.504  -0.620 0.413  -0.507 0.314  -0.402 0.209  -0.296 0.103  -0.190 -0.003  -0.078 -0.102  0.040 -0.193  0.159 -0.284  0.277 -0.375  0.424 -0.385  0.573 -0.385  0.715 -0.376  0.745 -0.229  0.775 -0.083  0.805 0.064  0.835 0.210  0.866 0.357  0.896 0.503  0.926 0.650  0.956 0.796  1.007 0.908  0.936 0.780  0.845 0.663  0.733 0.563  0.621 0.464  0.527 0.349  0.442 0.226  0.358 0.102  0.273 -0.021  0.193 -0.147  0.120 -0.277  0.046 -0.408  -0.027 -0.538  -0.105 -0.665  -0.190 -0.788  -0.275 -0.911  -0.361 -1.034  -0.436 -1.163  -0.512 -1.292  -0.587 -1.422  -0.654 -1.555  -0.721 -1.689
2#apb#apb08#app0811/o  -0.248 1.345  -0.140 1.361  -0.143 1.326  -0.194 1.223  -0.245 1.121  -0.296 1.018  -0.351 0.918  -0.422 0.828  -0.494 0.739  -0.565 0.649  -0.637 0.560  -0.708 0.470  -0.759 0.368  -0.811 0.265  -0.862 0.163  -0.919 0.063  -0.982 -0.032  -0.964 -0.145  -0.945 -0.258  -0.905 -0.363  -0.848 -0.463  -0.792 -0.562  -0.719 -0.645  -0.615 -0.691  -0.510 -0.738  -0.405 -0.784  -0.297 -0.821  -0.185 -0.841  -0.072 -0.862  0.041 -0.882  0.153 -0.903  0.259 -0.862  0.363 -0.815  0.467 -0.768  0.571 -0.720  0.675 -0.671  0.764 -0.600  0.854 -0.528  0.927 -0.443  0.984 -0.344  1.041 -0.244  1.083 -0.141  1.083 -0.026  1.083 0.088  1.067 0.200  1.031 0.309  0.994 0.418  0.958 0.526  0.873 0.582  0.762 0.610
2#apb#apb08#app0811/u  -1.544 0.992  -1.464 0.930  -1.384 0.867  -1.303 0.805  -1.223 0.742  -1.148 0.673  -1.076 0.601  -1.004 0.529  -0.932 0.457  -0.868 0.378  -0.804 0.298  -0.741 0.219  -0.677 0.139  -0.616 0.058  -0.570 -0.033  -0.525 -0.124  -0.479 -0.215  -0.433 -0.306  -0.383 -0.395  -0.333 -0.483  -0.282 -0.572  -0.198 -0.624  -0.107 -0.670  -0.014 -0.711  0.083 -0.743  0.180 -0.776  0.276 -0.808  0.377 -0.817  0.479 -0.817  0.580 -0.817  0.678 -0.800  0.765 -0.747  0.845 -0.689  0.873 -0.592  0.901 -0.494  0.919 -0.394  0.919 -0.292  0.919 -0.190  0.919 -0.089  0.897 0.011  0.875 0.110  0.853 0.210  0.826 0.308  0.794 0.405  0.762 0.501  0.729 0.598  0.697 0.694  0.665 0.791  0.649 0.890  0.649 0.992
2#apb#apb08#app0811/r  -0.604 -1.053  -0.546 -1.110  -0.488 -1.168  -0.431 -1.225  -0.373 -1.283  -0.339 -1.355  -0.313 -1.412  -0.287 -1.334  -0.263 -1.256  -0.241 -1.178  -0.219 -1.100  -0.196 -1.021  -0.193 -0.940  -0.193 -0.859  -0.193 -0.778  -0.193 -0.696  -0.193 -0.615  -0.199 -0.533  -0.205 -0.452  -0.211 -0.371  -0.217 -0.290  -0.224 -0.209  -0.230 -0.127  -0.234 -0.046  -0.234 0.035  -0.234 0.117  -0.234 0.198  -0.234 0.280  -0.227 0.359  -0.195 0.434  -0.163 0.509  -0.131 0.584  -0.093 0.656  -0.048 0.724  -0.003 0.792  0.042 0.859  0.112 0.895  0.189 0.921  0.267 0.946  0.344 0.972  0.421 0.998  0.495 1.031  0.570 1.064  0.644 1.097  0.719 1.130  0.793 1.162  0.875 1.162  0.956 1.162  1.038 1.162  1.119 1.162
2#apb#apb08#app0811/h  -0.511 -1.474  -0.511 -1.310  -0.480 -1.150  -0.445 -0.990  -0.411 -0.830  -0.388 -0.669  -0.375 -0.506  -0.361 -0.343  -0.347 -0.180  -0.332 -0.017  -0.318 0.146  -0.303 0.309  -0.296 0.473  -0.289 0.636  -0.282 0.800  -0.273 0.963  -0.264 1.126  -0.250 1.289  -0.225 1.451  -0.212 1.614  -0.157 1.577  -0.125 1.417  -0.120 1.253  -0.120 1.090  -0.158 0.931  -0.200 0.773  -0.242 0.615  -0.284 0.457  -0.325 0.298  -0.367 0.140  -0.409 -0.018  -0.469 -0.164  -0.557 -0.286  -0.430 -0.372  -0.266 -0.372  -0.108 -0.331  0.049 -0.286  0.206 -0.238  0.363 -0.195  0.523 -0.158  0.684 -0.154  0.826 -0.216  0.924 -0.342  0.971 -0.499  1.005 -0.659  1.031 -0.820  1.047 -0.983  1.099 -1.137  1.179 -1.276  1.303 -1.382
2#apb#apb08#app0811/o  -0.513 0.832  -0.553 0.798  -0.664 0.761  -0.758 0.685  -0.817 0.577  -0.877 0.470  -0.935 0.362  -0.990 0.253  -1.045 0.143  -1.059 0.024  -1.059 -0.099  -1.059 -0.222  -0.993 -0.324  -0.925 -0.426  -0.857 -0.528  -0.756 -0.596  -0.652 -0.662  -0.549 -0.728  -0.441 -0.782  -0.322 -0.814  -0.204 -0.845  -0.085 -0.877  0.033 -0.909  0.156 -0.909  0.279 -0.909  0.401 -0.909  0.522 -0.902  0.629 -0.841  0.735 -0.781  0.808 -0.684  0.876 -0.582  0.905 -0.464  0.927 -0.344  0.949 -0.223  0.955 -0.101  0.955 0.022  0.955 0.144  0.946 0.265  0.881 0.368  0.815 0.471  0.749 0.575  0.673 0.670  0.586 0.757  0.499 0.843  0.413 0.930  0.315 1.002  0.207 1.061  0.100 1.121  -0.017 1.153  -0.138 1.173
2#apb#apb08#app0811/m  -1.287 -0.433  -1.214 -0.510  -1.138 -0.440  -1.087 -0.340  -1.036 -0.239  -1.006 -0.130  -0.979 -0.020  -0.954 0.090  -0.954 0.203  -0.954 0.316  -0.954 0.430  -0.954 0.543  -0.954 0.656  -0.931 0.754  -0.840 0.715  -0.753 0.642  -0.683 0.554  -0.613 0.464  -0.549 0.372  -0.492 0.274  -0.435 0.176  -0.379 0.078  -0.324 -0.021  -0.270 -0.120  -0.210 -0.216  -0.142 -0.307  -0.070 -0.392  -0.009 -0.473  0.056 -0.470  0.139 -0.397  0.195 -0.299  0.252 -0.202  0.310 -0.105  0.369 -0.008  0.436 0.083  0.529 0.143  0.634 0.180  0.747 0.180  0.858 0.165  0.966 0.133  1.074 0.099  1.175 0.048  1.276 -0.003  1.365 -0.070  1.445 -0.150  1.534 -0.219  1.627 -0.283  1.678 -0.384  1.729 -0.485  1.779 -0.586
2#apb#apb08#app0811/e  -0.996 0.250  -0.858 0.317  -0.704 0.317  -0.550 0.317  -0.396 0.317  -0.242 0.319  -0.089 0.331  0.064 0.344  0.214 0.377  0.359 0.426  0.505 0.474  0.595 0.589  0.546 0.735  0.435 0.824  0.294 0.887  0.148 0.933  -0.002 0.966  -0.151 0.957  -0.300 0.917  -0.444 0.869  -0.553 0.760  -0.661 0.651  -0.741 0.520  -0.820 0.388  -0.889 0.251  -0.947 0.108  -0.994 -0.036  -0.978 -0.189  -0.963 -0.342  -0.907 -0.485  -0.850 -0.628  -0.741 -0.723  -0.603 -0.792  -0.466 -0.861  -0.316 -0.878  -0.162 -0.878  -0.008 -0.878  0.141 -0.843  0.290 -0.805  0.440 -0.768  0.589 -0.731  0.738 -0.693  0.885 -0.647  1.029 -0.594  1.174 -0.542  1.318 -0.489  1.463 -0.437  1.604 -0.375  1.743 -0.314  1.759 -0.214
