3#apa#apa01#app0156/!  -0.231 1.376  -0.152 1.376  -0.110 1.412  -0.110 1.491  -0.162 1.445  -0.217 1.389  -0.231 1.316  -0.231 1.238  -0.231 1.159  -0.231 1.080  -0.231 1.002  -0.231 0.923  -0.231 0.845  -0.224 0.773  -0.145 0.773  -0.110 0.730  -0.110 0.651  -0.110 0.573  -0.110 0.494  -0.110 0.416  -0.057 0.359  -0.002 0.303  0.011 0.230  0.011 0.151  0.011 0.073  0.011 -0.006  0.011 -0.084  0.011 -0.163  0.011 -0.241  0.011 -0.320  0.011 -0.399  0.011 -0.477  0.011 -0.556  0.011 -0.634  0.050 -0.674  0.128 -0.674  0.146 -0.748  0.161 -0.825  0.177 -0.902  0.192 -0.979  0.208 -1.056  0.223 -1.133  0.238 -1.210  0.252 -1.287  0.252 -1.366  0.252 -1.444  0.252 -1.523  0.252 -1.601  0.294 -1.638  0.372 -1.638
3#apa#apa01#app0156/~  -1.201 -0.777  -1.201 -0.667  -1.201 -0.558  -1.201 -0.448  -1.201 -0.338  -1.201 -0.228  -1.201 -0.118  -1.201 -0.008  -1.201 0.101  -1.120 0.130  -1.019 0.140  -1.019 0.249  -0.972 0.312  -0.862 0.312  -0.752 0.312  -0.646 0.301  -0.569 0.224  -0.491 0.146  -0.475 0.043  -0.459 -0.051  -0.350 -0.051  -0.293 -0.105  -0.293 -0.215  -0.202 -0.233  -0.092 -0.233  0.018 -0.233  0.070 -0.291  0.070 -0.401  0.166 -0.414  0.276 -0.414  0.386 -0.414  0.496 -0.414  0.606 -0.414  0.614 -0.313  0.644 -0.233  0.754 -0.233  0.844 -0.185  0.921 -0.107  0.999 -0.029  1.077 0.048  1.154 0.126  1.158 0.234  1.158 0.344  1.158 0.454  1.208 0.543  1.286 0.621  1.340 0.708  1.340 0.818  1.340 0.928  1.340 1.037
3#apa#apa01#app0156/  -1.512 0.306  -1.437 0.306  -1.363 0.306  -1.289 0.306  -1.215 0.306  -1.148 0.299  -1.148 0.225  -1.148 0.151  -1.148 0.076  -1.148 0.002  -1.133 -0.057  -1.059 -0.057  -0.985 -0.057  -0.911 -0.057  -0.836 -0.057  -0.762 -0.057  -0.688 -0.057  -0.614 -0.057  -0.540 -0.057  -0.465 -0.057  -0.391 -0.057  -0.317 -0.057  -0.243 -0.057  -0.168 -0.057  -0.094 -0.057  -0.020 -0.057  0.054 -0.057  0.128 -0.057  0.203 -0.057  0.277 -0.057  0.351 -0.057  0.425 -0.057  0.499 -0.057  0.574 -0.057  0.648 -0.057  0.722 -0.057  0.796 -0.057  0.870 -0.057  0.945 -0.057  1.019 -0.057  1.093 -0.057  1.167 -0.057  1.242 -0.057  1.316 -0.057  1.390 -0.057  1.464 -0.057  1.538 -0.057  1.613 -0.057  1.687 -0.057  1.761 -0.057
3#apa#apa01#app0156/_  -1.632 0.093  -1.561 0.093  -1.491 0.093  -1.435 0.079  -1.435 0.009  -1.378 -0.005  -1.308 -0.005  -1.237 -0.005  -1.167 -0.005  -1.097 -0.005  -1.026 -0.005  -0.956 -0.005  -0.885 -0.005  -0.815 -0.005  -0.745 -0.005  -0.674 -0.005  -0.604 -0.005  -0.533 -0.005  -0.463 -0.005  -0.393 -0.005  -0.322 -0.005  -0.252 -0.005  -0.181 -0.005  -0.111 -0.005  -0.041 -0.005  0.030 -0.005  0.100 -0.005  0.171 -0.005  0.241 -0.005  0.311 -0.005  0.382 -0.005  0.452 -0.005  0.523 -0.005  0.593 -0.005  0.664 -0.005  0.734 -0.005  0.804 -0.005  0.875 -0.005  0.945 -0.005  1.016 -0.005  1.086 -0.005  1.156 -0.005  1.227 -0.005  1.297 -0.005  1.368 -0.005  1.438 -0.005  1.508 -0.005  1.579 -0.005  1.621 -0.034  1.621 -0.104
3#apa#apa01#app0156/+  -0.303 1.725  -0.303 1.505  -0.303 1.286  -0.212 1.157  -0.019 1.131  -0.019 0.911  -0.019 0.692  -0.019 0.472  -0.019 0.253  -0.019 0.033  -0.019 -0.186  0.082 -0.363  0.238 -0.518  0.265 -0.727  0.265 -0.946  0.265 -1.166  0.265 -1.385  0.472 -1.397  0.548 -1.254  0.548 -1.034  0.548 -0.815  0.548 -0.595  0.401 -0.461  0.211 -0.352  0.020 -0.244  -0.171 -0.135  -0.361 -0.026  -0.552 0.083  -0.742 0.192  -0.933 0.301  -1.123 0.410  -1.314 0.518  -1.438 0.513  -1.426 0.306  -1.207 0.306  -1.036 0.188  -0.881 0.033  -0.666 0.022  -0.447 0.022  -0.227 0.022  -0.008 0.022  0.212 0.022  0.431 0.022  0.651 0.022  0.870 0.022  1.090 0.022  1.309 0.022  1.400 -0.107  1.464 -0.262  1.683 -0.262
3#apa#apa01#app0156/=  -1.411 0.841  -1.264 0.841  -1.117 0.841  -0.970 0.841  -0.823 0.841  -0.676 0.841  -0.529 0.841  -0.382 0.841  -0.235 0.841  -0.088 0.841  0.059 0.841  0.174 0.809  0.174 0.662  0.236 0.577  0.383 0.577  0.530 0.577  0.677 0.577  0.824 0.577  0.971 0.577  1.118 0.577  1.203 0.559  1.078 0.481  0.953 0.403  0.829 0.325  0.704 0.247  0.579 0.169  0.455 0.091  0.330 0.013  0.205 -0.064  0.081 -0.142  -0.044 -0.220  -0.169 -0.298  -0.293 -0.376  -0.418 -0.454  -0.543 -0.532  -0.667 -0.610  -0.792 -0.688  -0.854 -0.773  -0.750 -0.877  -0.646 -0.981  -0.511 -1.009  -0.364 -1.009  -0.217 -1.009  -0.070 -1.009  0.077 -1.009  0.209 -1.044  0.313 -1.148  0.417 -1.252  0.556 -1.273  0.703 -1.273
3#apa#apa01#app0156/[  0.568 1.210  0.634 1.143  0.603 1.117  0.509 1.117  0.415 1.117  0.321 1.117  0.226 1.117  0.132 1.117  0.038 1.117  -0.056 1.117  -0.080 1.048  -0.151 1.025  -0.246 1.025  -0.340 1.025  -0.358 0.949  -0.358 0.855  -0.278 0.840  -0.265 0.759  -0.265 0.665  -0.265 0.571  -0.265 0.477  -0.265 0.383  -0.265 0.289  -0.265 0.195  -0.265 0.100  -0.265 0.006  -0.265 -0.088  -0.265 -0.182  -0.265 -0.276  -0.265 -0.370  -0.265 -0.464  -0.265 -0.558  -0.265 -0.652  -0.265 -0.746  -0.265 -0.840  -0.265 -0.934  -0.265 -1.029  -0.246 -1.103  -0.158 -1.118  -0.091 -1.185  -0.002 -1.196  0.092 -1.196  0.187 -1.196  0.281 -1.196  0.375 -1.196  0.469 -1.196  0.563 -1.196  0.657 -1.196  0.751 -1.196  0.845 -1.196
3#apa#apa01#app0156/]  -1.038 1.209  -1.038 1.113  -0.949 1.107  -0.854 1.107  -0.758 1.107  -0.732 1.038  -0.670 1.005  -0.574 1.005  -0.479 1.005  -0.383 1.005  -0.288 1.005  -0.201 0.984  -0.134 0.916  -0.044 0.903  0.052 0.903  0.147 0.903  0.186 0.846  0.186 0.751  0.186 0.656  0.186 0.560  0.186 0.465  0.186 0.369  0.186 0.274  0.186 0.178  0.190 0.086  0.285 0.086  0.288 -0.006  0.288 -0.101  0.288 -0.197  0.288 -0.292  0.288 -0.388  0.288 -0.483  0.288 -0.578  0.288 -0.674  0.288 -0.769  0.321 -0.832  0.390 -0.858  0.410 -0.934  0.492 -0.947  0.492 -1.042  0.492 -1.138  0.397 -1.138  0.328 -1.201  0.249 -1.240  0.153 -1.240  0.058 -1.240  -0.018 -1.260  -0.031 -1.342  -0.126 -1.342  -0.222 -1.342
3#apa#apa01#app0156/{  0.666 1.406  0.539 1.406  0.411 1.406  0.284 1.406  0.157 1.406  0.067 1.315  -0.028 1.236  -0.098 1.178  -0.182 1.136  -0.240 1.066  -0.252 0.982  -0.182 0.923  -0.082 0.897  0.028 0.855  0.138 0.812  0.180 0.727  0.242 0.661  0.242 0.534  0.242 0.406  0.157 0.364  0.110 0.256  0.020 0.166  -0.070 0.076  -0.101 -0.037  -0.228 -0.037  -0.271 -0.122  -0.398 -0.122  -0.519 -0.124  -0.426 -0.206  -0.298 -0.206  -0.182 -0.218  -0.128 -0.291  -0.029 -0.360  -0.032 -0.461  -0.098 -0.523  -0.117 -0.631  -0.182 -0.692  -0.256 -0.789  -0.267 -0.912  -0.267 -1.039  -0.267 -1.167  -0.198 -1.225  -0.155 -1.310  -0.048 -1.359  0.064 -1.394  0.157 -1.479  0.284 -1.479  0.411 -1.479  0.539 -1.479  0.666 -1.479
3#apa#apa01#app0156/}  -0.740 1.510  -0.620 1.510  -0.500 1.510  -0.458 1.432  -0.364 1.407  -0.329 1.323  -0.271 1.261  -0.271 1.141  -0.190 1.054  -0.184 0.947  -0.271 0.914  -0.271 0.794  -0.331 0.699  -0.364 0.593  -0.369 0.478  -0.458 0.448  -0.402 0.384  -0.364 0.302  -0.261 0.280  -0.175 0.196  -0.056 0.196  0.064 0.196  0.184 0.196  0.304 0.196  0.387 0.159  0.323 0.102  0.203 0.102  0.105 0.081  0.058 0.008  0.011 -0.065  0.011 -0.185  0.033 -0.296  0.123 -0.367  0.230 -0.399  0.315 -0.483  0.400 -0.568  0.484 -0.653  0.569 -0.738  0.574 -0.855  0.574 -0.975  0.574 -1.095  0.572 -1.214  0.488 -1.299  0.403 -1.384  0.318 -1.468  0.209 -1.494  0.089 -1.494  -0.031 -1.494  -0.151 -1.494  -0.177 -1.400
3#apa#apa01#app0156/\\  -1.053 1.354  -1.053 1.270  -1.001 1.237  -0.923 1.224  -0.863 1.164  -0.819 1.098  -0.819 1.014  -0.745 1.003  -0.702 0.962  -0.696 0.880  -0.636 0.820  -0.577 0.761  -0.517 0.701  -0.458 0.641  -0.398 0.582  -0.351 0.517  -0.351 0.433  -0.281 0.418  -0.234 0.381  -0.231 0.298  -0.171 0.238  -0.112 0.179  -0.052 0.119  0.000 0.056  0.000 -0.028  0.062 -0.050  0.117 -0.080  0.117 -0.164  0.175 -0.225  0.234 -0.284  0.234 -0.369  0.286 -0.401  0.351 -0.420  0.351 -0.505  0.351 -0.589  0.389 -0.635  0.468 -0.641  0.468 -0.725  0.509 -0.793  0.568 -0.852  0.645 -0.870  0.702 -0.897  0.702 -0.981  0.781 -0.987  0.819 -1.033  0.833 -1.104  0.917 -1.104  0.936 -1.169  0.969 -1.221  1.053 -1.221
3#apa#apa01#app0156/,  -0.554 1.436  -0.472 1.436  -0.390 1.436  -0.307 1.436  -0.225 1.436  -0.167 1.412  -0.167 1.330  -0.167 1.247  -0.167 1.165  -0.167 1.083  -0.133 1.015  -0.075 0.957  -0.017 0.899  0.041 0.841  0.099 0.783  0.157 0.725  0.215 0.667  0.219 0.586  0.219 0.504  0.219 0.422  0.219 0.340  0.219 0.257  0.219 0.175  0.219 0.093  0.219 0.011  0.219 -0.071  0.219 -0.153  0.219 -0.235  0.219 -0.318  0.219 -0.400  0.219 -0.482  0.219 -0.564  0.219 -0.646  0.219 -0.728  0.219 -0.811  0.210 -0.883  0.127 -0.883  0.045 -0.883  -0.037 -0.883  -0.119 -0.883  -0.167 -0.917  -0.167 -0.999  -0.167 -1.081  -0.167 -1.163  -0.167 -1.245  -0.167 -1.328  -0.167 -1.410  -0.167 -1.492  -0.167 -1.574  -0.167 -1.656
3#apa#apa01#app0156/  0.647 1.581  0.647 1.497  0.647 1.413  0.647 1.329  0.647 1.245  0.577 1.232  0.531 1.194  0.531 1.110  0.531 1.026  0.491 0.959  0.431 0.899  0.414 0.822  0.387 0.766  0.303 0.766  0.297 0.687  0.297 0.603  0.284 0.532  0.200 0.532  0.181 0.468  0.158 0.393  0.099 0.334  0.064 0.264  0.062 0.181  0.003 0.121  -0.052 0.060  -0.052 -0.024  -0.078 -0.102  -0.115 -0.177  -0.153 -0.252  -0.169 -0.332  -0.185 -0.400  -0.269 -0.400  -0.285 -0.467  -0.285 -0.551  -0.287 -0.635  -0.346 -0.694  -0.402 -0.755  -0.402 -0.839  -0.442 -0.906  -0.501 -0.966  -0.518 -1.043  -0.518 -1.127  -0.518 -1.211  -0.518 -1.295  -0.565 -1.332  -0.621 -1.332  -0.537 -1.332  -0.453 -1.332  -0.402 -1.300  -0.402 -1.216
3#apa#apa01#app0156/?  -0.023 -1.381  -0.033 -1.478  -0.119 -1.499  -0.119 -1.606  -0.077 -1.671  -0.023 -1.618  -0.017 -1.511  -0.007 -1.404  0.003 -1.297  0.012 -1.191  0.022 -1.084  0.032 -0.977  0.041 -0.870  0.051 -0.764  0.061 -0.657  0.071 -0.550  0.074 -0.443  0.018 -0.359  -0.023 -0.269  -0.065 -0.179  -0.119 -0.094  -0.119 0.013  -0.171 0.069  -0.216 0.131  -0.267 0.217  -0.269 0.262  -0.162 0.262  -0.055 0.262  0.052 0.262  0.159 0.262  0.239 0.330  0.314 0.406  0.390 0.482  0.461 0.560  0.461 0.667  0.461 0.774  0.433 0.870  0.364 0.949  0.344 1.035  0.245 1.057  0.169 1.132  0.062 1.132  -0.045 1.132  -0.119 1.165  -0.163 1.229  -0.270 1.229  -0.377 1.229  -0.485 1.229  -0.592 1.229  -0.602 1.325
3#apa#apa01#app0156/'  -0.207 1.804  -0.207 1.722  -0.207 1.640  -0.207 1.557  -0.207 1.475  -0.207 1.393  -0.207 1.311  -0.207 1.229  -0.207 1.147  -0.207 1.065  -0.207 0.983  -0.207 0.901  -0.207 0.819  -0.207 0.737  -0.207 0.655  -0.207 0.573  -0.207 0.491  -0.207 0.409  -0.207 0.327  -0.207 0.245  -0.207 0.162  -0.207 0.080  -0.207 -0.002  -0.207 -0.084  -0.207 -0.166  -0.207 -0.248  -0.207 -0.330  -0.207 -0.412  -0.207 -0.494  -0.125 -0.494  -0.043 -0.494  0.039 -0.494  0.121 -0.494  0.204 -0.494  0.286 -0.494  0.368 -0.494  0.368 -0.576  0.368 -0.658  0.368 -0.740  0.368 -0.822  0.368 -0.904  0.368 -0.986  0.368 -1.068  0.368 -1.150  0.368 -1.233  0.368 -1.315  0.368 -1.397  0.368 -1.479  0.368 -1.561  0.368 -1.643
3#apa#apa01#app0156/\"  -0.199 1.614  -0.199 1.456  -0.199 1.297  -0.199 1.139  -0.199 0.981  -0.214 0.828  -0.326 0.716  -0.438 0.604  -0.550 0.492  -0.585 0.349  -0.585 0.190  -0.585 0.032  -0.585 -0.127  -0.585 -0.285  -0.714 -0.314  -0.873 -0.314  -0.971 -0.374  -0.971 -0.533  -0.971 -0.691  -0.971 -0.850  -0.971 -1.008  -0.971 -1.005  -0.971 -0.846  -0.960 -0.694  -0.818 -0.624  -0.677 -0.553  -0.535 -0.482  -0.393 -0.411  -0.252 -0.340  -0.110 -0.269  0.032 -0.199  0.173 -0.128  0.315 -0.057  0.457 0.014  0.598 0.085  0.740 0.155  0.882 0.226  1.023 0.297  1.165 0.368  1.306 0.439  1.343 0.340  1.343 0.182  1.295 0.072  1.137 0.072  0.978 0.072  0.958 -0.066  0.958 -0.225  0.958 -0.383  0.958 -0.541  0.958 -0.700
3#apa#apa01#app0156/<  0.708 1.662  0.708 1.544  0.708 1.426  0.627 1.389  0.571 1.327  0.528 1.253  0.435 1.228  0.431 1.112  0.348 1.029  0.299 0.932  0.269 0.844  0.162 0.833  0.162 0.715  0.084 0.630  0.026 0.536  0.009 0.435  -0.108 0.435  -0.110 0.319  -0.208 0.299  -0.246 0.220  -0.307 0.163  -0.383 0.121  -0.406 0.026  -0.523 0.026  -0.641 0.026  -0.728 -0.047  -0.791 -0.138  -0.801 -0.246  -0.919 -0.246  -0.819 -0.246  -0.728 -0.310  -0.644 -0.393  -0.561 -0.477  -0.478 -0.560  -0.395 -0.643  -0.282 -0.655  -0.246 -0.737  -0.183 -0.791  -0.078 -0.823  0.005 -0.906  0.114 -0.928  0.162 -0.996  0.213 -1.064  0.331 -1.064  0.435 -1.077  0.435 -1.195  0.547 -1.200  0.665 -1.200  0.761 -1.253  0.844 -1.336
3#apa#apa01#app0156/|  -0.276 1.619  -0.276 1.542  -0.276 1.465  -0.254 1.409  -0.177 1.409  -0.100 1.409  -0.065 1.366  -0.065 1.288  -0.065 1.211  -0.065 1.134  -0.065 1.056  -0.065 0.979  -0.065 0.902  -0.065 0.824  -0.065 0.747  -0.065 0.670  -0.065 0.592  -0.065 0.515  -0.065 0.438  -0.065 0.360  -0.065 0.283  -0.065 0.206  -0.065 0.128  -0.065 0.051  -0.065 -0.026  -0.065 -0.104  -0.065 -0.181  -0.065 -0.258  -0.065 -0.336  -0.065 -0.413  -0.061 -0.486  0.017 -0.486  0.094 -0.486  0.145 -0.512  0.145 -0.589  0.145 -0.667  0.145 -0.744  0.145 -0.821  0.145 -0.899  0.145 -0.976  0.145 -1.053  0.145 -1.131  0.145 -1.208  0.145 -1.285  0.145 -1.363  0.145 -1.440  0.145 -1.517  0.201 -1.539  0.279 -1.539  0.356 -1.539
3#apa#apa01#app0156/>  -0.940 1.337  -0.940 1.237  -0.878 1.199  -0.785 1.182  -0.714 1.111  -0.664 1.032  -0.664 0.932  -0.573 0.922  -0.526 0.870  -0.512 0.784  -0.411 0.784  -0.311 0.784  -0.249 0.746  -0.249 0.646  -0.149 0.646  -0.049 0.646  0.027 0.622  0.027 0.522  0.113 0.508  0.213 0.508  0.313 0.508  0.413 0.508  0.442 0.437  0.475 0.370  0.575 0.370  0.580 0.275  0.580 0.175  0.580 0.075  0.580 -0.025  0.523 -0.102  0.452 -0.173  0.404 -0.259  0.359 -0.349  0.314 -0.438  0.304 -0.536  0.304 -0.636  0.303 -0.736  0.233 -0.807  0.165 -0.879  0.165 -0.979  0.165 -1.079  0.137 -1.151  0.037 -1.151  0.027 -1.241  0.027 -1.341  0.027 -1.441  0.027 -1.541  -0.049 -1.565  -0.111 -1.603  -0.111 -1.703
