3#apa#apa00#app0038/!  -0.193 1.075  -0.193 1.156  -0.193 1.237  -0.193 1.318  -0.187 1.393  -0.106 1.393  -0.025 1.393  0.019 1.356  0.019 1.275  0.019 1.195  0.019 1.114  -0.011 1.045  -0.068 0.988  -0.087 0.915  -0.087 0.834  -0.087 0.753  -0.087 0.672  -0.114 0.597  -0.150 0.525  -0.186 0.453  -0.193 0.373  -0.193 0.292  -0.193 0.211  -0.193 0.130  -0.193 0.049  -0.193 -0.031  -0.193 -0.112  -0.193 -0.193  -0.193 -0.274  -0.155 -0.340  -0.098 -0.397  -0.087 -0.473  -0.058 -0.542  -0.001 -0.600  0.043 -0.667  0.079 -0.739  0.115 -0.811  0.151 -0.884  0.187 -0.956  0.223 -1.029  0.260 -1.101  0.296 -1.173  0.332 -1.246  0.368 -1.318  0.404 -1.390  0.441 -1.463  0.368 -1.468  0.287 -1.468  0.231 -1.493  0.231 -1.574
3#apa#apa00#app0038/~  -1.503 -0.717  -1.355 -0.717  -1.299 -0.626  -1.263 -0.513  -1.115 -0.513  -1.094 -0.386  -1.094 -0.238  -1.080 -0.104  -0.932 -0.104  -0.890 0.002  -0.855 0.135  -0.750 0.240  -0.629 0.305  -0.481 0.305  -0.481 0.453  -0.416 0.574  -0.312 0.679  -0.207 0.783  -0.102 0.888  -0.072 1.024  -0.072 1.073  -0.072 0.925  -0.072 0.777  -0.072 0.629  -0.072 0.481  -0.072 0.333  -0.072 0.185  -0.072 0.037  -0.072 -0.111  -0.072 -0.259  -0.072 -0.407  -0.042 -0.543  0.062 -0.648  0.182 -0.717  0.330 -0.717  0.478 -0.717  0.626 -0.717  0.745 -0.689  0.745 -0.541  0.865 -0.513  0.995 -0.468  1.099 -0.363  1.154 -0.238  1.164 -0.094  1.269 0.011  1.359 0.121  1.359 0.269  1.359 0.417  1.415 0.509  1.563 0.509
3#apa#apa00#app0038/  -1.700 -0.121  -1.629 -0.121  -1.558 -0.121  -1.488 -0.121  -1.417 -0.121  -1.347 -0.121  -1.276 -0.121  -1.206 -0.121  -1.135 -0.121  -1.065 -0.121  -0.994 -0.121  -0.924 -0.121  -0.853 -0.121  -0.783 -0.121  -0.712 -0.121  -0.641 -0.121  -0.571 -0.121  -0.500 -0.121  -0.430 -0.121  -0.359 -0.121  -0.289 -0.121  -0.221 -0.110  -0.158 -0.079  -0.095 -0.047  -0.032 -0.016  0.032 0.016  0.095 0.047  0.158 0.079  0.221 0.110  0.289 0.121  0.359 0.121  0.430 0.121  0.500 0.121  0.571 0.121  0.641 0.121  0.712 0.121  0.783 0.121  0.853 0.121  0.924 0.121  0.994 0.121  1.065 0.121  1.135 0.121  1.206 0.121  1.276 0.121  1.347 0.121  1.417 0.121  1.488 0.121  1.558 0.121  1.629 0.121  1.700 0.121
3#apa#apa00#app0038/_  -1.661 -0.031  -1.610 -0.082  -1.560 -0.133  -1.494 -0.147  -1.422 -0.147  -1.350 -0.147  -1.279 -0.147  -1.207 -0.147  -1.135 -0.147  -1.063 -0.147  -0.992 -0.147  -0.920 -0.147  -0.848 -0.147  -0.776 -0.147  -0.705 -0.147  -0.633 -0.147  -0.579 -0.103  -0.529 -0.052  -0.466 -0.031  -0.394 -0.031  -0.322 -0.031  -0.250 -0.031  -0.179 -0.031  -0.107 -0.031  -0.035 -0.031  0.037 -0.031  0.104 -0.014  0.168 0.018  0.232 0.050  0.297 0.083  0.368 0.084  0.440 0.084  0.511 0.084  0.583 0.084  0.655 0.084  0.727 0.084  0.798 0.084  0.870 0.084  0.942 0.084  1.013 0.084  1.085 0.084  1.157 0.084  1.227 0.089  1.277 0.140  1.328 0.190  1.396 0.199  1.468 0.199  1.540 0.199  1.611 0.199  1.683 0.199
3#apa#apa00#app0038/+  0.075 1.558  0.075 1.740  0.075 1.677  0.075 1.495  0.075 1.313  0.075 1.131  0.075 0.949  0.075 0.767  0.075 0.585  0.075 0.403  0.075 0.221  0.106 0.047  0.187 -0.116  0.269 -0.279  0.316 -0.450  0.316 -0.632  0.316 -0.814  0.316 -0.996  0.372 -1.155  0.500 -1.284  0.473 -1.288  0.318 -1.191  0.164 -1.095  0.010 -0.998  -0.145 -0.902  -0.299 -0.806  -0.453 -0.709  -0.608 -0.613  -0.762 -0.516  -0.916 -0.420  -1.071 -0.323  -1.225 -0.227  -1.370 -0.133  -1.188 -0.133  -1.006 -0.133  -0.844 -0.085  -0.715 0.044  -0.560 0.109  -0.378 0.109  -0.196 0.109  -0.014 0.109  0.141 0.175  0.270 0.303  0.432 0.350  0.614 0.350  0.796 0.350  0.978 0.350  1.160 0.350  1.342 0.350  1.525 0.350
3#apa#apa00#app0038/=  -1.585 -0.810  -1.413 -0.810  -1.241 -0.810  -1.070 -0.810  -0.898 -0.810  -0.742 -0.744  -0.588 -0.667  -0.434 -0.590  -0.267 -0.572  -0.095 -0.572  0.077 -0.572  0.249 -0.572  0.421 -0.572  0.593 -0.572  0.764 -0.572  0.893 -0.468  1.015 -0.346  1.182 -0.335  1.353 -0.335  1.478 -0.328  1.312 -0.283  1.146 -0.238  0.980 -0.193  0.815 -0.148  0.649 -0.102  0.483 -0.057  0.317 -0.012  0.151 0.033  -0.014 0.078  -0.180 0.124  -0.346 0.169  -0.512 0.214  -0.677 0.259  -0.843 0.305  -1.009 0.350  -1.110 0.444  -1.109 0.615  -0.937 0.615  -0.766 0.615  -0.606 0.644  -0.484 0.766  -0.348 0.852  -0.177 0.852  -0.005 0.852  0.167 0.852  0.339 0.852  0.511 0.852  0.683 0.852  0.854 0.852  1.026 0.852
3#apa#apa00#app0038/[  0.533 1.511  0.445 1.511  0.441 1.427  0.361 1.419  0.349 1.343  0.277 1.327  0.209 1.279  0.147 1.216  0.084 1.154  0.022 1.092  -0.040 1.030  -0.102 0.968  -0.110 0.883  -0.183 0.868  -0.202 0.799  -0.202 0.711  -0.245 0.641  -0.294 0.574  -0.294 0.486  -0.294 0.398  -0.288 0.316  -0.202 0.314  -0.202 0.226  -0.202 0.138  -0.202 0.050  -0.147 -0.015  -0.110 -0.088  -0.110 -0.176  -0.110 -0.264  -0.110 -0.352  -0.110 -0.440  -0.110 -0.528  -0.110 -0.616  -0.110 -0.703  -0.110 -0.791  -0.110 -0.879  -0.110 -0.967  -0.110 -1.055  -0.110 -1.143  -0.110 -1.231  -0.110 -1.319  -0.041 -1.337  -0.019 -1.272  0.043 -1.245  0.131 -1.245  0.219 -1.245  0.307 -1.245  0.381 -1.213  0.445 -1.154  0.533 -1.154
3#apa#apa00#app0038/]  -0.712 1.046  -0.632 1.046  -0.618 1.114  -0.564 1.141  -0.483 1.141  -0.402 1.141  -0.321 1.141  -0.241 1.141  -0.160 1.141  -0.079 1.141  0.002 1.141  0.083 1.141  0.137 1.114  0.137 1.033  0.137 0.952  0.137 0.871  0.137 0.790  0.137 0.709  0.137 0.628  0.137 0.547  0.137 0.467  0.137 0.386  0.137 0.305  0.137 0.224  0.137 0.143  0.137 0.062  0.137 -0.019  0.137 -0.100  0.137 -0.181  0.137 -0.262  0.137 -0.342  0.137 -0.423  0.137 -0.504  0.137 -0.585  0.137 -0.666  0.137 -0.747  0.137 -0.828  0.137 -0.909  0.137 -0.990  0.137 -1.071  0.137 -1.151  0.137 -1.232  0.137 -1.313  0.137 -1.394  0.137 -1.475  0.083 -1.502  0.002 -1.502  -0.079 -1.502  -0.160 -1.502  -0.241 -1.502
3#apa#apa00#app0038/{  0.368 1.465  0.243 1.465  0.117 1.465  0.033 1.424  -0.006 1.314  -0.101 1.241  -0.227 1.241  -0.303 1.192  -0.366 1.129  -0.415 1.053  -0.505 1.017  -0.527 0.914  -0.527 0.788  -0.508 0.681  -0.415 0.649  -0.369 0.569  -0.261 0.527  -0.165 0.457  -0.039 0.457  0.071 0.419  0.166 0.345  0.281 0.321  0.370 0.233  0.480 0.218  0.480 0.092  0.450 -0.021  0.359 -0.107  0.247 -0.163  0.135 -0.219  0.023 -0.275  -0.088 -0.334  -0.176 -0.423  -0.296 -0.438  -0.303 -0.556  -0.283 -0.662  -0.191 -0.695  -0.144 -0.774  -0.019 -0.774  0.107 -0.774  0.232 -0.774  0.256 -0.875  0.256 -1.001  0.256 -1.126  0.256 -1.252  0.213 -1.333  0.145 -1.391  0.145 -1.517  0.145 -1.642  0.145 -1.768  0.256 -1.781
3#apa#apa00#app0038/}  -0.403 1.479  -0.296 1.463  -0.214 1.387  -0.101 1.387  0.012 1.387  0.104 1.336  0.201 1.296  0.236 1.218  0.327 1.196  0.327 1.083  0.327 0.970  0.274 0.878  0.177 0.840  0.145 0.759  0.053 0.737  0.029 0.634  -0.038 0.548  -0.078 0.475  -0.129 0.413  -0.213 0.384  -0.295 0.309  -0.375 0.229  -0.403 0.127  -0.494 0.105  -0.467 0.019  -0.368 -0.016  -0.279 -0.072  -0.165 -0.072  -0.052 -0.072  0.053 -0.080  0.053 -0.193  0.017 -0.291  -0.038 -0.382  -0.038 -0.495  -0.038 -0.608  -0.038 -0.721  -0.015 -0.825  0.065 -0.905  0.145 -0.985  0.225 -1.065  0.327 -1.083  0.347 -1.187  0.418 -1.271  0.393 -1.374  0.308 -1.441  0.195 -1.441  0.100 -1.485  0.006 -1.532  -0.107 -1.532  -0.220 -1.532
3#apa#apa00#app0038/\\  -1.092 1.151  -1.019 1.151  -0.947 1.151  -0.874 1.151  -0.802 1.151  -0.745 1.112  -0.694 1.061  -0.642 1.009  -0.581 0.972  -0.516 0.940  -0.451 0.907  -0.386 0.875  -0.321 0.842  -0.321 0.770  -0.321 0.697  -0.321 0.624  -0.321 0.552  -0.282 0.495  -0.231 0.444  -0.180 0.393  -0.143 0.331  -0.110 0.266  -0.078 0.201  -0.045 0.136  -0.013 0.071  0.020 0.006  0.052 -0.059  0.085 -0.123  0.117 -0.188  0.154 -0.250  0.206 -0.301  0.257 -0.353  0.304 -0.407  0.336 -0.472  0.369 -0.537  0.401 -0.602  0.433 -0.667  0.466 -0.732  0.498 -0.797  0.531 -0.862  0.563 -0.927  0.596 -0.992  0.628 -1.057  0.661 -1.121  0.693 -1.186  0.726 -1.251  0.758 -1.316  0.809 -1.368  0.861 -1.419  0.912 -1.470
3#apa#apa00#app0038/,  0.482 1.640  0.482 1.560  0.482 1.481  0.482 1.401  0.482 1.322  0.482 1.242  0.482 1.163  0.482 1.083  0.482 1.004  0.482 0.924  0.482 0.845  0.482 0.765  0.482 0.686  0.482 0.606  0.482 0.527  0.482 0.447  0.482 0.368  0.482 0.289  0.482 0.209  0.435 0.177  0.355 0.177  0.276 0.177  0.196 0.177  0.117 0.177  0.081 0.106  0.046 0.035  0.010 -0.036  -0.025 -0.107  -0.061 -0.178  -0.096 -0.249  -0.132 -0.320  -0.168 -0.391  -0.203 -0.463  -0.239 -0.534  -0.289 -0.594  -0.345 -0.650  -0.401 -0.707  -0.457 -0.763  -0.514 -0.819  -0.570 -0.875  -0.615 -0.936  -0.615 -1.016  -0.615 -1.095  -0.615 -1.174  -0.615 -1.254  -0.662 -1.286  -0.742 -1.286  -0.821 -1.286  -0.901 -1.286  -0.980 -1.286
3#apa#apa00#app0038/  0.728 1.498  0.728 1.426  0.728 1.354  0.686 1.300  0.635 1.249  0.585 1.199  0.534 1.148  0.483 1.097  0.433 1.047  0.415 0.982  0.415 0.911  0.391 0.849  0.340 0.798  0.290 0.748  0.239 0.697  0.188 0.646  0.138 0.596  0.103 0.538  0.103 0.467  0.103 0.395  0.103 0.323  0.103 0.252  0.072 0.187  0.040 0.123  0.008 0.059  -0.024 -0.005  -0.056 -0.069  -0.088 -0.133  -0.120 -0.197  -0.152 -0.261  -0.184 -0.325  -0.216 -0.389  -0.248 -0.453  -0.280 -0.517  -0.312 -0.582  -0.344 -0.646  -0.371 -0.712  -0.388 -0.781  -0.406 -0.851  -0.423 -0.920  -0.441 -0.990  -0.458 -1.059  -0.475 -1.129  -0.493 -1.198  -0.510 -1.268  -0.521 -1.338  -0.521 -1.410  -0.521 -1.481  -0.521 -1.553  -0.521 -1.624
3#apa#apa00#app0038/?  -0.538 0.879  -0.538 1.001  -0.486 1.101  -0.452 1.209  -0.349 1.239  -0.256 1.307  -0.134 1.307  -0.012 1.307  0.110 1.307  0.232 1.307  0.320 1.272  0.320 1.150  0.298 1.050  0.234 0.992  0.225 0.879  0.148 0.834  0.091 0.736  0.062 0.625  -0.021 0.538  -0.047 0.426  -0.133 0.340  -0.220 0.254  -0.280 0.157  -0.353 0.107  -0.382 0.005  -0.452 -0.088  -0.452 -0.210  -0.384 -0.304  -0.298 -0.390  -0.183 -0.407  -0.061 -0.407  0.061 -0.407  0.183 -0.407  0.305 -0.407  0.298 -0.513  0.274 -0.633  0.251 -0.752  0.227 -0.872  0.203 -0.991  0.179 -1.111  0.155 -1.231  0.146 -1.350  0.024 -1.350  -0.023 -1.425  0.088 -1.436  0.210 -1.436  0.328 -1.427  0.405 -1.337  0.356 -1.264  0.320 -1.178
3#apa#apa00#app0038/'  -0.758 1.377  -0.758 1.300  -0.758 1.224  -0.758 1.148  -0.758 1.071  -0.758 0.995  -0.733 0.944  -0.656 0.944  -0.580 0.944  -0.504 0.944  -0.427 0.944  -0.351 0.944  -0.326 0.893  -0.326 0.817  -0.326 0.740  -0.326 0.664  -0.326 0.588  -0.325 0.511  -0.271 0.457  -0.217 0.403  -0.163 0.349  -0.109 0.295  -0.055 0.241  -0.001 0.187  0.053 0.133  0.107 0.080  0.141 0.011  0.175 -0.057  0.209 -0.125  0.243 -0.194  0.277 -0.262  0.311 -0.330  0.346 -0.398  0.380 -0.467  0.414 -0.535  0.448 -0.603  0.482 -0.672  0.516 -0.740  0.539 -0.811  0.539 -0.887  0.539 -0.964  0.539 -1.040  0.539 -1.116  0.539 -1.193  0.539 -1.269  0.539 -1.345  0.539 -1.422  0.539 -1.498  0.539 -1.574  0.539 -1.651
3#apa#apa00#app0038/\"  -0.512 1.783  -0.512 1.608  -0.512 1.433  -0.512 1.257  -0.512 1.082  -0.564 0.928  -0.688 0.804  -0.779 0.667  -0.779 0.492  -0.779 0.317  -0.779 0.141  -0.779 -0.034  -0.779 -0.209  -0.761 -0.377  -0.637 -0.500  -0.513 -0.624  -0.512 -0.799  -0.512 -0.975  -0.512 -1.150  -0.395 -1.277  -0.271 -1.401  -0.189 -1.303  -0.118 -1.143  -0.046 -0.983  0.025 -0.823  0.096 -0.663  0.167 -0.502  0.238 -0.342  0.310 -0.182  0.381 -0.022  0.452 0.138  0.523 0.298  0.594 0.459  0.665 0.619  0.737 0.779  0.808 0.939  0.696 0.980  0.559 0.943  0.559 0.767  0.559 0.592  0.559 0.417  0.559 0.242  0.559 0.066  0.559 -0.109  0.559 -0.284  0.559 -0.459  0.559 -0.635  0.559 -0.810  0.559 -0.985  0.559 -1.160
3#apa#apa00#app0038/<  0.839 1.498  0.954 1.498  0.945 1.447  0.864 1.366  0.839 1.261  0.801 1.183  0.686 1.183  0.681 1.073  0.633 0.978  0.552 0.896  0.471 0.815  0.389 0.733  0.308 0.652  0.226 0.570  0.119 0.552  0.029 0.510  -0.022 0.407  -0.074 0.304  -0.147 0.237  -0.262 0.237  -0.315 0.136  -0.367 0.033  -0.418 -0.070  -0.497 -0.153  -0.579 -0.235  -0.660 -0.316  -0.743 -0.394  -0.858 -0.394  -0.896 -0.472  -0.931 -0.552  -1.046 -0.552  -0.946 -0.552  -0.896 -0.617  -0.873 -0.709  -0.758 -0.709  -0.643 -0.709  -0.528 -0.709  -0.413 -0.709  -0.297 -0.709  -0.182 -0.709  -0.067 -0.709  0.048 -0.709  0.163 -0.709  0.258 -0.759  0.339 -0.841  0.444 -0.867  0.559 -0.867  0.674 -0.867  0.757 -0.943  0.839 -1.025
3#apa#apa00#app0038/|  -0.399 1.530  -0.328 1.530  -0.259 1.525  -0.208 1.475  -0.158 1.424  -0.129 1.365  -0.129 1.294  -0.129 1.222  -0.129 1.151  -0.129 1.080  -0.129 1.008  -0.129 0.937  -0.129 0.866  -0.129 0.794  -0.129 0.723  -0.129 0.652  -0.127 0.581  -0.095 0.517  -0.063 0.453  -0.031 0.390  0.001 0.326  0.006 0.256  0.006 0.185  0.006 0.113  0.006 0.042  0.006 -0.029  0.011 -0.099  0.043 -0.163  0.075 -0.227  0.107 -0.291  0.139 -0.355  0.141 -0.425  0.141 -0.497  0.141 -0.568  0.141 -0.639  0.141 -0.711  0.141 -0.782  0.141 -0.853  0.141 -0.924  0.141 -0.996  0.141 -1.067  0.141 -1.138  0.141 -1.210  0.141 -1.281  0.141 -1.352  0.141 -1.424  0.141 -1.495  0.141 -1.566  0.141 -1.637  0.141 -1.709
3#apa#apa00#app0038/>  -0.900 1.277  -0.804 1.277  -0.709 1.277  -0.617 1.268  -0.549 1.201  -0.479 1.139  -0.384 1.139  -0.307 1.096  -0.239 1.028  -0.172 0.961  -0.104 0.893  -0.021 0.864  0.071 0.855  0.139 0.788  0.206 0.720  0.274 0.653  0.341 0.585  0.409 0.518  0.476 0.451  0.544 0.383  0.611 0.316  0.679 0.248  0.746 0.181  0.749 0.086  0.749 -0.009  0.742 -0.097  0.647 -0.097  0.612 -0.158  0.599 -0.248  0.531 -0.315  0.464 -0.383  0.396 -0.450  0.329 -0.518  0.261 -0.585  0.194 -0.653  0.126 -0.720  0.057 -0.784  -0.038 -0.784  -0.116 -0.826  -0.184 -0.893  -0.213 -0.977  -0.225 -1.059  -0.321 -1.059  -0.409 -1.089  -0.495 -1.132  -0.580 -1.174  -0.657 -1.229  -0.724 -1.296  -0.804 -1.334  -0.900 -1.334
