2#apb#apb38#app3869/O  0.556 0.839  0.590 0.977  0.635 1.111  0.600 1.233  0.466 1.242  0.336 1.183  0.209 1.121  0.090 1.043  -0.021 0.957  -0.108 0.844  -0.195 0.732  -0.275 0.615  -0.348 0.493  -0.421 0.371  -0.494 0.249  -0.562 0.124  -0.620 -0.005  -0.677 -0.135  -0.735 -0.265  -0.793 -0.395  -0.843 -0.528  -0.890 -0.662  -0.937 -0.796  -0.959 -0.931  -0.919 -1.067  -0.851 -1.177  -0.718 -1.227  -0.584 -1.275  -0.453 -1.222  -0.321 -1.169  -0.189 -1.116  -0.069 -1.040  0.051 -0.963  0.171 -0.887  0.276 -0.794  0.374 -0.690  0.471 -0.586  0.565 -0.480  0.634 -0.356  0.704 -0.232  0.764 -0.105  0.785 0.036  0.804 0.176  0.763 0.312  0.723 0.449  0.649 0.568  0.566 0.684  0.483 0.799  0.401 0.915  0.319 1.031
2#apb#apb38#app3869/c  1.225 0.729  1.207 0.767  1.181 0.858  1.115 0.908  1.026 0.904  0.934 0.894  0.839 0.894  0.744 0.894  0.649 0.894  0.554 0.894  0.460 0.894  0.365 0.894  0.275 0.873  0.189 0.833  0.103 0.794  0.017 0.754  -0.066 0.708  -0.141 0.651  -0.217 0.594  -0.293 0.537  -0.368 0.480  -0.431 0.408  -0.493 0.336  -0.555 0.265  -0.617 0.193  -0.679 0.121  -0.731 0.044  -0.759 -0.046  -0.787 -0.137  -0.814 -0.228  -0.818 -0.317  -0.778 -0.403  -0.739 -0.489  -0.699 -0.575  -0.653 -0.657  -0.586 -0.724  -0.519 -0.791  -0.452 -0.858  -0.385 -0.925  -0.302 -0.966  -0.212 -0.996  -0.122 -1.026  -0.032 -1.055  0.058 -1.085  0.149 -1.110  0.243 -1.115  0.338 -1.121  0.433 -1.126  0.527 -1.131  0.622 -1.136
2#apb#apb38#app3869/e  -0.249 0.369  -0.329 0.265  -0.370 0.128  -0.336 0.014  -0.206 -0.030  -0.063 -0.025  0.075 0.017  0.212 0.059  0.339 0.123  0.449 0.215  0.560 0.307  0.666 0.404  0.761 0.512  0.857 0.620  0.889 0.759  0.917 0.901  0.882 1.039  0.790 1.109  0.646 1.109  0.502 1.109  0.365 1.067  0.228 1.021  0.092 0.976  -0.043 0.925  -0.165 0.850  -0.288 0.775  -0.411 0.699  -0.534 0.624  -0.612 0.503  -0.690 0.382  -0.768 0.261  -0.846 0.140  -0.828 -0.003  -0.810 -0.145  -0.793 -0.288  -0.734 -0.419  -0.667 -0.546  -0.599 -0.673  -0.532 -0.800  -0.430 -0.902  -0.328 -1.004  -0.226 -1.105  -0.122 -1.204  0.001 -1.279  0.125 -1.353  0.248 -1.427  0.383 -1.473  0.524 -1.504  0.664 -1.536  0.805 -1.567
2#apb#apb38#app3869/1  -0.422 0.549  -0.417 0.422  -0.283 0.443  -0.154 0.523  -0.022 0.599  0.107 0.679  0.226 0.775  0.344 0.871  0.463 0.966  0.581 1.062  0.700 1.157  0.819 1.252  0.939 1.346  0.963 1.411  0.850 1.314  0.767 1.186  0.685 1.058  0.603 0.929  0.522 0.800  0.449 0.667  0.385 0.529  0.322 0.390  0.259 0.252  0.199 0.112  0.140 -0.029  0.080 -0.169  0.023 -0.310  -0.029 -0.453  -0.081 -0.596  -0.130 -0.740  -0.173 -0.886  -0.251 -0.932  -0.386 -0.866  -0.534 -0.835  -0.685 -0.812  -0.836 -0.791  -0.986 -0.804  -1.132 -0.845  -1.156 -0.915  -1.007 -0.906  -0.857 -0.879  -0.706 -0.864  -0.554 -0.848  -0.402 -0.836  -0.251 -0.823  -0.099 -0.817  0.054 -0.817  0.206 -0.818  0.357 -0.839  0.507 -0.861
2#apb#apb38#app3869/B  -1.176 -1.208  -1.195 -1.111  -1.111 -0.967  -1.021 -0.826  -0.937 -0.682  -0.853 -0.537  -0.756 -0.401  -0.647 -0.274  -0.537 -0.148  -0.430 -0.020  -0.325 0.110  -0.219 0.240  -0.113 0.370  0.002 0.491  0.116 0.613  0.231 0.735  0.350 0.852  0.472 0.966  0.594 1.081  0.724 1.186  0.862 1.280  1.015 1.326  1.079 1.214  1.032 1.056  0.953 0.908  0.853 0.775  0.746 0.647  0.611 0.548  0.472 0.456  0.327 0.372  0.177 0.299  0.018 0.250  0.135 0.164  0.290 0.103  0.445 0.039  0.585 -0.049  0.660 -0.190  0.614 -0.345  0.486 -0.453  0.345 -0.543  0.204 -0.632  0.060 -0.718  -0.084 -0.803  -0.239 -0.858  -0.404 -0.890  -0.569 -0.914  -0.736 -0.914  -0.903 -0.914  -1.067 -0.894  -1.139 -0.791
2#apb#apb38#app3869/e  -1.411 -0.494  -1.501 -0.561  -1.505 -0.710  -1.399 -0.806  -1.257 -0.857  -1.115 -0.882  -0.974 -0.827  -0.833 -0.772  -0.695 -0.713  -0.563 -0.639  -0.431 -0.565  -0.299 -0.492  -0.167 -0.418  -0.037 -0.341  0.092 -0.263  0.222 -0.185  0.350 -0.105  0.463 -0.005  0.576 0.095  0.690 0.195  0.788 0.309  0.874 0.433  0.953 0.560  0.976 0.709  0.997 0.858  0.973 1.007  0.938 1.152  0.848 1.273  0.725 1.303  0.578 1.267  0.449 1.194  0.329 1.102  0.212 1.007  0.130 0.880  0.048 0.753  -0.034 0.626  -0.081 0.483  -0.125 0.339  -0.169 0.194  -0.207 0.049  -0.216 -0.102  -0.224 -0.253  -0.212 -0.401  -0.159 -0.542  -0.106 -0.684  0.009 -0.760  0.153 -0.805  0.300 -0.840  0.448 -0.868  0.597 -0.896
2#apb#apb38#app3869/a  0.918 0.808  0.970 0.967  0.880 1.098  0.743 1.171  0.585 1.162  0.444 1.072  0.303 0.983  0.163 0.892  0.022 0.801  -0.118 0.711  -0.253 0.613  -0.383 0.508  -0.512 0.403  -0.642 0.297  -0.747 0.168  -0.848 0.036  -0.950 -0.097  -1.049 -0.231  -1.131 -0.376  -1.213 -0.522  -1.295 -0.668  -1.302 -0.832  -1.280 -0.988  -1.141 -1.080  -0.983 -1.049  -0.822 -1.003  -0.667 -0.945  -0.521 -0.864  -0.375 -0.783  -0.229 -0.701  -0.101 -0.595  0.020 -0.481  0.142 -0.367  0.263 -0.252  0.375 -0.128  0.481 0.001  0.587 0.130  0.693 0.259  0.801 0.386  0.896 0.520  0.863 0.560  0.780 0.415  0.685 0.278  0.619 0.131  0.602 -0.035  0.606 -0.202  0.621 -0.368  0.700 -0.508  0.822 -0.615  0.976 -0.681
2#apb#apb38#app3869/c  1.070 0.531  1.070 0.623  1.070 0.715  1.065 0.806  1.039 0.895  1.007 0.979  0.942 1.044  0.850 1.053  0.759 1.062  0.671 1.059  0.597 1.004  0.523 0.950  0.448 0.896  0.374 0.841  0.300 0.787  0.225 0.734  0.150 0.681  0.075 0.628  -0.000 0.575  -0.075 0.522  -0.146 0.464  -0.200 0.390  -0.254 0.315  -0.307 0.241  -0.361 0.166  -0.415 0.092  -0.469 0.017  -0.519 -0.060  -0.569 -0.137  -0.619 -0.214  -0.669 -0.292  -0.719 -0.369  -0.755 -0.451  -0.769 -0.542  -0.783 -0.633  -0.797 -0.724  -0.764 -0.804  -0.711 -0.879  -0.658 -0.954  -0.595 -1.016  -0.509 -1.047  -0.422 -1.078  -0.336 -1.109  -0.248 -1.133  -0.157 -1.125  -0.065 -1.117  0.026 -1.109  0.118 -1.100  0.209 -1.092  0.301 -1.084
2#apb#apb38#app3869/h  0.143 1.967  0.259 1.965  0.294 1.825  0.299 1.678  0.263 1.535  0.227 1.391  0.190 1.248  0.151 1.106  0.112 0.963  0.068 0.822  0.007 0.687  -0.054 0.553  -0.115 0.418  -0.176 0.283  -0.240 0.150  -0.306 0.018  -0.372 -0.115  -0.438 -0.247  -0.504 -0.379  -0.563 -0.515  -0.619 -0.652  -0.675 -0.789  -0.730 -0.926  -0.794 -1.059  -0.860 -1.191  -0.875 -1.180  -0.789 -1.059  -0.702 -0.939  -0.595 -0.838  -0.488 -0.736  -0.381 -0.634  -0.274 -0.531  -0.169 -0.427  -0.065 -0.322  0.040 -0.218  0.147 -0.116  0.264 -0.026  0.382 0.064  0.496 0.158  0.600 0.262  0.707 0.182  0.674 0.038  0.641 -0.107  0.607 -0.250  0.573 -0.394  0.568 -0.542  0.594 -0.686  0.685 -0.791  0.824 -0.821  0.972 -0.821
2#apb#apb38#app3869/P  -1.215 -1.609  -1.191 -1.484  -1.121 -1.378  -1.051 -1.270  -0.992 -1.156  -0.932 -1.042  -0.867 -0.932  -0.799 -0.823  -0.732 -0.713  -0.660 -0.607  -0.586 -0.502  -0.512 -0.398  -0.437 -0.293  -0.361 -0.190  -0.283 -0.087  -0.206 0.015  -0.128 0.117  -0.051 0.220  0.027 0.322  0.105 0.424  0.183 0.526  0.261 0.628  0.360 0.709  0.461 0.788  0.563 0.866  0.664 0.945  0.777 1.006  0.893 1.061  1.010 1.109  1.129 1.088  1.128 0.960  1.070 0.845  1.013 0.730  0.949 0.620  0.863 0.524  0.777 0.429  0.688 0.337  0.593 0.251  0.498 0.164  0.399 0.083  0.291 0.013  0.184 -0.057  0.075 -0.126  -0.043 -0.176  -0.161 -0.226  -0.280 -0.275  -0.403 -0.311  -0.526 -0.348  -0.649 -0.384  -0.773 -0.390
2#apb#apb38#app3869/l  -1.365 -1.035  -1.274 -1.105  -1.141 -1.136  -1.011 -1.081  -0.883 -1.016  -0.760 -0.942  -0.638 -0.867  -0.521 -0.786  -0.413 -0.691  -0.305 -0.597  -0.197 -0.502  -0.092 -0.405  0.014 -0.308  0.120 -0.211  0.222 -0.110  0.323 -0.009  0.424 0.092  0.506 0.209  0.576 0.334  0.645 0.460  0.709 0.588  0.767 0.719  0.825 0.850  0.864 0.987  0.888 1.128  0.903 1.269  0.854 1.398  0.722 1.376  0.599 1.301  0.485 1.216  0.386 1.112  0.287 1.009  0.190 0.903  0.105 0.788  0.019 0.673  -0.066 0.558  -0.141 0.437  -0.191 0.303  -0.240 0.168  -0.287 0.033  -0.308 -0.109  -0.329 -0.251  -0.336 -0.393  -0.315 -0.534  -0.294 -0.676  -0.241 -0.806  -0.166 -0.929  -0.077 -1.039  0.027 -1.138  0.131 -1.236
2#apb#apb38#app3869/.  0.297 1.661  0.297 1.591  0.297 1.522  0.297 1.452  0.297 1.383  0.297 1.313  0.297 1.243  0.297 1.174  0.297 1.104  0.297 1.035  0.297 0.965  0.296 0.896  0.276 0.829  0.256 0.762  0.236 0.696  0.216 0.629  0.196 0.563  0.176 0.496  0.156 0.429  0.136 0.363  0.116 0.296  0.096 0.229  0.076 0.163  0.056 0.096  0.036 0.029  0.016 -0.037  -0.004 -0.104  -0.024 -0.170  -0.044 -0.237  -0.064 -0.304  -0.084 -0.370  -0.104 -0.437  -0.124 -0.504  -0.144 -0.570  -0.164 -0.637  -0.184 -0.704  -0.204 -0.770  -0.224 -0.837  -0.244 -0.903  -0.264 -0.970  -0.284 -1.037  -0.304 -1.103  -0.324 -1.170  -0.344 -1.237  -0.364 -1.303  -0.384 -1.370  -0.404 -1.436  -0.424 -1.503  -0.444 -1.570  -0.464 -1.636
2#apb#apb38#app3869/1  0.499 1.185  0.520 1.253  0.541 1.322  0.595 1.369  0.617 1.351  0.596 1.282  0.575 1.214  0.555 1.145  0.535 1.076  0.516 1.006  0.496 0.937  0.474 0.869  0.449 0.801  0.424 0.734  0.399 0.666  0.375 0.599  0.350 0.531  0.324 0.464  0.290 0.401  0.257 0.337  0.223 0.274  0.189 0.210  0.156 0.146  0.122 0.083  0.088 0.019  0.054 -0.044  0.019 -0.107  -0.016 -0.170  -0.051 -0.232  -0.086 -0.295  -0.121 -0.358  -0.156 -0.421  -0.190 -0.484  -0.227 -0.546  -0.267 -0.605  -0.307 -0.665  -0.347 -0.725  -0.387 -0.785  -0.427 -0.845  -0.467 -0.905  -0.512 -0.960  -0.558 -1.016  -0.603 -1.072  -0.649 -1.127  -0.694 -1.183  -0.740 -1.238  -0.787 -1.293  -0.833 -1.348  -0.879 -1.403  -0.937 -1.446
2#apb#apb38#app3869/0  0.279 1.114  0.307 1.146  0.236 1.029  0.158 0.917  0.080 0.805  0.002 0.692  -0.076 0.579  -0.153 0.466  -0.235 0.356  -0.318 0.247  -0.400 0.137  -0.482 0.027  -0.547 -0.092  -0.601 -0.218  -0.655 -0.344  -0.709 -0.470  -0.743 -0.602  -0.762 -0.737  -0.782 -0.873  -0.801 -1.008  -0.751 -1.133  -0.690 -1.255  -0.571 -1.318  -0.444 -1.360  -0.309 -1.338  -0.175 -1.313  -0.082 -1.212  0.011 -1.111  0.104 -1.011  0.176 -0.895  0.246 -0.777  0.317 -0.660  0.387 -0.542  0.443 -0.417  0.497 -0.291  0.550 -0.165  0.594 -0.036  0.602 0.100  0.611 0.237  0.608 0.373  0.586 0.509  0.565 0.644  0.543 0.779  0.495 0.908  0.447 1.036  0.399 1.164  0.343 1.289  0.287 1.415  0.232 1.540  0.183 1.668
2#apb#apb38#app3869/5  0.543 1.257  0.402 1.179  0.296 1.061  0.203 0.930  0.116 0.795  0.031 0.658  -0.045 0.517  -0.119 0.374  -0.186 0.228  -0.197 0.074  -0.074 -0.022  0.053 -0.121  0.175 -0.225  0.306 -0.318  0.440 -0.408  0.547 -0.524  0.640 -0.655  0.716 -0.794  0.745 -0.952  0.670 -1.093  0.535 -1.169  0.385 -1.227  0.234 -1.282  0.080 -1.325  -0.080 -1.325  -0.241 -1.325  -0.395 -1.282  -0.548 -1.232  -0.648 -1.149  -0.621 -0.991  -0.594 -0.832  -0.567 -0.674  -0.540 -0.515  -0.513 -0.356  -0.486 -0.198  -0.459 -0.039  -0.432 0.119  -0.405 0.278  -0.377 0.436  -0.350 0.595  -0.323 0.753  -0.296 0.912  -0.269 1.070  -0.222 1.220  -0.081 1.276  0.076 1.308  0.231 1.275  0.387 1.239  0.548 1.239  0.709 1.239
2#apb#apb38#app3869/E  0.004 1.094  -0.120 0.861  -0.204 0.578  -0.287 0.294  -0.369 0.011  -0.459 -0.270  -0.550 -0.551  -0.669 -0.822  -0.796 -1.088  -0.942 -1.345  -1.053 -1.436  -0.946 -1.161  -0.838 -0.886  -0.731 -0.610  -0.624 -0.335  -0.516 -0.060  -0.409 0.215  -0.302 0.490  -0.208 0.729  -0.009 0.806  0.264 0.917  0.551 0.986  0.832 1.078  1.118 1.149  1.408 1.197  1.296 1.098  1.050 0.934  0.805 0.769  0.559 0.605  0.314 0.441  0.068 0.276  -0.026 0.143  0.269 0.158  0.557 0.226  0.845 0.292  1.136 0.340  1.015 0.243  0.755 0.102  0.496 -0.039  0.236 -0.181  -0.023 -0.322  -0.283 -0.463  -0.542 -0.604  -0.802 -0.745  -0.992 -0.919  -0.739 -1.011  -0.456 -0.927  -0.171 -0.850  0.108 -0.755  0.384 -0.650
2#apb#apb38#app3869/.  -0.270 1.601  -0.218 1.549  -0.166 1.497  -0.114 1.445  -0.062 1.393  -0.030 1.327  -0.003 1.259  0.024 1.191  0.052 1.122  0.079 1.054  0.107 0.985  0.134 0.917  0.161 0.849  0.189 0.780  0.216 0.712  0.243 0.644  0.271 0.575  0.298 0.507  0.325 0.439  0.353 0.370  0.380 0.302  0.351 0.234  0.321 0.167  0.291 0.100  0.261 0.033  0.231 -0.035  0.201 -0.102  0.171 -0.169  0.141 -0.237  0.112 -0.304  0.082 -0.371  0.052 -0.438  0.022 -0.506  -0.008 -0.573  -0.038 -0.640  -0.068 -0.707  -0.098 -0.775  -0.128 -0.842  -0.158 -0.909  -0.188 -0.977  -0.217 -1.044  -0.247 -1.111  -0.277 -1.178  -0.307 -1.246  -0.337 -1.313  -0.367 -1.380  -0.397 -1.448  -0.427 -1.515  -0.457 -1.582  -0.487 -1.649
2#apb#apb38#app3869/5  0.734 1.180  0.619 1.067  0.487 0.965  0.338 0.887  0.190 0.809  0.056 0.709  -0.075 0.605  -0.224 0.529  -0.329 0.404  -0.342 0.250  -0.198 0.165  -0.061 0.069  0.083 -0.016  0.233 -0.091  0.341 -0.215  0.438 -0.351  0.509 -0.503  0.535 -0.665  0.490 -0.821  0.388 -0.950  0.259 -1.057  0.113 -1.138  -0.038 -1.209  -0.197 -1.262  -0.358 -1.308  -0.520 -1.329  -0.686 -1.303  -0.848 -1.267  -0.979 -1.196  -0.900 -1.048  -0.822 -0.900  -0.743 -0.752  -0.665 -0.604  -0.586 -0.456  -0.508 -0.308  -0.429 -0.160  -0.350 -0.012  -0.272 0.136  -0.193 0.284  -0.115 0.432  -0.036 0.580  0.043 0.728  0.121 0.875  0.200 1.023  0.307 1.144  0.464 1.190  0.631 1.206  0.798 1.220  0.965 1.227  1.133 1.235
2#apb#apb38#app3869/2  -0.276 1.298  -0.179 1.395  -0.050 1.427  0.086 1.444  0.218 1.427  0.349 1.384  0.470 1.324  0.574 1.235  0.678 1.146  0.735 1.025  0.779 0.895  0.822 0.765  0.841 0.630  0.847 0.493  0.854 0.356  0.814 0.228  0.757 0.102  0.701 -0.023  0.622 -0.133  0.531 -0.236  0.440 -0.339  0.334 -0.423  0.214 -0.488  0.093 -0.554  -0.027 -0.620  -0.152 -0.677  -0.276 -0.734  -0.401 -0.791  -0.529 -0.839  -0.664 -0.864  -0.799 -0.890  -0.932 -0.895  -1.063 -0.854  -1.184 -0.795  -1.213 -0.686  -1.155 -0.566  -1.042 -0.488  -0.929 -0.411  -0.805 -0.361  -0.670 -0.340  -0.534 -0.320  -0.398 -0.299  -0.263 -0.278  -0.127 -0.256  0.008 -0.277  0.143 -0.300  0.271 -0.344  0.386 -0.417  0.498 -0.497  0.606 -0.581
