1d#app#app07#app0717/!  0.119 1.059  0.119 1.136  0.119 1.213  0.119 1.289  0.119 1.366  0.119 1.443  0.119 1.413  0.075 1.355  0.051 1.288  0.051 1.211  0.051 1.135  0.051 1.058  0.051 0.981  0.042 0.907  0.008 0.838  -0.017 0.767  -0.017 0.690  -0.017 0.614  -0.017 0.537  -0.017 0.460  -0.017 0.384  -0.050 0.315  -0.084 0.246  -0.085 0.170  -0.085 0.093  -0.085 0.016  -0.085 -0.061  -0.085 -0.137  -0.085 -0.214  -0.085 -0.291  -0.085 -0.367  -0.085 -0.444  -0.085 -0.521  -0.085 -0.598  -0.085 -0.674  -0.085 -0.751  -0.085 -0.828  -0.085 -0.904  -0.085 -0.981  -0.076 -1.054  -0.021 -1.108  -0.006 -1.182  0.007 -1.258  0.020 -1.333  0.032 -1.409  0.045 -1.485  0.051 -1.561  0.101 -1.588  0.119 -1.647  0.119 -1.588
1d#app#app07#app0717/~  -1.363 -1.185  -1.363 -1.086  -1.347 -0.994  -1.277 -0.925  -1.207 -0.855  -1.189 -0.764  -1.189 -0.666  -1.121 -0.595  -1.052 -0.525  -0.969 -0.488  -0.870 -0.488  -0.792 -0.439  -0.722 -0.370  -0.652 -0.300  -0.583 -0.230  -0.513 -0.161  -0.492 -0.071  -0.492 0.028  -0.427 0.099  -0.357 0.169  -0.288 0.239  -0.218 0.308  -0.148 0.378  -0.079 0.448  -0.009 0.517  0.061 0.587  0.130 0.657  0.200 0.726  0.297 0.731  0.378 0.714  0.378 0.615  0.418 0.557  0.517 0.557  0.552 0.494  0.552 0.395  0.552 0.297  0.563 0.208  0.661 0.208  0.727 0.175  0.727 0.077  0.783 0.034  0.881 0.034  0.980 0.034  1.078 0.034  1.177 0.034  1.268 0.053  1.337 0.122  1.407 0.192  1.499 0.208  1.597 0.208
1d#app#app07#app0717/  -1.550 0.273  -1.476 0.273  -1.403 0.273  -1.329 0.273  -1.281 0.247  -1.281 0.174  -1.281 0.100  -1.281 0.027  -1.230 0.004  -1.157 0.004  -1.083 0.004  -1.010 0.004  -0.936 0.004  -0.863 0.004  -0.789 0.004  -0.716 0.004  -0.642 0.004  -0.569 0.004  -0.495 0.004  -0.421 0.004  -0.348 0.004  -0.274 0.004  -0.201 0.004  -0.127 0.004  -0.054 0.004  0.020 0.004  0.093 0.004  0.167 0.004  0.240 0.004  0.314 0.004  0.387 0.004  0.461 0.004  0.534 0.004  0.608 0.004  0.681 0.004  0.755 0.004  0.828 0.004  0.902 0.004  0.975 0.004  1.049 0.004  1.122 0.004  1.178 -0.039  1.230 -0.091  1.282 -0.143  1.334 -0.194  1.386 -0.246  1.452 -0.265  1.526 -0.265  1.599 -0.265  1.673 -0.265
1d#app#app07#app0717/_  -1.675 -0.197  -1.604 -0.197  -1.534 -0.197  -1.464 -0.197  -1.394 -0.197  -1.323 -0.197  -1.253 -0.197  -1.183 -0.197  -1.117 -0.179  -1.054 -0.147  -0.991 -0.116  -0.928 -0.084  -0.866 -0.053  -0.803 -0.022  -0.740 0.010  -0.677 0.041  -0.612 0.063  -0.542 0.063  -0.471 0.063  -0.401 0.063  -0.331 0.063  -0.261 0.063  -0.190 0.063  -0.120 0.063  -0.050 0.063  0.020 0.063  0.091 0.063  0.161 0.063  0.231 0.063  0.301 0.063  0.372 0.063  0.442 0.063  0.512 0.063  0.582 0.063  0.653 0.063  0.723 0.063  0.793 0.063  0.863 0.063  0.934 0.063  1.004 0.063  1.074 0.063  1.144 0.063  1.215 0.063  1.285 0.063  1.355 0.063  1.425 0.063  1.496 0.063  1.566 0.063  1.636 0.063  1.706 0.063
1d#app#app07#app0717/+  -2.029 -0.208  -1.861 -0.208  -1.693 -0.208  -1.525 -0.208  -1.357 -0.208  -1.189 -0.208  -1.021 -0.208  -0.853 -0.208  -0.685 -0.208  -0.516 -0.208  -0.372 -0.264  -0.253 -0.383  -0.123 -0.475  0.045 -0.475  0.213 -0.475  0.381 -0.475  0.549 -0.475  0.717 -0.475  0.885 -0.475  1.053 -0.475  1.154 -0.430  1.088 -0.276  1.022 -0.121  0.955 0.033  0.889 0.187  0.823 0.342  0.757 0.496  0.691 0.651  0.624 0.805  0.558 0.960  0.492 1.114  0.426 1.269  0.373 1.360  0.373 1.192  0.300 1.054  0.182 0.935  0.106 0.799  0.106 0.631  0.106 0.463  0.084 0.304  -0.035 0.185  -0.154 0.066  -0.161 -0.099  -0.161 -0.267  -0.161 -0.435  -0.161 -0.603  -0.161 -0.771  -0.161 -0.939  -0.161 -1.107  -0.161 -1.275
1d#app#app07#app0717/=  -1.012 0.112  -1.012 0.280  -0.919 0.355  -0.769 0.373  -0.769 0.541  -0.658 0.598  -0.490 0.598  -0.322 0.598  -0.283 0.727  -0.229 0.842  -0.061 0.842  0.064 0.945  0.183 1.064  0.343 1.085  0.511 1.085  0.679 1.085  0.690 0.928  0.772 0.842  0.940 0.842  1.108 0.842  1.102 0.775  0.976 0.664  0.850 0.552  0.725 0.440  0.599 0.329  0.474 0.217  0.348 0.105  0.222 -0.006  0.097 -0.118  -0.029 -0.230  -0.155 -0.341  -0.280 -0.453  -0.406 -0.565  -0.531 -0.676  -0.657 -0.788  -0.783 -0.900  -0.908 -1.011  -0.983 -1.104  -0.815 -1.104  -0.647 -1.104  -0.479 -1.104  -0.311 -1.104  -0.184 -1.005  -0.065 -0.886  0.093 -0.861  0.261 -0.861  0.429 -0.861  0.597 -0.861  0.765 -0.861  0.933 -0.861
1d#app#app07#app0717/[  -0.003 0.696  -0.054 0.765  -0.105 0.833  -0.139 0.918  -0.071 0.970  0.049 0.970  0.168 0.970  0.283 0.982  0.379 1.038  0.499 1.038  0.539 0.970  0.476 1.026  0.368 1.038  0.249 1.038  0.129 1.038  0.009 1.038  -0.110 1.038  -0.208 1.016  -0.276 0.965  -0.276 0.845  -0.294 0.729  -0.344 0.622  -0.344 0.502  -0.344 0.383  -0.344 0.263  -0.344 0.143  -0.344 0.024  -0.276 -0.068  -0.276 -0.187  -0.276 -0.307  -0.208 -0.398  -0.208 -0.518  -0.208 -0.637  -0.220 -0.752  -0.276 -0.848  -0.276 -0.968  -0.276 -1.087  -0.276 -1.207  -0.344 -1.258  -0.253 -1.287  -0.134 -1.287  -0.014 -1.287  0.106 -1.287  0.225 -1.287  0.323 -1.234  0.436 -1.218  0.556 -1.218  0.675 -1.218  0.767 -1.150  0.886 -1.150
1d#app#app07#app0717/]  -0.635 1.246  -0.705 1.212  -0.657 1.127  -0.631 1.035  -0.538 1.008  -0.451 0.965  -0.346 0.965  -0.246 0.984  -0.152 1.030  -0.049 1.035  0.056 1.035  0.154 1.051  0.236 1.106  0.341 1.106  0.420 1.080  0.420 0.975  0.420 0.870  0.420 0.766  0.420 0.661  0.420 0.556  0.420 0.451  0.420 0.347  0.420 0.242  0.420 0.137  0.420 0.033  0.383 -0.057  0.350 -0.148  0.350 -0.252  0.350 -0.357  0.350 -0.462  0.350 -0.567  0.350 -0.671  0.350 -0.776  0.279 -0.811  0.279 -0.915  0.279 -1.020  0.229 -1.075  0.139 -1.089  0.090 -1.145  -0.014 -1.145  -0.119 -1.145  -0.223 -1.140  -0.316 -1.094  -0.417 -1.075  -0.514 -1.056  -0.597 -1.005  -0.702 -1.005  -0.776 -0.936  -0.740 -1.005  -0.705 -1.075
1d#app#app07#app0717/{  0.450 1.499  0.517 1.530  0.579 1.565  0.556 1.499  0.517 1.441  0.454 1.370  0.421 1.279  0.390 1.186  0.315 1.133  0.240 1.078  0.196 0.991  0.153 0.903  0.099 0.826  0.012 0.783  -0.044 0.709  -0.087 0.622  -0.131 0.535  -0.146 0.441  -0.213 0.372  -0.278 0.301  -0.278 0.204  -0.278 0.107  -0.255 0.019  -0.176 -0.025  -0.079 -0.025  -0.045 -0.025  -0.079 -0.087  -0.146 -0.157  -0.146 -0.254  -0.084 -0.290  0.014 -0.290  0.053 -0.347  0.030 -0.422  -0.051 -0.460  -0.120 -0.529  -0.146 -0.615  -0.212 -0.646  -0.252 -0.727  -0.278 -0.814  -0.278 -0.911  -0.278 -1.008  -0.217 -1.080  -0.201 -1.173  -0.157 -1.260  -0.142 -1.353  -0.079 -1.424  -0.079 -1.521  -0.013 -1.552  -0.013 -1.650  -0.013 -1.747
1d#app#app07#app0717/}  0.211 1.729  0.250 1.667  0.273 1.590  0.311 1.505  0.335 1.414  0.366 1.327  0.397 1.239  0.397 1.138  0.392 1.039  0.347 0.949  0.302 0.859  0.273 0.766  0.265 0.668  0.189 0.604  0.099 0.559  0.008 0.535  -0.063 0.464  -0.150 0.429  -0.224 0.365  -0.299 0.305  -0.346 0.251  -0.284 0.213  -0.215 0.181  -0.128 0.149  -0.040 0.119  -0.105 0.050  -0.183 -0.005  -0.266 -0.048  -0.284 -0.141  -0.284 -0.241  -0.194 -0.252  -0.094 -0.252  -0.037 -0.295  0.025 -0.334  0.025 -0.434  0.025 -0.535  0.025 -0.635  0.025 -0.736  0.013 -0.834  -0.032 -0.924  -0.037 -1.023  -0.066 -1.116  -0.098 -1.209  -0.098 -1.310  -0.098 -1.410  -0.157 -1.487  -0.160 -1.586  -0.168 -1.683  -0.222 -1.761  -0.222 -1.862
1d#app#app07#app0717/\\  -0.234 1.621  -0.234 1.549  -0.234 1.477  -0.221 1.417  -0.149 1.417  -0.132 1.362  -0.132 1.290  -0.132 1.218  -0.132 1.146  -0.132 1.074  -0.132 1.002  -0.132 0.930  -0.097 0.873  -0.046 0.822  -0.030 0.756  -0.030 0.684  -0.030 0.612  -0.030 0.540  -0.030 0.468  -0.029 0.396  0.003 0.332  0.036 0.267  0.068 0.203  0.072 0.132  0.072 0.060  0.072 -0.012  0.072 -0.084  0.072 -0.156  0.072 -0.228  0.072 -0.300  0.072 -0.372  0.072 -0.444  0.072 -0.516  0.072 -0.588  0.072 -0.660  0.072 -0.732  0.072 -0.804  0.072 -0.877  0.072 -0.949  0.072 -1.021  0.072 -1.093  0.072 -1.165  0.072 -1.237  0.072 -1.309  0.072 -1.381  0.072 -1.453  0.072 -1.525  0.132 -1.537  0.174 -1.567  0.174 -1.639
1d#app#app07#app0717/,  1.057 1.269  1.057 1.199  1.057 1.129  1.057 1.059  1.024 1.003  0.974 0.954  0.925 0.904  0.875 0.855  0.826 0.805  0.776 0.756  0.727 0.707  0.678 0.657  0.628 0.608  0.579 0.558  0.529 0.509  0.480 0.459  0.430 0.410  0.381 0.361  0.332 0.311  0.282 0.262  0.233 0.212  0.183 0.163  0.134 0.113  0.084 0.064  0.035 0.014  -0.014 -0.035  -0.064 -0.084  -0.113 -0.134  -0.163 -0.183  -0.212 -0.233  -0.262 -0.282  -0.311 -0.332  -0.361 -0.381  -0.410 -0.430  -0.459 -0.480  -0.509 -0.529  -0.558 -0.579  -0.608 -0.628  -0.657 -0.678  -0.707 -0.727  -0.756 -0.776  -0.805 -0.826  -0.855 -0.875  -0.904 -0.925  -0.954 -0.974  -1.003 -1.024  -1.059 -1.057  -1.129 -1.057  -1.199 -1.057  -1.269 -1.057
1d#app#app07#app0717/  0.875 1.223  0.875 1.296  0.848 1.305  0.796 1.254  0.766 1.193  0.766 1.119  0.718 1.066  0.666 1.014  0.614 0.962  0.562 0.910  0.547 0.843  0.547 0.769  0.547 0.696  0.509 0.638  0.457 0.586  0.397 0.546  0.331 0.513  0.265 0.481  0.219 0.436  0.219 0.362  0.192 0.295  0.160 0.230  0.127 0.164  0.085 0.105  0.033 0.053  -0.019 0.001  -0.071 -0.051  -0.118 -0.107  -0.151 -0.172  -0.183 -0.238  -0.216 -0.304  -0.267 -0.356  -0.319 -0.408  -0.371 -0.460  -0.423 -0.512  -0.461 -0.574  -0.494 -0.640  -0.527 -0.705  -0.559 -0.771  -0.592 -0.837  -0.625 -0.903  -0.659 -0.967  -0.711 -1.019  -0.763 -1.071  -0.765 -1.144  -0.765 -1.217  -0.765 -1.291  -0.765 -1.364  -0.765 -1.437  -0.765 -1.511
1d#app#app07#app0717/?  -0.518 0.178  -0.442 0.262  -0.442 0.379  -0.442 0.495  -0.442 0.612  -0.365 0.652  -0.365 0.768  -0.349 0.874  -0.244 0.927  -0.208 1.019  -0.136 1.063  -0.054 1.101  0.033 1.172  0.149 1.172  0.266 1.172  0.382 1.172  0.492 1.156  0.553 1.065  0.553 0.948  0.553 0.832  0.500 0.737  0.474 0.631  0.422 0.527  0.332 0.484  0.247 0.408  0.165 0.325  0.094 0.238  0.054 0.138  -0.028 0.056  -0.110 -0.027  -0.193 -0.109  -0.212 -0.217  -0.212 -0.334  -0.212 -0.450  -0.156 -0.511  -0.136 -0.607  -0.076 -0.664  -0.036 -0.740  0.017 -0.803  0.090 -0.889  0.077 -1.003  0.059 -1.118  0.042 -1.233  0.024 -1.348  0.006 -1.463  -0.012 -1.579  -0.029 -1.694  -0.047 -1.809  -0.059 -1.924  -0.059 -2.041
1d#app#app07#app0717/'  0.940 1.455  0.887 1.401  0.833 1.348  0.780 1.294  0.726 1.240  0.673 1.187  0.619 1.133  0.566 1.080  0.512 1.026  0.458 0.973  0.405 0.919  0.351 0.865  0.298 0.812  0.244 0.758  0.244 0.683  0.244 0.607  0.244 0.531  0.244 0.456  0.223 0.389  0.169 0.335  0.116 0.281  0.062 0.228  0.008 0.174  -0.045 0.121  -0.099 0.067  -0.104 -0.006  -0.104 -0.082  -0.104 -0.158  -0.104 -0.233  -0.120 -0.303  -0.174 -0.356  -0.227 -0.410  -0.281 -0.463  -0.334 -0.517  -0.388 -0.570  -0.442 -0.624  -0.453 -0.695  -0.453 -0.771  -0.453 -0.847  -0.453 -0.922  -0.453 -0.998  -0.453 -1.074  -0.453 -1.150  -0.453 -1.225  -0.453 -1.301  -0.498 -1.332  -0.574 -1.332  -0.649 -1.332  -0.725 -1.332  -0.801 -1.332
1d#app#app07#app0717/\"  -0.326 1.810  -0.326 1.692  -0.326 1.573  -0.326 1.455  -0.326 1.336  -0.326 1.218  -0.326 1.099  -0.326 0.981  -0.326 0.862  -0.381 0.767  -0.465 0.683  -0.549 0.599  -0.573 0.491  -0.573 0.373  -0.573 0.254  -0.573 0.136  -0.618 0.036  -0.702 -0.048  -0.786 -0.132  -0.820 -0.236  -0.820 -0.354  -0.820 -0.473  -0.820 -0.591  -0.773 -0.649  -0.658 -0.620  -0.543 -0.592  -0.429 -0.563  -0.314 -0.534  -0.199 -0.505  -0.084 -0.477  0.031 -0.448  0.146 -0.419  0.261 -0.391  0.376 -0.362  0.491 -0.333  0.606 -0.304  0.721 -0.276  0.836 -0.247  0.950 -0.218  1.065 -0.189  1.139 -0.184  1.055 -0.268  0.971 -0.352  0.909 -0.444  0.909 -0.563  0.909 -0.681  0.909 -0.800  0.909 -0.918  0.909 -1.037  0.909 -1.155
1d#app#app07#app0717/<  1.410 1.100  1.296 1.100  1.183 1.100  1.070 1.100  0.956 1.100  0.875 1.020  0.776 0.986  0.682 0.940  0.601 0.860  0.521 0.780  0.426 0.721  0.324 0.671  0.217 0.644  0.109 0.620  0.008 0.569  -0.089 0.511  -0.169 0.431  -0.272 0.387  -0.379 0.351  -0.487 0.316  -0.577 0.251  -0.657 0.171  -0.737 0.091  -0.844 0.075  -0.931 0.011  -1.024 -0.039  -1.094 -0.082  -1.094 -0.195  -1.051 -0.266  -0.950 -0.296  -0.870 -0.376  -0.758 -0.380  -0.645 -0.380  -0.531 -0.380  -0.418 -0.380  -0.316 -0.428  -0.214 -0.478  -0.104 -0.494  -0.070 -0.573  -0.014 -0.663  0.066 -0.743  0.146 -0.823  0.226 -0.904  0.321 -0.949  0.386 -0.998  0.434 -1.063  0.499 -1.111  0.533 -1.210  0.613 -1.291  0.613 -1.404
1d#app#app07#app0717/|  0.330 1.658  0.330 1.586  0.330 1.515  0.330 1.444  0.330 1.372  0.330 1.301  0.330 1.230  0.330 1.158  0.330 1.087  0.330 1.016  0.330 0.944  0.330 0.873  0.330 0.801  0.330 0.730  0.285 0.678  0.234 0.627  0.213 0.564  0.213 0.493  0.213 0.422  0.203 0.353  0.171 0.289  0.139 0.225  0.108 0.161  0.076 0.098  0.044 0.034  0.012 -0.030  -0.020 -0.094  -0.052 -0.158  -0.084 -0.221  -0.116 -0.285  -0.145 -0.350  -0.167 -0.418  -0.190 -0.486  -0.212 -0.553  -0.235 -0.621  -0.254 -0.689  -0.254 -0.761  -0.270 -0.828  -0.302 -0.892  -0.334 -0.956  -0.366 -1.020  -0.371 -1.090  -0.371 -1.161  -0.371 -1.233  -0.371 -1.304  -0.371 -1.375  -0.371 -1.447  -0.386 -1.511  -0.437 -1.562  -0.487 -1.612
1d#app#app07#app0717/>  -0.429 1.388  -0.336 1.388  -0.321 1.309  -0.257 1.280  -0.214 1.231  -0.179 1.173  -0.107 1.152  -0.100 1.066  -0.007 1.066  0.061 1.005  0.127 0.940  0.193 0.874  0.276 0.851  0.355 0.818  0.421 0.752  0.430 0.663  0.477 0.589  0.543 0.524  0.608 0.458  0.645 0.380  0.645 0.287  0.645 0.194  0.645 0.101  0.645 0.008  0.645 -0.085  0.600 -0.160  0.535 -0.225  0.469 -0.291  0.430 -0.368  0.409 -0.448  0.326 -0.489  0.243 -0.531  0.153 -0.545  0.074 -0.579  0.008 -0.645  -0.073 -0.689  -0.156 -0.730  -0.234 -0.779  -0.300 -0.845  -0.384 -0.867  -0.463 -0.901  -0.529 -0.967  -0.594 -1.032  -0.667 -1.082  -0.757 -1.088  -0.823 -1.154  -0.901 -1.189  -0.966 -1.218  -0.951 -1.296  -0.858 -1.296
