2#tos#t2#t2068064/\"  -0.929 0.848  -1.073 0.752  -1.212 0.653  -1.127 0.565  -0.954 0.565  -0.882 0.425  -0.824 0.262  -0.747 0.107  -0.741 -0.064  -0.741 -0.237  -0.741 -0.410  -0.741 -0.583  -0.739 -0.755  -0.646 -0.890  -0.646 -1.062  -0.646 -1.235  -0.603 -1.240  -0.519 -1.089  -0.435 -0.937  -0.351 -0.786  -0.267 -0.635  -0.183 -0.484  -0.099 -0.333  -0.015 -0.182  0.069 -0.031  0.153 0.121  0.237 0.272  0.321 0.423  0.405 0.574  0.489 0.725  0.573 0.876  0.657 1.027  0.741 1.178  0.712 1.117  0.589 1.036  0.551 1.036  0.578 0.890  0.672 0.812  0.687 0.645  0.766 0.505  0.766 0.332  0.766 0.159  0.766 -0.014  0.766 -0.187  0.766 -0.360  0.766 -0.533  0.766 -0.705  0.766 -0.878  0.766 -1.051  0.766 -1.224
2#tos#t2#t2068064/=  -0.442 0.903  -0.576 0.803  -0.718 0.683  -0.893 0.595  -1.067 0.508  -0.950 0.490  -0.754 0.490  -0.559 0.490  -0.364 0.490  -0.168 0.490  0.027 0.490  0.222 0.490  0.384 0.572  0.545 0.655  0.729 0.703  0.916 0.738  1.096 0.804  1.287 0.821  1.286 0.768  1.117 0.671  0.948 0.573  0.778 0.476  0.609 0.378  0.440 0.281  0.270 0.183  0.101 0.086  -0.068 -0.012  -0.238 -0.109  -0.407 -0.207  -0.576 -0.304  -0.746 -0.402  -0.915 -0.499  -1.084 -0.597  -1.254 -0.694  -1.271 -0.751  -1.076 -0.751  -0.963 -0.834  -0.768 -0.834  -0.572 -0.834  -0.377 -0.834  -0.185 -0.825  -0.020 -0.751  0.137 -0.713  0.288 -0.668  0.483 -0.668  0.679 -0.668  0.874 -0.668  1.069 -0.668  1.265 -0.668  1.460 -0.668
2#tos#t2#t2068064/>  -0.675 1.321  -0.763 1.262  -0.851 1.203  -0.768 1.155  -0.673 1.108  -0.578 1.060  -0.484 1.013  -0.389 0.965  -0.294 0.918  -0.199 0.870  -0.116 0.811  -0.069 0.716  0.025 0.668  0.125 0.635  0.228 0.609  0.328 0.577  0.423 0.529  0.518 0.482  0.621 0.471  0.666 0.410  0.767 0.387  0.864 0.349  0.902 0.284  0.854 0.189  0.762 0.167  0.722 0.101  0.722 -0.005  0.626 -0.015  0.543 -0.072  0.468 -0.147  0.418 -0.232  0.403 -0.330  0.318 -0.394  0.233 -0.458  0.156 -0.529  0.098 -0.617  0.027 -0.683  -0.072 -0.715  -0.166 -0.763  -0.250 -0.817  -0.250 -0.923  -0.336 -0.983  -0.424 -1.042  -0.457 -1.133  -0.532 -1.208  -0.607 -1.283  -0.614 -1.387  -0.689 -1.426  -0.764 -1.501  -0.796 -1.594
2#tos#t2#t2068064/?  -0.556 0.934  -0.666 0.934  -0.631 0.993  -0.556 1.028  -0.471 1.052  -0.362 1.052  -0.252 1.052  -0.143 1.052  -0.033 1.052  0.076 1.052  0.186 1.052  0.287 1.032  0.365 0.954  0.459 0.919  0.524 0.832  0.588 0.758  0.679 0.739  0.668 0.640  0.561 0.638  0.561 0.528  0.471 0.491  0.374 0.458  0.276 0.409  0.208 0.364  0.208 0.254  0.125 0.229  0.037 0.175  -0.027 0.092  -0.036 -0.013  -0.127 -0.073  -0.203 -0.142  -0.203 -0.251  -0.203 -0.361  -0.203 -0.470  -0.145 -0.555  -0.145 -0.665  -0.141 -0.771  -0.086 -0.825  -0.075 -0.933  -0.048 -1.040  -0.021 -1.146  0.005 -1.252  0.032 -1.358  -0.052 -1.418  -0.149 -1.460  -0.240 -1.521  -0.262 -1.619  -0.246 -1.712  -0.203 -1.645  -0.203 -1.535
2#tos#t2#t2068064/^  -1.118 -0.525  -1.211 -0.587  -1.304 -0.649  -1.354 -0.734  -1.427 -0.761  -1.315 -0.761  -1.203 -0.761  -1.164 -0.661  -1.128 -0.555  -1.038 -0.525  -0.926 -0.525  -0.852 -0.465  -0.802 -0.365  -0.740 -0.272  -0.678 -0.179  -0.647 -0.077  -0.558 -0.054  -0.459 -0.023  -0.380 0.056  -0.288 0.104  -0.219 0.173  -0.162 0.261  -0.063 0.294  0.016 0.373  0.095 0.452  0.174 0.531  0.218 0.624  0.221 0.733  0.333 0.733  0.424 0.782  0.454 0.881  0.557 0.890  0.611 0.833  0.623 0.733  0.710 0.693  0.760 0.593  0.783 0.497  0.847 0.450  0.848 0.338  0.926 0.259  0.926 0.147  0.926 0.035  0.936 -0.074  0.986 -0.174  1.075 -0.211  1.083 -0.314  1.083 -0.426  1.096 -0.525  1.162 -0.571  1.162 -0.683
2#tos#t2#t2068064/_  -0.548 0.262  -0.643 0.262  -0.737 0.250  -0.829 0.227  -0.921 0.203  -1.013 0.180  -1.106 0.157  -1.198 0.134  -1.249 0.079  -1.249 -0.016  -1.249 -0.111  -1.249 -0.206  -1.246 -0.299  -1.151 -0.299  -1.056 -0.299  -0.961 -0.299  -0.866 -0.299  -0.771 -0.299  -0.675 -0.299  -0.580 -0.299  -0.485 -0.299  -0.390 -0.299  -0.295 -0.299  -0.200 -0.299  -0.127 -0.276  -0.127 -0.181  -0.127 -0.086  -0.101 -0.012  -0.009 0.011  0.084 0.034  0.176 0.057  0.268 0.080  0.360 0.103  0.453 0.122  0.548 0.122  0.644 0.122  0.739 0.122  0.834 0.122  0.929 0.122  1.024 0.122  1.119 0.122  1.214 0.122  1.309 0.122  1.404 0.122  1.499 0.122  1.594 0.122  1.690 0.122  1.695 0.212  1.740 0.262  1.835 0.262
2#tos#t2#t2068064/`  -1.022 1.346  -1.022 1.266  -1.022 1.185  -1.009 1.108  -0.973 1.036  -0.937 0.964  -0.901 0.892  -0.865 0.820  -0.829 0.748  -0.812 0.672  -0.812 0.592  -0.812 0.511  -0.739 0.504  -0.658 0.504  -0.578 0.504  -0.498 0.504  -0.417 0.504  -0.353 0.466  -0.296 0.409  -0.239 0.352  -0.182 0.295  -0.125 0.238  -0.068 0.181  -0.011 0.124  0.040 0.064  0.076 -0.008  0.112 -0.080  0.148 -0.152  0.184 -0.224  0.220 -0.296  0.274 -0.338  0.354 -0.338  0.435 -0.338  0.497 -0.383  0.553 -0.440  0.610 -0.497  0.662 -0.556  0.662 -0.637  0.662 -0.717  0.662 -0.797  0.662 -0.878  0.662 -0.958  0.731 -0.970  0.811 -0.970  0.891 -0.970  0.972 -0.970  1.052 -0.970  1.083 -1.020  1.083 -1.100  1.083 -1.180
2#tos#t2#t2068064/}  -0.306 1.543  -0.299 1.543  -0.204 1.543  -0.108 1.543  -0.083 1.473  -0.006 1.454  0.007 1.371  0.051 1.320  0.051 1.224  0.051 1.128  0.051 1.033  0.051 0.937  0.051 0.841  0.051 0.746  0.051 0.650  0.007 0.599  0.007 0.503  0.007 0.407  0.007 0.312  -0.038 0.261  -0.038 0.165  -0.037 0.070  0.040 0.026  0.096 -0.014  0.187 -0.019  0.283 -0.019  0.274 -0.034  0.208 -0.063  0.141 -0.091  0.070 -0.143  0.051 -0.227  0.051 -0.323  0.051 -0.419  0.051 -0.515  0.051 -0.610  0.051 -0.706  0.051 -0.802  0.051 -0.897  0.051 -0.993  0.051 -1.089  0.096 -1.140  0.096 -1.235  0.096 -1.331  0.071 -1.402  -0.024 -1.402  -0.109 -1.429  -0.197 -1.447  -0.293 -1.447  -0.389 -1.447  -0.484 -1.447
2#tos#t2#t2068064/~  -1.184 -0.446  -1.058 -0.306  -0.932 -0.166  -0.806 -0.026  -0.679 0.114  -0.553 0.254  -0.380 0.288  -0.192 0.288  -0.019 0.220  0.094 0.141  0.139 -0.003  0.212 -0.118  0.286 -0.233  0.359 -0.348  0.359 -0.536  0.417 -0.667  0.458 -0.814  0.647 -0.814  0.835 -0.814  1.021 -0.811  1.021 -0.622  1.094 -0.507  1.094 -0.319  1.116 -0.152  1.231 -0.079  1.241 0.100  1.241 0.288  1.241 0.477  1.241 0.665  1.117 0.716  0.930 0.695  0.743 0.674  0.555 0.653  0.368 0.632  0.181 0.611  -0.007 0.591  -0.194 0.570  -0.381 0.549  -0.569 0.528  -0.752 0.500  -0.890 0.411  -0.956 0.288  -1.037 0.181  -1.184 0.140  -1.184 -0.049  -1.184 -0.237  -1.257 -0.352  -1.257 -0.541  -1.257 -0.729  -1.331 -0.887
2#tos#t2#t2068064/1  -0.488 1.144  -0.619 1.101  -0.533 1.105  -0.462 1.221  -0.356 1.297  -0.238 1.344  -0.133 1.408  -0.087 1.500  -0.001 1.551  0.071 1.485  0.071 1.347  0.122 1.260  0.122 1.123  0.122 0.985  0.122 0.848  0.172 0.722  0.172 0.584  0.172 0.447  0.172 0.309  0.172 0.172  0.172 0.034  0.172 -0.103  0.172 -0.241  0.172 -0.378  0.172 -0.516  0.223 -0.603  0.223 -0.740  0.132 -0.790  -0.005 -0.798  -0.142 -0.807  -0.279 -0.815  -0.417 -0.824  -0.554 -0.832  -0.691 -0.838  -0.789 -0.935  -0.662 -0.940  -0.539 -0.925  -0.489 -0.838  -0.351 -0.838  -0.221 -0.806  -0.088 -0.787  0.050 -0.787  0.187 -0.787  0.314 -0.742  0.450 -0.736  0.588 -0.736  0.725 -0.736  0.863 -0.736  0.950 -0.685  1.087 -0.685
2#tos#t2#t2068064/2  -0.584 0.098  -0.739 0.098  -0.755 0.236  -0.755 0.391  -0.729 0.542  -0.712 0.695  -0.584 0.757  -0.540 0.880  -0.456 0.974  -0.339 1.036  -0.208 1.116  -0.058 1.146  0.090 1.181  0.239 1.207  0.393 1.207  0.548 1.207  0.617 1.122  0.696 1.020  0.781 0.901  0.781 0.747  0.721 0.652  0.664 0.527  0.568 0.434  0.505 0.301  0.388 0.207  0.319 0.069  0.201 -0.013  0.105 -0.112  -0.024 -0.195  -0.157 -0.272  -0.279 -0.365  -0.379 -0.481  -0.434 -0.625  -0.540 -0.727  -0.627 -0.819  -0.674 -0.926  -0.755 -1.033  -0.682 -1.140  -0.528 -1.140  -0.373 -1.140  -0.219 -1.134  -0.069 -1.096  0.081 -1.059  0.200 -0.969  0.354 -0.969  0.507 -0.952  0.658 -0.926  0.781 -0.894  0.925 -0.884  1.080 -0.884
2#tos#t2#t2068064/5  -0.416 0.488  -0.416 0.317  -0.416 0.147  -0.318 0.075  -0.225 -0.003  -0.055 -0.003  0.116 -0.003  0.286 -0.003  0.457 -0.003  0.595 -0.081  0.747 -0.143  0.762 -0.304  0.762 -0.474  0.671 -0.588  0.574 -0.727  0.516 -0.887  0.396 -1.007  0.263 -1.111  0.162 -1.241  0.028 -1.328  -0.139 -1.357  -0.286 -1.426  -0.457 -1.426  -0.514 -1.314  -0.514 -1.143  -0.514 -0.973  -0.514 -0.802  -0.514 -0.632  -0.514 -0.461  -0.514 -0.291  -0.514 -0.121  -0.514 0.050  -0.514 0.220  -0.514 0.391  -0.514 0.561  -0.514 0.732  -0.514 0.902  -0.514 1.072  -0.514 1.107  -0.423 1.028  -0.253 1.028  -0.084 1.040  0.080 1.077  0.251 1.077  0.421 1.077  0.591 1.077  0.762 1.077  0.932 1.077  1.089 1.109  1.253 1.126
2#tos#t2#t2068064/8  0.280 0.109  0.394 0.251  0.562 0.308  0.708 0.423  0.778 0.588  0.892 0.712  0.911 0.894  0.823 1.046  0.737 1.203  0.581 1.280  0.397 1.287  0.210 1.287  0.023 1.287  -0.135 1.233  -0.284 1.161  -0.419 1.077  -0.520 0.991  -0.586 0.819  -0.604 0.636  -0.542 0.461  -0.489 0.282  -0.379 0.137  -0.309 -0.022  -0.223 -0.166  -0.094 -0.298  0.043 -0.420  0.154 -0.568  0.205 -0.747  0.296 -0.909  0.322 -1.092  0.322 -1.279  0.249 -1.436  0.101 -1.531  -0.086 -1.531  -0.271 -1.527  -0.425 -1.447  -0.520 -1.305  -0.609 -1.147  -0.646 -0.976  -0.646 -0.788  -0.625 -0.606  -0.570 -0.428  -0.477 -0.268  -0.393 -0.101  -0.225 -0.017  -0.110 0.125  0.062 0.194  0.249 0.194  0.358 0.302  0.532 0.320
2#tos#t2#t2068064/B  -0.487 1.106  -0.487 0.934  -0.456 0.678  -0.441 0.419  -0.441 0.155  -0.441 -0.108  -0.441 -0.371  -0.441 -0.635  -0.414 -0.887  -0.304 -1.104  -0.304 -1.358  -0.318 -1.096  -0.333 -0.833  -0.347 -0.570  -0.361 -0.307  -0.376 -0.044  -0.390 0.219  -0.404 0.482  -0.419 0.745  -0.433 1.008  -0.441 1.271  -0.241 1.412  0.018 1.426  0.282 1.426  0.493 1.329  0.691 1.163  0.839 0.961  0.784 0.711  0.615 0.562  0.466 0.414  0.246 0.283  -0.002 0.205  -0.246 0.139  -0.433 0.154  -0.196 0.237  0.067 0.237  0.330 0.237  0.574 0.192  0.795 0.069  0.939 -0.069  0.976 -0.328  0.885 -0.554  0.786 -0.776  0.638 -0.989  0.425 -1.121  0.233 -1.296  0.011 -1.366  -0.235 -1.454  -0.498 -1.454  -0.761 -1.454
2#tos#t2#t2068064/H  -0.907 1.145  -0.907 0.893  -0.907 0.641  -0.907 0.389  -0.907 0.138  -0.907 -0.114  -0.907 -0.366  -0.907 -0.618  -0.907 -0.870  -0.907 -1.122  -0.907 -1.374  -0.778 -1.196  -0.639 -0.985  -0.500 -0.775  -0.361 -0.565  -0.222 -0.355  -0.083 -0.145  0.056 0.066  0.195 0.276  0.334 0.486  0.473 0.696  0.612 0.906  0.750 1.117  0.889 1.327  1.028 1.537  0.933 1.329  0.917 1.079  0.883 0.831  0.883 0.579  0.883 0.327  0.883 0.075  0.828 -0.154  0.784 -0.387  0.784 -0.639  0.784 -0.891  0.706 -0.980  0.511 -0.821  0.316 -0.662  0.120 -0.503  -0.075 -0.343  -0.270 -0.184  -0.466 -0.025  -0.691 0.051  -0.823 0.001  -0.571 0.001  -0.319 0.001  -0.069 0.030  0.180 0.051  0.432 0.051  0.684 0.051
2#tos#t2#t2068064/I  -0.695 1.350  -0.672 1.248  -0.546 1.248  -0.420 1.248  -0.294 1.248  -0.168 1.248  -0.052 1.288  0.071 1.299  0.197 1.299  0.323 1.299  0.314 1.286  0.191 1.261  0.125 1.190  0.067 1.088  0.022 0.981  0.022 0.855  0.022 0.729  0.022 0.603  0.022 0.477  0.022 0.351  0.022 0.225  0.022 0.100  0.022 -0.026  0.022 -0.152  0.022 -0.278  0.022 -0.404  0.022 -0.530  0.041 -0.652  0.073 -0.773  0.073 -0.899  0.091 -1.007  0.037 -0.978  -0.082 -0.938  -0.202 -0.898  -0.321 -0.858  -0.446 -0.853  -0.555 -0.880  -0.551 -0.956  -0.425 -0.956  -0.299 -0.956  -0.173 -0.956  -0.048 -0.956  0.078 -0.954  0.197 -0.914  0.319 -0.881  0.441 -0.853  0.567 -0.853  0.693 -0.853  0.819 -0.853  0.945 -0.853
2#tos#t2#t2068064/M  -0.960 -1.050  -1.027 -1.190  -1.004 -1.070  -0.994 -0.890  -0.994 -0.709  -0.994 -0.527  -0.994 -0.345  -0.994 -0.164  -0.994 0.018  -0.994 0.200  -0.956 0.377  -0.908 0.552  -0.893 0.731  -0.852 0.857  -0.733 0.732  -0.658 0.600  -0.545 0.463  -0.504 0.286  -0.452 0.114  -0.404 -0.061  -0.329 -0.226  -0.206 -0.358  -0.093 -0.478  0.047 -0.545  0.183 -0.472  0.268 -0.326  0.340 -0.167  0.438 -0.022  0.457 0.153  0.512 0.321  0.583 0.482  0.659 0.647  0.721 0.816  0.721 0.998  0.756 1.171  0.788 1.202  0.788 1.020  0.788 0.839  0.788 0.657  0.788 0.475  0.788 0.294  0.788 0.112  0.763 -0.067  0.755 -0.248  0.755 -0.430  0.755 -0.611  0.780 -0.789  0.788 -0.969  0.789 -1.151  0.889 -1.251
2#tos#t2#t2068064/N  -0.914 0.989  -0.914 0.774  -0.914 0.484  -0.914 0.194  -0.914 -0.096  -0.914 -0.386  -0.914 -0.676  -0.914 -0.967  -0.839 -1.239  -0.712 -1.188  -0.564 -0.938  -0.415 -0.689  -0.267 -0.440  -0.119 -0.190  0.030 0.059  0.178 0.308  0.326 0.558  0.474 0.807  0.623 1.057  0.771 1.306  0.850 1.531  0.850 1.240  0.850 0.950  0.850 0.660  0.850 0.370  0.850 0.080  0.850 -0.210  0.850 -0.500  0.888 -0.784  0.888 -1.074  0.719 -0.927  0.524 -0.712  0.329 -0.497  0.134 -0.282  -0.061 -0.067  -0.256 0.147  -0.451 0.362  -0.646 0.577  -0.841 0.792  -0.977 0.839  -0.794 0.649  -0.605 0.476  -0.431 0.249  -0.198 0.082  -0.008 -0.109  0.176 -0.316  0.387 -0.512  0.550 -0.747  0.767 -0.917  0.926 -1.076
2#tos#t2#t2068064/O  -0.499 0.906  -0.591 0.847  -0.655 0.728  -0.672 0.596  -0.741 0.479  -0.780 0.351  -0.799 0.217  -0.803 0.081  -0.825 -0.053  -0.832 -0.189  -0.832 -0.325  -0.832 -0.461  -0.832 -0.597  -0.832 -0.733  -0.778 -0.847  -0.669 -0.925  -0.590 -1.035  -0.484 -1.117  -0.350 -1.126  -0.214 -1.126  -0.082 -1.098  0.053 -1.093  0.135 -0.993  0.269 -0.966  0.380 -0.901  0.443 -0.780  0.527 -0.675  0.629 -0.588  0.713 -0.481  0.809 -0.385  0.867 -0.267  0.934 -0.159  0.934 -0.023  0.934 0.113  0.934 0.249  0.934 0.386  0.927 0.520  0.901 0.650  0.854 0.740  0.766 0.808  0.643 0.840  0.550 0.915  0.420 0.940  0.284 0.940  0.148 0.940  0.012 0.940  -0.124 0.940  -0.260 0.940  -0.396 0.940  -0.532 0.940
