3#app#app37#app3719/Q  -0.590 0.721  -0.590 0.522  -0.639 0.332  -0.702 0.144  -0.710 -0.054  -0.710 -0.252  -0.710 -0.451  -0.634 -0.631  -0.558 -0.814  -0.496 -1.003  -0.470 -1.197  -0.274 -1.200  -0.076 -1.200  0.123 -1.200  0.251 -1.060  0.321 -0.890  0.428 -0.726  0.517 -0.548  0.606 -0.371  0.611 -0.173  0.611 0.025  0.611 0.224  0.611 0.422  0.611 0.621  0.542 0.790  0.401 0.931  0.346 1.106  0.205 1.247  0.038 1.321  -0.111 1.441  -0.230 1.521  -0.388 1.561  -0.387 1.479  -0.324 1.298  -0.288 1.103  -0.253 0.907  -0.217 0.712  -0.182 0.517  -0.146 0.322  -0.110 0.126  -0.058 -0.051  0.011 -0.221  0.053 -0.402  0.131 -0.568  0.249 -0.718  0.371 -0.796  0.395 -0.984  0.491 -1.143  0.591 -1.300  0.731 -1.440
3#app#app37#app3719/H  -0.257 1.714  -0.267 1.443  -0.383 1.196  -0.383 0.922  -0.383 0.648  -0.383 0.374  -0.383 0.100  -0.383 -0.174  -0.383 -0.448  -0.383 -0.722  -0.383 -0.996  -0.298 -0.856  -0.190 -0.604  -0.082 -0.353  0.026 -0.101  0.133 0.151  0.241 0.403  0.349 0.655  0.457 0.906  0.565 1.158  0.673 1.410  0.693 1.532  0.624 1.287  0.624 1.013  0.624 0.739  0.624 0.465  0.630 0.192  0.750 -0.053  0.750 -0.327  0.750 -0.601  0.750 -0.875  0.655 -1.049  0.381 -1.033  0.108 -1.016  -0.166 -1.000  -0.439 -0.984  -0.713 -0.968  -0.986 -0.952  -1.260 -0.936  -1.310 -0.809  -1.158 -0.581  -0.933 -0.472  -0.678 -0.425  -0.435 -0.351  -0.235 -0.173  0.021 -0.097  0.236 0.068  0.466 0.173  0.727 0.204  1.001 0.204
3#app#app37#app3719/O  -0.137 1.325  -0.137 1.176  -0.160 1.037  -0.266 0.932  -0.277 0.788  -0.383 0.683  -0.401 0.541  -0.445 0.400  -0.492 0.258  -0.533 0.116  -0.533 -0.033  -0.533 -0.182  -0.533 -0.331  -0.533 -0.480  -0.533 -0.629  -0.533 -0.778  -0.533 -0.926  -0.513 -1.055  -0.375 -1.081  -0.269 -1.186  -0.258 -1.330  -0.152 -1.436  -0.010 -1.451  0.136 -1.443  0.241 -1.338  0.346 -1.233  0.430 -1.111  0.496 -0.978  0.524 -0.836  0.524 -0.687  0.609 -0.573  0.657 -0.444  0.657 -0.295  0.657 -0.146  0.657 0.003  0.657 0.152  0.642 0.297  0.575 0.430  0.524 0.567  0.488 0.701  0.392 0.810  0.370 0.950  0.265 1.056  0.121 1.067  0.016 1.173  -0.125 1.193  -0.274 1.193  -0.401 1.172  -0.374 1.034  -0.269 0.929
3#app#app37#app3719/W  -1.011 1.056  -1.011 0.842  -1.011 0.627  -0.929 0.432  -0.895 0.225  -0.840 0.024  -0.780 -0.177  -0.735 -0.372  -0.665 -0.558  -0.665 -0.773  -0.550 -0.939  -0.550 -0.883  -0.550 -0.669  -0.550 -0.454  -0.459 -0.261  -0.434 -0.052  -0.434 0.162  -0.429 0.375  -0.333 0.567  -0.271 0.759  -0.204 0.945  -0.204 1.160  -0.204 0.968  -0.120 0.774  -0.089 0.567  -0.089 0.352  -0.089 0.137  -0.089 -0.077  -0.032 -0.268  0.027 -0.458  0.027 -0.673  0.123 -0.865  0.182 -1.058  0.333 -1.210  0.417 -1.364  0.589 -1.263  0.603 -1.054  0.718 -0.955  0.718 -0.741  0.718 -0.526  0.777 -0.325  0.834 -0.124  0.866 0.083  0.949 0.278  0.949 0.492  0.949 0.707  1.017 0.893  1.064 1.088  1.179 1.187  1.179 1.402
3#app#app37#app3719/T  -0.260 1.222  -0.260 1.083  -0.260 0.944  -0.260 0.805  -0.260 0.666  -0.260 0.527  -0.260 0.389  -0.260 0.250  -0.260 0.111  -0.260 -0.028  -0.260 -0.167  -0.260 -0.306  -0.260 -0.445  -0.260 -0.584  -0.260 -0.723  -0.260 -0.862  -0.260 -1.001  -0.260 -1.139  -0.260 -1.278  -0.260 -1.417  -0.260 -1.556  -0.260 -1.650  -0.258 -1.511  -0.234 -1.375  -0.210 -1.238  -0.186 -1.101  -0.162 -0.964  -0.137 -0.827  -0.113 -0.691  -0.089 -0.554  -0.065 -0.417  -0.041 -0.280  -0.017 -0.143  0.007 -0.007  0.032 0.130  0.056 0.267  0.080 0.404  0.104 0.540  0.128 0.677  0.152 0.814  0.176 0.951  0.216 1.070  0.355 1.070  0.493 1.070  0.632 1.070  0.737 1.152  0.847 1.222  0.986 1.222  1.111 1.235  1.111 1.374
3#app#app37#app3719/O  -0.774 -0.437  -0.815 -0.519  -0.856 -0.600  -0.896 -0.682  -0.908 -0.770  -0.892 -0.854  -0.828 -0.919  -0.759 -0.972  -0.668 -0.972  -0.577 -0.972  -0.485 -0.972  -0.394 -0.972  -0.303 -0.972  -0.212 -0.972  -0.121 -0.972  -0.052 -0.919  0.012 -0.854  0.097 -0.838  0.173 -0.815  0.214 -0.734  0.255 -0.652  0.296 -0.571  0.360 -0.506  0.424 -0.442  0.429 -0.353  0.429 -0.262  0.429 -0.171  0.429 -0.080  0.429 0.011  0.429 0.102  0.429 0.193  0.429 0.285  0.429 0.376  0.429 0.467  0.429 0.558  0.429 0.649  0.429 0.740  0.429 0.831  0.429 0.922  0.429 1.013  0.379 1.084  0.315 1.148  0.250 1.212  0.186 1.277  0.122 1.341  0.057 1.405  -0.007 1.470  -0.071 1.534  -0.148 1.569  -0.239 1.569
3#app#app37#app3719/W  -1.068 1.204  -1.068 0.988  -0.980 0.792  -0.951 0.583  -0.942 0.371  -0.833 0.200  -0.833 -0.016  -0.733 -0.191  -0.715 -0.400  -0.715 -0.616  -0.691 -0.822  -0.597 -0.999  -0.479 -1.166  -0.479 -1.156  -0.479 -0.940  -0.394 -0.744  -0.362 -0.536  -0.362 -0.320  -0.362 -0.104  -0.270 0.091  -0.244 0.301  -0.244 0.517  -0.244 0.733  -0.244 0.949  -0.047 0.968  -0.008 0.791  -0.008 0.575  0.006 0.365  0.109 0.191  0.109 -0.025  0.109 -0.241  0.118 -0.453  0.227 -0.624  0.257 -0.828  0.345 -1.008  0.463 -1.106  0.618 -1.114  0.698 -0.932  0.735 -0.724  0.816 -0.527  0.816 -0.311  0.816 -0.095  0.859 0.111  0.934 0.309  0.934 0.525  0.940 0.739  1.052 0.909  1.052 1.125  1.169 1.223  1.169 1.439
3#app#app37#app3719/A  0.014 1.661  0.014 1.378  0.014 1.095  0.014 0.813  -0.037 0.536  -0.105 0.262  -0.139 -0.016  -0.261 -0.270  -0.442 -0.483  -0.533 -0.728  -0.625 -0.973  -0.753 -1.202  -0.753 -1.022  -0.753 -0.740  -0.739 -0.460  -0.613 -0.208  -0.486 0.045  -0.446 0.318  -0.371 0.583  -0.292 0.847  -0.139 1.066  -0.139 1.349  -0.051 1.595  0.204 1.661  0.334 1.507  0.475 1.366  0.475 1.083  0.475 0.800  0.475 0.518  0.475 0.235  0.475 -0.048  0.475 -0.330  0.628 -0.549  0.628 -0.832  0.642 -1.100  0.781 -1.244  0.781 -1.288  0.686 -1.100  0.415 -1.029  0.147 -0.940  -0.121 -0.851  -0.389 -0.761  -0.657 -0.672  -0.599 -0.611  -0.441 -0.487  -0.198 -0.392  0.047 -0.301  0.280 -0.180  0.499 -0.027  0.628 0.127
3#app#app37#app3719/L  -0.480 1.851  -0.480 1.747  -0.480 1.642  -0.480 1.538  -0.480 1.434  -0.480 1.330  -0.424 1.249  -0.350 1.176  -0.344 1.074  -0.344 0.970  -0.344 0.866  -0.344 0.761  -0.344 0.657  -0.344 0.553  -0.344 0.449  -0.344 0.345  -0.344 0.241  -0.344 0.136  -0.344 0.032  -0.344 -0.072  -0.344 -0.176  -0.344 -0.280  -0.344 -0.384  -0.344 -0.489  -0.344 -0.593  -0.344 -0.697  -0.344 -0.801  -0.344 -0.905  -0.344 -1.009  -0.240 -1.009  -0.136 -1.009  -0.031 -1.009  0.064 -1.001  0.064 -0.897  0.145 -0.873  0.235 -0.839  0.309 -0.765  0.401 -0.737  0.473 -0.705  0.473 -0.600  0.566 -0.554  0.660 -0.507  0.751 -0.459  0.825 -0.385  0.905 -0.328  1.010 -0.328  1.018 -0.232  1.082 -0.192  1.154 -0.160  1.154 -0.056
3#app#app37#app3719/T  0.308 1.168  0.308 1.006  0.308 0.844  0.308 0.682  0.308 0.520  0.308 0.358  0.308 0.196  0.308 0.034  0.308 -0.128  0.308 -0.290  0.308 -0.452  0.308 -0.614  0.308 -0.776  0.308 -0.938  0.308 -1.100  0.308 -1.262  0.308 -1.424  0.228 -1.505  0.168 -1.404  0.081 -1.278  -0.031 -1.160  -0.139 -1.040  -0.247 -0.919  -0.356 -0.799  -0.464 -0.678  -0.572 -0.558  -0.681 -0.438  -0.789 -0.317  -0.897 -0.197  -1.006 -0.077  -1.114 0.044  -1.222 0.164  -1.102 0.183  -0.987 0.295  -0.837 0.324  -0.675 0.324  -0.530 0.397  -0.384 0.464  -0.226 0.479  -0.081 0.551  0.056 0.634  0.172 0.746  0.327 0.764  0.441 0.879  0.556 0.993  0.704 1.027  0.866 1.027  1.028 1.027  1.179 1.053  1.293 1.168
3#app#app37#app3719/Z  -0.738 0.707  -0.837 0.707  -0.706 0.738  -0.599 0.828  -0.455 0.828  -0.329 0.871  -0.218 0.950  -0.090 0.989  0.020 1.071  0.149 1.107  0.257 1.193  0.388 1.224  0.479 1.299  0.517 1.193  0.600 1.132  0.542 1.013  0.440 0.911  0.357 0.801  0.335 0.663  0.271 0.534  0.189 0.417  0.088 0.316  -0.012 0.212  -0.076 0.083  -0.147 -0.041  -0.249 -0.143  -0.351 -0.244  -0.452 -0.346  -0.494 -0.473  -0.494 -0.617  -0.586 -0.723  -0.688 -0.825  -0.738 -0.948  -0.738 -1.092  -0.654 -1.201  -0.526 -1.240  -0.382 -1.240  -0.252 -1.179  -0.123 -1.118  0.021 -1.118  0.150 -1.082  0.252 -0.980  0.353 -0.878  0.491 -0.862  0.593 -0.761  0.694 -0.659  0.827 -0.631  0.849 -0.510  0.985 -0.490  1.087 -0.388
