3#apa#apa00#app0012/b  -0.168 2.093  -0.209 1.981  -0.240 1.864  -0.290 1.756  -0.312 1.635  -0.312 1.506  -0.312 1.377  -0.312 1.247  -0.312 1.118  -0.312 0.989  -0.312 0.859  -0.312 0.730  -0.312 0.601  -0.312 0.471  -0.312 0.342  -0.312 0.213  -0.312 0.083  -0.256 -0.033  -0.240 -0.158  -0.240 -0.288  -0.240 -0.417  -0.240 -0.546  -0.240 -0.676  -0.255 -0.799  -0.312 -0.905  -0.312 -0.823  -0.303 -0.695  -0.246 -0.580  -0.168 -0.482  -0.117 -0.373  -0.025 -0.282  0.074 -0.209  0.179 -0.150  0.231 -0.065  0.350 -0.022  0.472 0.007  0.515 -0.101  0.551 -0.215  0.596 -0.326  0.623 -0.444  0.623 -0.573  0.623 -0.702  0.623 -0.832  0.623 -0.961  0.559 -1.064  0.505 -1.144  0.406 -1.217  0.306 -1.288  0.177 -1.288  0.120 -1.216
3#apa#apa00#app0012/l  0.155 1.638  0.155 1.704  0.155 1.620  0.129 1.564  0.081 1.528  0.081 1.445  0.081 1.362  0.053 1.285  0.016 1.211  0.006 1.130  0.006 1.046  0.006 0.963  0.003 0.880  -0.017 0.799  -0.037 0.719  -0.058 0.638  -0.068 0.556  -0.068 0.473  -0.068 0.389  -0.098 0.313  -0.135 0.239  -0.142 0.157  -0.142 0.074  -0.142 -0.009  -0.142 -0.092  -0.142 -0.176  -0.169 -0.248  -0.217 -0.311  -0.217 -0.395  -0.217 -0.478  -0.217 -0.561  -0.217 -0.644  -0.217 -0.728  -0.217 -0.811  -0.217 -0.894  -0.217 -0.977  -0.217 -1.061  -0.187 -1.114  -0.142 -1.153  -0.095 -1.189  -0.012 -1.189  0.071 -1.189  0.155 -1.189  0.236 -1.183  0.294 -1.124  0.353 -1.065  0.426 -1.040  0.453 -0.983  0.518 -0.965  0.601 -0.965
3#apa#apa00#app0012/s  0.439 1.150  0.439 1.250  0.345 1.256  0.245 1.256  0.145 1.256  0.045 1.256  0.012 1.189  -0.049 1.150  -0.149 1.150  -0.249 1.150  -0.309 1.109  -0.343 1.043  -0.416 1.015  -0.416 0.915  -0.402 0.829  -0.309 0.822  -0.309 0.721  -0.309 0.621  -0.267 0.531  -0.222 0.441  -0.202 0.346  -0.153 0.295  -0.095 0.252  -0.070 0.163  0.001 0.092  0.072 0.021  0.143 -0.050  0.214 -0.121  0.225 -0.216  0.280 -0.294  0.332 -0.372  0.346 -0.467  0.417 -0.538  0.439 -0.629  0.439 -0.729  0.439 -0.829  0.439 -0.929  0.409 -1.017  0.338 -1.088  0.267 -1.159  0.196 -1.229  0.125 -1.300  0.028 -1.307  -0.072 -1.307  -0.173 -1.307  -0.273 -1.307  -0.373 -1.307  -0.473 -1.307  -0.558 -1.271  -0.629 -1.200
3#apa#apa00#app0012/w  -1.248 1.315  -1.144 1.225  -1.144 1.031  -1.144 0.836  -1.109 0.656  -1.040 0.491  -1.040 0.297  -1.040 0.103  -0.935 -0.048  -0.935 -0.242  -0.874 -0.411  -0.831 -0.587  -0.747 -0.746  -0.727 -0.807  -0.623 -0.717  -0.495 -0.637  -0.334 -0.558  -0.244 -0.454  -0.169 -0.312  -0.103 -0.145  0.001 -0.055  0.074 0.066  0.105 0.229  0.209 0.380  0.209 0.575  0.105 0.665  0.041 0.795  0.001 0.848  0.001 0.654  0.001 0.460  0.051 0.278  0.105 0.097  0.105 -0.098  0.209 -0.249  0.209 -0.443  0.265 -0.614  0.328 -0.781  0.466 -0.919  0.637 -0.974  0.801 -0.902  0.878 -0.766  0.998 -0.645  1.041 -0.461  1.173 -0.322  1.249 -0.159  1.272 0.031  1.334 0.215  1.353 0.406  1.353 0.601  1.353 0.795
3#apa#apa00#app0012/a  -1.056 0.830  -0.928 0.848  -0.903 0.983  -0.801 1.085  -0.673 1.103  -0.638 1.213  -0.493 1.213  -0.348 1.213  -0.203 1.213  -0.058 1.213  0.087 1.213  0.232 1.213  0.348 1.184  0.381 1.052  0.475 0.946  0.475 0.801  0.475 0.656  0.411 0.575  0.348 0.494  0.348 0.349  0.231 0.320  0.215 0.188  0.113 0.085  0.040 -0.039  -0.024 -0.169  -0.121 -0.276  -0.163 -0.403  -0.266 -0.445  -0.290 -0.566  -0.388 -0.671  -0.418 -0.803  -0.418 -0.948  -0.407 -1.083  -0.290 -1.111  -0.245 -1.210  -0.163 -1.273  -0.082 -1.338  0.063 -1.338  0.208 -1.338  0.314 -1.244  0.348 -1.113  0.463 -1.083  0.475 -0.950  0.475 -0.805  0.475 -0.660  0.475 -0.515  0.475 -0.370  0.475 -0.225  0.475 -0.080  0.475 0.065
3#apa#apa00#app0012/x  -0.974 1.083  -0.923 0.914  -0.789 0.780  -0.654 0.646  -0.520 0.511  -0.386 0.377  -0.268 0.236  -0.225 0.056  -0.150 -0.116  -0.083 -0.279  0.051 -0.413  0.164 -0.565  0.269 -0.723  0.321 -0.898  0.440 -1.038  0.557 -1.180  0.655 -1.272  0.674 -1.337  0.674 -1.147  0.674 -0.957  0.674 -0.767  0.674 -0.577  0.674 -0.387  0.674 -0.197  0.674 -0.007  0.674 0.183  0.674 0.373  0.674 0.563  0.674 0.753  0.674 0.943  0.674 1.133  0.674 1.314  0.598 1.201  0.439 1.170  0.366 1.010  0.231 0.876  0.097 0.741  -0.037 0.607  -0.164 0.467  -0.249 0.297  -0.399 0.193  -0.536 0.075  -0.621 -0.095  -0.791 -0.180  -0.909 -0.317  -1.005 -0.479  -1.092 -0.633  -1.107 -0.816  -1.210 -0.964  -1.210 -1.154
3#apa#apa00#app0012/m  -1.131 1.173  -0.946 1.148  -0.946 0.937  -0.946 0.727  -0.946 0.516  -0.969 0.315  -1.039 0.133  -1.039 -0.077  -1.039 -0.288  -0.946 -0.460  -0.946 -0.671  -0.946 -0.882  -0.908 -0.868  -0.853 -0.712  -0.765 -0.590  -0.746 -0.390  -0.664 -0.213  -0.567 -0.026  -0.482 0.149  -0.335 0.299  -0.186 0.448  -0.100 0.616  0.075 0.652  0.168 0.648  0.168 0.437  0.075 0.265  0.075 0.054  -0.012 -0.120  -0.018 -0.328  -0.018 -0.539  0.075 -0.711  0.075 -0.815  0.168 -0.643  0.261 -0.471  0.363 -0.302  0.488 -0.136  0.582 0.052  0.636 0.250  0.785 0.398  0.868 0.575  1.023 0.709  1.221 0.677  1.281 0.491  1.281 0.281  1.281 0.070  1.281 -0.141  1.281 -0.351  1.281 -0.562  1.321 -0.763  1.374 -0.961
3#apa#apa00#app0012/e  -0.973 -0.515  -0.848 -0.480  -0.776 -0.390  -0.647 -0.314  -0.533 -0.201  -0.397 -0.140  -0.269 -0.062  -0.127 -0.015  0.032 -0.011  0.146 0.103  0.304 0.110  0.465 0.110  0.597 0.179  0.734 0.235  0.861 0.318  1.004 0.360  1.028 0.497  1.028 0.658  0.969 0.794  0.903 0.928  0.830 1.058  0.717 1.172  0.582 1.236  0.421 1.236  0.385 1.110  0.224 1.110  0.090 1.047  -0.045 0.985  -0.174 0.908  -0.264 0.777  -0.336 0.633  -0.443 0.515  -0.557 0.401  -0.597 0.257  -0.597 0.096  -0.597 -0.065  -0.597 -0.226  -0.597 -0.387  -0.597 -0.547  -0.576 -0.705  -0.525 -0.857  -0.474 -1.010  -0.443 -1.141  -0.301 -1.187  -0.187 -1.301  -0.064 -1.391  0.097 -1.391  0.227 -1.465  0.367 -1.516  0.528 -1.516
3#apa#apa00#app0012/r  -0.246 1.526  -0.246 1.383  -0.246 1.239  -0.246 1.096  -0.246 0.952  -0.246 0.809  -0.246 0.665  -0.246 0.521  -0.246 0.378  -0.246 0.234  -0.246 0.091  -0.246 -0.053  -0.246 -0.196  -0.246 -0.340  -0.246 -0.483  -0.246 -0.627  -0.246 -0.771  -0.246 -0.914  -0.246 -1.058  -0.246 -1.201  -0.246 -1.345  -0.202 -1.470  -0.100 -1.572  -0.238 -1.574  -0.246 -1.438  -0.246 -1.294  -0.246 -1.151  -0.246 -1.007  -0.246 -0.863  -0.246 -0.720  -0.246 -0.576  -0.246 -0.433  -0.172 -0.320  -0.098 -0.207  -0.098 -0.063  -0.098 0.080  -0.079 0.216  0.022 0.318  0.124 0.419  0.197 0.532  0.222 0.666  0.324 0.767  0.453 0.824  0.589 0.870  0.725 0.915  0.865 0.936  0.987 0.988  1.091 1.083  1.235 1.083  1.378 1.083
3#apa#apa00#app0012/c  0.140 0.776  0.254 0.776  0.368 0.776  0.482 0.776  0.507 0.686  0.588 0.653  0.702 0.653  0.797 0.608  0.874 0.537  0.874 0.651  0.874 0.765  0.770 0.776  0.684 0.843  0.593 0.898  0.479 0.898  0.365 0.898  0.251 0.898  0.138 0.896  0.057 0.815  -0.024 0.735  -0.104 0.654  -0.185 0.573  -0.281 0.531  -0.382 0.499  -0.463 0.418  -0.543 0.337  -0.624 0.257  -0.705 0.176  -0.785 0.095  -0.839 0.004  -0.839 -0.111  -0.839 -0.225  -0.829 -0.335  -0.748 -0.415  -0.668 -0.496  -0.587 -0.577  -0.506 -0.657  -0.426 -0.738  -0.345 -0.818  -0.264 -0.899  -0.184 -0.980  -0.105 -1.061  -0.105 -1.175  -0.028 -1.258  0.052 -1.338  0.133 -1.419  0.214 -1.499  0.303 -1.568  0.405 -1.619  0.507 -1.670
3#apa#apa00#app0012/i  -0.396 0.124  -0.396 0.013  -0.413 -0.081  -0.498 -0.107  -0.523 -0.208  -0.600 -0.286  -0.600 -0.397  -0.600 -0.508  -0.600 -0.619  -0.575 -0.720  -0.497 -0.798  -0.418 -0.877  -0.340 -0.955  -0.294 -1.047  -0.240 -1.104  -0.129 -1.104  -0.018 -1.104  0.093 -1.104  0.204 -1.104  0.315 -1.104  0.395 -1.029  0.495 -1.002  0.525 -0.921  0.505 -0.812  0.481 -0.704  0.457 -0.595  0.433 -0.487  0.409 -0.379  0.385 -0.270  0.361 -0.162  0.337 -0.054  0.313 0.054  0.289 0.163  0.265 0.271  0.241 0.379  0.217 0.488  0.193 0.596  0.168 0.704  0.144 0.813  0.120 0.921  0.096 1.029  0.072 1.137  0.048 1.246  0.024 1.354  -0.000 1.462  -0.024 1.571  -0.048 1.679  -0.072 1.787  -0.113 1.886  -0.191 1.965
3#apa#apa00#app0012/f  0.540 1.390  0.473 1.521  0.385 1.591  0.240 1.559  0.205 1.416  0.139 1.323  0.138 1.166  0.138 1.008  0.136 0.850  0.071 0.707  0.071 0.548  0.071 0.390  0.071 0.232  0.071 0.073  0.071 -0.085  0.111 -0.234  0.138 -0.386  0.138 -0.544  0.138 -0.703  0.091 -0.850  0.071 -1.004  0.071 -1.162  0.041 -1.316  0.004 -1.468  -0.063 -1.598  -0.107 -1.739  -0.152 -1.639  -0.180 -1.483  -0.207 -1.327  -0.235 -1.171  -0.262 -1.015  -0.290 -0.859  -0.317 -0.703  -0.345 -0.547  -0.372 -0.391  -0.400 -0.235  -0.428 -0.079  -0.455 0.076  -0.483 0.232  -0.510 0.388  -0.506 0.518  -0.415 0.585  -0.279 0.638  -0.126 0.652  0.032 0.652  0.191 0.652  0.341 0.618  0.492 0.585  0.650 0.585  0.808 0.585
3#apa#apa00#app0012/u  -0.962 0.887  -0.840 1.008  -0.746 1.141  -0.643 1.210  -0.516 1.318  -0.344 1.318  -0.314 1.176  -0.314 1.004  -0.422 0.940  -0.506 0.803  -0.551 0.650  -0.638 0.513  -0.640 0.342  -0.694 0.179  -0.746 0.015  -0.746 -0.157  -0.746 -0.329  -0.746 -0.501  -0.746 -0.673  -0.666 -0.812  -0.613 -0.948  -0.441 -0.948  -0.390 -0.808  -0.269 -0.687  -0.147 -0.565  -0.098 -0.413  0.010 -0.286  0.045 -0.122  0.124 0.030  0.225 0.160  0.291 0.305  0.333 0.459  0.401 0.563  0.441 0.647  0.441 0.475  0.333 0.411  0.333 0.239  0.333 0.067  0.333 -0.105  0.393 -0.252  0.441 -0.404  0.560 -0.527  0.682 -0.649  0.803 -0.770  0.946 -0.840  1.078 -0.937  1.240 -0.970  1.394 -1.047  1.564 -1.056  1.736 -1.056
3#apa#apa00#app0012/l  -0.394 -0.151  -0.267 -0.151  -0.208 -0.084  -0.109 -0.017  -0.005 0.037  0.085 0.126  0.174 0.216  0.243 0.319  0.276 0.438  0.309 0.551  0.343 0.663  0.343 0.790  0.343 0.916  0.343 1.043  0.343 1.169  0.343 1.296  0.343 1.422  0.384 1.456  0.324 1.389  0.268 1.314  0.179 1.225  0.139 1.114  0.082 1.001  0.075 0.876  0.049 0.760  0.008 0.651  -0.019 0.531  -0.076 0.418  -0.126 0.303  -0.128 0.177  -0.168 0.057  -0.214 -0.060  -0.260 -0.176  -0.260 -0.302  -0.264 -0.428  -0.321 -0.541  -0.327 -0.666  -0.327 -0.792  -0.327 -0.919  -0.327 -1.045  -0.327 -1.172  -0.327 -1.298  -0.327 -1.425  -0.284 -1.533  -0.234 -1.624  -0.107 -1.624  0.019 -1.624  0.125 -1.574  0.244 -1.557  0.343 -1.490
