3#apa#apa03#app0335/A  -0.794 -1.045  -0.733 -0.982  -0.794 -0.796  -0.884 -0.675  -0.917 -0.497  -0.917 -0.285  -0.917 -0.074  -0.885 0.130  -0.794 0.320  -0.794 0.531  -0.750 0.724  -0.671 0.903  -0.626 1.096  -0.548 1.275  -0.378 1.344  -0.198 1.420  0.014 1.420  0.192 1.387  0.313 1.297  0.315 1.087  0.438 0.927  0.501 0.741  0.561 0.555  0.561 0.344  0.601 0.148  0.685 -0.028  0.685 -0.239  0.685 -0.451  0.763 -0.630  0.808 -0.823  0.808 -1.034  0.808 -1.245  0.931 -1.249  0.820 -1.099  0.640 -0.989  0.460 -0.878  0.280 -0.767  0.100 -0.656  -0.080 -0.545  -0.260 -0.435  -0.440 -0.324  -0.620 -0.213  -0.527 -0.162  -0.358 -0.059  -0.156 -0.037  0.013 0.064  0.225 0.064  0.436 0.064  0.596 0.188  0.808 0.188
3#apa#apa03#app0335/a  -0.261 1.115  -0.415 1.115  -0.569 1.115  -0.588 0.980  -0.714 0.951  -0.834 0.869  -0.943 0.760  -1.052 0.651  -1.079 0.509  -1.079 0.354  -1.079 0.200  -1.079 0.046  -1.079 -0.108  -1.079 -0.262  -1.038 -0.399  -0.929 -0.508  -0.781 -0.522  -0.752 -0.647  -0.670 -0.768  -0.561 -0.877  -0.452 -0.986  -0.309 -1.013  -0.155 -1.013  -0.029 -0.945  0.080 -0.836  0.189 -0.727  0.230 -0.590  0.291 -0.461  0.394 -0.350  0.394 -0.195  0.394 -0.041  0.538 -0.031  0.558 0.103  0.558 0.258  0.558 0.412  0.558 0.566  0.558 0.720  0.644 0.788  0.722 0.711  0.769 0.576  0.878 0.467  0.885 0.316  0.885 0.162  0.885 0.008  0.967 -0.113  1.049 -0.233  1.049 -0.387  1.068 -0.522  1.213 -0.532  1.213 -0.686
3#apa#apa03#app0335/n  -1.238 1.025  -1.238 0.864  -1.238 0.703  -1.238 0.542  -1.205 0.394  -1.091 0.280  -1.038 0.141  -1.017 -0.015  -0.945 -0.159  -0.873 -0.303  -0.838 -0.456  -0.806 -0.604  -0.692 -0.718  -0.639 -0.857  -0.592 -0.971  -0.439 -0.963  -0.439 -0.802  -0.308 -0.772  -0.239 -0.680  -0.186 -0.572  -0.040 -0.557  -0.040 -0.396  -0.040 -0.235  0.059 -0.173  0.160 -0.112  0.160 0.049  0.160 0.210  0.225 0.356  0.297 0.500  0.359 0.646  0.359 0.807  0.461 0.926  0.559 1.047  0.559 1.208  0.661 1.122  0.759 1.002  0.759 0.841  0.759 0.679  0.759 0.518  0.759 0.357  0.759 0.196  0.759 0.035  0.759 -0.126  0.759 -0.287  0.812 -0.426  0.926 -0.540  0.958 -0.688  0.958 -0.849  0.958 -1.010  0.958 -1.171
3#apa#apa03#app0335/d  -0.076 2.204  -0.076 2.018  -0.027 1.852  0.076 1.708  0.076 1.522  0.076 1.335  0.076 1.149  0.202 1.015  0.228 0.840  0.228 0.653  0.228 0.467  0.228 0.281  0.228 0.095  0.349 -0.041  0.379 -0.215  0.379 -0.401  0.379 -0.587  0.379 -0.773  0.379 -0.960  0.379 -1.122  0.426 -0.982  0.531 -0.902  0.531 -0.715  0.531 -0.529  0.531 -0.343  0.484 -0.176  0.379 -0.033  0.379 0.153  0.272 0.231  0.228 0.374  0.051 0.383  -0.135 0.383  -0.322 0.383  -0.508 0.383  -0.646 0.268  -0.778 0.136  -0.910 0.004  -0.986 -0.150  -0.986 -0.336  -0.986 -0.522  -0.858 -0.656  -0.833 -0.831  -0.657 -0.856  -0.523 -0.982  -0.337 -0.982  -0.151 -0.982  0.035 -0.982  0.221 -0.982  0.399 -0.962  0.531 -0.831
3#apa#apa03#app0335/h  -0.915 1.693  -0.789 1.677  -0.789 1.536  -0.768 1.398  -0.705 1.271  -0.662 1.140  -0.662 0.998  -0.662 0.856  -0.662 0.714  -0.662 0.572  -0.662 0.430  -0.662 0.288  -0.662 0.146  -0.631 0.017  -0.536 -0.086  -0.536 -0.227  -0.536 -0.369  -0.536 -0.511  -0.536 -0.653  -0.536 -0.795  -0.465 -0.908  -0.409 -1.027  -0.332 -1.091  -0.283 -0.998  -0.283 -0.856  -0.195 -0.750  -0.156 -0.625  -0.054 -0.585  0.054 -0.502  0.097 -0.378  0.165 -0.264  0.265 -0.164  0.350 -0.057  0.377 0.074  0.477 0.175  0.577 0.275  0.603 0.406  0.724 0.427  0.856 0.418  0.856 0.276  0.856 0.134  0.856 -0.008  0.927 -0.079  0.983 -0.165  0.983 -0.307  0.983 -0.449  0.987 -0.589  1.088 -0.690  1.109 -0.823  1.109 -0.964
3#apa#apa03#app0335/i  -0.332 0.471  -0.332 0.349  -0.292 0.268  -0.170 0.268  -0.130 0.187  -0.130 0.065  -0.130 -0.057  -0.130 -0.178  -0.130 -0.300  -0.130 -0.422  -0.130 -0.543  -0.130 -0.665  -0.130 -0.787  -0.130 -0.908  -0.072 -1.006  0.014 -1.092  0.073 -1.189  0.073 -1.311  0.073 -1.433  0.073 -1.554  0.073 -1.436  0.073 -1.315  0.073 -1.193  0.073 -1.071  0.073 -0.950  0.073 -0.828  0.073 -0.706  0.073 -0.585  0.073 -0.463  0.073 -0.341  0.073 -0.220  0.073 -0.098  0.073 0.024  0.073 0.145  0.073 0.267  0.073 0.389  0.073 0.510  0.073 0.632  0.073 0.754  0.073 0.875  0.073 0.997  0.073 1.119  0.073 1.240  0.073 1.362  0.073 1.484  0.073 1.605  0.073 1.727  0.073 1.849  0.073 1.970  0.073 2.092
3#apa#apa03#app0335/d  0.287 1.736  0.287 1.566  0.287 1.719  0.287 1.532  0.287 1.346  0.287 1.159  0.287 0.973  0.328 0.804  0.460 0.672  0.465 0.487  0.465 0.301  0.465 0.114  0.465 -0.073  0.465 -0.259  0.465 -0.446  0.465 -0.528  0.465 -0.342  0.465 -0.155  0.388 -0.046  0.287 0.040  0.220 0.199  0.088 0.331  -0.043 0.463  -0.219 0.489  -0.406 0.489  -0.592 0.489  -0.604 0.314  -0.786 0.307  -0.918 0.175  -0.960 0.006  -0.960 -0.180  -1.103 -0.224  -1.138 -0.375  -1.138 -0.562  -1.138 -0.748  -0.962 -0.758  -0.953 -0.936  -0.767 -0.936  -0.580 -0.936  -0.394 -0.936  -0.207 -0.936  -0.026 -0.915  0.141 -0.831  0.310 -0.758  0.497 -0.758  0.672 -0.730  0.804 -0.598  0.983 -0.580  1.169 -0.580  1.356 -0.580
3#apa#apa03#app0335/e  0.039 0.048  0.143 -0.056  0.247 -0.159  0.350 -0.055  0.455 0.048  0.601 0.048  0.660 0.136  0.688 0.255  0.834 0.255  0.867 0.369  0.867 0.516  0.867 0.662  0.867 0.809  0.811 0.932  0.707 1.036  0.580 1.083  0.433 1.083  0.286 1.083  0.140 1.083  -0.007 1.083  -0.154 1.083  -0.262 0.989  -0.366 0.886  -0.469 0.782  -0.573 0.678  -0.677 0.574  -0.781 0.471  -0.884 0.367  -0.988 0.263  -0.996 0.120  -0.996 -0.027  -0.996 -0.174  -0.996 -0.321  -0.925 -0.438  -0.821 -0.542  -0.717 -0.645  -0.613 -0.749  -0.480 -0.780  -0.375 -0.823  -0.375 -0.969  -0.246 -0.987  -0.100 -0.987  0.047 -0.987  0.194 -0.987  0.246 -1.082  0.280 -1.195  0.427 -1.195  0.574 -1.195  0.721 -1.195  0.867 -1.195
3#apa#apa03#app0335/o  0.226 0.897  0.226 1.032  0.125 1.066  -0.009 1.066  -0.143 1.066  -0.278 1.066  -0.279 0.932  -0.378 0.897  -0.513 0.897  -0.615 0.866  -0.615 0.732  -0.615 0.597  -0.713 0.561  -0.783 0.497  -0.805 0.371  -0.900 0.276  -0.952 0.163  -0.952 0.029  -0.952 -0.105  -0.952 -0.240  -0.952 -0.374  -0.909 -0.490  -0.814 -0.585  -0.719 -0.680  -0.624 -0.775  -0.493 -0.784  -0.385 -0.846  -0.290 -0.941  -0.160 -0.952  -0.026 -0.952  0.109 -0.952  0.243 -0.952  0.377 -0.952  0.394 -0.835  0.478 -0.784  0.597 -0.749  0.692 -0.654  0.811 -0.616  0.919 -0.574  0.979 -0.454  1.039 -0.334  1.067 -0.206  1.067 -0.072  1.067 0.063  1.067 0.197  0.991 0.300  0.898 0.396  0.898 0.530  0.825 0.634  0.730 0.729
3#apa#apa03#app0335/u  -0.932 0.930  -0.791 0.930  -0.764 0.818  -0.849 0.763  -0.932 0.705  -0.932 0.565  -0.932 0.425  -0.932 0.285  -1.013 0.178  -1.099 0.074  -1.099 -0.066  -1.099 -0.207  -1.099 -0.347  -1.099 -0.487  -1.065 -0.613  -0.966 -0.712  -0.867 -0.811  -0.768 -0.910  -0.629 -0.914  -0.520 -0.838  -0.418 -0.746  -0.278 -0.746  -0.174 -0.659  -0.067 -0.579  0.073 -0.579  0.173 -0.480  0.242 -0.369  0.252 -0.233  0.352 -0.134  0.468 -0.076  0.591 -0.049  0.654 0.077  0.716 0.202  0.745 0.336  0.779 0.462  0.878 0.561  0.913 0.687  0.913 0.827  0.913 0.894  0.913 0.754  0.913 0.613  0.913 0.473  0.913 0.333  0.913 0.193  0.913 0.053  0.921 -0.084  1.020 -0.183  1.080 -0.298  1.080 -0.438  1.080 -0.579
3#apa#apa03#app0335/s  0.388 1.204  0.280 1.204  0.173 1.204  0.158 1.296  0.158 1.404  0.104 1.379  0.028 1.303  -0.048 1.227  -0.124 1.152  -0.200 1.076  -0.276 1.000  -0.372 0.975  -0.480 0.975  -0.530 0.918  -0.530 0.811  -0.530 0.704  -0.530 0.596  -0.530 0.489  -0.530 0.382  -0.522 0.278  -0.446 0.202  -0.370 0.126  -0.292 0.057  -0.185 0.057  -0.077 0.057  0.000 -0.015  0.076 -0.091  0.152 -0.166  0.257 -0.173  0.364 -0.173  0.388 -0.256  0.388 -0.363  0.436 -0.450  0.512 -0.526  0.588 -0.602  0.617 -0.697  0.617 -0.804  0.581 -0.897  0.506 -0.973  0.430 -1.049  0.354 -1.124  0.278 -1.200  0.202 -1.276  0.113 -1.320  0.006 -1.320  -0.101 -1.320  -0.209 -1.320  -0.316 -1.320  -0.423 -1.320  -0.530 -1.320
3#apa#apa03#app0335/l  -0.058 1.704  -0.058 1.634  -0.058 1.564  -0.058 1.494  -0.058 1.424  -0.058 1.354  -0.058 1.283  -0.058 1.213  -0.058 1.143  -0.058 1.073  -0.058 1.003  -0.058 0.933  -0.058 0.863  -0.058 0.793  -0.058 0.723  -0.058 0.652  -0.058 0.582  -0.058 0.512  -0.058 0.442  -0.058 0.372  -0.058 0.302  -0.058 0.232  -0.058 0.162  -0.058 0.091  -0.058 0.021  -0.058 -0.049  -0.058 -0.119  -0.058 -0.189  -0.040 -0.255  -0.009 -0.318  0.023 -0.380  0.054 -0.443  0.085 -0.506  0.089 -0.575  0.089 -0.645  0.089 -0.715  0.089 -0.785  0.089 -0.855  0.089 -0.926  0.089 -0.996  0.089 -1.066  0.089 -1.136  0.089 -1.206  0.089 -1.276  0.089 -1.346  0.089 -1.416  0.089 -1.487  0.089 -1.557  0.089 -1.627  0.089 -1.697
3#apa#apa03#app0335/y  -0.568 1.313  -0.669 1.220  -0.771 1.068  -0.771 0.873  -0.771 0.679  -0.758 0.497  -0.666 0.395  -0.471 0.395  -0.332 0.529  -0.195 0.666  -0.129 0.834  0.009 0.971  0.044 1.151  0.146 1.244  0.248 1.289  0.146 1.197  0.146 1.002  0.146 0.807  0.146 0.613  0.090 0.442  0.044 0.266  0.044 0.072  0.044 -0.123  0.044 -0.317  0.044 -0.512  0.044 -0.706  0.077 -0.893  0.146 -1.071  0.146 -1.266  0.146 -1.460  0.146 -1.655  0.043 -1.744  -0.058 -1.591  -0.160 -1.439  -0.226 -1.271  -0.326 -1.107  -0.364 -0.921  -0.364 -0.727  -0.364 -0.532  -0.305 -0.362  -0.168 -0.224  -0.030 -0.087  0.134 -0.012  0.328 -0.012  0.504 0.065  0.693 0.089  0.888 0.089  1.082 0.089  1.277 0.089  1.471 0.089
