2#app#app31#app3117/A  -0.041 0.705  -0.131 0.705  -0.258 0.535  -0.419 0.328  -0.560 0.106  -0.678 -0.131  -0.767 -0.371  -0.918 -0.574  -1.005 -0.819  -1.155 -1.022  -1.093 -0.907  -0.997 -0.680  -0.855 -0.460  -0.736 -0.226  -0.684 0.034  -0.602 0.284  -0.483 0.522  -0.349 0.748  -0.212 0.972  -0.041 1.167  0.010 1.420  0.176 1.623  0.222 1.645  0.222 1.379  0.222 1.114  0.222 0.849  0.222 0.583  0.277 0.331  0.347 0.077  0.397 -0.184  0.443 -0.438  0.562 -0.676  0.692 -0.905  0.831 -1.127  1.011 -1.319  1.178 -1.392  0.975 -1.223  0.771 -1.053  0.567 -0.883  0.363 -0.713  0.159 -0.543  -0.045 -0.373  -0.249 -0.203  -0.392 -0.005  -0.171 0.091  0.073 0.179  0.339 0.179  0.604 0.179  0.859 0.203  1.099 0.267
2#app#app31#app3117/L  0.110 1.539  0.204 1.539  0.240 1.596  0.240 1.647  0.240 1.554  0.240 1.460  0.240 1.367  0.240 1.273  0.240 1.179  0.240 1.086  0.240 0.992  0.240 0.899  0.240 0.805  0.240 0.711  0.232 0.621  0.166 0.555  0.110 0.484  0.110 0.391  0.059 0.318  -0.007 0.252  -0.073 0.186  -0.140 0.120  -0.206 0.054  -0.272 -0.013  -0.338 -0.079  -0.404 -0.145  -0.409 -0.237  -0.445 -0.315  -0.511 -0.382  -0.539 -0.464  -0.539 -0.557  -0.539 -0.651  -0.539 -0.744  -0.539 -0.838  -0.538 -0.931  -0.471 -0.997  -0.404 -1.059  -0.310 -1.059  -0.216 -1.059  -0.123 -1.059  -0.029 -1.059  0.065 -1.059  0.158 -1.059  0.252 -1.059  0.345 -1.059  0.419 -1.010  0.485 -0.944  0.572 -0.929  0.666 -0.929  0.760 -0.929
2#app#app31#app3117/M  -0.530 1.054  -0.553 0.755  -0.708 0.496  -0.835 0.243  -0.911 -0.031  -1.087 -0.263  -1.164 -0.536  -1.291 -0.788  -1.172 -0.974  -1.075 -0.691  -0.983 -0.400  -0.891 -0.110  -0.799 0.181  -0.707 0.472  -0.615 0.763  -0.524 1.054  -0.432 1.345  -0.277 1.351  -0.181 1.085  -0.150 0.793  -0.108 0.506  -0.023 0.236  -0.023 -0.069  0.001 -0.364  0.118 -0.565  0.255 -0.292  0.391 -0.019  0.416 0.098  0.262 -0.087  -0.000 -0.191  -0.163 -0.354  -0.403 -0.486  -0.259 -0.721  -0.007 -0.594  0.244 -0.461  0.510 -0.315  0.636 -0.062  0.852 0.154  1.067 0.369  1.193 0.622  1.372 0.779  1.245 0.644  1.245 0.339  1.062 0.110  0.991 -0.166  0.865 -0.418  0.807 -0.710  0.738 -0.998  0.738 -1.303  0.865 -1.482
2#app#app31#app3117/N  0.047 0.978  0.017 0.978  -0.142 0.847  -0.276 0.655  -0.431 0.413  -0.518 0.152  -0.723 -0.053  -0.836 -0.296  -0.949 -0.540  -1.062 -0.783  -1.126 -1.046  -1.257 -1.206  -1.257 -0.980  -1.126 -0.821  -0.996 -0.585  -0.965 -0.326  -0.780 -0.155  -0.735 0.124  -0.605 0.360  -0.475 0.596  -0.436 0.847  -0.276 0.978  0.014 0.978  0.047 0.720  0.047 0.430  0.047 0.140  0.047 -0.150  0.047 -0.440  0.177 -0.676  0.307 -0.912  0.532 -0.977  0.568 -0.724  0.619 -0.443  0.717 -0.170  0.815 0.104  0.912 0.377  1.010 0.650  1.107 0.923  1.205 1.196  1.220 0.993  1.118 0.746  1.036 0.480  0.959 0.208  0.814 0.058  0.568 -0.080  0.523 -0.326  0.307 -0.476  0.180 -0.713  0.047 -0.948  -0.084 -1.108
2#app#app31#app3117/O  0.519 0.557  0.364 0.557  0.209 0.557  0.054 0.557  -0.091 0.531  -0.201 0.422  -0.310 0.312  -0.446 0.265  -0.504 0.167  -0.610 0.119  -0.732 0.037  -0.841 -0.073  -0.942 -0.186  -0.957 -0.335  -1.067 -0.445  -1.088 -0.591  -1.088 -0.746  -1.088 -0.902  -0.980 -1.012  -0.841 -1.050  -0.686 -1.050  -0.531 -1.050  -0.376 -1.050  -0.220 -1.050  -0.065 -1.050  0.089 -1.046  0.228 -0.977  0.367 -0.907  0.478 -0.800  0.519 -0.662  0.594 -0.537  0.704 -0.428  0.811 -0.317  0.820 -0.165  0.929 -0.056  0.958 0.088  0.958 0.243  0.958 0.398  0.958 0.553  0.850 0.664  0.741 0.774  0.631 0.884  0.521 0.993  0.513 1.142  0.358 1.142  0.203 1.142  0.047 1.142  -0.108 1.142  -0.248 1.105  -0.358 0.995
2#app#app31#app3117/P  -0.210 0.680  -0.126 0.812  0.020 0.812  -0.078 0.694  -0.127 0.499  -0.210 0.318  -0.210 0.102  -0.210 -0.113  -0.342 -0.274  -0.342 -0.489  -0.342 -0.704  -0.342 -0.920  -0.412 -1.106  -0.474 -1.296  -0.474 -1.511  -0.474 -1.726  -0.588 -1.828  -0.461 -1.763  -0.419 -1.552  -0.376 -1.341  -0.334 -1.130  -0.292 -0.919  -0.250 -0.708  -0.207 -0.496  -0.165 -0.285  -0.123 -0.074  -0.081 0.137  -0.038 0.348  0.004 0.559  0.046 0.771  0.013 0.944  -0.078 1.068  0.076 1.208  0.291 1.208  0.506 1.208  0.722 1.208  0.910 1.144  1.098 1.076  1.110 0.873  1.094 0.664  0.942 0.512  0.790 0.360  0.638 0.207  0.447 0.149  0.284 0.020  0.069 0.020  -0.146 0.020  -0.317 0.128  -0.474 0.201  -0.342 0.284
2#app#app31#app3117/Q  0.182 1.149  -0.036 1.149  -0.217 1.061  -0.359 0.898  -0.475 0.733  -0.576 0.599  -0.650 0.411  -0.737 0.230  -0.753 0.019  -0.753 -0.199  -0.753 -0.417  -0.742 -0.630  -0.588 -0.784  -0.388 -0.826  -0.170 -0.826  0.048 -0.826  0.162 -0.658  0.304 -0.495  0.390 -0.313  0.465 -0.126  0.494 0.080  0.597 0.254  0.597 0.472  0.597 0.690  0.597 0.908  0.515 1.106  0.447 1.299  0.366 1.484  0.182 1.564  0.179 1.347  0.114 1.139  0.049 0.932  -0.016 0.724  -0.081 0.516  -0.146 0.308  -0.211 0.100  -0.276 -0.108  -0.328 -0.306  -0.214 -0.202  0.004 -0.202  0.078 -0.346  0.078 -0.564  0.078 -0.781  0.078 -0.999  0.134 -1.194  0.182 -1.392  0.222 -1.593  0.309 -1.761  0.423 -1.865  0.597 -1.761
2#app#app31#app3117/R  -0.248 0.989  -0.248 0.987  -0.251 0.744  -0.369 0.547  -0.369 0.303  -0.406 0.067  -0.490 -0.158  -0.533 -0.385  -0.611 -0.597  -0.611 -0.842  -0.611 -1.087  -0.611 -1.331  -0.607 -1.528  -0.571 -1.286  -0.535 -1.044  -0.498 -0.802  -0.462 -0.560  -0.426 -0.318  -0.389 -0.076  -0.353 0.166  -0.317 0.408  -0.280 0.650  -0.248 0.892  -0.248 1.137  -0.127 1.261  0.026 1.352  0.271 1.352  0.469 1.240  0.660 1.110  0.720 0.926  0.841 0.731  0.828 0.492  0.628 0.384  0.384 0.384  0.139 0.384  -0.106 0.384  -0.229 0.505  -0.263 0.505  -0.140 0.384  -0.048 0.185  0.125 0.012  0.236 -0.187  0.357 -0.381  0.473 -0.578  0.599 -0.770  0.720 -0.894  0.770 -1.118  0.906 -1.318  0.962 -1.549  1.083 -1.673
2#app#app31#app3117/S  0.601 0.817  0.601 0.939  0.588 1.048  0.485 1.068  0.458 1.164  0.346 1.188  0.259 1.274  0.139 1.280  0.017 1.277  -0.092 1.222  -0.202 1.167  -0.324 1.164  -0.330 1.048  -0.449 1.039  -0.536 0.953  -0.556 0.839  -0.556 0.716  -0.556 0.594  -0.556 0.471  -0.553 0.350  -0.466 0.264  -0.380 0.177  -0.280 0.122  -0.173 0.086  -0.093 -0.004  -0.078 -0.117  0.031 -0.172  0.140 -0.227  0.227 -0.314  0.314 -0.401  0.400 -0.487  0.487 -0.572  0.601 -0.581  0.617 -0.688  0.717 -0.710  0.696 -0.824  0.610 -0.911  0.491 -0.920  0.403 -1.002  0.294 -1.035  0.171 -1.035  0.058 -1.075  -0.051 -1.130  -0.169 -1.151  -0.291 -1.151  -0.414 -1.151  -0.536 -1.151  -0.659 -1.151  -0.781 -1.151  -0.672 -1.151
2#app#app31#app3117/T  0.322 0.777  0.322 0.950  0.322 0.837  0.242 0.698  0.221 0.534  0.213 0.364  0.119 0.230  0.119 0.057  0.119 -0.115  0.051 -0.272  -0.052 -0.408  -0.083 -0.568  -0.083 -0.740  -0.083 -0.913  -0.083 -1.086  -0.083 -1.259  -0.083 -1.432  -0.083 -1.604  0.039 -1.655  0.211 -1.655  0.158 -1.504  0.091 -1.344  0.025 -1.185  -0.042 -1.026  -0.108 -0.866  -0.175 -0.707  -0.241 -0.547  -0.307 -0.388  -0.374 -0.228  -0.440 -0.069  -0.507 0.091  -0.573 0.250  -0.640 0.410  -0.706 0.569  -0.773 0.729  -0.793 0.897  -0.793 1.070  -0.631 1.082  -0.459 1.082  -0.297 1.036  -0.137 0.980  0.023 0.927  0.185 0.879  0.356 0.868  0.519 0.813  0.669 0.735  0.817 0.676  0.990 0.676  1.163 0.676  1.336 0.676
2#app#app31#app3117/U  -0.212 1.383  -0.329 1.246  -0.417 1.149  -0.495 1.001  -0.554 0.826  -0.602 0.681  -0.680 0.574  -0.721 0.406  -0.832 0.261  -0.914 0.096  -0.945 -0.082  -1.027 -0.248  -1.031 -0.432  -1.031 -0.617  -1.031 -0.802  -1.001 -0.957  -0.914 -1.054  -0.748 -1.074  -0.563 -1.074  -0.432 -0.943  -0.302 -0.812  -0.154 -0.723  -0.089 -0.599  0.042 -0.468  0.173 -0.337  0.304 -0.207  0.372 -0.050  0.400 0.124  0.489 0.271  0.546 0.443  0.642 0.599  0.723 0.750  0.738 0.929  0.840 1.072  0.948 1.149  0.916 0.990  0.840 0.836  0.840 0.652  0.771 0.495  0.671 0.342  0.606 0.173  0.572 -0.007  0.514 -0.182  0.489 -0.363  0.372 -0.500  0.372 -0.685  0.372 -0.870  0.372 -1.054  0.489 -1.122  0.606 -1.190
2#app#app31#app3117/V  -0.233 1.204  -0.233 1.330  -0.233 1.457  -0.233 1.579  -0.233 1.452  -0.233 1.326  -0.233 1.200  -0.233 1.074  -0.237 0.949  -0.326 0.860  -0.359 0.747  -0.359 0.621  -0.359 0.495  -0.359 0.369  -0.418 0.267  -0.484 0.168  -0.484 0.042  -0.484 -0.084  -0.484 -0.210  -0.484 -0.336  -0.484 -0.463  -0.484 -0.589  -0.484 -0.715  -0.484 -0.841  -0.484 -0.967  -0.484 -1.094  -0.484 -1.220  -0.445 -1.306  -0.359 -1.266  -0.318 -1.181  -0.204 -1.151  -0.115 -1.062  -0.025 -0.972  0.064 -0.883  0.149 -0.791  0.206 -0.679  0.262 -0.566  0.348 -0.474  0.437 -0.385  0.526 -0.295  0.616 -0.206  0.705 -0.117  0.794 -0.028  0.883 0.062  0.944 0.171  1.001 0.284  1.057 0.397  1.114 0.510  1.183 0.613  1.273 0.702
2#app#app31#app3117/W  0.134 1.158  0.289 1.190  0.289 1.377  0.289 1.565  0.381 1.714  0.443 1.677  0.384 1.504  0.301 1.336  0.175 1.199  0.134 1.029  0.129 0.843  -0.003 0.711  -0.136 0.579  -0.268 0.446  -0.330 0.285  -0.389 0.111  -0.473 -0.056  -0.599 -0.194  -0.639 -0.364  -0.647 -0.543  -0.822 -0.572  -0.949 -0.707  -0.907 -0.853  -0.794 -0.779  -0.687 -0.698  -0.639 -0.559  -0.518 -0.422  -0.344 -0.389  -0.311 -0.234  -0.124 -0.234  -0.080 -0.293  -0.175 -0.441  -0.175 -0.628  -0.175 -0.816  -0.175 -1.003  -0.175 -1.190  -0.175 -1.256  -0.082 -1.162  -0.021 -1.036  0.091 -0.895  0.224 -0.763  0.356 -0.630  0.489 -0.498  0.621 -0.365  0.754 -0.233  0.886 -0.101  0.977 0.061  1.061 0.229  1.193 0.361  1.216 0.539
2#app#app31#app3117/X  -0.505 1.042  -0.505 1.108  -0.396 1.042  -0.268 0.926  -0.264 0.753  -0.191 0.608  -0.067 0.484  -0.023 0.328  0.010 0.166  0.120 0.033  0.199 -0.124  0.226 -0.291  0.338 -0.419  0.409 -0.524  0.459 -0.649  0.518 -0.765  0.579 -0.878  0.709 -0.839  0.743 -0.667  0.778 -0.495  0.812 -0.324  0.846 -0.152  0.881 0.020  0.915 0.191  0.949 0.363  0.984 0.534  1.018 0.706  1.052 0.878  0.969 0.829  0.810 0.791  0.686 0.667  0.562 0.543  0.439 0.419  0.315 0.296  0.191 0.172  0.067 0.048  -0.065 -0.063  -0.222 -0.142  -0.385 -0.203  -0.551 -0.259  -0.712 -0.327  -0.869 -0.405  -1.025 -0.483  -1.191 -0.524  -1.325 -0.622  -1.491 -0.644  -1.589 -0.722  -1.709 -0.776  -1.643 -0.885  -1.589 -0.765
2#app#app31#app3117/Y  -0.363 0.857  -0.363 1.015  -0.363 1.173  -0.401 1.316  -0.503 1.405  -0.503 1.247  -0.503 1.089  -0.456 0.950  -0.363 0.831  -0.363 0.673  -0.363 0.515  -0.307 0.381  -0.223 0.257  -0.182 0.116  -0.083 -0.001  -0.048 -0.123  0.057 -0.176  0.128 -0.264  0.249 -0.192  0.341 -0.063  0.433 0.066  0.524 0.194  0.616 0.323  0.708 0.451  0.800 0.580  0.892 0.708  0.898 0.851  0.898 0.693  0.868 0.547  0.758 0.435  0.744 0.283  0.632 0.171  0.521 0.060  0.478 -0.081  0.478 -0.238  0.384 -0.357  0.272 -0.469  0.160 -0.581  0.049 -0.693  -0.063 -0.804  -0.175 -0.916  -0.313 -0.964  -0.439 -1.040  -0.551 -1.152  -0.662 -1.264  -0.774 -1.375  -0.924 -1.389  -0.924 -1.547  -0.895 -1.693  -0.783 -1.805
2#app#app31#app3117/Z  -0.172 1.213  -0.172 1.444  0.043 1.460  0.252 1.408  0.452 1.332  0.615 1.169  0.814 1.089  0.921 0.965  0.943 0.756  0.819 0.576  0.695 0.469  0.531 0.305  0.368 0.142  0.204 -0.022  0.026 -0.150  -0.196 -0.174  -0.296 -0.363  -0.472 -0.486  -0.650 -0.629  -0.792 -0.801  -0.693 -0.992  -0.493 -1.068  -0.293 -1.141  -0.094 -1.220  0.118 -1.265  0.350 -1.265  0.581 -1.265  0.812 -1.265  0.638 -1.133  0.452 -0.996  0.265 -0.859  0.079 -0.722  -0.108 -0.586  -0.294 -0.449  -0.481 -0.312  -0.667 -0.175  -0.854 -0.039  -1.039 0.098  -1.039 0.330  -1.039 0.561  -0.892 0.717  -0.660 0.717  -0.463 0.636  -0.258 0.539  -0.038 0.469  0.193 0.469  0.271 0.274  0.447 0.188  0.571 0.081  0.695 -0.026
