3#app#app41#app4136/T  0.368 0.466  0.368 0.304  0.368 0.142  0.305 0.007  0.191 -0.108  0.170 -0.261  0.170 -0.422  0.170 -0.584  0.170 -0.746  0.170 -0.907  0.170 -1.069  0.170 -1.230  0.247 -1.316  0.368 -1.356  0.366 -1.511  0.271 -1.380  0.176 -1.249  0.081 -1.119  -0.014 -0.988  -0.109 -0.857  -0.204 -0.726  -0.300 -0.596  -0.395 -0.465  -0.490 -0.334  -0.585 -0.204  -0.680 -0.073  -0.775 0.058  -0.870 0.189  -0.965 0.319  -1.060 0.450  -1.155 0.581  -1.156 0.663  -0.994 0.663  -0.832 0.663  -0.671 0.663  -0.509 0.663  -0.348 0.663  -0.186 0.663  -0.024 0.663  0.137 0.663  0.299 0.663  0.368 0.756  0.424 0.861  0.586 0.861  0.748 0.861  0.909 0.861  0.962 0.970  1.034 1.059  1.196 1.059  1.358 1.059
3#app#app41#app4136/d  0.158 -0.478  -0.035 -0.478  -0.228 -0.478  -0.420 -0.478  -0.607 -0.484  -0.607 -0.677  -0.744 -0.732  -0.861 -0.808  -0.852 -0.996  -0.716 -1.133  -0.568 -1.242  -0.375 -1.242  -0.183 -1.242  -0.097 -1.134  -0.052 -0.987  0.141 -0.987  0.158 -0.811  0.238 -0.652  0.374 -0.515  0.412 -0.338  0.412 -0.146  0.412 0.047  0.412 0.240  0.412 0.432  0.412 0.625  0.412 0.818  0.412 1.011  0.305 1.159  0.168 1.295  0.158 1.483  0.158 1.676  0.104 1.815  -0.089 1.815  -0.097 1.631  -0.097 1.438  -0.097 1.245  -0.097 1.053  -0.097 0.860  -0.097 0.667  -0.097 0.474  -0.097 0.282  -0.097 0.089  -0.097 -0.104  -0.023 -0.223  0.158 -0.234  0.158 -0.427  0.258 -0.578  0.395 -0.714  0.531 -0.851  0.667 -0.987
3#app#app41#app4136/p  -0.141 0.430  -0.141 0.261  -0.141 0.092  -0.141 -0.077  -0.141 -0.246  -0.165 -0.392  -0.334 -0.392  -0.415 -0.479  -0.415 -0.648  -0.415 -0.817  -0.415 -0.986  -0.415 -1.156  -0.415 -1.325  -0.410 -1.492  -0.291 -1.611  -0.171 -1.731  -0.141 -1.635  -0.141 -1.466  -0.141 -1.297  -0.141 -1.128  -0.141 -0.959  -0.141 -0.790  -0.141 -0.620  -0.141 -0.451  -0.141 -0.282  -0.141 -0.113  -0.141 0.056  -0.141 0.225  -0.141 0.394  -0.141 0.563  -0.141 0.732  -0.141 0.901  -0.076 1.043  0.044 1.163  0.133 1.295  0.133 1.464  0.240 1.526  0.408 1.524  0.528 1.405  0.647 1.285  0.681 1.130  0.681 0.961  0.681 0.792  0.681 0.623  0.681 0.454  0.535 0.430  0.366 0.430  0.197 0.430  0.133 0.325  0.133 0.156
3#app#app41#app4136/o  -0.150 1.281  -0.267 1.281  -0.384 1.281  -0.501 1.281  -0.618 1.281  -0.671 1.218  -0.671 1.101  -0.671 0.984  -0.671 0.867  -0.671 0.750  -0.671 0.633  -0.671 0.516  -0.671 0.399  -0.671 0.282  -0.671 0.165  -0.671 0.048  -0.671 -0.069  -0.671 -0.186  -0.671 -0.303  -0.671 -0.420  -0.671 -0.537  -0.671 -0.654  -0.671 -0.771  -0.586 -0.803  -0.469 -0.803  -0.352 -0.803  -0.235 -0.803  -0.118 -0.803  -0.001 -0.803  0.116 -0.803  0.233 -0.803  0.350 -0.803  0.467 -0.803  0.584 -0.803  0.701 -0.803  0.818 -0.803  0.892 -0.760  0.892 -0.643  0.892 -0.526  0.892 -0.409  0.892 -0.292  0.892 -0.175  0.892 -0.058  0.892 0.059  0.892 0.176  0.892 0.293  0.892 0.410  0.892 0.527  0.892 0.643  0.892 0.760
3#app#app41#app4136/s  0.827 1.328  0.739 1.240  0.650 1.151  0.561 1.062  0.472 0.973  0.376 0.901  0.250 0.901  0.125 0.901  -0.001 0.901  -0.127 0.901  -0.252 0.901  -0.378 0.901  -0.454 0.852  -0.454 0.726  -0.454 0.600  -0.454 0.475  -0.579 0.474  -0.705 0.474  -0.831 0.474  -0.881 0.399  -0.881 0.274  -0.881 0.148  -0.857 0.047  -0.731 0.047  -0.606 0.047  -0.480 0.047  -0.354 0.047  -0.229 0.047  -0.103 0.047  0.023 0.047  0.148 0.047  0.274 0.047  0.400 0.047  0.400 -0.079  0.400 -0.204  0.400 -0.330  0.400 -0.456  0.400 -0.581  0.400 -0.707  0.400 -0.833  0.400 -0.958  0.400 -1.084  0.400 -1.210  0.400 -1.335  0.400 -1.461  0.400 -1.587  0.350 -1.662  0.224 -1.662  0.099 -1.662  -0.027 -1.662
3#app#app41#app4136/e  -0.384 0.422  -0.211 0.422  -0.038 0.422  0.132 0.420  0.132 0.247  0.132 0.074  0.137 -0.094  0.310 -0.094  0.483 -0.094  0.655 -0.094  0.828 -0.094  1.001 -0.094  1.163 -0.083  1.163 0.089  1.163 0.262  1.151 0.422  0.978 0.422  0.805 0.422  0.648 0.438  0.648 0.610  0.648 0.783  0.630 0.938  0.457 0.938  0.284 0.938  0.111 0.938  -0.061 0.938  -0.234 0.938  -0.384 0.915  -0.384 0.742  -0.384 0.569  -0.409 0.422  -0.582 0.422  -0.755 0.422  -0.900 0.394  -0.900 0.221  -0.900 0.049  -0.900 -0.124  -0.900 -0.297  -0.900 -0.470  -0.876 -0.633  -0.754 -0.755  -0.632 -0.877  -0.510 -0.999  -0.388 -1.122  -0.384 -1.293  -0.384 -1.466  -0.384 -1.638  -0.214 -1.641  -0.041 -1.641  0.132 -1.641
3#app#app41#app4136/d  0.165 -0.824  0.165 -0.638  0.037 -0.580  -0.148 -0.580  -0.325 -0.590  -0.325 -0.776  -0.462 -0.824  -0.569 -0.903  -0.569 -1.089  -0.569 -1.275  -0.422 -1.314  -0.325 -1.225  -0.295 -1.069  -0.109 -1.069  -0.080 -0.912  0.018 -0.824  0.165 -0.785  0.165 -0.599  0.165 -0.413  0.165 -0.227  0.165 -0.041  0.165 0.145  0.165 0.331  0.165 0.517  0.165 0.703  0.165 0.889  0.165 1.074  0.165 1.260  0.165 1.446  0.165 1.632  0.165 1.818  0.027 1.867  -0.080 1.788  -0.080 1.602  -0.080 1.416  -0.080 1.230  -0.080 1.044  -0.080 0.858  -0.080 0.672  -0.080 0.486  -0.080 0.300  -0.080 0.115  -0.080 -0.071  0.038 -0.208  0.165 -0.342  0.165 -0.528  0.260 -0.675  0.391 -0.806  0.523 -0.938  0.654 -1.069
3#app#app41#app4136/a  1.011 0.441  1.011 0.623  1.011 0.806  0.893 0.870  0.710 0.870  0.528 0.870  0.346 0.870  0.163 0.870  -0.019 0.870  -0.201 0.870  -0.384 0.870  -0.566 0.870  -0.705 0.827  -0.705 0.644  -0.705 0.462  -0.867 0.441  -1.049 0.441  -1.134 0.344  -1.134 0.161  -1.134 -0.021  -1.134 -0.203  -1.134 -0.386  -1.134 -0.568  -1.134 -0.750  -1.048 -0.846  -0.865 -0.846  -0.683 -0.846  -0.501 -0.846  -0.318 -0.846  -0.276 -0.706  -0.276 -0.523  -0.200 -0.417  -0.018 -0.417  0.161 -0.409  0.290 -0.280  0.419 -0.151  0.548 -0.022  0.582 0.146  0.582 0.329  0.582 0.371  0.582 0.188  0.582 0.006  0.582 -0.176  0.582 -0.359  0.669 -0.505  0.798 -0.634  0.927 -0.763  1.075 -0.846  1.257 -0.846  1.440 -0.846
3#app#app41#app4136/l  -0.039 1.746  -0.039 1.673  -0.039 1.600  -0.039 1.527  -0.039 1.455  -0.039 1.382  -0.039 1.309  -0.039 1.236  -0.039 1.163  -0.039 1.090  -0.039 1.017  -0.039 0.944  -0.039 0.872  -0.039 0.799  -0.039 0.726  -0.039 0.653  -0.039 0.580  -0.039 0.507  -0.039 0.434  -0.039 0.361  -0.039 0.288  -0.039 0.216  -0.039 0.143  -0.039 0.070  -0.039 -0.003  -0.039 -0.076  -0.039 -0.149  -0.039 -0.222  -0.039 -0.295  -0.039 -0.367  -0.039 -0.440  -0.039 -0.513  -0.039 -0.586  -0.039 -0.659  -0.039 -0.732  -0.039 -0.805  -0.039 -0.878  -0.039 -0.950  -0.039 -1.023  -0.039 -1.096  -0.039 -1.169  -0.027 -1.230  0.046 -1.230  0.118 -1.230  0.191 -1.230  0.258 -1.236  0.258 -1.309  0.258 -1.382  0.258 -1.455  0.258 -1.527
3#app#app41#app4136/o  0.010 0.777  -0.142 0.777  -0.295 0.777  -0.448 0.777  -0.601 0.777  -0.754 0.777  -0.902 0.773  -0.902 0.620  -0.902 0.467  -0.902 0.314  -0.902 0.161  -0.902 0.009  -0.902 -0.144  -0.902 -0.297  -0.902 -0.450  -0.891 -0.592  -0.738 -0.592  -0.585 -0.592  -0.446 -0.605  -0.446 -0.758  -0.446 -0.911  -0.430 -1.048  -0.277 -1.048  -0.124 -1.048  0.029 -1.048  0.181 -1.048  0.334 -1.048  0.467 -1.027  0.467 -0.875  0.467 -0.722  0.489 -0.592  0.642 -0.592  0.795 -0.592  0.923 -0.567  0.923 -0.414  0.923 -0.261  0.923 -0.108  0.923 0.045  0.923 0.198  0.902 0.342  0.794 0.450  0.686 0.558  0.578 0.666  0.470 0.774  0.467 0.926  0.467 1.078  0.467 1.231  0.316 1.233  0.163 1.233  0.010 1.233
3#app#app41#app4136/n  -0.429 0.586  -0.429 0.411  -0.429 0.236  -0.543 0.174  -0.718 0.174  -0.841 0.122  -0.841 -0.053  -0.841 -0.228  -0.841 -0.403  -0.841 -0.578  -0.915 -0.723  -1.038 -0.847  -1.162 -0.971  -1.207 -1.062  -1.032 -1.062  -0.857 -1.062  -0.682 -1.062  -0.507 -1.062  -0.429 -0.965  -0.429 -0.790  -0.394 -0.650  -0.218 -0.650  -0.043 -0.650  -0.017 -0.501  -0.017 -0.326  0.045 -0.176  0.168 -0.052  0.292 0.071  0.395 0.204  0.395 0.379  0.395 0.554  0.395 0.730  0.395 0.905  0.477 0.998  0.652 0.998  0.807 1.018  0.807 1.193  0.807 1.368  0.807 1.276  0.807 1.101  0.807 0.926  0.807 0.751  0.807 0.576  0.807 0.401  0.807 0.225  0.807 0.050  0.807 -0.125  0.807 -0.300  0.807 -0.475  0.807 -0.650
3#app#app41#app4136/g  -0.097 1.227  -0.208 1.115  -0.331 1.030  -0.488 1.030  -0.490 0.874  -0.607 0.834  -0.686 0.755  -0.726 0.637  -0.883 0.637  -0.883 0.479  -0.883 0.321  -0.826 0.187  -0.714 0.076  -0.568 0.048  -0.434 0.104  -0.322 0.215  -0.177 0.244  -0.097 0.322  -0.069 0.468  0.042 0.579  0.176 0.637  0.296 0.674  0.296 0.832  0.296 0.990  0.179 1.030  0.100 0.952  0.100 0.794  0.100 0.637  0.100 0.479  0.184 0.356  0.296 0.245  0.296 0.088  0.296 -0.070  0.332 -0.219  0.402 -0.360  0.473 -0.501  0.493 -0.654  0.493 -0.812  0.527 -0.935  0.685 -0.935  0.689 -1.088  0.689 -1.246  0.689 -1.403  0.653 -1.524  0.495 -1.524  0.337 -1.524  0.180 -1.524  0.022 -1.524  -0.136 -1.524  -0.293 -1.524
3#app#app41#app4136/s  0.738 1.192  0.607 1.192  0.476 1.192  0.344 1.192  0.213 1.192  0.082 1.192  -0.046 1.188  -0.046 1.057  -0.046 0.926  -0.051 0.800  -0.183 0.800  -0.314 0.800  -0.445 0.800  -0.577 0.800  -0.708 0.800  -0.829 0.791  -0.829 0.659  -0.829 0.528  -0.829 0.397  -0.829 0.266  -0.829 0.134  -0.816 0.017  -0.685 0.017  -0.553 0.017  -0.422 0.017  -0.291 0.017  -0.159 0.017  -0.046 -0.001  -0.046 -0.132  -0.046 -0.264  -0.026 -0.375  0.105 -0.375  0.236 -0.375  0.368 -0.375  0.499 -0.375  0.630 -0.375  0.738 -0.399  0.738 -0.530  0.738 -0.661  0.720 -0.785  0.628 -0.878  0.535 -0.971  0.442 -1.064  0.349 -1.157  0.346 -1.287  0.346 -1.418  0.346 -1.549  0.217 -1.551  0.086 -1.551  -0.046 -1.551
3#app#app41#app4136/i  0.238 0.072  0.238 -0.030  0.238 -0.132  0.238 -0.234  0.238 -0.336  0.238 -0.438  0.238 -0.540  0.238 -0.642  0.238 -0.744  0.238 -0.846  0.238 -0.948  0.238 -1.050  0.238 -1.152  0.238 -1.254  0.238 -1.356  0.238 -1.416  0.238 -1.314  0.238 -1.212  0.238 -1.110  0.225 -1.010  0.201 -0.911  0.176 -0.812  0.151 -0.713  0.126 -0.614  0.102 -0.515  0.077 -0.417  0.052 -0.318  0.027 -0.219  0.003 -0.120  -0.022 -0.021  -0.047 0.078  -0.072 0.177  -0.096 0.276  -0.121 0.375  -0.146 0.474  -0.170 0.573  -0.195 0.672  -0.220 0.770  -0.245 0.869  -0.269 0.968  -0.294 1.067  -0.319 1.166  -0.344 1.265  -0.368 1.364  -0.393 1.463  -0.418 1.562  -0.442 1.661  -0.467 1.760  -0.492 1.858  -0.517 1.957
3#app#app41#app4136/d  0.289 -0.628  0.158 -0.497  0.023 -0.374  -0.163 -0.374  -0.349 -0.374  -0.517 -0.419  -0.649 -0.550  -0.726 -0.704  -0.726 -0.890  -0.726 -1.076  -0.726 -1.262  -0.668 -1.390  -0.482 -1.390  -0.296 -1.390  -0.141 -1.313  -0.010 -1.181  0.035 -1.014  0.035 -0.828  0.035 -0.642  0.157 -0.507  0.289 -0.375  0.289 -0.189  0.289 -0.003  0.289 0.183  0.289 0.369  0.289 0.555  0.219 0.712  0.087 0.843  0.035 1.008  0.035 1.194  0.035 1.380  0.035 1.566  0.035 1.752  0.035 1.884  0.035 1.698  0.035 1.512  0.035 1.326  0.035 1.140  0.035 0.954  0.035 0.768  0.078 0.599  0.209 0.468  0.289 0.315  0.289 0.129  0.289 -0.057  0.289 -0.243  0.289 -0.429  0.289 -0.615  0.412 -0.750  0.543 -0.882
3#app#app41#app4136/e  -0.636 -0.120  -0.483 -0.120  -0.330 -0.120  -0.177 -0.120  -0.024 -0.120  0.129 -0.120  0.282 -0.120  0.435 -0.120  0.588 -0.120  0.741 -0.120  0.894 -0.120  0.909 0.018  0.909 0.171  0.909 0.324  0.909 0.477  0.909 0.630  0.909 0.783  0.909 0.937  0.858 1.039  0.705 1.039  0.552 1.039  0.399 1.039  0.246 1.039  0.093 1.039  -0.060 1.039  -0.213 1.039  -0.250 0.922  -0.250 0.769  -0.286 0.652  -0.439 0.652  -0.592 0.652  -0.636 0.543  -0.636 0.390  -0.636 0.237  -0.636 0.084  -0.636 -0.069  -0.636 -0.222  -0.636 -0.375  -0.636 -0.528  -0.636 -0.681  -0.636 -0.834  -0.569 -0.960  -0.461 -1.068  -0.353 -1.176  -0.250 -1.287  -0.250 -1.440  -0.250 -1.593  -0.170 -1.666  -0.017 -1.666  0.136 -1.666
3#app#app41#app4136/a  0.900 0.111  0.900 0.285  0.900 0.460  0.726 0.461  0.552 0.461  0.549 0.633  0.549 0.808  0.378 0.812  0.204 0.812  0.029 0.812  -0.146 0.812  -0.320 0.812  -0.495 0.812  -0.670 0.812  -0.844 0.812  -0.853 0.646  -0.853 0.471  -1.018 0.461  -1.192 0.461  -1.203 0.298  -1.203 0.123  -1.203 -0.052  -1.203 -0.226  -1.203 -0.401  -1.203 -0.576  -1.044 -0.590  -0.869 -0.590  -0.694 -0.590  -0.520 -0.590  -0.391 -0.479  -0.268 -0.356  -0.152 -0.229  -0.152 -0.054  -0.142 0.111  0.033 0.111  0.199 0.102  0.199 -0.073  0.206 -0.240  0.381 -0.240  0.549 -0.246  0.549 -0.421  0.554 -0.590  0.729 -0.590  0.903 -0.590  1.078 -0.590  1.250 -0.593  1.250 -0.767  1.251 -0.941  1.426 -0.941  1.601 -0.941
