1b#apb#apb35#app3592/A  -0.326 0.605  -0.408 0.360  -0.469 0.108  -0.519 -0.146  -0.567 -0.401  -0.641 -0.648  -0.720 -0.894  -0.737 -1.152  -0.761 -1.410  -0.780 -1.518  -0.708 -1.269  -0.641 -1.019  -0.573 -0.769  -0.505 -0.519  -0.437 -0.268  -0.369 -0.018  -0.301 0.232  -0.233 0.482  -0.165 0.732  -0.097 0.982  -0.029 1.232  0.039 1.483  0.107 1.733  0.150 1.812  0.238 1.591  0.278 1.335  0.364 1.092  0.404 0.838  0.450 0.585  0.534 0.340  0.632 0.100  0.737 -0.137  0.851 -0.370  0.967 -0.601  1.049 -0.846  1.176 -1.061  0.978 -0.976  0.753 -0.846  0.529 -0.716  0.305 -0.586  0.081 -0.455  -0.143 -0.325  -0.367 -0.195  -0.256 -0.188  -0.257 -0.012  -0.339 0.234  -0.204 0.325  0.051 0.366  0.310 0.370  0.566 0.410
1b#apb#apb35#app3592/L  0.010 1.726  -0.038 1.661  -0.083 1.594  -0.083 1.513  -0.092 1.433  -0.116 1.356  -0.140 1.278  -0.166 1.201  -0.196 1.125  -0.226 1.050  -0.255 0.974  -0.262 0.893  -0.269 0.812  -0.277 0.731  -0.284 0.650  -0.293 0.569  -0.302 0.488  -0.311 0.407  -0.323 0.327  -0.340 0.247  -0.357 0.168  -0.360 0.087  -0.354 0.006  -0.349 -0.075  -0.335 -0.155  -0.314 -0.233  -0.293 -0.312  -0.285 -0.392  -0.285 -0.473  -0.267 -0.553  -0.246 -0.631  -0.220 -0.708  -0.175 -0.771  -0.123 -0.832  -0.083 -0.902  -0.010 -0.939  0.060 -0.979  0.137 -0.995  0.219 -0.995  0.300 -0.995  0.381 -0.995  0.463 -0.995  0.544 -0.995  0.623 -0.977  0.701 -0.955  0.780 -0.936  0.860 -0.918  0.938 -0.897  1.011 -0.861  1.083 -0.824
1b#apb#apb35#app3592/M  -0.616 0.710  -0.679 0.496  -0.697 0.266  -0.743 0.040  -0.776 -0.188  -0.801 -0.417  -0.838 -0.644  -0.871 -0.873  -0.902 -1.101  -0.953 -1.208  -0.980 -0.982  -0.947 -0.754  -0.896 -0.529  -0.837 -0.306  -0.771 -0.085  -0.690 0.131  -0.616 0.349  -0.550 0.570  -0.520 0.799  -0.466 1.023  -0.404 1.130  -0.303 0.947  -0.288 0.716  -0.271 0.486  -0.248 0.257  -0.245 0.026  -0.209 -0.200  -0.144 -0.421  -0.040 -0.625  0.127 -0.776  0.319 -0.699  0.485 -0.541  0.568 -0.326  0.649 -0.110  0.705 0.113  0.761 0.337  0.818 0.560  0.831 0.790  0.881 1.015  0.980 1.133  1.054 0.921  1.070 0.692  1.066 0.461  1.047 0.231  1.025 0.002  0.998 -0.227  0.974 -0.457  0.953 -0.686  0.952 -0.917  1.037 -1.128
1b#apb#apb35#app3592/N  -0.428 0.879  -0.465 0.721  -0.497 0.529  -0.543 0.340  -0.602 0.154  -0.657 -0.034  -0.710 -0.222  -0.758 -0.411  -0.807 -0.600  -0.866 -0.786  -0.928 -0.971  -0.936 -1.154  -0.902 -0.983  -0.879 -0.789  -0.831 -0.601  -0.760 -0.419  -0.717 -0.229  -0.679 -0.038  -0.638 0.153  -0.594 0.343  -0.545 0.532  -0.519 0.725  -0.455 0.908  -0.341 1.014  -0.188 0.935  -0.097 0.763  -0.025 0.582  0.030 0.394  0.084 0.207  0.137 0.019  0.211 -0.162  0.280 -0.344  0.324 -0.534  0.402 -0.712  0.478 -0.891  0.569 -1.055  0.657 -1.096  0.734 -0.917  0.797 -0.732  0.851 -0.545  0.901 -0.356  0.941 -0.165  0.980 0.026  1.016 0.218  1.061 0.408  1.111 0.597  1.135 0.790  1.166 0.983  1.217 1.170  1.283 1.353
1b#apb#apb35#app3592/O  -0.116 1.372  -0.189 1.335  -0.228 1.213  -0.268 1.092  -0.318 0.975  -0.369 0.857  -0.416 0.739  -0.463 0.619  -0.505 0.499  -0.533 0.375  -0.562 0.250  -0.593 0.126  -0.626 0.003  -0.660 -0.121  -0.683 -0.246  -0.703 -0.373  -0.721 -0.499  -0.721 -0.627  -0.718 -0.754  -0.678 -0.875  -0.637 -0.997  -0.579 -1.110  -0.508 -1.211  -0.386 -1.252  -0.265 -1.251  -0.144 -1.211  -0.028 -1.158  0.082 -1.093  0.188 -1.022  0.281 -0.935  0.374 -0.847  0.447 -0.743  0.518 -0.637  0.583 -0.527  0.633 -0.409  0.682 -0.291  0.719 -0.170  0.734 -0.043  0.749 0.084  0.765 0.211  0.753 0.338  0.741 0.465  0.729 0.592  0.700 0.716  0.665 0.839  0.627 0.961  0.551 1.064  0.475 1.166  0.371 1.233  0.252 1.280
1b#apb#apb35#app3592/P  -0.307 0.653  -0.309 0.501  -0.330 0.332  -0.356 0.164  -0.358 -0.006  -0.358 -0.176  -0.368 -0.346  -0.381 -0.516  -0.393 -0.685  -0.393 -0.856  -0.393 -1.026  -0.393 -1.196  -0.393 -1.366  -0.381 -1.535  -0.377 -1.649  -0.427 -1.499  -0.489 -1.340  -0.506 -1.172  -0.513 -1.002  -0.505 -0.832  -0.498 -0.662  -0.491 -0.492  -0.485 -0.322  -0.468 -0.153  -0.424 0.011  -0.380 0.176  -0.326 0.337  -0.264 0.496  -0.202 0.654  -0.109 0.797  -0.017 0.940  0.088 1.074  0.199 1.200  0.352 1.276  0.509 1.340  0.672 1.371  0.831 1.321  0.928 1.189  0.982 1.027  0.991 0.859  0.991 0.688  0.991 0.518  0.941 0.358  0.876 0.200  0.742 0.100  0.600 0.006  0.456 -0.084  0.309 -0.169  0.148 -0.225  -0.012 -0.282
1b#apb#apb35#app3592/Q  0.089 1.499  -0.052 1.365  -0.127 1.184  -0.216 1.011  -0.320 0.845  -0.413 0.672  -0.506 0.500  -0.603 0.330  -0.695 0.157  -0.759 -0.028  -0.821 -0.213  -0.862 -0.405  -0.899 -0.597  -0.933 -0.790  -0.873 -0.975  -0.773 -1.142  -0.629 -1.267  -0.448 -1.311  -0.253 -1.289  -0.071 -1.220  0.106 -1.138  0.258 -1.013  0.401 -0.882  0.519 -0.725  0.632 -0.566  0.708 -0.385  0.783 -0.204  0.824 -0.013  0.860 0.179  0.855 0.371  0.811 0.562  0.754 0.747  0.652 0.914  0.531 1.065  0.383 1.194  0.211 1.282  0.082 1.267  0.063 1.072  0.044 0.877  0.025 0.682  0.005 0.487  -0.014 0.293  -0.033 0.098  -0.053 -0.097  -0.078 -0.291  -0.019 -0.477  0.060 -0.657  0.158 -0.826  0.263 -0.991  0.374 -1.153
1b#apb#apb35#app3592/R  -0.240 0.693  -0.313 0.511  -0.357 0.320  -0.392 0.126  -0.436 -0.066  -0.468 -0.259  -0.487 -0.455  -0.506 -0.651  -0.527 -0.846  -0.558 -1.041  -0.585 -1.235  -0.613 -1.173  -0.617 -0.977  -0.617 -0.780  -0.610 -0.584  -0.577 -0.390  -0.541 -0.197  -0.493 -0.006  -0.445 0.185  -0.374 0.368  -0.302 0.552  -0.228 0.734  -0.153 0.915  -0.057 1.086  0.060 1.244  0.209 1.366  0.384 1.457  0.568 1.522  0.746 1.488  0.826 1.316  0.857 1.122  0.841 0.927  0.807 0.733  0.702 0.567  0.588 0.408  0.427 0.294  0.272 0.175  0.079 0.151  -0.076 0.029  -0.219 -0.102  -0.214 -0.295  -0.152 -0.482  -0.039 -0.642  0.090 -0.790  0.229 -0.929  0.388 -1.044  0.543 -1.165  0.691 -1.295  0.858 -1.397  1.032 -1.489
1b#apb#apb35#app3592/S  0.425 1.216  0.315 1.201  0.204 1.185  0.092 1.183  -0.016 1.162  -0.121 1.125  -0.227 1.089  -0.335 1.059  -0.442 1.026  -0.544 0.980  -0.649 0.942  -0.703 0.854  -0.710 0.743  -0.632 0.682  -0.536 0.626  -0.445 0.562  -0.340 0.525  -0.232 0.498  -0.121 0.488  -0.010 0.473  0.098 0.444  0.201 0.402  0.301 0.352  0.396 0.294  0.488 0.230  0.574 0.158  0.651 0.080  0.701 -0.020  0.735 -0.126  0.752 -0.236  0.748 -0.346  0.728 -0.457  0.678 -0.556  0.620 -0.651  0.555 -0.742  0.490 -0.833  0.406 -0.906  0.318 -0.975  0.225 -1.036  0.124 -1.083  0.022 -1.131  -0.087 -1.152  -0.197 -1.170  -0.308 -1.187  -0.420 -1.182  -0.531 -1.176  -0.643 -1.171  -0.754 -1.159  -0.865 -1.148  -0.977 -1.137
1b#apb#apb35#app3592/T  0.450 0.693  0.389 0.556  0.328 0.418  0.268 0.280  0.222 0.137  0.190 -0.010  0.161 -0.157  0.145 -0.307  0.129 -0.457  0.109 -0.606  0.088 -0.755  0.070 -0.904  0.079 -1.055  0.090 -1.205  0.117 -1.353  0.126 -1.503  0.186 -1.637  0.159 -1.564  0.101 -1.424  0.044 -1.285  -0.013 -1.146  -0.071 -1.007  -0.128 -0.867  -0.185 -0.728  -0.243 -0.589  -0.300 -0.450  -0.358 -0.310  -0.415 -0.171  -0.472 -0.032  -0.530 0.107  -0.587 0.247  -0.644 0.386  -0.702 0.525  -0.759 0.664  -0.816 0.804  -0.849 0.938  -0.714 0.998  -0.567 1.025  -0.417 1.034  -0.266 1.024  -0.116 1.010  0.033 0.994  0.183 0.979  0.334 0.979  0.484 0.979  0.635 0.977  0.785 0.969  0.935 0.961  1.083 0.933  1.231 0.903
1b#apb#apb35#app3592/U  -0.594 1.245  -0.611 1.073  -0.655 0.907  -0.703 0.742  -0.750 0.576  -0.810 0.415  -0.867 0.252  -0.907 0.085  -0.944 -0.083  -0.968 -0.254  -0.969 -0.424  -0.943 -0.595  -0.917 -0.765  -0.865 -0.925  -0.767 -1.066  -0.636 -1.157  -0.472 -1.142  -0.351 -1.020  -0.221 -0.906  -0.120 -0.768  -0.030 -0.622  0.022 -0.458  0.070 -0.293  0.137 -0.134  0.208 0.023  0.273 0.182  0.318 0.349  0.364 0.515  0.419 0.678  0.483 0.838  0.513 1.005  0.523 1.177  0.527 1.349  0.599 1.316  0.609 1.144  0.609 0.972  0.609 0.800  0.608 0.627  0.592 0.456  0.576 0.284  0.559 0.113  0.540 -0.058  0.525 -0.230  0.516 -0.402  0.508 -0.574  0.538 -0.743  0.575 -0.911  0.653 -1.065  0.752 -1.203  0.874 -1.325
1b#apb#apb35#app3592/V  -0.671 1.206  -0.616 1.197  -0.584 1.080  -0.575 0.959  -0.575 0.837  -0.575 0.716  -0.575 0.594  -0.575 0.472  -0.575 0.350  -0.575 0.229  -0.575 0.107  -0.575 -0.015  -0.575 -0.137  -0.562 -0.257  -0.542 -0.377  -0.522 -0.497  -0.506 -0.618  -0.494 -0.739  -0.482 -0.860  -0.432 -0.970  -0.374 -1.077  -0.312 -1.182  -0.252 -1.288  -0.186 -1.369  -0.077 -1.322  0.003 -1.231  0.085 -1.140  0.166 -1.049  0.216 -0.939  0.262 -0.826  0.304 -0.712  0.341 -0.596  0.378 -0.480  0.413 -0.364  0.448 -0.247  0.483 -0.130  0.517 -0.014  0.546 0.105  0.572 0.224  0.599 0.342  0.626 0.461  0.647 0.581  0.665 0.701  0.683 0.822  0.701 0.942  0.721 1.062  0.741 1.182  0.761 1.302  0.754 1.423  0.732 1.541
1b#apb#apb35#app3592/W  -1.014 0.735  -1.057 0.565  -1.070 0.387  -1.080 0.209  -1.074 0.031  -1.062 -0.147  -1.052 -0.324  -1.006 -0.495  -0.954 -0.664  -0.929 -0.841  -0.831 -0.989  -0.768 -1.154  -0.665 -1.182  -0.597 -1.020  -0.510 -0.868  -0.489 -0.691  -0.456 -0.516  -0.413 -0.343  -0.360 -0.173  -0.299 -0.005  -0.242 0.164  -0.195 0.336  -0.149 0.508  -0.108 0.681  -0.052 0.849  0.007 1.010  0.103 0.889  0.146 0.719  0.159 0.541  0.200 0.368  0.233 0.193  0.250 0.016  0.282 -0.159  0.335 -0.329  0.402 -0.494  0.486 -0.650  0.617 -0.767  0.782 -0.745  0.872 -0.598  0.935 -0.431  0.980 -0.259  1.009 -0.083  1.029 0.094  1.045 0.271  1.061 0.449  1.078 0.626  1.091 0.804  1.099 0.982  1.109 1.160  1.123 1.338
1b#apb#apb35#app3592/X  0.830 1.472  0.777 1.291  0.724 1.110  0.664 0.930  0.604 0.751  0.546 0.572  0.488 0.392  0.431 0.212  0.385 0.029  0.339 -0.155  0.292 -0.337  0.240 -0.519  0.188 -0.701  0.121 -0.877  0.049 -1.052  -0.040 -1.217  -0.117 -1.388  -0.216 -1.534  -0.294 -1.444  -0.333 -1.260  -0.373 -1.075  -0.412 -0.890  -0.451 -0.705  -0.491 -0.521  -0.530 -0.336  -0.570 -0.151  -0.609 0.033  -0.648 0.218  -0.688 0.403  -0.727 0.587  -0.767 0.772  -0.806 0.957  -0.845 1.142  -0.863 1.320  -0.741 1.184  -0.614 1.045  -0.488 0.904  -0.364 0.762  -0.239 0.619  -0.117 0.476  0.006 0.333  0.129 0.189  0.243 0.038  0.356 -0.113  0.473 -0.261  0.606 -0.394  0.740 -0.528  0.883 -0.650  1.036 -0.761  1.189 -0.871
1b#apb#apb35#app3592/Y  -1.288 1.144  -1.216 0.992  -1.097 0.864  -0.990 0.727  -0.891 0.583  -0.797 0.437  -0.700 0.292  -0.598 0.150  -0.508 0.001  -0.422 -0.151  -0.336 -0.302  -0.245 -0.451  -0.136 -0.587  -0.023 -0.720  0.115 -0.827  0.221 -0.863  0.254 -0.692  0.287 -0.520  0.321 -0.349  0.354 -0.178  0.387 -0.007  0.420 0.164  0.453 0.336  0.487 0.507  0.520 0.678  0.553 0.849  0.586 1.021  0.620 1.192  0.653 1.363  0.649 1.392  0.580 1.232  0.503 1.076  0.450 0.910  0.397 0.744  0.352 0.575  0.308 0.407  0.265 0.238  0.212 0.072  0.154 -0.093  0.096 -0.257  0.044 -0.423  0.010 -0.594  -0.024 -0.766  -0.058 -0.937  -0.091 -1.108  -0.124 -1.279  -0.145 -1.452  -0.153 -1.626  -0.177 -1.797  -0.229 -1.964
1b#apb#apb35#app3592/Z  -0.534 1.097  -0.484 1.112  -0.369 1.121  -0.255 1.123  -0.140 1.114  -0.026 1.128  0.087 1.146  0.202 1.161  0.316 1.169  0.431 1.173  0.546 1.170  0.648 1.128  0.648 1.020  0.570 0.936  0.492 0.851  0.414 0.766  0.337 0.680  0.260 0.595  0.184 0.509  0.111 0.419  0.039 0.330  -0.034 0.240  -0.109 0.153  -0.188 0.069  -0.267 -0.015  -0.344 -0.100  -0.416 -0.190  -0.489 -0.279  -0.555 -0.373  -0.618 -0.470  -0.679 -0.567  -0.738 -0.666  -0.765 -0.777  -0.765 -0.892  -0.669 -0.948  -0.578 -1.019  -0.475 -1.050  -0.360 -1.043  -0.245 -1.036  -0.130 -1.030  -0.015 -1.024  0.100 -1.015  0.215 -1.005  0.330 -0.994  0.443 -0.977  0.557 -0.958  0.671 -0.946  0.786 -0.946  0.901 -0.946  0.955 -0.946
