1c#apb#apb09#app0910/q  0.483 1.131  0.429 1.268  0.301 1.330  0.155 1.313  0.035 1.227  -0.084 1.140  -0.199 1.046  -0.310 0.950  -0.376 0.818  -0.442 0.685  -0.498 0.548  -0.551 0.410  -0.583 0.268  -0.583 0.120  -0.535 -0.015  -0.434 -0.114  -0.296 -0.136  -0.153 -0.098  -0.023 -0.029  0.102 0.049  0.199 0.158  0.289 0.276  0.364 0.403  0.427 0.536  0.493 0.669  0.563 0.799  0.600 0.924  0.512 0.807  0.442 0.677  0.375 0.545  0.310 0.412  0.258 0.273  0.206 0.135  0.153 -0.003  0.099 -0.141  0.045 -0.279  -0.012 -0.415  -0.078 -0.548  -0.144 -0.680  -0.191 -0.818  -0.215 -0.964  -0.238 -1.111  -0.253 -1.258  -0.265 -1.405  -0.263 -1.551  -0.227 -1.695  -0.160 -1.823  -0.052 -1.917  0.088 -1.958  0.236 -1.958
2#apb#apb33#app3354/q  0.911 1.041  0.850 1.090  0.674 1.055  0.421 1.041  0.292 1.058  0.323 1.072  0.279 1.095  0.026 0.997  -0.216 0.860  -0.477 0.742  -0.660 0.539  -0.821 0.325  -0.954 0.080  -0.780 -0.049  -0.524 0.083  -0.247 0.176  0.026 0.281  0.253 0.457  0.486 0.612  0.724 0.764  0.669 0.738  0.465 0.531  0.234 0.354  0.028 0.151  -0.170 -0.063  -0.362 -0.283  -0.568 -0.489  -0.739 -0.720  -0.920 -0.946  -1.049 -1.190  -1.194 -1.441  -1.185 -1.658  -0.905 -1.581  -0.635 -1.470  -0.370 -1.347  -0.114 -1.213  0.047 -0.974  0.177 -0.714  0.274 -0.440  0.285 -0.155  0.202 0.116  0.179 0.298  0.358 0.067  0.387 -0.101  0.150 -0.101  0.255 -0.144  0.544 -0.153  0.834 -0.149  1.125 -0.135  1.413 -0.101
1c#mot#mot1#bb2/q  -0.651 0.426  -0.490 0.529  -0.329 0.680  -0.172 0.835  0.006 0.965  0.198 1.074  0.402 1.156  0.615 1.139  0.705 0.946  0.678 0.918  0.579 1.110  0.374 1.175  0.164 1.113  -0.012 0.979  -0.157 0.815  -0.240 0.611  -0.251 0.407  -0.049 0.416  0.136 0.535  0.301 0.679  0.434 0.856  0.461 0.828  0.395 0.618  0.316 0.411  0.226 0.210  0.134 0.009  0.039 -0.191  -0.060 -0.388  -0.150 -0.589  -0.233 -0.794  -0.316 -0.999  -0.393 -1.206  -0.459 -1.417  -0.511 -1.631  -0.547 -1.849  -0.492 -2.002  -0.383 -1.810  -0.298 -1.607  -0.219 -1.400  -0.145 -1.192  -0.079 -0.981  -0.046 -0.764  -0.037 -0.543  -0.064 -0.325  -0.128 -0.115  -0.227 0.082  -0.083 0.063  0.135 0.037  0.354 0.062  0.568 0.115
1c#mot#mot1#bb2/q  0.332 0.789  0.480 0.920  0.549 1.109  0.473 1.274  0.273 1.253  0.090 1.169  -0.070 1.046  -0.227 0.917  -0.369 0.774  -0.500 0.620  -0.574 0.438  -0.419 0.349  -0.222 0.391  -0.039 0.475  0.133 0.582  0.304 0.689  0.445 0.833  0.542 1.007  0.488 0.850  0.449 0.652  0.409 0.453  0.364 0.256  0.312 0.060  0.254 -0.133  0.186 -0.324  0.122 -0.516  0.064 -0.710  -0.000 -0.902  -0.068 -1.093  -0.161 -1.273  -0.255 -1.452  -0.353 -1.629  -0.475 -1.788  -0.653 -1.831  -0.715 -1.644  -0.713 -1.442  -0.692 -1.241  -0.654 -1.043  -0.597 -0.849  -0.509 -0.667  -0.411 -0.489  -0.305 -0.317  -0.178 -0.160  -0.040 -0.012  0.110 0.124  0.264 0.255  0.426 0.377  0.593 0.491  0.731 0.637  0.808 0.728
1c#mot#mot1#bb2/q  0.161 1.350  0.220 1.476  0.097 1.448  -0.011 1.352  -0.097 1.231  -0.178 1.108  -0.244 0.976  -0.268 0.834  -0.154 0.797  -0.030 0.875  0.079 0.975  0.178 1.084  0.264 1.204  0.289 1.280  0.240 1.141  0.200 0.999  0.160 0.856  0.137 0.711  0.113 0.565  0.089 0.419  0.064 0.274  0.038 0.128  0.013 -0.017  -0.010 -0.163  -0.033 -0.309  -0.056 -0.455  -0.078 -0.601  -0.099 -0.747  -0.119 -0.893  -0.139 -1.039  -0.157 -1.186  -0.170 -1.333  -0.178 -1.480  -0.171 -1.628  -0.097 -1.732  0.009 -1.640  0.067 -1.504  0.092 -1.359  0.109 -1.212  0.109 -1.065  0.102 -0.917  0.084 -0.771  0.060 -0.625  0.026 -0.482  -0.012 -0.339  -0.059 -0.199  -0.107 -0.060  -0.157 0.079  -0.192 0.223  -0.178 0.369
1c#mot#mot1#bb2/q  0.732 1.100  0.733 1.276  0.562 1.351  0.375 1.332  0.194 1.274  0.022 1.194  -0.136 1.090  -0.267 0.952  -0.381 0.801  -0.472 0.635  -0.529 0.454  -0.546 0.266  -0.427 0.141  -0.245 0.182  -0.078 0.273  0.078 0.380  0.224 0.501  0.357 0.636  0.475 0.785  0.570 0.949  0.607 1.123  0.525 0.952  0.439 0.783  0.350 0.615  0.261 0.448  0.178 0.277  0.101 0.103  0.027 -0.072  -0.043 -0.249  -0.109 -0.426  -0.172 -0.606  -0.235 -0.785  -0.300 -0.963  -0.364 -1.142  -0.425 -1.322  -0.489 -1.501  -0.535 -1.685  -0.506 -1.834  -0.379 -1.695  -0.265 -1.543  -0.159 -1.385  -0.064 -1.221  0.012 -1.047  0.066 -0.866  0.091 -0.678  0.086 -0.488  0.057 -0.300  -0.006 -0.122  -0.086 0.037  0.094 0.019
1c#mot#mot1#bb2/q  -1.119 0.040  -0.958 0.055  -0.775 0.183  -0.601 0.324  -0.440 0.479  -0.269 0.624  -0.102 0.772  0.065 0.921  0.241 1.059  0.438 1.155  0.499 0.975  0.467 1.183  0.250 1.191  0.042 1.111  -0.128 0.968  -0.274 0.799  -0.342 0.594  -0.177 0.488  0.031 0.567  0.223 0.682  0.390 0.830  0.521 1.010  0.525 1.027  0.493 0.805  0.452 0.586  0.380 0.374  0.293 0.168  0.206 -0.038  0.119 -0.244  0.027 -0.448  -0.065 -0.652  -0.159 -0.856  -0.245 -1.062  -0.314 -1.274  -0.365 -1.492  -0.397 -1.713  -0.369 -1.932  -0.176 -1.912  -0.048 -1.730  0.049 -1.529  0.127 -1.320  0.185 -1.104  0.219 -0.882  0.239 -0.660  0.236 -0.437  0.204 -0.216  0.140 -0.002  0.011 0.176  0.015 0.170  0.237 0.183
1c#mot#mot1#bb2/q  -0.693 0.083  -0.592 0.204  -0.454 0.370  -0.308 0.527  -0.152 0.675  0.015 0.811  0.191 0.933  0.386 1.019  0.449 0.859  0.428 1.002  0.240 1.047  0.044 0.959  -0.118 0.819  -0.261 0.658  -0.240 0.483  -0.039 0.528  0.144 0.640  0.288 0.799  0.248 0.727  0.208 0.516  0.179 0.303  0.148 0.090  0.117 -0.122  0.090 -0.336  0.057 -0.548  0.021 -0.760  -0.026 -0.970  -0.079 -1.179  -0.146 -1.383  -0.232 -1.580  -0.340 -1.765  -0.501 -1.899  -0.657 -1.779  -0.698 -1.571  -0.689 -1.357  -0.639 -1.149  -0.558 -0.951  -0.457 -0.761  -0.336 -0.583  -0.212 -0.408  -0.088 -0.232  0.049 -0.066  0.196 0.091  0.338 0.252  0.479 0.415  0.618 0.579  0.751 0.748  0.873 0.925  0.949 1.124  1.010 1.212
1c#mot#mot1#bb2/q  0.573 0.811  0.669 0.970  0.700 1.154  0.587 1.291  0.403 1.297  0.224 1.239  0.057 1.151  -0.098 1.045  -0.237 0.918  -0.358 0.773  -0.452 0.610  -0.486 0.426  -0.408 0.276  -0.223 0.296  -0.056 0.382  0.102 0.486  0.245 0.608  0.384 0.736  0.517 0.870  0.619 1.026  0.622 1.014  0.540 0.845  0.446 0.681  0.348 0.520  0.248 0.360  0.145 0.202  0.045 0.042  -0.050 -0.122  -0.139 -0.287  -0.225 -0.455  -0.305 -0.626  -0.382 -0.799  -0.436 -0.979  -0.483 -1.162  -0.516 -1.348  -0.518 -1.536  -0.488 -1.722  -0.364 -1.851  -0.230 -1.727  -0.145 -1.558  -0.083 -1.380  -0.035 -1.198  -0.003 -1.013  0.003 -0.824  -0.017 -0.637  -0.053 -0.452  -0.112 -0.273  -0.208 -0.113  -0.279 0.021  -0.091 0.013
1c#mot#mot1#bb2/q  -0.772 0.111  -0.654 0.209  -0.520 0.349  -0.387 0.490  -0.256 0.632  -0.126 0.775  0.013 0.910  0.150 1.046  0.305 1.162  0.487 1.202  0.592 1.053  0.587 1.210  0.421 1.267  0.243 1.197  0.102 1.066  0.011 0.896  -0.029 0.709  0.100 0.628  0.252 0.745  0.376 0.893  0.458 1.067  0.402 0.906  0.336 0.724  0.271 0.542  0.204 0.360  0.134 0.179  0.060 0.001  -0.013 -0.179  -0.081 -0.360  -0.140 -0.544  -0.195 -0.730  -0.248 -0.916  -0.295 -1.104  -0.337 -1.293  -0.372 -1.483  -0.405 -1.674  -0.417 -1.866  -0.305 -1.817  -0.193 -1.660  -0.101 -1.490  -0.023 -1.313  0.044 -1.131  0.099 -0.946  0.128 -0.754  0.127 -0.562  0.090 -0.373  0.014 -0.196  -0.110 -0.049  -0.107 0.033  0.082 0.077
1c#mot#mot1#bb2/q  -0.784 0.178  -0.620 0.325  -0.465 0.480  -0.300 0.625  -0.130 0.765  0.043 0.901  0.219 1.033  0.408 1.145  0.620 1.192  0.729 1.029  0.717 0.847  0.681 1.060  0.504 1.169  0.292 1.129  0.120 0.994  -0.031 0.834  -0.159 0.655  -0.261 0.460  -0.306 0.246  -0.156 0.134  0.048 0.211  0.213 0.355  0.343 0.532  0.451 0.724  0.540 0.920  0.441 0.729  0.340 0.534  0.239 0.338  0.148 0.138  0.056 -0.062  -0.039 -0.260  -0.136 -0.458  -0.234 -0.655  -0.322 -0.856  -0.410 -1.058  -0.487 -1.264  -0.556 -1.472  -0.608 -1.686  -0.606 -1.902  -0.420 -1.867  -0.258 -1.718  -0.115 -1.551  -0.026 -1.351  0.029 -1.138  0.049 -0.919  0.054 -0.699  0.050 -0.480  0.041 -0.260  -0.007 -0.046  0.059 0.023
1c#mot#mot1#bb2/q  -0.773 0.362  -0.592 0.384  -0.404 0.489  -0.225 0.607  -0.054 0.738  0.106 0.881  0.268 1.023  0.431 1.162  0.581 1.146  0.611 0.935  0.572 1.119  0.434 1.262  0.231 1.209  0.089 1.048  -0.029 0.869  -0.107 0.670  -0.115 0.459  0.087 0.473  0.240 0.622  0.370 0.792  0.446 0.991  0.398 0.825  0.334 0.620  0.255 0.420  0.173 0.221  0.086 0.024  -0.005 -0.170  -0.098 -0.364  -0.186 -0.561  -0.263 -0.761  -0.334 -0.964  -0.404 -1.167  -0.465 -1.373  -0.512 -1.583  -0.529 -1.796  -0.455 -1.980  -0.283 -1.863  -0.171 -1.679  -0.097 -1.478  -0.038 -1.271  0.002 -1.060  0.022 -0.847  0.022 -0.632  -0.002 -0.418  -0.044 -0.207  -0.106 -0.002  -0.153 0.207  0.023 0.186  0.232 0.178  0.432 0.257
1c#mot#mot1#bb2/q  0.375 1.022  0.466 1.163  0.539 1.312  0.429 1.372  0.278 1.300  0.142 1.200  0.019 1.086  -0.091 0.960  -0.185 0.821  -0.217 0.665  -0.071 0.647  0.079 0.719  0.215 0.819  0.348 0.922  0.470 1.037  0.543 1.155  0.471 1.003  0.396 0.852  0.337 0.695  0.278 0.537  0.213 0.382  0.147 0.227  0.078 0.074  0.009 -0.080  -0.053 -0.236  -0.115 -0.392  -0.177 -0.549  -0.239 -0.705  -0.301 -0.861  -0.361 -1.019  -0.421 -1.176  -0.474 -1.336  -0.523 -1.496  -0.545 -1.663  -0.500 -1.776  -0.387 -1.654  -0.292 -1.515  -0.210 -1.368  -0.141 -1.215  -0.084 -1.057  -0.038 -0.895  0.001 -0.732  0.018 -0.565  0.026 -0.397  -0.003 -0.231  -0.045 -0.069  -0.109 0.086  -0.194 0.231  -0.131 0.330  0.033 0.368
1c#mot#mot1#bb2/q  0.209 0.783  0.310 0.883  0.394 0.998  0.467 1.121  0.502 1.257  0.428 1.331  0.299 1.272  0.182 1.191  0.075 1.097  -0.020 0.990  -0.096 0.869  -0.122 0.734  0.014 0.741  0.141 0.805  0.259 0.886  0.369 0.976  0.473 1.074  0.475 1.020  0.410 0.893  0.344 0.766  0.282 0.637  0.219 0.509  0.159 0.379  0.100 0.249  0.041 0.119  -0.018 -0.011  -0.078 -0.140  -0.137 -0.270  -0.192 -0.402  -0.244 -0.535  -0.297 -0.668  -0.347 -0.801  -0.395 -0.936  -0.443 -1.070  -0.484 -1.207  -0.523 -1.344  -0.546 -1.485  -0.556 -1.627  -0.444 -1.626  -0.347 -1.523  -0.271 -1.402  -0.210 -1.273  -0.157 -1.141  -0.108 -1.007  -0.067 -0.870  -0.027 -0.733  -0.010 -0.591  0.006 -0.449  -0.003 -0.307  -0.017 -0.165
1c#mot#mot1#bb2/q  0.463 0.939  0.557 1.074  0.579 1.234  0.430 1.279  0.268 1.245  0.114 1.184  -0.031 1.102  -0.167 1.006  -0.243 0.880  -0.089 0.850  0.069 0.900  0.224 0.960  0.376 1.029  0.511 1.123  0.493 1.083  0.402 0.944  0.323 0.798  0.254 0.647  0.185 0.496  0.114 0.345  0.044 0.194  -0.021 0.041  -0.087 -0.112  -0.154 -0.264  -0.221 -0.416  -0.289 -0.568  -0.358 -0.719  -0.426 -0.871  -0.492 -1.024  -0.557 -1.177  -0.617 -1.332  -0.673 -1.489  -0.683 -1.654  -0.567 -1.673  -0.437 -1.570  -0.329 -1.443  -0.224 -1.314  -0.131 -1.176  -0.040 -1.037  0.029 -0.886  0.099 -0.735  0.154 -0.579  0.201 -0.419  0.233 -0.257  0.238 -0.091  0.213 0.072  0.158 0.227  0.052 0.353  -0.058 0.388  0.107 0.414
1c#mot#mot1#bb2/q  0.182 0.734  0.304 0.906  0.379 1.103  0.388 1.309  0.210 1.361  0.020 1.271  -0.151 1.148  -0.309 1.008  -0.455 0.855  -0.586 0.689  -0.697 0.509  -0.707 0.311  -0.522 0.263  -0.326 0.342  -0.140 0.442  0.032 0.566  0.189 0.707  0.329 0.864  0.451 1.037  0.430 1.103  0.345 0.909  0.291 0.705  0.197 0.520  0.126 0.320  0.061 0.119  -0.002 -0.083  -0.062 -0.286  -0.125 -0.488  -0.192 -0.689  -0.259 -0.889  -0.319 -1.092  -0.374 -1.297  -0.419 -1.503  -0.443 -1.713  -0.388 -1.906  -0.214 -1.869  -0.082 -1.706  0.021 -1.521  0.108 -1.328  0.171 -1.126  0.215 -0.920  0.235 -0.710  0.222 -0.500  0.168 -0.297  0.048 -0.124  -0.061 0.033  0.137 0.103  0.336 0.175  0.527 0.264  0.711 0.370
1c#mot#mot1#bb2/q  -1.404 -0.038  -1.461 -0.193  -1.226 -0.108  -1.010 0.020  -0.806 0.165  -0.612 0.324  -0.423 0.489  -0.231 0.651  -0.032 0.804  0.172 0.950  0.395 1.062  0.636 1.131  0.847 1.068  0.628 1.151  0.394 1.064  0.191 0.918  0.016 0.739  -0.129 0.535  -0.234 0.308  -0.102 0.236  0.094 0.392  0.276 0.564  0.456 0.739  0.632 0.917  0.668 0.877  0.525 0.671  0.376 0.469  0.234 0.262  0.100 0.050  -0.029 -0.165  -0.154 -0.383  -0.274 -0.603  -0.378 -0.831  -0.471 -1.064  -0.545 -1.303  -0.581 -1.550  -0.490 -1.767  -0.253 -1.768  -0.038 -1.642  0.142 -1.469  0.303 -1.277  0.432 -1.062  0.527 -0.830  0.582 -0.586  0.580 -0.337  0.487 -0.108  0.294 0.048  0.053 0.109  0.299 0.154  0.542 0.215
1c#mot#mot1#bb2/q  -1.376 -0.325  -1.434 -0.469  -1.224 -0.387  -1.033 -0.262  -0.857 -0.117  -0.690 0.038  -0.529 0.200  -0.372 0.366  -0.216 0.533  -0.056 0.696  0.110 0.852  0.289 0.994  0.487 1.108  0.704 1.173  0.638 1.206  0.421 1.160  0.230 1.037  0.066 0.877  -0.074 0.698  -0.170 0.494  -0.026 0.412  0.169 0.529  0.351 0.667  0.522 0.817  0.685 0.978  0.728 0.975  0.618 0.775  0.509 0.574  0.403 0.372  0.301 0.168  0.200 -0.037  0.100 -0.242  0.001 -0.448  -0.094 -0.655  -0.184 -0.865  -0.264 -1.079  -0.338 -1.295  -0.390 -1.516  -0.382 -1.740  -0.184 -1.760  -0.015 -1.610  0.113 -1.422  0.209 -1.216  0.278 -0.998  0.326 -0.775  0.343 -0.548  0.335 -0.320  0.300 -0.095  0.246 0.127  0.228 0.353
1c#mot#mot1#bb2/q  -1.028 0.070  -0.888 0.097  -0.709 0.216  -0.533 0.338  -0.363 0.468  -0.192 0.599  -0.020 0.726  0.154 0.851  0.332 0.972  0.519 1.077  0.720 1.148  0.683 1.183  0.482 1.116  0.310 0.989  0.167 0.829  0.047 0.652  0.086 0.563  0.248 0.704  0.407 0.848  0.567 0.991  0.680 1.063  0.548 0.893  0.427 0.716  0.314 0.534  0.209 0.347  0.108 0.158  0.010 -0.033  -0.091 -0.222  -0.190 -0.412  -0.288 -0.603  -0.383 -0.796  -0.474 -0.990  -0.559 -1.187  -0.633 -1.388  -0.685 -1.596  -0.678 -1.808  -0.493 -1.820  -0.327 -1.686  -0.190 -1.522  -0.069 -1.345  0.039 -1.160  0.128 -0.965  0.197 -0.762  0.238 -0.551  0.249 -0.337  0.225 -0.124  0.158 0.079  0.060 0.269  0.135 0.381  0.344 0.429
