2#apb#apb14#app1454/R  -0.998 0.676  -0.986 0.849  -0.835 0.800  -0.748 0.645  -0.662 0.489  -0.585 0.328  -0.508 0.167  -0.431 0.007  -0.345 -0.149  -0.259 -0.305  -0.180 -0.465  -0.109 -0.628  -0.075 -0.802  -0.098 -0.974  -0.221 -1.030  -0.371 -0.934  -0.517 -0.832  -0.662 -0.728  -0.743 -0.572  -0.818 -0.410  -0.877 -0.242  -0.936 -0.074  -0.929 0.104  -0.921 0.282  -0.866 0.444  -0.762 0.589  -0.634 0.708  -0.484 0.805  -0.328 0.881  -0.150 0.895  0.027 0.909  0.203 0.904  0.373 0.852  0.544 0.800  0.695 0.713  0.830 0.597  0.934 0.458  1.000 0.293  1.010 0.121  0.987 -0.056  0.908 -0.215  0.818 -0.368  0.708 -0.509  0.641 -0.668  0.782 -0.740  0.960 -0.734  1.138 -0.720  1.316 -0.720  1.494 -0.720  1.672 -0.720
2#apb#apb14#app1454/i  -0.240 0.117  -0.163 0.044  -0.103 -0.060  -0.073 -0.174  -0.055 -0.292  -0.036 -0.410  -0.036 -0.529  -0.036 -0.649  -0.030 -0.768  -0.015 -0.886  -0.001 -1.005  0.009 -1.124  0.019 -1.243  0.030 -1.362  0.032 -1.481  -0.001 -1.595  -0.004 -1.483  -0.005 -1.364  -0.006 -1.244  -0.007 -1.125  -0.009 -1.005  -0.010 -0.886  -0.011 -0.767  -0.012 -0.647  -0.014 -0.528  -0.015 -0.408  -0.016 -0.289  -0.017 -0.169  -0.019 -0.050  -0.020 0.070  -0.021 0.189  -0.022 0.309  -0.024 0.428  -0.025 0.547  -0.026 0.667  -0.027 0.786  -0.029 0.906  -0.030 1.025  -0.031 1.145  -0.032 1.264  -0.034 1.384  -0.035 1.503  -0.036 1.623  0.064 1.680  0.143 1.592  0.194 1.489  0.214 1.371  0.219 1.252  0.217 1.133  0.185 1.018
2#apb#apb14#app1454/c  0.966 0.891  0.896 0.984  0.783 1.006  0.668 1.025  0.555 1.021  0.443 0.989  0.331 0.957  0.220 0.925  0.108 0.893  0.009 0.832  -0.088 0.769  -0.186 0.706  -0.283 0.642  -0.381 0.579  -0.469 0.504  -0.558 0.429  -0.647 0.354  -0.736 0.279  -0.825 0.205  -0.899 0.115  -0.971 0.024  -1.043 -0.067  -1.110 -0.162  -1.153 -0.270  -1.196 -0.378  -1.129 -0.469  -1.032 -0.522  -0.919 -0.552  -0.807 -0.582  -0.694 -0.606  -0.578 -0.621  -0.463 -0.636  -0.348 -0.651  -0.233 -0.666  -0.117 -0.662  -0.002 -0.646  0.113 -0.630  0.228 -0.615  0.343 -0.599  0.455 -0.565  0.566 -0.532  0.677 -0.498  0.789 -0.465  0.902 -0.439  1.016 -0.416  1.130 -0.393  1.245 -0.377  1.360 -0.365  1.476 -0.367  1.591 -0.383
2#apb#apb14#app1454/h  -1.021 1.261  -0.993 1.371  -0.957 1.353  -0.882 1.269  -0.840 1.164  -0.801 1.057  -0.762 0.950  -0.737 0.840  -0.722 0.728  -0.706 0.615  -0.690 0.503  -0.674 0.390  -0.657 0.278  -0.639 0.166  -0.622 0.054  -0.604 -0.059  -0.576 -0.169  -0.546 -0.278  -0.517 -0.388  -0.493 -0.499  -0.474 -0.611  -0.460 -0.723  -0.406 -0.740  -0.336 -0.651  -0.273 -0.557  -0.213 -0.460  -0.156 -0.362  -0.098 -0.264  -0.036 -0.170  0.029 -0.076  0.093 0.017  0.177 0.094  0.261 0.170  0.371 0.179  0.485 0.179  0.591 0.152  0.688 0.094  0.785 0.035  0.869 -0.042  0.952 -0.119  1.033 -0.198  1.077 -0.303  1.121 -0.407  1.164 -0.512  1.202 -0.619  1.240 -0.726  1.240 -0.840  1.226 -0.951  1.177 -1.052  1.111 -1.145
2#apb#apb14#app1454/e  -0.117 -0.045  -0.151 0.136  -0.185 0.316  -0.181 0.499  -0.169 0.683  -0.092 0.846  0.000 1.005  0.171 1.065  0.347 1.117  0.529 1.144  0.710 1.150  0.890 1.114  0.998 0.966  1.039 0.790  0.951 0.629  0.844 0.484  0.698 0.372  0.550 0.264  0.388 0.177  0.226 0.091  0.052 0.034  -0.125 -0.018  -0.300 -0.073  -0.474 -0.131  -0.649 -0.189  -0.743 -0.042  -0.831 0.119  -0.920 0.280  -1.009 0.441  -1.007 0.444  -0.980 0.267  -0.983 0.084  -0.994 -0.100  -1.004 -0.283  -1.004 -0.467  -0.965 -0.646  -0.836 -0.765  -0.676 -0.852  -0.502 -0.910  -0.322 -0.932  -0.138 -0.932  0.046 -0.928  0.229 -0.918  0.413 -0.908  0.597 -0.907  0.780 -0.907  0.961 -0.880  1.140 -0.839  1.313 -0.889  1.484 -0.957
2#apb#apb14#app1454/t  -0.602 0.890  -0.494 0.872  -0.441 0.702  -0.414 0.524  -0.398 0.345  -0.414 0.165  -0.431 -0.015  -0.448 -0.195  -0.466 -0.374  -0.503 -0.550  -0.570 -0.717  -0.637 -0.885  -0.712 -1.049  -0.821 -1.188  -0.772 -1.145  -0.624 -1.042  -0.475 -0.939  -0.327 -0.836  -0.178 -0.734  -0.029 -0.631  0.119 -0.528  0.268 -0.426  0.417 -0.323  0.565 -0.220  0.714 -0.118  0.862 -0.015  1.011 0.088  1.160 0.191  1.308 0.293  1.457 0.396  1.605 0.499  1.623 0.597  1.445 0.564  1.267 0.532  1.088 0.507  0.909 0.483  0.730 0.458  0.552 0.429  0.374 0.400  0.196 0.370  0.017 0.340  -0.162 0.317  -0.341 0.300  -0.521 0.283  -0.701 0.265  -0.881 0.250  -1.061 0.235  -1.241 0.221  -1.422 0.212  -1.602 0.202
2#apb#apb14#app1454/t  -0.698 1.390  -0.546 1.317  -0.471 1.148  -0.422 0.969  -0.378 0.790  -0.343 0.608  -0.318 0.424  -0.293 0.241  -0.286 0.057  -0.307 -0.127  -0.327 -0.311  -0.331 -0.496  -0.331 -0.681  -0.351 -0.864  -0.400 -1.042  -0.446 -1.222  -0.514 -1.391  -0.381 -1.262  -0.249 -1.133  -0.116 -1.003  0.017 -0.874  0.149 -0.745  0.282 -0.616  0.415 -0.486  0.547 -0.357  0.680 -0.228  0.813 -0.098  0.945 0.031  1.078 0.160  1.211 0.289  1.343 0.419  1.476 0.548  1.469 0.522  1.288 0.480  1.108 0.439  0.926 0.401  0.745 0.364  0.564 0.326  0.382 0.289  0.199 0.264  0.015 0.240  -0.169 0.215  -0.352 0.191  -0.536 0.169  -0.720 0.148  -0.904 0.128  -1.088 0.108  -1.273 0.096  -1.458 0.087  -1.643 0.078
2#apb#apb14#app1454/e  -0.534 0.507  -0.469 0.649  -0.404 0.791  -0.309 0.914  -0.198 1.015  -0.043 1.035  0.112 1.056  0.265 1.052  0.418 1.019  0.571 0.986  0.712 0.920  0.851 0.850  0.972 0.757  1.074 0.638  1.062 0.491  1.006 0.359  0.855 0.319  0.704 0.279  0.552 0.245  0.398 0.220  0.244 0.196  0.090 0.171  -0.064 0.146  -0.220 0.143  -0.377 0.143  -0.533 0.143  -0.689 0.143  -0.845 0.143  -0.916 0.171  -0.791 0.265  -0.666 0.359  -0.637 0.301  -0.646 0.146  -0.643 -0.010  -0.632 -0.166  -0.621 -0.322  -0.600 -0.476  -0.576 -0.631  -0.535 -0.779  -0.465 -0.919  -0.363 -1.036  -0.249 -1.142  -0.124 -1.235  0.012 -1.308  0.160 -1.358  0.314 -1.381  0.469 -1.397  0.616 -1.450  0.766 -1.481  0.922 -1.481
2#apb#apb14#app1454/F  -0.871 0.598  -0.718 0.619  -0.670 0.333  -0.603 0.050  -0.558 -0.236  -0.558 -0.526  -0.569 -0.817  -0.614 -1.102  -0.738 -1.361  -0.921 -1.580  -0.962 -1.456  -0.786 -1.225  -0.609 -0.994  -0.433 -0.763  -0.257 -0.531  -0.081 -0.300  0.095 -0.069  0.271 0.162  0.447 0.393  0.624 0.625  0.800 0.856  0.976 1.087  1.168 1.161  0.918 1.016  0.652 0.900  0.381 0.796  0.101 0.717  -0.178 0.636  -0.448 0.530  -0.726 0.445  -1.006 0.369  -1.122 0.298  -0.832 0.281  -0.541 0.264  -0.251 0.247  0.039 0.230  0.329 0.213  0.619 0.196  0.909 0.178  1.200 0.161  1.490 0.144  1.566 0.021  1.294 -0.077  1.014 -0.153  0.727 -0.203  0.442 -0.256  0.163 -0.340  -0.115 -0.424  -0.392 -0.513  -0.668 -0.602
2#apb#apb14#app1454/r  -0.621 1.079  -0.577 1.090  -0.492 0.988  -0.443 0.869  -0.414 0.740  -0.384 0.611  -0.364 0.481  -0.356 0.349  -0.349 0.217  -0.341 0.085  -0.336 -0.047  -0.336 -0.180  -0.336 -0.312  -0.336 -0.444  -0.336 -0.576  -0.336 -0.709  -0.336 -0.841  -0.352 -0.971  -0.390 -1.097  -0.428 -1.224  -0.431 -1.356  -0.485 -1.404  -0.558 -1.302  -0.558 -1.169  -0.544 -1.039  -0.518 -0.909  -0.492 -0.779  -0.466 -0.650  -0.409 -0.531  -0.347 -0.414  -0.285 -0.297  -0.223 -0.180  -0.154 -0.069  -0.064 0.028  0.027 0.124  0.117 0.221  0.207 0.318  0.303 0.409  0.408 0.488  0.514 0.567  0.620 0.647  0.738 0.705  0.860 0.756  0.982 0.806  1.110 0.832  1.242 0.842  1.374 0.852  1.503 0.838  1.630 0.800  1.757 0.762
2#apb#apb14#app1454/i  -0.005 1.694  0.041 1.649  0.042 1.576  0.041 1.504  0.023 1.433  0.005 1.362  -0.009 1.291  -0.020 1.218  -0.032 1.146  -0.043 1.074  -0.051 1.002  -0.053 0.929  -0.055 0.856  -0.056 0.783  -0.058 0.710  -0.059 0.637  -0.061 0.564  -0.062 0.491  -0.064 0.418  -0.066 0.345  -0.067 0.272  -0.069 0.200  -0.070 0.127  -0.072 0.054  -0.074 -0.019  -0.031 -0.033  0.022 -0.059  0.039 -0.129  0.057 -0.200  0.075 -0.271  0.088 -0.342  0.088 -0.415  0.088 -0.488  0.088 -0.561  0.088 -0.634  0.087 -0.707  0.079 -0.779  0.070 -0.852  0.062 -0.924  0.053 -0.997  0.045 -1.069  0.031 -1.141  0.016 -1.212  0.001 -1.284  -0.015 -1.355  -0.028 -1.427  -0.028 -1.500  -0.028 -1.573  -0.028 -1.645  -0.028 -1.718
2#apb#apb14#app1454/t  -0.884 1.148  -0.786 1.295  -0.719 1.138  -0.684 0.965  -0.650 0.792  -0.615 0.619  -0.588 0.445  -0.588 0.269  -0.588 0.093  -0.588 -0.084  -0.588 -0.260  -0.590 -0.437  -0.601 -0.613  -0.614 -0.789  -0.631 -0.964  -0.680 -1.132  -0.638 -1.211  -0.495 -1.107  -0.353 -1.003  -0.210 -0.898  -0.068 -0.794  0.074 -0.690  0.217 -0.586  0.359 -0.482  0.502 -0.378  0.644 -0.274  0.786 -0.170  0.929 -0.066  1.071 0.039  1.214 0.143  1.356 0.247  1.498 0.351  1.622 0.469  1.499 0.484  1.326 0.447  1.154 0.409  0.982 0.372  0.808 0.340  0.634 0.312  0.460 0.284  0.286 0.256  0.111 0.228  -0.063 0.201  -0.237 0.174  -0.411 0.146  -0.586 0.119  -0.759 0.088  -0.932 0.054  -1.106 0.021  -1.279 -0.012
2#apb#apb14#app1454/s  0.089 0.732  0.209 0.805  0.285 0.714  0.335 0.580  0.397 0.474  0.489 0.580  0.550 0.710  0.596 0.846  0.598 0.990  0.576 1.127  0.492 1.244  0.398 1.333  0.256 1.312  0.133 1.235  0.018 1.150  -0.089 1.053  -0.195 0.956  -0.279 0.839  -0.362 0.721  -0.433 0.596  -0.492 0.467  -0.492 0.323  -0.459 0.188  -0.383 0.067  -0.274 -0.028  -0.158 -0.111  -0.025 -0.166  0.114 -0.201  0.254 -0.236  0.398 -0.237  0.527 -0.287  0.643 -0.372  0.743 -0.469  0.743 -0.613  0.678 -0.740  0.575 -0.834  0.449 -0.903  0.317 -0.959  0.179 -1.000  0.041 -1.042  -0.097 -1.083  -0.241 -1.092  -0.385 -1.099  -0.529 -1.106  -0.672 -1.106  -0.816 -1.098  -0.960 -1.089  -1.103 -1.075  -1.246 -1.056  -1.389 -1.037
2#apb#apb14#app1454/c  0.203 1.398  0.194 1.335  0.139 1.251  0.059 1.189  -0.020 1.126  -0.100 1.064  -0.179 1.001  -0.256 0.936  -0.318 0.856  -0.380 0.776  -0.442 0.696  -0.504 0.616  -0.566 0.536  -0.628 0.457  -0.691 0.377  -0.753 0.297  -0.816 0.218  -0.878 0.138  -0.941 0.059  -0.953 -0.041  -0.963 -0.141  -0.964 -0.240  -0.919 -0.331  -0.861 -0.410  -0.775 -0.464  -0.690 -0.518  -0.605 -0.573  -0.508 -0.588  -0.407 -0.588  -0.306 -0.588  -0.205 -0.588  -0.103 -0.588  -0.002 -0.588  0.099 -0.588  0.200 -0.588  0.301 -0.588  0.402 -0.588  0.502 -0.582  0.598 -0.548  0.693 -0.514  0.789 -0.481  0.884 -0.447  0.980 -0.419  1.081 -0.413  1.182 -0.406  1.283 -0.400  1.384 -0.394  1.485 -0.385  1.586 -0.375  1.686 -0.364
2#apb#apb14#app1454/h  -1.056 1.270  -0.983 1.185  -0.926 1.089  -0.881 0.986  -0.835 0.883  -0.822 0.772  -0.813 0.660  -0.804 0.548  -0.796 0.436  -0.791 0.323  -0.787 0.211  -0.783 0.098  -0.778 -0.014  -0.768 -0.126  -0.757 -0.238  -0.746 -0.350  -0.727 -0.461  -0.705 -0.571  -0.674 -0.679  -0.640 -0.784  -0.546 -0.790  -0.461 -0.717  -0.395 -0.626  -0.333 -0.532  -0.271 -0.438  -0.212 -0.342  -0.153 -0.246  -0.095 -0.151  -0.032 -0.057  0.032 0.036  0.095 0.129  0.169 0.209  0.270 0.260  0.370 0.310  0.480 0.333  0.591 0.351  0.693 0.304  0.795 0.256  0.894 0.204  0.966 0.118  1.039 0.032  1.111 -0.054  1.182 -0.141  1.250 -0.231  1.308 -0.327  1.364 -0.425  1.419 -0.523  1.464 -0.626  1.513 -0.727  1.563 -0.828
2#apb#apb14#app1454/C  0.187 0.912  0.158 1.002  0.109 1.082  0.052 1.154  -0.042 1.164  -0.136 1.171  -0.228 1.150  -0.320 1.128  -0.400 1.087  -0.467 1.020  -0.534 0.953  -0.588 0.879  -0.623 0.791  -0.658 0.703  -0.693 0.616  -0.725 0.527  -0.739 0.434  -0.753 0.341  -0.767 0.248  -0.776 0.154  -0.753 0.063  -0.730 -0.029  -0.707 -0.120  -0.663 -0.203  -0.617 -0.285  -0.571 -0.368  -0.515 -0.442  -0.438 -0.495  -0.360 -0.549  -0.281 -0.600  -0.194 -0.636  -0.106 -0.672  -0.019 -0.707  0.072 -0.727  0.166 -0.732  0.260 -0.738  0.354 -0.742  0.449 -0.742  0.543 -0.742  0.637 -0.742  0.731 -0.737  0.823 -0.715  0.915 -0.694  1.007 -0.672  1.098 -0.649  1.190 -0.626  1.281 -0.604  1.370 -0.573  1.457 -0.537  1.544 -0.501
2#apb#apb14#app1454/o  -1.399 -0.019  -1.356 0.111  -1.299 0.235  -1.231 0.353  -1.168 0.474  -1.097 0.587  -0.979 0.655  -0.855 0.710  -0.722 0.739  -0.588 0.767  -0.454 0.793  -0.320 0.767  -0.186 0.740  -0.052 0.713  0.081 0.683  0.213 0.650  0.346 0.617  0.478 0.583  0.595 0.516  0.708 0.438  0.820 0.360  0.928 0.278  1.014 0.171  1.099 0.065  1.177 -0.046  1.228 -0.173  1.278 -0.300  1.258 -0.429  1.215 -0.559  1.130 -0.656  1.014 -0.729  0.899 -0.802  0.771 -0.832  0.634 -0.832  0.498 -0.832  0.361 -0.832  0.226 -0.813  0.092 -0.786  -0.042 -0.759  -0.173 -0.725  -0.295 -0.664  -0.418 -0.603  -0.514 -0.511  -0.596 -0.402  -0.661 -0.284  -0.697 -0.152  -0.733 -0.021  -0.742 0.115  -0.742 0.251  -0.742 0.388
2#apb#apb14#app1454/h  -0.959 0.834  -0.959 0.967  -0.942 1.000  -0.885 0.880  -0.838 0.756  -0.791 0.631  -0.752 0.505  -0.729 0.374  -0.706 0.243  -0.689 0.112  -0.682 -0.021  -0.674 -0.153  -0.680 -0.285  -0.698 -0.417  -0.717 -0.548  -0.769 -0.670  -0.798 -0.799  -0.847 -0.777  -0.828 -0.645  -0.773 -0.525  -0.713 -0.407  -0.654 -0.288  -0.594 -0.169  -0.521 -0.060  -0.427 0.033  -0.333 0.127  -0.229 0.209  -0.122 0.287  -0.014 0.366  0.104 0.424  0.227 0.473  0.350 0.523  0.483 0.523  0.616 0.523  0.743 0.496  0.863 0.440  0.983 0.383  1.093 0.309  1.186 0.221  1.231 0.097  1.265 -0.031  1.275 -0.163  1.279 -0.295  1.247 -0.424  1.214 -0.552  1.169 -0.677  1.119 -0.799  1.034 -0.901  0.958 -1.010  0.884 -1.120
