2#tos#t3#t3026064/\"  -0.755 1.199  -0.755 1.041  -0.793 0.889  -0.843 0.738  -0.893 0.588  -0.943 0.438  -0.950 0.281  -0.950 0.122  -0.950 -0.036  -0.950 -0.194  -0.950 -0.353  -0.950 -0.511  -0.950 -0.669  -0.919 -0.820  -0.853 -0.963  -0.781 -1.049  -0.674 -0.945  -0.577 -0.819  -0.480 -0.694  -0.384 -0.569  -0.287 -0.443  -0.190 -0.318  -0.093 -0.193  0.004 -0.068  0.100 0.058  0.197 0.183  0.294 0.308  0.391 0.434  0.488 0.559  0.584 0.684  0.681 0.809  0.778 0.935  0.875 1.060  0.809 1.093  0.809 0.935  0.809 0.776  0.809 0.618  0.711 0.557  0.711 0.399  0.711 0.241  0.711 0.082  0.711 -0.076  0.711 -0.234  0.711 -0.393  0.711 -0.551  0.711 -0.709  0.711 -0.868  0.711 -1.026  0.711 -1.184  0.711 -1.343
2#tos#t3#t3026064/<  0.533 1.629  0.479 1.585  0.479 1.486  0.408 1.431  0.368 1.356  0.308 1.280  0.277 1.187  0.219 1.113  0.137 1.058  0.099 0.980  0.068 0.886  0.024 0.802  -0.058 0.747  -0.137 0.688  -0.187 0.607  -0.219 0.513  -0.289 0.449  -0.371 0.394  -0.423 0.313  -0.444 0.219  -0.513 0.149  -0.551 0.066  -0.587 0.003  -0.686 0.003  -0.768 -0.013  -0.768 -0.112  -0.717 -0.160  -0.630 -0.189  -0.560 -0.259  -0.497 -0.300  -0.429 -0.356  -0.341 -0.401  -0.254 -0.448  -0.172 -0.503  -0.084 -0.539  -0.017 -0.602  0.043 -0.681  0.102 -0.760  0.157 -0.842  0.214 -0.919  0.313 -0.919  0.346 -1.010  0.393 -1.081  0.492 -1.081  0.574 -1.122  0.612 -1.212  0.649 -1.298  0.748 -1.298  0.803 -1.379  0.858 -1.461
2#tos#t3#t3026064/?  -0.478 0.835  -0.601 0.835  -0.720 0.812  -0.830 0.805  -0.785 0.913  -0.661 0.913  -0.634 1.010  -0.532 1.031  -0.408 1.031  -0.284 1.031  -0.161 1.031  -0.037 1.031  0.086 1.026  0.202 0.985  0.316 0.936  0.397 0.874  0.481 0.835  0.502 0.732  0.511 0.678  0.502 0.563  0.385 0.557  0.375 0.443  0.256 0.432  0.168 0.344  0.108 0.247  -0.002 0.213  -0.089 0.126  -0.155 0.036  -0.203 -0.058  -0.282 -0.104  -0.242 -0.188  -0.232 -0.302  -0.164 -0.357  -0.125 -0.442  -0.057 -0.498  0.017 -0.561  0.095 -0.615  0.081 -0.683  0.120 -0.801  0.159 -0.918  0.198 -1.035  0.237 -1.153  0.267 -1.272  0.232 -1.360  0.189 -1.441  0.210 -1.559  0.292 -1.632  0.372 -1.713  0.424 -1.785  0.502 -1.830
2#tos#t3#t3026064/@  0.694 -0.214  0.551 -0.136  0.551 0.086  0.551 0.307  0.523 0.501  0.397 0.597  0.176 0.597  0.026 0.524  -0.021 0.323  -0.021 0.101  -0.021 -0.120  -0.021 -0.342  -0.021 -0.563  -0.021 -0.785  -0.021 -1.006  0.075 -1.168  0.297 -1.168  0.478 -1.050  0.599 -0.898  0.646 -0.696  0.646 -0.475  0.642 -0.254  0.599 -0.043  0.599 0.179  0.599 0.400  0.599 0.622  0.503 0.804  0.503 1.025  0.431 1.195  0.312 1.317  0.169 1.396  -0.041 1.407  -0.239 1.329  -0.355 1.209  -0.450 1.083  -0.594 1.004  -0.594 0.783  -0.689 0.657  -0.710 0.438  -0.737 0.221  -0.784 0.020  -0.784 -0.202  -0.784 -0.423  -0.784 -0.645  -0.748 -0.858  -0.737 -1.077  -0.628 -1.240  -0.498 -1.384  -0.458 -1.589  -0.403 -1.788
2#tos#t3#t3026064/[  -0.066 0.912  -0.128 0.854  -0.231 0.828  -0.138 0.834  -0.040 0.869  0.066 0.869  0.172 0.869  0.265 0.902  0.349 0.955  0.370 1.040  0.476 1.040  0.520 1.081  0.415 1.065  0.310 1.048  0.205 1.032  0.100 1.016  -0.005 1.000  -0.110 0.996  -0.199 0.937  -0.236 0.851  -0.236 0.745  -0.236 0.639  -0.236 0.533  -0.236 0.427  -0.236 0.321  -0.236 0.214  -0.236 0.108  -0.236 0.002  -0.236 -0.104  -0.236 -0.210  -0.236 -0.316  -0.236 -0.422  -0.236 -0.528  -0.236 -0.634  -0.236 -0.741  -0.236 -0.847  -0.236 -0.953  -0.236 -1.059  -0.236 -1.165  -0.236 -1.271  -0.202 -1.343  -0.098 -1.349  -0.000 -1.386  0.106 -1.386  0.212 -1.386  0.318 -1.386  0.424 -1.386  0.530 -1.386  0.636 -1.386  0.700 -1.343
2#tos#t3#t3026064/`  0.770 1.440  0.677 1.393  0.584 1.346  0.490 1.300  0.397 1.253  0.304 1.206  0.228 1.149  0.228 1.044  0.228 0.940  0.177 0.863  0.090 0.806  0.003 0.748  -0.084 0.690  -0.170 0.632  -0.257 0.574  -0.344 0.516  -0.431 0.458  -0.517 0.401  -0.608 0.356  -0.712 0.356  -0.817 0.356  -0.856 0.290  -0.856 0.186  -0.852 0.085  -0.748 0.085  -0.644 0.085  -0.560 0.047  -0.502 -0.040  -0.444 -0.126  -0.386 -0.213  -0.328 -0.300  -0.270 -0.387  -0.212 -0.473  -0.155 -0.560  -0.097 -0.647  -0.036 -0.728  0.068 -0.728  0.173 -0.728  0.228 -0.777  0.228 -0.881  0.228 -0.985  0.292 -1.063  0.366 -1.137  0.440 -1.211  0.520 -1.270  0.624 -1.270  0.728 -1.270  0.833 -1.270  0.937 -1.270  1.041 -1.270
2#tos#t3#t3026064/{  0.579 1.311  0.484 1.311  0.422 1.345  0.326 1.345  0.245 1.379  0.149 1.379  0.054 1.379  0.032 1.302  -0.024 1.230  -0.066 1.160  -0.066 1.064  -0.066 0.969  -0.066 0.873  -0.042 0.801  -0.024 0.718  0.002 0.629  0.002 0.533  0.002 0.437  0.036 0.356  0.036 0.260  0.018 0.172  -0.066 0.151  -0.099 0.088  -0.194 0.088  -0.264 0.151  -0.216 0.190  -0.168 0.143  -0.168 0.047  -0.118 -0.010  -0.100 -0.102  -0.100 -0.197  -0.070 -0.281  -0.066 -0.374  -0.066 -0.470  -0.066 -0.565  -0.066 -0.661  -0.066 -0.756  -0.100 -0.844  -0.100 -0.939  -0.100 -1.035  -0.100 -1.131  -0.100 -1.226  -0.100 -1.322  -0.100 -1.417  -0.094 -1.507  -0.006 -1.537  0.021 -1.609  0.116 -1.609  0.212 -1.609  0.308 -1.609
2#tos#t3#t3026064/|  0.211 1.474  0.140 1.474  0.069 1.474  -0.002 1.474  -0.063 1.464  -0.063 1.393  -0.063 1.322  -0.063 1.251  -0.063 1.179  -0.063 1.108  -0.063 1.037  -0.063 0.966  -0.063 0.895  -0.063 0.824  -0.063 0.753  -0.063 0.682  -0.063 0.611  -0.063 0.540  -0.063 0.469  -0.063 0.398  -0.051 0.328  -0.034 0.259  -0.017 0.190  -0.008 0.120  -0.008 0.049  -0.008 -0.022  -0.008 -0.093  -0.008 -0.164  -0.008 -0.235  -0.008 -0.306  -0.008 -0.377  -0.008 -0.448  -0.008 -0.519  -0.008 -0.590  -0.008 -0.662  -0.005 -0.732  0.012 -0.801  0.029 -0.870  0.046 -0.939  0.047 -1.010  0.047 -1.081  0.047 -1.152  0.047 -1.223  0.047 -1.294  0.047 -1.365  0.048 -1.436  0.080 -1.500  0.101 -1.566  0.101 -1.637  0.101 -1.708
2#tos#t3#t3026064/0  0.211 1.282  0.070 1.282  -0.070 1.282  -0.178 1.228  -0.221 1.104  -0.331 1.018  -0.409 0.906  -0.450 0.771  -0.491 0.637  -0.554 0.512  -0.617 0.386  -0.621 0.246  -0.639 0.107  -0.675 -0.029  -0.727 -0.159  -0.730 -0.300  -0.730 -0.440  -0.730 -0.581  -0.718 -0.720  -0.694 -0.858  -0.661 -0.991  -0.549 -1.022  -0.461 -1.100  -0.351 -1.177  -0.233 -1.215  -0.093 -1.215  0.048 -1.215  0.189 -1.215  0.249 -1.117  0.376 -1.070  0.392 -0.945  0.470 -0.858  0.583 -0.788  0.635 -0.658  0.645 -0.519  0.645 -0.379  0.685 -0.250  0.718 -0.119  0.718 0.022  0.718 0.162  0.701 0.301  0.682 0.439  0.682 0.580  0.569 0.651  0.504 0.767  0.488 0.903  0.397 1.003  0.284 1.073  0.207 1.138  0.066 1.138
2#tos#t3#t3026064/4  -1.168 0.451  -1.233 0.338  -1.168 0.201  -1.135 0.031  -1.135 -0.147  -1.102 -0.311  -1.058 -0.476  -0.889 -0.497  -0.712 -0.497  -0.548 -0.464  -0.371 -0.460  -0.198 -0.432  -0.028 -0.379  0.146 -0.354  0.322 -0.334  0.491 -0.285  0.659 -0.228  0.833 -0.203  1.011 -0.203  1.054 -0.126  0.954 -0.001  0.895 0.167  0.837 0.335  0.779 0.503  0.721 0.671  0.662 0.839  0.604 1.006  0.546 1.174  0.488 1.342  0.420 1.497  0.336 1.403  0.270 1.266  0.270 1.088  0.213 0.930  0.172 0.765  0.147 0.590  0.140 0.413  0.087 0.254  0.009 0.103  -0.029 -0.063  -0.122 -0.213  -0.129 -0.390  -0.151 -0.566  -0.187 -0.740  -0.187 -0.917  -0.211 -1.091  -0.285 -1.252  -0.285 -1.430  -0.318 -1.602  -0.416 -1.707
2#tos#t3#t3026064/7  -0.273 0.994  -0.334 0.917  -0.395 0.832  -0.478 0.768  -0.519 0.688  -0.603 0.612  -0.670 0.534  -0.701 0.456  -0.701 0.570  -0.615 0.598  -0.540 0.654  -0.487 0.739  -0.392 0.781  -0.291 0.811  -0.178 0.811  -0.120 0.867  -0.012 0.872  0.101 0.872  0.215 0.872  0.307 0.851  0.411 0.842  0.463 0.781  0.551 0.755  0.612 0.703  0.612 0.590  0.612 0.476  0.593 0.366  0.551 0.261  0.479 0.187  0.450 0.077  0.419 -0.032  0.399 -0.142  0.399 -0.256  0.349 -0.357  0.282 -0.449  0.215 -0.539  0.215 -0.652  0.179 -0.757  0.128 -0.859  0.078 -0.960  0.029 -1.062  -0.007 -1.170  -0.056 -1.270  -0.120 -1.362  -0.127 -1.475  -0.158 -1.584  -0.196 -1.690  -0.212 -1.801  -0.221 -1.906  -0.243 -1.814
2#tos#t3#t3026064/9  0.282 0.128  0.243 -0.029  0.386 0.057  0.485 0.174  0.531 0.324  0.558 0.486  0.636 0.620  0.636 0.787  0.576 0.907  0.479 1.040  0.423 1.151  0.260 1.171  0.096 1.190  -0.070 1.190  -0.234 1.185  -0.347 1.111  -0.472 1.065  -0.583 0.945  -0.675 0.845  -0.744 0.715  -0.819 0.580  -0.819 0.413  -0.763 0.270  -0.662 0.145  -0.536 0.098  -0.469 -0.029  -0.302 -0.029  -0.136 -0.029  0.031 -0.029  0.197 -0.029  0.315 0.050  0.465 0.121  0.569 0.219  0.575 0.124  0.444 0.032  0.388 -0.105  0.316 -0.254  0.257 -0.407  0.165 -0.539  0.125 -0.689  0.054 -0.839  -0.020 -0.988  -0.066 -1.147  -0.158 -1.284  -0.226 -1.434  -0.229 -1.600  -0.268 -1.757  -0.268 -1.924  -0.319 -2.046  -0.308 -1.956
2#tos#t3#t3026064/A  -1.081 -0.897  -1.175 -1.005  -1.175 -0.900  -1.087 -0.728  -1.029 -0.535  -0.949 -0.350  -0.881 -0.160  -0.798 0.022  -0.682 0.187  -0.589 0.363  -0.489 0.537  -0.401 0.715  -0.261 0.855  -0.153 1.026  -0.052 1.195  0.115 1.303  0.234 1.449  0.428 1.480  0.528 1.357  0.577 1.182  0.640 0.999  0.694 0.810  0.734 0.614  0.796 0.431  0.796 0.229  0.921 0.089  0.921 -0.113  0.921 -0.314  0.921 -0.516  0.921 -0.718  0.873 -0.890  0.846 -1.080  0.666 -1.116  0.482 -1.064  0.326 -0.936  0.170 -0.808  0.014 -0.680  -0.142 -0.552  -0.298 -0.423  -0.454 -0.295  -0.610 -0.167  -0.787 -0.148  -0.740 -0.178  -0.543 -0.146  -0.344 -0.119  -0.153 -0.056  0.047 -0.025  0.246 -0.006  0.445 0.010  0.609 0.073
2#tos#t3#t3026064/B  -0.421 1.447  -0.413 1.497  -0.379 1.248  -0.379 0.989  -0.379 0.730  -0.379 0.471  -0.379 0.212  -0.421 -0.042  -0.434 -0.299  -0.490 -0.552  -0.523 -0.807  -0.547 -1.063  -0.574 -1.311  -0.631 -1.358  -0.597 -1.101  -0.559 -0.845  -0.520 -0.589  -0.481 -0.333  -0.443 -0.077  -0.404 0.179  -0.366 0.436  -0.327 0.692  -0.253 0.922  -0.033 1.027  0.202 1.106  0.459 1.111  0.718 1.111  0.759 0.946  0.662 0.733  0.423 0.673  0.211 0.524  0.023 0.377  -0.127 0.240  0.007 0.396  0.266 0.396  0.525 0.396  0.774 0.354  0.938 0.249  1.052 0.038  1.091 -0.196  1.049 -0.446  0.896 -0.632  0.707 -0.804  0.516 -0.977  0.278 -1.054  0.159 -1.242  -0.075 -1.326  -0.334 -1.326  -0.463 -1.172  -0.379 -0.948
2#tos#t3#t3026064/C  0.709 -0.009  0.669 0.058  0.669 0.165  0.682 0.270  0.709 0.372  0.709 0.479  0.709 0.586  0.709 0.693  0.709 0.800  0.709 0.907  0.701 1.012  0.669 1.112  0.567 1.117  0.460 1.117  0.353 1.117  0.247 1.105  0.142 1.084  0.067 1.018  0.003 0.933  -0.076 0.861  -0.165 0.802  -0.254 0.743  -0.296 0.658  -0.296 0.551  -0.331 0.454  -0.386 0.362  -0.443 0.272  -0.501 0.182  -0.538 0.082  -0.576 -0.019  -0.613 -0.119  -0.617 -0.225  -0.617 -0.332  -0.617 -0.439  -0.617 -0.546  -0.617 -0.653  -0.617 -0.760  -0.617 -0.867  -0.565 -0.954  -0.495 -1.036  -0.425 -1.117  -0.362 -1.202  -0.302 -1.289  -0.214 -1.335  -0.107 -1.335  -0.000 -1.335  0.107 -1.335  0.214 -1.335  0.321 -1.335  0.428 -1.335
2#tos#t3#t3026064/D  -0.490 1.317  -0.458 1.191  -0.419 0.998  -0.389 0.804  -0.389 0.606  -0.389 0.409  -0.389 0.211  -0.389 0.014  -0.389 -0.183  -0.403 -0.379  -0.423 -0.574  -0.423 -0.772  -0.456 -0.964  -0.487 -1.038  -0.466 -0.841  -0.445 -0.645  -0.423 -0.449  -0.402 -0.253  -0.380 -0.056  -0.359 0.140  -0.338 0.336  -0.316 0.532  -0.295 0.729  -0.332 0.882  -0.267 1.009  -0.095 1.103  0.100 1.117  0.297 1.117  0.495 1.117  0.679 1.074  0.844 0.988  0.987 0.859  1.020 0.672  1.083 0.486  1.083 0.289  1.083 0.091  1.024 -0.081  0.949 -0.256  0.845 -0.414  0.707 -0.544  0.572 -0.675  0.432 -0.806  0.266 -0.907  0.146 -1.025  0.020 -1.124  -0.162 -1.202  -0.340 -1.260  -0.538 -1.260  -0.724 -1.223  -0.858 -1.159
2#tos#t3#t3026064/F  -0.555 0.897  -0.554 0.767  -0.384 0.801  -0.210 0.832  -0.038 0.863  0.124 0.933  0.300 0.955  0.478 0.962  0.627 1.054  0.792 1.111  0.968 1.126  0.958 1.158  0.784 1.124  0.613 1.079  0.441 1.034  0.269 0.987  0.098 0.960  0.066 0.815  0.000 0.664  -0.016 0.497  -0.065 0.349  -0.130 0.191  -0.130 0.014  -0.177 -0.156  -0.224 -0.327  -0.266 -0.500  -0.314 -0.669  -0.383 -0.830  -0.393 -1.006  -0.439 -1.175  -0.522 -1.318  -0.585 -1.481  -0.631 -1.651  -0.624 -1.608  -0.577 -1.437  -0.530 -1.266  -0.483 -1.094  -0.437 -0.923  -0.390 -0.751  -0.343 -0.580  -0.296 -0.409  -0.261 -0.321  -0.139 -0.376  0.031 -0.344  0.188 -0.267  0.356 -0.214  0.533 -0.213  0.675 -0.126  0.848 -0.115  0.947 -0.017
2#tos#t3#t3026064/G  0.520 0.968  0.520 1.208  0.435 1.404  0.198 1.418  -0.023 1.355  -0.228 1.231  -0.427 1.120  -0.495 0.890  -0.643 0.705  -0.791 0.519  -0.911 0.311  -0.989 0.086  -1.039 -0.149  -1.055 -0.386  -1.055 -0.627  -0.988 -0.845  -0.837 -1.014  -0.598 -1.019  -0.358 -1.019  -0.172 -0.919  0.013 -0.804  0.132 -0.595  0.338 -0.488  0.304 -0.321  0.130 -0.155  -0.045 0.010  -0.219 0.176  -0.392 0.244  -0.595 0.153  -0.404 0.223  -0.169 0.256  0.034 0.293  0.260 0.351  0.459 0.484  0.695 0.518  0.932 0.546  1.106 0.597  0.877 0.668  0.712 0.593  0.666 0.396  0.576 0.200  0.520 -0.032  0.490 -0.269  0.459 -0.503  0.407 -0.731  0.397 -0.969  0.332 -1.197  0.332 -1.438  0.332 -1.678  0.257 -1.768
2#tos#t3#t3026064/I  -0.977 0.837  -0.991 0.747  -0.857 0.747  -0.726 0.762  -0.599 0.804  -0.502 0.866  -0.368 0.866  -0.238 0.895  -0.126 0.968  -0.007 1.015  0.121 1.050  0.238 1.112  0.350 1.183  0.312 1.207  0.181 1.181  0.063 1.149  0.063 1.016  -0.026 0.971  -0.026 0.837  -0.026 0.703  -0.026 0.569  -0.026 0.435  -0.026 0.302  -0.035 0.169  -0.056 0.037  -0.056 -0.097  -0.129 -0.192  -0.145 -0.317  -0.145 -0.451  -0.145 -0.584  -0.150 -0.717  -0.175 -0.845  -0.268 -0.885  -0.402 -0.885  -0.499 -0.945  -0.489 -1.064  -0.355 -1.064  -0.221 -1.064  -0.087 -1.064  0.047 -1.064  0.172 -1.020  0.298 -0.975  0.427 -0.945  0.561 -0.945  0.695 -0.945  0.825 -0.933  0.940 -0.864  1.072 -0.856  1.205 -0.856  1.339 -0.856
