1c#app#app06#app0684/j  0.448 0.708  0.448 0.729  0.448 0.601  0.448 0.473  0.448 0.345  0.448 0.217  0.448 0.090  0.448 -0.038  0.448 -0.166  0.448 -0.294  0.448 -0.422  0.448 -0.550  0.418 -0.665  0.374 -0.774  0.374 -0.902  0.374 -1.030  0.320 -1.136  0.225 -1.180  0.147 -1.231  0.019 -1.231  -0.108 -1.231  -0.232 -1.221  -0.333 -1.156  -0.447 -1.142  -0.514 -1.082  -0.554 -0.974  -0.596 -0.864  -0.583 -0.738  -0.549 -0.614  -0.514 -0.491  -0.480 -0.368  -0.446 -0.245  -0.412 -0.122  -0.378 0.001  -0.343 0.125  -0.309 0.248  -0.275 0.371  -0.241 0.494  -0.206 0.617  -0.172 0.741  -0.138 0.864  -0.104 0.987  -0.070 1.110  -0.035 1.233  -0.001 1.356  0.033 1.480  0.067 1.603  0.101 1.726  0.136 1.849  0.075 1.901
1c#app#app06#app0684/e  -0.169 -0.428  -0.013 -0.428  0.102 -0.329  0.176 -0.204  0.211 -0.083  0.349 -0.064  0.350 0.091  0.460 0.201  0.521 0.332  0.575 0.435  0.730 0.435  0.866 0.455  0.866 0.611  0.866 0.767  0.866 0.923  0.866 1.079  0.756 1.124  0.600 1.124  0.444 1.124  0.288 1.124  0.132 1.124  0.004 1.097  -0.007 0.952  -0.163 0.952  -0.236 0.817  -0.306 0.678  -0.418 0.607  -0.556 0.564  -0.667 0.454  -0.777 0.344  -0.859 0.222  -0.859 0.066  -0.859 -0.090  -0.859 -0.246  -0.859 -0.402  -0.859 -0.558  -0.859 -0.714  -0.859 -0.870  -0.801 -1.002  -0.691 -1.112  -0.537 -1.117  -0.381 -1.117  -0.226 -1.117  -0.070 -1.117  0.086 -1.117  0.242 -1.117  0.398 -1.117  0.554 -1.117  0.710 -1.117  0.866 -1.117
1c#app#app06#app0684/n  -0.635 -0.048  -0.635 -0.196  -0.635 -0.345  -0.635 -0.494  -0.635 -0.643  -0.716 -0.758  -0.793 -0.875  -0.824 -0.992  -0.950 -1.015  -0.950 -1.135  -0.944 -0.992  -0.796 -0.992  -0.793 -0.846  -0.793 -0.698  -0.793 -0.549  -0.708 -0.435  -0.635 -0.316  -0.609 -0.179  -0.504 -0.073  -0.478 0.065  -0.405 0.183  -0.307 0.294  -0.241 0.427  -0.174 0.560  -0.075 0.670  -0.006 0.790  0.036 0.897  0.152 0.930  0.176 1.054  0.309 1.070  0.316 1.212  0.465 1.212  0.614 1.212  0.624 1.074  0.754 1.054  0.782 0.933  0.782 0.785  0.782 0.636  0.782 0.487  0.782 0.338  0.782 0.189  0.782 0.041  0.782 -0.108  0.782 -0.257  0.782 -0.406  0.782 -0.554  0.782 -0.703  0.799 -0.835  0.948 -0.835  1.096 -0.835
1c#app#app06#app0684/b  0.529 2.231  0.529 2.046  0.427 1.902  0.415 1.722  0.375 1.542  0.316 1.366  0.239 1.198  0.139 1.044  0.073 0.886  0.050 0.706  -0.033 0.540  -0.041 0.356  -0.041 0.170  -0.041 -0.016  -0.041 -0.201  -0.041 -0.387  -0.041 -0.572  -0.041 -0.758  -0.041 -0.944  0.045 -0.905  -0.046 -0.743  -0.136 -0.581  -0.226 -0.418  -0.316 -0.256  -0.406 -0.094  -0.496 0.068  -0.445 0.233  -0.382 0.393  -0.230 0.448  -0.075 0.523  0.111 0.523  0.187 0.414  0.348 0.362  0.480 0.231  0.529 0.066  0.529 -0.120  0.529 -0.306  0.529 -0.491  0.467 -0.615  0.320 -0.710  0.269 -0.874  0.118 -0.957  -0.026 -1.056  -0.201 -1.094  -0.367 -1.177  -0.551 -1.184  -0.736 -1.184  -0.922 -1.184  -0.909 -1.071  -0.724 -1.071
1c#app#app06#app0684/y  -0.019 1.420  -0.019 1.311  -0.019 1.202  -0.019 1.093  0.011 0.996  0.099 0.947  0.208 0.947  0.312 0.961  0.394 1.026  0.455 1.074  0.533 1.105  0.611 1.182  0.613 1.077  0.613 0.968  0.613 0.859  0.613 0.750  0.613 0.641  0.613 0.532  0.613 0.423  0.576 0.322  0.534 0.223  0.534 0.114  0.534 0.005  0.460 -0.074  0.409 -0.170  0.376 -0.271  0.347 -0.373  0.298 -0.471  0.222 -0.549  0.145 -0.626  0.094 -0.722  0.036 -0.813  -0.041 -0.890  -0.126 -0.947  -0.235 -0.947  -0.264 -1.031  -0.362 -1.080  -0.465 -1.105  -0.574 -1.105  -0.674 -1.082  -0.760 -1.026  -0.808 -0.966  -0.872 -0.883  -0.897 -0.790  -0.966 -0.750  -0.966 -0.641  -0.945 -0.553  -0.887 -0.502  -0.829 -0.416  -0.729 -0.395
1c#app#app06#app0684/q  -0.090 1.129  -0.008 1.224  -0.113 1.129  -0.303 1.105  -0.444 0.963  -0.561 0.811  -0.661 0.653  -0.802 0.512  -0.843 0.329  -0.937 0.223  -0.937 0.023  -0.854 -0.094  -0.682 -0.027  -0.533 0.094  -0.372 0.189  -0.230 0.330  -0.090 0.472  -0.014 0.640  0.098 0.794  0.098 0.994  0.098 0.877  0.004 0.716  -0.090 0.555  -0.090 0.355  -0.147 0.169  -0.184 -0.023  -0.184 -0.222  -0.205 -0.418  -0.278 -0.600  -0.278 -0.800  -0.372 -0.961  -0.372 -1.161  -0.372 -1.361  -0.372 -1.561  -0.326 -1.459  -0.157 -1.385  -0.015 -1.243  0.081 -1.069  0.213 -0.921  0.329 -0.762  0.457 -0.621  0.622 -0.512  0.763 -0.371  0.904 -0.229  1.046 -0.088  1.168 0.068  1.274 0.234  1.440 0.341  1.624 0.396  1.698 0.565
1c#app#app06#app0684/u  0.109 1.449  -0.019 1.321  -0.108 1.167  -0.189 1.006  -0.312 0.876  -0.440 0.748  -0.567 0.621  -0.651 0.476  -0.651 0.296  -0.734 0.150  -0.862 0.023  -0.954 -0.119  -1.009 -0.276  -1.106 -0.416  -1.106 -0.596  -1.106 -0.776  -1.106 -0.956  -1.102 -1.132  -0.932 -1.110  -0.804 -0.983  -0.677 -0.855  -0.550 -0.728  -0.422 -0.601  -0.295 -0.473  -0.168 -0.346  -0.041 -0.219  0.087 -0.091  0.214 0.036  0.341 0.163  0.412 0.314  0.489 0.462  0.564 0.611  0.666 0.689  0.716 0.819  0.716 0.987  0.716 0.807  0.653 0.689  0.564 0.599  0.564 0.419  0.564 0.239  0.564 0.058  0.564 -0.122  0.564 -0.302  0.672 -0.373  0.716 -0.510  0.832 -0.642  0.998 -0.677  1.131 -0.789  1.171 -0.952  1.323 -0.981
1c#app#app06#app0684/i  -0.206 0.093  -0.297 0.074  -0.324 -0.025  -0.388 -0.108  -0.415 -0.207  -0.479 -0.290  -0.479 -0.400  -0.479 -0.510  -0.479 -0.620  -0.479 -0.730  -0.479 -0.839  -0.479 -0.949  -0.479 -1.059  -0.479 -1.169  -0.388 -1.188  -0.361 -1.271  -0.251 -1.271  -0.141 -1.271  -0.032 -1.271  -0.009 -1.170  0.008 -1.061  0.024 -0.952  0.040 -0.844  0.057 -0.735  0.073 -0.626  0.090 -0.518  0.106 -0.409  0.123 -0.300  0.139 -0.192  0.156 -0.083  0.172 0.026  0.189 0.134  0.205 0.243  0.222 0.352  0.238 0.460  0.254 0.569  0.271 0.677  0.287 0.786  0.304 0.895  0.320 1.003  0.337 1.112  0.353 1.221  0.370 1.329  0.386 1.438  0.403 1.547  0.419 1.655  0.430 1.696  0.377 1.639  0.339 1.567  0.430 1.548
1c#app#app06#app0684/e  -0.303 -0.023  -0.180 -0.000  -0.134 0.100  -0.008 0.149  0.095 0.252  0.201 0.352  0.332 0.417  0.457 0.490  0.560 0.594  0.664 0.697  0.683 0.835  0.665 0.963  0.531 0.992  0.424 1.086  0.277 1.086  0.131 1.086  -0.015 1.086  -0.161 1.086  -0.270 0.996  -0.402 0.963  -0.512 0.876  -0.616 0.773  -0.673 0.651  -0.735 0.530  -0.838 0.427  -0.919 0.314  -0.919 0.168  -0.919 0.022  -0.919 -0.124  -0.919 -0.270  -0.903 -0.409  -0.799 -0.513  -0.696 -0.616  -0.673 -0.752  -0.538 -0.768  -0.407 -0.834  -0.274 -0.886  -0.133 -0.909  -0.002 -0.974  0.136 -1.009  0.282 -1.009  0.428 -1.009  0.570 -0.999  0.673 -0.896  0.815 -0.886  0.961 -0.886  1.107 -0.886  1.176 -0.808  1.276 -0.763  1.422 -0.763
1c#app#app06#app0684/t  0.629 1.878  0.629 1.706  0.533 1.573  0.467 1.429  0.345 1.307  0.223 1.185  0.150 1.043  0.128 0.876  0.051 0.722  -0.026 0.568  -0.085 0.407  -0.143 0.245  -0.233 0.110  -0.233 -0.062  -0.233 -0.234  -0.233 -0.406  -0.233 -0.578  -0.170 -0.736  -0.067 -0.871  -0.041 -1.033  0.041 -1.171  0.150 -1.298  0.244 -1.376  0.321 -1.472  0.493 -1.472  0.605 -1.444  0.490 -1.316  0.376 -1.187  0.261 -1.058  0.147 -0.930  0.033 -0.801  -0.082 -0.672  -0.196 -0.543  -0.311 -0.415  -0.425 -0.286  -0.539 -0.157  -0.654 -0.029  -0.768 0.100  -0.883 0.229  -0.760 0.251  -0.684 0.347  -0.542 0.420  -0.379 0.443  -0.242 0.528  -0.091 0.609  0.069 0.649  0.208 0.730  0.380 0.730  0.552 0.730  0.725 0.730
1c#app#app06#app0684/z  -0.007 1.218  0.041 1.287  0.089 1.355  0.206 1.355  0.323 1.355  0.371 1.287  0.471 1.270  0.471 1.153  0.439 1.049  0.403 0.948  0.322 0.864  0.240 0.782  0.157 0.699  0.060 0.637  -0.037 0.574  -0.119 0.491  -0.222 0.457  -0.247 0.398  -0.131 0.398  -0.014 0.398  0.103 0.398  0.220 0.398  0.335 0.396  0.385 0.329  0.417 0.234  0.469 0.129  0.471 0.013  0.471 -0.104  0.471 -0.220  0.435 -0.322  0.403 -0.426  0.403 -0.543  0.335 -0.591  0.290 -0.694  0.225 -0.792  0.131 -0.833  0.048 -0.915  -0.035 -0.997  -0.128 -1.064  -0.235 -1.106  -0.331 -1.157  -0.441 -1.175  -0.557 -1.175  -0.674 -1.175  -0.791 -1.175  -0.908 -1.175  -1.024 -1.175  -1.101 -1.135  -1.101 -1.018  -1.101 -0.901
1c#app#app06#app0684/e  -0.389 -0.355  -0.232 -0.355  -0.125 -0.306  -0.051 -0.223  0.106 -0.223  0.227 -0.136  0.365 -0.091  0.404 0.026  0.504 0.142  0.648 0.174  0.671 0.309  0.782 0.419  0.801 0.568  0.801 0.725  0.801 0.882  0.750 1.018  0.640 1.129  0.526 1.232  0.369 1.232  0.212 1.232  0.055 1.232  -0.102 1.232  -0.219 1.137  -0.257 0.996  -0.347 0.877  -0.458 0.766  -0.569 0.655  -0.680 0.544  -0.789 0.432  -0.859 0.292  -0.918 0.149  -0.918 -0.008  -0.918 -0.165  -0.918 -0.321  -0.863 -0.465  -0.793 -0.605  -0.777 -0.752  -0.630 -0.775  -0.519 -0.885  -0.378 -0.956  -0.236 -1.016  -0.092 -1.048  0.023 -1.149  0.180 -1.149  0.336 -1.149  0.493 -1.149  0.617 -1.068  0.752 -1.016  0.909 -1.016  1.066 -1.016
1c#app#app06#app0684/a  0.219 0.948  0.033 0.948  -0.152 0.948  -0.285 0.821  -0.416 0.690  -0.535 0.554  -0.545 0.373  -0.676 0.242  -0.842 0.194  -0.994 0.113  -1.125 -0.018  -1.256 -0.150  -1.289 -0.321  -1.289 -0.507  -1.289 -0.692  -1.289 -0.878  -1.163 -0.937  -0.977 -0.937  -0.792 -0.937  -0.641 -0.854  -0.510 -0.723  -0.378 -0.592  -0.206 -0.560  -0.061 -0.463  0.030 -0.315  0.068 -0.145  0.199 -0.014  0.330 0.117  0.461 0.248  0.592 0.379  0.596 0.563  0.596 0.749  0.719 0.883  0.784 1.042  0.784 1.046  0.697 0.948  0.596 0.864  0.596 0.679  0.596 0.493  0.596 0.308  0.596 0.122  0.596 -0.063  0.596 -0.249  0.596 -0.434  0.656 -0.560  0.784 -0.616  0.838 -0.748  1.018 -0.771  1.184 -0.854  1.350 -0.937
1c#app#app06#app0684/l  -1.300 -1.283  -1.185 -1.198  -1.062 -1.130  -0.931 -1.084  -0.824 -0.977  -0.718 -0.871  -0.586 -0.799  -0.469 -0.707  -0.339 -0.633  -0.204 -0.565  -0.090 -0.477  -0.020 -0.346  0.115 -0.278  0.209 -0.166  0.293 -0.040  0.415 0.042  0.484 0.150  0.522 0.284  0.607 0.407  0.686 0.533  0.773 0.654  0.823 0.793  0.823 0.943  0.823 1.094  0.823 1.245  0.791 1.382  0.663 1.435  0.569 1.378  0.457 1.324  0.351 1.217  0.244 1.111  0.140 1.002  0.073 0.868  0.005 0.733  -0.071 0.603  -0.154 0.478  -0.230 0.348  -0.297 0.213  -0.365 0.078  -0.366 -0.072  -0.366 -0.223  -0.366 -0.373  -0.366 -0.524  -0.366 -0.675  -0.269 -0.785  -0.196 -0.906  -0.095 -0.994  0.048 -1.028  0.182 -1.067  0.314 -1.113
