1c#apb#apb31#app3181/h  0.373 2.154  0.364 2.024  0.335 1.898  0.305 1.771  0.286 1.643  0.268 1.514  0.253 1.385  0.239 1.255  0.224 1.126  0.201 0.998  0.177 0.870  0.153 0.742  0.127 0.615  0.099 0.488  0.071 0.361  0.042 0.234  0.009 0.108  -0.028 -0.016  -0.066 -0.141  -0.104 -0.265  -0.147 -0.388  -0.194 -0.509  -0.240 -0.631  -0.287 -0.752  -0.348 -0.866  -0.419 -0.976  -0.489 -1.085  -0.567 -1.189  -0.657 -1.279  -0.671 -1.189  -0.619 -1.070  -0.554 -0.958  -0.489 -0.845  -0.423 -0.732  -0.358 -0.620  -0.292 -0.508  -0.212 -0.406  -0.126 -0.308  -0.040 -0.210  0.049 -0.115  0.146 -0.031  0.255 0.019  0.341 -0.077  0.399 -0.194  0.434 -0.317  0.446 -0.446  0.449 -0.576  0.447 -0.706  0.435 -0.836  0.406 -0.962
1c#apb#apb31#app3181/s  0.744 0.992  0.835 1.047  0.845 1.142  0.785 1.225  0.689 1.272  0.584 1.278  0.477 1.278  0.376 1.256  0.285 1.201  0.193 1.146  0.102 1.091  0.011 1.035  -0.080 0.979  -0.171 0.923  -0.244 0.848  -0.308 0.762  -0.372 0.677  -0.425 0.585  -0.469 0.488  -0.507 0.390  -0.481 0.286  -0.456 0.183  -0.414 0.086  -0.359 -0.006  -0.298 -0.091  -0.200 -0.133  -0.102 -0.175  -0.004 -0.217  0.084 -0.278  0.171 -0.339  0.268 -0.371  0.375 -0.371  0.414 -0.438  0.406 -0.544  0.367 -0.643  0.327 -0.742  0.262 -0.827  0.197 -0.911  0.127 -0.992  0.056 -1.071  -0.016 -1.151  -0.101 -1.215  -0.188 -1.276  -0.282 -1.321  -0.387 -1.336  -0.487 -1.303  -0.568 -1.236  -0.643 -1.159  -0.685 -1.061  -0.729 -0.964
1c#apb#apb31#app3181/o  -0.440 0.842  -0.380 0.744  -0.419 0.614  -0.454 0.482  -0.485 0.350  -0.517 0.217  -0.565 0.091  -0.632 -0.027  -0.699 -0.146  -0.761 -0.267  -0.816 -0.392  -0.870 -0.517  -0.910 -0.646  -0.931 -0.781  -0.940 -0.914  -0.904 -1.046  -0.846 -1.160  -0.729 -1.230  -0.611 -1.261  -0.489 -1.200  -0.367 -1.139  -0.262 -1.055  -0.166 -0.959  -0.069 -0.862  0.027 -0.766  0.122 -0.668  0.215 -0.569  0.309 -0.470  0.402 -0.371  0.487 -0.265  0.558 -0.149  0.629 -0.033  0.699 0.084  0.770 0.200  0.835 0.320  0.899 0.440  0.963 0.561  0.994 0.690  1.002 0.826  1.010 0.962  0.977 1.091  0.860 1.119  0.724 1.112  0.590 1.085  0.457 1.058  0.345 0.988  0.244 0.897  0.144 0.804  0.048 0.708  -0.048 0.611
1c#apb#apb31#app3181/n  -0.480 0.907  -0.347 0.887  -0.273 0.762  -0.239 0.634  -0.314 0.509  -0.398 0.391  -0.495 0.283  -0.598 0.180  -0.706 0.083  -0.792 -0.031  -0.850 -0.164  -0.908 -0.297  -0.950 -0.436  -0.992 -0.576  -1.033 -0.715  -1.055 -0.859  -1.064 -1.001  -1.000 -1.065  -0.913 -0.951  -0.839 -0.825  -0.763 -0.701  -0.683 -0.580  -0.604 -0.458  -0.525 -0.336  -0.445 -0.214  -0.366 -0.092  -0.287 0.030  -0.197 0.143  -0.088 0.239  0.020 0.336  0.129 0.433  0.239 0.528  0.349 0.623  0.462 0.713  0.594 0.774  0.729 0.825  0.874 0.825  0.994 0.763  1.077 0.647  1.133 0.513  1.165 0.372  1.181 0.228  1.197 0.083  1.208 -0.062  1.215 -0.207  1.206 -0.352  1.192 -0.496  1.142 -0.633  1.083 -0.765  1.013 -0.892
1c#apb#apb31#app3181/o  -0.249 0.741  -0.299 0.626  -0.349 0.511  -0.399 0.396  -0.449 0.280  -0.498 0.165  -0.543 0.048  -0.589 -0.069  -0.635 -0.186  -0.681 -0.303  -0.691 -0.428  -0.702 -0.553  -0.712 -0.678  -0.697 -0.801  -0.661 -0.921  -0.625 -1.041  -0.569 -1.152  -0.497 -1.255  -0.410 -1.328  -0.284 -1.328  -0.164 -1.315  -0.072 -1.230  0.020 -1.144  0.105 -1.053  0.163 -0.941  0.221 -0.830  0.279 -0.719  0.332 -0.606  0.365 -0.484  0.398 -0.363  0.431 -0.242  0.464 -0.121  0.493 0.001  0.511 0.125  0.528 0.250  0.545 0.374  0.562 0.499  0.578 0.623  0.574 0.749  0.570 0.874  0.566 1.000  0.562 1.125  0.525 1.244  0.478 1.361  0.425 1.474  0.353 1.527  0.259 1.444  0.202 1.335  0.156 1.218  0.111 1.101
1c#apb#apb31#app3181/r  -0.342 0.751  -0.389 0.636  -0.436 0.521  -0.483 0.406  -0.520 0.288  -0.555 0.169  -0.590 0.050  -0.612 -0.072  -0.624 -0.195  -0.635 -0.319  -0.640 -0.443  -0.640 -0.567  -0.640 -0.691  -0.640 -0.816  -0.640 -0.940  -0.640 -1.064  -0.640 -1.188  -0.640 -1.312  -0.619 -1.368  -0.558 -1.260  -0.498 -1.151  -0.438 -1.043  -0.382 -0.932  -0.326 -0.821  -0.271 -0.710  -0.215 -0.599  -0.160 -0.488  -0.108 -0.375  -0.056 -0.262  -0.004 -0.149  0.048 -0.037  0.100 0.076  0.162 0.183  0.233 0.285  0.303 0.387  0.374 0.489  0.444 0.592  0.518 0.692  0.592 0.792  0.665 0.891  0.741 0.989  0.840 1.065  0.938 1.141  1.055 1.180  1.158 1.153  1.207 1.052  1.194 0.928  1.180 0.805  1.122 0.695  1.064 0.586
1c#apb#apb31#app3181/k  -0.031 1.787  -0.155 1.628  -0.213 1.430  -0.272 1.232  -0.323 1.032  -0.369 0.831  -0.410 0.629  -0.449 0.426  -0.486 0.223  -0.521 0.020  -0.555 -0.184  -0.593 -0.387  -0.632 -0.589  -0.669 -0.792  -0.704 -0.996  -0.739 -1.199  -0.773 -1.403  -0.748 -1.317  -0.701 -1.116  -0.653 -0.915  -0.606 -0.714  -0.548 -0.518  -0.426 -0.352  -0.289 -0.197  -0.149 -0.045  -0.001 0.098  0.160 0.227  0.324 0.352  0.488 0.477  0.663 0.587  0.836 0.699  0.997 0.828  1.166 0.946  1.060 0.918  0.896 0.792  0.724 0.679  0.552 0.564  0.388 0.439  0.225 0.313  0.069 0.178  -0.077 0.032  -0.156 -0.144  -0.074 -0.332  0.068 -0.481  0.218 -0.623  0.373 -0.758  0.532 -0.890  0.696 -1.015  0.864 -1.136  1.023 -1.267
1c#apb#apb31#app3181/i  0.026 0.378  0.011 0.266  -0.004 0.155  -0.021 0.044  -0.040 -0.067  -0.058 -0.178  -0.078 -0.289  -0.102 -0.399  -0.127 -0.509  -0.152 -0.618  -0.177 -0.728  -0.201 -0.838  -0.226 -0.948  -0.250 -1.058  -0.283 -1.165  -0.320 -1.272  -0.357 -1.378  -0.392 -1.478  -0.363 -1.369  -0.334 -1.261  -0.305 -1.152  -0.276 -1.043  -0.247 -0.934  -0.218 -0.826  -0.189 -0.717  -0.160 -0.608  -0.130 -0.499  -0.101 -0.391  -0.072 -0.282  -0.043 -0.173  -0.014 -0.064  0.015 0.044  0.044 0.153  0.073 0.262  0.102 0.370  0.131 0.479  0.160 0.588  0.189 0.697  0.218 0.805  0.247 0.914  0.276 1.023  0.305 1.132  0.334 1.240  0.363 1.349  0.392 1.458  0.421 1.567  0.450 1.675  0.479 1.784  0.508 1.893  0.495 1.969
1c#apb#apb31#app3181/m  -0.697 0.132  -0.770 -0.013  -0.842 -0.159  -0.903 -0.309  -0.956 -0.462  -1.016 -0.613  -1.089 -0.758  -1.164 -0.902  -1.270 -1.017  -1.179 -0.891  -1.101 -0.748  -1.026 -0.604  -0.947 -0.463  -0.867 -0.322  -0.785 -0.181  -0.690 -0.050  -0.595 0.082  -0.497 0.211  -0.395 0.337  -0.286 0.457  -0.161 0.560  -0.026 0.505  0.025 0.360  0.025 0.198  0.016 0.036  -0.002 -0.125  -0.029 -0.286  -0.077 -0.440  -0.133 -0.593  -0.110 -0.571  -0.033 -0.429  0.049 -0.289  0.139 -0.153  0.229 -0.018  0.320 0.116  0.416 0.247  0.512 0.378  0.621 0.497  0.739 0.609  0.860 0.716  0.994 0.807  1.137 0.879  1.294 0.900  1.423 0.803  1.499 0.662  1.519 0.501  1.505 0.340  1.479 0.180  1.441 0.022  1.403 -0.136
1c#apb#apb31#app3181/m  -0.774 0.181  -0.870 -0.023  -0.927 -0.240  -0.973 -0.460  -1.028 -0.679  -1.063 -0.901  -1.097 -1.122  -1.156 -1.047  -1.089 -0.832  -1.003 -0.624  -0.915 -0.417  -0.824 -0.211  -0.732 -0.005  -0.635 0.198  -0.528 0.396  -0.419 0.593  -0.294 0.781  -0.158 0.956  0.032 1.078  0.217 1.026  0.295 0.823  0.251 0.602  0.188 0.387  0.113 0.174  0.042 -0.039  -0.030 -0.253  -0.114 -0.462  -0.197 -0.671  -0.268 -0.885  -0.332 -1.101  -0.231 -1.046  -0.097 -0.865  0.028 -0.678  0.153 -0.490  0.258 -0.291  0.361 -0.091  0.463 0.110  0.567 0.309  0.701 0.490  0.835 0.671  0.973 0.849  1.115 1.024  1.255 1.117  1.272 0.895  1.250 0.672  1.185 0.457  1.125 0.240  1.075 0.020  1.023 -0.199  0.971 -0.418
1c#apb#apb31#app3181/e  -1.301 -0.391  -1.181 -0.285  -1.012 -0.285  -0.843 -0.295  -0.675 -0.310  -0.507 -0.315  -0.338 -0.300  -0.170 -0.285  -0.004 -0.253  0.162 -0.221  0.305 -0.136  0.442 -0.037  0.578 0.063  0.685 0.194  0.791 0.326  0.881 0.466  0.932 0.627  0.964 0.789  0.929 0.955  0.825 1.079  0.692 1.179  0.525 1.204  0.357 1.229  0.194 1.186  0.031 1.141  -0.119 1.068  -0.262 0.978  -0.405 0.887  -0.509 0.756  -0.610 0.620  -0.695 0.475  -0.760 0.319  -0.825 0.163  -0.833 -0.002  -0.819 -0.171  -0.796 -0.335  -0.692 -0.469  -0.588 -0.602  -0.466 -0.718  -0.336 -0.826  -0.202 -0.924  -0.036 -0.959  0.129 -0.993  0.295 -1.024  0.463 -1.002  0.630 -0.980  0.798 -0.959  0.962 -0.919  1.125 -0.875  1.289 -0.831
1c#apb#apb31#app3181/r  -0.368 0.319  -0.397 0.202  -0.442 0.088  -0.450 -0.036  -0.469 -0.157  -0.510 -0.274  -0.551 -0.391  -0.593 -0.508  -0.636 -0.624  -0.674 -0.742  -0.707 -0.861  -0.739 -0.981  -0.783 -1.097  -0.831 -1.211  -0.877 -1.326  -0.797 -1.238  -0.726 -1.136  -0.666 -1.028  -0.607 -0.919  -0.548 -0.810  -0.490 -0.700  -0.433 -0.590  -0.377 -0.480  -0.320 -0.370  -0.263 -0.260  -0.206 -0.149  -0.150 -0.039  -0.093 0.071  -0.036 0.181  0.024 0.290  0.086 0.397  0.148 0.505  0.209 0.612  0.274 0.718  0.350 0.816  0.426 0.914  0.502 1.012  0.597 1.091  0.694 1.168  0.809 1.201  0.906 1.156  0.976 1.055  1.025 0.942  1.063 0.824  1.091 0.704  1.096 0.580  1.101 0.456  1.110 0.333  1.121 0.209  1.133 0.086
