2#app#app18#app1838/F  -0.374 0.566  -0.514 0.465  -0.374 0.281  -0.374 0.041  -0.374 -0.200  -0.374 -0.441  -0.374 -0.682  -0.374 -0.923  -0.374 -1.164  -0.374 -1.405  -0.292 -1.612  -0.256 -1.808  -0.374 -1.686  -0.374 -1.445  -0.374 -1.204  -0.374 -0.963  -0.451 -0.754  -0.514 -0.539  -0.514 -0.298  -0.514 -0.057  -0.514 0.184  -0.514 0.425  -0.514 0.666  -0.453 0.845  -0.212 0.845  -0.007 0.933  0.204 1.005  0.396 1.124  0.586 1.247  0.797 1.318  1.003 1.404  1.022 1.461  0.995 1.229  0.848 1.038  0.702 0.848  0.555 0.657  0.408 0.466  0.261 0.275  0.114 0.084  -0.033 -0.107  -0.180 -0.298  -0.327 -0.489  -0.235 -0.528  -0.110 -0.412  0.073 -0.272  0.184 -0.143  0.415 -0.132  0.599 0.004  0.839 0.007  1.022 0.147
2#app#app18#app1838/P  -0.463 0.313  -0.463 0.128  -0.463 -0.057  -0.463 -0.242  -0.463 -0.428  -0.463 -0.613  -0.463 -0.798  -0.463 -0.983  -0.463 -1.168  -0.463 -1.353  -0.463 -1.538  -0.336 -1.596  -0.336 -1.431  -0.357 -1.247  -0.379 -1.064  -0.401 -0.880  -0.422 -0.696  -0.444 -0.512  -0.466 -0.328  -0.487 -0.145  -0.509 0.039  -0.530 0.223  -0.552 0.407  -0.574 0.591  -0.595 0.774  -0.551 0.900  -0.366 0.900  -0.316 1.035  -0.170 1.073  -0.105 1.193  0.080 1.193  0.266 1.193  0.398 1.066  0.575 1.047  0.746 1.012  0.884 0.900  1.005 0.835  1.005 0.650  1.146 0.606  1.152 0.427  1.101 0.263  1.005 0.118  1.005 -0.067  0.880 -0.128  0.743 -0.243  0.571 -0.274  0.386 -0.274  0.200 -0.274  0.015 -0.274  -0.170 -0.274
2#app#app18#app1838/E  -0.532 1.052  -0.655 1.240  -0.720 0.994  -0.593 0.736  -0.532 0.450  -0.532 0.139  -0.532 -0.171  -0.532 -0.482  -0.532 -0.793  -0.720 -0.916  -0.698 -1.204  -0.532 -1.350  -0.555 -1.125  -0.580 -0.815  -0.606 -0.505  -0.632 -0.196  -0.658 0.114  -0.684 0.424  -0.709 0.734  -0.720 1.044  -0.417 1.052  -0.106 1.052  0.205 1.052  0.515 1.052  0.784 1.094  0.949 1.240  0.901 0.981  0.681 0.761  0.461 0.541  0.242 0.322  0.022 0.102  -0.156 -0.017  0.026 0.112  0.302 0.029  0.570 -0.076  0.880 -0.076  1.160 -0.045  1.314 0.112  1.110 -0.031  0.844 -0.191  0.577 -0.351  0.310 -0.511  0.044 -0.671  -0.223 -0.830  -0.489 -0.990  -0.272 -1.016  0.039 -1.016  0.350 -1.016  0.661 -1.016  0.972 -1.016
2#app#app18#app1838/C  0.882 0.715  0.882 0.828  0.831 0.892  0.717 0.892  0.704 0.993  0.667 1.069  0.553 1.069  0.439 1.069  0.325 1.069  0.211 1.069  0.119 1.016  0.039 0.935  -0.057 0.892  -0.171 0.892  -0.182 0.789  -0.222 0.715  -0.336 0.715  -0.450 0.715  -0.537 0.688  -0.537 0.574  -0.591 0.483  -0.672 0.402  -0.714 0.305  -0.714 0.192  -0.714 0.078  -0.714 -0.036  -0.714 -0.150  -0.714 -0.264  -0.714 -0.378  -0.714 -0.492  -0.634 -0.526  -0.537 -0.542  -0.537 -0.656  -0.489 -0.751  -0.409 -0.831  -0.328 -0.912  -0.248 -0.992  -0.161 -1.058  -0.047 -1.058  0.067 -1.058  0.181 -1.058  0.294 -1.058  0.408 -1.058  0.522 -1.058  0.604 -0.981  0.685 -0.900  0.791 -0.881  0.898 -0.865  0.978 -0.784  1.059 -0.704
2#app#app18#app1838/T  0.319 0.397  0.319 0.231  0.319 0.064  0.319 -0.102  0.278 -0.251  0.160 -0.369  0.116 -0.517  0.116 -0.684  0.116 -0.850  0.116 -1.016  0.116 -1.183  0.116 -1.349  0.206 -1.425  0.287 -1.382  0.189 -1.247  0.091 -1.112  -0.006 -0.978  -0.104 -0.843  -0.202 -0.709  -0.300 -0.574  -0.398 -0.440  -0.496 -0.305  -0.593 -0.171  -0.691 -0.036  -0.789 0.098  -0.887 0.233  -0.985 0.367  -1.083 0.502  -1.180 0.636  -1.278 0.771  -1.173 0.802  -1.006 0.802  -0.840 0.802  -0.674 0.802  -0.507 0.802  -0.341 0.802  -0.208 0.721  -0.090 0.604  0.074 0.599  0.240 0.599  0.407 0.599  0.558 0.563  0.676 0.445  0.822 0.397  0.988 0.397  1.147 0.415  1.265 0.533  1.403 0.599  1.534 0.563  1.534 0.397
2#app#app18#app1838/E  -0.801 1.027  -0.474 1.027  -0.369 1.244  -0.584 1.132  -0.584 0.805  -0.584 0.477  -0.584 0.150  -0.584 -0.177  -0.584 -0.504  -0.584 -0.832  -0.584 -1.159  -0.462 -1.365  -0.368 -1.133  -0.400 -0.807  -0.433 -0.482  -0.466 -0.156  -0.498 0.170  -0.531 0.495  -0.563 0.821  -0.463 1.027  -0.136 1.027  0.191 1.027  0.518 1.027  0.846 1.027  1.173 1.027  1.259 0.970  0.966 0.823  0.673 0.677  0.381 0.531  0.088 0.384  -0.205 0.238  -0.470 0.053  -0.417 -0.060  -0.090 -0.060  0.237 -0.060  0.564 -0.060  0.892 -0.060  1.098 -0.089  0.806 -0.235  0.513 -0.381  0.220 -0.528  -0.073 -0.674  -0.365 -0.821  -0.584 -1.013  -0.391 -1.147  -0.064 -1.147  0.264 -1.147  0.591 -1.147  0.860 -1.007  1.155 -0.930
2#app#app18#app1838/D  -0.683 0.688  -0.492 0.672  -0.492 0.464  -0.492 0.256  -0.492 0.048  -0.492 -0.160  -0.492 -0.367  -0.492 -0.575  -0.492 -0.783  -0.492 -0.991  -0.326 -1.033  -0.333 -0.853  -0.370 -0.649  -0.407 -0.444  -0.445 -0.240  -0.482 -0.035  -0.519 0.169  -0.556 0.374  -0.593 0.578  -0.631 0.783  -0.668 0.987  -0.683 1.194  -0.544 1.262  -0.492 1.106  -0.319 1.071  -0.111 1.071  0.082 1.057  0.113 0.880  0.321 0.880  0.510 0.834  0.657 0.688  0.847 0.670  0.882 0.497  1.038 0.446  1.106 0.306  1.230 0.221  1.230 0.014  1.146 -0.160  1.038 -0.323  0.967 -0.459  0.785 -0.522  0.638 -0.668  0.491 -0.815  0.294 -0.842  0.273 -1.029  0.073 -1.042  -0.074 -1.189  -0.267 -1.224  -0.300 -1.399  -0.492 -1.415
2#app#app18#app1838/A  -0.370 -1.197  -0.411 -1.386  -0.617 -1.329  -0.749 -1.153  -0.833 -1.007  -0.939 -0.883  -0.939 -0.652  -0.939 -0.422  -0.898 -0.209  -0.749 -0.041  -0.749 0.189  -0.749 0.419  -0.650 0.608  -0.560 0.801  -0.458 0.989  -0.295 1.152  -0.113 1.266  0.009 1.375  0.158 1.456  0.388 1.456  0.428 1.266  0.635 1.209  0.767 1.033  0.767 0.803  0.767 0.573  0.767 0.343  0.767 0.113  0.767 -0.117  0.767 -0.347  0.767 -0.577  0.767 -0.807  0.797 -1.007  0.898 -0.966  0.711 -0.832  0.524 -0.699  0.337 -0.565  0.150 -0.431  -0.038 -0.297  -0.225 -0.164  -0.422 -0.060  -0.652 -0.060  -0.749 0.073  -0.576 0.130  -0.353 0.112  -0.190 -0.050  0.036 -0.060  0.266 -0.060  0.496 -0.060  0.726 -0.060  0.767 0.130
2#app#app18#app1838/J  0.629 0.477  0.629 0.657  0.450 0.657  0.450 0.477  0.577 0.351  0.629 0.193  0.629 0.013  0.629 -0.166  0.629 -0.345  0.734 -0.419  0.808 -0.525  0.808 -0.704  0.808 -0.883  0.808 -1.063  0.703 -1.137  0.524 -1.137  0.344 -1.137  0.165 -1.137  -0.015 -1.137  -0.194 -1.137  -0.268 -1.031  -0.373 -0.957  -0.341 -0.957  -0.315 -0.863  -0.395 -0.702  -0.475 -0.542  -0.556 -0.381  -0.636 -0.221  -0.716 -0.061  -0.796 0.100  -0.876 0.260  -0.957 0.421  -1.037 0.581  -1.117 0.742  -1.164 0.762  -1.164 0.731  -1.090 0.836  -0.911 0.836  -0.732 0.836  -0.552 0.836  -0.373 0.836  -0.215 0.784  -0.088 0.657  0.091 0.657  0.270 0.657  0.450 0.657  0.629 0.657  0.808 0.657  0.988 0.657  1.167 0.657
2#app#app18#app1838/E  -0.363 0.650  -0.363 0.371  -0.363 0.092  -0.363 -0.187  -0.363 -0.466  -0.363 -0.745  -0.505 -0.882  -0.581 -1.085  -0.581 -1.276  -0.581 -0.997  -0.581 -0.717  -0.581 -0.438  -0.581 -0.159  -0.581 0.120  -0.581 0.399  -0.581 0.678  -0.581 0.957  -0.433 1.088  -0.363 1.297  -0.094 1.307  0.185 1.307  0.465 1.307  0.744 1.307  1.023 1.307  1.064 1.227  0.840 1.060  0.617 0.892  0.394 0.725  0.170 0.557  -0.053 0.390  -0.276 0.222  -0.499 0.055  -0.405 -0.007  -0.345 0.212  -0.066 0.212  0.214 0.212  0.434 0.072  0.681 -0.007  0.570 -0.168  0.373 -0.365  0.175 -0.563  -0.022 -0.760  -0.219 -0.957  -0.286 -1.101  -0.007 -1.101  0.272 -1.101  0.551 -1.101  0.732 -1.199  0.890 -1.320  1.169 -1.320
2#app#app18#app1838/J  0.471 0.635  0.295 0.633  0.295 0.456  0.295 0.278  0.302 0.108  0.471 0.100  0.471 -0.078  0.471 -0.255  0.471 -0.432  0.460 -0.605  0.335 -0.731  0.295 -0.891  0.172 -0.946  -0.005 -0.946  -0.182 -0.946  -0.360 -0.946  -0.537 -0.946  -0.714 -0.946  -0.759 -0.813  -0.893 -0.770  -0.798 -0.770  -0.759 -0.908  -0.789 -0.810  -0.827 -0.637  -0.866 -0.464  -0.904 -0.291  -0.943 -0.118  -0.981 0.055  -1.020 0.228  -1.058 0.401  -1.097 0.574  -0.994 0.635  -0.817 0.635  -0.640 0.635  -0.462 0.635  -0.321 0.548  -0.181 0.459  -0.003 0.459  0.174 0.459  0.351 0.459  0.528 0.459  0.706 0.459  0.883 0.459  1.042 0.503  1.167 0.629  1.342 0.635  1.519 0.635  1.524 0.807  1.524 0.636  1.349 0.635
2#app#app18#app1838/U  -1.092 0.806  -1.261 0.779  -1.261 0.584  -1.261 0.389  -1.366 0.300  -1.429 0.168  -1.429 -0.027  -1.414 -0.207  -1.231 -0.236  -1.093 -0.374  -0.898 -0.375  -0.703 -0.375  -0.508 -0.375  -0.417 -0.271  -0.287 -0.207  -0.092 -0.207  0.089 -0.192  0.129 -0.038  0.257 0.029  0.351 0.131  0.426 0.011  0.426 0.108  0.426 0.303  0.426 0.498  0.426 0.693  0.426 0.888  0.426 1.083  0.561 1.143  0.433 1.143  0.257 1.124  0.257 0.929  0.257 0.734  0.257 0.539  0.257 0.344  0.107 0.300  0.089 0.122  0.089 -0.073  0.116 -0.261  0.203 -0.436  0.257 -0.618  0.358 -0.713  0.426 -0.839  0.579 -0.881  0.606 -1.050  0.801 -1.050  0.932 -0.987  1.022 -0.881  1.217 -0.881  1.412 -0.881  1.438 -0.713
2#app#app18#app1838/N  -1.112 -0.770  -0.959 -0.770  -0.952 -0.916  -0.952 -0.793  -1.082 -0.770  -1.112 -0.648  -1.112 -0.495  -1.112 -0.342  -1.040 -0.219  -0.952 -0.104  -0.952 0.049  -0.952 0.202  -0.952 0.354  -0.952 0.507  -0.846 0.615  -0.792 0.746  -0.723 0.829  -0.570 0.829  -0.434 0.791  -0.326 0.683  -0.218 0.576  -0.152 0.450  -0.115 0.313  -0.007 0.205  0.008 0.059  0.131 0.029  0.168 -0.086  0.245 -0.207  0.353 -0.315  0.461 -0.423  0.568 -0.531  0.648 -0.650  0.648 -0.803  0.673 -0.930  0.808 -0.913  0.808 -0.760  0.808 -0.608  0.808 -0.455  0.808 -0.303  0.808 -0.150  0.808 0.003  0.808 0.155  0.892 0.273  0.968 0.394  0.968 0.547  0.968 0.699  0.968 0.852  0.983 0.989  1.128 0.982  1.128 0.829
2#app#app18#app1838/E  -0.438 0.861  -0.438 0.573  -0.438 0.285  -0.438 -0.003  -0.656 -0.073  -0.656 -0.361  -0.656 -0.649  -0.656 -0.937  -0.656 -0.979  -0.656 -0.691  -0.443 -0.621  -0.474 -0.335  -0.506 -0.048  -0.538 0.238  -0.570 0.524  -0.602 0.811  -0.634 1.097  -0.570 1.298  -0.282 1.298  0.006 1.298  0.295 1.298  0.583 1.298  0.871 1.298  1.037 1.253  0.818 1.065  0.599 0.878  0.381 0.690  0.162 0.503  -0.057 0.315  -0.276 0.128  -0.363 -0.011  -0.075 -0.011  0.213 -0.011  0.501 -0.011  0.790 -0.011  1.078 -0.011  0.855 -0.158  0.611 -0.310  0.367 -0.463  0.122 -0.616  -0.122 -0.769  -0.366 -0.921  -0.611 -1.074  -0.421 -1.102  -0.133 -1.102  0.155 -1.102  0.443 -1.102  0.732 -1.102  1.020 -1.102  1.090 -1.320
