3#app#app34#app3480/F  -0.282 1.398  -0.282 1.177  -0.282 0.955  -0.282 0.734  -0.282 0.512  -0.282 0.290  -0.282 0.069  -0.282 -0.153  -0.282 -0.374  -0.282 -0.596  -0.282 -0.817  -0.282 -1.039  -0.282 -1.260  -0.282 -1.482  -0.282 -1.703  -0.182 -1.883  -0.160 -1.715  -0.160 -1.494  -0.160 -1.272  -0.160 -1.051  -0.160 -0.829  -0.160 -0.608  -0.160 -0.386  -0.160 -0.165  -0.160 0.057  -0.160 0.279  -0.160 0.500  -0.160 0.722  -0.160 0.943  -0.152 1.161  0.022 1.276  0.122 1.398  0.343 1.398  0.565 1.398  0.786 1.398  0.735 1.230  0.636 1.031  0.537 0.833  0.438 0.635  0.339 0.437  0.240 0.239  0.140 0.041  0.041 -0.158  -0.058 -0.356  -0.157 -0.554  0.055 -0.560  0.207 -0.490  0.376 -0.437  0.575 -0.414  0.697 -0.315
3#app#app34#app3480/P  -0.575 0.135  -0.575 -0.045  -0.575 -0.224  -0.489 -0.318  -0.424 -0.433  -0.424 -0.612  -0.424 -0.792  -0.424 -0.971  -0.369 -1.128  -0.273 -1.268  -0.273 -1.448  -0.273 -1.627  -0.273 -1.546  -0.277 -1.367  -0.357 -1.206  -0.424 -1.043  -0.424 -0.863  -0.424 -0.683  -0.424 -0.504  -0.424 -0.324  -0.424 -0.145  -0.424 0.035  -0.424 0.215  -0.424 0.394  -0.424 0.574  -0.414 0.749  -0.287 0.876  -0.160 1.003  -0.122 1.167  0.033 1.191  0.213 1.191  0.330 1.253  0.421 1.342  0.601 1.342  0.737 1.238  0.897 1.191  0.934 1.049  0.934 0.869  0.934 0.689  0.934 0.510  0.934 0.330  0.839 0.190  0.783 0.034  0.653 -0.016  0.625 -0.167  0.445 -0.167  0.266 -0.167  0.086 -0.167  -0.094 -0.167  -0.273 -0.167
3#app#app34#app3480/E  0.826 1.168  0.793 1.305  0.689 1.369  0.593 1.441  0.461 1.350  0.312 1.305  0.183 1.208  0.031 1.168  -0.130 1.160  -0.159 1.003  -0.283 0.895  -0.404 0.847  -0.475 0.723  -0.626 0.647  -0.677 0.510  -0.669 0.349  -0.540 0.309  -0.468 0.212  -0.404 0.108  -0.267 0.076  -0.098 0.076  0.071 0.076  0.239 0.076  0.408 0.076  0.577 0.076  0.746 0.076  0.737 0.076  0.568 0.076  0.404 0.064  0.285 -0.055  0.126 -0.078  0.006 -0.197  -0.130 -0.230  -0.195 -0.334  -0.335 -0.402  -0.404 -0.543  -0.508 -0.607  -0.637 -0.704  -0.677 -0.856  -0.677 -1.025  -0.648 -1.182  -0.525 -1.290  -0.356 -1.290  -0.187 -1.290  -0.018 -1.290  0.151 -1.290  0.319 -1.290  0.488 -1.290  0.657 -1.290  0.826 -1.290
3#app#app34#app3480/C  1.003 1.057  1.003 1.153  0.950 1.195  0.854 1.195  0.758 1.195  0.681 1.150  0.613 1.082  0.527 1.057  0.436 1.044  0.368 0.976  0.296 0.918  0.200 0.918  0.124 0.870  0.056 0.803  -0.023 0.751  -0.109 0.708  -0.195 0.665  -0.243 0.599  -0.243 0.503  -0.311 0.435  -0.379 0.367  -0.382 0.272  -0.431 0.226  -0.520 0.219  -0.520 0.123  -0.520 0.027  -0.533 -0.064  -0.601 -0.132  -0.659 -0.204  -0.659 -0.300  -0.659 -0.396  -0.641 -0.484  -0.573 -0.552  -0.520 -0.626  -0.520 -0.722  -0.468 -0.796  -0.400 -0.864  -0.332 -0.932  -0.264 -1.000  -0.176 -1.021  -0.088 -1.038  -0.020 -1.106  0.054 -1.159  0.150 -1.159  0.246 -1.159  0.342 -1.159  0.438 -1.159  0.534 -1.159  0.630 -1.159  0.726 -1.159
3#app#app34#app3480/T  0.229 0.790  0.229 0.632  0.229 0.475  0.270 0.334  0.367 0.216  0.367 0.059  0.367 -0.099  0.367 -0.257  0.367 -0.415  0.367 -0.573  0.367 -0.731  0.380 -0.883  0.491 -0.995  0.506 -1.147  0.506 -1.304  0.506 -1.462  0.470 -1.518  0.371 -1.395  0.273 -1.272  0.174 -1.148  0.076 -1.025  -0.023 -0.902  -0.122 -0.779  -0.220 -0.655  -0.319 -0.532  -0.417 -0.409  -0.516 -0.286  -0.615 -0.163  -0.713 -0.039  -0.812 0.084  -0.910 0.207  -1.009 0.330  -1.107 0.454  -1.155 0.595  -1.055 0.652  -0.932 0.737  -0.797 0.790  -0.639 0.790  -0.481 0.790  -0.324 0.792  -0.212 0.903  -0.065 0.929  0.093 0.929  0.251 0.929  0.409 0.929  0.566 0.929  0.724 0.929  0.882 0.929  1.040 0.929  1.198 0.929
3#app#app34#app3480/E  0.685 1.479  0.548 1.479  0.410 1.479  0.305 1.401  0.198 1.327  0.066 1.313  -0.031 1.216  -0.152 1.176  -0.270 1.128  -0.367 1.031  -0.374 0.896  -0.374 0.758  -0.374 0.621  -0.286 0.571  -0.222 0.497  -0.162 0.420  -0.038 0.387  0.059 0.289  0.188 0.268  0.325 0.268  0.463 0.268  0.601 0.268  0.633 0.268  0.507 0.241  0.409 0.143  0.283 0.117  0.145 0.117  0.029 0.066  -0.068 -0.032  -0.166 -0.129  -0.263 -0.226  -0.360 -0.324  -0.457 -0.421  -0.555 -0.518  -0.652 -0.615  -0.676 -0.743  -0.676 -0.881  -0.622 -0.996  -0.525 -1.093  -0.388 -1.093  -0.374 -1.217  -0.264 -1.245  -0.126 -1.245  0.011 -1.245  0.149 -1.245  0.286 -1.245  0.424 -1.245  0.562 -1.245  0.699 -1.245  0.837 -1.245
3#app#app34#app3480/D  -0.518 1.300  -0.518 1.097  -0.518 0.893  -0.518 0.690  -0.458 0.512  -0.372 0.344  -0.372 0.141  -0.337 -0.047  -0.226 -0.205  -0.226 -0.408  -0.226 -0.611  -0.153 -0.741  -0.080 -0.872  -0.080 -1.075  -0.115 -1.085  -0.187 -0.895  -0.258 -0.704  -0.329 -0.514  -0.401 -0.324  -0.472 -0.134  -0.543 0.056  -0.615 0.247  -0.686 0.437  -0.757 0.627  -0.829 0.817  -0.900 1.008  -0.908 1.154  -0.705 1.154  -0.549 1.040  -0.360 1.002  -0.179 0.912  0.013 0.862  0.172 0.756  0.358 0.715  0.502 0.572  0.646 0.428  0.789 0.284  0.830 0.098  0.974 -0.046  1.086 -0.202  1.158 -0.376  1.232 -0.548  1.221 -0.741  1.086 -0.809  0.997 -0.975  0.854 -1.119  0.675 -1.178  0.472 -1.178  0.269 -1.178  0.065 -1.178
3#app#app34#app3480/A  -0.382 0.767  -0.382 0.534  -0.516 0.357  -0.516 0.124  -0.516 -0.109  -0.516 -0.342  -0.519 -0.573  -0.650 -0.752  -0.650 -0.985  -0.650 -1.218  -0.650 -1.295  -0.775 -1.114  -0.784 -0.885  -0.784 -0.652  -0.784 -0.419  -0.784 -0.186  -0.650 -0.008  -0.650 0.224  -0.650 0.457  -0.590 0.680  -0.516 0.901  -0.412 1.110  -0.382 1.335  -0.289 1.530  -0.073 1.570  0.119 1.470  0.284 1.305  0.354 1.101  0.518 0.937  0.554 0.718  0.658 0.529  0.688 0.308  0.799 0.121  0.821 -0.102  0.939 -0.287  1.009 -0.490  1.089 -0.690  1.174 -0.838  1.178 -0.947  0.974 -0.836  0.769 -0.724  0.565 -0.613  0.360 -0.501  0.156 -0.390  -0.048 -0.278  -0.244 -0.169  -0.011 -0.169  0.222 -0.169  0.455 -0.169  0.688 -0.169
3#app#app34#app3480/J  0.734 0.504  0.734 0.369  0.734 0.233  0.734 0.098  0.734 -0.038  0.734 -0.173  0.734 -0.308  0.734 -0.444  0.734 -0.579  0.734 -0.715  0.632 -0.749  0.613 -0.869  0.518 -0.965  0.387 -0.976  0.252 -0.976  0.116 -0.976  -0.019 -0.976  -0.154 -0.976  -0.290 -0.976  -0.419 -0.962  -0.515 -0.867  -0.644 -0.851  -0.740 -0.756  -0.861 -0.737  -0.894 -0.635  -0.975 -0.580  -0.952 -0.448  -0.912 -0.319  -0.873 -0.189  -0.833 -0.060  -0.793 0.070  -0.753 0.199  -0.713 0.329  -0.673 0.458  -0.634 0.587  -0.594 0.717  -0.554 0.846  -0.502 0.960  -0.367 0.960  -0.232 0.960  -0.096 0.960  0.039 0.960  0.175 0.960  0.310 0.960  0.445 0.960  0.581 0.960  0.716 0.960  0.850 0.963  0.946 1.058  1.075 1.073
3#app#app34#app3480/E  0.552 1.540  0.389 1.525  0.360 1.376  0.183 1.376  0.005 1.376  -0.152 1.326  -0.283 1.213  -0.450 1.190  -0.576 1.064  -0.590 0.893  -0.753 0.878  -0.753 0.701  -0.753 0.523  -0.717 0.361  -0.591 0.235  -0.427 0.221  -0.400 0.071  -0.222 0.071  -0.045 0.071  0.133 0.071  0.310 0.071  0.488 0.071  0.665 0.071  0.843 0.071  0.736 0.071  0.559 0.071  0.383 0.065  0.258 -0.060  0.094 -0.092  -0.084 -0.092  -0.214 -0.206  -0.371 -0.256  -0.513 -0.342  -0.590 -0.487  -0.673 -0.582  -0.753 -0.679  -0.753 -0.857  -0.627 -0.908  -0.450 -0.908  -0.318 -1.018  -0.162 -1.071  0.015 -1.071  0.193 -1.071  0.370 -1.071  0.548 -1.071  0.722 -1.064  0.848 -0.939  1.013 -0.908  1.190 -0.908  1.368 -0.908
3#app#app34#app3480/J  0.334 0.664  0.318 0.528  0.217 0.427  0.213 0.285  0.213 0.142  0.213 -0.001  0.213 -0.144  0.213 -0.288  0.213 -0.431  0.213 -0.574  0.213 -0.717  0.213 -0.860  0.213 -1.003  0.127 -1.111  -0.002 -1.145  -0.145 -1.145  -0.288 -1.145  -0.431 -1.145  -0.556 -1.100  -0.667 -1.025  -0.793 -0.983  -0.904 -0.904  -0.993 -0.850  -0.969 -0.711  -0.924 -0.575  -0.879 -0.440  -0.833 -0.304  -0.788 -0.168  -0.743 -0.032  -0.698 0.104  -0.652 0.239  -0.607 0.375  -0.562 0.511  -0.517 0.647  -0.386 0.664  -0.243 0.664  -0.100 0.664  0.022 0.715  0.136 0.785  0.280 0.785  0.423 0.785  0.566 0.785  0.709 0.785  0.842 0.810  0.945 0.906  1.088 0.906  1.232 0.906  1.375 0.906  1.518 0.906  1.420 0.906
3#app#app34#app3480/U  -1.009 1.131  -1.009 1.018  -1.009 0.906  -1.009 0.793  -1.009 0.681  -1.009 0.568  -1.009 0.456  -1.009 0.343  -1.009 0.231  -0.992 0.126  -0.912 0.046  -0.845 -0.038  -0.845 -0.151  -0.845 -0.263  -0.822 -0.362  -0.722 -0.412  -0.621 -0.463  -0.521 -0.513  -0.440 -0.591  -0.360 -0.670  -0.252 -0.680  -0.140 -0.680  -0.027 -0.680  -0.022 -0.787  0.033 -0.845  0.146 -0.845  0.258 -0.845  0.371 -0.845  0.480 -0.837  0.560 -0.758  0.637 -0.677  0.637 -0.565  0.700 -0.516  0.802 -0.504  0.802 -0.392  0.802 -0.279  0.802 -0.167  0.802 -0.054  0.802 0.058  0.802 0.171  0.802 0.283  0.802 0.396  0.802 0.508  0.802 0.620  0.802 0.733  0.802 0.845  0.802 0.958  0.802 1.070  0.802 1.183  0.802 1.295
3#app#app34#app3480/N  -0.681 0.622  -0.681 0.458  -0.681 0.294  -0.681 0.130  -0.681 -0.035  -0.681 -0.199  -0.681 -0.363  -0.681 -0.527  -0.779 -0.594  -0.816 -0.721  -0.816 -0.843  -0.816 -0.679  -0.872 -0.538  -0.951 -0.407  -0.951 -0.242  -0.951 -0.078  -0.951 0.086  -0.951 0.250  -0.951 0.415  -0.887 0.552  -0.816 0.687  -0.722 0.757  -0.558 0.757  -0.411 0.740  -0.365 0.622  -0.276 0.547  -0.202 0.413  -0.141 0.274  -0.065 0.141  0.074 0.082  0.130 -0.027  0.227 -0.151  0.343 -0.267  0.459 -0.383  0.592 -0.459  0.731 -0.520  0.865 -0.594  1.003 -0.657  1.137 -0.729  1.275 -0.665  1.346 -0.530  1.346 -0.365  1.346 -0.201  1.346 -0.037  1.346 0.127  1.293 0.270  1.210 0.400  1.210 0.564  1.210 0.728  1.210 0.892
3#app#app34#app3480/E  0.411 1.166  0.540 1.184  0.418 1.306  0.248 1.313  0.075 1.313  -0.077 1.265  -0.209 1.166  -0.364 1.125  -0.486 1.003  -0.608 0.881  -0.730 0.759  -0.764 0.600  -0.617 0.575  -0.597 0.411  -0.475 0.289  -0.310 0.271  -0.188 0.149  -0.020 0.138  0.153 0.138  0.326 0.138  0.498 0.138  0.445 0.138  0.273 0.138  0.100 0.138  -0.072 0.138  -0.225 0.089  -0.357 -0.009  -0.512 -0.051  -0.641 -0.156  -0.764 -0.205  -0.764 -0.378  -0.865 -0.450  -0.911 -0.576  -0.804 -0.704  -0.647 -0.744  -0.617 -0.886  -0.449 -0.891  -0.277 -0.891  -0.104 -0.891  0.068 -0.891  0.241 -0.891  0.413 -0.891  0.586 -0.891  0.759 -0.891  0.931 -0.891  1.073 -0.816  1.215 -0.744  1.388 -0.744  1.560 -0.744  1.733 -0.744
