2#app#app13#app1316/o  0.025 0.838  -0.117 0.838  -0.258 0.838  -0.304 0.742  -0.377 0.673  -0.504 0.638  -0.604 0.538  -0.633 0.408  -0.633 0.266  -0.672 0.141  -0.772 0.041  -0.797 -0.091  -0.797 -0.232  -0.840 -0.356  -0.940 -0.456  -0.962 -0.589  -0.962 -0.731  -0.896 -0.807  -0.797 -0.850  -0.783 -0.985  -0.683 -1.085  -0.562 -1.135  -0.420 -1.135  -0.281 -1.124  -0.154 -1.061  -0.028 -0.997  0.083 -0.913  0.184 -0.812  0.284 -0.712  0.384 -0.612  0.484 -0.512  0.611 -0.478  0.683 -0.407  0.716 -0.280  0.817 -0.179  0.847 -0.050  0.901 0.069  1.001 0.169  1.012 0.306  1.012 0.448  1.012 0.590  0.971 0.714  0.871 0.815  0.770 0.915  0.665 1.002  0.523 1.002  0.422 1.099  0.308 1.167  0.167 1.167  0.025 1.167
2#app#app13#app1316/P  -0.468 1.491  -0.468 1.335  -0.468 1.179  -0.468 1.024  -0.468 0.868  -0.468 0.712  -0.468 0.556  -0.468 0.400  -0.468 0.245  -0.468 0.089  -0.468 -0.067  -0.504 -0.214  -0.574 -0.354  -0.643 -0.493  -0.713 -0.632  -0.740 -0.782  -0.740 -0.938  -0.740 -1.093  -0.740 -1.249  -0.740 -1.405  -0.704 -1.457  -0.609 -1.334  -0.513 -1.211  -0.417 -1.088  -0.322 -0.965  -0.226 -0.842  -0.130 -0.719  -0.035 -0.596  0.061 -0.473  0.157 -0.350  0.252 -0.227  0.348 -0.104  0.444 0.019  0.539 0.142  0.635 0.265  0.731 0.388  0.826 0.511  0.922 0.634  1.018 0.757  1.113 0.880  1.165 0.876  1.165 0.720  1.087 0.596  0.977 0.486  0.856 0.402  0.700 0.402  0.544 0.402  0.388 0.402  0.232 0.402  0.077 0.402
2#app#app13#app1316/O  -0.063 1.203  -0.063 1.040  -0.210 1.025  -0.240 0.893  -0.358 0.848  -0.417 0.745  -0.480 0.608  -0.595 0.493  -0.595 0.331  -0.595 0.169  -0.654 0.020  -0.727 -0.125  -0.772 -0.277  -0.772 -0.440  -0.772 -0.602  -0.772 -0.764  -0.772 -0.927  -0.772 -1.089  -0.623 -1.103  -0.595 -1.237  -0.475 -1.280  -0.313 -1.280  -0.150 -1.280  -0.063 -1.205  -0.003 -1.103  0.115 -1.058  0.145 -0.925  0.292 -0.910  0.292 -0.748  0.455 -0.748  0.469 -0.600  0.469 -0.437  0.588 -0.393  0.647 -0.290  0.647 -0.127  0.647 0.035  0.647 0.198  0.678 0.347  0.793 0.462  0.824 0.611  0.824 0.774  0.736 0.848  0.647 0.922  0.588 1.025  0.469 1.069  0.440 1.203  0.282 1.193  0.167 1.078  0.052 0.963  -0.063 0.848
2#app#app13#app1316/W  -1.280 1.100  -1.130 1.100  -1.110 0.972  -1.110 0.823  -1.023 0.760  -0.939 0.695  -0.939 0.546  -0.939 0.396  -0.939 0.247  -0.939 0.098  -0.939 -0.051  -0.939 -0.200  -0.939 -0.349  -0.939 -0.499  -0.893 -0.601  -0.751 -0.583  -0.645 -0.477  -0.540 -0.372  -0.435 -0.266  -0.329 -0.161  -0.224 -0.055  -0.118 0.050  -0.089 0.187  -0.002 0.250  0.081 0.184  0.081 0.035  0.098 -0.107  0.204 -0.213  0.251 -0.342  0.251 -0.491  0.251 -0.641  0.251 -0.790  0.251 -0.939  0.398 -0.941  0.511 -0.852  0.592 -0.736  0.601 -0.591  0.707 -0.486  0.812 -0.380  0.918 -0.275  0.932 -0.132  0.932 0.018  0.994 0.141  1.099 0.247  1.102 0.395  1.226 0.420  1.318 0.512  1.385 0.645  1.442 0.781  1.442 0.930
2#app#app13#app1316/*  -0.607 0.864  -0.383 0.756  -0.167 0.639  -0.158 0.316  0.049 0.191  0.066 -0.125  0.066 -0.457  0.283 -0.699  0.290 -1.029  0.496 -1.155  0.524 -0.841  0.561 -0.511  0.598 -0.181  0.634 0.149  0.671 0.480  0.708 0.810  0.686 1.088  0.514 0.928  0.514 0.595  0.407 0.308  0.290 0.024  0.239 -0.258  0.066 -0.416  0.023 -0.706  -0.158 -0.857  -0.341 -1.113  -0.432 -1.379  -0.607 -1.536  -0.794 -1.791  -0.767 -1.555  -0.691 -1.231  -0.615 -0.908  -0.539 -0.584  -0.463 -0.261  -0.387 0.062  -0.310 0.386  -0.234 0.709  -0.158 1.033  -0.082 1.356  -0.006 1.679  0.066 1.967  0.066 1.635  0.066 1.302  0.066 0.970  0.066 0.638  0.066 0.306  0.066 -0.027  -0.158 -0.266  -0.158 -0.598  0.066 -0.706
2#app#app13#app1316/,  -0.396 1.388  -0.321 1.388  -0.245 1.388  -0.170 1.388  -0.094 1.388  -0.019 1.388  0.057 1.388  0.066 1.322  0.066 1.246  0.066 1.171  0.066 1.095  0.066 1.020  0.066 0.944  0.066 0.869  0.066 0.793  0.066 0.717  0.066 0.642  0.066 0.566  0.066 0.491  0.066 0.415  0.066 0.340  0.066 0.264  0.066 0.189  0.066 0.113  0.066 0.038  0.066 -0.038  0.066 -0.113  0.066 -0.189  0.066 -0.264  0.066 -0.340  0.066 -0.415  0.066 -0.491  0.066 -0.566  0.066 -0.642  0.066 -0.717  0.066 -0.793  0.066 -0.869  0.066 -0.944  0.066 -1.020  0.066 -1.095  0.066 -1.171  0.066 -1.246  0.066 -1.322  0.057 -1.388  -0.019 -1.388  -0.094 -1.388  -0.170 -1.388  -0.245 -1.388  -0.321 -1.388  -0.396 -1.388
2#app#app13#app1316/*  -0.651 1.086  -0.805 1.015  -0.575 0.784  -0.426 0.520  -0.426 0.194  -0.202 -0.039  0.025 -0.271  0.025 -0.597  0.171 -0.862  0.250 -1.155  0.485 -1.078  0.521 -0.755  0.557 -0.431  0.593 -0.107  0.629 0.217  0.665 0.541  0.698 0.858  0.467 0.627  0.250 0.391  0.197 0.078  0.051 -0.214  -0.005 -0.521  -0.200 -0.766  -0.351 -0.942  -0.426 -1.192  -0.552 -1.392  -0.649 -1.617  -0.407 -1.517  -0.347 -1.197  -0.287 -0.876  -0.227 -0.556  -0.167 -0.236  -0.107 0.084  -0.047 0.405  0.014 0.725  0.074 1.045  0.134 1.366  0.194 1.686  0.250 1.967  0.130 1.762  0.025 1.541  0.025 1.215  0.025 0.889  0.025 0.563  0.025 0.237  0.025 -0.089  0.025 -0.414  0.025 -0.740  0.025 -1.066  0.250 -1.167
2#app#app13#app1316/K  -0.368 1.785  -0.368 1.564  -0.368 1.344  -0.368 1.124  -0.368 0.903  -0.368 0.683  -0.368 0.462  -0.368 0.242  -0.368 0.021  -0.446 -0.166  -0.576 -0.333  -0.576 -0.554  -0.576 -0.774  -0.628 -0.973  -0.784 -1.129  -0.772 -1.337  -0.565 -1.314  -0.466 -1.117  -0.368 -0.920  -0.269 -0.723  -0.171 -0.526  -0.072 -0.329  0.026 -0.132  0.125 0.066  0.224 0.263  0.322 0.460  0.421 0.657  0.519 0.854  0.618 1.051  0.771 1.160  0.881 1.050  0.758 0.952  0.537 0.952  0.317 0.952  0.256 0.792  0.084 0.744  0.048 0.560  -0.091 0.397  -0.160 0.205  -0.160 -0.015  -0.055 -0.192  0.048 -0.370  0.109 -0.565  0.256 -0.725  0.281 -0.920  0.464 -0.957  0.514 -1.128  0.716 -1.172  0.872 -1.328  0.881 -1.545
2#app#app13#app1316/E  0.504 1.005  0.501 1.183  0.319 1.183  0.138 1.183  -0.039 1.193  -0.168 1.321  -0.332 1.361  -0.385 1.233  -0.385 1.051  -0.385 0.870  -0.385 0.689  -0.528 0.650  -0.563 0.504  -0.563 0.322  -0.563 0.141  -0.563 -0.040  -0.563 -0.222  -0.726 -0.240  -0.741 -0.406  -0.741 -0.588  -0.741 -0.769  -0.741 -0.951  -0.739 -1.130  -0.563 -1.135  -0.554 -1.307  -0.373 -1.307  -0.191 -1.307  -0.016 -1.294  0.113 -1.165  0.279 -1.130  0.421 -1.035  0.568 -0.952  0.750 -0.952  0.826 -0.890  0.738 -0.731  0.649 -0.573  0.561 -0.414  0.473 -0.255  0.385 -0.097  0.297 0.062  0.209 0.220  0.121 0.379  0.033 0.537  0.023 0.650  0.205 0.650  0.369 0.607  0.497 0.479  0.675 0.472  0.857 0.472  1.038 0.472
2#app#app13#app1316/R  -0.556 0.731  -0.556 0.519  -0.556 0.306  -0.556 0.094  -0.556 -0.118  -0.556 -0.330  -0.556 -0.543  -0.556 -0.755  -0.676 -0.847  -0.732 -1.004  -0.732 -0.829  -0.693 -0.633  -0.556 -0.477  -0.556 -0.265  -0.556 -0.052  -0.464 0.122  -0.381 0.299  -0.288 0.473  -0.206 0.651  -0.206 0.864  -0.086 1.026  -0.030 1.216  0.140 1.257  0.177 1.432  0.390 1.432  0.496 1.326  0.639 1.257  0.671 1.077  0.701 0.877  0.847 0.725  0.847 0.513  0.767 0.380  0.671 0.264  0.518 0.205  0.361 0.339  0.166 0.380  0.129 0.205  -0.030 0.152  -0.030 -0.060  -0.030 -0.273  -0.030 -0.485  -0.030 -0.697  -0.030 -0.910  0.040 -1.093  0.145 -1.262  0.245 -1.373  0.418 -1.471  0.597 -1.549  0.810 -1.549  1.022 -1.549
2#app#app13#app1316/P  -0.120 1.463  -0.350 1.463  -0.359 1.243  -0.359 1.013  -0.359 0.784  -0.359 0.554  -0.359 0.324  -0.359 0.095  -0.359 -0.135  -0.359 -0.365  -0.359 -0.594  -0.454 -0.784  -0.598 -0.955  -0.598 -1.184  -0.598 -1.414  -0.598 -1.643  -0.598 -1.873  -0.512 -1.684  -0.422 -1.473  -0.331 -1.262  -0.241 -1.051  -0.150 -0.840  -0.060 -0.629  0.031 -0.417  0.121 -0.206  0.212 0.005  0.302 0.216  0.392 0.427  0.483 0.638  0.573 0.849  0.664 1.060  0.754 1.271  0.837 1.442  0.837 1.213  0.837 0.983  0.837 0.753  0.680 0.589  0.597 0.393  0.493 0.268  0.264 0.268  0.119 0.353  0.043 0.507  -0.120 0.440  -0.120 0.211  -0.120 -0.019  -0.120 -0.249  -0.091 -0.450  0.119 -0.469  0.119 -0.679  0.119 -0.450
2#app#app13#app1316/L  0.099 1.813  0.099 1.728  0.099 1.643  0.075 1.564  0.037 1.488  -0.001 1.412  -0.039 1.336  -0.077 1.260  -0.102 1.181  -0.102 1.096  -0.102 1.010  -0.102 0.925  -0.102 0.840  -0.102 0.755  -0.102 0.670  -0.102 0.585  -0.102 0.500  -0.102 0.415  -0.102 0.330  -0.102 0.245  -0.102 0.160  -0.102 0.075  -0.108 -0.008  -0.168 -0.068  -0.228 -0.128  -0.288 -0.188  -0.304 -0.267  -0.304 -0.352  -0.304 -0.437  -0.304 -0.522  -0.304 -0.607  -0.304 -0.692  -0.304 -0.777  -0.304 -0.862  -0.304 -0.947  -0.284 -1.012  -0.199 -1.012  -0.114 -1.012  -0.029 -1.012  0.056 -1.012  0.141 -1.012  0.226 -1.012  0.311 -1.012  0.396 -1.012  0.481 -1.012  0.566 -1.012  0.651 -1.012  0.736 -1.012  0.821 -1.012  0.907 -1.012
2#app#app13#app1316/U  -0.159 1.395  -0.278 1.395  -0.377 1.375  -0.377 1.257  -0.415 1.177  -0.534 1.177  -0.595 1.119  -0.595 1.001  -0.595 0.882  -0.595 0.764  -0.595 0.645  -0.595 0.527  -0.595 0.408  -0.595 0.290  -0.595 0.171  -0.595 0.053  -0.595 -0.066  -0.595 -0.184  -0.595 -0.303  -0.595 -0.421  -0.595 -0.540  -0.595 -0.658  -0.595 -0.777  -0.595 -0.895  -0.583 -1.002  -0.464 -1.002  -0.346 -1.002  -0.227 -1.002  -0.109 -1.002  0.010 -1.002  0.108 -0.952  0.192 -0.869  0.276 -0.785  0.394 -0.784  0.494 -0.766  0.494 -0.647  0.521 -0.540  0.604 -0.456  0.688 -0.372  0.772 -0.288  0.856 -0.205  0.930 -0.117  0.930 0.002  0.930 0.120  0.930 0.239  0.967 0.342  1.051 0.426  1.134 0.510  1.148 0.623  1.148 0.741
2#app#app13#app1316/N  -0.756 1.103  -0.756 0.882  -0.756 0.662  -0.756 0.441  -0.756 0.220  -0.756 -0.001  -0.756 -0.222  -0.756 -0.443  -0.756 -0.664  -0.756 -0.885  -0.756 -1.106  -0.756 -1.327  -0.756 -1.275  -0.640 -1.102  -0.563 -0.913  -0.563 -0.693  -0.563 -0.472  -0.426 -0.307  -0.369 -0.110  -0.369 0.111  -0.282 0.311  -0.183 0.509  -0.176 0.728  -0.148 0.937  0.008 1.094  0.031 1.297  0.211 1.256  0.211 1.035  0.211 0.814  0.211 0.593  0.211 0.372  0.211 0.151  0.211 -0.070  0.211 -0.291  0.211 -0.512  0.211 -0.733  0.211 -0.953  0.361 -1.024  0.582 -1.024  0.606 -0.823  0.762 -0.667  0.792 -0.458  0.798 -0.238  0.896 -0.041  0.985 0.159  1.021 0.365  1.177 0.521  1.178 0.742  1.216 0.947  1.372 1.103
2#app#app13#app1316/K  -0.356 1.348  -0.356 1.121  -0.356 0.894  -0.356 0.667  -0.393 0.449  -0.494 0.246  -0.521 0.025  -0.521 -0.202  -0.521 -0.428  -0.654 -0.600  -0.686 -0.814  -0.686 -1.041  -0.686 -1.268  -0.649 -1.458  -0.521 -1.359  -0.446 -1.151  -0.339 -0.950  -0.233 -0.750  -0.127 -0.549  -0.021 -0.349  0.085 -0.148  0.192 0.053  0.298 0.253  0.404 0.454  0.510 0.654  0.616 0.855  0.722 1.055  0.829 1.256  0.935 1.456  0.965 1.350  0.800 1.288  0.678 1.183  0.505 1.053  0.344 0.893  0.136 0.849  -0.025 0.689  -0.185 0.528  -0.229 0.319  -0.356 0.145  -0.356 -0.082  -0.349 -0.302  -0.191 -0.371  -0.191 -0.598  -0.026 -0.660  0.064 -0.798  0.140 -0.949  0.352 -0.963  0.547 -1.040  0.738 -1.128  0.965 -1.128
2#app#app13#app1316/*  -1.075 1.276  -0.961 1.060  -0.850 0.835  -0.644 0.590  -0.535 0.304  -0.428 0.018  -0.212 -0.096  -0.021 -0.235  0.004 -0.541  0.209 -0.667  0.252 -0.785  0.357 -0.471  0.461 -0.158  0.566 0.156  0.670 0.469  0.775 0.783  0.840 1.033  0.651 0.781  0.526 0.502  0.436 0.209  0.436 -0.121  0.220 -0.236  0.139 -0.532  0.004 -0.807  -0.023 -1.126  -0.212 -1.378  -0.212 -1.709  -0.351 -1.746  -0.212 -1.554  -0.206 -1.224  -0.184 -0.895  -0.162 -0.565  -0.140 -0.235  -0.118 0.094  -0.096 0.424  -0.074 0.754  -0.052 1.083  -0.030 1.413  -0.008 1.743  0.004 1.774  0.004 1.443  0.004 1.113  0.004 0.783  0.004 0.452  0.004 0.122  0.004 -0.209  0.004 -0.539  0.004 -0.870  0.004 -1.200  0.220 -1.314
2#app#app13#app1316/.  1.167 -0.893  1.057 -0.893  0.948 -0.893  0.839 -0.893  0.729 -0.893  0.620 -0.893  0.510 -0.893  0.401 -0.893  0.292 -0.893  0.182 -0.893  0.073 -0.893  -0.036 -0.893  -0.146 -0.893  -0.255 -0.893  -0.365 -0.893  -0.474 -0.893  -0.583 -0.893  -0.620 -0.820  -0.620 -0.711  -0.620 -0.602  -0.620 -0.492  -0.620 -0.383  -0.620 -0.273  -0.620 -0.164  -0.620 -0.055  -0.620 0.055  -0.620 0.164  -0.620 0.273  -0.620 0.383  -0.620 0.492  -0.620 0.602  -0.620 0.711  -0.620 0.820  -0.583 0.893  -0.474 0.893  -0.365 0.893  -0.255 0.893  -0.146 0.893  -0.036 0.893  0.073 0.893  0.182 0.893  0.292 0.893  0.401 0.893  0.510 0.893  0.620 0.893  0.729 0.893  0.839 0.893  0.948 0.893  1.057 0.893  1.167 0.893
