3#apb#apb09#app0905/C  0.592 0.569  0.636 0.670  0.705 0.750  0.674 0.851  0.592 0.923  0.496 0.973  0.394 1.011  0.290 1.044  0.183 1.068  0.076 1.091  -0.031 1.071  -0.137 1.047  -0.238 1.008  -0.332 0.953  -0.427 0.897  -0.502 0.819  -0.574 0.737  -0.645 0.654  -0.691 0.555  -0.736 0.455  -0.782 0.356  -0.811 0.252  -0.825 0.143  -0.838 0.035  -0.837 -0.072  -0.801 -0.176  -0.766 -0.279  -0.730 -0.382  -0.679 -0.478  -0.619 -0.570  -0.560 -0.662  -0.485 -0.738  -0.393 -0.797  -0.300 -0.856  -0.208 -0.914  -0.101 -0.936  0.006 -0.957  0.113 -0.979  0.220 -0.973  0.327 -0.949  0.434 -0.926  0.541 -0.902  0.641 -0.860  0.742 -0.816  0.842 -0.773  0.937 -0.720  1.029 -0.661  1.118 -0.597  1.200 -0.525  1.262 -0.435
3#apb#apb09#app0905/i  -0.612 1.137  -0.650 1.078  -0.676 1.085  -0.662 1.100  -0.604 1.146  -0.538 1.179  -0.465 1.195  -0.391 1.210  -0.318 1.226  -0.275 1.190  -0.253 1.118  -0.232 1.046  -0.210 0.975  -0.188 0.903  -0.166 0.831  -0.144 0.760  -0.122 0.688  -0.100 0.616  -0.078 0.544  -0.057 0.473  -0.035 0.401  -0.013 0.329  0.009 0.258  0.031 0.186  0.053 0.114  0.075 0.043  0.096 -0.029  0.118 -0.101  0.140 -0.173  0.162 -0.244  0.184 -0.316  0.188 -0.390  0.188 -0.465  0.201 -0.539  0.219 -0.612  0.236 -0.685  0.253 -0.758  0.268 -0.831  0.280 -0.905  0.291 -0.979  0.302 -1.053  0.316 -1.127  0.330 -1.200  0.344 -1.274  0.358 -1.348  0.381 -1.419  0.407 -1.489  0.432 -1.560  0.454 -1.632  0.474 -1.704
3#apb#apb09#app0905/n  -1.035 0.525  -1.035 0.402  -1.031 0.279  -1.010 0.158  -0.988 0.037  -0.968 -0.084  -0.949 -0.206  -0.930 -0.327  -0.904 -0.447  -0.874 -0.567  -0.845 -0.686  -0.821 -0.807  -0.776 -0.920  -0.732 -0.888  -0.703 -0.770  -0.681 -0.649  -0.656 -0.529  -0.612 -0.414  -0.568 -0.299  -0.524 -0.184  -0.484 -0.068  -0.446 0.049  -0.407 0.165  -0.368 0.282  -0.296 0.382  -0.224 0.482  -0.152 0.581  -0.058 0.656  0.049 0.716  0.157 0.777  0.273 0.816  0.390 0.852  0.508 0.831  0.627 0.797  0.734 0.741  0.835 0.670  0.921 0.583  1.003 0.492  1.050 0.381  1.085 0.263  1.118 0.145  1.131 0.022  1.144 -0.100  1.154 -0.222  1.154 -0.345  1.154 -0.468  1.154 -0.591  1.154 -0.714  1.146 -0.837  1.136 -0.960
3#apb#apb09#app0905/i  -0.220 0.425  -0.264 0.340  -0.274 0.222  -0.279 0.103  -0.285 -0.016  -0.282 -0.134  -0.271 -0.253  -0.260 -0.371  -0.254 -0.490  -0.254 -0.609  -0.254 -0.728  -0.229 -0.843  -0.194 -0.956  -0.165 -1.072  -0.139 -1.188  -0.098 -1.299  -0.072 -1.415  -0.023 -1.523  0.049 -1.484  0.054 -1.366  0.060 -1.247  0.065 -1.128  0.071 -1.009  0.076 -0.891  0.082 -0.772  0.087 -0.653  0.092 -0.534  0.098 -0.415  0.103 -0.297  0.109 -0.178  0.114 -0.059  0.120 0.060  0.125 0.178  0.131 0.297  0.136 0.416  0.142 0.535  0.147 0.654  0.152 0.772  0.158 0.891  0.163 1.010  0.169 1.129  0.174 1.247  0.180 1.366  0.185 1.485  0.191 1.604  0.196 1.723  0.129 1.676  0.063 1.577  0.050 1.575  0.147 1.644
3#apb#apb09#app0905/s  0.059 0.880  0.041 0.996  -0.072 0.992  -0.190 0.978  -0.306 0.954  -0.422 0.929  -0.538 0.905  -0.651 0.869  -0.764 0.832  -0.871 0.781  -0.972 0.719  -0.992 0.663  -0.877 0.634  -0.761 0.612  -0.643 0.612  -0.524 0.612  -0.405 0.612  -0.287 0.603  -0.169 0.587  -0.052 0.571  0.066 0.554  0.180 0.523  0.293 0.486  0.405 0.448  0.510 0.396  0.605 0.324  0.699 0.252  0.774 0.163  0.835 0.061  0.873 -0.049  0.891 -0.167  0.894 -0.282  0.850 -0.392  0.805 -0.503  0.748 -0.605  0.675 -0.699  0.602 -0.792  0.522 -0.880  0.431 -0.956  0.341 -1.033  0.244 -1.100  0.138 -1.153  0.032 -1.206  -0.082 -1.234  -0.200 -1.250  -0.318 -1.265  -0.436 -1.274  -0.555 -1.283  -0.661 -1.240  -0.765 -1.182
3#apb#apb09#app0905/t  -1.312 0.128  -1.161 0.149  -1.009 0.149  -0.857 0.149  -0.705 0.159  -0.553 0.171  -0.401 0.183  -0.249 0.193  -0.096 0.199  0.056 0.205  0.208 0.212  0.359 0.232  0.510 0.253  0.661 0.274  0.811 0.303  0.961 0.331  1.071 0.367  0.943 0.450  0.815 0.533  0.687 0.615  0.559 0.698  0.431 0.781  0.303 0.864  0.175 0.946  0.047 1.029  -0.081 1.112  -0.209 1.195  -0.227 1.150  -0.209 0.998  -0.194 0.847  -0.194 0.694  -0.194 0.542  -0.194 0.389  -0.182 0.237  -0.170 0.085  -0.158 -0.067  -0.147 -0.219  -0.134 -0.371  -0.122 -0.523  -0.110 -0.675  -0.101 -0.827  -0.092 -0.979  -0.056 -1.126  -0.012 -1.272  0.032 -1.418  0.052 -1.569  0.071 -1.720  0.103 -1.869  0.137 -2.017  0.137 -2.170
3#apb#apb09#app0905/r  -0.541 0.102  -0.612 0.030  -0.672 -0.051  -0.730 -0.133  -0.770 -0.223  -0.783 -0.323  -0.797 -0.423  -0.805 -0.523  -0.805 -0.624  -0.805 -0.725  -0.800 -0.824  -0.751 -0.912  -0.702 -1.001  -0.676 -1.079  -0.637 -1.026  -0.625 -0.926  -0.616 -0.826  -0.607 -0.725  -0.597 -0.625  -0.588 -0.524  -0.572 -0.425  -0.534 -0.332  -0.496 -0.239  -0.458 -0.145  -0.420 -0.052  -0.382 0.042  -0.331 0.126  -0.258 0.196  -0.185 0.265  -0.111 0.334  -0.038 0.403  0.044 0.457  0.141 0.484  0.239 0.510  0.336 0.537  0.433 0.564  0.532 0.584  0.631 0.603  0.730 0.622  0.829 0.641  0.929 0.651  1.030 0.651  1.131 0.651  1.231 0.651  1.332 0.646  1.432 0.631  1.532 0.617  1.629 0.593  1.725 0.561  1.821 0.529
3#apb#apb09#app0905/a  0.505 0.667  0.518 0.827  0.459 0.984  0.325 1.066  0.170 1.128  0.008 1.098  -0.154 1.057  -0.298 0.977  -0.435 0.882  -0.573 0.787  -0.699 0.680  -0.802 0.549  -0.905 0.417  -0.999 0.280  -1.059 0.125  -1.120 -0.031  -1.181 -0.187  -1.179 -0.352  -1.166 -0.518  -1.111 -0.671  -1.026 -0.815  -0.913 -0.934  -0.776 -1.028  -0.611 -1.002  -0.446 -0.977  -0.302 -0.899  -0.166 -0.802  -0.030 -0.705  0.080 -0.582  0.180 -0.448  0.281 -0.315  0.369 -0.175  0.413 -0.014  0.458 0.147  0.503 0.308  0.541 0.471  0.578 0.634  0.622 0.773  0.632 0.606  0.652 0.440  0.671 0.274  0.698 0.110  0.731 -0.054  0.764 -0.218  0.797 -0.382  0.852 -0.539  0.908 -0.697  0.981 -0.846  1.079 -0.981  1.177 -1.116
3#apb#apb09#app0905/t  -1.098 0.030  -0.972 0.109  -0.822 0.127  -0.673 0.144  -0.523 0.147  -0.373 0.147  -0.223 0.147  -0.073 0.147  0.078 0.147  0.228 0.152  0.378 0.161  0.527 0.172  0.676 0.195  0.824 0.217  0.815 0.288  0.705 0.391  0.596 0.494  0.486 0.596  0.376 0.699  0.267 0.802  0.157 0.904  0.047 1.007  -0.062 1.110  -0.172 1.212  -0.281 1.315  -0.358 1.330  -0.371 1.181  -0.338 1.035  -0.300 0.890  -0.267 0.743  -0.245 0.595  -0.223 0.446  -0.201 0.298  -0.173 0.150  -0.142 0.003  -0.112 -0.144  -0.081 -0.291  -0.042 -0.436  -0.001 -0.580  0.039 -0.725  0.074 -0.871  0.103 -1.018  0.133 -1.166  0.164 -1.313  0.195 -1.460  0.221 -1.607  0.239 -1.757  0.256 -1.906  0.271 -2.055  0.274 -2.205
3#apb#apb09#app0905/o  -0.409 1.018  -0.484 0.930  -0.559 0.841  -0.634 0.753  -0.700 0.658  -0.754 0.555  -0.808 0.453  -0.863 0.350  -0.905 0.243  -0.932 0.130  -0.958 0.017  -0.985 -0.096  -0.967 -0.208  -0.938 -0.320  -0.908 -0.432  -0.879 -0.544  -0.810 -0.633  -0.725 -0.711  -0.639 -0.789  -0.540 -0.846  -0.431 -0.886  -0.322 -0.927  -0.214 -0.967  -0.099 -0.947  0.015 -0.926  0.129 -0.906  0.240 -0.874  0.345 -0.825  0.450 -0.776  0.555 -0.727  0.622 -0.633  0.688 -0.538  0.754 -0.442  0.820 -0.346  0.847 -0.235  0.871 -0.121  0.895 -0.008  0.919 0.106  0.905 0.220  0.886 0.335  0.866 0.449  0.846 0.563  0.826 0.677  0.775 0.781  0.723 0.885  0.671 0.989  0.591 1.070  0.500 1.141  0.408 1.213  0.317 1.285
3#apb#apb09#app0905/r  -0.566 0.282  -0.556 0.168  -0.547 0.055  -0.535 -0.058  -0.493 -0.164  -0.451 -0.270  -0.408 -0.376  -0.367 -0.482  -0.333 -0.591  -0.299 -0.700  -0.265 -0.808  -0.231 -0.917  -0.172 -1.015  -0.114 -1.113  -0.063 -1.213  -0.063 -1.327  -0.039 -1.412  -0.081 -1.306  -0.127 -1.202  -0.175 -1.099  -0.223 -0.995  -0.260 -0.889  -0.266 -0.775  -0.272 -0.662  -0.278 -0.548  -0.284 -0.434  -0.278 -0.321  -0.263 -0.208  -0.248 -0.095  -0.233 0.018  -0.219 0.131  -0.204 0.244  -0.158 0.348  -0.110 0.452  -0.061 0.555  -0.013 0.658  0.049 0.750  0.140 0.818  0.232 0.887  0.323 0.955  0.412 1.026  0.499 1.099  0.587 1.172  0.674 1.245  0.781 1.281  0.891 1.309  1.002 1.336  1.112 1.366  1.222 1.396  1.332 1.426
3#apb#apb09#app0905/A  -0.576 0.357  -0.722 0.189  -0.806 -0.027  -0.874 -0.249  -0.931 -0.473  -0.967 -0.703  -0.998 -0.932  -1.004 -1.164  -0.908 -1.010  -0.829 -0.792  -0.751 -0.573  -0.683 -0.352  -0.630 -0.126  -0.577 0.100  -0.491 0.315  -0.405 0.531  -0.300 0.737  -0.190 0.942  -0.060 1.133  0.086 1.311  0.281 1.436  0.483 1.456  0.644 1.288  0.771 1.100  0.852 0.882  0.904 0.656  0.958 0.431  1.023 0.208  1.087 -0.015  1.143 -0.240  1.169 -0.470  1.169 -0.702  1.150 -0.931  0.995 -0.988  0.791 -0.878  0.587 -0.768  0.382 -0.659  0.178 -0.549  -0.027 -0.439  -0.231 -0.330  -0.435 -0.220  -0.640 -0.110  -0.844 -0.001  -0.662 0.052  -0.430 0.056  -0.198 0.059  0.033 0.082  0.263 0.105  0.494 0.128  0.725 0.151
3#apb#apb09#app0905/t  -1.418 -0.405  -1.247 -0.405  -1.077 -0.405  -0.906 -0.405  -0.735 -0.405  -0.567 -0.376  -0.400 -0.342  -0.233 -0.309  -0.064 -0.280  0.104 -0.252  0.272 -0.224  0.427 -0.151  0.581 -0.078  0.738 -0.011  0.897 0.051  0.987 0.123  0.854 0.230  0.720 0.336  0.586 0.442  0.453 0.549  0.319 0.655  0.185 0.761  0.052 0.867  -0.082 0.974  -0.215 1.080  -0.349 1.186  -0.483 1.292  -0.616 1.399  -0.550 1.359  -0.426 1.241  -0.308 1.120  -0.231 0.967  -0.155 0.814  -0.082 0.660  -0.030 0.498  0.023 0.335  0.075 0.172  0.114 0.007  0.146 -0.161  0.178 -0.329  0.208 -0.497  0.236 -0.665  0.264 -0.834  0.278 -1.003  0.286 -1.174  0.293 -1.345  0.269 -1.514  0.244 -1.682  0.211 -1.850  0.173 -2.016
3#apb#apb09#app0905/t  -0.685 1.903  -0.604 1.754  -0.532 1.600  -0.452 1.449  -0.370 1.300  -0.290 1.150  -0.217 0.996  -0.143 0.843  -0.085 0.684  -0.042 0.519  0.001 0.354  0.039 0.188  0.077 0.022  0.113 -0.144  0.146 -0.311  0.174 -0.479  0.174 -0.649  0.174 -0.819  0.174 -0.990  0.174 -1.160  0.180 -1.329  0.168 -1.405  0.065 -1.269  -0.037 -1.133  -0.140 -0.997  -0.243 -0.861  -0.345 -0.725  -0.448 -0.590  -0.551 -0.454  -0.653 -0.318  -0.756 -0.182  -0.859 -0.046  -0.961 0.090  -0.952 0.147  -0.784 0.119  -0.616 0.091  -0.448 0.063  -0.280 0.035  -0.111 0.014  0.058 0.003  0.228 -0.008  0.398 -0.018  0.568 -0.006  0.738 0.007  0.908 0.020  1.076 0.043  1.245 0.066  1.411 0.101  1.576 0.144  1.741 0.187
3#apb#apb09#app0905/o  -0.204 0.741  -0.301 0.798  -0.418 0.768  -0.520 0.692  -0.623 0.617  -0.710 0.526  -0.786 0.424  -0.862 0.322  -0.939 0.220  -0.988 0.104  -1.031 -0.016  -1.075 -0.135  -1.079 -0.261  -1.073 -0.388  -1.066 -0.515  -0.993 -0.612  -0.903 -0.702  -0.805 -0.779  -0.683 -0.815  -0.561 -0.850  -0.439 -0.886  -0.315 -0.898  -0.188 -0.885  -0.062 -0.872  0.065 -0.859  0.190 -0.841  0.306 -0.788  0.422 -0.735  0.537 -0.682  0.650 -0.625  0.745 -0.541  0.840 -0.456  0.936 -0.372  1.004 -0.269  1.048 -0.150  1.092 -0.030  1.101 0.091  1.070 0.214  1.040 0.338  0.991 0.453  0.913 0.553  0.835 0.654  0.757 0.754  0.647 0.818  0.536 0.879  0.424 0.940  0.306 0.981  0.181 1.003  0.055 1.025  -0.070 1.047
3#apb#apb09#app0905/r  -0.985 0.268  -0.940 0.179  -0.900 0.088  -0.860 -0.003  -0.820 -0.095  -0.780 -0.186  -0.750 -0.281  -0.720 -0.376  -0.690 -0.471  -0.660 -0.566  -0.634 -0.662  -0.611 -0.760  -0.589 -0.857  -0.564 -0.953  -0.537 -1.049  -0.508 -1.138  -0.529 -1.042  -0.522 -0.942  -0.516 -0.843  -0.509 -0.743  -0.484 -0.647  -0.457 -0.551  -0.430 -0.455  -0.402 -0.359  -0.375 -0.263  -0.314 -0.185  -0.250 -0.109  -0.185 -0.033  -0.120 0.043  -0.056 0.119  0.009 0.195  0.091 0.250  0.176 0.303  0.260 0.357  0.344 0.410  0.428 0.464  0.512 0.518  0.600 0.564  0.689 0.610  0.777 0.656  0.865 0.703  0.954 0.749  1.044 0.790  1.136 0.828  1.229 0.866  1.321 0.904  1.416 0.926  1.516 0.926  1.616 0.926  1.715 0.926
3#apb#apb09#app0905/n  -0.784 0.216  -0.851 0.132  -0.890 0.027  -0.923 -0.081  -0.955 -0.188  -0.983 -0.298  -1.010 -0.407  -1.009 -0.519  -1.000 -0.631  -0.972 -0.740  -0.990 -0.812  -0.950 -0.709  -0.924 -0.599  -0.898 -0.490  -0.864 -0.383  -0.822 -0.278  -0.779 -0.174  -0.737 -0.070  -0.690 0.032  -0.623 0.122  -0.555 0.212  -0.488 0.302  -0.420 0.393  -0.333 0.463  -0.240 0.526  -0.148 0.590  -0.050 0.643  0.057 0.679  0.164 0.714  0.274 0.737  0.386 0.750  0.497 0.761  0.606 0.732  0.715 0.703  0.796 0.630  0.868 0.544  0.933 0.453  0.974 0.348  1.016 0.244  1.056 0.138  1.079 0.028  1.103 -0.082  1.125 -0.192  1.148 -0.303  1.170 -0.413  1.177 -0.525  1.185 -0.638  1.186 -0.750  1.186 -0.863  1.186 -0.976
3#apb#apb09#app0905/e  -0.933 -0.243  -0.779 -0.235  -0.634 -0.177  -0.488 -0.129  -0.333 -0.129  -0.177 -0.129  -0.028 -0.088  0.122 -0.045  0.268 0.007  0.403 0.082  0.539 0.158  0.669 0.243  0.797 0.331  0.894 0.442  0.940 0.591  0.952 0.744  0.952 0.900  0.883 1.039  0.790 1.157  0.657 1.237  0.505 1.217  0.352 1.190  0.203 1.145  0.056 1.095  -0.076 1.019  -0.192 0.916  -0.308 0.812  -0.414 0.699  -0.502 0.572  -0.591 0.444  -0.680 0.316  -0.739 0.173  -0.795 0.028  -0.852 -0.117  -0.842 -0.271  -0.825 -0.426  -0.777 -0.570  -0.704 -0.708  -0.621 -0.837  -0.504 -0.939  -0.386 -1.041  -0.246 -1.105  -0.101 -1.160  0.050 -1.195  0.203 -1.222  0.357 -1.224  0.512 -1.206  0.663 -1.175  0.808 -1.119  0.952 -1.062
3#apb#apb09#app0905/y  -1.115 1.228  -1.090 1.091  -1.042 0.961  -0.982 0.835  -0.919 0.711  -0.845 0.593  -0.771 0.476  -0.693 0.360  -0.613 0.246  -0.533 0.132  -0.438 0.031  -0.335 -0.062  -0.241 -0.166  -0.134 -0.252  -0.011 -0.247  0.049 -0.130  0.090 0.003  0.131 0.136  0.171 0.269  0.212 0.402  0.253 0.535  0.294 0.669  0.335 0.802  0.376 0.935  0.417 1.068  0.457 1.201  0.403 1.096  0.361 0.964  0.332 0.828  0.310 0.691  0.301 0.552  0.291 0.413  0.282 0.274  0.280 0.135  0.280 -0.005  0.280 -0.144  0.280 -0.283  0.277 -0.423  0.273 -0.562  0.269 -0.701  0.265 -0.840  0.268 -0.979  0.273 -1.119  0.278 -1.258  0.276 -1.397  0.270 -1.536  0.264 -1.675  0.272 -1.814  0.282 -1.953  0.313 -2.088
