3#apb#apb16#app1617/A  -0.059 1.123  -0.109 1.164  -0.141 0.926  -0.239 0.693  -0.326 0.454  -0.403 0.211  -0.488 -0.030  -0.576 -0.269  -0.678 -0.503  -0.808 -0.721  -0.943 -0.936  -1.023 -1.178  -1.009 -1.016  -0.914 -0.785  -0.780 -0.568  -0.654 -0.347  -0.540 -0.119  -0.423 0.108  -0.299 0.331  -0.179 0.556  -0.065 0.784  0.079 0.995  0.204 1.216  0.324 1.440  0.481 1.640  0.632 1.511  0.667 1.259  0.667 1.004  0.667 0.749  0.659 0.494  0.646 0.239  0.634 -0.016  0.621 -0.270  0.590 -0.524  0.566 -0.777  0.550 -1.032  0.504 -1.283  0.454 -1.532  0.323 -1.498  0.206 -1.271  0.088 -1.045  -0.029 -0.818  -0.146 -0.592  -0.264 -0.365  -0.306 -0.181  -0.096 -0.037  0.133 0.066  0.379 0.127  0.588 0.274  0.831 0.350
3#apb#apb16#app1617/L  -0.219 1.501  -0.219 1.596  -0.197 1.570  -0.173 1.485  -0.193 1.393  -0.193 1.297  -0.217 1.209  -0.266 1.127  -0.277 1.033  -0.286 0.938  -0.295 0.843  -0.337 0.758  -0.380 0.673  -0.422 0.588  -0.443 0.495  -0.464 0.402  -0.486 0.309  -0.502 0.216  -0.511 0.121  -0.521 0.026  -0.543 -0.066  -0.570 -0.158  -0.585 -0.252  -0.598 -0.346  -0.598 -0.441  -0.598 -0.536  -0.580 -0.629  -0.512 -0.676  -0.422 -0.701  -0.344 -0.753  -0.277 -0.820  -0.185 -0.828  -0.089 -0.828  0.002 -0.809  0.089 -0.770  0.176 -0.731  0.269 -0.711  0.362 -0.694  0.456 -0.676  0.549 -0.659  0.643 -0.641  0.736 -0.624  0.830 -0.606  0.924 -0.588  1.017 -0.568  1.107 -0.538  1.197 -0.508  1.288 -0.478  1.382 -0.474  1.477 -0.474
3#apb#apb16#app1617/M  -0.817 0.425  -0.776 0.429  -0.820 0.272  -0.873 0.119  -0.934 -0.033  -0.986 -0.187  -1.030 -0.343  -1.053 -0.505  -1.088 -0.663  -1.142 -0.816  -1.132 -0.871  -1.030 -0.747  -0.950 -0.605  -0.901 -0.450  -0.844 -0.297  -0.784 -0.146  -0.717 0.003  -0.692 0.164  -0.663 0.324  -0.603 0.475  -0.548 0.623  -0.486 0.700  -0.386 0.626  -0.304 0.485  -0.228 0.341  -0.164 0.191  -0.098 0.042  -0.025 -0.104  0.094 -0.174  0.242 -0.110  0.388 -0.041  0.486 0.089  0.586 0.218  0.689 0.344  0.798 0.465  0.916 0.577  1.040 0.683  1.176 0.771  1.223 0.695  1.188 0.538  1.188 0.375  1.188 0.212  1.188 0.049  1.188 -0.114  1.171 -0.276  1.144 -0.436  1.118 -0.597  1.071 -0.752  1.009 -0.903  0.981 -1.063
3#apb#apb16#app1617/N  -0.586 0.677  -0.571 0.700  -0.588 0.545  -0.653 0.383  -0.654 0.207  -0.698 0.041  -0.777 -0.116  -0.821 -0.286  -0.858 -0.458  -0.878 -0.633  -0.900 -0.808  -0.951 -0.965  -0.930 -0.889  -0.871 -0.725  -0.823 -0.556  -0.771 -0.387  -0.713 -0.221  -0.650 -0.056  -0.603 0.113  -0.563 0.284  -0.540 0.458  -0.540 0.634  -0.518 0.808  -0.467 0.973  -0.416 0.820  -0.326 0.669  -0.246 0.513  -0.173 0.352  -0.099 0.192  -0.021 0.035  0.080 -0.110  0.181 -0.254  0.291 -0.391  0.392 -0.535  0.483 -0.686  0.596 -0.820  0.747 -0.898  0.918 -0.871  1.022 -0.740  1.105 -0.585  1.170 -0.423  1.213 -0.252  1.248 -0.080  1.262 0.095  1.262 0.271  1.262 0.447  1.262 0.623  1.252 0.798  1.217 0.971  1.240 1.133
3#apb#apb16#app1617/O  -0.261 0.982  -0.340 0.876  -0.434 0.783  -0.519 0.682  -0.578 0.564  -0.637 0.445  -0.677 0.319  -0.716 0.192  -0.749 0.064  -0.766 -0.067  -0.782 -0.199  -0.799 -0.330  -0.799 -0.463  -0.799 -0.595  -0.792 -0.727  -0.770 -0.858  -0.749 -0.989  -0.675 -1.096  -0.574 -1.179  -0.459 -1.244  -0.338 -1.200  -0.217 -1.146  -0.092 -1.103  0.034 -1.061  0.134 -0.974  0.234 -0.887  0.332 -0.798  0.430 -0.709  0.528 -0.620  0.601 -0.510  0.670 -0.397  0.727 -0.278  0.772 -0.153  0.816 -0.028  0.855 0.098  0.887 0.227  0.920 0.355  0.894 0.484  0.864 0.614  0.827 0.740  0.763 0.856  0.700 0.973  0.601 1.054  0.485 1.118  0.356 1.147  0.229 1.159  0.114 1.093  -0.001 1.026  -0.095 0.939  -0.154 0.821
3#apb#apb16#app1617/P  -0.519 0.637  -0.369 0.597  -0.302 0.429  -0.293 0.245  -0.310 0.060  -0.335 -0.124  -0.363 -0.308  -0.391 -0.491  -0.419 -0.675  -0.419 -0.861  -0.444 -1.040  -0.529 -1.205  -0.596 -1.374  -0.710 -1.476  -0.823 -1.332  -0.834 -1.149  -0.790 -0.969  -0.745 -0.788  -0.701 -0.608  -0.656 -0.427  -0.612 -0.247  -0.567 -0.067  -0.523 0.114  -0.478 0.294  -0.434 0.475  -0.326 0.616  -0.182 0.733  -0.032 0.843  0.134 0.926  0.305 1.000  0.478 1.066  0.663 1.080  0.845 1.111  1.018 1.150  1.184 1.067  1.302 0.936  1.340 0.755  1.340 0.569  1.241 0.413  1.127 0.267  1.002 0.128  0.862 0.007  0.715 -0.106  0.552 -0.185  0.370 -0.224  0.196 -0.286  0.030 -0.369  -0.150 -0.402  -0.335 -0.415  -0.519 -0.393
3#apb#apb16#app1617/Q  -0.278 0.992  -0.279 1.131  -0.453 1.038  -0.602 0.921  -0.723 0.762  -0.847 0.605  -0.954 0.436  -1.031 0.253  -1.082 0.060  -1.114 -0.138  -1.139 -0.336  -1.114 -0.534  -1.036 -0.710  -0.902 -0.859  -0.736 -0.968  -0.549 -1.018  -0.350 -1.011  -0.152 -0.978  0.043 -0.938  0.212 -0.832  0.382 -0.726  0.533 -0.594  0.670 -0.451  0.749 -0.267  0.827 -0.083  0.904 0.102  0.883 0.297  0.815 0.482  0.720 0.659  0.586 0.806  0.450 0.952  0.323 1.107  0.169 1.232  -0.015 1.216  -0.088 1.052  -0.084 0.852  -0.080 0.652  -0.076 0.452  -0.071 0.251  -0.067 0.051  -0.071 -0.002  0.026 -0.155  0.190 -0.247  0.348 -0.370  0.507 -0.491  0.654 -0.625  0.788 -0.774  0.922 -0.923  1.045 -1.080  1.148 -1.252
3#apb#apb16#app1617/R  -0.378 0.841  -0.398 0.644  -0.442 0.420  -0.491 0.198  -0.543 -0.024  -0.595 -0.245  -0.637 -0.469  -0.663 -0.695  -0.691 -0.921  -0.719 -1.147  -0.725 -1.374  -0.784 -1.340  -0.740 -1.117  -0.696 -0.894  -0.651 -0.670  -0.607 -0.447  -0.563 -0.223  -0.519 -0.000  -0.475 0.223  -0.430 0.447  -0.386 0.670  -0.342 0.893  -0.248 1.098  -0.086 1.213  0.137 1.234  0.343 1.330  0.557 1.316  0.777 1.263  0.945 1.136  0.963 0.915  0.945 0.693  0.805 0.514  0.663 0.336  0.512 0.166  0.345 0.017  0.121 -0.023  -0.098 -0.072  -0.285 0.011  -0.361 0.106  -0.170 0.218  0.049 0.168  0.230 0.035  0.336 -0.165  0.438 -0.369  0.547 -0.568  0.672 -0.758  0.824 -0.928  0.989 -1.084  1.165 -1.227  1.361 -1.344
3#apb#apb16#app1617/S  0.435 1.472  0.332 1.456  0.246 1.392  0.153 1.338  0.060 1.285  -0.043 1.254  -0.144 1.220  -0.227 1.151  -0.312 1.086  -0.410 1.044  -0.498 0.989  -0.547 0.894  -0.584 0.805  -0.524 0.715  -0.463 0.626  -0.401 0.539  -0.333 0.456  -0.247 0.392  -0.161 0.327  -0.066 0.279  0.033 0.237  0.132 0.196  0.229 0.150  0.323 0.098  0.417 0.046  0.492 -0.030  0.562 -0.112  0.642 -0.181  0.733 -0.237  0.763 -0.340  0.780 -0.444  0.746 -0.546  0.687 -0.632  0.611 -0.708  0.535 -0.784  0.443 -0.837  0.346 -0.882  0.248 -0.927  0.150 -0.970  0.046 -0.998  -0.058 -1.027  -0.161 -1.056  -0.264 -1.087  -0.367 -1.117  -0.472 -1.136  -0.579 -1.148  -0.683 -1.141  -0.782 -1.099  -0.871 -1.042  -0.947 -0.966
3#apb#apb16#app1617/T  0.033 1.000  0.108 0.979  0.099 0.909  0.083 0.744  0.098 0.573  0.119 0.404  0.134 0.233  0.134 0.062  0.134 -0.110  0.134 -0.281  0.134 -0.452  0.119 -0.623  0.098 -0.792  0.083 -0.963  0.083 -1.134  0.083 -1.305  0.083 -1.477  0.083 -1.648  0.116 -1.711  0.089 -1.551  0.023 -1.393  -0.042 -1.235  -0.108 -1.077  -0.173 -0.918  -0.239 -0.760  -0.304 -0.602  -0.370 -0.444  -0.435 -0.285  -0.501 -0.127  -0.566 0.031  -0.632 0.189  -0.698 0.348  -0.763 0.506  -0.829 0.664  -0.894 0.822  -0.880 0.846  -0.715 0.804  -0.554 0.746  -0.385 0.715  -0.215 0.699  -0.044 0.699  0.127 0.703  0.297 0.722  0.467 0.741  0.638 0.754  0.809 0.762  0.980 0.771  1.150 0.793  1.319 0.821  1.488 0.849
3#apb#apb16#app1617/U  -0.904 0.982  -0.928 0.950  -0.989 0.876  -1.004 0.786  -1.004 0.689  -1.004 0.593  -1.004 0.497  -1.004 0.400  -1.004 0.304  -0.990 0.209  -0.975 0.114  -0.955 0.020  -0.918 -0.069  -0.881 -0.158  -0.846 -0.248  -0.813 -0.338  -0.777 -0.426  -0.704 -0.489  -0.630 -0.551  -0.554 -0.610  -0.478 -0.669  -0.386 -0.675  -0.290 -0.667  -0.194 -0.661  -0.097 -0.661  -0.001 -0.661  0.096 -0.661  0.188 -0.636  0.278 -0.604  0.369 -0.572  0.460 -0.540  0.546 -0.497  0.632 -0.453  0.719 -0.410  0.782 -0.340  0.838 -0.262  0.894 -0.183  0.949 -0.104  1.000 -0.023  1.052 0.058  1.084 0.146  1.096 0.242  1.107 0.338  1.118 0.433  1.095 0.526  1.068 0.619  1.042 0.712  1.008 0.802  0.973 0.892  0.939 0.982
3#apb#apb16#app1617/V  -1.051 0.664  -1.029 0.775  -0.936 0.818  -0.889 0.813  -0.793 0.774  -0.739 0.667  -0.705 0.553  -0.679 0.436  -0.651 0.319  -0.619 0.204  -0.588 0.088  -0.561 -0.029  -0.537 -0.147  -0.514 -0.264  -0.494 -0.382  -0.474 -0.501  -0.455 -0.619  -0.431 -0.737  -0.408 -0.854  -0.353 -0.955  -0.269 -1.040  -0.214 -1.145  -0.187 -1.260  -0.138 -1.330  -0.073 -1.234  -0.014 -1.130  0.026 -1.017  0.065 -0.904  0.106 -0.791  0.147 -0.678  0.187 -0.565  0.225 -0.452  0.265 -0.339  0.327 -0.237  0.390 -0.134  0.453 -0.032  0.513 0.071  0.567 0.179  0.621 0.286  0.674 0.393  0.718 0.504  0.747 0.621  0.776 0.737  0.820 0.846  0.894 0.940  0.968 1.035  1.011 1.142  1.026 1.261  1.093 1.331  1.182 1.319
3#apb#apb16#app1617/W  -1.247 0.728  -1.177 0.780  -1.162 0.637  -1.162 0.491  -1.162 0.344  -1.162 0.198  -1.146 0.053  -1.117 -0.091  -1.086 -0.234  -1.051 -0.376  -1.019 -0.519  -0.987 -0.660  -0.869 -0.742  -0.723 -0.742  -0.613 -0.668  -0.523 -0.552  -0.451 -0.425  -0.359 -0.312  -0.279 -0.193  -0.246 -0.050  -0.219 0.094  -0.205 0.239  -0.189 0.385  -0.181 0.531  -0.094 0.513  -0.024 0.388  0.026 0.250  0.060 0.109  0.074 -0.037  0.123 -0.175  0.172 -0.313  0.261 -0.427  0.359 -0.535  0.468 -0.633  0.590 -0.712  0.723 -0.711  0.844 -0.633  0.942 -0.526  1.021 -0.402  1.084 -0.273  1.113 -0.129  1.146 0.013  1.179 0.156  1.204 0.300  1.204 0.446  1.197 0.592  1.179 0.737  1.161 0.883  1.161 1.029  1.161 1.175
3#apb#apb16#app1617/X  -1.072 1.235  -0.994 1.270  -0.872 1.134  -0.721 1.033  -0.684 0.851  -0.628 0.678  -0.528 0.521  -0.428 0.366  -0.322 0.214  -0.216 0.062  -0.118 -0.095  -0.019 -0.252  0.079 -0.409  0.165 -0.573  0.248 -0.739  0.355 -0.890  0.472 -1.033  0.622 -1.140  0.737 -1.264  0.732 -1.079  0.727 -0.893  0.723 -0.708  0.718 -0.523  0.713 -0.338  0.709 -0.152  0.704 0.033  0.699 0.218  0.695 0.403  0.690 0.589  0.685 0.774  0.680 0.959  0.676 1.144  0.592 1.211  0.489 1.057  0.406 0.891  0.323 0.726  0.241 0.560  0.154 0.396  0.034 0.255  -0.085 0.114  -0.202 -0.030  -0.307 -0.183  -0.412 -0.335  -0.517 -0.488  -0.645 -0.622  -0.776 -0.753  -0.907 -0.884  -1.054 -0.996  -1.204 -1.106  -1.358 -1.208
3#apb#apb16#app1617/Y  -0.952 0.935  -0.847 1.000  -0.804 0.871  -0.741 0.714  -0.676 0.557  -0.608 0.401  -0.550 0.241  -0.493 0.081  -0.416 -0.070  -0.308 -0.198  -0.215 -0.325  -0.162 -0.457  -0.074 -0.311  0.013 -0.165  0.100 -0.019  0.187 0.127  0.274 0.273  0.361 0.419  0.449 0.565  0.536 0.711  0.623 0.857  0.710 1.003  0.797 1.149  0.884 1.294  0.880 1.252  0.808 1.098  0.726 0.949  0.633 0.810  0.515 0.687  0.404 0.558  0.272 0.452  0.147 0.339  0.045 0.203  -0.037 0.055  -0.145 -0.063  -0.258 -0.175  -0.268 -0.260  -0.267 -0.301  -0.209 -0.360  -0.148 -0.511  -0.110 -0.675  -0.110 -0.845  -0.108 -1.015  -0.095 -1.185  -0.085 -1.354  -0.095 -1.524  -0.105 -1.694  -0.127 -1.862  -0.158 -2.029  -0.189 -2.196
3#apb#apb16#app1617/Z  -1.043 1.121  -0.991 1.057  -0.792 1.057  -0.598 1.011  -0.401 0.994  -0.202 0.994  -0.002 0.994  0.197 0.988  0.396 0.973  0.588 0.916  0.769 0.845  0.715 0.684  0.556 0.564  0.375 0.483  0.228 0.349  0.074 0.222  -0.084 0.100  -0.235 -0.029  -0.359 -0.184  -0.396 -0.372  -0.357 -0.567  -0.258 -0.737  -0.084 -0.824  0.099 -0.904  0.262 -1.019  0.453 -1.055  0.652 -1.064  0.851 -1.056  1.042 -0.997  1.222 -0.913  1.390 -0.807  1.311 -0.721  1.123 -0.654  0.935 -0.588  0.747 -0.521  0.559 -0.454  0.371 -0.387  0.183 -0.320  -0.005 -0.253  -0.193 -0.186  -0.381 -0.119  -0.569 -0.052  -0.757 0.015  -0.945 0.082  -1.133 0.149  -1.321 0.216  -1.294 0.239  -1.098 0.213  -0.901 0.243  -0.703 0.272
