2#tos#f1#f1078063/\"  -0.823 0.582  -0.969 0.417  -1.194 0.301  -1.028 0.212  -0.773 0.212  -0.638 0.091  -0.638 -0.164  -0.692 -0.397  -0.823 -0.543  -0.823 -0.798  -0.823 -0.745  -0.916 -0.511  -1.096 -0.436  -1.194 -0.279  -1.286 -0.116  -1.082 -0.066  -0.827 -0.066  -0.983 0.027  -1.101 -0.110  -1.194 -0.273  -1.112 -0.395  -0.884 -0.281  -0.656 -0.167  -0.428 -0.053  -0.199 0.061  0.029 0.175  0.257 0.289  0.485 0.403  0.713 0.517  0.941 0.631  0.869 0.675  0.658 0.631  0.678 0.397  0.933 0.397  1.151 0.336  1.329 0.212  1.398 0.026  1.398 -0.229  1.305 -0.392  1.188 -0.529  0.971 -0.436  0.911 -0.227  0.750 -0.093  0.658 0.070  0.863 0.119  1.118 0.119  1.052 0.119  0.843 0.164  0.843 0.189  0.843 -0.066
2#tos#f1#f1078063/]  -0.357 1.241  -0.413 1.204  -0.425 1.116  -0.498 1.062  -0.587 1.032  -0.639 0.977  -0.565 0.958  -0.472 0.958  -0.378 0.958  -0.290 0.969  -0.215 1.015  -0.122 1.015  -0.029 1.015  0.064 1.015  0.157 1.015  0.208 0.973  0.231 0.902  0.265 0.843  0.265 0.749  0.265 0.656  0.265 0.563  0.265 0.470  0.265 0.377  0.265 0.283  0.265 0.190  0.265 0.097  0.265 0.004  0.265 -0.089  0.265 -0.183  0.265 -0.276  0.265 -0.369  0.265 -0.462  0.265 -0.555  0.265 -0.649  0.265 -0.742  0.265 -0.835  0.265 -0.928  0.265 -1.021  0.265 -1.115  0.246 -1.189  0.208 -1.244  0.116 -1.245  0.044 -1.297  -0.047 -1.302  -0.137 -1.309  -0.210 -1.358  -0.303 -1.358  -0.396 -1.358  -0.490 -1.358  -0.526 -1.415
2#tos#f1#f1078063/_  -1.058 0.290  -1.137 0.290  -1.216 0.290  -1.295 0.290  -1.324 0.239  -1.324 0.160  -1.334 0.091  -1.367 0.091  -1.288 0.091  -1.209 0.091  -1.129 0.091  -1.050 0.091  -0.971 0.091  -0.901 0.067  -0.840 0.024  -0.760 0.024  -0.681 0.024  -0.602 0.024  -0.522 0.024  -0.443 0.024  -0.364 0.024  -0.284 0.024  -0.259 -0.030  -0.192 -0.042  -0.113 -0.042  -0.034 -0.042  0.046 -0.042  0.125 -0.042  0.204 -0.042  0.284 -0.042  0.340 -0.066  0.376 -0.109  0.455 -0.109  0.534 -0.109  0.614 -0.109  0.693 -0.109  0.772 -0.109  0.851 -0.109  0.931 -0.109  1.010 -0.109  1.089 -0.109  1.169 -0.109  1.248 -0.109  1.327 -0.109  1.407 -0.109  1.486 -0.109  1.565 -0.109  1.645 -0.109  1.724 -0.109  1.803 -0.109
2#tos#f1#f1078063/{  0.363 1.445  0.282 1.396  0.181 1.396  0.079 1.396  -0.018 1.378  -0.111 1.347  -0.213 1.347  -0.254 1.271  -0.277 1.180  -0.277 1.079  -0.277 0.977  -0.227 0.897  -0.178 0.845  -0.134 0.762  -0.080 0.683  -0.080 0.582  -0.031 0.530  -0.031 0.429  -0.056 0.338  -0.093 0.252  -0.165 0.181  -0.260 0.167  -0.362 0.167  -0.287 0.167  -0.186 0.167  -0.085 0.167  -0.004 0.118  0.018 0.039  0.051 -0.030  0.117 -0.065  0.117 -0.166  0.117 -0.267  0.117 -0.369  0.117 -0.470  0.117 -0.571  0.117 -0.672  0.067 -0.743  0.018 -0.814  0.018 -0.915  0.018 -1.016  0.023 -1.115  0.068 -1.198  0.068 -1.299  0.068 -1.400  0.137 -1.448  0.166 -1.542  0.256 -1.553  0.264 -1.646  0.360 -1.652  0.363 -1.750
2#tos#f1#f1078063/}  -0.229 1.514  -0.327 1.514  -0.357 1.463  -0.258 1.463  -0.162 1.455  -0.077 1.410  -0.026 1.362  -0.026 1.263  -0.026 1.165  -0.026 1.067  -0.026 0.968  -0.026 0.870  -0.060 0.805  -0.077 0.724  -0.089 0.629  -0.127 0.539  -0.127 0.441  -0.178 0.393  -0.178 0.295  -0.127 0.247  -0.078 0.198  0.020 0.198  0.118 0.198  0.217 0.198  0.278 0.160  0.227 0.113  0.176 0.065  0.148 -0.005  0.126 -0.081  0.103 -0.156  0.024 -0.176  0.024 -0.275  0.024 -0.373  0.032 -0.468  0.075 -0.549  0.126 -0.626  0.126 -0.725  0.126 -0.823  0.126 -0.921  0.126 -1.020  0.161 -1.103  0.176 -1.195  0.176 -1.294  0.126 -1.341  0.077 -1.420  0.033 -1.507  -0.026 -1.582  -0.032 -1.675  -0.127 -1.678  -0.178 -1.726
2#tos#f1#f1078063/~  -1.054 0.074  -1.112 -0.014  -1.170 -0.101  -1.228 -0.188  -1.273 -0.231  -1.273 -0.126  -1.273 -0.022  -1.263 0.074  -1.163 0.078  -1.163 0.183  -1.163 0.287  -1.063 0.292  -1.054 0.387  -0.964 0.402  -0.859 0.402  -0.754 0.402  -0.650 0.402  -0.545 0.402  -0.440 0.402  -0.336 0.402  -0.231 0.402  -0.178 0.351  -0.178 0.246  -0.136 0.183  -0.068 0.146  -0.036 0.074  0.041 0.046  0.064 -0.036  0.151 -0.054  0.151 -0.158  0.159 -0.255  0.263 -0.255  0.368 -0.255  0.472 -0.255  0.577 -0.255  0.682 -0.255  0.698 -0.343  0.782 -0.364  0.886 -0.364  0.991 -0.364  1.095 -0.364  1.200 -0.364  1.298 -0.338  1.392 -0.291  1.488 -0.255  1.574 -0.236  1.574 -0.131  1.574 -0.026  1.574 0.078  1.574 0.183
2#tos#f1#f1078063/0  0.260 1.179  0.125 1.112  -0.015 1.069  -0.156 1.026  -0.229 0.911  -0.295 0.788  -0.378 0.672  -0.513 0.618  -0.513 0.467  -0.593 0.341  -0.679 0.223  -0.679 0.072  -0.748 -0.050  -0.789 -0.184  -0.796 -0.333  -0.844 -0.476  -0.844 -0.627  -0.844 -0.777  -0.738 -0.862  -0.679 -0.997  -0.619 -1.105  -0.485 -1.168  -0.346 -1.195  -0.196 -1.195  -0.045 -1.195  0.093 -1.141  0.239 -1.123  0.362 -1.038  0.509 -1.030  0.536 -0.906  0.589 -0.809  0.688 -0.725  0.757 -0.601  0.812 -0.473  0.812 -0.322  0.812 -0.172  0.812 -0.021  0.799 0.128  0.762 0.274  0.669 0.361  0.627 0.502  0.559 0.636  0.437 0.682  0.405 0.813  0.315 0.927  0.209 1.011  0.124 1.094  0.042 1.179  -0.098 1.206  -0.237 1.234
2#tos#f1#f1078063/2  -0.505 1.465  -0.434 1.404  -0.301 1.404  -0.168 1.404  -0.035 1.404  0.050 1.356  0.169 1.342  0.288 1.285  0.384 1.193  0.481 1.136  0.503 1.012  0.543 0.896  0.543 0.763  0.543 0.630  0.512 0.510  0.441 0.400  0.360 0.296  0.286 0.186  0.194 0.109  0.067 0.074  -0.034 0.003  -0.113 -0.096  -0.230 -0.159  -0.340 -0.233  -0.441 -0.319  -0.547 -0.384  -0.628 -0.471  -0.664 -0.569  -0.797 -0.569  -0.875 -0.623  -1.001 -0.630  -1.048 -0.692  -0.915 -0.692  -0.782 -0.692  -0.649 -0.692  -0.516 -0.692  -0.383 -0.692  -0.312 -0.754  -0.179 -0.754  -0.046 -0.754  0.087 -0.754  0.220 -0.754  0.352 -0.754  0.485 -0.754  0.618 -0.754  0.728 -0.777  0.822 -0.815  0.955 -0.815  1.088 -0.815  1.221 -0.815
2#tos#f1#f1078063/3  -0.417 1.265  -0.486 1.334  -0.348 1.335  -0.210 1.335  -0.071 1.335  0.067 1.335  0.202 1.313  0.333 1.269  0.413 1.208  0.454 1.087  0.551 0.989  0.621 0.879  0.621 0.741  0.593 0.615  0.541 0.502  0.405 0.475  0.269 0.448  0.206 0.362  0.133 0.297  0.016 0.245  -0.087 0.159  -0.225 0.159  -0.363 0.159  -0.501 0.159  -0.471 0.159  -0.341 0.121  -0.211 0.089  -0.072 0.089  -0.010 -0.033  0.090 -0.095  0.152 -0.219  0.219 -0.339  0.317 -0.436  0.413 -0.535  0.413 -0.673  0.413 -0.811  0.413 -0.949  0.343 -1.017  0.206 -1.018  0.205 -1.156  0.136 -1.225  -0.003 -1.225  -0.141 -1.225  -0.279 -1.225  -0.417 -1.225  -0.556 -1.225  -0.694 -1.225  -0.832 -1.225  -0.970 -1.225  -1.039 -1.156
2#tos#f1#f1078063/4  -0.727 1.105  -0.910 1.105  -0.945 0.954  -1.013 0.787  -1.077 0.619  -1.084 0.437  -1.084 0.254  -1.084 0.071  -1.013 -0.041  -0.994 -0.219  -0.876 -0.325  -0.697 -0.340  -0.527 -0.397  -0.344 -0.397  -0.161 -0.397  0.023 -0.397  0.206 -0.397  0.389 -0.397  0.569 -0.388  0.698 -0.259  0.879 -0.254  1.062 -0.254  1.216 -0.182  1.210 -0.076  1.115 0.080  1.019 0.236  0.924 0.393  0.828 0.549  0.733 0.705  0.637 0.861  0.542 1.018  0.408 1.105  0.225 1.105  0.131 1.015  0.131 0.832  0.011 0.699  -0.012 0.525  -0.012 0.342  -0.012 0.159  -0.012 -0.025  -0.012 -0.208  -0.012 -0.391  -0.012 -0.574  -0.012 -0.757  -0.012 -0.940  -0.012 -1.123  -0.049 -1.291  -0.083 -1.460  -0.083 -1.643  -0.083 -1.827
2#tos#f1#f1078063/5  -0.129 1.139  -0.255 1.202  -0.381 1.138  -0.443 0.964  -0.443 0.774  -0.443 0.585  -0.443 0.396  -0.443 0.207  -0.380 0.081  -0.277 -0.045  -0.171 -0.192  -0.034 -0.309  0.118 -0.371  0.240 -0.479  0.413 -0.530  0.500 -0.656  0.525 -0.835  0.563 -1.008  0.563 -1.198  0.490 -1.314  0.376 -1.436  0.253 -1.503  0.063 -1.503  -0.126 -1.503  -0.315 -1.503  -0.317 -1.316  -0.317 -1.127  -0.317 -0.937  -0.317 -0.748  -0.317 -0.559  -0.317 -0.370  -0.317 -0.181  -0.317 0.009  -0.317 0.198  -0.317 0.387  -0.317 0.576  -0.317 0.765  -0.322 0.950  -0.511 0.950  -0.501 0.887  -0.312 0.887  -0.123 0.887  0.063 0.865  0.246 0.825  0.435 0.825  0.624 0.825  0.813 0.825  1.002 0.825  1.192 0.825  1.381 0.825
2#tos#f1#f1078063/7  -0.505 0.946  -0.583 0.849  -0.714 0.784  -0.729 0.658  -0.678 0.564  -0.616 0.477  -0.562 0.344  -0.506 0.254  -0.505 0.110  -0.505 -0.035  -0.505 -0.181  -0.505 -0.087  -0.505 0.059  -0.505 0.204  -0.505 0.350  -0.505 0.495  -0.505 0.641  -0.518 0.773  -0.664 0.773  -0.661 0.773  -0.516 0.773  -0.370 0.773  -0.224 0.773  -0.079 0.773  0.067 0.773  0.212 0.773  0.334 0.715  0.480 0.715  0.568 0.658  0.694 0.612  0.706 0.471  0.706 0.325  0.706 0.180  0.706 0.034  0.706 -0.112  0.655 -0.207  0.648 -0.345  0.648 -0.491  0.578 -0.599  0.475 -0.689  0.475 -0.835  0.475 -0.981  0.425 -1.114  0.377 -1.252  0.318 -1.385  0.302 -1.527  0.302 -1.672  0.302 -1.818  0.302 -1.963  0.302 -2.109
2#tos#f1#f1078063/8  0.494 0.201  0.557 0.063  0.758 0.063  0.769 0.252  0.899 0.399  0.976 0.580  0.955 0.772  0.813 0.914  0.662 1.016  0.541 1.165  0.345 1.202  0.148 1.234  -0.053 1.234  -0.254 1.234  -0.454 1.234  -0.608 1.187  -0.677 1.055  -0.677 0.854  -0.664 0.657  -0.605 0.470  -0.539 0.285  -0.500 0.105  -0.333 -0.006  -0.270 -0.144  -0.195 -0.270  -0.115 -0.452  -0.057 -0.644  0.010 -0.829  0.012 -1.029  0.065 -1.177  0.081 -1.362  -0.029 -1.452  -0.230 -1.452  -0.431 -1.452  -0.632 -1.452  -0.677 -1.297  -0.677 -1.096  -0.677 -0.896  -0.608 -0.723  -0.608 -0.523  -0.491 -0.371  -0.333 -0.316  -0.194 -0.189  -0.036 -0.075  0.139 0.010  0.295 0.132  0.496 0.132  0.691 0.181  0.874 0.237  1.045 0.338
2#tos#f1#f1078063/9  0.535 0.160  0.535 0.313  0.535 0.466  0.468 0.551  0.463 0.698  0.333 0.722  0.256 0.843  0.130 0.904  0.058 1.038  -0.079 1.102  -0.232 1.102  -0.384 1.102  -0.534 1.082  -0.679 1.035  -0.806 0.972  -0.929 0.900  -0.945 0.764  -0.984 0.620  -1.012 0.474  -1.012 0.321  -0.971 0.186  -0.893 0.056  -0.759 0.025  -0.614 -0.006  -0.469 -0.042  -0.317 -0.042  -0.164 -0.042  -0.011 -0.042  0.141 -0.042  0.294 -0.042  0.419 0.025  0.572 0.025  0.657 0.093  0.668 0.222  0.620 0.077  0.535 -0.045  0.535 -0.198  0.535 -0.350  0.535 -0.503  0.434 -0.614  0.401 -0.753  0.401 -0.906  0.315 -1.030  0.224 -1.152  0.199 -1.296  0.199 -1.449  0.199 -1.602  0.199 -1.755  0.199 -1.907  0.199 -2.060
2#tos#f1#f1078063/A  -1.361 -0.855  -1.508 -1.003  -1.463 -0.917  -1.361 -0.763  -1.258 -0.610  -1.177 -0.483  -1.024 -0.426  -0.963 -0.258  -0.840 -0.090  -0.723 0.077  -0.621 0.252  -0.449 0.366  -0.336 0.537  -0.188 0.685  -0.074 0.847  0.060 0.921  0.171 1.066  0.219 1.263  0.355 1.393  0.477 1.466  0.477 1.258  0.538 1.110  0.545 0.902  0.611 0.704  0.661 0.504  0.661 0.295  0.661 0.086  0.661 -0.123  0.661 -0.331  0.716 -0.531  0.752 -0.732  0.784 -0.933  0.845 -1.116  0.880 -1.191  0.749 -1.029  0.618 -0.867  0.486 -0.704  0.355 -0.542  0.224 -0.380  0.092 -0.218  -0.039 -0.055  -0.191 0.064  -0.400 0.064  -0.520 0.064  -0.312 0.064  -0.103 0.064  0.106 0.064  0.310 0.038  0.514 0.002  0.722 0.002
2#tos#f1#f1078063/B  -0.091 1.173  -0.152 0.980  -0.152 0.725  -0.203 0.477  -0.309 0.246  -0.368 0.005  -0.459 -0.228  -0.459 -0.483  -0.582 -0.686  -0.582 -0.941  -0.705 -1.145  -0.686 -1.170  -0.644 -0.919  -0.602 -0.668  -0.560 -0.416  -0.519 -0.165  -0.477 0.086  -0.435 0.337  -0.393 0.589  -0.351 0.840  -0.336 1.093  -0.162 1.173  0.083 1.207  0.311 1.296  0.565 1.296  0.820 1.296  0.954 1.129  1.015 0.899  0.927 0.699  0.752 0.559  0.523 0.497  0.355 0.375  0.115 0.313  -0.091 0.228  -0.083 0.190  0.171 0.190  0.401 0.129  0.583 0.011  0.769 -0.106  0.831 -0.299  0.831 -0.554  0.710 -0.751  0.585 -0.916  0.401 -1.038  0.214 -1.147  -0.038 -1.164  -0.263 -1.272  -0.503 -1.346  -0.758 -1.346  -0.951 -1.284
2#tos#f1#f1078063/C  0.663 0.663  0.551 0.663  0.546 0.770  0.487 0.823  0.456 0.930  0.428 1.038  0.353 1.075  0.240 1.075  0.128 1.075  0.016 1.075  -0.097 1.075  -0.209 1.075  -0.309 1.045  -0.370 0.953  -0.443 0.875  -0.515 0.807  -0.576 0.720  -0.655 0.641  -0.692 0.543  -0.692 0.431  -0.692 0.319  -0.692 0.206  -0.735 0.104  -0.751 -0.004  -0.751 -0.117  -0.751 -0.229  -0.751 -0.341  -0.751 -0.454  -0.701 -0.516  -0.633 -0.560  -0.598 -0.651  -0.497 -0.701  -0.397 -0.752  -0.343 -0.810  -0.231 -0.810  -0.119 -0.810  -0.006 -0.810  0.106 -0.810  0.218 -0.810  0.331 -0.810  0.443 -0.810  0.555 -0.810  0.668 -0.810  0.780 -0.810  0.892 -0.810  1.005 -0.810  1.117 -0.810  1.229 -0.810  1.317 -0.751  1.429 -0.751
2#tos#f1#f1078063/H  -0.610 1.195  -0.763 1.102  -0.789 0.921  -0.789 0.730  -0.804 0.540  -0.849 0.354  -0.849 0.162  -0.849 -0.029  -0.849 -0.221  -0.909 -0.398  -0.909 -0.590  -0.909 -0.781  -0.909 -0.973  -0.900 -1.116  -0.834 -0.936  -0.768 -0.756  -0.702 -0.576  -0.635 -0.397  -0.569 -0.217  -0.503 -0.037  -0.644 -0.002  -0.836 -0.002  -0.671 -0.002  -0.479 -0.002  -0.295 0.043  -0.106 0.058  0.086 0.058  0.277 0.058  0.469 0.058  0.660 0.058  0.852 0.058  0.887 0.215  0.887 0.406  0.887 0.598  0.887 0.790  0.887 0.981  0.789 1.075  0.767 0.906  0.767 0.714  0.767 0.523  0.887 0.405  0.887 0.214  0.887 0.022  0.887 -0.169  0.887 -0.361  0.887 -0.553  0.887 -0.744  0.887 -0.936  0.887 -1.127  0.887 -1.319
2#tos#f1#f1078063/M  -0.319 0.818  -0.514 0.818  -0.523 0.632  -0.523 0.437  -0.625 0.306  -0.625 0.111  -0.625 -0.084  -0.704 -0.260  -0.778 -0.437  -0.793 -0.626  -0.829 -0.806  -0.829 -1.001  -0.818 -1.050  -0.787 -0.858  -0.757 -0.665  -0.727 -0.473  -0.696 -0.280  -0.666 -0.088  -0.635 0.105  -0.605 0.297  -0.575 0.490  -0.544 0.682  -0.580 0.818  -0.775 0.818  -0.703 0.768  -0.625 0.615  -0.474 0.511  -0.421 0.370  -0.289 0.307  -0.217 0.184  -0.058 0.144  0.039 -0.019  0.190 -0.101  0.363 -0.065  0.505 0.052  0.671 0.122  0.810 0.256  0.942 0.358  1.013 0.511  1.162 0.557  1.213 0.424  1.264 0.241  1.264 0.046  1.264 -0.149  1.264 -0.344  1.315 -0.517  1.315 -0.712  1.315 -0.907  1.366 -1.081  1.366 -1.276
