2#tos#t2#t2016065/\"  -0.563 1.405  -0.563 1.266  -0.563 1.128  -0.563 0.989  -0.563 0.851  -0.603 0.729  -0.701 0.631  -0.799 0.533  -0.817 0.402  -0.817 0.264  -0.817 0.126  -0.817 -0.013  -0.831 -0.148  -0.893 -0.272  -0.945 -0.398  -0.945 -0.537  -0.945 -0.675  -0.945 -0.813  -0.945 -0.952  -0.882 -0.963  -0.772 -0.879  -0.662 -0.795  -0.552 -0.711  -0.442 -0.627  -0.332 -0.543  -0.222 -0.458  -0.112 -0.374  -0.002 -0.290  0.108 -0.206  0.218 -0.122  0.328 -0.038  0.438 0.046  0.548 0.130  0.658 0.214  0.768 0.298  0.878 0.382  0.988 0.467  1.098 0.551  1.208 0.635  1.127 0.552  1.090 0.429  1.090 0.291  1.090 0.152  1.090 0.014  1.090 -0.125  1.083 -0.262  1.021 -0.385  0.959 -0.509  0.897 -0.633  0.835 -0.757
2#tos#t2#t2016065/^  -1.009 -1.348  -1.077 -1.419  -0.974 -1.419  -0.938 -1.352  -0.922 -1.253  -0.865 -1.168  -0.808 -1.082  -0.725 -1.054  -0.725 -0.950  -0.724 -0.848  -0.691 -0.750  -0.659 -0.652  -0.575 -0.599  -0.494 -0.540  -0.437 -0.454  -0.380 -0.368  -0.370 -0.268  -0.370 -0.165  -0.370 -0.062  -0.342 0.029  -0.269 0.102  -0.196 0.175  -0.109 0.213  -0.016 0.223  -0.016 0.326  -0.014 0.429  0.032 0.521  0.071 0.616  0.104 0.714  0.149 0.804  0.197 0.887  0.197 0.990  0.296 0.994  0.339 1.054  0.410 1.044  0.455 0.964  0.540 0.907  0.627 0.852  0.694 0.816  0.742 0.733  0.815 0.660  0.837 0.566  0.883 0.474  0.907 0.377  0.907 0.274  0.907 0.171  0.960 0.089  0.978 -0.006  0.978 -0.109  1.049 -0.141
2#tos#t2#t2016065/_  -1.051 0.188  -1.051 0.106  -1.051 0.024  -1.051 -0.057  -1.108 -0.083  -1.189 -0.083  -1.271 -0.083  -1.353 -0.083  -1.389 -0.083  -1.308 -0.083  -1.226 -0.083  -1.144 -0.083  -1.062 -0.083  -0.981 -0.083  -0.899 -0.083  -0.817 -0.083  -0.736 -0.083  -0.654 -0.083  -0.572 -0.083  -0.490 -0.083  -0.409 -0.083  -0.327 -0.083  -0.245 -0.083  -0.240 -0.006  -0.172 0.008  -0.090 0.008  -0.009 0.008  0.073 0.008  0.155 0.008  0.237 0.008  0.318 0.008  0.400 0.008  0.482 0.008  0.564 0.008  0.645 0.008  0.727 0.008  0.809 0.008  0.876 0.042  0.935 0.098  1.016 0.098  1.098 0.098  1.180 0.098  1.262 0.098  1.343 0.098  1.425 0.098  1.507 0.098  1.588 0.098  1.670 0.098  1.752 0.098  1.834 0.098
2#tos#t2#t2016065/{  0.427 1.193  0.384 1.236  0.342 1.279  0.300 1.347  0.257 1.390  0.187 1.406  0.102 1.406  0.035 1.380  0.008 1.299  0.001 1.214  -0.049 1.172  -0.076 1.091  -0.084 1.007  -0.084 0.921  -0.084 0.835  -0.084 0.750  -0.084 0.664  -0.084 0.578  -0.084 0.492  -0.084 0.407  -0.084 0.321  -0.084 0.235  -0.084 0.150  -0.056 0.071  -0.042 -0.012  -0.042 -0.097  -0.042 -0.183  -0.042 -0.269  -0.042 -0.355  -0.042 -0.440  -0.042 -0.526  -0.098 -0.556  -0.183 -0.556  -0.212 -0.527  -0.161 -0.581  -0.127 -0.646  -0.093 -0.717  -0.033 -0.778  0.001 -0.850  0.001 -0.936  0.001 -1.021  0.001 -1.107  0.001 -1.193  0.001 -1.278  0.042 -1.323  0.044 -1.407  0.044 -1.493  0.044 -1.579  0.044 -1.664  0.044 -1.750
2#tos#t2#t2016065/|  0.096 1.565  0.021 1.565  -0.054 1.565  -0.112 1.547  -0.112 1.472  -0.112 1.397  -0.112 1.322  -0.112 1.247  -0.112 1.172  -0.112 1.097  -0.112 1.022  -0.112 0.947  -0.112 0.871  -0.112 0.796  -0.112 0.721  -0.112 0.646  -0.069 0.589  -0.032 0.524  -0.008 0.455  -0.008 0.380  -0.001 0.306  0.032 0.239  0.044 0.167  0.048 0.092  0.053 0.017  0.057 -0.058  0.061 -0.133  0.066 -0.208  0.070 -0.283  0.075 -0.358  0.079 -0.433  0.083 -0.508  0.088 -0.583  0.092 -0.658  0.081 -0.718  0.006 -0.718  0.002 -0.770  0.044 -0.803  0.044 -0.878  0.044 -0.953  0.044 -1.028  0.044 -1.103  0.044 -1.178  0.044 -1.253  0.044 -1.328  0.044 -1.403  0.044 -1.478  0.044 -1.554  0.044 -1.629  0.044 -1.704
2#tos#t2#t2016065/}  -0.159 1.482  -0.237 1.482  -0.230 1.482  -0.152 1.479  -0.082 1.444  -0.027 1.388  0.005 1.330  0.032 1.278  0.032 1.199  0.070 1.137  0.072 1.058  0.096 0.984  0.108 0.907  0.108 0.829  0.106 0.750  0.087 0.674  0.070 0.598  0.070 0.519  0.070 0.441  0.053 0.365  0.032 0.290  0.032 0.211  0.032 0.133  -0.018 0.085  -0.044 0.023  -0.044 -0.056  -0.044 -0.134  -0.044 -0.213  -0.044 -0.291  -0.022 -0.347  -0.006 -0.334  -0.044 -0.375  -0.044 -0.453  -0.044 -0.532  -0.044 -0.610  -0.044 -0.689  -0.044 -0.767  -0.044 -0.846  -0.040 -0.923  -0.006 -0.987  0.016 -1.062  0.032 -1.138  0.032 -1.217  0.032 -1.295  0.048 -1.370  0.070 -1.443  0.070 -1.522  0.070 -1.600  0.034 -1.643  0.032 -1.719
2#tos#t2#t2016065/0  0.204 0.808  0.152 0.905  0.058 0.960  -0.037 1.050  -0.185 1.051  -0.285 1.002  -0.404 0.930  -0.526 0.851  -0.534 0.711  -0.672 0.700  -0.728 0.586  -0.789 0.464  -0.818 0.318  -0.828 0.171  -0.858 0.025  -0.866 -0.123  -0.866 -0.272  -0.866 -0.420  -0.866 -0.569  -0.856 -0.715  -0.774 -0.838  -0.670 -0.945  -0.575 -1.054  -0.464 -1.116  -0.318 -1.137  -0.169 -1.137  -0.020 -1.137  0.129 -1.137  0.276 -1.129  0.417 -1.082  0.544 -1.025  0.591 -0.896  0.684 -0.781  0.738 -0.648  0.783 -0.524  0.884 -0.429  0.884 -0.280  0.884 -0.132  0.884 0.017  0.884 0.166  0.884 0.315  0.862 0.460  0.836 0.606  0.753 0.704  0.628 0.784  0.487 0.808  0.338 0.808  0.189 0.808  0.040 0.808  -0.040 0.711
2#tos#t2#t2016065/3  -0.695 1.007  -0.839 0.975  -0.802 0.957  -0.653 0.957  -0.509 0.976  -0.373 1.024  -0.249 1.106  -0.100 1.106  0.049 1.106  0.197 1.106  0.346 1.106  0.495 1.106  0.590 1.024  0.689 0.974  0.675 0.829  0.590 0.709  0.541 0.581  0.425 0.504  0.292 0.437  0.159 0.371  0.103 0.238  -0.030 0.216  -0.126 0.154  -0.201 0.052  -0.304 -0.032  -0.345 -0.032  -0.196 -0.032  -0.048 -0.032  0.101 -0.032  0.250 -0.032  0.397 -0.036  0.506 -0.130  0.640 -0.183  0.640 -0.332  0.602 -0.465  0.532 -0.584  0.427 -0.690  0.322 -0.795  0.245 -0.920  0.105 -0.968  0.046 -1.099  -0.032 -1.169  -0.181 -1.169  -0.329 -1.169  -0.390 -1.291  -0.459 -1.416  -0.574 -1.470  -0.695 -1.515  -0.843 -1.515  -0.992 -1.515
2#tos#t2#t2016065/4  0.506 1.425  0.302 1.425  0.111 1.373  0.014 1.243  -0.081 1.105  -0.270 1.029  -0.366 0.895  -0.502 0.770  -0.596 0.606  -0.701 0.481  -0.799 0.335  -0.874 0.146  -0.914 -0.054  -1.061 -0.161  -1.079 -0.346  -1.018 -0.519  -0.814 -0.519  -0.610 -0.519  -0.406 -0.519  -0.202 -0.519  0.002 -0.519  0.206 -0.519  0.409 -0.519  0.562 -0.467  0.715 -0.416  0.848 -0.364  0.788 -0.169  0.727 0.025  0.667 0.220  0.606 0.415  0.546 0.609  0.485 0.804  0.425 0.999  0.302 1.097  0.302 0.935  0.251 0.743  0.251 0.539  0.251 0.335  0.175 0.149  0.148 -0.049  0.148 -0.252  0.103 -0.449  0.097 -0.652  0.097 -0.856  0.097 -1.060  0.071 -1.261  0.046 -1.462  0.046 -1.666  0.046 -1.870  -0.056 -2.001
2#tos#t2#t2016065/5  0.106 1.458  0.052 1.299  -0.008 1.187  -0.056 1.065  -0.073 0.900  -0.110 0.745  -0.164 0.586  -0.164 0.415  -0.164 0.243  -0.164 0.072  -0.164 -0.099  -0.069 -0.211  -0.056 -0.375  0.104 -0.406  0.246 -0.488  0.322 -0.615  0.322 -0.786  0.322 -0.957  0.322 -1.129  0.273 -1.288  0.162 -1.353  0.045 -1.407  -0.126 -1.407  -0.298 -1.407  -0.469 -1.407  -0.562 -1.314  -0.691 -1.245  -0.705 -1.087  -0.645 -0.927  -0.582 -0.768  -0.520 -0.608  -0.458 -0.449  -0.396 -0.289  -0.334 -0.129  -0.272 0.030  -0.210 0.190  -0.148 0.349  -0.086 0.509  -0.024 0.669  0.038 0.828  -0.082 0.863  -0.075 0.971  0.096 0.971  0.267 0.971  0.438 0.971  0.610 0.971  0.781 0.971  0.952 0.971  1.124 0.971  1.295 0.971
2#tos#t2#t2016065/6  0.202 1.917  0.202 1.760  0.088 1.717  0.056 1.568  0.031 1.417  -0.114 1.404  -0.140 1.274  -0.140 1.116  -0.197 0.983  -0.236 0.839  -0.330 0.713  -0.425 0.593  -0.425 0.436  -0.425 0.279  -0.543 0.192  -0.581 0.040  -0.626 -0.110  -0.653 -0.263  -0.653 -0.420  -0.698 -0.566  -0.710 -0.721  -0.710 -0.878  -0.665 -1.024  -0.547 -1.105  -0.447 -1.162  -0.290 -1.162  -0.152 -1.116  -0.002 -1.077  0.151 -1.045  0.259 -0.954  0.339 -0.877  0.483 -0.822  0.601 -0.738  0.664 -0.624  0.810 -0.565  0.943 -0.517  0.947 -0.364  1.000 -0.260  1.000 -0.103  0.886 -0.016  0.781 0.036  0.628 0.064  0.476 0.093  0.319 0.093  0.162 0.093  0.014 0.055  -0.127 -0.015  -0.282 -0.022  -0.439 -0.022  -0.482 -0.136
2#tos#t2#t2016065/7  -0.326 0.948  -0.466 0.948  -0.510 0.852  -0.553 0.723  -0.594 0.608  -0.719 0.545  -0.747 0.419  -0.794 0.288  -0.830 0.157  -0.876 0.037  -0.786 -0.013  -0.751 0.120  -0.660 0.209  -0.622 0.338  -0.601 0.476  -0.601 0.615  -0.555 0.709  -0.426 0.719  -0.287 0.719  -0.193 0.673  -0.053 0.673  0.086 0.673  0.225 0.673  0.365 0.673  0.504 0.673  0.644 0.673  0.783 0.673  0.905 0.631  0.912 0.582  0.909 0.445  0.847 0.320  0.798 0.196  0.700 0.097  0.666 -0.028  0.567 -0.127  0.489 -0.236  0.462 -0.373  0.451 -0.511  0.415 -0.646  0.376 -0.780  0.296 -0.885  0.184 -0.969  0.151 -1.102  0.131 -1.239  0.110 -1.377  0.087 -1.515  -0.006 -1.616  -0.007 -1.755  -0.051 -1.888  -0.052 -2.027
2#tos#t2#t2016065/8  0.647 0.514  0.731 0.624  0.731 0.820  0.731 1.015  0.611 1.145  0.549 1.289  0.382 1.360  0.187 1.360  -0.009 1.360  -0.204 1.360  -0.381 1.311  -0.534 1.194  -0.682 1.094  -0.707 0.903  -0.707 0.707  -0.679 0.516  -0.645 0.336  -0.463 0.264  -0.284 0.207  -0.247 0.048  -0.077 -0.033  0.100 -0.079  0.233 -0.181  0.367 -0.280  0.530 -0.332  0.562 -0.496  0.689 -0.589  0.689 -0.785  0.640 -0.949  0.511 -1.069  0.393 -1.172  0.246 -1.221  0.068 -1.263  -0.108 -1.344  -0.303 -1.348  -0.463 -1.263  -0.641 -1.221  -0.791 -1.116  -0.791 -0.921  -0.723 -0.748  -0.604 -0.618  -0.482 -0.479  -0.358 -0.346  -0.284 -0.188  -0.113 -0.163  0.046 -0.071  0.170 0.079  0.333 0.158  0.484 0.266  0.647 0.344
2#tos#t2#t2016065/B  -0.333 1.113  -0.387 1.004  -0.387 0.734  -0.387 0.464  -0.389 0.195  -0.489 -0.056  -0.494 -0.325  -0.494 -0.595  -0.602 -0.757  -0.602 -1.027  -0.655 -1.275  -0.634 -1.065  -0.610 -0.797  -0.586 -0.528  -0.563 -0.259  -0.539 0.010  -0.515 0.279  -0.491 0.548  -0.467 0.817  -0.443 1.086  -0.529 1.132  -0.295 1.220  -0.065 1.260  0.191 1.274  0.461 1.274  0.731 1.274  0.795 1.068  0.795 0.798  0.659 0.588  0.432 0.467  0.246 0.285  0.031 0.133  -0.118 -0.012  -0.331 -0.069  -0.242 -0.085  0.021 -0.069  0.282 -0.015  0.552 -0.015  0.814 -0.051  1.080 -0.069  1.168 -0.280  1.121 -0.541  0.967 -0.660  0.817 -0.837  0.570 -0.944  0.421 -1.116  0.179 -1.237  -0.021 -1.358  -0.225 -1.465  -0.441 -1.520
2#tos#t2#t2016065/C  0.526 0.751  0.476 0.809  0.476 0.918  0.459 1.019  0.415 1.106  0.313 1.140  0.206 1.153  0.098 1.153  -0.010 1.153  -0.106 1.123  -0.176 1.044  -0.176 0.936  -0.251 0.902  -0.359 0.902  -0.377 0.812  -0.423 0.736  -0.525 0.702  -0.602 0.626  -0.678 0.549  -0.678 0.441  -0.678 0.333  -0.678 0.225  -0.678 0.117  -0.678 0.008  -0.678 -0.100  -0.678 -0.208  -0.678 -0.316  -0.678 -0.424  -0.668 -0.531  -0.634 -0.634  -0.549 -0.692  -0.458 -0.750  -0.369 -0.811  -0.278 -0.854  -0.170 -0.854  -0.064 -0.869  0.041 -0.895  0.148 -0.904  0.257 -0.904  0.365 -0.904  0.473 -0.904  0.581 -0.904  0.689 -0.904  0.777 -0.854  0.882 -0.827  0.987 -0.803  1.090 -0.791  1.167 -0.714  1.220 -0.653  1.328 -0.653
2#tos#t2#t2016065/D  -0.092 0.614  -0.295 0.614  -0.311 0.589  -0.344 0.391  -0.344 0.189  -0.344 -0.014  -0.386 -0.207  -0.386 -0.410  -0.390 -0.612  -0.471 -0.790  -0.486 -0.990  -0.510 -1.117  -0.494 -0.915  -0.479 -0.713  -0.463 -0.511  -0.448 -0.309  -0.432 -0.106  -0.417 0.096  -0.401 0.298  -0.385 0.500  -0.370 0.702  -0.354 0.904  -0.376 1.099  -0.336 1.170  -0.147 1.203  0.056 1.203  0.259 1.203  0.462 1.203  0.655 1.161  0.819 1.046  1.002 0.984  1.046 0.825  1.128 0.704  1.128 0.502  1.128 0.299  1.044 0.148  0.951 -0.026  0.854 -0.175  0.789 -0.341  0.609 -0.410  0.481 -0.567  0.338 -0.707  0.157 -0.797  -0.023 -0.881  -0.170 -0.985  -0.353 -1.012  -0.432 -1.196  -0.632 -1.229  -0.818 -1.306  -1.018 -1.321
2#tos#t2#t2016065/E  -0.245 1.459  -0.495 1.418  -0.595 1.289  -0.588 0.980  -0.513 0.680  -0.495 0.372  -0.495 0.062  -0.495 -0.247  -0.495 -0.557  -0.445 -0.862  -0.410 -1.164  -0.393 -1.317  -0.387 -1.008  -0.380 -0.698  -0.373 -0.388  -0.367 -0.078  -0.360 0.231  -0.354 0.541  -0.347 0.851  -0.445 0.860  -0.189 0.944  0.069 1.008  0.344 1.127  0.619 1.197  0.836 1.359  0.939 1.311  0.764 1.055  0.588 0.800  0.412 0.545  0.237 0.289  0.061 0.034  -0.129 -0.193  -0.331 -0.343  -0.120 -0.243  0.131 -0.134  0.421 -0.069  0.663 0.058  0.816 0.121  0.586 -0.087  0.356 -0.295  0.126 -0.503  -0.103 -0.711  -0.231 -0.943  -0.363 -1.162  -0.392 -1.344  -0.083 -1.344  0.227 -1.344  0.515 -1.271  0.797 -1.146  1.107 -1.143
2#tos#t2#t2016065/H  -0.288 0.871  -0.430 0.920  -0.620 0.920  -0.714 1.016  -0.818 0.930  -0.818 0.740  -0.818 0.549  -0.818 0.359  -0.818 0.169  -0.818 -0.021  -0.818 -0.212  -0.818 -0.402  -0.818 -0.592  -0.818 -0.783  -0.818 -0.973  -0.818 -1.163  -0.758 -1.196  -0.715 -1.010  -0.673 -0.825  -0.631 -0.639  -0.589 -0.454  -0.547 -0.268  -0.638 -0.189  -0.711 -0.093  -0.521 -0.093  -0.334 -0.088  -0.245 0.052  -0.055 0.052  0.136 0.052  0.326 0.052  0.514 0.071  0.700 0.100  0.874 0.121  0.913 0.307  0.952 0.493  0.991 0.680  1.030 0.866  1.025 1.016  0.917 0.934  0.917 0.743  0.917 0.553  0.917 0.363  0.917 0.172  0.917 -0.018  0.917 -0.208  0.917 -0.398  0.879 -0.584  0.869 -0.773  0.869 -0.963  0.869 -1.153
2#tos#t2#t2016065/J  -0.314 1.076  -0.432 1.076  -0.532 1.014  -0.566 0.914  -0.453 0.908  -0.334 0.908  -0.218 0.921  -0.103 0.950  0.016 0.950  0.130 0.972  0.246 0.992  0.359 1.014  0.469 1.057  0.579 1.088  0.551 1.068  0.461 0.991  0.371 0.914  0.312 0.824  0.194 0.824  0.147 0.752  0.147 0.634  0.147 0.515  0.189 0.406  0.231 0.298  0.231 0.180  0.231 0.061  0.231 -0.057  0.266 -0.167  0.315 -0.274  0.334 -0.388  0.357 -0.501  0.357 -0.620  0.357 -0.738  0.357 -0.856  0.357 -0.975  0.357 -1.093  0.251 -1.105  0.216 -1.189  0.098 -1.189  -0.020 -1.189  -0.139 -1.189  -0.257 -1.189  -0.356 -1.169  -0.410 -1.105  -0.529 -1.105  -0.647 -1.105  -0.748 -1.077  -0.832 -1.021  -0.950 -1.021  -1.027 -0.979
