2#apb#apb07#app0799/b  -0.043 1.893  -0.075 1.768  -0.104 1.642  -0.133 1.516  -0.162 1.390  -0.191 1.264  -0.220 1.138  -0.249 1.012  -0.294 0.891  -0.341 0.771  -0.387 0.650  -0.425 0.527  -0.460 0.403  -0.492 0.277  -0.517 0.151  -0.489 0.144  -0.405 0.235  -0.293 0.299  -0.177 0.355  -0.058 0.406  0.070 0.412  0.199 0.412  0.309 0.351  0.414 0.276  0.508 0.187  0.599 0.096  0.690 0.004  0.726 -0.119  0.758 -0.244  0.788 -0.370  0.814 -0.496  0.839 -0.623  0.822 -0.749  0.791 -0.874  0.697 -0.958  0.585 -1.022  0.470 -1.079  0.345 -1.099  0.216 -1.099  0.086 -1.099  -0.039 -1.068  -0.163 -1.034  -0.287 -0.997  -0.408 -0.953  -0.530 -0.909  -0.646 -0.852  -0.758 -0.788  -0.863 -0.714  -0.823 -0.673  -0.695 -0.655
2#apb#apb07#app0799/h  -0.704 -1.511  -0.672 -1.352  -0.629 -1.196  -0.580 -1.041  -0.531 -0.886  -0.482 -0.732  -0.432 -0.577  -0.384 -0.422  -0.347 -0.264  -0.309 -0.107  -0.271 0.051  -0.226 0.207  -0.179 0.362  -0.131 0.517  -0.089 0.674  -0.050 0.831  -0.011 0.989  0.025 1.147  0.060 1.306  0.109 1.460  0.167 1.611  0.182 1.652  0.136 1.497  0.086 1.343  0.035 1.189  -0.017 1.035  -0.070 0.882  -0.124 0.729  -0.179 0.576  -0.236 0.424  -0.295 0.273  -0.368 0.128  -0.430 -0.019  -0.450 -0.180  -0.369 -0.301  -0.213 -0.283  -0.052 -0.264  0.109 -0.254  0.272 -0.249  0.434 -0.249  0.596 -0.249  0.727 -0.336  0.770 -0.492  0.782 -0.653  0.778 -0.814  0.748 -0.974  0.720 -1.134  0.697 -1.294  0.672 -1.455  0.726 -1.595
2#apb#apb07#app0799/o  -0.011 1.167  0.082 1.212  -0.013 1.167  -0.126 1.098  -0.230 1.002  -0.342 0.918  -0.442 0.819  -0.534 0.712  -0.626 0.605  -0.687 0.481  -0.728 0.346  -0.768 0.211  -0.801 0.075  -0.787 -0.065  -0.773 -0.206  -0.759 -0.346  -0.716 -0.480  -0.666 -0.612  -0.617 -0.744  -0.523 -0.849  -0.430 -0.955  -0.336 -1.060  -0.241 -1.164  -0.101 -1.180  0.039 -1.195  0.179 -1.210  0.320 -1.194  0.460 -1.179  0.599 -1.161  0.712 -1.076  0.799 -0.973  0.843 -0.839  0.866 -0.704  0.839 -0.565  0.811 -0.427  0.783 -0.289  0.726 -0.160  0.667 -0.032  0.607 0.096  0.547 0.224  0.488 0.351  0.424 0.477  0.357 0.601  0.289 0.725  0.222 0.849  0.144 0.965  0.044 1.065  -0.056 1.165  -0.196 1.167  -0.337 1.167
2#apb#apb07#app0799/m  -1.204 -0.967  -1.134 -0.916  -1.111 -0.808  -1.076 -0.703  -1.041 -0.598  -1.020 -0.490  -1.010 -0.380  -1.000 -0.270  -0.985 -0.160  -0.967 -0.051  -0.949 0.058  -0.924 0.166  -0.886 0.270  -0.848 0.374  -0.812 0.479  -0.781 0.585  -0.738 0.684  -0.650 0.748  -0.547 0.715  -0.456 0.656  -0.378 0.578  -0.311 0.490  -0.255 0.395  -0.198 0.300  -0.151 0.201  -0.116 0.096  -0.084 -0.010  -0.054 -0.117  0.037 -0.165  0.144 -0.142  0.212 -0.059  0.273 0.033  0.363 0.097  0.455 0.159  0.550 0.216  0.630 0.288  0.715 0.337  0.823 0.329  0.911 0.263  1.000 0.196  1.081 0.122  1.153 0.038  1.225 -0.046  1.290 -0.136  1.354 -0.226  1.405 -0.324  1.450 -0.425  1.495 -0.526  1.539 -0.628  1.582 -0.730
2#apb#apb07#app0799/e  -1.220 0.145  -1.062 0.145  -0.905 0.145  -0.747 0.145  -0.590 0.145  -0.432 0.145  -0.275 0.145  -0.117 0.145  0.039 0.157  0.191 0.199  0.343 0.240  0.484 0.307  0.625 0.365  0.624 0.489  0.517 0.601  0.399 0.704  0.268 0.785  0.116 0.827  -0.036 0.868  -0.192 0.880  -0.350 0.880  -0.505 0.870  -0.646 0.800  -0.784 0.726  -0.885 0.605  -0.981 0.481  -1.059 0.344  -1.087 0.205  -1.023 0.061  -0.956 -0.081  -0.835 -0.182  -0.714 -0.283  -0.593 -0.384  -0.464 -0.472  -0.323 -0.543  -0.182 -0.613  -0.041 -0.684  0.103 -0.741  0.260 -0.755  0.417 -0.769  0.574 -0.784  0.731 -0.798  0.888 -0.809  1.043 -0.783  1.199 -0.757  1.354 -0.731  1.509 -0.705  1.656 -0.650  1.798 -0.584  1.868 -0.443
2#apb#apb07#app0799/o  0.709 0.596  0.763 0.726  0.654 0.829  0.506 0.880  0.350 0.894  0.194 0.909  0.040 0.889  -0.113 0.854  -0.266 0.818  -0.400 0.742  -0.525 0.648  -0.644 0.547  -0.755 0.436  -0.857 0.318  -0.928 0.178  -0.998 0.038  -1.034 -0.113  -1.047 -0.268  -0.991 -0.414  -0.934 -0.561  -0.878 -0.707  -0.774 -0.824  -0.669 -0.941  -0.564 -1.057  -0.420 -1.118  -0.274 -1.176  -0.123 -1.217  0.032 -1.242  0.186 -1.268  0.325 -1.208  0.459 -1.127  0.584 -1.036  0.664 -0.901  0.745 -0.767  0.792 -0.620  0.815 -0.465  0.837 -0.310  0.841 -0.154  0.817 0.001  0.793 0.156  0.734 0.294  0.629 0.411  0.524 0.527  0.417 0.642  0.306 0.753  0.188 0.853  0.041 0.908  -0.108 0.940  -0.258 0.901  -0.384 0.807
2#apb#apb07#app0799/n  -1.257 -0.805  -1.179 -0.863  -1.102 -0.921  -1.091 -0.927  -1.083 -0.833  -1.032 -0.751  -0.980 -0.668  -0.929 -0.586  -0.879 -0.503  -0.838 -0.415  -0.798 -0.327  -0.757 -0.239  -0.716 -0.151  -0.676 -0.063  -0.636 0.025  -0.607 0.118  -0.579 0.210  -0.550 0.303  -0.522 0.396  -0.493 0.488  -0.457 0.577  -0.395 0.651  -0.333 0.726  -0.271 0.800  -0.180 0.829  -0.086 0.846  0.007 0.821  0.101 0.795  0.194 0.770  0.288 0.744  0.373 0.705  0.433 0.629  0.494 0.554  0.554 0.478  0.615 0.402  0.675 0.327  0.729 0.246  0.781 0.164  0.833 0.082  0.885 0.001  0.937 -0.081  0.988 -0.164  1.035 -0.248  1.082 -0.333  1.129 -0.418  1.176 -0.503  1.216 -0.591  1.254 -0.680  1.292 -0.769  1.349 -0.846
2#apb#apb07#app0799/t  0.239 2.075  0.333 2.006  0.355 1.872  0.377 1.739  0.395 1.606  0.411 1.472  0.427 1.337  0.443 1.203  0.414 1.072  0.383 0.941  0.352 0.809  0.323 0.677  0.304 0.544  0.285 0.410  0.265 0.277  0.240 0.144  0.215 0.011  0.190 -0.121  0.158 -0.252  0.121 -0.382  0.084 -0.512  0.058 -0.644  0.047 -0.778  0.036 -0.913  0.007 -1.044  -0.025 -1.175  -0.048 -1.308  -0.151 -1.345  -0.255 -1.294  -0.315 -1.174  -0.375 -1.053  -0.436 -0.932  -0.496 -0.812  -0.556 -0.691  -0.617 -0.570  -0.677 -0.449  -0.738 -0.329  -0.798 -0.208  -0.812 -0.133  -0.688 -0.176  -0.553 -0.176  -0.418 -0.176  -0.283 -0.176  -0.148 -0.176  -0.013 -0.176  0.122 -0.176  0.257 -0.176  0.392 -0.179  0.520 -0.221  0.648 -0.264
2#apb#apb07#app0799/i  -0.400 1.612  -0.362 1.552  -0.325 1.493  -0.288 1.433  -0.250 1.373  -0.213 1.313  -0.175 1.254  -0.138 1.194  -0.101 1.134  -0.063 1.074  -0.026 1.014  0.011 0.955  0.049 0.895  0.062 0.828  0.062 0.758  0.062 0.687  0.062 0.617  0.062 0.546  0.062 0.476  0.062 0.405  0.062 0.335  0.062 0.264  0.062 0.194  0.062 0.123  0.062 0.053  0.062 -0.018  0.062 -0.088  0.062 -0.159  0.062 -0.229  0.062 -0.299  0.062 -0.370  0.062 -0.440  0.062 -0.511  0.062 -0.581  0.062 -0.652  0.062 -0.722  0.062 -0.793  0.062 -0.863  0.062 -0.934  0.062 -1.004  0.062 -1.075  0.062 -1.145  0.062 -1.216  0.062 -1.286  0.062 -1.357  0.062 -1.427  0.062 -1.498  0.062 -1.568  0.062 -1.639  0.062 -1.709
2#apb#apb07#app0799/m  -1.451 -0.648  -1.380 -0.708  -1.304 -0.648  -1.241 -0.599  -1.217 -0.501  -1.192 -0.404  -1.151 -0.312  -1.106 -0.222  -1.061 -0.132  -1.021 -0.040  -0.981 0.053  -0.946 0.147  -0.919 0.244  -0.891 0.341  -0.835 0.424  -0.744 0.459  -0.649 0.489  -0.555 0.527  -0.462 0.510  -0.368 0.473  -0.284 0.417  -0.200 0.361  -0.134 0.289  -0.078 0.205  -0.018 0.124  0.053 0.053  0.107 -0.028  0.135 -0.125  0.162 -0.222  0.194 -0.318  0.239 -0.229  0.277 -0.136  0.309 -0.041  0.366 0.034  0.452 0.086  0.541 0.134  0.638 0.156  0.738 0.172  0.837 0.163  0.937 0.149  1.030 0.116  1.118 0.066  1.205 0.016  1.304 0.011  1.405 0.011  1.487 -0.046  1.560 -0.113  1.620 -0.192  1.703 -0.247  1.774 -0.319
2#apb#apb07#app0799/e  -1.452 0.141  -1.292 0.096  -1.131 0.062  -0.965 0.062  -0.800 0.048  -0.636 0.025  -0.470 0.022  -0.304 0.022  -0.139 0.030  0.026 0.045  0.192 0.060  0.352 0.103  0.507 0.157  0.636 0.261  0.717 0.398  0.724 0.563  0.584 0.636  0.433 0.705  0.301 0.805  0.168 0.904  0.014 0.958  -0.148 0.994  -0.303 0.973  -0.451 0.899  -0.592 0.813  -0.722 0.709  -0.811 0.571  -0.893 0.427  -0.920 0.264  -0.928 0.100  -0.892 -0.062  -0.852 -0.222  -0.745 -0.348  -0.637 -0.474  -0.494 -0.555  -0.346 -0.629  -0.187 -0.674  -0.024 -0.706  0.138 -0.739  0.301 -0.768  0.467 -0.758  0.632 -0.747  0.798 -0.737  0.963 -0.722  1.127 -0.695  1.290 -0.668  1.454 -0.644  1.619 -0.625  1.778 -0.591  1.911 -0.492
