3#apa#apa20#app2014/0  0.831 0.491  0.708 0.615  0.545 0.778  0.382 0.941  0.182 1.053  -0.046 1.060  -0.238 0.966  -0.402 0.900  -0.582 0.781  -0.725 0.604  -0.855 0.418  -0.925 0.202  -0.989 -0.018  -1.066 -0.231  -1.066 -0.461  -1.046 -0.687  -0.971 -0.900  -0.794 -1.020  -0.673 -1.176  -0.491 -1.311  -0.261 -1.311  -0.030 -1.311  0.178 -1.216  0.393 -1.151  0.568 -1.005  0.731 -0.842  0.736 -0.614  0.736 -0.384  0.736 -0.153  0.709 0.071  0.606 0.277  0.478 0.465  0.315 0.628  0.152 0.791  -0.002 0.880  0.210 0.970  0.422 1.061  0.634 1.152  0.459 1.060  0.428 0.847  0.325 0.650  0.270 0.426  0.173 0.218  0.098 -0.000  0.006 -0.211  -0.097 -0.417  -0.117 -0.642  -0.212 -0.850  -0.212 -1.081  -0.212 -1.311
3#apa#apa20#app2014/b  -0.804 1.188  -0.697 1.276  -0.697 1.471  -0.734 1.650  -0.707 1.720  -0.642 1.558  -0.584 1.386  -0.497 1.212  -0.410 1.037  -0.323 0.863  -0.272 0.681  -0.244 0.493  -0.166 0.316  -0.166 0.122  -0.125 -0.064  -0.059 -0.243  -0.059 -0.438  -0.051 -0.629  0.047 -0.783  0.047 -0.978  0.028 -1.153  -0.166 -1.151  -0.229 -0.983  -0.378 -0.912  -0.383 -0.718  -0.470 -0.544  -0.485 -0.353  -0.485 -0.158  -0.471 0.031  -0.334 0.168  -0.165 0.231  -0.014 0.337  0.181 0.337  0.376 0.337  0.570 0.337  0.721 0.230  0.879 0.143  1.048 0.080  1.186 -0.057  1.217 -0.239  1.199 -0.426  1.062 -0.564  0.924 -0.702  0.745 -0.751  0.570 -0.834  0.375 -0.834  0.189 -0.869  0.011 -0.940  -0.184 -0.940  -0.378 -0.940
3#apa#apa20#app2014/e  -0.945 -0.449  -0.786 -0.449  -0.628 -0.449  -0.469 -0.449  -0.311 -0.449  -0.152 -0.449  0.000 -0.423  0.142 -0.352  0.284 -0.281  0.439 -0.270  0.598 -0.270  0.756 -0.270  0.894 -0.219  1.006 -0.107  1.158 -0.091  1.201 0.025  1.201 0.183  1.201 0.341  1.201 0.500  1.176 0.648  1.064 0.760  0.934 0.847  0.792 0.918  0.649 0.982  0.490 0.982  0.332 0.982  0.173 0.982  0.015 0.982  -0.117 0.916  -0.229 0.804  -0.387 0.803  -0.545 0.803  -0.669 0.720  -0.776 0.604  -0.847 0.462  -0.918 0.321  -0.945 0.169  -0.945 0.010  -0.945 -0.148  -0.945 -0.307  -0.933 -0.460  -0.821 -0.572  -0.709 -0.684  -0.597 -0.797  -0.485 -0.909  -0.373 -1.021  -0.261 -1.133  -0.115 -1.164  0.016 -1.230  0.128 -1.342
3#apa#apa20#app2014/f  0.074 1.555  -0.035 1.656  -0.186 1.656  -0.305 1.733  -0.446 1.756  -0.529 1.688  -0.529 1.538  -0.529 1.387  -0.525 1.237  -0.488 1.091  -0.451 0.944  -0.403 0.802  -0.336 0.668  -0.269 0.533  -0.228 0.392  -0.179 0.253  -0.102 0.125  -0.007 0.010  0.060 -0.125  0.128 -0.260  0.195 -0.394  0.262 -0.529  0.285 -0.674  0.352 -0.809  0.375 -0.955  0.442 -1.089  0.475 -1.232  0.449 -1.356  0.326 -1.297  0.231 -1.181  0.135 -1.064  0.040 -0.947  -0.055 -0.831  -0.151 -0.714  -0.246 -0.597  -0.342 -0.481  -0.437 -0.364  -0.529 -0.246  -0.473 -0.152  -0.324 -0.156  -0.213 -0.252  -0.062 -0.252  0.084 -0.262  0.197 -0.352  0.348 -0.352  0.499 -0.352  0.642 -0.385  0.776 -0.453  0.927 -0.453  1.078 -0.453
3#apa#apa20#app2014/o  0.522 0.879  0.375 0.879  0.228 0.879  0.080 0.879  -0.067 0.879  -0.213 0.874  -0.344 0.808  -0.476 0.742  -0.608 0.676  -0.739 0.610  -0.853 0.519  -0.957 0.415  -1.061 0.311  -1.073 0.168  -1.073 0.021  -1.073 -0.126  -1.073 -0.273  -0.974 -0.380  -0.928 -0.508  -0.868 -0.630  -0.764 -0.734  -0.660 -0.838  -0.522 -0.861  -0.375 -0.861  -0.231 -0.890  -0.089 -0.926  0.054 -0.961  0.197 -0.997  0.343 -1.006  0.490 -1.006  0.638 -1.006  0.750 -0.923  0.872 -0.861  0.957 -0.799  0.957 -0.651  0.957 -0.504  0.957 -0.357  0.957 -0.210  0.957 -0.063  0.903 0.062  0.799 0.167  0.695 0.271  0.608 0.388  0.526 0.511  0.444 0.633  0.359 0.752  0.254 0.856  0.150 0.960  0.046 1.065  -0.058 1.169
3#apa#apa20#app2014/r  -0.453 0.456  -0.594 0.456  -0.640 0.362  -0.606 0.235  -0.506 0.135  -0.453 0.017  -0.453 -0.124  -0.453 -0.265  -0.372 -0.373  -0.272 -0.472  -0.173 -0.572  -0.071 -0.666  0.070 -0.666  0.181 -0.739  0.280 -0.838  0.296 -0.973  0.347 -1.092  0.447 -1.192  0.573 -1.228  0.670 -1.271  0.670 -1.412  0.572 -1.317  0.483 -1.213  0.483 -1.072  0.406 -0.964  0.306 -0.864  0.296 -0.727  0.239 -0.610  0.140 -0.510  0.109 -0.382  0.093 -0.244  0.048 -0.110  0.004 0.023  -0.041 0.157  -0.094 0.285  -0.194 0.385  -0.265 0.496  -0.265 0.637  -0.265 0.778  -0.265 0.919  -0.265 1.060  -0.265 1.200  -0.265 1.341  -0.265 1.482  -0.221 1.579  -0.081 1.579  0.060 1.579  0.201 1.579  0.342 1.579  0.483 1.579
3#apa#apa20#app2014/e  -0.463 0.206  -0.316 0.206  -0.168 0.206  -0.020 0.206  0.127 0.206  0.275 0.206  0.423 0.206  0.570 0.206  0.718 0.206  0.866 0.206  0.993 0.255  1.098 0.360  1.120 0.498  1.033 0.558  0.944 0.617  0.913 0.734  0.767 0.736  0.662 0.840  0.543 0.910  0.396 0.910  0.248 0.910  0.100 0.910  -0.047 0.910  -0.195 0.910  -0.327 0.871  -0.431 0.766  -0.535 0.662  -0.640 0.558  -0.744 0.453  -0.849 0.349  -0.953 0.244  -0.991 0.112  -0.991 -0.035  -0.991 -0.183  -0.985 -0.328  -0.880 -0.432  -0.776 -0.537  -0.672 -0.641  -0.639 -0.776  -0.573 -0.883  -0.441 -0.949  -0.309 -1.015  -0.200 -1.113  -0.090 -1.208  0.050 -1.255  0.190 -1.302  0.330 -1.349  0.473 -1.377  0.621 -1.377  0.768 -1.377
3#apa#apa20#app2014/'  1.080 1.108  1.006 1.108  0.932 1.108  0.858 1.108  0.783 1.108  0.709 1.108  0.635 1.108  0.561 1.108  0.501 1.075  0.448 1.022  0.396 0.970  0.343 0.917  0.291 0.865  0.238 0.812  0.186 0.760  0.133 0.708  0.081 0.655  0.029 0.603  -0.013 0.546  -0.013 0.471  -0.013 0.397  -0.013 0.323  -0.013 0.249  -0.013 0.175  -0.013 0.101  -0.013 0.026  -0.041 -0.041  -0.074 -0.107  -0.107 -0.174  -0.140 -0.240  -0.173 -0.306  -0.207 -0.373  -0.240 -0.439  -0.273 -0.505  -0.306 -0.572  -0.339 -0.638  -0.372 -0.704  -0.406 -0.771  -0.439 -0.837  -0.472 -0.903  -0.505 -0.970  -0.538 -1.036  -0.559 -1.105  -0.559 -1.180  -0.559 -1.254  -0.559 -1.328  -0.559 -1.402  -0.559 -1.476  -0.559 -1.550  -0.559 -1.625
3#apa#apa20#app2014/6  0.434 1.380  0.382 1.482  0.228 1.482  0.073 1.482  -0.049 1.406  -0.184 1.366  -0.253 1.228  -0.347 1.108  -0.457 0.999  -0.535 0.867  -0.604 0.729  -0.673 0.591  -0.742 0.453  -0.788 0.310  -0.789 0.156  -0.837 0.009  -0.886 -0.137  -0.889 -0.291  -0.889 -0.445  -0.889 -0.600  -0.820 -0.725  -0.711 -0.834  -0.602 -0.944  -0.455 -0.962  -0.301 -0.962  -0.147 -0.962  0.008 -0.962  0.162 -0.962  0.316 -0.962  0.467 -0.928  0.616 -0.891  0.752 -0.836  0.821 -0.698  0.918 -0.580  0.996 -0.449  1.045 -0.306  1.045 -0.152  1.045 0.003  0.945 0.057  0.892 0.158  0.738 0.158  0.584 0.158  0.429 0.158  0.275 0.158  0.153 0.081  0.044 -0.028  -0.065 -0.138  -0.102 -0.276  -0.177 -0.400  -0.177 -0.554
3#apa#apa20#app2014/  0.390 0.910  0.424 0.979  0.445 1.051  0.445 1.128  0.445 1.205  0.445 1.282  0.441 1.355  0.390 1.330  0.390 1.253  0.359 1.183  0.334 1.112  0.334 1.035  0.299 0.968  0.256 0.904  0.223 0.837  0.223 0.760  0.223 0.683  0.215 0.607  0.190 0.534  0.166 0.461  0.147 0.386  0.129 0.312  0.110 0.237  0.091 0.162  0.073 0.087  0.053 0.013  0.018 -0.056  -0.016 -0.125  -0.051 -0.194  -0.085 -0.263  -0.120 -0.331  -0.154 -0.400  -0.189 -0.469  -0.223 -0.538  -0.223 -0.615  -0.223 -0.692  -0.259 -0.758  -0.301 -0.823  -0.340 -0.889  -0.364 -0.962  -0.388 -1.035  -0.413 -1.108  -0.437 -1.181  -0.468 -1.251  -0.501 -1.321  -0.501 -1.398  -0.501 -1.475  -0.501 -1.552  -0.501 -1.629  -0.501 -1.706
3#apa#apa20#app2014/7  -0.690 0.663  -0.760 0.734  -0.806 0.815  -0.820 0.909  -0.890 0.979  -0.865 1.010  -0.765 1.010  -0.665 1.010  -0.568 1.004  -0.497 0.934  -0.414 0.895  -0.322 0.874  -0.251 0.804  -0.162 0.779  -0.062 0.779  0.038 0.779  0.133 0.767  0.203 0.696  0.290 0.663  0.379 0.637  0.449 0.566  0.520 0.495  0.593 0.431  0.693 0.431  0.700 0.338  0.700 0.238  0.700 0.138  0.668 0.052  0.597 -0.019  0.584 -0.113  0.538 -0.194  0.467 -0.265  0.396 -0.335  0.336 -0.413  0.291 -0.503  0.246 -0.592  0.202 -0.681  0.157 -0.771  0.107 -0.856  0.037 -0.927  -0.034 -0.998  -0.105 -1.068  -0.111 -1.166  -0.164 -1.244  -0.227 -1.318  -0.227 -1.417  -0.227 -1.517  -0.170 -1.594  -0.111 -1.669  -0.111 -1.769
3#apa#apa20#app2014/  0.524 1.463  0.507 1.516  0.446 1.491  0.404 1.435  0.373 1.372  0.366 1.303  0.352 1.238  0.302 1.188  0.256 1.135  0.234 1.068  0.212 1.001  0.207 0.932  0.207 0.861  0.195 0.792  0.173 0.725  0.151 0.658  0.134 0.589  0.117 0.521  0.099 0.452  0.077 0.385  0.055 0.318  0.036 0.250  0.019 0.182  0.002 0.113  -0.012 0.044  -0.024 -0.026  -0.035 -0.095  -0.047 -0.165  -0.059 -0.234  -0.082 -0.301  -0.104 -0.368  -0.123 -0.437  -0.140 -0.505  -0.157 -0.574  -0.163 -0.643  -0.163 -0.714  -0.175 -0.782  -0.207 -0.845  -0.232 -0.911  -0.254 -0.978  -0.280 -1.044  -0.311 -1.107  -0.322 -1.175  -0.327 -1.244  -0.359 -1.308  -0.375 -1.374  -0.375 -1.445  -0.375 -1.516  -0.375 -1.586  -0.375 -1.657
3#apa#apa20#app2014/8  0.509 1.192  0.391 1.294  0.171 1.294  -0.034 1.259  -0.189 1.104  -0.303 0.932  -0.405 0.754  -0.405 0.535  -0.359 0.334  -0.240 0.153  -0.068 0.076  0.151 0.076  0.352 0.122  0.507 0.277  0.590 0.462  0.610 0.674  0.610 0.893  0.509 1.011  0.482 1.219  0.293 1.294  0.186 1.165  0.155 0.947  0.124 0.730  0.093 0.513  0.061 0.296  0.030 0.078  -0.011 -0.127  -0.230 -0.127  -0.434 -0.192  -0.608 -0.266  -0.718 -0.440  -0.873 -0.595  -0.912 -0.798  -0.912 -1.018  -0.845 -1.209  -0.690 -1.364  -0.534 -1.520  -0.327 -1.548  -0.107 -1.548  0.110 -1.541  0.265 -1.386  0.366 -1.243  0.509 -1.167  0.509 -0.947  0.509 -0.728  0.498 -0.511  0.395 -0.318  0.240 -0.163  0.085 -0.007  -0.100 0.076
3#apa#apa20#app2014/9  0.641 0.054  0.641 0.208  0.641 0.362  0.554 0.479  0.446 0.588  0.337 0.696  0.304 0.836  0.199 0.947  0.091 1.055  0.054 1.179  -0.099 1.179  -0.146 1.286  -0.294 1.292  -0.448 1.292  -0.487 1.175  -0.596 1.067  -0.705 0.958  -0.813 0.849  -0.821 0.699  -0.821 0.545  -0.821 0.392  -0.802 0.242  -0.734 0.105  -0.640 -0.014  -0.504 -0.058  -0.390 -0.152  -0.281 -0.261  -0.137 -0.283  0.017 -0.283  0.171 -0.283  0.318 -0.269  0.427 -0.160  0.538 -0.058  0.641 -0.008  0.550 0.054  0.435 -0.039  0.410 -0.184  0.341 -0.321  0.304 -0.466  0.254 -0.608  0.192 -0.747  0.192 -0.900  0.192 -1.054  0.174 -1.200  0.079 -1.315  0.079 -1.468  0.079 -1.622  0.079 -1.775  0.079 -1.929  0.079 -2.083
