3#apb#apb38#app3892/W  -0.438 1.255  -0.533 1.347  -0.607 1.236  -0.640 1.084  -0.665 0.931  -0.689 0.777  -0.712 0.624  -0.732 0.469  -0.752 0.315  -0.771 0.161  -0.791 0.007  -0.791 -0.148  -0.778 -0.303  -0.766 -0.458  -0.749 -0.612  -0.716 -0.764  -0.679 -0.915  -0.618 -1.057  -0.491 -1.108  -0.361 -1.024  -0.273 -0.896  -0.190 -0.764  -0.118 -0.627  -0.051 -0.487  0.002 -0.341  0.004 -0.217  -0.021 -0.370  0.015 -0.522  0.078 -0.660  0.174 -0.782  0.311 -0.850  0.457 -0.889  0.609 -0.858  0.730 -0.764  0.818 -0.640  0.881 -0.498  0.918 -0.349  0.936 -0.195  0.949 -0.040  0.943 0.115  0.936 0.271  0.878 0.415  0.821 0.559  0.739 0.689  0.640 0.809  0.544 0.931  0.476 1.071  0.409 1.211  0.352 1.355  0.312 1.505
3#apb#apb38#app3892/e  -1.069 -0.857  -1.194 -0.775  -1.132 -0.833  -0.992 -0.877  -0.834 -0.862  -0.683 -0.822  -0.536 -0.763  -0.389 -0.704  -0.260 -0.614  -0.135 -0.516  -0.010 -0.419  0.115 -0.322  0.224 -0.208  0.333 -0.093  0.441 0.023  0.547 0.140  0.639 0.269  0.732 0.397  0.825 0.525  0.919 0.652  1.018 0.776  1.102 0.905  1.087 1.056  0.965 1.157  0.816 1.195  0.659 1.216  0.504 1.221  0.357 1.161  0.211 1.101  0.065 1.040  -0.079 0.973  -0.222 0.906  -0.353 0.825  -0.434 0.690  -0.516 0.554  -0.582 0.414  -0.591 0.256  -0.600 0.098  -0.599 -0.058  -0.523 -0.197  -0.446 -0.336  -0.370 -0.474  -0.287 -0.608  -0.175 -0.720  -0.063 -0.832  0.049 -0.944  0.174 -1.040  0.303 -1.133  0.431 -1.225  0.559 -1.318
3#apb#apb38#app3892/n  -1.684 -0.722  -1.810 -0.791  -1.703 -0.705  -1.598 -0.601  -1.494 -0.497  -1.384 -0.399  -1.270 -0.306  -1.156 -0.213  -1.043 -0.118  -0.931 -0.024  -0.817 0.071  -0.697 0.155  -0.576 0.239  -0.455 0.323  -0.330 0.401  -0.205 0.479  -0.063 0.495  0.008 0.382  0.019 0.242  -0.012 0.098  -0.053 -0.043  -0.101 -0.182  -0.185 -0.302  -0.276 -0.418  -0.359 -0.453  -0.264 -0.341  -0.178 -0.222  -0.086 -0.107  0.014 0.001  0.115 0.108  0.228 0.202  0.345 0.292  0.461 0.382  0.575 0.475  0.688 0.569  0.814 0.640  0.955 0.683  1.067 0.665  1.023 0.525  0.978 0.385  0.940 0.242  0.895 0.103  0.829 -0.029  0.861 -0.169  0.964 -0.250  1.107 -0.283  1.253 -0.300  1.395 -0.287  1.530 -0.227  1.664 -0.167
3#apb#apb38#app3892/n  -1.869 -0.374  -1.905 -0.518  -1.776 -0.507  -1.644 -0.426  -1.517 -0.338  -1.385 -0.257  -1.252 -0.178  -1.118 -0.100  -0.994 -0.007  -0.872 0.087  -0.749 0.182  -0.618 0.264  -0.483 0.339  -0.347 0.413  -0.201 0.463  -0.054 0.512  0.087 0.469  0.136 0.338  0.119 0.186  0.084 0.035  -0.011 -0.087  -0.107 -0.208  -0.207 -0.327  -0.307 -0.445  -0.416 -0.554  -0.397 -0.473  -0.313 -0.345  -0.199 -0.240  -0.086 -0.134  0.024 -0.025  0.133 0.084  0.247 0.189  0.366 0.288  0.486 0.386  0.616 0.470  0.747 0.552  0.888 0.614  1.020 0.618  0.999 0.467  0.943 0.323  0.898 0.175  0.857 0.026  0.842 -0.128  0.899 -0.270  1.029 -0.335  1.184 -0.322  1.335 -0.289  1.485 -0.253  1.630 -0.198  1.774 -0.141
3#apb#apb38#app3892/e  -1.503 -0.620  -1.523 -0.769  -1.491 -0.917  -1.385 -0.991  -1.236 -0.970  -1.091 -0.926  -0.950 -0.872  -0.821 -0.791  -0.693 -0.711  -0.563 -0.632  -0.431 -0.557  -0.299 -0.483  -0.173 -0.400  -0.076 -0.284  0.021 -0.167  0.119 -0.050  0.221 0.062  0.331 0.166  0.442 0.270  0.553 0.374  0.643 0.494  0.719 0.625  0.794 0.757  0.826 0.905  0.836 1.053  0.787 1.194  0.660 1.278  0.511 1.285  0.359 1.285  0.242 1.191  0.126 1.093  0.018 0.988  -0.055 0.855  -0.121 0.719  -0.151 0.570  -0.181 0.421  -0.211 0.272  -0.193 0.123  -0.165 -0.026  -0.128 -0.172  -0.047 -0.300  0.037 -0.426  0.162 -0.513  0.287 -0.599  0.424 -0.649  0.575 -0.657  0.727 -0.666  0.876 -0.649  1.023 -0.610  1.170 -0.571
3#apb#apb38#app3892/s  -1.547 -0.531  -1.676 -0.641  -1.778 -0.774  -1.704 -0.778  -1.557 -0.694  -1.419 -0.599  -1.305 -0.473  -1.189 -0.351  -1.064 -0.237  -0.938 -0.123  -0.810 -0.012  -0.682 0.099  -0.554 0.209  -0.420 0.313  -0.287 0.418  -0.151 0.518  -0.012 0.615  0.130 0.707  0.281 0.783  0.433 0.859  0.594 0.911  0.758 0.950  0.919 0.951  1.016 0.817  1.043 0.654  1.006 0.489  0.954 0.328  0.901 0.167  0.811 0.028  0.708 -0.102  0.645 -0.259  0.555 -0.401  0.388 -0.406  0.231 -0.371  0.097 -0.267  -0.036 -0.163  -0.170 -0.059  -0.255 0.087  -0.321 0.168  -0.162 0.110  -0.029 0.006  0.111 -0.089  0.260 -0.170  0.412 -0.244  0.567 -0.312  0.724 -0.375  0.885 -0.427  1.049 -0.468  1.213 -0.451  1.376 -0.406
3#apb#apb38#app3892/s  -1.873 -0.712  -1.784 -0.628  -1.601 -0.627  -1.420 -0.578  -1.245 -0.508  -1.088 -0.403  -0.930 -0.298  -0.785 -0.178  -0.646 -0.050  -0.508 0.078  -0.379 0.216  -0.255 0.358  -0.131 0.501  -0.005 0.642  0.129 0.775  0.262 0.909  0.396 1.042  0.541 1.163  0.687 1.283  0.854 1.345  0.982 1.225  0.971 1.039  0.951 0.851  0.929 0.663  0.907 0.476  0.892 0.288  0.892 0.099  0.888 -0.090  0.854 -0.275  0.815 -0.460  0.741 -0.627  0.569 -0.704  0.395 -0.709  0.223 -0.632  0.055 -0.545  -0.110 -0.454  -0.276 -0.363  -0.441 -0.271  -0.552 -0.121  -0.627 0.051  -0.572 0.147  -0.407 0.073  -0.273 -0.061  -0.145 -0.199  -0.018 -0.340  0.116 -0.472  0.262 -0.591  0.409 -0.711  0.586 -0.776  0.763 -0.840
3#apb#apb38#app3892/e  -1.100 -0.404  -1.100 -0.381  -1.100 -0.550  -1.100 -0.719  -1.045 -0.874  -0.911 -0.919  -0.756 -0.853  -0.597 -0.795  -0.439 -0.737  -0.310 -0.633  -0.190 -0.513  -0.071 -0.394  0.043 -0.270  0.158 -0.146  0.272 -0.022  0.369 0.116  0.461 0.258  0.552 0.400  0.636 0.546  0.716 0.694  0.796 0.843  0.838 1.005  0.871 1.171  0.769 1.295  0.650 1.414  0.513 1.504  0.353 1.451  0.213 1.358  0.090 1.247  0.010 1.098  -0.070 0.950  -0.144 0.798  -0.210 0.643  -0.277 0.488  -0.328 0.328  -0.369 0.164  -0.410 0.000  -0.425 -0.166  -0.413 -0.334  -0.401 -0.502  -0.312 -0.641  -0.207 -0.772  -0.078 -0.870  0.084 -0.918  0.248 -0.946  0.417 -0.946  0.586 -0.946  0.746 -0.893  0.906 -0.840  1.066 -0.786
3#apb#apb38#app3892/e  -0.899 -0.681  -0.894 -0.666  -0.954 -0.772  -0.813 -0.773  -0.662 -0.726  -0.516 -0.663  -0.386 -0.572  -0.255 -0.482  -0.116 -0.407  0.024 -0.332  0.149 -0.237  0.262 -0.124  0.370 -0.009  0.471 0.114  0.571 0.237  0.650 0.375  0.725 0.514  0.792 0.658  0.838 0.810  0.885 0.962  0.824 1.106  0.758 1.251  0.660 1.375  0.542 1.454  0.387 1.420  0.233 1.381  0.115 1.277  -0.002 1.169  -0.113 1.057  -0.188 0.917  -0.263 0.777  -0.335 0.636  -0.399 0.490  -0.462 0.345  -0.518 0.197  -0.538 0.039  -0.557 -0.118  -0.555 -0.275  -0.518 -0.429  -0.482 -0.584  -0.428 -0.731  -0.345 -0.866  -0.262 -1.002  -0.134 -1.087  0.010 -1.154  0.154 -1.221  0.308 -1.205  0.465 -1.177  0.621 -1.149  0.777 -1.120
3#apb#apb38#app3892/K  0.078 0.968  0.230 0.957  0.090 0.727  -0.111 0.540  -0.355 0.417  -0.443 0.564  -0.273 0.779  -0.074 0.967  0.150 1.125  0.385 1.096  0.337 0.827  0.245 0.568  0.126 0.321  -0.000 0.078  -0.141 -0.158  -0.306 -0.377  -0.482 -0.588  -0.680 -0.778  -0.882 -0.964  -1.084 -1.149  -1.236 -1.317  -1.044 -1.121  -0.852 -0.925  -0.660 -0.728  -0.468 -0.532  -0.276 -0.335  -0.084 -0.139  0.108 0.058  0.300 0.254  0.492 0.450  0.683 0.647  0.875 0.843  1.067 1.040  1.259 1.236  1.094 1.159  0.960 0.920  0.822 0.683  0.694 0.439  0.528 0.221  0.366 -0.001  0.173 -0.193  -0.046 -0.358  -0.270 -0.516  -0.521 -0.553  -0.342 -0.573  -0.172 -0.785  -0.071 -1.040  -0.044 -1.312  -0.053 -1.584  -0.093 -1.855
3#apb#apb38#app3892/a  -0.333 0.507  -0.185 0.638  -0.042 0.773  0.089 0.920  0.246 1.031  0.421 1.116  0.508 1.241  0.355 1.216  0.184 1.117  0.029 0.996  -0.119 0.865  -0.267 0.735  -0.419 0.609  -0.577 0.490  -0.735 0.372  -0.893 0.253  -1.008 0.097  -1.105 -0.075  -1.201 -0.247  -1.240 -0.441  -1.279 -0.634  -1.220 -0.815  -1.119 -0.978  -0.934 -1.047  -0.742 -1.019  -0.549 -0.978  -0.388 -0.870  -0.236 -0.743  -0.085 -0.617  0.054 -0.478  0.168 -0.317  0.282 -0.156  0.393 0.007  0.497 0.175  0.602 0.342  0.698 0.515  0.635 0.613  0.493 0.491  0.439 0.301  0.387 0.110  0.352 -0.084  0.318 -0.278  0.362 -0.458  0.463 -0.628  0.636 -0.714  0.822 -0.774  1.018 -0.802  1.213 -0.818  1.409 -0.792  1.605 -0.766
3#apb#apb38#app3892/n  -1.792 -0.645  -1.683 -0.558  -1.570 -0.459  -1.453 -0.364  -1.340 -0.265  -1.227 -0.166  -1.117 -0.065  -1.008 0.039  -0.900 0.143  -0.791 0.247  -0.672 0.337  -0.548 0.422  -0.423 0.507  -0.289 0.568  -0.142 0.600  -0.003 0.571  -0.017 0.421  -0.057 0.278  -0.111 0.138  -0.176 0.003  -0.265 -0.118  -0.354 -0.239  -0.450 -0.355  -0.543 -0.472  -0.578 -0.572  -0.481 -0.458  -0.383 -0.344  -0.285 -0.230  -0.181 -0.122  -0.075 -0.016  0.032 0.091  0.150 0.182  0.272 0.270  0.394 0.358  0.519 0.441  0.644 0.524  0.780 0.589  0.897 0.540  0.950 0.415  0.941 0.266  0.955 0.116  0.957 -0.034  0.989 -0.180  1.070 -0.294  1.197 -0.375  1.344 -0.394  1.494 -0.402  1.637 -0.369  1.776 -0.313  1.916 -0.257
3#apb#apb38#app3892/s  -1.881 -0.630  -1.813 -0.729  -1.661 -0.826  -1.478 -0.842  -1.323 -0.744  -1.169 -0.644  -1.033 -0.521  -0.900 -0.394  -0.767 -0.267  -0.645 -0.130  -0.527 0.011  -0.409 0.152  -0.292 0.293  -0.170 0.431  -0.045 0.566  0.079 0.701  0.204 0.836  0.341 0.959  0.479 1.080  0.636 1.172  0.802 1.154  0.893 0.999  0.955 0.829  0.955 0.646  0.931 0.465  0.879 0.289  0.806 0.122  0.708 -0.033  0.584 -0.168  0.406 -0.213  0.226 -0.203  0.044 -0.173  -0.130 -0.115  -0.302 -0.050  -0.460 0.043  -0.611 0.148  -0.625 0.128  -0.504 -0.010  -0.370 -0.133  -0.208 -0.220  -0.042 -0.298  0.127 -0.371  0.298 -0.439  0.469 -0.505  0.651 -0.506  0.834 -0.496  1.010 -0.445  1.184 -0.386  1.350 -0.307  1.514 -0.225
3#apb#apb38#app3892/a  0.425 1.099  0.275 1.034  0.132 0.953  -0.017 0.885  -0.166 0.817  -0.316 0.749  -0.465 0.681  -0.599 0.588  -0.729 0.488  -0.859 0.388  -0.972 0.269  -1.083 0.148  -1.191 0.026  -1.223 -0.135  -1.255 -0.296  -1.263 -0.457  -1.226 -0.617  -1.189 -0.776  -1.064 -0.883  -0.924 -0.943  -0.761 -0.931  -0.601 -0.909  -0.481 -0.797  -0.360 -0.686  -0.240 -0.575  -0.131 -0.452  -0.022 -0.329  0.086 -0.206  0.195 -0.083  0.279 0.058  0.363 0.199  0.448 0.339  0.532 0.480  0.611 0.624  0.690 0.768  0.769 0.892  0.724 0.734  0.679 0.576  0.646 0.416  0.627 0.253  0.608 0.090  0.615 -0.071  0.652 -0.231  0.698 -0.386  0.814 -0.502  0.936 -0.609  1.091 -0.661  1.251 -0.683  1.414 -0.672  1.578 -0.660
3#apb#apb38#app3892/s  -1.506 -0.260  -1.591 -0.359  -1.662 -0.487  -1.570 -0.608  -1.389 -0.591  -1.217 -0.522  -1.071 -0.413  -0.931 -0.293  -0.797 -0.166  -0.679 -0.024  -0.561 0.118  -0.442 0.259  -0.318 0.397  -0.195 0.534  -0.071 0.671  0.050 0.811  0.168 0.953  0.286 1.095  0.421 1.217  0.582 1.306  0.748 1.277  0.822 1.117  0.882 0.943  0.937 0.767  0.965 0.585  0.992 0.402  1.016 0.219  1.030 0.035  1.030 -0.150  1.001 -0.332  0.914 -0.478  0.760 -0.581  0.576 -0.583  0.392 -0.576  0.210 -0.546  0.028 -0.515  -0.140 -0.441  -0.302 -0.353  -0.455 -0.250  -0.602 -0.138  -0.624 -0.166  -0.455 -0.241  -0.279 -0.298  -0.102 -0.348  0.075 -0.401  0.252 -0.454  0.429 -0.507  0.613 -0.525  0.797 -0.541  0.981 -0.558
3#apb#apb38#app3892/O  0.120 0.853  0.013 0.763  -0.016 0.607  0.049 0.461  0.193 0.394  0.355 0.396  0.514 0.428  0.648 0.516  0.766 0.626  0.734 0.774  0.610 0.852  0.503 0.971  0.410 1.095  0.255 1.141  0.096 1.130  -0.048 1.059  -0.180 0.965  -0.312 0.872  -0.430 0.760  -0.533 0.636  -0.630 0.506  -0.715 0.368  -0.799 0.230  -0.857 0.078  -0.915 -0.073  -0.953 -0.230  -0.992 -0.388  -0.996 -0.549  -0.996 -0.711  -0.957 -0.868  -0.897 -1.015  -0.792 -1.139  -0.648 -1.206  -0.494 -1.252  -0.333 -1.239  -0.172 -1.224  -0.020 -1.167  0.131 -1.109  0.272 -1.030  0.411 -0.946  0.533 -0.840  0.647 -0.726  0.752 -0.604  0.838 -0.467  0.893 -0.317  0.919 -0.158  0.874 -0.002  0.800 0.141  0.718 0.280  0.633 0.358
3#apb#apb38#app3892/r  -1.385 -0.593  -1.385 -0.716  -1.331 -0.792  -1.209 -0.828  -1.080 -0.828  -0.955 -0.793  -0.834 -0.749  -0.730 -0.671  -0.626 -0.593  -0.541 -0.494  -0.457 -0.396  -0.389 -0.287  -0.343 -0.165  -0.299 -0.043  -0.285 0.086  -0.271 0.215  -0.261 0.344  -0.256 0.474  -0.250 0.604  -0.249 0.734  -0.265 0.863  -0.281 0.992  -0.282 1.121  -0.282 1.251  -0.238 1.268  -0.193 1.147  -0.112 1.048  -0.006 0.974  0.104 0.904  0.210 0.829  0.314 0.765  0.348 0.644  0.410 0.533  0.489 0.430  0.572 0.335  0.625 0.217  0.689 0.104  0.710 -0.024  0.680 -0.148  0.630 -0.268  0.587 -0.391  0.586 -0.520  0.608 -0.646  0.656 -0.767  0.778 -0.803  0.904 -0.834  1.031 -0.859  1.159 -0.883  1.289 -0.892  1.418 -0.900
3#apb#apb38#app3892/e  -1.703 -0.753  -1.646 -0.786  -1.501 -0.802  -1.359 -0.827  -1.226 -0.893  -1.080 -0.901  -0.934 -0.886  -0.791 -0.848  -0.649 -0.810  -0.520 -0.739  -0.394 -0.661  -0.269 -0.582  -0.153 -0.491  -0.043 -0.392  0.068 -0.294  0.178 -0.196  0.285 -0.094  0.389 0.011  0.494 0.116  0.599 0.220  0.687 0.338  0.767 0.462  0.847 0.587  0.865 0.732  0.877 0.879  0.813 1.004  0.721 1.119  0.601 1.198  0.464 1.253  0.323 1.231  0.181 1.191  0.053 1.126  -0.052 1.021  -0.154 0.915  -0.188 0.771  -0.221 0.627  -0.207 0.482  -0.183 0.336  -0.159 0.190  -0.110 0.051  -0.053 -0.086  0.003 -0.222  0.103 -0.326  0.221 -0.415  0.338 -0.505  0.460 -0.587  0.602 -0.629  0.744 -0.670  0.886 -0.712  1.028 -0.753
3#apb#apb38#app3892/g  -0.072 1.288  -0.074 1.401  -0.167 1.377  -0.255 1.296  -0.336 1.207  -0.414 1.115  -0.492 1.023  -0.544 0.915  -0.591 0.804  -0.605 0.704  -0.492 0.677  -0.382 0.711  -0.282 0.778  -0.188 0.852  -0.100 0.934  0.009 0.943  0.094 0.858  0.145 0.749  0.206 0.646  0.286 0.556  0.358 0.460  0.428 0.362  0.497 0.263  0.565 0.163  0.631 0.063  0.682 -0.046  0.725 -0.158  0.744 -0.277  0.762 -0.396  0.727 -0.511  0.693 -0.627  0.645 -0.737  0.588 -0.843  0.523 -0.944  0.444 -1.035  0.362 -1.120  0.246 -1.152  0.129 -1.183  0.011 -1.200  -0.109 -1.200  -0.230 -1.200  -0.342 -1.168  -0.449 -1.112  -0.553 -1.052  -0.634 -0.963  -0.691 -0.862  -0.711 -0.744  -0.671 -0.630  -0.602 -0.535  -0.517 -0.450
