2#apb#apb14#app1470/H  -1.154 0.756  -1.148 0.963  -1.075 0.728  -1.036 0.484  -1.018 0.236  -1.026 -0.011  -1.037 -0.259  -1.056 -0.506  -1.110 -0.746  -1.273 -0.889  -1.038 -0.809  -0.804 -0.728  -0.569 -0.648  -0.335 -0.567  -0.101 -0.486  0.134 -0.406  0.368 -0.325  0.603 -0.245  0.837 -0.164  1.072 -0.084  1.306 -0.003  1.540 0.078  1.775 0.158  1.587 0.149  1.341 0.118  1.094 0.096  0.848 0.066  0.603 0.028  0.357 -0.001  0.110 -0.008  -0.138 -0.022  -0.384 -0.049  -0.632 -0.054  -0.878 -0.075  -1.110 -0.120  -0.945 -0.006  -0.743 0.139  -0.542 0.284  -0.341 0.428  -0.139 0.573  0.062 0.718  0.263 0.862  0.482 0.813  0.661 0.642  0.765 0.418  0.809 0.175  0.830 -0.072  0.812 -0.318  0.757 -0.559  0.616 -0.754
2#apb#apb14#app1470/t  -0.903 1.628  -0.826 1.489  -0.752 1.349  -0.727 1.192  -0.702 1.035  -0.677 0.878  -0.650 0.721  -0.619 0.566  -0.588 0.410  -0.556 0.254  -0.534 0.097  -0.517 -0.061  -0.500 -0.219  -0.484 -0.377  -0.448 -0.532  -0.413 -0.687  -0.372 -0.840  -0.327 -0.992  -0.279 -1.144  -0.229 -1.295  -0.183 -1.447  -0.126 -1.504  -0.042 -1.368  0.041 -1.233  0.125 -1.098  0.209 -0.963  0.293 -0.828  0.376 -0.693  0.460 -0.558  0.544 -0.423  0.627 -0.288  0.711 -0.153  0.795 -0.018  0.878 0.117  0.962 0.252  1.046 0.387  1.129 0.522  1.169 0.642  1.012 0.665  0.857 0.637  0.703 0.598  0.552 0.551  0.403 0.496  0.254 0.440  0.104 0.391  -0.052 0.359  -0.208 0.328  -0.362 0.290  -0.513 0.240  -0.663 0.189
2#apb#apb14#app1470/l  -0.387 1.587  -0.316 1.537  -0.298 1.439  -0.306 1.337  -0.314 1.234  -0.332 1.133  -0.358 1.034  -0.385 0.934  -0.411 0.835  -0.436 0.735  -0.454 0.634  -0.472 0.532  -0.490 0.431  -0.510 0.330  -0.541 0.232  -0.571 0.134  -0.602 0.036  -0.639 -0.060  -0.685 -0.152  -0.731 -0.244  -0.781 -0.334  -0.831 -0.423  -0.848 -0.525  -0.854 -0.608  -0.762 -0.613  -0.663 -0.588  -0.565 -0.557  -0.467 -0.525  -0.369 -0.492  -0.267 -0.483  -0.164 -0.476  -0.062 -0.469  0.039 -0.449  0.139 -0.426  0.239 -0.403  0.341 -0.387  0.443 -0.373  0.545 -0.360  0.647 -0.350  0.750 -0.350  0.853 -0.350  0.956 -0.350  1.059 -0.350  1.161 -0.350  1.259 -0.381  1.355 -0.417  1.451 -0.455  1.512 -0.531  1.573 -0.601  1.550 -0.700
2#apb#apb14#app1470/e  -0.769 0.479  -0.831 0.356  -0.884 0.186  -0.938 0.015  -0.907 -0.161  -0.876 -0.337  -0.833 -0.511  -0.788 -0.684  -0.676 -0.823  -0.545 -0.941  -0.394 -1.037  -0.234 -1.117  -0.069 -1.181  0.106 -1.218  0.280 -1.260  0.455 -1.296  0.633 -1.311  0.811 -1.295  0.820 -1.178  0.729 -1.024  0.637 -0.871  0.546 -0.717  0.454 -0.563  0.363 -0.410  0.272 -0.256  0.180 -0.102  0.089 0.051  -0.003 0.205  -0.094 0.359  -0.185 0.512  -0.277 0.666  -0.368 0.820  -0.460 0.973  -0.551 1.127  -0.462 1.213  -0.287 1.245  -0.109 1.258  0.070 1.246  0.244 1.218  0.406 1.142  0.559 1.053  0.692 0.933  0.774 0.779  0.763 0.606  0.681 0.452  0.545 0.351  0.373 0.302  0.197 0.272  0.020 0.249  -0.158 0.226
2#apb#apb14#app1470/R  -0.795 0.701  -0.747 0.562  -0.728 0.406  -0.702 0.251  -0.675 0.096  -0.678 -0.060  -0.693 -0.217  -0.716 -0.373  -0.780 -0.514  -0.895 -0.614  -1.044 -0.647  -1.155 -0.545  -1.196 -0.398  -1.175 -0.246  -1.123 -0.098  -1.038 0.034  -0.952 0.166  -0.845 0.281  -0.734 0.392  -0.623 0.504  -0.497 0.596  -0.362 0.678  -0.228 0.760  -0.080 0.804  0.075 0.831  0.230 0.857  0.388 0.851  0.545 0.844  0.687 0.784  0.815 0.699  0.868 0.551  0.844 0.401  0.782 0.259  0.679 0.141  0.571 0.026  0.456 -0.081  0.338 -0.186  0.218 -0.287  0.149 -0.412  0.231 -0.538  0.366 -0.617  0.512 -0.671  0.667 -0.697  0.822 -0.722  0.978 -0.746  1.135 -0.746  1.292 -0.746  1.450 -0.746  1.604 -0.776  1.760 -0.789
2#apb#apb14#app1470/o  -0.085 1.019  -0.174 0.901  -0.262 0.783  -0.350 0.664  -0.438 0.545  -0.526 0.426  -0.613 0.307  -0.698 0.186  -0.782 0.064  -0.866 -0.058  -0.950 -0.179  -0.996 -0.319  -1.040 -0.460  -1.054 -0.602  -1.011 -0.743  -0.946 -0.872  -0.842 -0.976  -0.717 -1.042  -0.572 -1.067  -0.426 -1.083  -0.279 -1.062  -0.133 -1.042  0.008 -1.002  0.144 -0.943  0.279 -0.884  0.411 -0.819  0.529 -0.729  0.646 -0.639  0.761 -0.547  0.839 -0.422  0.918 -0.297  0.996 -0.171  1.051 -0.037  1.078 0.109  1.105 0.254  1.113 0.399  1.089 0.545  1.058 0.686  0.924 0.747  0.789 0.808  0.645 0.836  0.498 0.853  0.352 0.871  0.207 0.858  0.066 0.816  -0.076 0.774  -0.217 0.730  -0.351 0.667  -0.485 0.605  -0.619 0.542
2#apb#apb14#app1470/c  0.081 1.224  0.169 1.269  0.114 1.214  0.032 1.159  -0.050 1.105  -0.129 1.046  -0.205 0.983  -0.282 0.920  -0.358 0.858  -0.434 0.795  -0.509 0.731  -0.571 0.655  -0.634 0.578  -0.696 0.502  -0.758 0.425  -0.820 0.349  -0.865 0.261  -0.910 0.173  -0.946 0.083  -0.946 -0.016  -0.946 -0.115  -0.933 -0.208  -0.868 -0.283  -0.803 -0.357  -0.725 -0.414  -0.637 -0.458  -0.548 -0.502  -0.458 -0.540  -0.361 -0.557  -0.264 -0.574  -0.166 -0.591  -0.069 -0.608  0.029 -0.599  0.127 -0.590  0.225 -0.580  0.323 -0.570  0.421 -0.560  0.519 -0.543  0.616 -0.526  0.713 -0.509  0.810 -0.492  0.908 -0.482  1.007 -0.475  1.105 -0.469  1.203 -0.462  1.302 -0.454  1.400 -0.446  1.498 -0.438  1.596 -0.450  1.694 -0.462
2#apb#apb14#app1470/k  -0.989 1.125  -0.892 0.945  -0.867 0.748  -0.867 0.544  -0.838 0.343  -0.801 0.143  -0.773 -0.058  -0.758 -0.262  -0.735 -0.463  -0.681 -0.660  -0.617 -0.852  -0.521 -1.031  -0.444 -1.220  -0.325 -1.214  -0.266 -1.019  -0.208 -0.824  -0.149 -0.629  -0.090 -0.434  -0.032 -0.239  0.027 -0.044  0.086 0.151  0.144 0.346  0.203 0.541  0.262 0.736  0.320 0.931  0.379 1.126  0.437 1.321  0.378 1.275  0.256 1.112  0.128 0.953  -0.016 0.809  -0.158 0.664  -0.278 0.499  -0.400 0.336  -0.537 0.186  -0.607 -0.000  -0.565 -0.184  -0.370 -0.244  -0.169 -0.278  0.032 -0.305  0.236 -0.314  0.439 -0.328  0.641 -0.353  0.842 -0.384  1.038 -0.440  1.234 -0.492  1.433 -0.536  1.630 -0.589  1.817 -0.666  1.990 -0.774
2#apb#apb14#app1470/M  -0.899 0.731  -0.925 0.593  -0.956 0.455  -0.979 0.315  -1.002 0.176  -1.024 0.036  -1.040 -0.105  -1.056 -0.245  -1.054 -0.386  -1.047 -0.527  -1.046 -0.669  -1.046 -0.778  -1.025 -0.638  -0.978 -0.505  -0.922 -0.376  -0.854 -0.252  -0.786 -0.128  -0.716 -0.005  -0.646 0.118  -0.572 0.239  -0.495 0.357  -0.400 0.453  -0.281 0.428  -0.200 0.318  -0.157 0.184  -0.119 0.048  -0.101 -0.093  -0.081 -0.233  -0.046 -0.369  0.067 -0.354  0.178 -0.266  0.278 -0.166  0.380 -0.069  0.484 0.028  0.587 0.124  0.690 0.221  0.794 0.316  0.901 0.410  1.015 0.492  1.139 0.559  1.272 0.534  1.364 0.440  1.421 0.312  1.442 0.172  1.452 0.032  1.437 -0.109  1.411 -0.248  1.376 -0.384  1.363 -0.525  1.403 -0.660
2#apb#apb14#app1470/i  -0.279 0.110  -0.224 0.012  -0.187 -0.096  -0.198 -0.211  -0.209 -0.325  -0.221 -0.439  -0.231 -0.554  -0.241 -0.668  -0.255 -0.783  -0.274 -0.896  -0.293 -1.009  -0.319 -1.121  -0.348 -1.232  -0.378 -1.343  -0.388 -1.457  -0.380 -1.475  -0.350 -1.364  -0.319 -1.253  -0.289 -1.142  -0.258 -1.031  -0.228 -0.921  -0.197 -0.810  -0.167 -0.699  -0.137 -0.588  -0.106 -0.477  -0.076 -0.366  -0.045 -0.256  -0.015 -0.145  0.016 -0.034  0.046 0.077  0.076 0.188  0.107 0.299  0.137 0.409  0.168 0.520  0.198 0.631  0.229 0.742  0.259 0.853  0.289 0.964  0.320 1.075  0.350 1.185  0.381 1.296  0.411 1.407  0.442 1.518  0.472 1.629  0.491 1.578  0.490 1.464  0.480 1.349  0.458 1.237  0.420 1.129  0.372 1.024
2#apb#apb14#app1470/a  0.085 1.095  -0.027 1.135  -0.128 1.048  -0.229 0.960  -0.329 0.870  -0.426 0.778  -0.523 0.686  -0.619 0.593  -0.709 0.494  -0.783 0.383  -0.857 0.272  -0.931 0.160  -1.001 0.046  -1.061 -0.074  -1.121 -0.193  -1.164 -0.319  -1.185 -0.450  -1.132 -0.573  -1.007 -0.610  -0.875 -0.603  -0.758 -0.538  -0.647 -0.465  -0.549 -0.374  -0.450 -0.283  -0.370 -0.176  -0.291 -0.068  -0.213 0.041  -0.131 0.146  -0.048 0.252  0.035 0.357  0.123 0.458  0.217 0.552  0.336 0.541  0.404 0.426  0.471 0.310  0.534 0.192  0.591 0.071  0.638 -0.054  0.685 -0.180  0.725 -0.308  0.769 -0.433  0.857 -0.533  0.949 -0.631  1.059 -0.700  1.188 -0.735  1.320 -0.751  1.454 -0.756  1.587 -0.743  1.708 -0.689  1.828 -0.629
2#apb#apb14#app1470/m  -1.150 0.594  -1.175 0.493  -1.209 0.393  -1.228 0.291  -1.228 0.186  -1.228 0.081  -1.221 -0.024  -1.211 -0.128  -1.194 -0.231  -1.155 -0.329  -1.097 -0.416  -1.010 -0.448  -0.934 -0.389  -0.886 -0.296  -0.830 -0.207  -0.769 -0.121  -0.704 -0.039  -0.637 0.042  -0.560 0.113  -0.483 0.184  -0.392 0.236  -0.296 0.260  -0.209 0.214  -0.151 0.127  -0.104 0.033  -0.092 -0.068  -0.088 -0.171  -0.006 -0.211  0.090 -0.168  0.192 -0.142  0.287 -0.101  0.380 -0.051  0.471 0.002  0.561 0.055  0.651 0.109  0.740 0.165  0.829 0.222  0.921 0.270  1.017 0.315  1.117 0.334  1.206 0.298  1.273 0.217  1.337 0.134  1.371 0.035  1.399 -0.066  1.415 -0.170  1.435 -0.273  1.460 -0.375  1.506 -0.468  1.590 -0.510
2#apb#apb14#app1470/i  0.074 1.692  0.057 1.625  0.041 1.557  0.028 1.489  0.014 1.421  0.003 1.352  0.003 1.282  0.003 1.213  0.003 1.143  0.003 1.074  0.003 1.004  -0.009 0.936  -0.024 0.868  -0.039 0.800  -0.039 0.730  -0.038 0.661  -0.037 0.591  -0.035 0.521  -0.034 0.452  -0.033 0.382  -0.032 0.313  -0.031 0.243  -0.030 0.173  -0.028 0.104  -0.027 0.034  -0.026 -0.035  -0.026 -0.105  -0.026 -0.175  -0.026 -0.244  -0.026 -0.314  -0.026 -0.383  -0.026 -0.453  -0.026 -0.523  -0.026 -0.592  -0.026 -0.662  -0.026 -0.731  -0.026 -0.801  -0.026 -0.871  -0.026 -0.940  -0.026 -1.010  -0.014 -1.078  -0.000 -1.146  0.013 -1.215  0.027 -1.283  0.042 -1.351  0.058 -1.419  0.073 -1.487  0.101 -1.550  0.129 -1.614  0.160 -1.676
