1c#app#app13#app1324/x  -1.033 0.831  -1.033 1.043  -0.867 1.089  -0.655 1.089  -0.519 1.013  -0.519 0.800  -0.519 0.588  -0.321 0.574  -0.261 0.422  -0.261 0.210  -0.200 0.059  -0.004 0.043  -0.004 -0.169  -0.004 -0.381  0.093 -0.553  0.243 -0.703  0.254 -0.911  0.361 -1.078  0.511 -1.228  0.511 -1.016  0.530 -0.805  0.553 -0.594  0.576 -0.383  0.600 -0.172  0.623 0.038  0.647 0.249  0.670 0.460  0.693 0.671  0.717 0.881  0.740 1.092  0.764 1.303  0.768 1.177  0.681 1.001  0.531 0.851  0.511 0.648  0.373 0.574  0.254 0.481  0.220 0.283  0.070 0.133  -0.080 -0.017  -0.230 -0.167  -0.261 -0.366  -0.348 -0.542  -0.498 -0.692  -0.519 -0.896  -0.616 -1.068  -0.766 -1.218  -0.915 -1.368  -1.033 -1.531  -1.033 -1.743
1c#app#app13#app1324/d  -0.155 0.120  -0.328 0.120  -0.500 0.120  -0.638 0.086  -0.698 -0.061  -0.758 -0.209  -0.771 -0.375  -0.879 -0.503  -0.879 -0.675  -0.879 -0.847  -0.841 -1.003  -0.758 -1.141  -0.683 -1.282  -0.638 -1.435  -0.478 -1.447  -0.332 -1.383  -0.210 -1.261  -0.155 -1.112  -0.052 -0.983  0.012 -0.825  0.066 -0.662  0.086 -0.493  0.158 -0.338  0.206 -0.177  0.206 -0.005  0.206 0.167  0.206 0.339  0.227 0.502  0.327 0.633  0.327 0.805  0.327 0.977  0.327 1.149  0.327 1.321  0.327 1.493  0.426 1.566  0.447 1.657  0.447 1.484  0.447 1.312  0.447 1.140  0.447 0.968  0.447 0.796  0.447 0.624  0.447 0.452  0.447 0.280  0.447 0.108  0.447 -0.064  0.447 -0.236  0.447 -0.408  0.491 -0.570  0.568 -0.724
1c#app#app13#app1324/t  -0.778 0.124  -0.925 0.124  -0.839 0.124  -0.693 0.124  -0.547 0.124  -0.408 0.141  -0.304 0.244  -0.181 0.301  -0.035 0.301  0.111 0.301  0.257 0.301  0.368 0.386  0.477 0.477  0.623 0.477  0.769 0.477  0.916 0.477  1.041 0.528  1.144 0.631  1.058 0.686  0.917 0.726  0.777 0.766  0.636 0.806  0.495 0.846  0.355 0.886  0.214 0.927  0.073 0.967  -0.067 1.007  -0.071 0.865  -0.183 0.831  -0.248 0.750  -0.248 0.603  -0.248 0.457  -0.248 0.311  -0.248 0.165  -0.248 0.018  -0.248 -0.128  -0.248 -0.274  -0.248 -0.420  -0.248 -0.567  -0.248 -0.713  -0.248 -0.859  -0.248 -1.006  -0.248 -1.152  -0.248 -1.298  -0.248 -1.444  -0.248 -1.591  -0.248 -1.737  -0.248 -1.883  -0.248 -2.029  -0.248 -2.176
1c#app#app13#app1324/h  -0.525 1.926  -0.525 1.775  -0.525 1.625  -0.525 1.474  -0.525 1.323  -0.525 1.173  -0.525 1.022  -0.525 0.871  -0.525 0.721  -0.525 0.570  -0.525 0.419  -0.525 0.269  -0.525 0.118  -0.525 -0.033  -0.525 -0.183  -0.525 -0.334  -0.525 -0.485  -0.525 -0.635  -0.525 -0.786  -0.525 -0.937  -0.525 -1.087  -0.525 -1.238  -0.456 -1.222  -0.349 -1.116  -0.324 -0.976  -0.260 -0.889  -0.123 -0.876  -0.123 -0.725  -0.042 -0.608  0.064 -0.501  0.078 -0.356  0.114 -0.214  0.182 -0.079  0.249 0.055  0.338 0.175  0.444 0.281  0.481 0.417  0.530 0.518  0.680 0.518  0.831 0.518  0.883 0.419  0.883 0.269  0.883 0.118  0.883 -0.033  0.883 -0.183  0.883 -0.334  0.883 -0.485  0.949 -0.620  1.016 -0.754  1.084 -0.889
1c#app#app13#app1324/e  -0.791 -0.349  -0.609 -0.349  -0.428 -0.349  -0.247 -0.349  -0.210 -0.204  -0.078 -0.155  0.104 -0.155  0.177 -0.048  0.273 0.038  0.371 0.121  0.442 0.232  0.564 0.290  0.564 0.471  0.564 0.653  0.564 0.834  0.564 1.015  0.564 1.197  0.386 1.199  0.371 1.366  0.217 1.393  0.036 1.393  -0.146 1.393  -0.210 1.276  -0.284 1.125  -0.409 0.995  -0.490 0.833  -0.571 0.670  -0.684 0.531  -0.791 0.394  -0.791 0.213  -0.791 0.032  -0.791 -0.150  -0.791 -0.331  -0.791 -0.512  -0.640 -0.542  -0.597 -0.681  -0.508 -0.825  -0.370 -0.930  -0.210 -0.951  -0.201 -1.123  -0.019 -1.123  0.162 -1.123  0.343 -1.123  0.525 -1.123  0.706 -1.123  0.758 -0.994  0.875 -0.930  1.025 -0.855  1.145 -0.724  1.145 -0.542
1c#app#app13#app1324/s  0.484 1.468  0.377 1.468  0.270 1.468  0.163 1.468  0.058 1.464  -0.017 1.388  -0.093 1.312  -0.168 1.237  -0.244 1.161  -0.319 1.086  -0.395 1.010  -0.471 0.935  -0.546 0.859  -0.568 0.761  -0.568 0.654  -0.568 0.547  -0.568 0.441  -0.568 0.334  -0.568 0.227  -0.568 0.120  -0.568 0.013  -0.478 -0.004  -0.371 -0.004  -0.291 -0.070  -0.216 -0.145  -0.137 -0.214  -0.030 -0.214  0.076 -0.214  0.183 -0.214  0.285 -0.226  0.361 -0.301  0.436 -0.377  0.512 -0.452  0.588 -0.528  0.663 -0.604  0.694 -0.698  0.694 -0.804  0.628 -0.845  0.521 -0.845  0.484 -0.915  0.484 -1.022  0.410 -1.055  0.304 -1.055  0.219 -1.109  0.144 -1.185  0.068 -1.261  -0.037 -1.265  -0.144 -1.265  -0.251 -1.265  -0.357 -1.265
1c#app#app13#app1324/n  -1.078 0.673  -1.078 0.519  -0.977 0.465  -0.870 0.418  -0.870 0.263  -0.870 0.109  -0.870 -0.046  -0.870 -0.200  -0.870 -0.355  -0.870 -0.509  -0.870 -0.664  -0.870 -0.818  -0.870 -0.973  -0.870 -1.127  -0.813 -1.143  -0.703 -1.034  -0.594 -0.925  -0.485 -0.815  -0.454 -0.674  -0.428 -0.525  -0.359 -0.387  -0.290 -0.249  -0.221 -0.111  -0.152 0.027  -0.083 0.166  -0.000 0.294  0.109 0.403  0.171 0.532  0.183 0.679  0.321 0.748  0.459 0.817  0.587 0.893  0.587 1.047  0.699 1.089  0.795 1.031  0.800 0.881  0.955 0.881  1.003 0.775  1.003 0.621  1.003 0.466  1.003 0.312  1.003 0.157  0.971 0.016  0.862 -0.093  0.795 -0.220  0.795 -0.374  0.795 -0.529  0.795 -0.683  0.795 -0.838  0.795 -0.992
1c#app#app13#app1324/a  -0.040 1.008  -0.178 1.008  -0.286 0.978  -0.286 0.839  -0.347 0.762  -0.486 0.762  -0.532 0.670  -0.532 0.532  -0.619 0.429  -0.717 0.331  -0.815 0.233  -0.913 0.135  -1.011 0.037  -1.025 -0.095  -1.025 -0.233  -1.025 -0.372  -1.025 -0.510  -1.025 -0.649  -1.025 -0.787  -1.025 -0.926  -0.923 -0.962  -0.785 -0.962  -0.646 -0.962  -0.515 -0.945  -0.417 -0.847  -0.319 -0.749  -0.194 -0.716  -0.056 -0.716  0.070 -0.661  0.193 -0.599  0.317 -0.537  0.441 -0.475  0.541 -0.381  0.639 -0.283  0.723 -0.175  0.785 -0.051  0.847 0.073  0.909 0.196  0.986 0.310  1.083 0.407  1.181 0.505  1.192 0.640  1.176 0.762  1.037 0.762  0.945 0.715  0.945 0.577  0.945 0.438  0.945 0.300  0.945 0.161  0.945 0.023
1c#app#app13#app1324/z  -1.072 1.158  -1.072 1.007  -1.004 0.925  -0.853 0.925  -0.702 0.925  -0.551 0.925  -0.400 0.925  -0.371 1.047  -0.332 1.158  -0.181 1.158  -0.030 1.158  0.121 1.158  0.272 1.158  0.395 1.092  0.502 0.986  0.563 0.860  0.563 0.709  0.563 0.558  0.563 0.407  0.563 0.256  0.479 0.140  0.373 0.033  0.239 -0.010  0.096 -0.017  0.096 -0.168  0.020 -0.243  -0.131 -0.243  -0.138 -0.387  -0.199 -0.477  -0.350 -0.477  -0.463 -0.568  -0.569 -0.675  -0.676 -0.782  -0.783 -0.889  -0.766 -0.944  -0.615 -0.944  -0.465 -0.944  -0.314 -0.944  -0.163 -0.944  -0.012 -0.944  0.139 -0.944  0.290 -0.944  0.441 -0.944  0.563 -0.915  0.563 -0.764  0.660 -0.711  0.811 -0.711  0.962 -0.711  1.113 -0.711  1.264 -0.711
1c#app#app13#app1324/z  -1.544 0.765  -1.418 0.765  -1.291 0.765  -1.165 0.765  -1.039 0.765  -0.912 0.765  -0.786 0.765  -0.660 0.765  -0.533 0.765  -0.407 0.765  -0.281 0.765  -0.179 0.826  -0.090 0.915  0.008 0.983  0.135 0.983  0.261 0.983  0.387 0.983  0.412 0.881  0.412 0.754  0.412 0.628  0.412 0.502  0.412 0.375  0.412 0.249  0.412 0.123  0.295 0.113  0.195 0.087  0.195 -0.039  0.151 -0.147  0.062 -0.237  -0.027 -0.326  -0.117 -0.415  -0.206 -0.505  -0.295 -0.594  -0.385 -0.683  -0.441 -0.773  -0.351 -0.862  -0.262 -0.951  -0.145 -0.973  -0.018 -0.973  0.108 -0.973  0.234 -0.973  0.361 -0.973  0.487 -0.973  0.613 -0.973  0.740 -0.973  0.866 -0.973  0.992 -0.973  1.103 -0.935  1.192 -0.845  1.281 -0.756
1c#app#app13#app1324/y  -0.759 1.157  -0.629 1.157  -0.499 1.157  -0.414 1.112  -0.412 0.984  -0.282 0.984  -0.242 0.895  -0.242 0.766  -0.242 0.636  -0.242 0.506  -0.151 0.467  -0.069 0.419  -0.069 0.289  -0.069 0.159  -0.069 0.214  -0.019 0.294  0.108 0.300  0.186 0.404  0.263 0.508  0.341 0.612  0.419 0.715  0.497 0.819  0.575 0.923  0.621 0.931  0.621 0.801  0.621 0.671  0.552 0.570  0.460 0.478  0.448 0.353  0.417 0.231  0.359 0.115  0.301 -0.001  0.276 -0.125  0.253 -0.246  0.161 -0.337  0.103 -0.443  0.100 -0.571  0.008 -0.663  -0.076 -0.760  -0.117 -0.883  -0.158 -1.006  -0.199 -1.129  -0.240 -1.253  -0.242 -1.382  -0.278 -1.503  -0.336 -1.619  -0.394 -1.735  -0.414 -1.861  -0.414 -1.990  -0.414 -2.120
1c#app#app13#app1324/z  -0.993 0.873  -1.003 0.719  -1.147 0.739  -1.117 0.873  -0.953 0.873  -0.804 0.908  -0.688 1.024  -0.526 1.027  -0.362 1.027  -0.198 1.027  -0.034 1.027  0.129 1.027  0.293 1.027  0.457 1.027  0.547 0.953  0.606 0.814  0.700 0.689  0.700 0.525  0.651 0.411  0.547 0.352  0.547 0.188  0.467 0.104  0.330 0.041  0.239 -0.086  0.207 -0.236  0.091 -0.352  -0.070 -0.358  -0.231 -0.366  -0.347 -0.482  -0.498 -0.512  -0.531 -0.643  -0.671 -0.666  -0.685 -0.816  -0.839 -0.826  -0.823 -0.974  -0.659 -0.974  -0.495 -0.974  -0.331 -0.974  -0.168 -0.974  -0.023 -0.928  0.096 -0.820  0.258 -0.810  0.404 -0.737  0.550 -0.663  0.666 -0.547  0.815 -0.512  0.979 -0.512  1.143 -0.512  1.306 -0.512  1.470 -0.512
1c#app#app13#app1324/o  0.173 0.584  0.173 0.739  0.087 0.808  -0.051 0.791  -0.051 0.636  -0.153 0.584  -0.308 0.584  -0.463 0.584  -0.499 0.464  -0.549 0.360  -0.704 0.360  -0.723 0.224  -0.723 0.069  -0.723 -0.086  -0.831 -0.196  -0.940 -0.306  -0.946 -0.458  -0.946 -0.613  -0.946 -0.768  -0.946 -0.923  -0.880 -1.050  -0.770 -1.160  -0.635 -1.208  -0.481 -1.208  -0.326 -1.208  -0.171 -1.208  -0.026 -1.183  0.084 -1.074  0.193 -0.964  0.303 -0.855  0.397 -0.739  0.397 -0.584  0.504 -0.536  0.621 -0.498  0.621 -0.343  0.621 -0.188  0.646 -0.039  0.715 0.099  0.784 0.238  0.845 0.379  0.845 0.533  0.845 0.688  0.845 0.843  0.845 0.998  0.724 1.032  0.621 1.084  0.621 1.239  0.483 1.256  0.397 1.187  0.397 1.032
1c#app#app13#app1324/m  -1.190 0.596  -1.190 0.448  -1.190 0.299  -1.190 0.150  -1.190 0.002  -1.190 -0.147  -1.190 -0.295  -1.190 -0.444  -1.190 -0.593  -1.190 -0.741  -1.062 -0.762  -0.913 -0.762  -0.850 -0.676  -0.786 -0.592  -0.681 -0.548  -0.665 -0.406  -0.560 -0.301  -0.511 -0.173  -0.470 -0.041  -0.364 0.064  -0.341 0.203  -0.274 0.324  -0.169 0.429  -0.064 0.534  0.041 0.639  0.146 0.744  0.168 0.649  0.168 0.500  0.168 0.351  0.168 0.203  0.168 0.054  0.168 -0.095  0.168 -0.243  0.307 -0.252  0.456 -0.252  0.605 -0.252  0.677 -0.177  0.732 -0.083  0.847 -0.049  0.859 0.087  1.008 0.087  1.116 0.186  1.221 0.291  1.326 0.396  1.462 0.427  1.526 0.342  1.526 0.193  1.526 0.045  1.526 -0.104  1.526 -0.252
1c#app#app13#app1324/b  -0.169 2.291  -0.169 2.114  -0.169 1.936  -0.169 1.759  -0.169 1.582  -0.169 1.405  -0.169 1.228  -0.169 1.051  -0.169 0.874  -0.169 0.697  -0.169 0.520  -0.169 0.343  -0.169 0.166  -0.169 -0.011  -0.169 -0.188  -0.169 -0.365  -0.169 -0.542  -0.169 -0.720  -0.169 -0.897  -0.171 -1.065  -0.227 -0.897  -0.283 -0.729  -0.339 -0.561  -0.395 -0.393  -0.451 -0.225  -0.507 -0.057  -0.563 0.111  -0.619 0.279  -0.592 0.314  -0.467 0.189  -0.314 0.131  -0.137 0.131  0.040 0.131  0.217 0.131  0.394 0.131  0.551 0.110  0.551 -0.067  0.685 -0.109  0.791 -0.181  0.791 -0.358  0.791 -0.535  0.791 -0.712  0.731 -0.829  0.554 -0.829  0.551 -1.003  0.472 -1.148  0.347 -1.273  0.185 -1.309  0.008 -1.309  -0.169 -1.309
1c#app#app13#app1324/i  -0.053 0.527  -0.053 0.397  -0.053 0.267  -0.053 0.137  -0.053 0.007  -0.053 -0.123  -0.053 -0.253  -0.053 -0.383  -0.053 -0.512  -0.053 -0.642  -0.053 -0.772  -0.053 -0.902  -0.053 -1.032  -0.053 -1.162  -0.053 -1.292  -0.053 -1.422  -0.053 -1.551  -0.053 -1.651  -0.053 -1.521  -0.053 -1.391  -0.053 -1.261  -0.053 -1.131  -0.053 -1.001  -0.053 -0.872  -0.053 -0.742  -0.053 -0.612  -0.053 -0.482  -0.053 -0.352  -0.053 -0.222  -0.053 -0.092  -0.053 0.038  -0.053 0.167  -0.053 0.297  -0.053 0.427  -0.053 0.557  -0.053 0.687  -0.053 0.817  -0.053 0.947  -0.053 1.077  -0.053 1.207  -0.053 1.336  -0.053 1.466  -0.053 1.596  0.020 1.550  0.112 1.458  0.204 1.367  0.295 1.275  0.418 1.258  0.548 1.258  0.678 1.258
1c#app#app13#app1324/e  -0.835 0.113  -0.655 0.113  -0.598 -0.009  -0.534 -0.124  -0.354 -0.124  -0.175 -0.124  0.004 -0.124  0.162 -0.073  0.289 0.054  0.348 0.209  0.387 0.349  0.566 0.349  0.584 0.510  0.584 0.689  0.538 0.822  0.359 0.822  0.348 0.990  0.348 1.170  0.294 1.295  0.115 1.295  -0.013 1.171  -0.140 1.044  -0.266 0.917  -0.393 0.791  -0.520 0.664  -0.647 0.537  -0.773 0.410  -0.900 0.284  -1.027 0.157  -1.071 -0.004  -1.071 -0.183  -1.070 -0.362  -0.943 -0.489  -0.809 -0.597  -0.629 -0.597  -0.598 -0.745  -0.507 -0.833  -0.328 -0.833  -0.149 -0.833  0.030 -0.833  0.210 -0.833  0.389 -0.833  0.568 -0.833  0.747 -0.833  0.927 -0.833  1.106 -0.833  1.285 -0.833  1.446 -0.757  1.607 -0.677  1.767 -0.597
