2#tos#t3#t3012065/\"  -0.856 0.642  -1.004 0.662  -1.004 0.831  -1.004 0.999  -1.004 1.167  -0.933 1.163  -0.856 1.026  -0.856 0.858  -0.856 0.689  -0.735 0.642  -0.567 0.642  -0.521 0.485  -0.480 0.322  -0.439 0.159  -0.412 -0.006  -0.412 -0.175  -0.412 -0.343  -0.412 -0.512  -0.412 -0.680  -0.412 -0.848  -0.412 -1.017  -0.377 -1.171  -0.258 -1.290  -0.139 -1.409  0.020 -1.432  0.070 -1.281  0.111 -1.117  0.152 -0.954  0.193 -0.791  0.234 -0.627  0.275 -0.464  0.315 -0.301  0.356 -0.137  0.397 0.026  0.438 0.190  0.479 0.353  0.520 0.516  0.560 0.680  0.601 0.843  0.625 0.868  0.625 0.700  0.625 0.531  0.684 0.377  0.759 0.226  0.887 0.122  1.027 0.028  1.167 -0.065  1.218 -0.206  1.218 -0.375  1.218 -0.543
2#tos#t3#t3012065/]  -0.508 1.233  -0.511 1.128  -0.603 1.073  -0.695 1.018  -0.790 0.976  -0.736 0.976  -0.629 0.976  -0.522 0.976  -0.415 0.976  -0.308 0.976  -0.201 0.976  -0.094 0.976  0.013 0.976  0.120 0.976  0.227 0.976  0.283 0.925  0.390 0.925  0.419 0.847  0.419 0.739  0.419 0.632  0.419 0.525  0.419 0.418  0.419 0.311  0.419 0.204  0.419 0.097  0.419 -0.010  0.419 -0.117  0.419 -0.224  0.419 -0.331  0.419 -0.438  0.419 -0.545  0.419 -0.652  0.419 -0.759  0.419 -0.866  0.470 -0.921  0.470 -1.028  0.417 -1.082  0.362 -1.031  0.255 -1.031  0.148 -1.031  0.041 -1.031  -0.066 -1.031  -0.173 -1.031  -0.281 -1.031  -0.388 -1.031  -0.490 -1.048  -0.580 -1.104  -0.675 -1.134  -0.782 -1.134  -0.868 -1.185
2#tos#t3#t3012065/~  -1.003 -0.043  -1.089 -0.073  -1.135 -0.166  -1.214 -0.198  -1.214 -0.204  -1.214 -0.100  -1.214 0.004  -1.211 0.108  -1.178 0.206  -1.145 0.305  -1.099 0.399  -1.031 0.470  -0.938 0.517  -0.904 0.589  -0.800 0.589  -0.696 0.589  -0.592 0.589  -0.488 0.589  -0.383 0.589  -0.350 0.519  -0.301 0.463  -0.238 0.385  -0.189 0.294  -0.119 0.238  -0.091 0.162  -0.091 0.058  -0.058 -0.038  -0.006 -0.127  0.068 -0.201  0.120 -0.284  0.184 -0.324  0.285 -0.336  0.379 -0.383  0.479 -0.399  0.565 -0.457  0.652 -0.514  0.750 -0.534  0.854 -0.534  0.958 -0.534  1.063 -0.534  1.167 -0.534  1.196 -0.449  1.283 -0.391  1.369 -0.333  1.384 -0.237  1.384 -0.133  1.394 -0.033  1.454 0.046  1.478 0.145  1.524 0.238
2#tos#t3#t3012065/0  -0.075 1.156  -0.223 1.156  -0.371 1.156  -0.395 1.033  -0.496 0.927  -0.524 0.790  -0.615 0.680  -0.719 0.575  -0.780 0.453  -0.780 0.305  -0.780 0.157  -0.780 0.009  -0.780 -0.139  -0.780 -0.287  -0.780 -0.435  -0.776 -0.581  -0.671 -0.686  -0.588 -0.799  -0.553 -0.932  -0.443 -1.025  -0.331 -1.061  -0.212 -1.090  -0.128 -1.154  0.020 -1.154  0.168 -1.154  0.316 -1.154  0.464 -1.154  0.567 -1.071  0.658 -0.980  0.771 -0.886  0.823 -0.760  0.823 -0.612  0.823 -0.464  0.823 -0.316  0.823 -0.168  0.823 -0.020  0.823 0.128  0.805 0.258  0.759 0.359  0.759 0.507  0.618 0.514  0.470 0.514  0.402 0.615  0.277 0.691  0.195 0.808  0.094 0.883  0.012 1.005  -0.126 1.027  -0.146 1.156  -0.267 1.220
2#tos#t3#t3012065/1  0.287 1.616  0.287 1.545  0.287 1.473  0.266 1.424  0.223 1.395  0.223 1.324  0.223 1.253  0.188 1.196  0.137 1.146  0.095 1.092  0.095 1.021  0.095 0.950  0.084 0.880  0.062 0.813  0.039 0.745  0.031 0.675  0.031 0.604  0.031 0.533  0.031 0.462  0.027 0.391  -0.005 0.328  -0.037 0.264  -0.068 0.200  -0.097 0.136  -0.097 0.065  -0.097 -0.007  -0.097 -0.078  -0.097 -0.149  -0.097 -0.220  -0.097 -0.291  -0.097 -0.363  -0.097 -0.434  -0.097 -0.505  -0.097 -0.576  -0.097 -0.647  -0.097 -0.719  -0.097 -0.790  -0.097 -0.861  -0.097 -0.932  -0.097 -1.004  -0.097 -1.075  -0.097 -1.146  -0.097 -1.217  -0.097 -1.288  -0.097 -1.360  -0.097 -1.431  -0.097 -1.502  -0.097 -1.573  -0.097 -1.644  -0.097 -1.716
2#tos#t3#t3012065/2  -0.365 0.673  -0.372 0.547  -0.506 0.547  -0.639 0.547  -0.741 0.516  -0.741 0.586  -0.741 0.719  -0.633 0.766  -0.522 0.839  -0.490 0.955  -0.450 1.049  -0.317 1.049  -0.239 1.104  -0.176 1.175  -0.106 1.237  0.027 1.237  0.146 1.190  0.257 1.116  0.325 1.048  0.325 0.915  0.325 0.782  0.325 0.649  0.325 0.516  0.325 0.382  0.325 0.249  0.325 0.116  0.237 0.019  0.164 -0.090  0.137 -0.217  0.064 -0.305  0.003 -0.402  -0.091 -0.496  -0.176 -0.594  -0.214 -0.719  -0.273 -0.838  -0.351 -0.944  -0.365 -1.071  -0.369 -1.083  -0.239 -1.087  -0.165 -1.146  -0.032 -1.146  0.101 -1.146  0.234 -1.146  0.368 -1.146  0.501 -1.146  0.634 -1.146  0.767 -1.146  0.900 -1.146  1.028 -1.159  1.141 -1.209
2#tos#t3#t3012065/4  -0.258 1.282  -0.313 1.199  -0.372 1.002  -0.545 0.880  -0.655 0.696  -0.746 0.503  -0.845 0.315  -0.943 0.170  -1.014 -0.023  -1.171 -0.154  -1.171 -0.368  -1.205 -0.432  -1.048 -0.489  -0.833 -0.489  -0.619 -0.489  -0.404 -0.489  -0.191 -0.502  0.019 -0.544  0.232 -0.557  0.438 -0.603  0.650 -0.620  0.858 -0.660  1.049 -0.717  1.228 -0.753  1.151 -0.597  1.066 -0.400  0.981 -0.203  0.896 -0.007  0.810 0.190  0.725 0.387  0.640 0.584  0.555 0.781  0.470 0.978  0.385 1.175  0.279 1.339  0.085 1.318  0.085 1.104  0.085 0.889  0.085 0.675  0.085 0.460  0.083 0.246  0.028 0.041  0.019 -0.172  -0.029 -0.379  -0.029 -0.593  -0.079 -0.793  -0.143 -0.988  -0.143 -1.202  -0.143 -1.417  -0.086 -1.574
2#tos#t3#t3012065/5  -0.160 0.951  -0.032 0.951  0.097 0.951  0.225 0.951  0.354 0.951  0.482 0.951  0.611 0.951  0.499 1.003  0.382 1.056  0.265 1.109  0.148 1.162  0.031 1.216  -0.095 1.227  -0.216 1.219  -0.271 1.146  -0.315 1.061  -0.328 0.945  -0.369 0.823  -0.421 0.706  -0.437 0.581  -0.437 0.452  -0.437 0.324  -0.437 0.195  -0.398 0.083  -0.326 -0.016  -0.281 -0.100  -0.155 -0.105  -0.064 -0.196  0.005 -0.263  0.111 -0.316  0.227 -0.332  0.288 -0.431  0.373 -0.502  0.468 -0.562  0.514 -0.674  0.558 -0.792  0.558 -0.920  0.558 -1.049  0.531 -1.150  0.416 -1.182  0.297 -1.206  0.191 -1.261  0.063 -1.261  -0.066 -1.261  -0.194 -1.261  -0.323 -1.261  -0.451 -1.261  -0.576 -1.246  -0.695 -1.206  -0.769 -1.150
2#tos#t3#t3012065/6  0.452 1.695  0.568 1.708  0.546 1.684  0.436 1.620  0.345 1.530  0.226 1.484  0.162 1.402  0.121 1.286  0.050 1.179  -0.021 1.072  -0.088 0.962  -0.146 0.848  -0.203 0.733  -0.270 0.625  -0.360 0.533  -0.360 0.405  -0.360 0.276  -0.403 0.158  -0.485 0.061  -0.534 -0.047  -0.534 -0.176  -0.534 -0.304  -0.534 -0.433  -0.534 -0.561  -0.534 -0.690  -0.534 -0.818  -0.513 -0.938  -0.476 -1.051  -0.397 -1.130  -0.273 -1.149  -0.144 -1.149  -0.016 -1.149  0.113 -1.149  0.241 -1.149  0.360 -1.108  0.456 -1.025  0.515 -0.912  0.606 -0.821  0.626 -0.701  0.626 -0.572  0.626 -0.444  0.556 -0.359  0.456 -0.281  0.406 -0.174  0.282 -0.162  0.154 -0.162  0.025 -0.162  -0.103 -0.162  -0.232 -0.162  -0.360 -0.162
2#tos#t3#t3012065/7  -0.639 0.477  -0.786 0.477  -0.896 0.440  -0.844 0.345  -0.811 0.206  -0.792 0.064  -0.742 -0.072  -0.742 -0.218  -0.742 -0.365  -0.737 -0.278  -0.730 -0.132  -0.723 0.015  -0.717 0.162  -0.710 0.308  -0.703 0.455  -0.697 0.602  -0.704 0.727  -0.835 0.661  -0.920 0.631  -0.773 0.631  -0.626 0.631  -0.479 0.631  -0.333 0.631  -0.186 0.631  -0.039 0.631  0.108 0.631  0.241 0.575  0.377 0.528  0.524 0.528  0.671 0.528  0.817 0.528  0.964 0.528  1.000 0.420  0.913 0.323  0.835 0.244  0.797 0.106  0.772 -0.035  0.695 -0.154  0.691 -0.300  0.643 -0.435  0.643 -0.582  0.643 -0.729  0.643 -0.876  0.643 -1.022  0.677 -1.164  0.695 -1.308  0.695 -1.455  0.695 -1.601  0.726 -1.741  0.797 -1.831
2#tos#t3#t3012065/A  -0.879 -0.705  -1.033 -0.764  -1.115 -0.940  -1.025 -0.793  -0.938 -0.644  -0.868 -0.448  -0.773 -0.257  -0.736 -0.052  -0.657 0.145  -0.522 0.306  -0.455 0.508  -0.363 0.694  -0.288 0.891  -0.231 1.095  -0.054 1.180  -0.022 1.373  0.090 1.526  0.241 1.572  0.359 1.442  0.422 1.290  0.517 1.099  0.535 0.891  0.586 0.684  0.621 0.479  0.653 0.274  0.653 0.061  0.685 -0.132  0.799 -0.288  0.830 -0.497  0.884 -0.697  0.948 -0.894  0.996 -1.096  0.998 -1.288  0.828 -1.159  0.659 -1.031  0.489 -0.902  0.320 -0.773  0.150 -0.645  -0.019 -0.516  -0.189 -0.388  -0.358 -0.259  -0.528 -0.131  -0.697 -0.002  -0.849 0.002  -0.637 0.002  -0.424 0.002  -0.218 -0.042  -0.008 -0.057  0.205 -0.057  0.417 -0.057
2#tos#t3#t3012065/B  -0.444 0.764  -0.331 0.850  -0.331 0.597  -0.331 0.344  -0.331 0.092  -0.331 -0.161  -0.331 -0.414  -0.331 -0.667  -0.331 -0.919  -0.331 -1.172  -0.348 -1.117  -0.375 -0.866  -0.402 -0.614  -0.430 -0.363  -0.457 -0.112  -0.484 0.139  -0.512 0.391  -0.539 0.642  -0.566 0.893  -0.594 1.144  -0.546 1.328  -0.293 1.328  -0.041 1.328  0.212 1.328  0.465 1.328  0.627 1.163  0.845 1.057  0.844 0.820  0.633 0.741  0.450 0.621  0.298 0.481  0.069 0.425  -0.171 0.368  -0.183 0.312  0.013 0.252  0.214 0.105  0.422 -0.027  0.562 -0.140  0.746 -0.237  0.941 -0.396  0.937 -0.624  0.812 -0.795  0.688 -0.984  0.573 -1.157  0.345 -1.216  0.228 -1.383  -0.025 -1.383  -0.278 -1.383  -0.530 -1.383  -0.727 -1.327
2#tos#t3#t3012065/E  -0.525 1.377  -0.515 1.110  -0.420 0.895  -0.420 0.622  -0.420 0.348  -0.420 0.075  -0.420 -0.199  -0.420 -0.472  -0.420 -0.745  -0.420 -1.019  -0.430 -1.004  -0.449 -0.731  -0.469 -0.459  -0.488 -0.186  -0.508 0.087  -0.527 0.360  -0.547 0.633  -0.566 0.905  -0.577 1.178  -0.345 1.219  -0.071 1.219  0.198 1.183  0.469 1.167  0.742 1.167  0.883 1.053  0.654 0.904  0.425 0.754  0.197 0.604  -0.032 0.455  -0.261 0.305  -0.472 0.146  -0.230 0.115  0.044 0.115  0.317 0.115  0.591 0.115  0.790 0.010  0.593 -0.179  0.396 -0.368  0.198 -0.557  0.001 -0.746  -0.197 -0.935  -0.395 -1.124  -0.391 -1.148  -0.118 -1.148  0.156 -1.148  0.428 -1.160  0.698 -1.201  0.971 -1.201  1.245 -1.201  1.474 -1.306
2#tos#t3#t3012065/H  -0.537 1.365  -0.683 1.226  -0.743 1.109  -0.629 0.942  -0.629 0.728  -0.629 0.514  -0.629 0.299  -0.629 0.085  -0.629 -0.129  -0.651 -0.336  -0.722 -0.529  -0.722 -0.743  -0.722 -0.957  -0.722 -1.171  -0.721 -1.355  -0.700 -1.142  -0.680 -0.929  -0.660 -0.716  -0.640 -0.503  -0.629 -0.289  -0.765 -0.211  -0.650 -0.118  -0.438 -0.105  -0.229 -0.059  -0.018 -0.026  0.196 -0.026  0.411 -0.026  0.605 -0.072  0.715 -0.060  0.715 0.154  0.715 0.368  0.715 0.582  0.715 0.796  0.715 1.010  0.715 1.224  0.596 1.319  0.483 1.163  0.483 0.949  0.611 0.798  0.622 0.586  0.629 0.373  0.669 0.165  0.669 -0.049  0.669 -0.263  0.669 -0.477  0.669 -0.691  0.669 -0.905  0.649 -1.111  0.576 -1.295  0.530 -1.463
2#tos#t3#t3012065/J  -0.463 0.962  -0.475 0.862  -0.578 0.828  -0.575 0.866  -0.472 0.895  -0.381 0.948  -0.283 0.990  -0.179 1.009  -0.071 1.009  0.037 1.009  0.145 1.009  0.253 1.009  0.361 1.009  0.440 1.038  0.410 1.075  0.334 0.998  0.258 0.922  0.156 0.891  0.060 0.858  0.038 0.771  0.012 0.690  0.054 0.592  0.060 0.485  0.107 0.425  0.107 0.317  0.107 0.209  0.107 0.101  0.107 -0.006  0.162 -0.091  0.202 -0.183  0.202 -0.291  0.202 -0.398  0.242 -0.497  0.250 -0.603  0.250 -0.711  0.250 -0.819  0.250 -0.926  0.250 -1.034  0.250 -1.142  0.231 -1.242  0.202 -1.338  0.123 -1.367  0.015 -1.367  -0.090 -1.374  -0.181 -1.414  -0.289 -1.414  -0.397 -1.414  -0.505 -1.414  -0.593 -1.367  -0.701 -1.367
2#tos#t3#t3012065/K  -0.426 1.675  -0.488 1.620  -0.488 1.378  -0.488 1.136  -0.488 0.894  -0.495 0.652  -0.550 0.417  -0.550 0.175  -0.550 -0.067  -0.550 -0.309  -0.550 -0.551  -0.550 -0.793  -0.550 -1.035  -0.523 -1.273  -0.485 -1.492  -0.399 -1.266  -0.312 -1.040  -0.225 -0.814  -0.139 -0.588  -0.052 -0.362  0.034 -0.136  0.121 0.090  0.207 0.316  0.294 0.542  0.381 0.768  0.467 0.994  0.554 1.220  0.633 1.404  0.516 1.247  0.365 1.115  0.321 0.917  0.241 0.705  0.131 0.490  -0.062 0.348  -0.170 0.132  -0.261 -0.093  -0.396 -0.288  -0.417 -0.494  -0.256 -0.313  -0.096 -0.133  0.065 0.048  0.072 -0.175  0.269 -0.262  0.459 -0.406  0.514 -0.634  0.685 -0.805  0.883 -0.943  0.944 -1.171  1.111 -1.335  1.255 -1.500
2#tos#t3#t3012065/M  -0.573 1.267  -0.747 1.086  -0.768 0.825  -0.705 0.573  -0.670 0.316  -0.670 0.052  -0.670 -0.212  -0.670 -0.476  -0.670 -0.740  -0.670 -1.004  -0.622 -1.260  -0.611 -1.514  -0.582 -1.289  -0.593 -1.025  -0.604 -0.761  -0.615 -0.497  -0.626 -0.234  -0.637 0.030  -0.648 0.294  -0.659 0.558  -0.670 0.822  -0.902 0.834  -0.648 0.877  -0.426 0.793  -0.270 0.623  -0.110 0.414  0.013 0.201  0.159 0.083  0.279 -0.026  0.454 0.172  0.629 0.369  0.805 0.566  0.980 0.764  0.859 0.828  0.793 0.601  0.600 0.503  0.389 0.393  0.305 0.159  0.257 -0.056  0.405 0.064  0.583 0.260  0.755 0.417  0.842 0.173  0.905 -0.065  0.988 -0.303  0.988 -0.567  0.988 -0.831  0.988 -1.095  1.037 -1.348  1.037 -1.612
2#tos#t3#t3012065/N  -0.606 1.348  -0.752 1.324  -0.663 1.147  -0.659 0.943  -0.606 0.751  -0.606 0.547  -0.606 0.342  -0.606 0.138  -0.606 -0.066  -0.626 -0.268  -0.663 -0.468  -0.663 -0.673  -0.666 -0.877  -0.719 -1.068  -0.703 -0.922  -0.683 -0.719  -0.663 -0.515  -0.643 -0.312  -0.624 -0.108  -0.604 0.095  -0.584 0.299  -0.565 0.503  -0.589 0.666  -0.645 0.666  -0.476 0.617  -0.416 0.438  -0.272 0.340  -0.208 0.161  -0.074 0.053  0.120 -0.012  0.228 -0.167  0.303 -0.355  0.367 -0.532  0.550 -0.623  0.645 -0.790  0.645 -0.995  0.724 -1.154  0.928 -1.154  0.930 -0.951  0.987 -0.803  0.987 -0.599  1.033 -0.400  1.043 -0.197  1.043 0.008  1.043 0.212  1.043 0.417  1.043 0.621  1.043 0.826  1.043 1.030  1.043 1.235
2#tos#t3#t3012065/O  -0.017 1.183  -0.042 1.053  -0.179 0.998  -0.315 0.944  -0.438 0.883  -0.565 0.856  -0.612 0.717  -0.616 0.570  -0.616 0.423  -0.616 0.276  -0.616 0.129  -0.703 0.017  -0.736 -0.116  -0.736 -0.263  -0.736 -0.411  -0.736 -0.558  -0.736 -0.705  -0.736 -0.852  -0.736 -0.999  -0.625 -1.035  -0.556 -1.114  -0.451 -1.155  -0.303 -1.155  -0.156 -1.155  -0.009 -1.155  0.138 -1.155  0.166 -1.035  0.313 -1.035  0.417 -0.980  0.453 -0.837  0.556 -0.749  0.620 -0.624  0.696 -0.503  0.764 -0.373  0.823 -0.240  0.823 -0.092  0.845 0.051  0.883 0.192  0.883 0.340  0.883 0.487  0.833 0.622  0.724 0.703  0.697 0.823  0.559 0.865  0.419 0.898  0.279 0.943  0.157 1.006  0.026 1.072  -0.109 1.123  -0.257 1.123
