2#apa#apa03#app0395/I  0.407 1.410  0.480 1.410  0.521 1.410  0.448 1.410  0.384 1.388  0.332 1.336  0.281 1.284  0.277 1.213  0.277 1.140  0.277 1.067  0.265 0.996  0.232 0.931  0.200 0.866  0.167 0.800  0.147 0.732  0.147 0.659  0.147 0.586  0.147 0.513  0.104 0.457  0.052 0.406  0.007 0.350  -0.026 0.284  -0.059 0.219  -0.091 0.153  -0.113 0.085  -0.113 0.012  -0.113 -0.061  -0.113 -0.134  -0.113 -0.207  -0.113 -0.280  -0.113 -0.353  -0.120 -0.425  -0.153 -0.490  -0.186 -0.555  -0.218 -0.621  -0.243 -0.688  -0.243 -0.761  -0.243 -0.834  -0.243 -0.907  -0.243 -0.980  -0.243 -1.053  -0.243 -1.126  -0.243 -1.199  -0.243 -1.273  -0.243 -1.346  -0.243 -1.419  -0.243 -1.492  -0.243 -1.565  -0.243 -1.638  -0.243 -1.711
2#apa#apa03#app0395/o  -0.440 0.769  -0.440 0.609  -0.486 0.496  -0.646 0.496  -0.805 0.496  -0.964 0.496  -0.985 0.358  -0.985 0.198  -0.985 0.039  -0.985 -0.120  -0.985 -0.280  -0.902 -0.405  -0.789 -0.517  -0.661 -0.594  -0.502 -0.594  -0.440 -0.691  -0.440 -0.851  -0.296 -0.866  -0.137 -0.866  0.022 -0.866  0.182 -0.866  0.341 -0.866  0.500 -0.866  0.660 -0.866  0.819 -0.866  0.979 -0.866  1.138 -0.866  1.195 -0.764  1.195 -0.604  1.195 -0.445  1.169 -0.296  1.057 -0.183  0.944 -0.071  0.922 0.080  0.907 0.224  0.748 0.224  0.650 0.285  0.650 0.445  0.542 0.496  0.383 0.496  0.268 0.605  0.156 0.718  0.017 0.769  -0.142 0.769  -0.262 0.863  -0.375 0.976  -0.507 1.041  -0.666 1.041  -0.826 1.041  -0.985 1.041
2#apa#apa03#app0395/u  -0.739 0.562  -0.825 0.562  -0.912 0.562  -0.999 0.562  -1.086 0.562  -1.129 0.518  -1.129 0.431  -1.129 0.344  -1.129 0.257  -1.129 0.170  -1.129 0.083  -1.129 -0.003  -1.061 -0.023  -0.974 -0.023  -0.934 -0.069  -0.934 -0.156  -0.909 -0.218  -0.822 -0.218  -0.735 -0.218  -0.648 -0.218  -0.561 -0.218  -0.474 -0.218  -0.388 -0.218  -0.301 -0.218  -0.214 -0.218  -0.127 -0.218  -0.040 -0.218  0.047 -0.218  0.133 -0.218  0.220 -0.218  0.307 -0.218  0.394 -0.218  0.481 -0.218  0.568 -0.218  0.655 -0.218  0.741 -0.218  0.828 -0.218  0.915 -0.218  1.002 -0.218  1.067 -0.166  1.129 -0.105  1.190 -0.044  1.269 -0.023  1.355 -0.023  1.432 0.003  1.493 0.064  1.554 0.126  1.601 0.193  1.601 0.280  1.601 0.367
2#apa#apa03#app0395/r  -0.648 -0.242  -0.648 -0.335  -0.648 -0.428  -0.648 -0.521  -0.648 -0.614  -0.648 -0.706  -0.648 -0.799  -0.648 -0.892  -0.648 -0.985  -0.648 -1.078  -0.648 -1.171  -0.570 -1.185  -0.477 -1.185  -0.406 -1.132  -0.341 -1.066  -0.275 -1.000  -0.271 -0.909  -0.271 -0.816  -0.211 -0.748  -0.146 -0.682  -0.083 -0.615  -0.083 -0.523  -0.083 -0.430  -0.083 -0.337  -0.083 -0.244  -0.083 -0.151  -0.083 -0.058  -0.083 0.035  -0.083 0.128  -0.022 0.195  0.043 0.261  0.108 0.328  0.150 0.411  0.191 0.494  0.233 0.577  0.274 0.660  0.316 0.743  0.357 0.826  0.399 0.909  0.440 0.992  0.482 1.075  0.547 1.142  0.612 1.207  0.680 1.267  0.773 1.267  0.866 1.267  0.959 1.267  1.052 1.267  1.145 1.267  1.238 1.267
2#apa#apa03#app0395/F  0.274 0.677  0.150 0.793  0.034 0.596  -0.027 0.377  -0.158 0.173  -0.304 -0.020  -0.325 -0.256  -0.445 -0.451  -0.524 -0.678  -0.565 -0.913  -0.592 -1.147  -0.685 -1.353  -0.685 -1.599  -0.681 -1.839  -0.554 -1.710  -0.534 -1.466  -0.514 -1.222  -0.493 -0.978  -0.473 -0.734  -0.453 -0.490  -0.432 -0.246  -0.412 -0.001  -0.392 0.243  -0.371 0.487  -0.351 0.731  -0.330 0.975  -0.281 0.962  -0.067 1.037  0.178 1.037  0.423 1.037  0.668 1.037  0.913 1.037  1.158 1.037  1.284 0.917  1.424 0.888  1.212 0.764  1.001 0.640  0.790 0.516  0.579 0.391  0.368 0.267  0.157 0.143  -0.055 0.019  -0.266 -0.105  -0.477 -0.230  -0.422 -0.281  -0.177 -0.281  0.023 -0.173  0.263 -0.162  0.508 -0.162  0.633 -0.281
2#apa#apa03#app0395/r  -0.625 -0.046  -0.505 -0.046  -0.422 -0.081  -0.422 -0.201  -0.422 -0.320  -0.422 -0.440  -0.422 -0.559  -0.422 -0.679  -0.422 -0.798  -0.422 -0.917  -0.422 -1.037  -0.422 -1.156  -0.422 -1.276  -0.422 -1.395  -0.422 -1.418  -0.422 -1.299  -0.422 -1.180  -0.422 -1.060  -0.422 -0.941  -0.396 -0.832  -0.312 -0.747  -0.227 -0.663  -0.219 -0.547  -0.219 -0.428  -0.219 -0.308  -0.219 -0.189  -0.219 -0.069  -0.151 0.022  -0.067 0.106  -0.016 0.205  -0.016 0.324  -0.016 0.444  -0.016 0.563  0.103 0.563  0.187 0.599  0.187 0.718  0.187 0.838  0.187 0.957  0.294 0.969  0.414 0.969  0.533 0.969  0.593 1.029  0.593 1.148  0.689 1.172  0.808 1.172  0.927 1.172  1.047 1.172  1.166 1.172  1.286 1.172  1.405 1.172
2#apa#apa03#app0395/i  -0.077 -0.066  -0.077 -0.172  -0.077 -0.278  -0.077 -0.384  -0.077 -0.489  -0.077 -0.595  -0.077 -0.701  -0.136 -0.747  -0.242 -0.747  -0.247 -0.848  -0.247 -0.954  -0.247 -1.060  -0.247 -1.165  -0.238 -1.267  -0.163 -1.342  -0.088 -1.417  -0.072 -1.339  -0.065 -1.233  -0.059 -1.128  -0.053 -1.022  -0.047 -0.916  -0.041 -0.811  -0.034 -0.705  -0.028 -0.600  -0.022 -0.494  -0.016 -0.388  -0.010 -0.283  -0.003 -0.177  0.003 -0.072  0.009 0.034  0.015 0.140  0.022 0.245  0.028 0.351  0.034 0.456  0.040 0.562  0.046 0.668  0.053 0.773  0.059 0.879  0.065 0.984  0.071 1.090  0.077 1.196  0.084 1.301  0.090 1.407  0.093 1.513  0.093 1.618  0.181 1.636  0.287 1.636  0.393 1.636  0.498 1.636  0.604 1.636
2#apa#apa03#app0395/e  -0.774 0.220  -0.774 0.057  -0.652 0.016  -0.488 0.016  -0.325 0.016  -0.162 0.016  0.002 0.016  0.165 0.016  0.329 0.016  0.492 0.016  0.655 0.016  0.661 0.174  0.777 0.220  0.919 0.273  1.034 0.389  1.071 0.537  1.071 0.701  1.071 0.864  1.071 1.027  0.920 1.040  0.756 1.040  0.593 1.040  0.430 1.040  0.266 1.040  0.251 0.892  0.144 0.835  -0.019 0.835  -0.159 0.812  -0.159 0.648  -0.262 0.527  -0.377 0.412  -0.493 0.296  -0.569 0.164  -0.583 0.016  -0.746 0.016  -0.774 -0.121  -0.774 -0.284  -0.774 -0.448  -0.774 -0.611  -0.774 -0.774  -0.774 -0.938  -0.708 -1.074  -0.593 -1.190  -0.477 -1.305  -0.361 -1.419  -0.198 -1.419  -0.034 -1.419  0.129 -1.419  0.292 -1.419  0.456 -1.419
2#apa#apa03#app0395/n  -0.999 0.328  -0.999 0.179  -0.999 0.029  -0.999 -0.120  -0.999 -0.270  -0.999 -0.419  -0.999 -0.569  -0.999 -0.718  -0.999 -0.868  -0.999 -1.017  -0.999 -1.077  -0.999 -0.928  -0.897 -0.880  -0.757 -0.871  -0.757 -0.721  -0.690 -0.639  -0.540 -0.639  -0.515 -0.514  -0.492 -0.374  -0.387 -0.268  -0.281 -0.163  -0.175 -0.057  -0.070 0.049  0.064 0.086  0.210 0.090  0.210 0.240  0.237 0.383  0.304 0.516  0.371 0.650  0.438 0.784  0.535 0.895  0.641 1.001  0.747 1.107  0.853 1.213  0.935 1.262  0.935 1.112  0.935 0.963  0.935 0.813  0.935 0.664  0.896 0.531  0.790 0.425  0.693 0.316  0.693 0.166  0.693 0.017  0.693 -0.133  0.693 -0.282  0.693 -0.432  0.693 -0.581  0.785 -0.639  0.935 -0.639
2#apa#apa03#app0395/d  -0.075 -0.575  0.050 -0.496  0.050 -0.292  -0.028 -0.121  -0.212 -0.073  -0.416 -0.073  -0.577 -0.116  -0.698 -0.199  -0.851 -0.324  -1.025 -0.396  -1.136 -0.564  -1.204 -0.752  -1.200 -0.951  -1.079 -1.034  -0.917 -1.077  -0.713 -1.077  -0.509 -1.077  -0.321 -1.012  -0.151 -0.902  0.021 -0.826  0.085 -0.666  0.230 -0.521  0.301 -0.347  0.301 -0.143  0.307 0.058  0.427 0.213  0.427 0.417  0.427 0.621  0.530 0.783  0.552 0.977  0.552 1.181  0.608 1.362  0.678 1.537  0.678 1.741  0.670 1.676  0.552 1.520  0.470 1.350  0.419 1.166  0.328 0.984  0.301 0.786  0.301 0.582  0.265 0.393  0.176 0.226  0.176 0.022  0.176 -0.182  0.176 -0.386  0.176 -0.590  0.176 -0.794  0.223 -0.951  0.301 -1.077
2#apa#apa03#app0395/,  0.112 1.624  0.198 1.624  0.284 1.624  0.303 1.557  0.303 1.471  0.303 1.385  0.303 1.299  0.303 1.213  0.303 1.128  0.303 1.042  0.303 0.956  0.303 0.870  0.303 0.784  0.303 0.698  0.303 0.612  0.303 0.526  0.303 0.440  0.303 0.354  0.303 0.268  0.303 0.182  0.303 0.096  0.303 0.010  0.303 -0.076  0.303 -0.162  0.303 -0.248  0.303 -0.333  0.303 -0.419  0.303 -0.505  0.303 -0.591  0.299 -0.673  0.213 -0.673  0.127 -0.673  0.112 -0.744  0.112 -0.830  0.061 -0.865  -0.025 -0.865  -0.111 -0.865  -0.197 -0.865  -0.283 -0.865  -0.369 -0.865  -0.455 -0.865  -0.541 -0.865  -0.627 -0.865  -0.713 -0.865  -0.798 -0.865  -0.884 -0.865  -0.970 -0.865  -1.056 -0.865  -1.142 -0.865  -1.228 -0.865
2#apa#apa03#app0395/\"  -0.445 1.574  -0.445 1.429  -0.445 1.285  -0.445 1.140  -0.445 0.995  -0.445 0.851  -0.445 0.706  -0.445 0.561  -0.445 0.416  -0.531 0.357  -0.676 0.357  -0.820 0.357  -0.851 0.243  -0.851 0.098  -0.851 -0.046  -0.851 -0.191  -0.851 -0.336  -0.878 -0.454  -1.022 -0.454  -1.167 -0.454  -1.201 -0.446  -1.058 -0.425  -0.915 -0.405  -0.772 -0.384  -0.628 -0.364  -0.485 -0.344  -0.342 -0.323  -0.199 -0.303  -0.055 -0.282  0.088 -0.262  0.231 -0.241  0.375 -0.221  0.518 -0.200  0.661 -0.180  0.804 -0.159  0.948 -0.139  1.091 -0.118  1.234 -0.098  1.377 -0.077  1.521 -0.057  1.500 -0.048  1.356 -0.048  1.211 -0.048  1.099 -0.126  0.996 -0.229  0.894 -0.331  0.792 -0.433  0.771 -0.570  0.771 -0.715  0.771 -0.859
