1c#apa#apa03#app0312/p  -0.501 -1.771  -0.393 -1.766  -0.404 -1.664  -0.501 -1.647  -0.501 -1.533  -0.501 -1.420  -0.501 -1.306  -0.501 -1.193  -0.501 -1.079  -0.501 -0.965  -0.501 -0.852  -0.501 -0.738  -0.501 -0.625  -0.501 -0.511  -0.501 -0.398  -0.501 -0.284  -0.461 -0.180  -0.410 -0.078  -0.393 0.031  -0.393 0.145  -0.354 0.249  -0.304 0.351  -0.285 0.460  -0.230 0.550  -0.177 0.642  -0.133 0.711  -0.069 0.761  -0.014 0.819  0.039 0.880  0.105 0.927  0.147 1.000  0.225 1.035  0.338 1.035  0.452 1.035  0.565 1.035  0.679 1.035  0.686 0.929  0.794 0.923  0.794 0.810  0.794 0.696  0.794 0.583  0.794 0.469  0.772 0.365  0.691 0.285  0.611 0.204  0.531 0.124  0.451 0.044  0.370 -0.036  0.260 -0.044  0.147 -0.044
1c#apa#apa03#app0312/g  0.030 0.993  0.003 1.104  -0.081 1.158  -0.162 1.215  -0.300 1.215  -0.431 1.197  -0.530 1.104  -0.634 1.070  -0.677 0.950  -0.745 0.840  -0.745 0.702  -0.702 0.575  -0.640 0.451  -0.546 0.352  -0.417 0.329  -0.390 0.218  -0.252 0.218  -0.137 0.273  -0.039 0.370  0.058 0.468  0.141 0.571  0.141 0.709  0.141 0.847  0.243 0.883  0.251 0.753  0.251 0.615  0.251 0.477  0.296 0.350  0.358 0.227  0.362 0.090  0.362 -0.048  0.413 -0.165  0.473 -0.278  0.473 -0.416  0.473 -0.554  0.473 -0.692  0.473 -0.830  0.473 -0.967  0.473 -1.105  0.457 -1.237  0.360 -1.334  0.262 -1.432  0.239 -1.553  0.101 -1.553  -0.036 -1.553  -0.174 -1.553  -0.191 -1.432  -0.165 -1.305  -0.067 -1.208  0.030 -1.110
1c#apa#apa03#app0312/h  -0.178 1.920  -0.178 1.809  -0.287 1.808  -0.290 1.700  -0.290 1.589  -0.290 1.478  -0.290 1.368  -0.290 1.257  -0.290 1.146  -0.290 1.036  -0.290 0.925  -0.290 0.814  -0.290 0.704  -0.290 0.593  -0.290 0.483  -0.290 0.372  -0.290 0.261  -0.290 0.151  -0.290 0.040  -0.290 -0.071  -0.290 -0.181  -0.290 -0.292  -0.290 -0.403  -0.290 -0.513  -0.290 -0.624  -0.290 -0.735  -0.290 -0.845  -0.290 -0.956  -0.290 -1.067  -0.290 -1.022  -0.213 -0.988  -0.178 -0.912  -0.125 -0.823  -0.047 -0.745  0.031 -0.667  0.109 -0.589  0.188 -0.510  0.266 -0.432  0.344 -0.354  0.439 -0.317  0.550 -0.317  0.661 -0.317  0.717 -0.371  0.754 -0.466  0.829 -0.546  0.829 -0.657  0.829 -0.768  0.829 -0.878  0.829 -0.989  0.829 -1.100
1c#apa#apa03#app0312/t  0.403 1.461  0.466 1.585  0.526 1.713  0.479 1.785  0.346 1.652  0.213 1.520  0.155 1.356  0.036 1.218  0.031 1.032  -0.054 0.881  -0.100 0.712  -0.216 0.572  -0.216 0.385  -0.216 0.197  -0.216 0.010  -0.216 -0.178  -0.216 -0.365  -0.216 -0.553  -0.216 -0.740  -0.102 -0.881  0.031 -1.013  0.167 -1.137  0.354 -1.137  0.542 -1.137  0.730 -1.137  0.917 -1.137  1.021 -1.054  0.887 -0.954  0.716 -0.878  0.544 -0.802  0.373 -0.725  0.202 -0.649  0.030 -0.573  -0.141 -0.497  -0.312 -0.421  -0.484 -0.345  -0.655 -0.268  -0.827 -0.192  -0.998 -0.116  -1.169 -0.040  -1.059 -0.024  -0.871 -0.024  -0.692 -0.004  -0.548 0.100  -0.360 0.100  -0.172 0.100  0.015 0.100  0.203 0.100  0.358 0.179  0.526 0.224
1c#apa#apa03#app0312/h  -0.315 1.861  -0.315 1.721  -0.315 1.581  -0.333 1.459  -0.449 1.435  -0.449 1.295  -0.449 1.155  -0.449 1.015  -0.449 0.875  -0.449 0.735  -0.449 0.595  -0.449 0.455  -0.449 0.315  -0.449 0.175  -0.509 0.059  -0.583 -0.050  -0.583 -0.190  -0.583 -0.330  -0.583 -0.470  -0.583 -0.610  -0.583 -0.750  -0.583 -0.890  -0.583 -1.030  -0.583 -1.170  -0.583 -1.132  -0.488 -1.087  -0.378 -1.016  -0.279 -0.917  -0.180 -0.818  -0.081 -0.719  0.018 -0.620  0.117 -0.521  0.216 -0.422  0.315 -0.323  0.392 -0.208  0.455 -0.083  0.534 0.030  0.633 0.129  0.732 0.228  0.757 0.358  0.868 0.387  0.891 0.269  0.891 0.129  0.891 -0.011  0.891 -0.151  0.894 -0.290  0.957 -0.415  1.019 -0.540  1.025 -0.679  1.025 -0.819
1c#apa#apa03#app0312/e  -0.666 -0.158  -0.544 -0.280  -0.407 -0.365  -0.253 -0.347  -0.253 -0.174  -0.096 -0.158  0.077 -0.158  0.223 -0.096  0.345 0.026  0.467 0.148  0.596 0.255  0.768 0.255  0.781 0.415  0.781 0.588  0.873 0.669  0.988 0.726  0.988 0.899  0.988 1.071  0.826 1.082  0.653 1.082  0.481 1.082  0.308 1.082  0.136 1.082  -0.037 1.082  -0.162 0.967  -0.296 0.875  -0.460 0.866  -0.460 0.694  -0.607 0.669  -0.666 0.555  -0.722 0.406  -0.844 0.284  -0.873 0.123  -0.873 -0.050  -0.873 -0.222  -0.873 -0.395  -0.873 -0.567  -0.754 -0.691  -0.632 -0.813  -0.510 -0.935  -0.359 -0.985  -0.253 -1.052  -0.220 -1.192  -0.048 -1.192  0.125 -1.192  0.297 -1.192  0.470 -1.192  0.643 -1.192  0.815 -1.192  0.988 -1.192
1c#apa#apa03#app0312/m  -1.405 0.343  -1.284 0.317  -1.284 0.170  -1.284 0.022  -1.284 -0.125  -1.163 -0.151  -1.163 -0.298  -1.163 -0.445  -1.075 -0.504  -1.042 -0.391  -0.921 -0.365  -0.889 -0.231  -0.800 -0.121  -0.767 0.013  -0.679 0.123  -0.644 0.256  -0.558 0.367  -0.507 0.464  -0.437 0.541  -0.437 0.482  -0.316 0.456  -0.316 0.309  -0.316 0.162  -0.316 0.014  -0.316 -0.133  -0.298 -0.262  -0.151 -0.262  -0.004 -0.262  0.143 -0.262  0.169 -0.141  0.273 -0.037  0.412 -0.019  0.516 0.086  0.653 0.105  0.674 0.243  0.778 0.347  0.882 0.451  0.986 0.555  1.121 0.585  1.137 0.453  1.137 0.306  1.181 0.177  1.258 0.062  1.258 -0.085  1.258 -0.232  1.258 -0.379  1.359 -0.485  1.379 -0.624  1.481 -0.728  1.500 -0.868
1c#apa#apa03#app0312/o  0.474 0.402  0.623 0.402  0.701 0.472  0.701 0.621  0.559 0.629  0.474 0.692  0.474 0.841  0.340 0.856  0.191 0.856  0.042 0.856  -0.108 0.856  -0.242 0.822  -0.348 0.716  -0.460 0.629  -0.609 0.629  -0.730 0.561  -0.836 0.455  -0.922 0.336  -0.989 0.203  -1.055 0.070  -1.117 -0.065  -1.117 -0.214  -1.117 -0.363  -1.117 -0.512  -1.117 -0.661  -1.064 -0.788  -0.958 -0.893  -0.838 -0.962  -0.689 -0.962  -0.540 -0.962  -0.391 -0.962  -0.242 -0.962  -0.092 -0.962  0.057 -0.962  0.206 -0.962  0.247 -0.854  0.268 -0.713  0.373 -0.608  0.478 -0.503  0.584 -0.397  0.689 -0.292  0.701 -0.148  0.739 -0.015  0.845 0.091  0.950 0.196  1.055 0.301  1.155 0.409  1.155 0.558  1.234 0.629  1.383 0.629
1c#apa#apa03#app0312/m  -1.399 0.197  -1.295 0.300  -1.295 0.155  -1.235 0.033  -1.190 -0.095  -1.190 -0.241  -1.190 -0.388  -1.190 -0.534  -1.147 -0.638  -1.086 -0.552  -0.982 -0.510  -0.916 -0.429  -0.875 -0.322  -0.771 -0.219  -0.669 -0.114  -0.669 0.032  -0.591 0.131  -0.460 0.197  -0.430 0.331  -0.327 0.434  -0.251 0.550  -0.169 0.614  -0.147 0.489  -0.147 0.343  -0.147 0.196  -0.117 0.062  -0.043 -0.054  -0.043 -0.200  -0.021 -0.325  0.062 -0.261  0.166 -0.218  0.211 -0.116  0.332 -0.055  0.435 0.049  0.539 0.153  0.658 0.234  0.790 0.300  0.894 0.403  0.997 0.507  1.143 0.510  1.289 0.510  1.314 0.387  1.314 0.241  1.314 0.094  1.342 -0.041  1.418 -0.156  1.418 -0.302  1.418 -0.449  1.418 -0.596  1.522 -0.638
1c#apa#apa03#app0312/e  -0.655 -0.304  -0.494 -0.306  -0.490 -0.465  -0.327 -0.465  -0.165 -0.465  -0.012 -0.455  0.000 -0.304  0.163 -0.304  0.310 -0.288  0.328 -0.143  0.485 -0.129  0.600 -0.014  0.631 0.136  0.752 0.178  0.792 0.300  0.880 0.427  0.953 0.559  0.953 0.722  0.953 0.885  0.953 1.048  0.905 1.191  0.789 1.303  0.626 1.303  0.465 1.298  0.350 1.183  0.204 1.143  0.073 1.067  -0.042 0.951  -0.157 0.836  -0.173 0.680  -0.274 0.559  -0.412 0.500  -0.530 0.427  -0.603 0.282  -0.676 0.136  -0.749 -0.009  -0.816 -0.156  -0.816 -0.319  -0.816 -0.482  -0.816 -0.645  -0.816 -0.807  -0.793 -0.947  -0.637 -0.965  -0.522 -1.080  -0.407 -1.195  -0.275 -1.269  -0.130 -1.312  -0.015 -1.427  0.147 -1.430  0.310 -1.430
1c#apa#apa03#app0312/t  0.446 1.604  0.446 1.761  0.446 1.917  0.341 1.819  0.305 1.677  0.233 1.550  0.186 1.404  0.126 1.262  0.126 1.105  0.119 0.950  0.049 0.810  0.019 0.661  -0.003 0.513  -0.088 0.392  -0.088 0.235  -0.088 0.078  -0.113 -0.074  -0.163 -0.223  -0.195 -0.374  -0.195 -0.531  -0.195 -0.688  -0.195 -0.844  -0.195 -1.001  -0.195 -1.158  -0.195 -1.314  -0.111 -1.387  0.006 -1.482  0.158 -1.494  0.290 -1.437  0.294 -1.313  0.214 -1.178  0.133 -1.044  0.053 -0.910  -0.028 -0.775  -0.109 -0.641  -0.189 -0.507  -0.270 -0.372  -0.350 -0.238  -0.431 -0.104  -0.512 0.031  -0.592 0.165  -0.553 0.146  -0.411 0.108  -0.255 0.108  -0.098 0.108  0.058 0.108  0.215 0.108  0.372 0.108  0.520 0.145  0.660 0.215
1c#apa#apa03#app0312/h  0.038 1.980  0.038 1.864  0.016 1.757  -0.062 1.673  -0.062 1.557  -0.088 1.451  -0.163 1.366  -0.163 1.250  -0.163 1.134  -0.163 1.018  -0.214 0.923  -0.263 0.827  -0.263 0.711  -0.263 0.595  -0.305 0.489  -0.357 0.385  -0.364 0.270  -0.364 0.154  -0.364 0.038  -0.364 -0.078  -0.364 -0.194  -0.420 -0.288  -0.464 -0.385  -0.464 -0.501  -0.464 -0.617  -0.464 -0.734  -0.464 -0.850  -0.434 -0.935  -0.364 -0.889  -0.302 -0.835  -0.263 -0.758  -0.170 -0.734  -0.086 -0.658  -0.004 -0.575  0.078 -0.493  0.160 -0.411  0.243 -0.330  0.347 -0.278  0.452 -0.232  0.541 -0.259  0.571 -0.363  0.641 -0.450  0.641 -0.566  0.641 -0.682  0.641 -0.798  0.698 -0.891  0.742 -0.989  0.742 -1.105  0.742 -1.221  0.742 -1.337
1c#apa#apa03#app0312/i  -0.153 0.293  -0.070 0.210  -0.006 0.119  -0.006 0.001  -0.006 -0.117  -0.006 -0.235  -0.006 -0.353  -0.006 -0.470  -0.006 -0.588  -0.006 -0.706  -0.064 -0.800  -0.147 -0.883  -0.153 -0.998  -0.153 -1.116  -0.153 -1.233  -0.172 -1.333  -0.290 -1.333  -0.301 -1.439  -0.286 -1.405  -0.263 -1.290  -0.240 -1.174  -0.217 -1.059  -0.194 -0.943  -0.171 -0.828  -0.148 -0.712  -0.125 -0.597  -0.101 -0.481  -0.078 -0.366  -0.055 -0.251  -0.032 -0.135  -0.009 -0.020  0.014 0.096  0.037 0.211  0.060 0.327  0.083 0.442  0.106 0.558  0.129 0.673  0.153 0.789  0.176 0.904  0.199 1.020  0.222 1.135  0.245 1.251  0.268 1.366  0.290 1.482  0.290 1.600  0.223 1.690  0.144 1.768  0.228 1.685  0.320 1.623  0.438 1.623
1c#apa#apa03#app0312/n  -0.797 0.499  -0.797 0.660  -0.797 0.822  -0.637 0.824  -0.634 0.665  -0.634 0.503  -0.791 0.499  -0.797 0.343  -0.797 0.181  -0.797 0.019  -0.797 -0.142  -0.797 -0.304  -0.797 -0.465  -0.948 -0.476  -0.959 -0.626  -0.959 -0.788  -0.959 -0.949  -0.855 -0.860  -0.797 -0.722  -0.719 -0.639  -0.634 -0.562  -0.580 -0.422  -0.466 -0.308  -0.352 -0.194  -0.208 -0.151  -0.147 -0.051  -0.076 0.082  0.038 0.196  0.152 0.310  0.266 0.425  0.381 0.539  0.495 0.653  0.609 0.767  0.723 0.882  0.842 0.986  0.991 0.974  0.991 0.812  0.991 0.651  0.991 0.489  0.991 0.327  0.991 0.166  0.991 0.004  0.991 -0.157  0.991 -0.319  0.991 -0.481  0.991 -0.642  0.991 -0.804  0.991 -0.965  0.992 -1.126  1.153 -1.126
1c#apa#apa03#app0312/g  0.606 0.757  0.606 0.907  0.554 1.005  0.497 1.114  0.391 1.221  0.254 1.253  0.105 1.249  -0.013 1.171  -0.132 1.095  -0.196 1.005  -0.222 0.880  -0.222 0.730  -0.155 0.607  -0.011 0.591  0.106 0.671  0.221 0.757  0.343 0.825  0.391 0.956  0.440 1.086  0.440 0.940  0.358 0.824  0.299 0.698  0.247 0.561  0.210 0.415  0.158 0.275  0.109 0.136  0.109 -0.014  0.104 -0.163  0.037 -0.298  0.027 -0.446  -0.052 -0.563  -0.056 -0.712  -0.056 -0.862  -0.079 -1.003  -0.139 -1.129  -0.198 -1.265  -0.291 -1.381  -0.339 -1.512  -0.469 -1.560  -0.581 -1.463  -0.716 -1.396  -0.718 -1.247  -0.635 -1.131  -0.576 -1.005  -0.440 -0.966  -0.305 -0.899  -0.195 -0.798  -0.070 -0.714  0.058 -0.634  0.192 -0.567
1c#apa#apa03#app0312/l  0.576 1.261  0.657 1.261  0.676 1.324  0.631 1.361  0.550 1.361  0.471 1.355  0.414 1.297  0.356 1.240  0.299 1.183  0.255 1.116  0.219 1.043  0.182 0.970  0.127 0.911  0.073 0.851  0.037 0.779  0.001 0.706  -0.036 0.634  -0.072 0.561  -0.108 0.489  -0.159 0.426  -0.217 0.369  -0.254 0.297  -0.290 0.224  -0.318 0.150  -0.318 0.069  -0.318 -0.012  -0.318 -0.093  -0.318 -0.175  -0.318 -0.256  -0.318 -0.337  -0.318 -0.418  -0.318 -0.499  -0.318 -0.580  -0.318 -0.662  -0.318 -0.743  -0.318 -0.824  -0.262 -0.882  -0.219 -0.945  -0.219 -1.026  -0.219 -1.107  -0.154 -1.124  -0.120 -1.170  -0.091 -1.223  -0.020 -1.233  -0.020 -1.314  0.053 -1.323  0.134 -1.323  0.215 -1.323  0.296 -1.323  0.377 -1.323
1c#apa#apa03#app0312/i  -0.077 0.589  -0.077 0.468  -0.159 0.382  -0.203 0.279  -0.203 0.159  -0.203 0.038  -0.203 -0.083  -0.230 -0.192  -0.315 -0.277  -0.329 -0.392  -0.329 -0.513  -0.329 -0.634  -0.329 -0.754  -0.329 -0.875  -0.405 -0.919  -0.454 -0.990  -0.454 -1.111  -0.454 -1.231  -0.454 -1.352  -0.403 -1.421  -0.315 -1.377  -0.280 -1.262  -0.244 -1.147  -0.209 -1.031  -0.173 -0.916  -0.138 -0.801  -0.102 -0.686  -0.067 -0.570  -0.031 -0.455  0.004 -0.340  0.040 -0.225  0.075 -0.109  0.111 0.006  0.146 0.121  0.182 0.237  0.217 0.352  0.252 0.467  0.288 0.582  0.323 0.698  0.359 0.813  0.394 0.928  0.430 1.043  0.465 1.159  0.501 1.274  0.536 1.389  0.572 1.504  0.607 1.620  0.643 1.735  0.677 1.850  0.677 1.971
1c#apa#apa03#app0312/k  -0.158 1.859  -0.250 1.736  -0.281 1.550  -0.281 1.333  -0.281 1.117  -0.281 0.900  -0.281 0.684  -0.295 0.470  -0.392 0.277  -0.405 0.063  -0.405 -0.153  -0.406 -0.370  -0.474 -0.575  -0.529 -0.783  -0.625 -0.960  -0.652 -1.165  -0.676 -1.358  -0.776 -1.474  -0.726 -1.536  -0.601 -1.359  -0.475 -1.183  -0.349 -1.007  -0.223 -0.831  -0.097 -0.654  0.029 -0.478  0.155 -0.302  0.281 -0.126  0.406 0.050  0.532 0.227  0.658 0.403  0.784 0.579  0.910 0.755  1.036 0.932  0.956 0.976  0.846 0.869  0.653 0.814  0.464 0.746  0.299 0.622  0.121 0.529  -0.032 0.376  -0.222 0.310  -0.281 0.118  -0.281 -0.098  -0.108 -0.170  0.045 -0.323  0.199 -0.477  0.358 -0.615  0.541 -0.695  0.740 -0.739  0.832 -0.863
