2#apb#apb41#app4116/S  0.757 1.011  0.759 1.111  0.634 1.138  0.505 1.147  0.377 1.129  0.249 1.105  0.123 1.077  -0.002 1.043  -0.126 1.008  -0.249 0.965  -0.371 0.923  -0.481 0.856  -0.589 0.784  -0.688 0.700  -0.660 0.587  -0.561 0.504  -0.437 0.468  -0.312 0.433  -0.185 0.414  -0.056 0.400  0.073 0.387  0.199 0.359  0.324 0.324  0.448 0.289  0.555 0.217  0.661 0.143  0.743 0.044  0.812 -0.064  0.812 -0.193  0.803 -0.321  0.751 -0.439  0.690 -0.552  0.608 -0.653  0.525 -0.752  0.437 -0.847  0.348 -0.941  0.231 -0.990  0.107 -1.029  -0.017 -1.065  -0.142 -1.098  -0.267 -1.131  -0.396 -1.124  -0.525 -1.113  -0.652 -1.092  -0.778 -1.059  -0.896 -1.012  -1.004 -0.940  -1.069 -0.830  -1.077 -0.706  -0.992 -0.615
2#apb#apb41#app4116/8  0.433 0.482  0.553 0.632  0.590 0.797  0.407 0.861  0.211 0.862  0.016 0.850  -0.179 0.826  -0.373 0.797  -0.562 0.744  -0.751 0.691  -0.938 0.631  -1.119 0.559  -1.251 0.430  -1.102 0.318  -0.918 0.251  -0.730 0.193  -0.543 0.135  -0.357 0.072  -0.171 0.008  0.012 -0.062  0.195 -0.133  0.345 -0.259  0.470 -0.406  0.560 -0.580  0.580 -0.775  0.523 -0.951  0.412 -1.113  0.262 -1.238  0.107 -1.357  -0.072 -1.438  -0.257 -1.490  -0.449 -1.475  -0.566 -1.336  -0.582 -1.145  -0.514 -0.961  -0.442 -0.779  -0.343 -0.609  -0.244 -0.440  -0.143 -0.271  -0.031 -0.111  0.082 0.050  0.195 0.210  0.331 0.352  0.470 0.490  0.609 0.629  0.755 0.759  0.905 0.887  1.055 1.012  1.211 1.132  1.349 1.271
2#apb#apb41#app4116/A  0.174 1.060  0.249 1.292  0.145 1.143  0.020 0.933  -0.103 0.723  -0.226 0.512  -0.343 0.298  -0.447 0.078  -0.551 -0.143  -0.652 -0.365  -0.754 -0.587  -0.859 -0.807  -0.959 -1.029  -1.036 -1.260  -0.951 -1.173  -0.828 -0.963  -0.711 -0.749  -0.612 -0.526  -0.517 -0.301  -0.423 -0.076  -0.330 0.149  -0.236 0.374  -0.128 0.592  -0.008 0.805  0.111 1.018  0.258 1.212  0.421 1.391  0.618 1.387  0.733 1.174  0.797 0.941  0.838 0.700  0.838 0.456  0.838 0.212  0.829 -0.031  0.817 -0.275  0.800 -0.518  0.778 -0.761  0.769 -1.005  0.777 -1.248  0.768 -1.229  0.710 -0.994  0.597 -0.778  0.441 -0.594  0.265 -0.425  0.063 -0.290  -0.145 -0.162  -0.368 -0.064  -0.598 0.009  -0.842 0.009  -1.029 -0.115
2#apb#apb41#app4116/u  -1.057 0.308  -1.093 0.398  -1.121 0.469  -1.118 0.372  -1.113 0.275  -1.107 0.178  -1.101 0.081  -1.077 -0.012  -1.045 -0.104  -1.013 -0.195  -0.980 -0.287  -0.931 -0.370  -0.876 -0.450  -0.821 -0.529  -0.758 -0.600  -0.670 -0.641  -0.582 -0.682  -0.494 -0.723  -0.402 -0.748  -0.305 -0.761  -0.209 -0.774  -0.114 -0.776  -0.023 -0.743  0.069 -0.711  0.160 -0.679  0.249 -0.640  0.328 -0.584  0.407 -0.527  0.486 -0.471  0.557 -0.406  0.620 -0.332  0.682 -0.258  0.745 -0.184  0.787 -0.098  0.821 -0.007  0.855 0.084  0.889 0.175  0.881 0.271  0.871 0.367  0.860 0.464  0.849 0.560  0.830 0.655  0.810 0.750  0.790 0.845  0.770 0.940  0.753 1.036  0.738 1.132  0.724 1.228  0.720 1.325  0.763 1.379
2#apb#apb41#app4116/g  0.726 1.016  0.594 1.118  0.453 1.208  0.297 1.258  0.136 1.264  -0.022 1.211  -0.152 1.109  -0.276 0.999  -0.358 0.854  -0.433 0.706  -0.456 0.541  -0.455 0.379  -0.377 0.236  -0.226 0.166  -0.064 0.166  0.102 0.186  0.246 0.263  0.383 0.357  0.513 0.461  0.629 0.578  0.712 0.722  0.752 0.884  0.666 0.943  0.593 0.794  0.550 0.633  0.508 0.472  0.476 0.309  0.444 0.145  0.410 -0.018  0.366 -0.179  0.321 -0.339  0.277 -0.500  0.218 -0.656  0.158 -0.811  0.098 -0.966  0.027 -1.117  -0.045 -1.267  -0.126 -1.412  -0.234 -1.539  -0.390 -1.585  -0.536 -1.528  -0.645 -1.406  -0.732 -1.265  -0.774 -1.104  -0.806 -0.941  -0.806 -0.774  -0.806 -0.608  -0.740 -0.456  -0.657 -0.313  -0.539 -0.196
2#apb#apb41#app4116/.  0.117 -1.703  0.093 -1.631  0.069 -1.559  0.045 -1.487  0.021 -1.415  -0.003 -1.343  -0.027 -1.271  -0.051 -1.199  -0.075 -1.127  -0.099 -1.055  -0.123 -0.983  -0.147 -0.911  -0.171 -0.839  -0.195 -0.767  -0.219 -0.695  -0.243 -0.623  -0.267 -0.551  -0.291 -0.479  -0.315 -0.407  -0.339 -0.335  -0.363 -0.263  -0.350 -0.196  -0.308 -0.133  -0.266 -0.070  -0.224 -0.006  -0.181 0.057  -0.139 0.120  -0.097 0.183  -0.055 0.246  -0.013 0.309  0.029 0.373  0.071 0.436  0.113 0.499  0.117 0.574  0.117 0.650  0.117 0.726  0.117 0.802  0.117 0.877  0.117 0.953  0.117 1.029  0.117 1.105  0.117 1.181  0.132 1.248  0.200 1.282  0.268 1.316  0.336 1.350  0.404 1.383  0.472 1.417  0.539 1.451  0.607 1.485
2#apb#apb41#app4116/9  0.382 0.111  0.423 0.277  0.432 0.448  0.419 0.619  0.320 0.756  0.209 0.887  0.076 0.987  -0.087 1.032  -0.255 0.999  -0.423 0.964  -0.562 0.863  -0.700 0.762  -0.836 0.657  -0.960 0.539  -1.085 0.421  -1.190 0.286  -1.277 0.141  -1.291 -0.030  -1.191 -0.164  -1.027 -0.211  -0.859 -0.235  -0.688 -0.226  -0.518 -0.204  -0.353 -0.159  -0.188 -0.112  -0.044 -0.019  0.099 0.075  0.239 0.175  0.375 0.279  0.503 0.392  0.620 0.518  0.710 0.660  0.790 0.774  0.789 0.605  0.773 0.434  0.745 0.265  0.706 0.098  0.667 -0.069  0.621 -0.234  0.564 -0.396  0.507 -0.558  0.450 -0.720  0.398 -0.883  0.353 -1.049  0.308 -1.214  0.263 -1.380  0.219 -1.546  0.176 -1.711  0.173 -1.883  0.225 -2.017
2#apb#apb41#app4116/M  -0.928 0.569  -0.822 0.771  -0.743 0.732  -0.780 0.508  -0.840 0.287  -0.912 0.069  -0.989 -0.146  -1.072 -0.360  -1.152 -0.575  -1.226 -0.791  -1.262 -1.017  -1.134 -0.915  -1.015 -0.720  -0.907 -0.517  -0.798 -0.316  -0.689 -0.115  -0.581 0.088  -0.474 0.290  -0.357 0.487  -0.233 0.680  -0.082 0.850  0.100 0.982  0.253 0.863  0.253 0.634  0.238 0.406  0.206 0.180  0.150 -0.043  0.087 -0.263  0.014 -0.480  -0.054 -0.699  -0.114 -0.918  -0.017 -0.721  0.086 -0.516  0.195 -0.315  0.312 -0.118  0.447 0.067  0.583 0.251  0.720 0.435  0.860 0.617  1.005 0.794  1.200 0.885  1.277 0.675  1.284 0.447  1.259 0.220  1.218 -0.006  1.177 -0.231  1.124 -0.454  1.065 -0.675  1.006 -0.896  1.064 -0.981
2#apb#apb41#app4116/a  0.106 0.204  0.167 0.378  0.190 0.561  0.186 0.748  0.019 0.815  -0.169 0.830  -0.358 0.819  -0.538 0.765  -0.692 0.657  -0.831 0.530  -0.939 0.374  -1.048 0.219  -1.159 0.065  -1.239 -0.104  -1.296 -0.285  -1.352 -0.467  -1.391 -0.649  -1.342 -0.821  -1.178 -0.899  -0.989 -0.888  -0.811 -0.841  -0.649 -0.742  -0.488 -0.642  -0.338 -0.527  -0.193 -0.405  -0.048 -0.283  0.080 -0.142  0.206 -0.001  0.329 0.143  0.428 0.305  0.526 0.467  0.593 0.644  0.648 0.824  0.648 1.014  0.545 0.866  0.466 0.694  0.426 0.509  0.389 0.323  0.389 0.135  0.405 -0.054  0.429 -0.241  0.496 -0.419  0.586 -0.579  0.736 -0.694  0.923 -0.723  1.102 -0.689  1.274 -0.610  1.434 -0.507  1.591 -0.401  1.733 -0.276
2#apb#apb41#app4116/y  -0.823 0.758  -0.876 0.751  -0.927 0.625  -0.961 0.494  -0.978 0.359  -0.966 0.224  -0.930 0.096  -0.844 -0.000  -0.708 -0.000  -0.577 0.029  -0.450 0.078  -0.323 0.127  -0.206 0.197  -0.090 0.268  0.026 0.339  0.129 0.428  0.232 0.517  0.333 0.609  0.426 0.708  0.520 0.807  0.598 0.917  0.674 1.031  0.741 1.149  0.823 1.231  0.798 1.097  0.765 0.965  0.718 0.837  0.671 0.710  0.624 0.582  0.572 0.456  0.520 0.330  0.468 0.205  0.416 0.079  0.363 -0.047  0.309 -0.172  0.256 -0.297  0.203 -0.422  0.149 -0.548  0.098 -0.674  0.047 -0.800  -0.004 -0.926  -0.055 -1.053  -0.104 -1.180  -0.152 -1.307  -0.199 -1.435  -0.241 -1.564  -0.282 -1.694  -0.306 -1.756  -0.266 -1.626  -0.209 -1.503
2#apb#apb41#app4116/2  -0.990 1.214  -1.135 1.205  -1.092 1.113  -0.967 1.033  -0.825 1.003  -0.678 0.986  -0.531 0.969  -0.385 0.948  -0.239 0.926  -0.092 0.904  0.047 0.856  0.185 0.802  0.320 0.744  0.419 0.635  0.481 0.509  0.490 0.362  0.443 0.229  0.362 0.105  0.281 -0.019  0.175 -0.118  0.051 -0.197  -0.074 -0.277  -0.202 -0.351  -0.338 -0.409  -0.474 -0.466  -0.610 -0.525  -0.744 -0.588  -0.877 -0.651  -1.016 -0.702  -1.021 -0.620  -0.901 -0.536  -0.774 -0.460  -0.631 -0.426  -0.486 -0.399  -0.340 -0.371  -0.193 -0.357  -0.046 -0.345  0.101 -0.341  0.247 -0.364  0.393 -0.388  0.538 -0.419  0.683 -0.449  0.816 -0.513  0.950 -0.577  1.088 -0.630  1.232 -0.656  1.379 -0.663  1.523 -0.629  1.662 -0.579  1.796 -0.517
2#apb#apb41#app4116/2  -1.165 1.023  -1.095 0.979  -0.958 0.942  -0.820 0.913  -0.680 0.897  -0.539 0.882  -0.398 0.866  -0.261 0.831  -0.124 0.795  0.012 0.758  0.139 0.695  0.262 0.628  0.355 0.525  0.333 0.385  0.274 0.267  0.166 0.175  0.058 0.083  -0.054 -0.001  -0.185 -0.053  -0.317 -0.106  -0.448 -0.158  -0.576 -0.218  -0.704 -0.279  -0.832 -0.340  -0.954 -0.411  -1.075 -0.485  -1.193 -0.563  -1.076 -0.518  -0.939 -0.488  -0.799 -0.474  -0.658 -0.463  -0.516 -0.463  -0.375 -0.463  -0.233 -0.459  -0.092 -0.453  0.049 -0.448  0.191 -0.439  0.332 -0.429  0.473 -0.419  0.614 -0.410  0.755 -0.405  0.897 -0.400  1.038 -0.396  1.178 -0.378  1.314 -0.341  1.451 -0.304  1.588 -0.270  1.726 -0.240  1.864 -0.206  1.999 -0.165
