2#tos#t1#t1018062/\"  -0.651 1.613  -0.805 1.536  -0.864 1.401  -0.864 1.230  -0.864 1.058  -0.864 0.886  -0.864 0.715  -0.814 0.555  -0.758 0.396  -0.758 0.225  -0.758 0.053  -0.758 -0.119  -0.758 -0.291  -0.709 -0.433  -0.556 -0.509  -0.545 -0.674  -0.536 -0.842  -0.438 -0.974  -0.438 -1.145  -0.411 -1.210  -0.328 -1.059  -0.245 -0.909  -0.163 -0.758  -0.080 -0.608  0.003 -0.457  0.086 -0.307  0.168 -0.156  0.251 -0.006  0.334 0.144  0.417 0.295  0.499 0.445  0.582 0.596  0.665 0.746  0.700 0.868  0.528 0.868  0.413 0.812  0.413 0.640  0.413 0.468  0.452 0.336  0.566 0.243  0.626 0.085  0.626 -0.087  0.701 -0.241  0.835 -0.302  0.839 -0.470  0.839 -0.642  0.839 -0.814  0.870 -0.972  1.004 -1.077  1.158 -1.153
2#tos#t1#t1018062/[  0.404 1.348  0.317 1.348  0.272 1.306  0.231 1.260  0.144 1.260  0.057 1.260  -0.026 1.234  -0.110 1.216  -0.194 1.203  -0.274 1.172  -0.344 1.154  -0.344 1.067  -0.300 1.024  -0.300 0.937  -0.294 0.852  -0.256 0.774  -0.256 0.686  -0.256 0.599  -0.256 0.512  -0.256 0.425  -0.256 0.338  -0.256 0.251  -0.256 0.164  -0.256 0.077  -0.219 -0.001  -0.212 -0.087  -0.212 -0.174  -0.212 -0.261  -0.212 -0.348  -0.212 -0.435  -0.182 -0.515  -0.168 -0.598  -0.157 -0.675  -0.100 -0.723  -0.080 -0.805  -0.051 -0.880  -0.036 -0.961  -0.036 -1.048  -0.016 -1.115  0.071 -1.115  0.158 -1.115  0.246 -1.115  0.289 -1.159  0.376 -1.159  0.461 -1.166  0.539 -1.203  0.626 -1.203  0.713 -1.203  0.801 -1.203  0.888 -1.203
2#tos#t1#t1018062/{  0.280 1.581  0.214 1.547  0.115 1.547  0.042 1.521  -0.042 1.496  -0.067 1.412  -0.127 1.373  -0.127 1.274  -0.127 1.174  -0.098 1.082  -0.084 0.986  -0.052 0.896  -0.025 0.808  -0.025 0.709  -0.025 0.609  -0.025 0.510  -0.025 0.411  -0.094 0.361  -0.161 0.328  -0.189 0.236  -0.263 0.180  -0.305 0.124  -0.398 0.117  -0.436 0.056  -0.397 0.056  -0.312 0.022  -0.246 -0.012  -0.215 -0.080  -0.195 -0.159  -0.195 -0.258  -0.195 -0.357  -0.161 -0.422  -0.161 -0.522  -0.161 -0.621  -0.127 -0.686  -0.093 -0.751  -0.054 -0.835  0.009 -0.894  0.009 -0.993  0.063 -1.050  0.109 -1.130  0.166 -1.186  0.224 -1.238  0.296 -1.299  0.374 -1.334  0.473 -1.334  0.572 -1.334  0.672 -1.334  0.766 -1.322  0.822 -1.266
2#tos#t1#t1018062/|  -0.039 1.538  -0.116 1.524  -0.177 1.488  -0.177 1.463  -0.177 1.466  -0.177 1.386  -0.177 1.306  -0.142 1.241  -0.142 1.161  -0.142 1.081  -0.142 1.002  -0.108 0.956  -0.108 0.877  -0.073 0.831  -0.073 0.752  -0.073 0.672  -0.073 0.592  -0.039 0.547  -0.039 0.467  -0.039 0.388  -0.039 0.308  -0.035 0.232  -0.005 0.183  0.033 0.138  0.045 0.059  0.056 -0.020  0.067 -0.099  0.078 -0.178  0.090 -0.257  0.101 -0.336  0.112 -0.414  0.123 -0.493  0.119 -0.558  0.039 -0.558  0.030 -0.629  0.030 -0.708  0.030 -0.788  0.030 -0.868  0.064 -0.913  0.064 -0.993  0.064 -1.072  0.098 -1.118  0.098 -1.197  0.121 -1.268  0.133 -1.343  0.133 -1.422  0.133 -1.502  0.133 -1.582  0.159 -1.650  0.133 -1.692
2#tos#t1#t1018062/}  -0.443 1.472  -0.546 1.472  -0.451 1.472  -0.376 1.405  -0.274 1.401  -0.178 1.385  -0.097 1.330  -0.016 1.308  0.020 1.220  0.020 1.117  -0.011 1.045  -0.051 0.982  -0.051 0.879  -0.087 0.790  -0.087 0.687  -0.087 0.584  -0.087 0.481  -0.087 0.378  -0.036 0.317  -0.013 0.223  0.055 0.148  0.121 0.086  0.209 0.048  0.277 0.012  0.344 -0.024  0.411 -0.059  0.515 -0.059  0.419 -0.059  0.316 -0.059  0.263 -0.130  0.232 -0.203  0.162 -0.263  0.162 -0.366  0.127 -0.433  0.127 -0.536  0.127 -0.640  0.127 -0.743  0.127 -0.846  0.127 -0.949  0.127 -1.052  0.127 -1.155  0.127 -1.258  0.062 -1.335  0.020 -1.399  -0.051 -1.431  -0.138 -1.448  -0.241 -1.448  -0.344 -1.448  -0.447 -1.448  -0.550 -1.448
2#tos#t1#t1018062/~  -1.115 -0.264  -1.215 -0.255  -1.215 -0.145  -1.215 -0.035  -1.215 0.075  -1.215 0.184  -1.215 0.294  -1.151 0.339  -1.115 0.413  -1.065 0.473  -1.014 0.532  -1.013 0.641  -0.910 0.668  -0.806 0.691  -0.696 0.691  -0.586 0.691  -0.526 0.641  -0.417 0.641  -0.323 0.603  -0.311 0.498  -0.274 0.403  -0.220 0.309  -0.160 0.222  -0.160 0.112  -0.125 0.038  -0.059 -0.007  -0.056 -0.113  0.019 -0.169  0.048 -0.271  0.140 -0.314  0.190 -0.411  0.298 -0.415  0.353 -0.475  0.443 -0.532  0.548 -0.565  0.657 -0.565  0.761 -0.581  0.856 -0.616  0.966 -0.616  1.076 -0.616  1.147 -0.578  1.147 -0.468  1.204 -0.415  1.294 -0.368  1.298 -0.260  1.311 -0.163  1.348 -0.091  1.399 -0.031  1.440 0.038  1.449 0.138
2#tos#t1#t1018062/0  0.221 -1.124  0.098 -1.206  -0.043 -1.231  -0.153 -1.192  -0.287 -1.178  -0.324 -1.060  -0.445 -0.978  -0.483 -0.857  -0.603 -0.811  -0.634 -0.670  -0.687 -0.543  -0.687 -0.395  -0.741 -0.269  -0.788 -0.128  -0.794 0.019  -0.794 0.168  -0.794 0.316  -0.794 0.465  -0.775 0.605  -0.696 0.729  -0.634 0.853  -0.529 0.958  -0.439 1.031  -0.353 1.125  -0.212 1.172  -0.086 1.227  0.062 1.227  0.210 1.227  0.305 1.174  0.347 1.067  0.473 1.014  0.515 0.907  0.602 0.840  0.649 0.703  0.702 0.608  0.702 0.460  0.710 0.319  0.756 0.216  0.756 0.068  0.756 -0.080  0.756 -0.229  0.756 -0.377  0.713 -0.483  0.649 -0.599  0.599 -0.697  0.461 -0.724  0.379 -0.807  0.275 -0.881  0.209 -0.964  0.114 -1.017
2#tos#t1#t1018062/1  -0.072 1.575  -0.133 1.561  -0.161 1.513  -0.154 1.513  -0.133 1.459  -0.133 1.383  -0.133 1.308  -0.133 1.233  -0.133 1.158  -0.133 1.082  -0.133 1.007  -0.133 0.932  -0.133 0.857  -0.133 0.781  -0.133 0.706  -0.133 0.631  -0.133 0.556  -0.100 0.494  -0.072 0.431  -0.072 0.355  -0.071 0.280  -0.010 0.266  -0.010 0.191  -0.010 0.116  -0.010 0.041  -0.010 -0.035  0.004 -0.104  0.052 -0.160  0.052 -0.235  0.052 -0.310  0.101 -0.336  0.113 -0.399  0.113 -0.474  0.113 -0.550  0.113 -0.625  0.113 -0.700  0.113 -0.775  0.113 -0.851  0.113 -0.926  0.113 -1.001  0.113 -1.077  0.113 -1.152  0.113 -1.227  0.113 -1.302  0.113 -1.378  0.113 -1.453  0.134 -1.507  0.175 -1.542  0.175 -1.617  0.175 -1.692
2#tos#t1#t1018062/5  -0.308 1.709  -0.356 1.518  -0.463 1.395  -0.469 1.200  -0.469 1.003  -0.469 0.806  -0.469 0.609  -0.469 0.412  -0.469 0.215  -0.380 0.107  -0.183 0.107  0.014 0.107  0.211 0.107  0.380 0.030  0.532 -0.092  0.687 -0.194  0.841 -0.295  0.974 -0.375  0.974 -0.572  0.974 -0.769  0.922 -0.934  0.757 -1.034  0.565 -1.069  0.434 -1.175  0.237 -1.175  0.040 -1.175  -0.157 -1.175  -0.354 -1.175  -0.549 -1.166  -0.739 -1.122  -0.870 -1.015  -0.879 -0.923  -0.800 -0.743  -0.721 -0.562  -0.642 -0.382  -0.563 -0.201  -0.484 -0.021  -0.405 0.160  -0.326 0.340  -0.248 0.520  -0.169 0.701  -0.294 0.748  -0.126 0.748  0.071 0.748  0.268 0.748  0.465 0.748  0.609 0.694  0.806 0.694  0.937 0.587  1.134 0.587
2#tos#t1#t1018062/6  0.722 1.679  0.618 1.563  0.551 1.472  0.444 1.420  0.298 1.369  0.173 1.286  0.097 1.160  -0.054 1.110  -0.149 1.006  -0.241 0.882  -0.365 0.833  -0.434 0.696  -0.537 0.576  -0.649 0.464  -0.705 0.319  -0.727 0.163  -0.790 0.044  -0.830 -0.090  -0.830 -0.248  -0.830 -0.407  -0.779 -0.544  -0.727 -0.681  -0.649 -0.792  -0.514 -0.856  -0.418 -0.957  -0.318 -1.052  -0.166 -1.063  -0.008 -1.063  0.151 -1.063  0.309 -1.063  0.467 -1.060  0.605 -1.011  0.670 -0.918  0.819 -0.908  0.874 -0.804  0.929 -0.661  0.929 -0.502  0.929 -0.344  0.791 -0.270  0.722 -0.154  0.595 -0.109  0.470 -0.028  0.314 -0.013  0.161 0.023  0.028 0.065  -0.092 0.127  -0.251 0.127  -0.410 0.127  -0.568 0.127  -0.623 0.023
2#tos#t1#t1018062/7  -0.692 0.930  -0.833 0.895  -0.885 0.792  -0.852 0.651  -0.837 0.508  -0.811 0.368  -0.789 0.227  -0.789 0.082  -0.789 -0.063  -0.741 -0.159  -0.747 -0.059  -0.755 0.086  -0.763 0.230  -0.771 0.375  -0.779 0.519  -0.787 0.664  -0.766 0.689  -0.621 0.689  -0.476 0.689  -0.332 0.689  -0.187 0.689  -0.042 0.689  0.102 0.689  0.247 0.689  0.392 0.689  0.517 0.641  0.651 0.597  0.795 0.592  0.854 0.507  0.891 0.399  0.866 0.302  0.854 0.170  0.795 0.049  0.702 -0.059  0.645 -0.181  0.516 -0.196  0.516 -0.341  0.471 -0.467  0.419 -0.591  0.356 -0.696  0.226 -0.761  0.226 -0.905  0.226 -1.050  0.274 -1.183  0.348 -1.269  0.423 -1.391  0.516 -1.478  0.613 -1.582  0.750 -1.628  0.854 -1.727
2#tos#t1#t1018062/8  0.661 0.688  0.567 0.580  0.552 0.766  0.497 0.914  0.476 1.111  0.317 1.186  0.126 1.232  -0.076 1.232  -0.278 1.232  -0.481 1.232  -0.656 1.167  -0.831 1.101  -0.975 0.960  -1.026 0.810  -0.844 0.761  -0.711 0.614  -0.576 0.471  -0.419 0.362  -0.294 0.228  -0.130 0.132  0.051 0.041  0.171 -0.046  0.237 -0.182  0.368 -0.314  0.498 -0.401  0.552 -0.591  0.619 -0.726  0.661 -0.887  0.661 -1.089  0.661 -1.291  0.509 -1.367  0.325 -1.433  0.123 -1.433  -0.079 -1.433  -0.172 -1.319  -0.366 -1.270  -0.482 -1.142  -0.591 -0.985  -0.591 -0.783  -0.591 -0.580  -0.488 -0.409  -0.367 -0.278  -0.228 -0.152  -0.125 -0.006  0.002 0.090  0.163 0.190  0.361 0.199  0.541 0.253  0.743 0.253  0.933 0.308
2#tos#t1#t1018062/9  0.493 0.113  0.448 -0.029  0.412 -0.145  0.480 -0.029  0.493 0.121  0.493 0.273  0.493 0.425  0.493 0.577  0.448 0.718  0.398 0.862  0.333 0.999  0.238 1.092  0.184 1.189  0.037 1.195  -0.115 1.195  -0.267 1.195  -0.419 1.195  -0.521 1.090  -0.619 0.989  -0.747 0.932  -0.831 0.806  -0.901 0.671  -0.949 0.527  -0.950 0.375  -0.950 0.223  -0.950 0.071  -0.911 -0.042  -0.898 -0.181  -0.822 -0.286  -0.686 -0.351  -0.550 -0.391  -0.403 -0.403  -0.251 -0.403  -0.099 -0.403  0.046 -0.386  0.184 -0.351  0.324 -0.300  0.454 -0.248  0.493 -0.258  0.493 -0.410  0.493 -0.562  0.493 -0.714  0.493 -0.866  0.493 -1.018  0.537 -1.160  0.544 -1.310  0.565 -1.454  0.596 -1.593  0.596 -1.745  0.596 -1.794
2#tos#t1#t1018062/D  -0.529 1.546  -0.579 1.400  -0.579 1.203  -0.579 1.005  -0.529 0.820  -0.529 0.623  -0.529 0.426  -0.529 0.229  -0.529 0.032  -0.529 -0.165  -0.529 -0.362  -0.459 -0.535  -0.377 -0.706  -0.377 -0.904  -0.377 -1.066  -0.381 -0.869  -0.387 -0.672  -0.392 -0.475  -0.398 -0.278  -0.404 -0.081  -0.410 0.116  -0.416 0.313  -0.422 0.510  -0.442 0.701  -0.625 0.737  -0.551 0.867  -0.363 0.889  -0.166 0.889  0.031 0.889  0.220 0.841  0.408 0.800  0.584 0.712  0.751 0.614  0.884 0.490  1.037 0.367  1.089 0.198  1.160 0.045  1.190 -0.133  1.190 -0.330  1.089 -0.486  0.995 -0.625  0.915 -0.778  0.790 -0.922  0.620 -0.982  0.450 -1.071  0.278 -1.136  0.101 -1.184  -0.096 -1.184  -0.293 -1.184  -0.478 -1.134
2#tos#t1#t1018062/E  -0.688 1.169  -0.867 1.093  -0.625 1.080  -0.371 1.080  -0.116 1.080  0.138 1.087  0.342 1.169  0.596 1.169  0.851 1.169  0.868 1.199  0.623 1.129  0.378 1.059  0.133 0.989  -0.112 0.919  -0.358 0.857  -0.599 0.843  -0.599 0.588  -0.599 0.334  -0.555 0.086  -0.555 -0.169  -0.484 -0.410  -0.465 -0.662  -0.421 -0.906  -0.412 -1.152  -0.328 -0.978  -0.308 -0.724  -0.287 -0.470  -0.267 -0.216  -0.247 0.038  -0.415 0.053  -0.165 0.079  0.087 0.098  0.341 0.098  0.596 0.098  0.844 0.068  0.711 -0.096  0.523 -0.268  0.335 -0.439  0.146 -0.611  -0.042 -0.783  -0.212 -0.929  -0.454 -0.962  -0.498 -1.152  -0.243 -1.152  0.012 -1.152  0.266 -1.152  0.520 -1.150  0.749 -1.063  1.004 -1.063  1.231 -0.974
2#tos#t1#t1018062/F  -0.417 1.399  -0.592 1.295  -0.592 1.050  -0.534 0.819  -0.534 0.574  -0.498 0.337  -0.475 0.098  -0.475 -0.147  -0.425 -0.384  -0.366 -0.619  -0.300 -0.854  -0.266 -1.093  -0.242 -1.334  -0.242 -1.579  -0.184 -1.766  -0.196 -1.599  -0.210 -1.354  -0.225 -1.110  -0.239 -0.865  -0.254 -0.621  -0.268 -0.376  -0.282 -0.132  -0.297 0.113  -0.311 0.357  -0.326 0.602  -0.340 0.846  -0.354 1.091  -0.475 1.113  -0.294 1.050  -0.049 1.050  0.196 1.050  0.441 1.050  0.686 1.050  0.918 1.043  0.773 0.846  0.628 0.649  0.482 0.452  0.337 0.255  0.192 0.057  0.049 -0.102  -0.101 -0.219  -0.242 -0.417  -0.104 -0.523  0.141 -0.523  0.386 -0.523  0.625 -0.486  0.867 -0.465  1.107 -0.455  1.319 -0.348  1.564 -0.348
2#tos#t1#t1018062/H  -0.660 1.547  -0.864 1.547  -0.924 1.402  -0.871 1.210  -0.871 1.006  -0.871 0.801  -0.848 0.602  -0.785 0.409  -0.765 0.207  -0.750 0.004  -0.690 -0.190  -0.616 -0.381  -0.554 -0.571  -0.554 -0.776  -0.448 -0.915  -0.450 -1.074  -0.465 -0.870  -0.481 -0.666  -0.497 -0.462  -0.630 -0.462  -0.835 -0.462  -0.703 -0.462  -0.498 -0.462  -0.298 -0.425  -0.096 -0.409  0.109 -0.409  0.313 -0.409  0.518 -0.409  0.667 -0.349  0.683 -0.145  0.698 0.059  0.714 0.263  0.730 0.466  0.745 0.670  0.761 0.874  0.677 1.018  0.472 1.018  0.451 0.941  0.490 0.748  0.556 0.564  0.609 0.372  0.609 0.168  0.609 -0.037  0.657 -0.234  0.715 -0.429  0.744 -0.626  0.768 -0.825  0.874 -0.964  0.874 -1.169  0.979 -1.308
2#tos#t1#t1018062/N  -0.777 1.356  -0.930 1.253  -0.930 0.999  -0.930 0.744  -0.916 0.491  -0.892 0.239  -0.853 -0.009  -0.805 -0.258  -0.739 -0.501  -0.739 -0.755  -0.625 -0.948  -0.587 -1.194  -0.587 -1.162  -0.587 -0.908  -0.587 -0.654  -0.587 -0.399  -0.587 -0.145  -0.587 0.110  -0.587 0.364  -0.587 0.619  -0.697 0.785  -0.811 0.781  -0.598 0.658  -0.443 0.481  -0.268 0.323  -0.117 0.125  0.063 -0.055  0.204 -0.255  0.422 -0.384  0.558 -0.588  0.689 -0.801  0.781 -0.999  0.788 -0.749  0.799 -0.495  0.809 -0.241  0.820 0.013  0.830 0.268  0.840 0.522  0.851 0.776  0.819 1.021  0.595 1.052  0.610 0.804  0.667 0.559  0.748 0.320  0.811 0.076  0.819 -0.178  0.895 -0.401  0.959 -0.646  0.971 -0.899  1.009 -1.115
2#tos#t1#t1018062/Q  0.103 -0.361  0.103 -0.590  -0.041 -0.724  -0.270 -0.724  -0.488 -0.674  -0.707 -0.621  -0.877 -0.491  -1.020 -0.337  -1.080 -0.127  -1.146 0.080  -1.146 0.310  -1.106 0.534  -1.066 0.758  -0.905 0.888  -0.742 1.009  -0.596 1.143  -0.411 1.261  -0.196 1.307  0.028 1.337  0.243 1.371  0.407 1.243  0.607 1.140  0.747 0.996  0.788 0.807  0.828 0.618  0.868 0.406  0.868 0.176  0.828 -0.013  0.787 -0.202  0.707 -0.397  0.569 -0.511  0.385 -0.643  0.209 -0.765  0.001 -0.809  -0.223 -0.844  -0.453 -0.844  -0.601 -0.705  -0.623 -0.485  -0.572 -0.270  -0.421 -0.119  -0.242 0.002  -0.013 0.002  0.143 -0.106  0.317 -0.225  0.464 -0.358  0.625 -0.482  0.783 -0.621  0.983 -0.733  1.203 -0.764  1.351 -0.844
