2#apb#apb02#app0268/a  0.582 0.309  0.529 0.496  0.523 0.690  0.486 0.881  0.415 1.062  0.303 1.217  0.168 1.346  -0.022 1.323  -0.195 1.235  -0.347 1.113  -0.491 0.983  -0.614 0.833  -0.728 0.676  -0.826 0.508  -0.922 0.339  -1.015 0.168  -1.075 -0.017  -1.120 -0.206  -1.120 -0.400  -1.097 -0.592  -1.032 -0.772  -0.887 -0.893  -0.702 -0.941  -0.509 -0.928  -0.357 -0.816  -0.240 -0.664  -0.161 -0.486  -0.095 -0.303  -0.030 -0.119  0.028 0.066  0.067 0.257  0.111 0.446  0.130 0.639  0.130 0.689  0.176 0.500  0.183 0.306  0.198 0.113  0.230 -0.079  0.251 -0.273  0.276 -0.465  0.320 -0.655  0.372 -0.842  0.450 -1.016  0.615 -1.100  0.804 -1.073  0.981 -0.994  1.119 -0.856  1.257 -0.719  1.390 -0.578  1.487 -0.409
2#apb#apb02#app0268/l  -0.578 -1.223  -0.680 -1.245  -0.739 -1.211  -0.652 -1.091  -0.545 -0.984  -0.441 -0.873  -0.340 -0.761  -0.234 -0.652  -0.127 -0.545  -0.042 -0.420  0.036 -0.290  0.105 -0.155  0.161 -0.014  0.218 0.127  0.274 0.267  0.330 0.408  0.351 0.558  0.373 0.709  0.391 0.859  0.410 1.010  0.412 1.161  0.389 1.309  0.341 1.453  0.250 1.570  0.106 1.596  -0.029 1.540  -0.143 1.440  -0.212 1.305  -0.275 1.168  -0.314 1.021  -0.351 0.875  -0.343 0.723  -0.336 0.572  -0.323 0.421  -0.301 0.271  -0.278 0.121  -0.230 -0.021  -0.162 -0.157  -0.094 -0.293  -0.024 -0.427  0.047 -0.561  0.122 -0.693  0.208 -0.818  0.295 -0.942  0.390 -1.060  0.496 -1.166  0.593 -1.274  0.582 -1.314  0.481 -1.216  0.433 -1.078
2#apb#apb02#app0268/m  -1.379 0.175  -1.419 0.365  -1.389 0.539  -1.292 0.382  -1.227 0.199  -1.155 0.018  -1.112 -0.171  -1.067 -0.360  -0.985 -0.534  -0.903 -0.708  -0.814 -0.802  -0.758 -0.616  -0.755 -0.422  -0.738 -0.228  -0.696 -0.040  -0.637 0.145  -0.581 0.331  -0.520 0.516  -0.388 0.634  -0.260 0.773  -0.117 0.643  -0.043 0.467  0.016 0.281  0.078 0.097  0.120 -0.092  0.147 -0.284  0.198 -0.471  0.214 -0.658  0.276 -0.804  0.272 -0.680  0.243 -0.488  0.248 -0.295  0.269 -0.102  0.286 0.092  0.288 0.286  0.350 0.470  0.446 0.628  0.548 0.773  0.716 0.851  0.882 0.791  0.993 0.633  1.085 0.462  1.159 0.284  1.197 0.094  1.253 -0.092  1.322 -0.274  1.352 -0.462  1.373 -0.653  1.450 -0.830  1.456 -0.866
2#apb#apb02#app0268/n  -1.209 0.426  -1.195 0.572  -1.118 0.700  -1.065 0.836  -0.931 0.845  -0.873 0.708  -0.829 0.566  -0.799 0.420  -0.771 0.273  -0.744 0.126  -0.717 -0.020  -0.685 -0.166  -0.649 -0.311  -0.601 -0.452  -0.536 -0.586  -0.489 -0.728  -0.402 -0.835  -0.397 -0.787  -0.411 -0.640  -0.381 -0.494  -0.356 -0.347  -0.356 -0.198  -0.353 -0.049  -0.317 0.096  -0.280 0.240  -0.235 0.382  -0.183 0.522  -0.110 0.652  -0.040 0.784  0.038 0.910  0.186 0.914  0.331 0.895  0.458 0.824  0.551 0.708  0.655 0.601  0.738 0.477  0.797 0.342  0.840 0.199  0.890 0.059  0.949 -0.078  0.981 -0.224  1.010 -0.370  1.016 -0.519  1.016 -0.668  1.047 -0.814  1.077 -0.960  1.078 -1.109  1.099 -1.257  1.138 -1.308  1.138 -1.158
2#apb#apb02#app0268/o  -0.390 0.072  -0.396 0.280  -0.450 0.476  -0.567 0.642  -0.732 0.678  -0.868 0.522  -0.976 0.348  -1.060 0.156  -1.128 -0.039  -1.149 -0.247  -1.149 -0.455  -1.106 -0.659  -1.025 -0.850  -0.919 -1.029  -0.772 -1.171  -0.581 -1.249  -0.376 -1.275  -0.167 -1.275  0.028 -1.226  0.216 -1.136  0.387 -1.021  0.512 -0.858  0.612 -0.675  0.705 -0.488  0.775 -0.292  0.756 -0.089  0.642 0.086  0.500 0.217  0.317 0.316  0.120 0.376  -0.065 0.466  -0.250 0.508  -0.380 0.657  -0.384 0.709  -0.204 0.603  -0.024 0.498  0.007 0.609  -0.093 0.746  -0.138 0.695  -0.049 0.512  0.087 0.353  0.292 0.312  0.498 0.287  0.706 0.271  0.915 0.283  1.122 0.301  1.329 0.333  1.510 0.409  1.647 0.566  1.715 0.746
2#apb#apb02#app0268/p  -0.399 0.804  -0.373 1.004  -0.399 1.146  -0.387 0.946  -0.332 0.752  -0.283 0.556  -0.237 0.359  -0.171 0.168  -0.104 -0.022  -0.059 -0.219  -0.017 -0.417  0.029 -0.613  0.076 -0.810  0.122 -1.006  0.168 -1.203  0.195 -1.403  0.209 -1.604  0.236 -1.802  0.220 -1.907  0.114 -1.736  0.049 -1.546  -0.018 -1.356  -0.074 -1.165  -0.111 -0.966  -0.147 -0.768  -0.184 -0.569  -0.220 -0.370  -0.257 -0.172  -0.293 0.027  -0.330 0.226  -0.366 0.424  -0.403 0.623  -0.439 0.822  -0.544 0.969  -0.467 1.123  -0.283 1.200  -0.086 1.221  0.115 1.203  0.312 1.169  0.496 1.085  0.673 0.987  0.806 0.836  0.871 0.652  0.820 0.462  0.694 0.306  0.528 0.194  0.343 0.115  0.150 0.055  -0.046 0.103  -0.197 0.115
2#apb#apb02#app0268/q  0.041 1.106  0.016 1.280  -0.159 1.335  -0.332 1.298  -0.495 1.215  -0.610 1.065  -0.708 0.903  -0.789 0.733  -0.795 0.545  -0.741 0.370  -0.591 0.256  -0.419 0.178  -0.231 0.167  -0.053 0.233  0.092 0.353  0.179 0.516  0.199 0.704  0.193 0.893  0.133 1.071  0.065 0.988  0.213 0.869  0.309 0.898  0.238 0.821  0.180 0.641  0.090 0.474  0.022 0.297  -0.043 0.119  -0.114 -0.058  -0.182 -0.235  -0.248 -0.413  -0.308 -0.593  -0.366 -0.774  -0.391 -0.961  -0.398 -1.150  -0.373 -1.338  -0.267 -1.494  -0.115 -1.607  0.069 -1.636  0.247 -1.584  0.408 -1.486  0.556 -1.369  0.662 -1.217  0.704 -1.031  0.734 -0.844  0.747 -0.656  0.723 -0.468  0.674 -0.285  0.574 -0.128  0.424 -0.014  0.239 0.014
2#apb#apb02#app0268/r  -0.651 0.058  -0.736 0.186  -0.811 0.319  -0.854 0.466  -0.888 0.616  -0.909 0.677  -0.909 0.700  -0.909 0.664  -0.877 0.516  -0.824 0.372  -0.745 0.240  -0.674 0.104  -0.605 -0.034  -0.530 -0.168  -0.451 -0.300  -0.372 -0.431  -0.296 -0.565  -0.222 -0.700  -0.146 -0.834  -0.070 -0.967  0.011 -1.098  0.101 -1.223  0.211 -1.308  0.272 -1.400  0.229 -1.290  0.175 -1.146  0.113 -1.005  0.051 -0.865  -0.012 -0.724  -0.074 -0.584  -0.097 -0.435  -0.097 -0.281  -0.130 -0.135  -0.199 0.002  -0.139 0.135  -0.071 0.272  -0.003 0.407  0.117 0.503  0.230 0.607  0.339 0.716  0.475 0.759  0.629 0.759  0.773 0.809  0.917 0.863  1.069 0.853  1.221 0.834  1.365 0.780  1.514 0.759  1.668 0.759  1.822 0.759
2#apb#apb02#app0268/s  0.517 0.823  0.590 0.924  0.656 1.005  0.609 1.111  0.505 1.180  0.396 1.189  0.279 1.145  0.161 1.107  0.041 1.071  -0.078 1.034  -0.196 0.994  -0.315 0.955  -0.428 0.903  -0.535 0.839  -0.642 0.775  -0.740 0.699  -0.812 0.602  -0.799 0.482  -0.721 0.388  -0.604 0.351  -0.483 0.320  -0.362 0.289  -0.245 0.246  -0.128 0.203  -0.012 0.156  0.101 0.105  0.215 0.053  0.329 0.002  0.443 -0.049  0.551 -0.110  0.655 -0.180  0.711 -0.291  0.740 -0.409  0.740 -0.534  0.664 -0.631  0.583 -0.725  0.506 -0.823  0.429 -0.922  0.343 -1.010  0.238 -1.076  0.131 -1.140  0.019 -1.196  -0.093 -1.252  -0.213 -1.278  -0.337 -1.291  -0.461 -1.286  -0.585 -1.272  -0.701 -1.230  -0.813 -1.175  -0.849 -1.073
2#apb#apb02#app0268/t  -0.158 1.409  -0.134 1.577  -0.111 1.743  -0.110 1.806  -0.089 1.638  -0.062 1.471  -0.062 1.301  -0.062 1.131  -0.028 0.965  0.009 0.799  0.046 0.634  0.083 0.468  0.120 0.302  0.150 0.135  0.178 -0.033  0.206 -0.200  0.238 -0.367  0.269 -0.534  0.315 -0.697  0.365 -0.860  0.394 -1.027  0.420 -1.195  0.467 -1.358  0.492 -1.526  0.376 -1.579  0.221 -1.516  0.105 -1.393  0.010 -1.253  -0.073 -1.105  -0.157 -0.957  -0.240 -0.809  -0.324 -0.661  -0.407 -0.513  -0.491 -0.365  -0.574 -0.217  -0.658 -0.070  -0.741 0.078  -0.804 0.234  -0.834 0.200  -0.680 0.131  -0.517 0.084  -0.349 0.110  -0.181 0.137  -0.014 0.163  0.154 0.188  0.322 0.213  0.487 0.252  0.647 0.309  0.809 0.357  0.974 0.397
2#apb#apb02#app0268/u  -1.085 0.346  -1.085 0.496  -1.085 0.647  -1.066 0.796  -1.031 0.886  -1.031 0.778  -1.020 0.629  -0.979 0.484  -0.957 0.335  -0.930 0.187  -0.900 0.039  -0.847 -0.102  -0.791 -0.242  -0.730 -0.380  -0.657 -0.510  -0.551 -0.616  -0.422 -0.670  -0.272 -0.670  -0.169 -0.580  -0.089 -0.452  -0.015 -0.321  0.028 -0.177  0.067 -0.032  0.082 0.118  0.092 0.269  0.092 0.419  0.099 0.570  0.110 0.720  0.118 0.870  0.122 1.020  0.172 1.033  0.208 0.887  0.251 0.743  0.295 0.599  0.340 0.455  0.383 0.310  0.427 0.166  0.471 0.022  0.515 -0.122  0.587 -0.254  0.662 -0.385  0.739 -0.514  0.853 -0.612  0.964 -0.714  1.071 -0.821  1.183 -0.922  1.296 -1.020  1.380 -1.146  1.489 -1.248  1.615 -1.312
2#apb#apb02#app0268/v  -1.190 0.182  -1.230 0.330  -1.306 0.457  -1.392 0.551  -1.271 0.577  -1.127 0.632  -0.981 0.673  -0.827 0.673  -0.678 0.657  -0.574 0.552  -0.532 0.404  -0.548 0.253  -0.566 0.100  -0.581 -0.053  -0.621 -0.201  -0.665 -0.348  -0.684 -0.501  -0.699 -0.654  -0.639 -0.795  -0.574 -0.934  -0.485 -1.052  -0.347 -1.118  -0.193 -1.118  -0.045 -1.083  0.094 -1.019  0.226 -0.942  0.289 -0.801  0.350 -0.660  0.404 -0.516  0.436 -0.367  0.451 -0.214  0.466 -0.061  0.482 0.092  0.485 0.246  0.482 0.399  0.456 0.551  0.341 0.557  0.368 0.585  0.308 0.516  0.423 0.417  0.557 0.347  0.702 0.295  0.849 0.252  0.999 0.218  1.152 0.211  1.306 0.211  1.457 0.184  1.543 0.292  1.574 0.438  1.553 0.586
2#apb#apb02#app0268/w  -1.206 0.519  -1.159 0.674  -1.110 0.827  -1.129 0.839  -1.202 0.694  -1.236 0.536  -1.254 0.376  -1.254 0.214  -1.235 0.054  -1.199 -0.103  -1.129 -0.246  -1.030 -0.373  -0.902 -0.473  -0.763 -0.548  -0.605 -0.582  -0.446 -0.550  -0.310 -0.477  -0.200 -0.357  -0.114 -0.224  -0.067 -0.069  -0.043 0.091  -0.032 0.252  -0.032 0.414  -0.011 0.575  -0.032 0.661  -0.032 0.499  -0.024 0.337  -0.010 0.176  0.023 0.018  0.072 -0.136  0.132 -0.287  0.223 -0.420  0.319 -0.551  0.433 -0.665  0.575 -0.742  0.726 -0.801  0.884 -0.822  1.027 -0.764  1.156 -0.667  1.270 -0.557  1.309 -0.401  1.309 -0.239  1.298 -0.080  1.233 0.068  1.168 0.217  1.096 0.362  1.018 0.503  0.945 0.648  0.842 0.771  0.710 0.807
2#apb#apb02#app0268/x  -1.040 0.160  -1.091 0.153  -1.092 0.333  -1.060 0.524  -0.985 0.703  -0.932 0.889  -0.850 1.025  -0.724 0.880  -0.645 0.703  -0.565 0.526  -0.484 0.350  -0.403 0.174  -0.309 0.005  -0.199 -0.155  -0.069 -0.299  0.079 -0.416  0.261 -0.482  0.447 -0.537  0.633 -0.590  0.826 -0.578  1.015 -0.541  1.184 -0.453  1.312 -0.308  1.328 -0.127  1.292 0.063  1.215 0.237  1.080 0.368  0.905 0.452  0.739 0.548  0.585 0.666  0.431 0.783  0.325 0.938  0.341 1.106  0.248 1.010  0.182 0.830  0.133 0.643  0.066 0.461  -0.001 0.279  -0.063 0.095  -0.118 -0.091  -0.173 -0.277  -0.228 -0.463  -0.296 -0.644  -0.367 -0.825  -0.437 -1.005  -0.497 -1.190  -0.550 -1.376  -0.563 -1.568  -0.472 -1.579  -0.413 -1.397
2#apb#apb02#app0268/y  -0.334 1.095  -0.325 1.264  -0.336 1.415  -0.403 1.254  -0.437 1.084  -0.428 0.911  -0.353 0.756  -0.217 0.654  -0.064 0.707  0.043 0.831  0.109 0.991  0.122 1.164  0.120 1.322  0.128 1.152  0.168 0.983  0.231 0.821  0.274 0.652  0.334 0.489  0.397 0.327  0.447 0.160  0.482 -0.009  0.497 -0.183  0.521 -0.355  0.555 -0.525  0.587 -0.697  0.612 -0.869  0.621 -1.042  0.595 -1.213  0.507 -1.361  0.362 -1.455  0.196 -1.502  0.026 -1.485  -0.134 -1.417  -0.287 -1.334  -0.432 -1.238  -0.560 -1.124  -0.652 -0.976  -0.738 -0.825  -0.795 -0.662  -0.791 -0.490  -0.719 -0.335  -0.594 -0.214  -0.460 -0.102  -0.309 -0.019  -0.153 0.059  0.001 0.142  0.153 0.226  0.316 0.286  0.481 0.341  0.638 0.344
2#apb#apb02#app0268/z  -0.677 0.565  -0.692 0.586  -0.618 0.754  -0.484 0.888  -0.343 1.013  -0.189 1.123  -0.035 1.235  0.112 1.353  0.236 1.354  0.207 1.168  0.130 0.996  0.029 0.836  -0.086 0.686  -0.186 0.526  -0.277 0.365  -0.230 0.391  -0.057 0.446  0.097 0.343  0.216 0.196  0.295 0.025  0.351 -0.157  0.386 -0.343  0.408 -0.531  0.403 -0.719  0.373 -0.906  0.320 -1.088  0.238 -1.258  0.130 -1.414  -0.005 -1.545  -0.185 -1.601  -0.370 -1.583  -0.538 -1.495  -0.653 -1.349  -0.711 -1.169  -0.759 -0.988  -0.730 -0.803  -0.663 -0.625  -0.547 -0.480  -0.409 -0.350  -0.267 -0.225  -0.120 -0.106  0.032 0.008  0.183 0.122  0.340 0.228  0.497 0.335  0.654 0.440  0.816 0.539  0.978 0.638  1.141 0.734  1.263 0.842
