3#kai#kai2#yslee6/B  -0.262 1.536  -0.262 1.270  -0.262 1.004  -0.295 0.741  -0.309 0.477  -0.309 0.211  -0.356 -0.050  -0.356 -0.316  -0.356 -0.582  -0.356 -0.849  -0.356 -1.115  -0.368 -1.379  -0.403 -1.330  -0.403 -1.064  -0.396 -0.798  -0.386 -0.532  -0.375 -0.266  -0.365 0.000  -0.354 0.266  -0.343 0.532  -0.333 0.798  -0.322 1.064  -0.311 1.330  -0.214 1.560  0.035 1.631  0.297 1.602  0.477 1.417  0.597 1.180  0.635 0.920  0.610 0.658  0.526 0.405  0.420 0.161  0.244 -0.036  0.048 -0.215  -0.176 -0.357  -0.432 -0.399  -0.503 -0.340  -0.250 -0.272  0.012 -0.228  0.274 -0.179  0.539 -0.163  0.798 -0.218  0.981 -0.382  1.011 -0.641  0.898 -0.879  0.690 -1.040  0.459 -1.172  0.214 -1.276  -0.043 -1.343  -0.309 -1.343
3#kai#kai2#yslee6/C  0.674 1.337  0.590 1.337  0.507 1.337  0.427 1.318  0.353 1.281  0.272 1.267  0.192 1.253  0.117 1.215  0.050 1.167  -0.009 1.108  -0.066 1.047  -0.112 0.977  -0.167 0.914  -0.226 0.855  -0.259 0.779  -0.288 0.701  -0.318 0.622  -0.348 0.544  -0.379 0.466  -0.409 0.388  -0.425 0.306  -0.441 0.224  -0.442 0.140  -0.442 0.057  -0.442 -0.027  -0.442 -0.111  -0.442 -0.194  -0.442 -0.278  -0.442 -0.362  -0.430 -0.443  -0.402 -0.522  -0.364 -0.597  -0.323 -0.669  -0.270 -0.734  -0.218 -0.800  -0.170 -0.868  -0.120 -0.933  -0.043 -0.966  0.034 -0.999  0.111 -1.032  0.190 -1.059  0.270 -1.086  0.349 -1.110  0.431 -1.131  0.513 -1.139  0.597 -1.139  0.681 -1.139  0.763 -1.132  0.841 -1.101  0.918 -1.069
3#kai#kai2#yslee6/o  -0.259 0.622  -0.318 0.504  -0.377 0.386  -0.436 0.268  -0.495 0.150  -0.554 0.032  -0.613 -0.085  -0.672 -0.203  -0.731 -0.321  -0.732 -0.453  -0.732 -0.584  -0.707 -0.712  -0.665 -0.837  -0.587 -0.940  -0.494 -1.033  -0.396 -1.117  -0.271 -1.159  -0.144 -1.189  -0.012 -1.189  0.120 -1.189  0.251 -1.189  0.356 -1.124  0.450 -1.031  0.537 -0.934  0.596 -0.816  0.655 -0.698  0.714 -0.580  0.764 -0.460  0.764 -0.329  0.764 -0.197  0.764 -0.065  0.764 0.067  0.764 0.198  0.739 0.327  0.707 0.455  0.661 0.576  0.581 0.681  0.502 0.786  0.419 0.888  0.326 0.981  0.233 1.074  0.116 1.132  -0.006 1.181  -0.128 1.230  -0.256 1.251  -0.388 1.251  -0.514 1.219  -0.639 1.177  -0.690 1.061  -0.732 0.936
3#kai#kai2#yslee6/m  -1.099 1.377  -0.968 1.181  -0.897 0.960  -0.851 0.729  -0.845 0.494  -0.845 0.259  -0.845 0.023  -0.845 -0.213  -0.845 -0.448  -0.845 -0.684  -0.845 -0.919  -0.845 -1.155  -0.743 -0.958  -0.676 -0.738  -0.676 -0.502  -0.606 -0.278  -0.554 -0.048  -0.508 0.183  -0.462 0.414  -0.405 0.641  -0.274 0.837  -0.144 1.033  0.037 1.163  0.261 1.178  0.425 1.061  0.425 0.825  0.425 0.589  0.382 0.359  0.340 0.129  0.340 -0.107  0.252 -0.322  0.154 -0.536  0.086 -0.760  0.088 -0.990  0.193 -0.779  0.279 -0.561  0.336 -0.333  0.409 -0.109  0.470 0.119  0.550 0.337  0.679 0.528  0.679 0.292  0.888 0.207  1.037 0.035  1.140 -0.175  1.187 -0.403  1.187 -0.638  1.171 -0.871  1.102 -1.096  1.102 -1.331
3#kai#kai2#yslee6/e  -0.562 0.013  -0.413 0.013  -0.267 0.032  -0.123 0.068  0.019 0.110  0.160 0.157  0.301 0.204  0.419 0.280  0.501 0.404  0.555 0.540  0.591 0.684  0.584 0.828  0.548 0.972  0.486 1.104  0.404 1.228  0.269 1.253  0.121 1.253  -0.028 1.253  -0.172 1.223  -0.316 1.187  -0.413 1.082  -0.499 0.961  -0.586 0.840  -0.672 0.719  -0.707 0.582  -0.707 0.434  -0.707 0.286  -0.707 0.137  -0.707 -0.011  -0.707 -0.160  -0.702 -0.307  -0.673 -0.453  -0.643 -0.598  -0.573 -0.725  -0.484 -0.844  -0.391 -0.959  -0.286 -1.064  -0.176 -1.162  -0.038 -1.217  0.099 -1.272  0.242 -1.299  0.390 -1.297  0.514 -1.215  0.628 -1.123  0.717 -1.004  0.806 -0.886  0.890 -0.763  0.971 -0.639  1.007 -0.495  1.043 -0.351
3#kai#kai2#yslee6/D  -0.483 1.313  -0.396 1.140  -0.354 0.947  -0.332 0.752  -0.332 0.555  -0.294 0.362  -0.294 0.165  -0.277 -0.032  -0.257 -0.228  -0.256 -0.425  -0.256 -0.623  -0.256 -0.820  -0.233 -1.015  -0.218 -1.210  -0.218 -1.408  -0.227 -1.535  -0.256 -1.341  -0.294 -1.150  -0.303 -0.953  -0.318 -0.756  -0.333 -0.559  -0.348 -0.362  -0.363 -0.165  -0.377 0.031  -0.392 0.228  -0.407 0.425  -0.422 0.622  -0.437 0.819  -0.420 1.012  -0.316 1.177  -0.171 1.311  0.001 1.389  0.197 1.382  0.385 1.328  0.528 1.196  0.641 1.036  0.719 0.854  0.769 0.664  0.820 0.473  0.844 0.280  0.844 0.082  0.844 -0.115  0.798 -0.305  0.715 -0.483  0.613 -0.652  0.494 -0.804  0.367 -0.949  0.235 -1.090  0.090 -1.223  -0.066 -1.342
3#kai#kai2#yslee6/o  -0.258 1.227  -0.344 1.098  -0.430 0.969  -0.478 0.824  -0.516 0.673  -0.544 0.522  -0.544 0.366  -0.544 0.211  -0.544 0.056  -0.544 -0.099  -0.544 -0.254  -0.544 -0.409  -0.544 -0.564  -0.544 -0.719  -0.543 -0.874  -0.457 -1.003  -0.371 -1.132  -0.250 -1.226  -0.121 -1.312  0.023 -1.349  0.178 -1.349  0.321 -1.298  0.460 -1.229  0.598 -1.159  0.669 -1.022  0.738 -0.883  0.803 -0.743  0.852 -0.596  0.887 -0.446  0.887 -0.291  0.887 -0.136  0.887 0.019  0.887 0.174  0.839 0.321  0.789 0.468  0.703 0.597  0.617 0.726  0.496 0.820  0.367 0.906  0.226 0.963  0.075 1.001  -0.075 1.034  -0.222 0.985  -0.367 0.932  -0.496 0.846  -0.625 0.760  -0.683 0.619  -0.732 0.472  -0.688 0.325  -0.639 0.178
3#kai#kai2#yslee6/w  -1.375 0.561  -1.375 0.400  -1.361 0.240  -1.322 0.084  -1.282 -0.073  -1.243 -0.229  -1.204 -0.386  -1.141 -0.529  -1.026 -0.643  -0.889 -0.719  -0.736 -0.739  -0.584 -0.686  -0.495 -0.552  -0.415 -0.412  -0.342 -0.268  -0.270 -0.124  -0.225 0.031  -0.186 0.187  -0.147 0.344  -0.125 0.502  -0.125 0.590  -0.125 0.429  -0.125 0.267  -0.106 0.109  -0.059 -0.045  -0.059 -0.206  -0.027 -0.360  0.046 -0.504  0.129 -0.642  0.222 -0.773  0.336 -0.887  0.471 -0.952  0.609 -0.920  0.660 -0.767  0.746 -0.631  0.819 -0.489  0.868 -0.335  0.907 -0.178  0.946 -0.022  0.985 0.135  0.993 0.295  0.993 0.456  0.993 0.618  0.989 0.779  0.958 0.937  0.925 1.095  0.874 1.248  0.745 1.324  0.622 1.287  0.533 1.153
3#kai#kai2#yslee6/n  -0.638 0.955  -0.588 0.807  -0.562 0.655  -0.562 0.499  -0.562 0.343  -0.562 0.188  -0.562 0.032  -0.562 -0.124  -0.562 -0.280  -0.562 -0.436  -0.562 -0.592  -0.562 -0.747  -0.562 -0.903  -0.562 -1.059  -0.606 -1.208  -0.638 -1.248  -0.638 -1.092  -0.638 -0.936  -0.638 -0.780  -0.638 -0.624  -0.638 -0.469  -0.634 -0.313  -0.585 -0.165  -0.535 -0.018  -0.486 0.130  -0.437 0.278  -0.387 0.426  -0.338 0.574  -0.269 0.713  -0.199 0.853  -0.073 0.936  0.066 1.005  0.216 1.030  0.372 1.030  0.516 0.980  0.655 0.910  0.778 0.818  0.889 0.708  0.972 0.580  1.030 0.435  1.088 0.290  1.138 0.143  1.168 -0.008  1.168 -0.164  1.122 -0.312  1.078 -0.461  1.040 -0.613  1.018 -0.766  1.018 -0.922  1.018 -1.077
3#kai#kai2#yslee6/E  -0.425 1.324  -0.273 1.286  -0.115 1.286  0.039 1.266  0.194 1.247  0.352 1.247  0.509 1.247  0.659 1.248  0.511 1.273  0.356 1.246  0.201 1.219  0.047 1.192  -0.108 1.165  -0.263 1.138  -0.309 1.019  -0.309 0.862  -0.309 0.704  -0.309 0.547  -0.309 0.390  -0.310 0.233  -0.347 0.080  -0.347 -0.077  -0.347 -0.234  -0.350 -0.391  -0.386 -0.543  -0.400 -0.699  -0.425 -0.854  -0.436 -1.010  -0.464 -1.164  -0.384 -1.259  -0.233 -1.252  -0.090 -1.188  0.056 -1.130  0.212 -1.122  0.368 -1.126  0.521 -1.161  0.577 -1.130  0.455 -1.032  0.341 -0.924  0.227 -0.817  0.112 -0.709  -0.002 -0.601  -0.116 -0.493  -0.231 -0.385  -0.079 -0.346  0.078 -0.345  0.230 -0.308  0.387 -0.307  0.544 -0.307  0.701 -0.307
3#kai#kai2#yslee6/a  0.124 1.483  -0.041 1.483  -0.192 1.434  -0.330 1.342  -0.403 1.200  -0.455 1.043  -0.508 0.885  -0.566 0.730  -0.628 0.576  -0.688 0.422  -0.716 0.258  -0.743 0.095  -0.769 -0.069  -0.769 -0.235  -0.769 -0.400  -0.769 -0.566  -0.769 -0.732  -0.769 -0.898  -0.769 -1.064  -0.689 -1.196  -0.572 -1.314  -0.428 -1.336  -0.267 -1.296  -0.142 -1.201  -0.043 -1.069  0.053 -0.934  0.127 -0.786  0.202 -0.637  0.206 -0.473  0.221 -0.308  0.254 -0.146  0.286 0.017  0.287 0.183  0.287 0.349  0.289 0.514  0.341 0.671  0.368 0.833  0.370 0.992  0.444 0.844  0.518 0.696  0.582 0.543  0.643 0.389  0.693 0.232  0.693 0.067  0.759 -0.079  0.851 -0.217  0.926 -0.365  1.001 -0.513  1.088 -0.654  1.180 -0.792
3#kai#kai2#yslee6/c  0.672 1.312  0.588 1.312  0.503 1.312  0.418 1.312  0.334 1.312  0.249 1.312  0.174 1.289  0.114 1.229  0.054 1.169  -0.006 1.109  -0.066 1.049  -0.124 0.988  -0.162 0.912  -0.200 0.837  -0.238 0.761  -0.276 0.685  -0.322 0.614  -0.369 0.543  -0.416 0.473  -0.439 0.395  -0.439 0.311  -0.439 0.226  -0.439 0.141  -0.439 0.056  -0.439 -0.028  -0.439 -0.113  -0.439 -0.198  -0.439 -0.282  -0.439 -0.367  -0.431 -0.450  -0.393 -0.526  -0.355 -0.602  -0.317 -0.677  -0.279 -0.753  -0.219 -0.813  -0.159 -0.873  -0.099 -0.933  -0.038 -0.991  0.040 -1.023  0.119 -1.054  0.198 -1.086  0.276 -1.117  0.355 -1.148  0.440 -1.148  0.524 -1.148  0.607 -1.141  0.683 -1.103  0.759 -1.066  0.835 -1.028  0.911 -0.990
3#kai#kai2#yslee6/\@  -0.589 -1.593  -0.564 -1.528  -0.538 -1.464  -0.512 -1.399  -0.486 -1.335  -0.460 -1.270  -0.435 -1.206  -0.409 -1.141  -0.383 -1.077  -0.357 -1.013  -0.331 -0.948  -0.306 -0.884  -0.280 -0.819  -0.254 -0.755  -0.228 -0.690  -0.203 -0.626  -0.177 -0.561  -0.151 -0.497  -0.125 -0.433  -0.099 -0.368  -0.074 -0.304  -0.048 -0.239  -0.022 -0.175  0.004 -0.110  0.029 -0.046  0.055 0.019  0.081 0.083  0.107 0.147  0.130 0.213  0.147 0.280  0.164 0.347  0.181 0.415  0.198 0.482  0.214 0.549  0.231 0.617  0.248 0.684  0.265 0.751  0.282 0.819  0.299 0.886  0.315 0.953  0.332 1.021  0.349 1.088  0.366 1.155  0.383 1.223  0.400 1.290  0.416 1.357  0.433 1.425  0.450 1.492  0.467 1.559  0.484 1.627
3#kai#kai2#yslee6/h  -0.291 2.087  -0.253 1.975  -0.216 1.863  -0.179 1.751  -0.150 1.637  -0.150 1.519  -0.150 1.401  -0.150 1.284  -0.150 1.166  -0.164 1.049  -0.193 0.935  -0.197 0.817  -0.197 0.699  -0.197 0.581  -0.197 0.463  -0.197 0.345  -0.197 0.227  -0.197 0.109  -0.197 -0.009  -0.197 -0.127  -0.197 -0.245  -0.200 -0.362  -0.214 -0.479  -0.229 -0.597  -0.243 -0.714  -0.244 -0.832  -0.244 -0.950  -0.244 -1.068  -0.214 -1.181  -0.176 -1.168  -0.150 -1.054  -0.146 -0.937  -0.109 -0.825  -0.084 -0.710  -0.060 -0.594  -0.033 -0.479  0.004 -0.368  0.069 -0.270  0.166 -0.208  0.272 -0.156  0.384 -0.194  0.451 -0.283  0.503 -0.389  0.541 -0.500  0.572 -0.614  0.604 -0.727  0.670 -0.825  0.716 -0.933  0.779 -1.025  0.877 -1.090
3#kai#kai2#yslee6/E  -0.451 1.056  -0.290 1.056  -0.128 1.056  0.033 1.056  0.190 1.089  0.350 1.099  0.504 1.141  0.665 1.143  0.823 1.175  0.773 1.135  0.613 1.116  0.452 1.097  0.292 1.077  0.132 1.058  -0.028 1.039  -0.188 1.020  -0.273 0.909  -0.281 0.749  -0.308 0.592  -0.350 0.437  -0.389 0.280  -0.408 0.121  -0.426 -0.038  -0.459 -0.195  -0.482 -0.355  -0.519 -0.511  -0.536 -0.670  -0.579 -0.824  -0.579 -0.985  -0.579 -1.146  -0.572 -1.306  -0.489 -1.425  -0.337 -1.437  -0.198 -1.358  -0.049 -1.298  0.094 -1.223  0.232 -1.140  0.381 -1.079  0.369 -0.943  0.276 -0.811  0.183 -0.679  0.090 -0.548  -0.003 -0.416  -0.096 -0.284  0.022 -0.297  0.182 -0.306  0.343 -0.306  0.504 -0.306  0.665 -0.306  0.827 -0.306
3#kai#kai2#yslee6/n  -0.682 1.058  -0.682 0.902  -0.682 0.745  -0.699 0.591  -0.737 0.439  -0.761 0.286  -0.761 0.129  -0.761 -0.027  -0.761 -0.183  -0.750 -0.338  -0.712 -0.490  -0.682 -0.643  -0.682 -0.799  -0.671 -0.953  -0.601 -1.093  -0.531 -1.233  -0.523 -1.111  -0.523 -0.954  -0.523 -0.798  -0.523 -0.641  -0.523 -0.485  -0.508 -0.331  -0.459 -0.183  -0.409 -0.034  -0.360 0.114  -0.311 0.263  -0.252 0.407  -0.182 0.547  -0.104 0.681  0.007 0.792  0.118 0.902  0.248 0.988  0.383 1.058  0.540 1.058  0.675 0.995  0.800 0.901  0.916 0.800  0.965 0.652  1.014 0.504  1.064 0.355  1.068 0.199  1.068 0.043  1.068 -0.113  1.051 -0.267  1.001 -0.415  0.952 -0.564  0.903 -0.712  0.853 -0.860  0.830 -1.013  0.830 -1.169
3#kai#kai2#yslee6/d  -0.132 -0.172  -0.216 -0.026  -0.393 0.005  -0.555 -0.063  -0.689 -0.177  -0.765 -0.341  -0.817 -0.515  -0.842 -0.694  -0.812 -0.872  -0.742 -1.038  -0.633 -1.181  -0.493 -1.281  -0.313 -1.268  -0.174 -1.167  -0.069 -1.019  0.025 -0.865  0.092 -0.696  0.142 -0.522  0.178 -0.345  0.191 -0.165  0.223 0.013  0.223 0.194  0.223 0.376  0.223 0.558  0.223 0.739  0.223 0.921  0.223 1.103  0.192 1.280  0.178 1.460  0.178 1.642  0.178 1.824  0.239 1.746  0.267 1.570  0.267 1.389  0.267 1.207  0.267 1.025  0.267 0.844  0.267 0.662  0.247 0.482  0.223 0.303  0.223 0.122  0.223 -0.060  0.223 -0.242  0.223 -0.423  0.243 -0.604  0.266 -0.784  0.267 -0.966  0.267 -1.147  0.267 -1.329  0.223 -1.503
3#kai#kai2#yslee6/F  -0.337 1.099  -0.186 1.099  -0.035 1.099  0.117 1.099  0.262 1.064  0.412 1.054  0.563 1.054  0.712 1.039  0.860 1.009  0.951 1.046  0.834 1.084  0.685 1.060  0.535 1.037  0.386 1.013  0.237 0.989  0.088 0.965  -0.062 0.941  -0.202 0.909  -0.202 0.758  -0.202 0.607  -0.202 0.456  -0.202 0.304  -0.202 0.153  -0.202 0.002  -0.202 -0.149  -0.235 -0.296  -0.247 -0.446  -0.247 -0.597  -0.258 -0.747  -0.292 -0.894  -0.292 -1.045  -0.292 -1.197  -0.292 -1.348  -0.292 -1.499  -0.292 -1.650  -0.292 -1.588  -0.293 -1.437  -0.300 -1.286  -0.306 -1.135  -0.312 -0.984  -0.318 -0.833  -0.325 -0.682  -0.331 -0.531  -0.329 -0.385  -0.185 -0.343  -0.033 -0.343  0.115 -0.359  0.262 -0.388  0.413 -0.388  0.564 -0.388
