3#apb#apb41#app4115/O  0.591 0.513  0.607 0.694  0.463 0.798  0.276 0.828  0.088 0.813  -0.080 0.725  -0.229 0.606  -0.359 0.466  -0.486 0.324  -0.611 0.180  -0.687 0.004  -0.766 -0.170  -0.858 -0.337  -0.922 -0.514  -0.950 -0.703  -0.941 -0.894  -0.884 -1.073  -0.763 -1.205  -0.586 -1.269  -0.396 -1.246  -0.210 -1.211  -0.035 -1.134  0.140 -1.058  0.302 -0.958  0.455 -0.844  0.606 -0.727  0.738 -0.589  0.870 -0.451  0.972 -0.289  1.069 -0.125  1.135 0.054  1.155 0.240  1.128 0.427  1.065 0.608  0.959 0.764  0.835 0.908  0.679 1.019  0.498 1.072  0.319 1.035  0.152 0.944  0.000 0.829  -0.143 0.703  -0.272 0.563  -0.401 0.422  -0.519 0.271  -0.635 0.119  -0.746 -0.036  -0.850 -0.196  -0.920 -0.372  -0.852 -0.529
3#apb#apb41#app4115/c  0.431 0.688  0.479 0.783  0.526 0.878  0.606 0.943  0.689 1.007  0.707 1.095  0.628 1.145  0.521 1.145  0.420 1.119  0.322 1.080  0.223 1.040  0.130 0.989  0.038 0.937  -0.055 0.885  -0.147 0.833  -0.238 0.777  -0.322 0.713  -0.406 0.648  -0.490 0.583  -0.569 0.514  -0.611 0.417  -0.654 0.320  -0.696 0.223  -0.739 0.125  -0.762 0.023  -0.777 -0.082  -0.792 -0.188  -0.802 -0.292  -0.776 -0.395  -0.751 -0.498  -0.725 -0.601  -0.644 -0.670  -0.562 -0.738  -0.481 -0.806  -0.399 -0.872  -0.293 -0.886  -0.188 -0.900  -0.083 -0.915  0.022 -0.929  0.127 -0.943  0.233 -0.950  0.339 -0.945  0.445 -0.940  0.551 -0.935  0.657 -0.931  0.763 -0.926  0.868 -0.913  0.974 -0.899  1.079 -0.885  1.184 -0.871
3#apb#apb41#app4115/e  -1.277 0.127  -1.269 0.258  -1.145 0.174  -0.993 0.128  -0.834 0.119  -0.675 0.110  -0.517 0.107  -0.359 0.121  -0.200 0.136  -0.042 0.150  0.112 0.191  0.265 0.233  0.418 0.276  0.570 0.323  0.718 0.375  0.806 0.507  0.867 0.650  0.843 0.800  0.772 0.942  0.640 1.021  0.495 1.086  0.338 1.110  0.182 1.132  0.048 1.046  -0.086 0.960  -0.205 0.857  -0.311 0.738  -0.416 0.619  -0.522 0.500  -0.585 0.356  -0.643 0.208  -0.700 0.059  -0.686 -0.098  -0.671 -0.257  -0.655 -0.415  -0.568 -0.546  -0.476 -0.676  -0.384 -0.806  -0.247 -0.878  -0.099 -0.936  0.049 -0.994  0.198 -1.049  0.355 -1.072  0.512 -1.096  0.670 -1.119  0.827 -1.142  0.984 -1.120  1.141 -1.096  1.298 -1.071  1.455 -1.047
3#apb#apb41#app4115/1  0.437 1.167  0.446 1.243  0.456 1.319  0.440 1.390  0.383 1.436  0.338 1.445  0.309 1.375  0.289 1.301  0.272 1.227  0.256 1.152  0.239 1.078  0.223 1.003  0.206 0.929  0.186 0.855  0.166 0.782  0.146 0.708  0.126 0.634  0.106 0.561  0.087 0.487  0.067 0.413  0.047 0.340  0.027 0.266  0.007 0.192  -0.013 0.118  -0.032 0.045  -0.052 -0.029  -0.072 -0.103  -0.092 -0.176  -0.112 -0.250  -0.131 -0.324  -0.150 -0.398  -0.170 -0.471  -0.189 -0.545  -0.208 -0.619  -0.227 -0.693  -0.247 -0.767  -0.256 -0.842  -0.264 -0.918  -0.272 -0.994  -0.280 -1.070  -0.288 -1.146  -0.295 -1.222  -0.295 -1.298  -0.295 -1.375  -0.284 -1.450  -0.263 -1.495  -0.224 -1.430  -0.205 -1.356  -0.182 -1.284  -0.158 -1.211
3#apb#apb41#app4115/B  -0.566 0.738  -0.575 0.734  -0.640 0.464  -0.692 0.192  -0.760 -0.077  -0.831 -0.345  -0.891 -0.616  -0.903 -0.892  -0.787 -1.119  -0.596 -0.989  -0.623 -0.713  -0.651 -0.437  -0.679 -0.161  -0.707 0.115  -0.735 0.391  -0.763 0.667  -0.929 0.820  -0.658 0.876  -0.383 0.910  -0.107 0.933  0.171 0.939  0.448 0.941  0.726 0.933  0.997 0.884  1.159 0.712  0.928 0.567  0.672 0.462  0.410 0.371  0.138 0.317  -0.134 0.261  -0.403 0.195  -0.673 0.129  -0.691 0.099  -0.414 0.099  -0.136 0.099  0.141 0.092  0.418 0.081  0.694 0.053  0.967 0.006  1.222 -0.096  1.433 -0.264  1.508 -0.514  1.362 -0.729  1.134 -0.883  0.883 -1.001  0.611 -1.055  0.337 -1.091  0.059 -1.107  -0.216 -1.077  -0.276 -0.914
3#apb#apb41#app4115/e  -0.985 -0.177  -0.900 -0.177  -0.729 -0.162  -0.562 -0.120  -0.395 -0.078  -0.227 -0.037  -0.060 0.005  0.108 0.047  0.275 0.089  0.438 0.144  0.597 0.210  0.757 0.276  0.914 0.347  1.065 0.431  1.215 0.516  1.350 0.623  1.307 0.763  1.151 0.836  0.995 0.910  0.825 0.916  0.653 0.910  0.480 0.904  0.311 0.879  0.146 0.828  -0.019 0.777  -0.183 0.726  -0.341 0.657  -0.491 0.573  -0.642 0.490  -0.793 0.406  -0.906 0.283  -0.994 0.134  -1.082 -0.014  -1.146 -0.171  -1.167 -0.342  -1.152 -0.504  -1.051 -0.643  -0.916 -0.739  -0.754 -0.800  -0.593 -0.861  -0.424 -0.888  -0.252 -0.900  -0.080 -0.913  0.092 -0.922  0.264 -0.908  0.436 -0.894  0.608 -0.880  0.780 -0.865  0.952 -0.850  1.124 -0.836
3#apb#apb41#app4115/a  0.666 0.382  0.527 0.486  0.376 0.574  0.222 0.656  0.053 0.693  -0.120 0.712  -0.294 0.722  -0.469 0.722  -0.641 0.709  -0.804 0.646  -0.967 0.582  -1.107 0.480  -1.244 0.371  -1.370 0.251  -1.487 0.121  -1.524 -0.046  -1.509 -0.205  -1.382 -0.324  -1.220 -0.389  -1.056 -0.447  -0.882 -0.447  -0.707 -0.447  -0.533 -0.443  -0.359 -0.421  -0.186 -0.399  -0.017 -0.363  0.137 -0.281  0.291 -0.199  0.431 -0.095  0.570 0.011  0.639 0.170  0.682 0.335  0.655 0.507  0.580 0.660  0.450 0.737  0.348 0.595  0.326 0.422  0.306 0.249  0.332 0.076  0.358 -0.097  0.414 -0.260  0.492 -0.416  0.592 -0.555  0.725 -0.668  0.868 -0.764  1.032 -0.826  1.197 -0.882  1.366 -0.925  1.536 -0.965  1.707 -0.999
3#apb#apb41#app4115/c  0.444 0.695  0.419 0.795  0.393 0.895  0.318 0.957  0.228 1.009  0.130 1.028  0.026 1.028  -0.077 1.028  -0.177 1.003  -0.277 0.976  -0.377 0.948  -0.459 0.888  -0.538 0.821  -0.618 0.755  -0.697 0.689  -0.754 0.605  -0.801 0.513  -0.847 0.420  -0.891 0.327  -0.907 0.225  -0.923 0.123  -0.938 0.021  -0.920 -0.076  -0.870 -0.166  -0.821 -0.257  -0.766 -0.343  -0.681 -0.402  -0.596 -0.461  -0.511 -0.519  -0.426 -0.578  -0.326 -0.600  -0.224 -0.619  -0.122 -0.637  -0.020 -0.656  0.081 -0.674  0.183 -0.693  0.286 -0.695  0.390 -0.695  0.493 -0.695  0.597 -0.695  0.700 -0.695  0.803 -0.695  0.907 -0.695  1.008 -0.673  1.108 -0.649  1.209 -0.625  1.309 -0.600  1.410 -0.576  1.510 -0.552  1.611 -0.528
3#apb#apb41#app4115/h  -0.031 1.813  -0.044 1.871  -0.085 1.766  -0.113 1.656  -0.140 1.545  -0.169 1.435  -0.200 1.326  -0.231 1.216  -0.262 1.107  -0.293 0.998  -0.321 0.888  -0.346 0.777  -0.371 0.666  -0.395 0.555  -0.420 0.444  -0.445 0.333  -0.468 0.221  -0.491 0.110  -0.514 -0.001  -0.537 -0.113  -0.551 -0.225  -0.551 -0.339  -0.551 -0.452  -0.542 -0.565  -0.511 -0.674  -0.468 -0.779  -0.408 -0.874  -0.316 -0.887  -0.219 -0.829  -0.128 -0.761  -0.035 -0.696  0.060 -0.633  0.146 -0.561  0.217 -0.472  0.287 -0.383  0.364 -0.300  0.453 -0.229  0.545 -0.163  0.649 -0.133  0.686 -0.235  0.686 -0.348  0.677 -0.461  0.659 -0.574  0.642 -0.686  0.629 -0.799  0.615 -0.912  0.624 -1.025  0.657 -1.128  0.735 -1.210  0.826 -1.279
3#apb#apb41#app4115/P  -0.083 0.564  0.036 0.646  0.004 0.439  -0.045 0.236  -0.094 0.032  -0.147 -0.170  -0.201 -0.372  -0.255 -0.574  -0.308 -0.777  -0.362 -0.979  -0.401 -1.184  -0.432 -1.391  -0.432 -1.600  -0.382 -1.708  -0.399 -1.500  -0.404 -1.290  -0.410 -1.081  -0.415 -0.872  -0.421 -0.663  -0.427 -0.454  -0.432 -0.245  -0.438 -0.036  -0.443 0.173  -0.449 0.382  -0.454 0.592  -0.460 0.801  -0.465 1.010  -0.467 1.219  -0.460 1.418  -0.263 1.349  -0.069 1.271  0.125 1.194  0.319 1.115  0.509 1.027  0.699 0.940  0.881 0.837  1.060 0.728  1.204 0.577  1.288 0.399  1.259 0.201  1.151 0.021  0.963 -0.060  0.767 -0.132  0.571 -0.205  0.375 -0.279  0.169 -0.314  -0.038 -0.340  -0.247 -0.357  -0.454 -0.347  -0.625 -0.241
3#apb#apb41#app4115/l  -0.098 1.541  -0.098 1.630  -0.142 1.626  -0.186 1.549  -0.218 1.467  -0.244 1.383  -0.270 1.299  -0.284 1.213  -0.284 1.125  -0.284 1.037  -0.284 0.948  -0.285 0.860  -0.291 0.772  -0.298 0.684  -0.304 0.596  -0.311 0.508  -0.317 0.420  -0.327 0.332  -0.337 0.245  -0.347 0.157  -0.357 0.070  -0.367 -0.018  -0.373 -0.106  -0.377 -0.194  -0.381 -0.282  -0.385 -0.371  -0.386 -0.459  -0.386 -0.547  -0.386 -0.635  -0.369 -0.722  -0.346 -0.806  -0.289 -0.871  -0.206 -0.899  -0.118 -0.899  -0.029 -0.899  0.057 -0.885  0.144 -0.868  0.230 -0.851  0.317 -0.835  0.404 -0.820  0.491 -0.804  0.577 -0.786  0.663 -0.764  0.748 -0.743  0.835 -0.730  0.923 -0.730  1.011 -0.730  1.100 -0.730  1.188 -0.734  1.275 -0.747
3#apb#apb41#app4115/.  -0.287 1.086  -0.221 1.125  -0.155 1.165  -0.090 1.204  -0.024 1.244  0.042 1.283  0.109 1.317  0.186 1.317  0.252 1.307  0.252 1.230  0.252 1.154  0.252 1.077  0.252 1.001  0.252 0.924  0.251 0.847  0.235 0.773  0.219 0.698  0.203 0.623  0.187 0.548  0.171 0.473  0.154 0.398  0.138 0.323  0.122 0.248  0.106 0.173  0.090 0.098  0.074 0.023  0.058 -0.052  0.042 -0.127  0.026 -0.201  0.004 -0.275  -0.020 -0.347  -0.044 -0.420  -0.069 -0.493  -0.093 -0.566  -0.117 -0.638  -0.141 -0.711  -0.165 -0.784  -0.190 -0.856  -0.210 -0.930  -0.210 -1.006  -0.210 -1.083  -0.210 -1.160  -0.210 -1.236  -0.210 -1.313  -0.210 -1.389  -0.207 -1.466  -0.188 -1.540  -0.170 -1.614  -0.151 -1.689  -0.133 -1.763
3#apb#apb41#app4115/1  0.312 0.786  0.346 0.866  0.381 0.947  0.417 1.027  0.452 1.107  0.479 1.190  0.503 1.274  0.564 1.337  0.546 1.344  0.480 1.287  0.416 1.228  0.380 1.148  0.344 1.068  0.308 0.988  0.272 0.908  0.236 0.828  0.199 0.749  0.163 0.669  0.126 0.590  0.089 0.511  0.052 0.431  0.015 0.352  -0.022 0.272  -0.058 0.193  -0.091 0.111  -0.124 0.030  -0.157 -0.051  -0.190 -0.132  -0.223 -0.213  -0.256 -0.294  -0.289 -0.375  -0.322 -0.457  -0.342 -0.541  -0.360 -0.627  -0.377 -0.713  -0.394 -0.799  -0.411 -0.885  -0.428 -0.971  -0.433 -1.057  -0.426 -1.145  -0.420 -1.232  -0.413 -1.319  -0.398 -1.406  -0.337 -1.437  -0.257 -1.415  -0.187 -1.362  -0.117 -1.310  -0.066 -1.238  -0.016 -1.167  0.034 -1.095
3#apb#apb41#app4115/0  0.135 0.308  -0.028 0.308  -0.179 0.266  -0.319 0.182  -0.449 0.086  -0.569 -0.025  -0.670 -0.147  -0.717 -0.304  -0.763 -0.460  -0.771 -0.622  -0.771 -0.785  -0.723 -0.933  -0.631 -1.067  -0.490 -1.114  -0.327 -1.122  -0.166 -1.120  -0.014 -1.062  0.139 -1.003  0.291 -0.945  0.426 -0.854  0.559 -0.760  0.692 -0.666  0.819 -0.564  0.941 -0.456  1.063 -0.348  1.150 -0.213  1.223 -0.067  1.228 0.087  1.192 0.246  1.119 0.385  1.007 0.504  0.895 0.622  0.779 0.737  0.661 0.849  0.543 0.961  0.401 1.033  0.245 1.078  0.088 1.118  -0.072 1.084  -0.231 1.051  -0.359 0.955  -0.480 0.846  -0.601 0.737  -0.703 0.612  -0.788 0.472  -0.872 0.333  -0.934 0.185  -0.961 0.024  -0.989 -0.136  -1.017 -0.297
3#apb#apb41#app4115/5  -0.024 0.706  0.019 0.830  -0.121 0.692  -0.279 0.571  -0.446 0.462  -0.610 0.350  -0.761 0.219  -0.885 0.066  -0.727 0.011  -0.528 0.011  -0.329 0.011  -0.129 0.015  0.070 0.021  0.269 0.023  0.468 0.014  0.656 -0.042  0.814 -0.151  0.898 -0.325  0.880 -0.520  0.783 -0.693  0.643 -0.833  0.486 -0.954  0.312 -1.050  0.124 -1.114  -0.069 -1.164  -0.267 -1.175  -0.466 -1.182  -0.662 -1.143  -0.854 -1.093  -1.028 -1.001  -1.010 -0.832  -0.936 -0.647  -0.862 -0.462  -0.788 -0.277  -0.714 -0.092  -0.640 0.093  -0.566 0.278  -0.492 0.463  -0.426 0.615  -0.232 0.658  -0.036 0.696  0.159 0.734  0.354 0.777  0.548 0.824  0.741 0.871  0.938 0.904  1.134 0.936  1.332 0.959  1.530 0.977  1.729 0.963
3#apb#apb41#app4115/E  -0.548 0.599  -0.534 0.691  -0.640 0.462  -0.741 0.230  -0.835 -0.004  -0.923 -0.241  -1.003 -0.481  -1.043 -0.728  -0.989 -0.971  -0.796 -1.124  -0.551 -1.180  -0.299 -1.188  -0.046 -1.188  0.204 -1.162  0.454 -1.135  0.700 -1.091  0.833 -1.031  0.618 -0.898  0.404 -0.764  0.189 -0.630  -0.025 -0.496  -0.240 -0.363  -0.454 -0.229  -0.519 -0.139  -0.271 -0.092  -0.018 -0.091  0.235 -0.091  0.488 -0.091  0.739 -0.072  0.989 -0.037  1.241 -0.014  1.137 0.053  0.896 0.130  0.655 0.207  0.415 0.284  0.174 0.361  -0.067 0.438  -0.308 0.515  -0.541 0.610  -0.768 0.722  -0.924 0.890  -0.707 0.987  -0.456 1.013  -0.204 1.023  0.049 1.024  0.302 1.024  0.554 1.047  0.805 1.070  1.058 1.077  1.311 1.077
3#apb#apb41#app4115/.  0.127 -1.711  0.127 -1.537  0.127 -1.363  0.127 -1.189  0.127 -1.015  0.127 -0.841  0.127 -0.667  0.127 -0.493  0.127 -0.319  0.127 -0.146  0.127 0.028  0.127 0.202  0.127 0.376  0.127 0.550  0.127 0.724  0.127 0.898  0.006 0.951  -0.168 0.951  -0.342 0.951  -0.516 0.951  -0.690 0.951  -0.657 0.951  -0.483 0.951  -0.309 0.951  -0.135 0.951  0.039 0.951  0.041 0.951  -0.133 0.951  -0.307 0.951  -0.481 0.951  -0.655 0.951  -0.723 0.894  -0.626 0.749  -0.530 0.605  -0.433 0.460  -0.337 0.315  -0.240 0.170  -0.144 0.026  -0.047 -0.119  0.049 -0.264  0.146 -0.408  0.242 -0.553  0.339 -0.698  0.435 -0.843  0.531 -0.987  0.628 -1.132  0.724 -1.277  0.821 -1.421  0.917 -1.566  1.014 -1.711
3#apb#apb41#app4115/5  -0.446 0.528  -0.345 0.681  -0.459 0.542  -0.575 0.394  -0.699 0.252  -0.828 0.115  -0.850 -0.041  -0.675 -0.098  -0.488 -0.122  -0.300 -0.127  -0.112 -0.121  0.077 -0.116  0.265 -0.124  0.454 -0.131  0.628 -0.201  0.777 -0.309  0.874 -0.463  0.879 -0.649  0.783 -0.812  0.660 -0.949  0.507 -1.060  0.345 -1.155  0.178 -1.243  -0.003 -1.296  -0.187 -1.325  -0.376 -1.324  -0.557 -1.272  -0.650 -1.119  -0.659 -0.936  -0.581 -0.764  -0.534 -0.582  -0.487 -0.399  -0.440 -0.216  -0.393 -0.034  -0.346 0.149  -0.299 0.331  -0.252 0.514  -0.205 0.697  -0.363 0.773  -0.394 0.873  -0.222 0.950  -0.040 0.994  0.146 1.025  0.331 1.063  0.515 1.104  0.700 1.139  0.886 1.169  1.071 1.208  1.252 1.258  1.438 1.232
