2#app#app25#app2575/!  0.598 1.941  0.598 1.826  0.538 1.735  0.457 1.654  0.452 1.541  0.452 1.426  0.452 1.310  0.452 1.195  0.452 1.080  0.351 1.066  0.306 0.996  0.306 0.881  0.306 0.766  0.306 0.650  0.306 0.535  0.243 0.483  0.128 0.483  0.015 0.482  0.015 0.366  -0.009 0.255  -0.041 0.144  -0.072 0.033  -0.104 -0.077  -0.135 -0.188  -0.167 -0.299  -0.199 -0.409  -0.230 -0.520  -0.262 -0.631  -0.338 -0.683  -0.423 -0.713  -0.423 -0.828  -0.423 -0.943  -0.506 -0.975  -0.568 -1.028  -0.546 -1.120  -0.431 -1.120  -0.316 -1.120  -0.200 -1.120  -0.085 -1.120  0.015 -1.105  0.015 -0.990  0.015 -0.875  0.015 -0.760  0.015 -0.645  0.007 -0.537  -0.108 -0.537  -0.223 -0.537  -0.277 -0.599  -0.307 -0.683  -0.423 -0.683
2#app#app25#app2575/~  -1.822 0.168  -1.705 0.168  -1.588 0.168  -1.471 0.168  -1.354 0.168  -1.245 0.189  -1.162 0.272  -1.079 0.355  -0.997 0.438  -0.883 0.446  -0.766 0.446  -0.667 0.490  -0.584 0.573  -0.501 0.656  -0.418 0.710  -0.335 0.627  -0.252 0.544  -0.169 0.461  -0.155 0.350  -0.155 0.233  -0.155 0.116  -0.155 -0.002  -0.155 -0.119  -0.155 -0.236  -0.155 -0.353  -0.155 -0.470  -0.155 -0.588  -0.116 -0.666  0.002 -0.666  0.119 -0.666  0.236 -0.666  0.353 -0.666  0.401 -0.597  0.401 -0.480  0.427 -0.388  0.544 -0.388  0.661 -0.388  0.679 -0.289  0.679 -0.172  0.735 -0.110  0.852 -0.110  0.969 -0.110  1.086 -0.110  1.203 -0.110  1.296 -0.050  1.378 0.033  1.461 0.116  1.557 0.168  1.674 0.168  1.791 0.168
2#app#app25#app2575/  -1.556 -0.191  -1.502 -0.137  -1.447 -0.082  -1.393 -0.028  -1.339 0.026  -1.284 0.081  -1.230 0.135  -1.176 0.189  -1.121 0.244  -1.067 0.298  -1.013 0.352  -0.939 0.360  -0.862 0.360  -0.785 0.360  -0.709 0.360  -0.632 0.360  -0.555 0.360  -0.478 0.360  -0.416 0.324  -0.362 0.269  -0.308 0.215  -0.253 0.161  -0.199 0.106  -0.145 0.052  -0.090 -0.002  -0.036 -0.057  0.018 -0.111  0.073 -0.165  0.139 -0.191  0.216 -0.191  0.293 -0.191  0.369 -0.191  0.446 -0.191  0.523 -0.191  0.600 -0.191  0.677 -0.191  0.754 -0.191  0.830 -0.191  0.907 -0.191  0.984 -0.191  1.061 -0.191  1.138 -0.191  1.215 -0.191  1.291 -0.191  1.368 -0.191  1.445 -0.191  1.522 -0.191  1.599 -0.191  1.676 -0.191  1.752 -0.191
2#app#app25#app2575/_  -1.714 0.100  -1.642 0.136  -1.571 0.171  -1.499 0.207  -1.428 0.243  -1.356 0.278  -1.278 0.286  -1.198 0.286  -1.129 0.259  -1.073 0.202  -1.016 0.146  -0.956 0.100  -0.876 0.100  -0.796 0.100  -0.716 0.100  -0.636 0.100  -0.556 0.100  -0.476 0.100  -0.396 0.100  -0.316 0.100  -0.236 0.100  -0.156 0.100  -0.077 0.100  -0.041 0.056  -0.041 -0.024  -0.023 -0.086  0.057 -0.086  0.137 -0.086  0.217 -0.086  0.297 -0.086  0.377 -0.086  0.457 -0.086  0.537 -0.086  0.617 -0.086  0.696 -0.086  0.755 -0.138  0.811 -0.195  0.868 -0.251  0.939 -0.272  1.019 -0.272  1.099 -0.272  1.179 -0.272  1.259 -0.272  1.260 -0.194  1.260 -0.114  1.313 -0.086  1.392 -0.086  1.472 -0.086  1.552 -0.086  1.632 -0.086
2#app#app25#app2575/+  -1.573 0.026  -1.573 0.193  -1.573 0.176  -1.556 0.026  -1.390 0.026  -1.223 0.026  -1.057 0.026  -0.891 0.026  -0.724 0.026  -0.558 0.026  -0.392 0.026  -0.225 0.026  -0.059 0.026  0.108 0.026  0.274 0.026  0.440 0.026  0.607 0.026  0.773 0.026  0.939 0.026  1.106 0.026  1.272 0.026  1.438 0.026  1.530 0.049  1.391 0.141  1.253 0.234  1.114 0.326  0.976 0.418  0.837 0.510  0.699 0.603  0.561 0.695  0.422 0.787  0.284 0.880  0.145 0.972  0.075 0.867  0.022 0.709  -0.031 0.551  -0.083 0.393  -0.125 0.234  -0.125 0.068  -0.125 -0.099  -0.125 -0.265  -0.125 -0.432  -0.125 -0.598  -0.172 -0.745  -0.290 -0.862  -0.366 -0.997  -0.366 -1.163  -0.366 -1.330  -0.441 -1.421  -0.608 -1.421
2#app#app25#app2575/=  -0.699 0.798  -0.545 0.798  -0.390 0.798  -0.295 0.857  -0.284 1.000  -0.130 1.000  0.025 1.000  0.179 1.000  0.333 1.000  0.488 1.000  0.642 1.000  0.715 0.919  0.749 0.798  0.903 0.798  1.057 0.798  1.043 0.747  0.915 0.661  0.786 0.575  0.658 0.490  0.529 0.404  0.401 0.319  0.272 0.233  0.144 0.147  0.016 0.062  -0.113 -0.024  -0.241 -0.110  -0.370 -0.195  -0.498 -0.281  -0.626 -0.366  -0.755 -0.452  -0.883 -0.538  -1.012 -0.623  -1.140 -0.709  -1.269 -0.794  -1.195 -0.819  -1.041 -0.819  -0.887 -0.819  -0.732 -0.819  -0.578 -0.819  -0.424 -0.819  -0.269 -0.819  -0.115 -0.819  0.039 -0.819  0.194 -0.819  0.348 -0.819  0.502 -0.819  0.657 -0.819  0.811 -0.819  0.965 -0.819  1.120 -0.819
2#app#app25#app2575/[  1.374 1.009  1.273 1.009  1.173 1.009  1.072 1.009  0.972 1.009  0.897 0.947  0.826 0.876  0.727 0.871  0.627 0.871  0.532 0.858  0.461 0.787  0.383 0.733  0.282 0.733  0.182 0.733  0.081 0.733  -0.019 0.733  -0.120 0.733  -0.220 0.733  -0.321 0.733  -0.421 0.733  -0.422 0.633  -0.422 0.532  -0.422 0.432  -0.422 0.331  -0.422 0.231  -0.422 0.130  -0.422 0.030  -0.422 -0.071  -0.422 -0.171  -0.422 -0.272  -0.422 -0.372  -0.422 -0.473  -0.466 -0.554  -0.537 -0.626  -0.560 -0.717  -0.560 -0.817  -0.560 -0.918  -0.560 -1.018  -0.560 -1.119  -0.541 -1.200  -0.440 -1.200  -0.364 -1.142  -0.293 -1.071  -0.196 -1.062  -0.095 -1.062  0.005 -1.062  0.106 -1.062  0.206 -1.062  0.307 -1.062  0.407 -1.062
2#app#app25#app2575/]  -0.463 1.173  -0.365 1.173  -0.268 1.173  -0.171 1.173  -0.073 1.173  0.024 1.173  0.121 1.173  0.218 1.173  0.316 1.173  0.413 1.173  0.510 1.173  0.529 1.094  0.494 1.032  0.397 1.032  0.387 0.944  0.387 0.847  0.387 0.750  0.319 0.681  0.251 0.612  0.245 0.517  0.245 0.419  0.245 0.322  0.245 0.225  0.245 0.127  0.238 0.033  0.170 -0.036  0.104 -0.106  0.104 -0.203  0.063 -0.283  -0.005 -0.352  -0.038 -0.436  -0.038 -0.533  -0.038 -0.631  -0.038 -0.728  -0.038 -0.825  -0.038 -0.922  -0.106 -0.951  -0.179 -0.975  -0.179 -1.073  -0.179 -1.170  -0.212 -1.234  -0.310 -1.234  -0.321 -1.320  -0.321 -1.334  -0.321 -1.237  -0.415 -1.234  -0.513 -1.234  -0.608 -1.230  -0.677 -1.161  -0.746 -1.093
2#app#app25#app2575/{  0.854 1.294  0.747 1.294  0.641 1.294  0.534 1.294  0.427 1.294  0.321 1.294  0.214 1.294  0.107 1.294  0.074 1.221  0.050 1.138  -0.056 1.138  -0.083 1.057  -0.105 0.960  -0.180 0.884  -0.228 0.805  -0.180 0.709  -0.133 0.614  -0.085 0.518  -0.083 0.412  -0.083 0.306  -0.083 0.199  -0.083 0.092  -0.142 0.045  -0.249 0.045  -0.355 0.045  -0.328 0.045  -0.226 0.033  -0.151 -0.043  -0.083 -0.121  -0.083 -0.228  -0.015 -0.267  0.074 -0.285  0.074 -0.392  0.074 -0.498  0.074 -0.605  0.074 -0.712  0.015 -0.794  -0.061 -0.869  -0.083 -0.967  -0.109 -1.047  -0.215 -1.047  -0.239 -1.131  -0.239 -1.237  -0.239 -1.344  -0.239 -1.451  -0.197 -1.516  -0.090 -1.516  0.016 -1.516  0.123 -1.516  0.230 -1.516
2#app#app25#app2575/}  -0.284 1.452  -0.132 1.452  0.020 1.452  0.172 1.452  0.324 1.452  0.431 1.407  0.449 1.273  0.601 1.273  0.610 1.130  0.610 0.978  0.520 0.916  0.431 0.853  0.431 0.701  0.422 0.558  0.270 0.558  0.252 0.424  0.145 0.379  0.016 0.322  -0.091 0.215  -0.105 0.069  -0.210 0.022  -0.284 -0.057  -0.232 -0.157  -0.105 -0.182  -0.105 -0.334  0.045 -0.336  0.197 -0.336  0.349 -0.336  0.431 -0.266  0.474 -0.157  0.594 -0.157  0.442 -0.157  0.290 -0.157  0.138 -0.157  0.074 -0.245  0.013 -0.336  -0.139 -0.336  -0.284 -0.343  -0.284 -0.495  -0.378 -0.608  -0.463 -0.725  -0.463 -0.877  -0.463 -1.029  -0.463 -1.181  -0.463 -1.333  -0.517 -1.463  -0.624 -1.570  -0.769 -1.587  -0.892 -1.659  -0.999 -1.766
2#app#app25#app2575/\\  -0.830 1.139  -0.765 1.204  -0.701 1.268  -0.637 1.332  -0.605 1.318  -0.605 1.227  -0.602 1.139  -0.511 1.139  -0.420 1.139  -0.380 1.088  -0.380 0.997  -0.380 0.906  -0.380 0.815  -0.380 0.725  -0.324 0.690  -0.233 0.690  -0.156 0.676  -0.156 0.586  -0.156 0.495  -0.156 0.404  -0.156 0.313  -0.156 0.222  -0.156 0.131  -0.156 0.040  -0.156 -0.051  -0.156 -0.142  -0.132 -0.209  -0.041 -0.209  0.050 -0.209  0.069 -0.281  0.069 -0.372  0.090 -0.454  0.154 -0.518  0.218 -0.582  0.282 -0.647  0.294 -0.733  0.294 -0.824  0.326 -0.882  0.417 -0.882  0.508 -0.882  0.518 -0.963  0.518 -1.054  0.556 -1.107  0.647 -1.107  0.738 -1.107  0.743 -1.193  0.743 -1.284  0.786 -1.332  0.877 -1.332  0.967 -1.332
2#app#app25#app2575/,  0.294 1.812  0.294 1.726  0.294 1.640  0.294 1.554  0.294 1.468  0.294 1.382  0.294 1.296  0.294 1.210  0.294 1.124  0.294 1.038  0.294 0.952  0.294 0.866  0.294 0.780  0.294 0.694  0.294 0.608  0.294 0.522  0.294 0.436  0.294 0.350  0.294 0.264  0.294 0.178  0.294 0.092  0.294 0.006  0.294 -0.079  0.294 -0.165  0.294 -0.251  0.294 -0.337  0.294 -0.423  0.294 -0.509  0.228 -0.528  0.142 -0.528  0.056 -0.528  -0.030 -0.528  -0.116 -0.528  -0.174 -0.557  -0.174 -0.643  -0.174 -0.729  -0.174 -0.815  -0.174 -0.901  -0.174 -0.987  -0.250 -0.996  -0.336 -0.996  -0.422 -0.996  -0.508 -0.996  -0.594 -0.996  -0.680 -0.996  -0.766 -0.996  -0.852 -0.996  -0.938 -0.996  -1.024 -0.996  -1.110 -0.996
2#app#app25#app2575/  1.062 1.456  1.003 1.397  0.944 1.338  0.885 1.279  0.826 1.220  0.767 1.161  0.708 1.102  0.649 1.043  0.591 0.985  0.532 0.926  0.473 0.867  0.414 0.808  0.399 0.731  0.399 0.647  0.393 0.567  0.334 0.508  0.276 0.449  0.217 0.390  0.179 0.322  0.179 0.239  0.179 0.156  0.179 0.073  0.179 -0.011  0.174 -0.090  0.091 -0.090  0.008 -0.090  -0.042 -0.123  -0.042 -0.206  -0.042 -0.290  -0.105 -0.310  -0.188 -0.310  -0.263 -0.319  -0.263 -0.402  -0.263 -0.485  -0.289 -0.558  -0.348 -0.617  -0.407 -0.675  -0.466 -0.734  -0.542 -0.752  -0.625 -0.752  -0.704 -0.756  -0.704 -0.839  -0.704 -0.923  -0.728 -0.996  -0.787 -1.055  -0.846 -1.114  -0.905 -1.173  -0.925 -1.248  -0.925 -1.331  -0.925 -1.414
2#app#app25#app2575/?  -0.471 0.424  -0.471 0.543  -0.389 0.580  -0.283 0.612  -0.199 0.697  -0.096 0.736  -0.005 0.763  -0.005 0.882  -0.005 1.001  0.069 1.047  0.188 1.047  0.307 1.047  0.426 1.047  0.545 1.047  0.618 1.001  0.627 0.891  0.746 0.891  0.774 0.800  0.774 0.681  0.774 0.562  0.774 0.443  0.673 0.424  0.573 0.379  0.488 0.295  0.380 0.269  0.261 0.269  0.145 0.262  0.061 0.178  -0.032 0.113  -0.151 0.113  -0.160 0.004  -0.233 -0.043  -0.316 -0.079  -0.316 -0.198  -0.316 -0.317  -0.316 -0.436  -0.316 -0.555  -0.316 -0.674  -0.316 -0.793  -0.316 -0.912  -0.316 -1.031  -0.316 -1.150  -0.316 -1.269  -0.316 -1.388  -0.316 -1.507  -0.340 -1.611  -0.447 -1.664  -0.553 -1.718  -0.627 -1.791  -0.627 -1.910
2#app#app25#app2575/'  -0.413 1.773  -0.413 1.684  -0.413 1.595  -0.413 1.505  -0.413 1.416  -0.413 1.327  -0.413 1.238  -0.413 1.149  -0.413 1.059  -0.413 0.970  -0.413 0.881  -0.413 0.792  -0.413 0.703  -0.413 0.613  -0.413 0.524  -0.413 0.435  -0.413 0.346  -0.413 0.256  -0.413 0.167  -0.413 0.078  -0.413 -0.011  -0.413 -0.100  -0.413 -0.190  -0.413 -0.279  -0.413 -0.368  -0.368 -0.413  -0.279 -0.413  -0.190 -0.413  -0.100 -0.413  -0.011 -0.413  0.078 -0.413  0.167 -0.413  0.256 -0.413  0.346 -0.413  0.435 -0.413  0.524 -0.413  0.613 -0.413  0.680 -0.435  0.680 -0.524  0.680 -0.613  0.680 -0.703  0.680 -0.792  0.680 -0.881  0.680 -0.970  0.680 -1.059  0.680 -1.149  0.680 -1.238  0.680 -1.327  0.680 -1.416  0.680 -1.505
2#app#app25#app2575/\"  -1.240 0.929  -1.240 0.809  -1.240 0.690  -1.240 0.571  -1.240 0.451  -1.240 0.332  -1.174 0.240  -1.089 0.156  -1.005 0.072  -0.930 -0.017  -0.930 -0.136  -0.930 -0.255  -0.930 -0.374  -0.930 -0.494  -0.930 -0.613  -0.846 -0.558  -0.753 -0.483  -0.659 -0.409  -0.566 -0.334  -0.473 -0.259  -0.380 -0.185  -0.287 -0.110  -0.194 -0.036  -0.100 0.039  -0.007 0.113  0.086 0.188  0.179 0.262  0.272 0.337  0.365 0.411  0.458 0.486  0.552 0.560  0.624 0.591  0.624 0.471  0.624 0.352  0.698 0.307  0.817 0.307  0.934 0.305  0.934 0.186  0.934 0.066  0.934 -0.053  0.934 -0.172  0.934 -0.292  1.031 -0.314  1.150 -0.314  1.245 -0.339  1.245 -0.458  1.245 -0.578  1.245 -0.697  1.245 -0.816  1.245 -0.935
2#app#app25#app2575/<  0.985 1.317  0.870 1.317  0.755 1.317  0.639 1.317  0.583 1.258  0.583 1.143  0.495 1.116  0.381 1.113  0.381 0.998  0.350 0.914  0.235 0.914  0.180 0.854  0.180 0.738  0.116 0.649  0.035 0.568  -0.057 0.512  -0.173 0.512  -0.223 0.446  -0.223 0.331  -0.317 0.310  -0.430 0.304  -0.512 0.223  -0.593 0.141  -0.695 0.109  -0.810 0.109  -0.826 0.010  -0.826 -0.106  -0.826 -0.221  -0.826 -0.336  -0.826 -0.451  -0.754 -0.495  -0.639 -0.495  -0.524 -0.495  -0.424 -0.510  -0.424 -0.625  -0.379 -0.696  -0.264 -0.696  -0.148 -0.696  -0.033 -0.696  0.052 -0.769  0.133 -0.851  0.229 -0.897  0.345 -0.897  0.437 -0.953  0.518 -1.034  0.583 -1.123  0.583 -1.239  0.621 -1.338  0.702 -1.420  0.784 -1.501
2#app#app25#app2575/|  0.285 1.691  0.285 1.617  0.285 1.544  0.285 1.470  0.285 1.396  0.285 1.322  0.285 1.248  0.285 1.174  0.285 1.100  0.285 1.027  0.285 0.953  0.285 0.879  0.252 0.819  0.200 0.767  0.147 0.714  0.095 0.662  0.075 0.597  0.075 0.523  0.075 0.449  0.075 0.375  0.075 0.301  0.075 0.227  0.075 0.154  0.075 0.080  0.075 0.006  0.075 -0.068  0.075 -0.142  0.062 -0.210  0.010 -0.263  -0.042 -0.315  -0.094 -0.367  -0.135 -0.424  -0.135 -0.498  -0.135 -0.572  -0.135 -0.646  -0.135 -0.720  -0.135 -0.793  -0.163 -0.856  -0.215 -0.908  -0.268 -0.960  -0.320 -1.012  -0.345 -1.076  -0.345 -1.150  -0.345 -1.223  -0.345 -1.297  -0.345 -1.371  -0.345 -1.445  -0.345 -1.519  -0.345 -1.593  -0.345 -1.667
2#app#app25#app2575/>  -0.600 1.503  -0.486 1.503  -0.384 1.477  -0.304 1.397  -0.224 1.317  -0.220 1.205  -0.188 1.123  -0.075 1.123  -0.030 1.055  -0.030 0.942  0.075 0.934  0.160 0.905  0.160 0.792  0.160 0.678  0.160 0.565  0.262 0.554  0.349 0.528  0.349 0.415  0.412 0.364  0.525 0.364  0.539 0.265  0.539 0.152  0.539 0.038  0.598 -0.016  0.712 -0.016  0.729 -0.112  0.729 -0.225  0.729 -0.338  0.673 -0.395  0.560 -0.395  0.474 -0.461  0.393 -0.541  0.298 -0.585  0.185 -0.585  0.072 -0.585  -0.038 -0.593  -0.118 -0.673  -0.198 -0.753  -0.303 -0.775  -0.410 -0.781  -0.410 -0.894  -0.453 -0.965  -0.566 -0.965  -0.600 -1.044  -0.603 -1.155  -0.716 -1.155  -0.790 -1.194  -0.790 -1.308  -0.866 -1.344  -0.979 -1.344
