1b#apa#apa00#app0015/A  -0.244 1.332  -0.094 1.457  -0.056 1.220  -0.100 0.952  -0.147 0.686  -0.234 0.425  -0.262 0.155  -0.348 -0.106  -0.403 -0.374  -0.465 -0.641  -0.512 -0.908  -0.561 -1.174  -0.628 -1.433  -0.680 -1.695  -0.582 -1.547  -0.527 -1.278  -0.472 -1.009  -0.417 -0.740  -0.362 -0.471  -0.308 -0.202  -0.253 0.067  -0.198 0.336  -0.143 0.606  -0.088 0.875  -0.034 1.144  0.021 1.413  0.068 1.683  0.113 1.475  0.131 1.208  0.220 0.953  0.323 0.698  0.447 0.453  0.593 0.221  0.721 -0.021  0.886 -0.240  1.005 -0.486  1.055 -0.753  1.067 -1.025  0.958 -1.083  0.737 -0.919  0.516 -0.756  0.296 -0.593  0.075 -0.429  -0.146 -0.266  -0.366 -0.102  -0.587 0.061  -0.382 0.084  -0.138 0.168  0.123 0.245  0.381 0.334
1b#apa#apa00#app0015/L  -0.161 1.950  -0.161 1.856  -0.161 1.761  -0.161 1.667  -0.161 1.572  -0.161 1.478  -0.125 1.398  -0.075 1.325  -0.075 1.230  -0.075 1.136  -0.075 1.041  -0.075 0.947  -0.075 0.852  -0.075 0.758  -0.075 0.663  -0.075 0.569  -0.075 0.474  -0.075 0.380  -0.075 0.286  -0.075 0.191  -0.075 0.097  -0.075 0.002  -0.075 -0.092  -0.075 -0.187  -0.075 -0.281  -0.075 -0.376  -0.075 -0.470  -0.075 -0.565  -0.075 -0.659  -0.075 -0.753  -0.075 -0.848  -0.075 -0.942  -0.075 -1.037  -0.147 -1.059  -0.161 -1.140  -0.158 -1.059  -0.075 -1.048  -0.075 -0.953  -0.075 -0.859  -0.075 -0.838  -0.029 -0.887  0.065 -0.887  0.160 -0.887  0.254 -0.887  0.349 -0.887  0.417 -0.825  0.502 -0.801  0.596 -0.801  0.691 -0.801  0.785 -0.801
1b#apa#apa00#app0015/M  -0.595 1.382  -0.595 1.148  -0.595 0.914  -0.595 0.680  -0.595 0.446  -0.595 0.212  -0.595 -0.022  -0.547 -0.244  -0.514 -0.470  -0.514 -0.704  -0.514 -0.938  -0.514 -1.172  -0.514 -1.406  -0.514 -1.640  -0.509 -1.486  -0.502 -1.253  -0.496 -1.019  -0.489 -0.785  -0.482 -0.551  -0.475 -0.317  -0.469 -0.083  -0.462 0.150  -0.455 0.384  -0.449 0.618  -0.442 0.852  -0.435 1.086  -0.353 0.994  -0.232 0.858  -0.111 0.674  0.002 0.478  0.051 0.253  0.211 0.085  0.291 -0.116  0.453 -0.110  0.533 0.091  0.533 0.325  0.614 0.540  0.630 0.770  0.701 0.986  0.824 0.979  0.856 0.777  0.856 0.543  0.856 0.309  0.856 0.075  0.860 -0.158  0.936 -0.374  0.936 -0.608  0.993 -0.828  1.074 -1.047  1.097 -1.277
1b#apa#apa00#app0015/N  -0.586 1.205  -0.498 1.255  -0.586 1.077  -0.586 0.863  -0.674 0.669  -0.674 0.454  -0.674 0.240  -0.674 0.025  -0.586 -0.153  -0.586 -0.367  -0.586 -0.582  -0.498 -0.760  -0.498 -0.974  -0.410 -1.152  -0.499 -1.242  -0.510 -1.028  -0.520 -0.814  -0.531 -0.600  -0.542 -0.386  -0.553 -0.171  -0.563 0.043  -0.574 0.257  -0.585 0.471  -0.586 0.686  -0.539 0.853  -0.413 0.941  -0.322 0.993  -0.269 0.801  -0.210 0.605  -0.137 0.404  -0.058 0.223  0.005 0.023  0.142 -0.139  0.262 -0.314  0.332 -0.505  0.421 -0.683  0.573 -0.835  0.725 -0.986  0.899 -1.084  0.999 -0.970  1.087 -0.792  1.087 -0.578  1.087 -0.363  1.087 -0.149  1.087 0.066  1.087 0.280  1.124 0.486  1.175 0.688  1.175 0.903  1.175 1.117
1b#apa#apa00#app0015/O  0.049 0.995  0.049 1.130  0.049 1.265  -0.014 1.337  -0.125 1.277  -0.221 1.182  -0.316 1.086  -0.408 0.989  -0.427 0.861  -0.523 0.766  -0.618 0.670  -0.636 0.542  -0.648 0.412  -0.744 0.316  -0.750 0.183  -0.750 0.048  -0.750 -0.087  -0.750 -0.223  -0.750 -0.358  -0.749 -0.493  -0.706 -0.621  -0.663 -0.750  -0.602 -0.867  -0.506 -0.962  -0.410 -1.058  -0.278 -1.068  -0.157 -1.129  -0.032 -1.175  0.103 -1.175  0.238 -1.175  0.374 -1.175  0.475 -1.092  0.597 -1.061  0.670 -0.960  0.731 -0.839  0.734 -0.705  0.734 -0.569  0.734 -0.434  0.734 -0.299  0.734 -0.163  0.732 -0.029  0.672 0.092  0.620 0.216  0.620 0.351  0.592 0.480  0.532 0.601  0.506 0.730  0.462 0.855  0.401 0.976  0.392 1.109
1b#apa#apa00#app0015/P  -0.577 0.552  -0.431 0.467  -0.336 0.382  -0.322 0.215  -0.322 0.035  -0.322 -0.146  -0.286 -0.321  -0.237 -0.493  -0.237 -0.674  -0.237 -0.854  -0.237 -1.035  -0.237 -1.215  -0.237 -1.396  -0.237 -1.577  -0.221 -1.741  -0.169 -1.630  -0.195 -1.452  -0.221 -1.273  -0.248 -1.094  -0.274 -0.916  -0.301 -0.737  -0.327 -0.559  -0.354 -0.380  -0.380 -0.201  -0.407 -0.023  -0.433 0.156  -0.460 0.335  -0.486 0.513  -0.492 0.693  -0.492 0.874  -0.437 1.032  -0.322 1.115  -0.173 1.146  -0.028 1.231  0.153 1.231  0.334 1.231  0.498 1.161  0.659 1.080  0.821 1.000  0.960 0.892  1.083 0.798  1.122 0.627  1.107 0.452  1.000 0.309  0.887 0.180  0.719 0.127  0.574 0.042  0.408 0.008  0.248 -0.042  0.103 -0.127
1b#apa#apa00#app0015/Q  0.021 1.133  -0.057 1.298  -0.162 1.221  -0.351 1.200  -0.491 1.060  -0.631 0.920  -0.770 0.780  -0.858 0.603  -0.920 0.416  -1.030 0.258  -1.032 0.061  -1.032 -0.137  -1.003 -0.328  -0.944 -0.511  -0.866 -0.690  -0.732 -0.834  -0.592 -0.974  -0.428 -1.083  -0.250 -1.148  -0.052 -1.148  0.145 -1.148  0.307 -1.061  0.466 -0.967  0.584 -0.812  0.635 -0.627  0.722 -0.449  0.810 -0.273  0.811 -0.075  0.811 0.122  0.811 0.320  0.811 0.517  0.811 0.715  0.792 0.908  0.723 1.090  0.618 1.196  0.506 1.034  0.393 0.871  0.281 0.709  0.168 0.546  0.056 0.384  -0.057 0.221  -0.154 0.054  -0.154 -0.143  -0.067 -0.253  -0.002 -0.424  0.076 -0.589  0.154 -0.755  0.290 -0.897  0.372 -1.075  0.460 -1.236
1b#apa#apa00#app0015/R  -0.481 1.224  -0.437 1.053  -0.395 0.880  -0.395 0.665  -0.395 0.449  -0.395 0.234  -0.393 0.020  -0.309 -0.161  -0.309 -0.376  -0.309 -0.591  -0.309 -0.806  -0.309 -1.022  -0.309 -1.237  -0.309 -1.452  -0.309 -1.383  -0.309 -1.168  -0.309 -0.953  -0.309 -0.737  -0.309 -0.522  -0.309 -0.307  -0.309 -0.092  -0.309 0.124  -0.309 0.339  -0.309 0.554  -0.309 0.769  -0.309 0.985  -0.309 1.200  -0.209 1.324  -0.024 1.396  0.191 1.396  0.394 1.346  0.561 1.214  0.713 1.062  0.866 0.910  0.892 0.707  0.740 0.555  0.588 0.403  0.388 0.365  0.209 0.279  0.035 0.187  0.035 -0.028  0.077 -0.233  0.142 -0.429  0.224 -0.614  0.293 -0.813  0.379 -0.992  0.458 -1.175  0.610 -1.327  0.693 -1.522  0.808 -1.697
1b#apa#apa00#app0015/S  0.553 1.194  0.480 1.267  0.383 1.280  0.280 1.280  0.178 1.280  0.075 1.280  -0.028 1.280  -0.131 1.280  -0.218 1.264  -0.251 1.194  -0.303 1.145  -0.303 1.042  -0.303 0.939  -0.288 0.852  -0.195 0.829  -0.122 0.756  -0.049 0.683  -0.037 0.586  0.035 0.513  0.108 0.440  0.125 0.345  0.193 0.270  0.210 0.175  0.277 0.100  0.320 0.008  0.353 -0.089  0.382 -0.187  0.382 -0.290  0.382 -0.393  0.382 -0.495  0.382 -0.598  0.382 -0.701  0.362 -0.795  0.296 -0.871  0.296 -0.974  0.296 -1.076  0.235 -1.118  0.155 -1.173  0.065 -1.204  -0.038 -1.204  -0.140 -1.204  -0.243 -1.204  -0.333 -1.174  -0.406 -1.101  -0.480 -1.030  -0.572 -0.984  -0.660 -0.933  -0.733 -0.861  -0.830 -0.848  -0.903 -0.776
1b#apa#apa00#app0015/T  0.120 1.054  0.286 1.054  0.386 0.987  0.331 0.876  0.297 0.743  0.211 0.612  0.209 0.447  0.209 0.280  0.196 0.115  0.156 -0.046  0.120 -0.209  0.120 -0.375  0.120 -0.542  0.120 -0.708  0.120 -0.875  0.120 -1.042  0.062 -1.194  0.031 -1.354  0.031 -1.520  0.084 -1.665  0.111 -1.763  0.058 -1.605  0.006 -1.447  -0.047 -1.289  -0.100 -1.130  -0.152 -0.972  -0.205 -0.814  -0.258 -0.656  -0.310 -0.498  -0.363 -0.340  -0.416 -0.182  -0.468 -0.024  -0.521 0.134  -0.574 0.292  -0.626 0.450  -0.679 0.608  -0.732 0.766  -0.769 0.826  -0.641 0.788  -0.482 0.807  -0.344 0.876  -0.184 0.902  -0.032 0.965  0.134 0.965  0.301 0.965  0.468 0.965  0.634 0.965  0.801 0.965  0.967 0.965  1.097 0.876
1b#apa#apa00#app0015/U  -0.850 1.228  -0.771 1.228  -0.850 1.193  -0.850 1.080  -0.850 0.967  -0.812 0.863  -0.761 0.762  -0.754 0.650  -0.754 0.537  -0.754 0.424  -0.754 0.311  -0.754 0.198  -0.754 0.084  -0.750 -0.028  -0.699 -0.129  -0.643 -0.226  -0.563 -0.306  -0.562 -0.419  -0.539 -0.522  -0.462 -0.604  -0.411 -0.706  -0.355 -0.803  -0.275 -0.883  -0.195 -0.963  -0.115 -1.043  -0.015 -1.075  0.098 -1.075  0.205 -1.069  0.229 -0.979  0.330 -0.950  0.405 -0.867  0.456 -0.766  0.493 -0.661  0.526 -0.562  0.600 -0.477  0.651 -0.376  0.701 -0.275  0.752 -0.174  0.781 -0.068  0.781 0.046  0.781 0.159  0.826 0.261  0.876 0.363  0.877 0.476  0.877 0.589  0.877 0.702  0.877 0.815  0.915 0.919  0.965 1.021  0.973 1.132
1b#apa#apa00#app0015/V  -0.960 1.098  -0.874 1.145  -0.788 1.191  -0.735 1.270  -0.632 1.200  -0.616 1.074  -0.616 0.942  -0.616 0.810  -0.616 0.678  -0.531 0.581  -0.531 0.449  -0.524 0.320  -0.445 0.220  -0.445 0.088  -0.395 -0.032  -0.359 -0.156  -0.353 -0.286  -0.294 -0.404  -0.235 -0.523  -0.169 -0.636  -0.102 -0.740  -0.102 -0.872  -0.082 -1.000  -0.023 -1.118  -0.016 -1.248  -0.016 -1.380  0.020 -1.476  0.070 -1.394  0.070 -1.262  0.133 -1.156  0.156 -1.033  0.156 -0.901  0.156 -0.769  0.203 -0.657  0.271 -0.546  0.320 -0.423  0.369 -0.301  0.417 -0.178  0.459 -0.052  0.501 0.073  0.560 0.191  0.609 0.313  0.651 0.438  0.693 0.564  0.735 0.689  0.785 0.811  0.844 0.929  0.903 1.047  0.981 1.151  1.014 1.270
1b#apa#apa00#app0015/W  -1.177 0.810  -1.090 0.979  -1.011 1.151  -0.984 1.334  -0.915 1.198  -0.828 1.080  -0.828 0.875  -0.740 0.706  -0.740 0.501  -0.740 0.295  -0.726 0.096  -0.653 -0.079  -0.653 -0.284  -0.565 -0.453  -0.565 -0.658  -0.565 -0.863  -0.535 -0.995  -0.478 -0.813  -0.430 -0.628  -0.391 -0.439  -0.310 -0.253  -0.231 -0.079  -0.212 0.119  -0.129 0.304  -0.041 0.422  0.038 0.548  0.134 0.613  0.134 0.408  0.171 0.211  0.221 0.018  0.221 -0.187  0.221 -0.392  0.308 -0.561  0.349 -0.757  0.409 -0.938  0.542 -1.055  0.608 -1.237  0.705 -1.200  0.745 -1.035  0.822 -0.861  0.833 -0.661  0.833 -0.455  0.920 -0.287  0.920 -0.081  0.920 0.124  0.978 0.315  1.070 0.499  1.095 0.698  1.161 0.876  1.182 1.072
1b#apa#apa00#app0015/X  -0.949 1.191  -0.888 1.023  -0.842 0.849  -0.766 0.687  -0.629 0.551  -0.568 0.368  -0.489 0.196  -0.414 0.034  -0.384 -0.152  -0.292 -0.321  -0.172 -0.469  -0.093 -0.643  -0.047 -0.826  0.054 -0.988  0.120 -1.153  0.175 -1.323  0.233 -1.494  0.319 -1.666  0.350 -1.537  0.369 -1.345  0.389 -1.153  0.408 -0.961  0.427 -0.769  0.446 -0.577  0.465 -0.385  0.485 -0.192  0.504 -0.000  0.523 0.192  0.542 0.384  0.562 0.576  0.581 0.768  0.600 0.960  0.619 1.152  0.638 1.344  0.655 1.487  0.577 1.326  0.441 1.189  0.379 1.022  0.243 0.885  0.106 0.749  -0.014 0.601  -0.101 0.428  -0.187 0.255  -0.346 0.156  -0.466 0.017  -0.571 -0.142  -0.631 -0.311  -0.717 -0.484  -0.803 -0.657  -0.842 -0.841
1b#apa#apa00#app0015/Y  -0.930 1.170  -0.761 1.170  -0.748 1.014  -0.656 0.883  -0.656 0.714  -0.602 0.568  -0.565 0.414  -0.492 0.276  -0.437 0.130  -0.382 -0.016  -0.292 -0.148  -0.239 -0.304  -0.201 -0.464  -0.109 -0.531  -0.005 -0.459  0.073 -0.322  0.169 -0.193  0.255 -0.060  0.344 0.072  0.454 0.199  0.529 0.349  0.649 0.469  0.711 0.612  0.748 0.769  0.842 0.910  0.947 1.041  1.067 1.160  0.966 1.059  0.846 0.940  0.727 0.821  0.608 0.701  0.488 0.582  0.369 0.462  0.249 0.343  0.130 0.224  0.011 0.104  -0.109 -0.015  -0.201 -0.146  -0.201 -0.315  -0.201 -0.484  -0.241 -0.643  -0.292 -0.800  -0.292 -0.969  -0.292 -1.138  -0.366 -1.276  -0.383 -1.438  -0.383 -1.606  -0.383 -1.775  -0.383 -1.944  -0.383 -2.113
1b#apa#apa00#app0015/Z  -0.790 1.494  -0.587 1.494  -0.384 1.494  -0.181 1.494  0.022 1.494  0.186 1.400  0.389 1.400  0.435 1.242  0.341 1.134  0.275 0.958  0.216 0.774  0.152 0.586  0.099 0.405  -0.007 0.234  -0.130 0.077  -0.144 -0.121  -0.265 -0.281  -0.319 -0.471  -0.387 -0.646  -0.436 -0.835  -0.500 -1.027  -0.601 -1.190  -0.540 -1.331  -0.337 -1.331  -0.173 -1.237  0.023 -1.207  0.211 -1.143  0.414 -1.143  0.617 -1.143  0.820 -1.143  0.817 -1.065  0.665 -0.931  0.513 -0.796  0.361 -0.662  0.208 -0.528  0.056 -0.393  -0.096 -0.259  -0.248 -0.125  -0.401 0.010  -0.553 0.144  -0.696 0.257  -0.668 0.270  -0.504 0.364  -0.301 0.364  -0.098 0.364  0.105 0.364  0.306 0.349  0.503 0.300  0.703 0.270  0.906 0.270
