1b#kai#kai2#yslee6/B  -0.262 1.536  -0.262 1.270  -0.262 1.004  -0.295 0.741  -0.309 0.477  -0.309 0.211  -0.356 -0.050  -0.356 -0.316  -0.356 -0.582  -0.356 -0.849  -0.356 -1.115  -0.368 -1.379  -0.403 -1.330  -0.403 -1.064  -0.396 -0.798  -0.386 -0.532  -0.375 -0.266  -0.365 0.000  -0.354 0.266  -0.343 0.532  -0.333 0.798  -0.322 1.064  -0.311 1.330  -0.214 1.560  0.035 1.631  0.297 1.602  0.477 1.417  0.597 1.180  0.635 0.920  0.610 0.658  0.526 0.405  0.420 0.161  0.244 -0.036  0.048 -0.215  -0.176 -0.357  -0.432 -0.399  -0.503 -0.340  -0.250 -0.272  0.012 -0.228  0.274 -0.179  0.539 -0.163  0.798 -0.218  0.981 -0.382  1.011 -0.641  0.898 -0.879  0.690 -1.040  0.459 -1.172  0.214 -1.276  -0.043 -1.343  -0.309 -1.343
1b#kai#kai2#yslee6/H  -0.610 1.651  -0.485 1.484  -0.469 1.280  -0.469 1.071  -0.469 0.862  -0.469 0.653  -0.469 0.444  -0.469 0.235  -0.469 0.026  -0.469 -0.183  -0.469 -0.392  -0.469 -0.601  -0.469 -0.810  -0.469 -1.019  -0.469 -1.228  -0.469 -1.437  -0.467 -1.516  -0.445 -1.308  -0.422 -1.100  -0.400 -0.892  -0.378 -0.685  -0.355 -0.477  -0.333 -0.269  -0.310 -0.061  -0.288 0.147  -0.126 0.199  0.083 0.199  0.292 0.199  0.500 0.210  0.597 0.340  0.573 0.548  0.549 0.755  0.525 0.963  0.501 1.171  0.477 1.378  0.467 1.340  0.467 1.131  0.467 0.922  0.467 0.713  0.467 0.504  0.467 0.295  0.467 0.086  0.467 -0.123  0.467 -0.332  0.467 -0.541  0.467 -0.750  0.467 -0.959  0.467 -1.168  0.501 -1.373  0.514 -1.581
1b#kai#kai2#yslee6/H  -0.641 1.637  -0.586 1.445  -0.553 1.246  -0.549 1.045  -0.549 0.844  -0.549 0.643  -0.549 0.442  -0.524 0.243  -0.503 0.043  -0.503 -0.158  -0.503 -0.359  -0.503 -0.560  -0.503 -0.761  -0.503 -0.963  -0.503 -1.164  -0.503 -1.365  -0.503 -1.566  -0.545 -1.422  -0.510 -1.225  -0.469 -1.028  -0.427 -0.831  -0.385 -0.635  -0.343 -0.438  -0.302 -0.241  -0.260 -0.044  -0.188 0.115  0.012 0.128  0.209 0.161  0.406 0.187  0.604 0.207  0.639 0.361  0.623 0.562  0.608 0.763  0.592 0.963  0.577 1.164  0.561 1.364  0.558 1.248  0.558 1.047  0.558 0.846  0.558 0.645  0.558 0.444  0.558 0.243  0.558 0.041  0.558 -0.160  0.558 -0.361  0.551 -0.561  0.512 -0.758  0.512 -0.959  0.512 -1.160  0.512 -1.361
1b#kai#kai2#yslee6/I  -0.547 1.352  -0.432 1.313  -0.310 1.312  -0.201 1.259  -0.089 1.213  0.029 1.192  0.146 1.170  0.259 1.125  0.378 1.113  0.494 1.090  0.603 1.036  0.495 1.041  0.374 1.050  0.252 1.058  0.131 1.067  0.061 1.033  0.090 0.915  0.091 0.794  0.091 0.673  0.091 0.551  0.091 0.430  0.091 0.308  0.091 0.187  0.091 0.065  0.089 -0.056  0.072 -0.176  0.055 -0.296  0.051 -0.418  0.051 -0.539  0.045 -0.660  0.006 -0.775  -0.029 -0.891  -0.032 -1.012  -0.061 -1.129  -0.119 -1.235  -0.214 -1.300  -0.329 -1.298  -0.430 -1.236  -0.511 -1.147  -0.549 -1.032  -0.584 -0.919  -0.468 -0.880  -0.347 -0.880  -0.226 -0.880  -0.104 -0.880  0.016 -0.889  0.135 -0.913  0.254 -0.940  0.371 -0.970  0.489 -0.999
1b#kai#kai2#yslee6/K  -0.473 2.133  -0.525 1.929  -0.525 1.716  -0.525 1.504  -0.525 1.291  -0.525 1.079  -0.525 0.866  -0.504 0.656  -0.473 0.447  -0.473 0.234  -0.473 0.022  -0.433 -0.186  -0.420 -0.397  -0.381 -0.604  -0.367 -0.815  -0.315 -1.019  -0.315 -1.232  -0.262 -1.436  -0.232 -1.464  -0.165 -1.262  -0.123 -1.058  -0.036 -0.864  0.051 -0.671  0.138 -0.477  0.226 -0.283  0.313 -0.089  0.400 0.105  0.487 0.298  0.574 0.492  0.662 0.686  0.749 0.880  0.688 0.940  0.505 0.836  0.350 0.691  0.200 0.541  0.030 0.414  -0.147 0.296  -0.321 0.175  -0.409 -0.005  -0.292 -0.157  -0.170 -0.065  0.009 -0.037  0.137 -0.207  0.283 -0.361  0.416 -0.526  0.538 -0.700  0.656 -0.877  0.757 -1.063  0.866 -1.245  0.897 -1.132
1b#kai#kai2#yslee6/L  -0.271 1.899  -0.271 1.801  -0.271 1.703  -0.271 1.605  -0.271 1.507  -0.271 1.409  -0.271 1.310  -0.273 1.212  -0.289 1.116  -0.305 1.019  -0.313 0.921  -0.313 0.823  -0.313 0.725  -0.313 0.627  -0.313 0.529  -0.313 0.430  -0.313 0.332  -0.313 0.234  -0.313 0.136  -0.313 0.038  -0.313 -0.060  -0.313 -0.159  -0.313 -0.257  -0.313 -0.355  -0.313 -0.453  -0.313 -0.551  -0.313 -0.649  -0.304 -0.746  -0.280 -0.842  -0.271 -0.939  -0.271 -0.974  -0.269 -0.877  -0.215 -0.795  -0.140 -0.741  -0.045 -0.718  0.048 -0.689  0.143 -0.669  0.242 -0.669  0.340 -0.669  0.438 -0.669  0.536 -0.669  0.634 -0.669  0.732 -0.669  0.827 -0.687  0.918 -0.723  1.011 -0.753  1.109 -0.753  1.034 -0.725  0.962 -0.666  0.908 -0.584
1b#kai#kai2#yslee6/L  -0.178 1.818  -0.178 1.732  -0.178 1.646  -0.178 1.560  -0.192 1.476  -0.212 1.393  -0.219 1.308  -0.219 1.222  -0.219 1.136  -0.219 1.051  -0.219 0.965  -0.219 0.879  -0.227 0.794  -0.235 0.708  -0.244 0.623  -0.253 0.538  -0.259 0.452  -0.259 0.367  -0.259 0.281  -0.259 0.195  -0.259 0.109  -0.259 0.024  -0.259 -0.062  -0.259 -0.148  -0.259 -0.234  -0.259 -0.319  -0.259 -0.405  -0.259 -0.491  -0.259 -0.577  -0.259 -0.663  -0.259 -0.748  -0.259 -0.834  -0.259 -0.920  -0.213 -0.959  -0.128 -0.956  -0.047 -0.929  0.036 -0.906  0.119 -0.885  0.202 -0.864  0.286 -0.844  0.371 -0.837  0.456 -0.837  0.542 -0.837  0.628 -0.837  0.714 -0.837  0.799 -0.837  0.885 -0.837  0.966 -0.864  1.048 -0.891  1.129 -0.919
1b#kai#kai2#yslee6/M  -0.494 1.267  -0.526 1.045  -0.538 0.822  -0.571 0.602  -0.571 0.377  -0.571 0.153  -0.571 -0.071  -0.571 -0.295  -0.571 -0.519  -0.571 -0.744  -0.571 -0.968  -0.571 -1.192  -0.571 -1.416  -0.637 -1.471  -0.649 -1.248  -0.635 -1.025  -0.620 -0.801  -0.606 -0.577  -0.591 -0.353  -0.577 -0.130  -0.562 0.094  -0.548 0.318  -0.534 0.542  -0.519 0.765  -0.505 0.989  -0.475 1.092  -0.407 0.878  -0.352 0.661  -0.298 0.444  -0.236 0.228  -0.155 0.020  -0.038 -0.171  0.122 -0.324  0.333 -0.335  0.490 -0.187  0.663 -0.046  0.765 0.149  0.881 0.338  0.985 0.534  1.056 0.747  1.127 0.957  1.204 0.756  1.196 0.532  1.154 0.312  1.126 0.090  1.088 -0.128  1.052 -0.346  1.011 -0.566  0.989 -0.788  0.972 -1.010
1b#kai#kai2#yslee6/M  -0.452 1.629  -0.452 1.386  -0.452 1.143  -0.452 0.900  -0.486 0.661  -0.495 0.419  -0.531 0.179  -0.531 -0.064  -0.531 -0.307  -0.531 -0.550  -0.531 -0.793  -0.531 -1.036  -0.531 -1.279  -0.512 -1.519  -0.514 -1.685  -0.571 -1.459  -0.571 -1.216  -0.534 -0.976  -0.517 -0.734  -0.503 -0.491  -0.488 -0.249  -0.473 -0.006  -0.458 0.236  -0.443 0.479  -0.428 0.721  -0.414 0.964  -0.344 0.787  -0.321 0.548  -0.253 0.314  -0.152 0.094  -0.076 -0.137  0.039 -0.349  0.190 -0.525  0.407 -0.531  0.527 -0.320  0.584 -0.086  0.641 0.150  0.664 0.391  0.716 0.627  0.744 0.866  0.807 1.100  0.943 1.048  0.943 0.805  0.943 0.562  0.954 0.320  0.983 0.079  0.983 -0.164  1.004 -0.405  1.023 -0.645  0.983 -0.882
1b#kai#kai2#yslee6/N  -0.362 1.514  -0.362 1.281  -0.362 1.049  -0.362 0.816  -0.362 0.583  -0.318 0.355  -0.318 0.123  -0.318 -0.110  -0.318 -0.343  -0.318 -0.575  -0.318 -0.808  -0.362 -1.033  -0.362 -1.266  -0.372 -1.497  -0.407 -1.726  -0.407 -1.581  -0.404 -1.349  -0.401 -1.116  -0.397 -0.883  -0.394 -0.651  -0.390 -0.418  -0.386 -0.186  -0.383 0.047  -0.379 0.279  -0.376 0.512  -0.372 0.745  -0.369 0.977  -0.365 1.210  -0.343 1.322  -0.293 1.096  -0.245 0.868  -0.162 0.652  -0.067 0.439  -0.000 0.218  0.136 0.030  0.232 -0.182  0.341 -0.385  0.437 -0.595  0.549 -0.798  0.681 -0.956  0.791 -0.782  0.866 -0.563  0.895 -0.335  0.924 -0.106  0.966 0.122  0.969 0.354  0.969 0.587  0.948 0.818  0.903 1.046  0.747 1.203
1b#kai#kai2#yslee6/O  -0.284 1.128  -0.401 1.068  -0.447 0.936  -0.496 0.805  -0.543 0.674  -0.577 0.538  -0.604 0.401  -0.637 0.265  -0.648 0.126  -0.660 -0.012  -0.684 -0.149  -0.684 -0.289  -0.684 -0.429  -0.684 -0.569  -0.670 -0.707  -0.629 -0.840  -0.574 -0.969  -0.508 -1.091  -0.422 -1.200  -0.297 -1.263  -0.161 -1.294  -0.022 -1.305  0.117 -1.290  0.249 -1.252  0.366 -1.174  0.476 -1.089  0.566 -0.984  0.626 -0.858  0.653 -0.721  0.693 -0.587  0.696 -0.448  0.696 -0.308  0.684 -0.169  0.665 -0.030  0.660 0.109  0.635 0.246  0.601 0.382  0.587 0.520  0.569 0.657  0.526 0.790  0.475 0.920  0.433 1.054  0.388 1.183  0.285 1.274  0.153 1.250  0.050 1.158  -0.044 1.059  -0.141 0.962  -0.175 0.832  -0.175 0.692
1b#kai#kai2#yslee6/O  -0.036 0.992  -0.138 1.093  -0.258 1.090  -0.338 0.970  -0.397 0.840  -0.433 0.701  -0.474 0.563  -0.502 0.422  -0.533 0.281  -0.565 0.141  -0.589 -0.001  -0.615 -0.143  -0.634 -0.285  -0.634 -0.429  -0.634 -0.573  -0.630 -0.716  -0.593 -0.856  -0.552 -0.994  -0.512 -1.132  -0.441 -1.256  -0.322 -1.334  -0.188 -1.382  -0.046 -1.399  0.096 -1.379  0.224 -1.321  0.329 -1.225  0.419 -1.112  0.498 -0.992  0.535 -0.853  0.592 -0.721  0.641 -0.586  0.662 -0.445  0.662 -0.301  0.662 -0.157  0.662 -0.013  0.662 0.131  0.634 0.272  0.591 0.409  0.557 0.549  0.519 0.688  0.465 0.821  0.401 0.950  0.346 1.081  0.257 1.194  0.125 1.251  -0.009 1.278  -0.094 1.182  -0.136 1.044  -0.131 0.901  -0.102 0.760
1b#kai#kai2#yslee6/P  -0.228 1.361  -0.228 1.165  -0.228 0.969  -0.228 0.773  -0.228 0.577  -0.228 0.381  -0.228 0.185  -0.251 -0.008  -0.269 -0.202  -0.269 -0.398  -0.269 -0.594  -0.269 -0.790  -0.269 -0.986  -0.269 -1.182  -0.228 -1.372  -0.228 -1.568  -0.228 -1.764  -0.228 -1.829  -0.228 -1.633  -0.195 -1.450  -0.178 -1.258  -0.170 -1.062  -0.161 -0.866  -0.152 -0.670  -0.144 -0.474  -0.135 -0.279  -0.127 -0.083  -0.118 0.113  -0.109 0.309  -0.101 0.505  -0.092 0.701  -0.083 0.896  -0.075 1.092  -0.066 1.288  0.057 1.391  0.251 1.402  0.447 1.397  0.613 1.303  0.699 1.137  0.748 0.947  0.761 0.753  0.755 0.558  0.699 0.371  0.628 0.189  0.541 0.014  0.408 -0.125  0.251 -0.243  0.075 -0.324  -0.121 -0.328  -0.310 -0.287
1b#kai#kai2#yslee6/Q  -0.364 1.348  -0.479 1.182  -0.570 1.003  -0.630 0.811  -0.652 0.610  -0.681 0.410  -0.724 0.213  -0.724 0.010  -0.724 -0.193  -0.694 -0.392  -0.679 -0.593  -0.624 -0.787  -0.545 -0.972  -0.411 -1.124  -0.255 -1.253  -0.066 -1.315  0.131 -1.282  0.292 -1.160  0.403 -0.992  0.497 -0.815  0.563 -0.623  0.614 -0.427  0.644 -0.228  0.680 -0.030  0.680 0.173  0.680 0.376  0.644 0.574  0.608 0.771  0.548 0.964  0.456 1.144  0.330 1.302  0.147 1.348  -0.053 1.332  -0.212 1.212  -0.351 1.065  -0.451 0.893  -0.508 0.699  -0.541 0.499  -0.454 0.339  -0.296 0.212  -0.139 0.084  0.019 -0.043  0.177 -0.171  0.250 -0.352  0.316 -0.542  0.417 -0.717  0.495 -0.904  0.628 -1.054  0.747 -1.218  0.860 -1.387
1b#kai#kai2#yslee6/R  -0.327 1.831  -0.327 1.590  -0.327 1.350  -0.327 1.109  -0.327 0.869  -0.327 0.628  -0.327 0.388  -0.327 0.147  -0.327 -0.093  -0.297 -0.331  -0.282 -0.570  -0.282 -0.811  -0.245 -1.047  -0.237 -1.286  -0.193 -1.521  -0.193 -1.463  -0.193 -1.222  -0.193 -0.981  -0.193 -0.741  -0.193 -0.500  -0.193 -0.260  -0.193 -0.019  -0.193 0.221  -0.193 0.462  -0.193 0.702  -0.193 0.943  -0.193 1.183  -0.157 1.402  0.067 1.473  0.302 1.427  0.485 1.276  0.572 1.052  0.636 0.820  0.657 0.583  0.657 0.342  0.639 0.104  0.534 -0.107  0.374 -0.286  0.173 -0.411  -0.064 -0.450  -0.302 -0.428  -0.392 -0.263  -0.178 -0.295  -0.093 -0.460  0.048 -0.654  0.198 -0.840  0.368 -1.010  0.542 -1.175  0.753 -1.289  0.970 -1.389
1b#kai#kai2#yslee6/R  -0.526 1.508  -0.482 1.272  -0.482 1.028  -0.470 0.786  -0.438 0.546  -0.438 0.302  -0.438 0.059  -0.438 -0.185  -0.395 -0.424  -0.378 -0.665  -0.350 -0.906  -0.290 -1.141  -0.262 -1.382  -0.262 -1.625  -0.389 -1.489  -0.394 -1.247  -0.394 -1.004  -0.394 -0.760  -0.390 -0.517  -0.379 -0.274  -0.368 -0.030  -0.357 0.213  -0.346 0.456  -0.335 0.699  -0.324 0.943  -0.313 1.186  -0.252 1.413  -0.036 1.464  0.202 1.437  0.425 1.341  0.595 1.179  0.661 0.954  0.705 0.718  0.705 0.475  0.674 0.233  0.651 -0.007  0.524 -0.212  0.371 -0.400  0.142 -0.427  -0.085 -0.354  -0.250 -0.181  -0.223 -0.031  0.002 -0.090  0.205 -0.225  0.393 -0.378  0.565 -0.550  0.737 -0.722  0.909 -0.894  1.090 -1.053  1.321 -1.042
1b#kai#kai2#yslee6/R  -0.451 1.655  -0.415 1.700  -0.334 1.483  -0.316 1.254  -0.316 1.022  -0.316 0.790  -0.346 0.561  -0.361 0.330  -0.361 0.098  -0.386 -0.132  -0.406 -0.362  -0.406 -0.594  -0.406 -0.826  -0.406 -1.058  -0.361 -1.283  -0.361 -1.515  -0.393 -1.423  -0.406 -1.192  -0.406 -0.960  -0.373 -0.732  -0.361 -0.501  -0.356 -0.269  -0.334 -0.038  -0.313 0.193  -0.291 0.424  -0.269 0.655  -0.248 0.886  -0.225 1.116  -0.016 1.216  0.211 1.251  0.436 1.229  0.616 1.083  0.718 0.883  0.718 0.651  0.718 0.419  0.681 0.193  0.580 -0.016  0.494 -0.232  0.302 -0.361  0.093 -0.457  -0.123 -0.374  -0.171 -0.234  0.036 -0.318  0.204 -0.477  0.382 -0.624  0.526 -0.806  0.683 -0.976  0.826 -1.159  0.930 -1.172  1.078 -0.998
1b#kai#kai2#yslee6/S  0.472 0.860  0.531 0.948  0.554 1.047  0.521 1.140  0.446 1.215  0.349 1.250  0.245 1.271  0.139 1.270  0.038 1.236  -0.053 1.182  -0.140 1.121  -0.225 1.057  -0.305 0.988  -0.380 0.913  -0.455 0.838  -0.530 0.762  -0.595 0.679  -0.639 0.586  -0.639 0.479  -0.639 0.373  -0.613 0.273  -0.566 0.178  -0.488 0.108  -0.403 0.045  -0.309 -0.005  -0.213 -0.051  -0.112 -0.084  -0.011 -0.118  0.083 -0.166  0.174 -0.221  0.268 -0.269  0.367 -0.308  0.457 -0.360  0.532 -0.435  0.554 -0.532  0.554 -0.639  0.546 -0.744  0.526 -0.848  0.483 -0.941  0.407 -1.016  0.322 -1.078  0.234 -1.137  0.145 -1.196  0.057 -1.255  -0.039 -1.300  -0.139 -1.333  -0.240 -1.369  -0.335 -1.416  -0.427 -1.468  -0.515 -1.527
