3#app#app06#app0628/!  -0.581 1.704  -0.581 1.622  -0.581 1.539  -0.527 1.479  -0.524 1.399  -0.524 1.317  -0.474 1.255  -0.467 1.176  -0.467 1.094  -0.463 1.012  -0.426 0.939  -0.410 0.861  -0.388 0.782  -0.362 0.704  -0.353 0.623  -0.296 0.565  -0.296 0.483  -0.260 0.416  -0.240 0.342  -0.224 0.266  -0.183 0.201  -0.134 0.167  -0.126 0.094  -0.096 0.024  -0.069 -0.047  -0.032 -0.119  0.011 -0.188  0.055 -0.258  0.098 -0.328  0.142 -0.397  0.185 -0.467  0.229 -0.537  0.273 -0.606  0.316 -0.676  0.360 -0.746  0.403 -0.815  0.447 -0.885  0.490 -0.955  0.557 -0.977  0.557 -1.059  0.557 -1.141  0.531 -1.198  0.500 -1.249  0.481 -1.198  0.443 -1.154  0.443 -1.072  0.443 -0.989  0.506 -0.971  0.557 -1.002  0.500 -1.027
3#app#app06#app0628/~  -1.318 0.782  -1.318 0.658  -1.241 0.611  -1.146 0.581  -1.146 0.457  -1.146 0.333  -1.105 0.226  -1.017 0.138  -0.975 0.032  -0.975 -0.092  -0.975 -0.217  -0.880 -0.246  -0.804 -0.293  -0.803 -0.418  -0.679 -0.418  -0.632 -0.494  -0.611 -0.610  -0.523 -0.698  -0.436 -0.786  -0.348 -0.873  -0.248 -0.932  -0.124 -0.932  -0.118 -0.814  -0.068 -0.710  0.020 -0.622  0.054 -0.512  0.054 -0.388  0.054 -0.264  0.129 -0.171  0.217 -0.083  0.225 0.037  0.290 0.097  0.396 0.114  0.396 0.238  0.463 0.335  0.551 0.423  0.668 0.440  0.739 0.493  0.745 0.611  0.869 0.611  0.993 0.611  1.082 0.576  1.082 0.451  1.194 0.440  1.254 0.375  1.271 0.268  1.395 0.268  1.425 0.174  1.472 0.097  1.596 0.097
3#app#app06#app0628/  -1.541 0.223  -1.469 0.223  -1.397 0.223  -1.325 0.223  -1.289 0.187  -1.289 0.115  -1.289 0.043  -1.289 -0.029  -1.217 -0.029  -1.145 -0.029  -1.073 -0.029  -1.001 -0.029  -0.929 -0.029  -0.857 -0.029  -0.785 -0.029  -0.713 -0.029  -0.641 -0.029  -0.569 -0.029  -0.497 -0.029  -0.425 -0.029  -0.353 -0.029  -0.281 -0.029  -0.209 -0.029  -0.137 -0.029  -0.065 -0.029  0.007 -0.029  0.079 -0.029  0.151 -0.029  0.223 -0.029  0.295 -0.029  0.367 -0.029  0.439 -0.029  0.511 -0.029  0.583 -0.029  0.655 -0.029  0.727 -0.029  0.799 -0.029  0.871 -0.029  0.943 -0.029  1.015 -0.029  1.087 -0.029  1.159 -0.029  1.231 -0.029  1.304 -0.029  1.376 -0.029  1.448 -0.029  1.520 -0.029  1.592 -0.029  1.664 -0.029  1.736 -0.029
3#app#app06#app0628/_  -1.702 -0.180  -1.630 -0.180  -1.558 -0.180  -1.485 -0.180  -1.413 -0.180  -1.341 -0.180  -1.269 -0.180  -1.197 -0.180  -1.125 -0.180  -1.053 -0.180  -0.981 -0.180  -0.909 -0.180  -0.837 -0.180  -0.764 -0.180  -0.692 -0.180  -0.620 -0.180  -0.558 -0.157  -0.507 -0.106  -0.456 -0.055  -0.398 -0.020  -0.326 -0.020  -0.254 -0.020  -0.182 -0.020  -0.110 -0.020  -0.038 -0.020  0.034 -0.020  0.106 -0.020  0.179 -0.020  0.251 -0.020  0.323 -0.020  0.393 -0.013  0.458 0.019  0.522 0.052  0.587 0.084  0.651 0.116  0.718 0.140  0.790 0.140  0.862 0.140  0.934 0.140  1.006 0.140  1.078 0.140  1.150 0.140  1.210 0.170  1.261 0.221  1.312 0.272  1.372 0.301  1.444 0.301  1.516 0.301  1.588 0.301  1.661 0.301
3#app#app06#app0628/+  -0.200 1.536  -0.200 1.357  -0.200 1.178  -0.200 0.999  -0.117 0.854  -0.081 0.691  -0.051 0.519  0.029 0.359  0.065 0.193  0.159 0.053  0.159 -0.127  0.191 -0.292  0.318 -0.419  0.398 -0.564  0.402 -0.742  0.518 -0.873  0.518 -1.052  0.531 -1.218  0.638 -1.290  0.629 -1.450  0.485 -1.343  0.342 -1.235  0.199 -1.128  0.056 -1.021  -0.087 -0.913  -0.231 -0.806  -0.374 -0.698  -0.517 -0.591  -0.660 -0.484  -0.804 -0.376  -0.947 -0.269  -1.090 -0.161  -1.233 -0.054  -1.156 -0.018  -1.025 0.099  -0.850 0.122  -0.680 0.179  -0.523 0.256  -0.378 0.339  -0.200 0.339  -0.070 0.458  0.109 0.458  0.274 0.516  0.427 0.607  0.554 0.733  0.691 0.844  0.851 0.924  0.983 1.044  1.110 1.170  1.237 1.297
3#app#app06#app0628/=  -1.458 0.880  -1.298 0.880  -1.138 0.880  -1.012 0.799  -0.894 0.698  -0.734 0.698  -0.574 0.698  -0.415 0.698  -0.255 0.698  -0.095 0.698  0.065 0.698  0.224 0.698  0.384 0.698  0.544 0.698  0.704 0.698  0.863 0.698  1.023 0.698  1.009 0.654  0.869 0.577  0.729 0.501  0.589 0.424  0.449 0.348  0.308 0.271  0.168 0.195  0.028 0.118  -0.112 0.042  -0.253 -0.035  -0.393 -0.111  -0.533 -0.188  -0.673 -0.264  -0.814 -0.341  -0.912 -0.442  -0.912 -0.602  -0.908 -0.758  -0.748 -0.758  -0.630 -0.858  -0.504 -0.940  -0.344 -0.940  -0.184 -0.940  -0.025 -0.940  0.135 -0.940  0.295 -0.940  0.428 -0.875  0.541 -0.762  0.699 -0.758  0.858 -0.758  1.007 -0.709  1.150 -0.637  1.295 -0.576  1.455 -0.576
3#app#app06#app0628/[  0.259 1.051  0.176 1.057  0.163 1.134  0.073 1.134  -0.017 1.134  -0.106 1.134  -0.196 1.134  -0.286 1.134  -0.375 1.134  -0.448 1.176  -0.489 1.185  -0.451 1.134  -0.406 1.089  -0.370 1.014  -0.323 0.944  -0.309 0.858  -0.269 0.777  -0.223 0.702  -0.160 0.638  -0.157 0.550  -0.157 0.460  -0.157 0.370  -0.157 0.281  -0.136 0.199  -0.073 0.136  -0.073 0.046  -0.073 -0.044  -0.067 -0.132  -0.039 -0.217  -0.010 -0.302  0.010 -0.389  0.010 -0.478  0.010 -0.568  0.010 -0.658  0.010 -0.747  0.010 -0.837  0.010 -0.927  0.082 -0.944  0.093 -1.023  0.093 -1.113  0.099 -1.200  0.163 -1.263  0.247 -1.276  0.314 -1.331  0.392 -1.359  0.482 -1.359  0.571 -1.359  0.661 -1.359  0.751 -1.359  0.840 -1.359
3#app#app06#app0628/]  -0.845 1.219  -0.769 1.209  -0.748 1.143  -0.693 1.111  -0.650 1.067  -0.563 1.067  -0.476 1.067  -0.389 1.067  -0.302 1.067  -0.215 1.067  -0.128 1.067  -0.041 1.067  -0.006 1.015  0.056 0.990  0.071 0.918  0.078 0.838  0.147 0.820  0.147 0.733  0.147 0.646  0.147 0.559  0.147 0.472  0.147 0.385  0.205 0.322  0.223 0.243  0.223 0.156  0.223 0.069  0.223 -0.018  0.223 -0.105  0.223 -0.192  0.223 -0.279  0.223 -0.366  0.223 -0.453  0.223 -0.540  0.223 -0.627  0.223 -0.713  0.248 -0.790  0.300 -0.856  0.300 -0.943  0.300 -1.030  0.300 -1.117  0.300 -1.204  0.300 -1.291  0.221 -1.299  0.147 -1.312  0.124 -1.376  0.037 -1.376  -0.050 -1.376  -0.137 -1.376  -0.224 -1.376  -0.311 -1.376
3#app#app06#app0628/{  -0.117 1.641  -0.182 1.576  -0.215 1.498  -0.215 1.406  -0.246 1.345  -0.314 1.320  -0.314 1.228  -0.314 1.136  -0.318 1.048  -0.410 1.048  -0.413 0.959  -0.413 0.867  -0.413 0.775  -0.413 0.683  -0.413 0.591  -0.357 0.554  -0.280 0.520  -0.214 0.456  -0.122 0.456  -0.030 0.456  -0.018 0.376  0.055 0.357  0.081 0.291  0.081 0.199  0.081 0.106  0.081 0.014  0.053 -0.066  -0.012 -0.131  -0.018 -0.221  0.059 -0.236  0.081 -0.306  0.081 -0.398  0.081 -0.490  0.081 -0.582  0.081 -0.674  0.081 -0.766  0.081 -0.858  0.081 -0.950  0.097 -1.026  0.180 -1.036  0.182 -1.127  0.247 -1.192  0.279 -1.271  0.319 -1.322  0.411 -1.322  0.476 -1.349  0.496 -1.421  0.588 -1.421  0.674 -1.415  0.674 -1.322
3#app#app06#app0628/}  -0.816 1.394  -0.816 1.286  -0.717 1.277  -0.608 1.277  -0.500 1.277  -0.392 1.277  -0.284 1.277  -0.175 1.277  -0.067 1.277  0.001 1.237  0.001 1.129  0.001 1.021  0.001 0.912  0.001 0.804  0.001 0.696  -0.104 0.693  -0.116 0.596  -0.116 0.488  -0.116 0.380  -0.187 0.343  -0.232 0.280  -0.232 0.172  -0.187 0.109  -0.116 0.072  -0.087 -0.008  0.001 -0.028  0.013 -0.125  0.118 -0.127  0.118 -0.236  0.118 -0.344  0.212 -0.358  0.235 -0.444  0.235 -0.552  0.166 -0.592  0.118 -0.652  0.067 -0.709  0.001 -0.751  0.035 -0.825  0.144 -0.825  0.235 -0.842  0.235 -0.951  0.235 -1.059  0.343 -1.059  0.422 -1.130  0.468 -1.219  0.468 -1.327  0.468 -1.435  0.468 -1.543  0.468 -1.652  0.468 -1.760
3#app#app06#app0628/\\  -1.071 1.201  -1.071 1.129  -1.049 1.080  -0.977 1.080  -0.950 1.035  -0.950 0.963  -0.883 0.958  -0.816 0.946  -0.766 0.895  -0.715 0.844  -0.664 0.794  -0.613 0.743  -0.563 0.692  -0.512 0.641  -0.463 0.589  -0.431 0.525  -0.399 0.461  -0.367 0.397  -0.329 0.337  -0.278 0.286  -0.227 0.235  -0.176 0.185  -0.126 0.134  -0.075 0.083  -0.024 0.032  0.027 -0.018  0.077 -0.069  0.128 -0.120  0.179 -0.171  0.230 -0.221  0.280 -0.272  0.331 -0.323  0.382 -0.374  0.433 -0.424  0.483 -0.475  0.534 -0.526  0.585 -0.577  0.624 -0.632  0.624 -0.704  0.651 -0.764  0.702 -0.815  0.753 -0.866  0.804 -0.917  0.854 -0.967  0.905 -1.018  0.956 -1.069  0.988 -1.128  0.988 -1.199  0.988 -1.271  0.988 -1.343
3#app#app06#app0628/,  -0.234 1.540  -0.234 1.467  -0.234 1.393  -0.234 1.320  -0.230 1.250  -0.156 1.250  -0.083 1.250  -0.009 1.250  0.057 1.242  0.057 1.169  0.057 1.095  0.057 1.022  0.057 0.948  0.057 0.875  0.057 0.801  0.057 0.728  0.057 0.654  0.057 0.581  0.057 0.507  0.057 0.434  0.057 0.360  0.057 0.287  0.057 0.213  0.057 0.140  0.057 0.066  0.057 -0.007  0.057 -0.081  0.057 -0.154  0.057 -0.228  0.057 -0.302  0.057 -0.375  0.057 -0.449  0.057 -0.522  0.057 -0.596  0.057 -0.669  0.057 -0.743  0.057 -0.816  0.057 -0.890  0.057 -0.963  0.057 -1.037  0.057 -1.110  0.057 -1.184  0.057 -1.257  0.057 -1.331  0.026 -1.392  -0.026 -1.444  -0.078 -1.496  -0.130 -1.548  -0.182 -1.600  -0.234 -1.652
3#app#app06#app0628/  0.363 1.643  0.363 1.571  0.363 1.499  0.363 1.427  0.363 1.355  0.363 1.283  0.363 1.211  0.312 1.160  0.261 1.109  0.218 1.054  0.218 0.982  0.218 0.910  0.218 0.838  0.218 0.766  0.218 0.694  0.211 0.625  0.160 0.574  0.109 0.523  0.074 0.466  0.074 0.394  0.074 0.322  0.074 0.250  0.074 0.177  0.074 0.105  0.064 0.036  0.032 -0.029  -0.000 -0.093  -0.033 -0.158  -0.065 -0.222  -0.070 -0.293  -0.070 -0.365  -0.097 -0.431  -0.129 -0.495  -0.161 -0.560  -0.194 -0.624  -0.215 -0.691  -0.215 -0.763  -0.223 -0.834  -0.245 -0.902  -0.268 -0.971  -0.291 -1.039  -0.314 -1.107  -0.336 -1.176  -0.359 -1.244  -0.359 -1.316  -0.359 -1.388  -0.359 -1.460  -0.359 -1.532  -0.359 -1.604  -0.359 -1.676
3#app#app06#app0628/?  -0.379 1.176  -0.378 1.271  -0.281 1.271  -0.188 1.275  -0.184 1.367  -0.087 1.367  0.003 1.360  0.011 1.271  0.099 1.262  0.099 1.165  0.099 1.069  0.099 0.972  0.099 0.875  0.099 0.778  0.099 0.681  0.081 0.602  0.003 0.583  -0.011 0.492  -0.080 0.424  -0.171 0.411  -0.244 0.355  -0.325 0.315  -0.379 0.273  -0.379 0.176  -0.379 0.080  -0.334 0.029  -0.284 -0.018  -0.284 -0.115  -0.235 -0.163  -0.188 -0.213  -0.188 -0.310  -0.135 -0.354  -0.093 -0.408  -0.054 -0.488  0.010 -0.560  0.054 -0.647  0.097 -0.733  0.140 -0.820  0.184 -0.906  0.227 -0.993  0.270 -1.079  0.313 -1.166  0.357 -1.253  0.385 -1.343  0.385 -1.439  0.385 -1.536  0.385 -1.633  0.385 -1.655  0.413 -1.570  0.481 -1.501
3#app#app06#app0628/'  -0.413 1.596  -0.413 1.517  -0.413 1.438  -0.413 1.359  -0.413 1.280  -0.413 1.202  -0.413 1.123  -0.413 1.044  -0.413 0.965  -0.413 0.886  -0.367 0.854  -0.288 0.854  -0.209 0.854  -0.130 0.854  -0.051 0.854  -0.042 0.784  -0.042 0.706  -0.042 0.627  -0.042 0.548  -0.042 0.469  -0.042 0.390  -0.042 0.312  -0.042 0.233  -0.042 0.154  -0.042 0.075  -0.042 -0.004  -0.042 -0.083  -0.042 -0.161  -0.042 -0.240  0.001 -0.301  0.056 -0.357  0.112 -0.413  0.168 -0.468  0.223 -0.524  0.279 -0.580  0.329 -0.638  0.329 -0.717  0.329 -0.796  0.329 -0.875  0.329 -0.953  0.329 -1.032  0.329 -1.111  0.329 -1.190  0.329 -1.269  0.329 -1.347  0.329 -1.426  0.329 -1.505  0.329 -1.584  0.329 -1.663  0.329 -1.741
3#app#app06#app0628/\"  -1.011 1.005  -1.002 0.831  -0.877 0.706  -0.845 0.543  -0.845 0.366  -0.845 0.189  -0.845 0.013  -0.766 -0.146  -0.687 -0.304  -0.680 -0.479  -0.673 -0.648  -0.515 -0.667  -0.515 -0.844  -0.485 -1.008  -0.360 -1.133  -0.188 -1.144  -0.176 -1.309  -0.020 -1.290  -0.031 -1.113  -0.042 -0.937  -0.053 -0.760  -0.064 -0.584  -0.075 -0.407  -0.086 -0.231  -0.097 -0.055  -0.108 0.122  -0.119 0.298  -0.130 0.475  -0.141 0.651  -0.152 0.828  -0.164 1.004  -0.175 1.180  -0.169 1.320  -0.044 1.195  0.081 1.070  0.146 0.920  0.214 0.772  0.351 0.674  0.477 0.624  0.521 0.465  0.646 0.340  0.771 0.215  0.896 0.090  1.021 -0.035  1.138 -0.163  1.160 -0.318  1.303 -0.351  1.335 -0.515  1.460 -0.640  1.469 -0.813
3#app#app06#app0628/<  -0.323 1.615  -0.232 1.615  -0.217 1.540  -0.217 1.449  -0.217 1.359  -0.217 1.269  -0.227 1.182  -0.291 1.118  -0.323 1.041  -0.323 0.951  -0.333 0.865  -0.397 0.801  -0.429 0.723  -0.429 0.633  -0.429 0.542  -0.429 0.452  -0.429 0.362  -0.482 0.293  -0.534 0.225  -0.534 0.134  -0.534 0.044  -0.534 -0.047  -0.534 -0.137  -0.534 -0.227  -0.505 -0.288  -0.429 -0.302  -0.429 -0.393  -0.339 -0.394  -0.323 -0.468  -0.281 -0.541  -0.217 -0.605  -0.127 -0.605  -0.037 -0.605  0.036 -0.647  0.100 -0.711  0.191 -0.711  0.281 -0.711  0.354 -0.753  0.418 -0.817  0.508 -0.817  0.599 -0.817  0.689 -0.817  0.780 -0.817  0.870 -0.817  0.960 -0.817  1.051 -0.817  1.141 -0.817  1.210 -0.869  1.278 -0.922  1.369 -0.922
3#app#app06#app0628/|  -0.534 1.569  -0.534 1.494  -0.488 1.464  -0.417 1.452  -0.363 1.399  -0.324 1.339  -0.324 1.264  -0.324 1.188  -0.324 1.112  -0.324 1.036  -0.324 0.961  -0.286 0.901  -0.232 0.847  -0.219 0.777  -0.219 0.701  -0.219 0.626  -0.219 0.550  -0.187 0.487  -0.134 0.434  -0.114 0.366  -0.114 0.290  -0.114 0.215  -0.068 0.158  -0.015 0.104  -0.009 0.031  -0.009 -0.045  -0.009 -0.120  -0.009 -0.196  -0.009 -0.272  0.009 -0.340  0.063 -0.394  0.097 -0.456  0.097 -0.531  0.149 -0.585  0.202 -0.639  0.202 -0.715  0.236 -0.776  0.289 -0.830  0.307 -0.899  0.307 -0.974  0.307 -1.050  0.355 -1.106  0.408 -1.159  0.412 -1.234  0.412 -1.309  0.424 -1.373  0.500 -1.373  0.517 -1.431  0.546 -1.478  0.622 -1.478
3#app#app06#app0628/>  -1.125 1.233  -1.032 1.233  -0.955 1.194  -0.890 1.129  -0.808 1.102  -0.715 1.102  -0.622 1.102  -0.601 1.030  -0.568 0.971  -0.475 0.971  -0.408 0.909  -0.342 0.843  -0.277 0.778  -0.211 0.712  -0.119 0.709  -0.077 0.658  -0.065 0.578  0.028 0.578  0.101 0.531  0.167 0.465  0.233 0.399  0.298 0.334  0.364 0.268  0.429 0.203  0.515 0.185  0.577 0.155  0.577 0.062  0.577 -0.031  0.577 -0.123  0.577 -0.216  0.577 -0.309  0.532 -0.383  0.467 -0.449  0.446 -0.533  0.421 -0.600  0.328 -0.600  0.316 -0.681  0.286 -0.761  0.220 -0.827  0.185 -0.905  0.185 -0.998  0.185 -1.090  0.125 -1.124  0.054 -1.145  0.054 -1.238  0.054 -1.331  0.027 -1.412  -0.039 -1.478  -0.077 -1.555  -0.077 -1.648
