3#apb#apb29#app2975/a  0.318 0.771  0.206 0.873  0.047 0.954  -0.079 1.016  0.072 1.075  0.240 1.159  0.411 1.237  0.584 1.214  0.712 1.082  0.774 0.954  0.793 0.787  0.766 0.624  0.655 0.473  0.547 0.320  0.443 0.163  0.323 0.019  0.208 -0.130  0.071 -0.254  0.137 -0.325  0.241 -0.170  0.237 0.007  0.153 0.172  -0.002 0.251  -0.178 0.196  -0.358 0.150  -0.545 0.131  -0.722 0.071  -0.892 -0.007  -1.056 -0.098  -1.223 -0.183  -1.396 -0.257  -1.547 -0.364  -1.520 -0.532  -1.377 -0.653  -1.200 -0.709  -1.018 -0.757  -0.831 -0.757  -0.643 -0.757  -0.456 -0.745  -0.268 -0.733  -0.082 -0.713  0.104 -0.687  0.290 -0.659  0.474 -0.622  0.658 -0.585  0.842 -0.548  1.029 -0.543  1.217 -0.543  1.361 -0.613  1.479 -0.757
3#apb#apb29#app2975/m  -1.447 -0.080  -1.508 0.141  -1.363 0.308  -1.158 0.418  -0.927 0.475  -0.692 0.499  -0.501 0.415  -0.524 0.177  -0.645 -0.025  -0.784 -0.220  -0.934 -0.407  -1.096 -0.583  -1.290 -0.719  -1.308 -0.718  -1.147 -0.543  -0.977 -0.374  -0.808 -0.204  -0.633 -0.041  -0.444 0.106  -0.264 0.264  -0.083 0.420  0.121 0.544  0.281 0.712  0.432 0.749  0.505 0.572  0.505 0.332  0.426 0.109  0.316 -0.100  0.176 -0.288  0.022 -0.470  -0.164 -0.598  -0.123 -0.430  0.017 -0.240  0.151 -0.044  0.332 0.112  0.501 0.282  0.671 0.451  0.850 0.610  1.044 0.743  1.238 0.803  1.353 0.615  1.420 0.395  1.420 0.155  1.303 -0.049  1.192 -0.259  1.069 -0.462  0.927 -0.646  0.780 -0.828  0.776 -0.989  0.993 -1.087
3#apb#apb29#app2975/n  -0.789 0.538  -0.915 0.648  -1.080 0.718  -1.136 0.787  -0.985 0.865  -0.798 0.905  -0.604 0.905  -0.419 0.869  -0.299 0.735  -0.237 0.556  -0.237 0.362  -0.237 0.169  -0.324 -0.005  -0.411 -0.178  -0.520 -0.337  -0.630 -0.497  -0.732 -0.661  -0.853 -0.813  -0.972 -0.932  -0.881 -0.769  -0.774 -0.611  -0.687 -0.438  -0.582 -0.277  -0.454 -0.131  -0.322 0.011  -0.185 0.148  -0.048 0.285  0.080 0.430  0.209 0.575  0.326 0.729  0.443 0.882  0.605 0.979  0.786 0.950  0.904 0.819  0.977 0.648  1.051 0.475  1.051 0.282  1.005 0.102  0.899 -0.060  0.802 -0.228  0.692 -0.386  0.571 -0.537  0.517 -0.723  0.409 -0.877  0.359 -1.056  0.499 -1.164  0.692 -1.188  0.885 -1.180  1.078 -1.168  1.272 -1.155
3#apb#apb29#app2975/o  0.878 -0.400  0.969 -0.216  0.977 -0.020  0.886 0.165  0.756 0.327  0.606 0.466  0.518 0.626  0.368 0.776  0.195 0.887  -0.017 0.887  -0.214 0.829  -0.417 0.775  -0.608 0.701  -0.773 0.569  -0.936 0.434  -1.082 0.283  -1.205 0.111  -1.344 -0.047  -1.463 -0.216  -1.534 -0.415  -1.535 -0.618  -1.430 -0.800  -1.261 -0.927  -1.054 -0.962  -0.847 -0.949  -0.645 -0.888  -0.441 -0.831  -0.235 -0.784  -0.029 -0.736  0.165 -0.660  0.346 -0.551  0.528 -0.442  0.707 -0.330  0.883 -0.214  0.977 -0.025  1.072 0.164  1.100 0.369  1.035 0.553  0.877 0.693  0.702 0.798  0.493 0.786  0.298 0.706  0.148 0.557  0.058 0.368  0.035 0.161  0.077 -0.041  0.163 -0.233  0.268 -0.412  0.418 -0.562  0.567 -0.711
3#apb#apb29#app2975/p  -0.648 -0.056  -0.887 -0.030  -1.002 -0.113  -0.848 -0.108  -0.611 -0.011  -0.384 0.114  -0.174 0.267  -0.035 0.484  0.077 0.710  0.080 0.969  0.028 1.061  -0.031 0.808  -0.086 0.554  -0.162 0.307  -0.272 0.072  -0.370 -0.168  -0.457 -0.412  -0.563 -0.649  -0.661 -0.888  -0.737 -1.136  -0.835 -1.376  -0.934 -1.616  -0.986 -1.618  -0.923 -1.369  -0.842 -1.122  -0.748 -0.881  -0.612 -0.660  -0.479 -0.437  -0.348 -0.212  -0.213 0.009  -0.066 0.223  0.089 0.431  0.258 0.628  0.449 0.801  0.666 0.944  0.899 1.057  1.120 1.006  1.094 0.751  0.980 0.518  0.791 0.343  0.582 0.195  0.347 0.086  0.098 0.022  0.281 0.022  0.540 0.022  0.800 0.022  1.059 0.036  1.318 0.048  1.563 0.118  1.797 0.230
3#apb#apb29#app2975/q  0.380 0.551  0.279 0.712  0.121 0.794  -0.075 0.869  -0.269 0.936  -0.469 0.912  -0.580 0.736  -0.541 0.542  -0.347 0.470  -0.136 0.483  0.062 0.554  0.259 0.624  0.377 0.784  0.425 0.936  0.440 0.812  0.362 0.618  0.258 0.436  0.148 0.255  0.015 0.090  -0.125 -0.069  -0.247 -0.241  -0.357 -0.421  -0.478 -0.595  -0.596 -0.771  -0.723 -0.940  -0.853 -1.108  -0.986 -1.273  -1.098 -1.452  -1.123 -1.578  -0.924 -1.521  -0.741 -1.415  -0.552 -1.320  -0.376 -1.207  -0.223 -1.060  -0.090 -0.897  0.001 -0.706  0.063 -0.504  0.123 -0.300  0.170 -0.094  0.203 0.115  0.238 0.324  0.238 0.525  0.301 0.351  0.510 0.382  0.717 0.427  0.921 0.482  1.118 0.561  1.312 0.646  1.454 0.793  1.414 0.753
3#apb#apb29#app2975/r  -0.731 0.305  -0.799 0.450  -0.806 0.509  -0.822 0.509  -0.731 0.630  -0.590 0.688  -0.418 0.642  -0.347 0.496  -0.244 0.341  -0.186 0.163  -0.186 -0.025  -0.216 -0.210  -0.259 -0.392  -0.302 -0.574  -0.343 -0.757  -0.403 -0.934  -0.473 -1.108  -0.569 -1.268  -0.712 -1.386  -0.869 -1.463  -0.969 -1.376  -0.978 -1.198  -0.921 -1.021  -0.847 -0.855  -0.728 -0.710  -0.635 -0.547  -0.519 -0.402  -0.386 -0.269  -0.246 -0.145  -0.103 -0.025  0.053 0.079  0.191 0.206  0.323 0.338  0.467 0.458  0.613 0.577  0.760 0.692  0.919 0.790  1.004 0.932  1.104 0.881  1.208 0.753  1.208 0.566  1.120 0.429  1.024 0.281  0.895 0.153  0.834 0.144  0.834 0.332  0.912 0.496  0.970 0.670  0.929 0.651  0.970 0.509
3#apb#apb29#app2975/s  1.063 0.534  1.074 0.684  1.063 0.827  1.031 0.948  0.881 0.960  0.743 1.026  0.600 1.076  0.447 1.076  0.294 1.076  0.141 1.076  -0.012 1.076  -0.163 1.052  -0.292 0.980  -0.413 0.886  -0.539 0.801  -0.657 0.711  -0.732 0.578  -0.827 0.495  -0.883 0.355  -0.904 0.212  -0.835 0.085  -0.703 0.018  -0.551 -0.001  -0.404 -0.039  -0.258 -0.087  -0.108 -0.103  0.045 -0.103  0.197 -0.114  0.347 -0.141  0.497 -0.169  0.642 -0.218  0.785 -0.272  0.904 -0.349  0.892 -0.497  0.784 -0.605  0.653 -0.683  0.518 -0.755  0.378 -0.815  0.236 -0.871  0.093 -0.925  -0.052 -0.974  -0.197 -1.022  -0.344 -1.065  -0.493 -1.097  -0.645 -1.114  -0.782 -1.077  -0.918 -1.027  -0.958 -0.913  -0.885 -0.787  -0.753 -0.708
3#apb#apb29#app2975/t  -0.029 1.278  0.111 1.436  0.223 1.556  0.223 1.320  0.214 1.085  0.176 0.854  0.108 0.628  0.024 0.409  -0.069 0.192  -0.176 -0.017  -0.323 -0.201  -0.448 -0.399  -0.555 -0.608  -0.670 -0.814  -0.792 -1.014  -0.839 -1.243  -0.697 -1.421  -0.479 -1.438  -0.262 -1.349  -0.040 -1.269  0.179 -1.186  0.384 -1.069  0.567 -0.930  0.698 -0.734  0.820 -0.545  0.818 -0.313  0.751 -0.088  0.593 0.080  0.359 0.104  0.124 0.104  -0.112 0.104  -0.347 0.104  -0.583 0.104  -0.818 0.104  -1.054 0.104  -1.288 0.107  -1.211 0.272  -0.993 0.324  -0.771 0.384  -0.538 0.357  -0.304 0.345  -0.081 0.273  0.146 0.335  0.378 0.368  0.613 0.388  0.846 0.424  1.079 0.454  1.314 0.468  1.420 0.379  1.312 0.188
3#apb#apb29#app2975/u  -0.880 0.786  -0.914 1.013  -0.943 0.803  -1.017 0.476  -1.083 0.138  -1.179 -0.187  -1.311 -0.505  -1.261 -0.828  -0.941 -0.946  -0.599 -0.958  -0.267 -0.853  -0.004 -0.639  0.087 -0.306  0.166 0.032  0.209 0.378  0.274 0.720  0.334 1.060  0.499 1.366  0.777 1.529  0.666 1.207  0.511 0.895  0.355 0.584  0.263 0.425  0.148 0.386  0.021 0.066  -0.081 -0.267  -0.136 -0.610  -0.075 -0.950  0.059 -1.247  0.263 -1.446  0.564 -1.311  0.754 -1.119  0.667 -0.782  0.580 -0.445  0.494 -0.107  0.407 0.230  0.320 0.567  0.233 0.905  0.282 1.226  0.206 1.162  -0.054 0.936  -0.153 0.617  -0.102 0.276  -0.177 -0.062  -0.271 -0.387  -0.120 -0.679  0.155 -0.871  0.503 -0.871  0.789 -0.736  0.980 -0.668
3#apb#apb29#app2975/v  -1.393 -1.038  -1.380 -1.038  -1.326 -0.971  -1.261 -0.876  -1.209 -0.772  -1.158 -0.667  -1.095 -0.570  -1.021 -0.478  -0.964 -0.375  -0.898 -0.277  -0.819 -0.189  -0.741 -0.101  -0.673 -0.004  -0.605 0.093  -0.533 0.186  -0.459 0.278  -0.360 0.342  -0.293 0.380  -0.265 0.267  -0.243 0.150  -0.261 0.034  -0.261 -0.084  -0.276 -0.201  -0.281 -0.319  -0.259 -0.432  -0.144 -0.421  -0.036 -0.379  0.045 -0.304  0.096 -0.197  0.143 -0.089  0.186 0.021  0.213 0.135  0.241 0.249  0.301 0.350  0.335 0.357  0.400 0.269  0.485 0.215  0.603 0.215  0.721 0.215  0.832 0.252  0.939 0.301  1.047 0.351  1.154 0.400  1.259 0.455  1.354 0.524  1.450 0.594  1.534 0.676  1.618 0.760  1.679 0.853  1.578 0.862
3#apb#apb29#app2975/w  -0.926 0.486  -1.035 0.549  -0.994 0.391  -0.994 0.222  -0.994 0.053  -1.029 -0.111  -1.055 -0.277  -1.078 -0.445  -1.084 -0.613  -1.066 -0.780  -1.039 -0.945  -0.987 -0.906  -0.886 -0.772  -0.802 -0.626  -0.705 -0.487  -0.609 -0.349  -0.512 -0.210  -0.415 -0.072  -0.321 0.069  -0.239 0.216  -0.143 0.311  -0.176 0.146  -0.143 -0.016  -0.137 -0.184  -0.115 -0.351  -0.121 -0.519  -0.137 -0.687  -0.128 -0.837  -0.022 -0.714  0.041 -0.557  0.137 -0.418  0.231 -0.278  0.322 -0.135  0.398 0.015  0.465 0.170  0.545 0.318  0.636 0.461  0.714 0.611  0.727 0.618  0.771 0.553  0.787 0.480  0.793 0.463  0.913 0.395  1.076 0.419  1.225 0.498  1.381 0.560  1.511 0.669  1.632 0.786  1.762 0.889  1.824 0.936
3#apb#apb29#app2975/x  -0.896 -0.356  -1.032 -0.384  -1.157 -0.505  -1.313 -0.575  -1.332 -0.477  -1.230 -0.322  -1.090 -0.203  -0.949 -0.083  -0.812 0.042  -0.649 0.131  -0.499 0.241  -0.338 0.330  -0.163 0.394  0.017 0.426  0.082 0.279  0.055 0.095  0.034 -0.090  0.042 -0.275  0.095 -0.448  0.279 -0.466  0.464 -0.450  0.644 -0.406  0.813 -0.327  0.976 -0.239  1.132 -0.138  1.275 -0.019  1.415 0.103  1.461 0.269  1.395 0.443  1.330 0.617  1.265 0.792  1.200 0.966  1.072 1.027  0.919 0.934  0.784 0.807  0.663 0.665  0.525 0.543  0.374 0.434  0.225 0.323  0.078 0.210  -0.070 0.096  -0.217 -0.017  -0.365 -0.130  -0.514 -0.242  -0.661 -0.355  -0.808 -0.469  -0.955 -0.583  -1.083 -0.718  -1.201 -0.860  -1.278 -1.030
3#apb#apb29#app2975/y  0.018 0.862  -0.057 0.858  -0.028 0.662  0.076 0.496  0.245 0.390  0.302 0.431  0.183 0.472  0.183 0.443  0.274 0.503  0.397 0.659  0.461 0.847  0.513 1.038  0.566 1.215  0.558 1.126  0.558 0.930  0.573 0.733  0.547 0.536  0.489 0.347  0.391 0.174  0.283 0.009  0.166 -0.152  0.066 -0.324  -0.055 -0.483  -0.179 -0.640  -0.305 -0.795  -0.431 -0.950  -0.558 -1.104  -0.688 -1.255  -0.830 -1.396  -0.981 -1.527  -1.159 -1.584  -1.212 -1.407  -1.158 -1.216  -1.075 -1.035  -0.979 -0.860  -0.858 -0.701  -0.735 -0.544  -0.606 -0.392  -0.465 -0.251  -0.323 -0.110  -0.178 0.026  -0.020 0.149  0.137 0.272  0.299 0.387  0.478 0.477  0.658 0.564  0.853 0.603  1.051 0.613  1.231 0.536  1.323 0.367
3#apb#apb29#app2975/z  0.294 0.700  0.201 0.808  0.011 0.780  0.159 0.659  0.092 0.596  -0.070 0.545  -0.056 0.611  0.087 0.775  0.253 0.916  0.433 1.037  0.643 1.081  0.799 0.987  0.744 0.782  0.630 0.597  0.493 0.433  0.301 0.330  0.162 0.284  0.328 0.426  0.528 0.506  0.684 0.435  0.607 0.234  0.493 0.049  0.361 -0.124  0.226 -0.295  0.086 -0.462  -0.054 -0.629  -0.195 -0.795  -0.358 -0.939  -0.526 -1.077  -0.685 -1.227  -0.857 -1.358  -1.045 -1.468  -1.245 -1.553  -1.377 -1.433  -1.306 -1.230  -1.177 -1.055  -1.044 -0.882  -0.906 -0.713  -0.758 -0.554  -0.609 -0.395  -0.450 -0.246  -0.288 -0.101  -0.122 0.040  0.053 0.170  0.234 0.290  0.432 0.381  0.633 0.464  0.840 0.530  1.055 0.565  1.266 0.524
