2#apb#apb36#app3666/A  -0.405 0.918  -0.345 0.855  -0.371 0.615  -0.427 0.380  -0.478 0.144  -0.511 -0.095  -0.544 -0.335  -0.570 -0.575  -0.591 -0.815  -0.611 -1.056  -0.624 -1.297  -0.602 -1.237  -0.570 -0.999  -0.523 -0.762  -0.467 -0.527  -0.411 -0.292  -0.353 -0.057  -0.291 0.176  -0.229 0.409  -0.152 0.637  -0.044 0.853  0.064 1.069  0.182 1.280  0.305 1.488  0.447 1.683  0.638 1.773  0.738 1.589  0.749 1.348  0.753 1.106  0.753 0.865  0.739 0.624  0.703 0.385  0.668 0.146  0.636 -0.093  0.605 -0.333  0.570 -0.572  0.534 -0.811  0.518 -1.052  0.513 -1.293  0.436 -1.261  0.246 -1.113  0.056 -0.964  -0.134 -0.815  -0.325 -0.666  -0.515 -0.517  -0.573 -0.395  -0.360 -0.285  -0.157 -0.154  0.053 -0.037  0.272 0.065
2#apb#apb36#app3666/L  -0.222 1.863  -0.229 1.772  -0.236 1.680  -0.243 1.588  -0.247 1.496  -0.250 1.404  -0.254 1.312  -0.257 1.220  -0.261 1.128  -0.263 1.036  -0.260 0.944  -0.258 0.852  -0.255 0.760  -0.252 0.668  -0.249 0.576  -0.247 0.484  -0.244 0.392  -0.245 0.300  -0.248 0.208  -0.251 0.116  -0.254 0.024  -0.257 -0.068  -0.261 -0.160  -0.264 -0.252  -0.268 -0.344  -0.272 -0.436  -0.276 -0.528  -0.280 -0.620  -0.284 -0.712  -0.285 -0.804  -0.285 -0.896  -0.285 -0.988  -0.254 -1.058  -0.171 -1.040  -0.090 -0.996  -0.009 -0.952  0.072 -0.909  0.153 -0.865  0.234 -0.822  0.316 -0.779  0.403 -0.749  0.490 -0.720  0.577 -0.691  0.665 -0.662  0.754 -0.640  0.844 -0.622  0.935 -0.604  1.024 -0.599  1.108 -0.636  1.192 -0.673
2#apb#apb36#app3666/M  -0.410 0.725  -0.422 0.584  -0.478 0.315  -0.536 0.047  -0.594 -0.221  -0.670 -0.485  -0.750 -0.747  -0.845 -1.004  -0.955 -1.255  -1.085 -1.495  -1.032 -1.282  -0.950 -1.021  -0.866 -0.759  -0.780 -0.499  -0.689 -0.240  -0.597 0.018  -0.490 0.271  -0.375 0.519  -0.258 0.768  -0.135 1.013  0.053 1.196  0.239 1.062  0.250 0.796  0.226 0.523  0.170 0.255  0.110 -0.013  0.032 -0.276  -0.048 -0.538  -0.128 -0.801  -0.169 -0.939  -0.105 -0.674  -0.008 -0.418  0.102 -0.166  0.192 0.092  0.273 0.354  0.370 0.610  0.511 0.845  0.652 1.080  0.803 1.309  0.996 1.356  1.087 1.116  1.049 0.844  1.006 0.574  0.961 0.303  0.897 0.036  0.826 -0.228  0.750 -0.492  0.672 -0.755  0.596 -1.019  0.553 -1.289
2#apb#apb36#app3666/N  -0.351 0.815  -0.351 0.562  -0.398 0.314  -0.449 0.067  -0.497 -0.181  -0.564 -0.425  -0.646 -0.664  -0.725 -0.904  -0.800 -1.146  -0.868 -1.389  -0.905 -1.495  -0.864 -1.246  -0.816 -0.997  -0.779 -0.747  -0.727 -0.500  -0.661 -0.256  -0.604 -0.010  -0.536 0.233  -0.442 0.468  -0.307 0.589  -0.264 0.345  -0.226 0.095  -0.162 -0.150  -0.084 -0.390  0.004 -0.627  0.145 -0.827  0.370 -0.922  0.471 -0.743  0.498 -0.492  0.526 -0.241  0.553 0.011  0.581 0.262  0.609 0.514  0.636 0.765  0.664 1.016  0.692 1.268  0.719 1.519  0.747 1.771  0.692 1.686  0.640 1.439  0.610 1.188  0.579 0.937  0.546 0.686  0.514 0.435  0.473 0.185  0.432 -0.064  0.388 -0.313  0.344 -0.562  0.308 -0.813  0.285 -1.064
2#apb#apb36#app3666/O  -0.231 1.370  -0.226 1.244  -0.259 1.066  -0.290 0.887  -0.316 0.708  -0.343 0.528  -0.370 0.349  -0.399 0.170  -0.430 -0.009  -0.461 -0.188  -0.492 -0.366  -0.509 -0.547  -0.522 -0.728  -0.536 -0.909  -0.529 -1.088  -0.485 -1.264  -0.423 -1.427  -0.270 -1.524  -0.122 -1.531  0.019 -1.416  0.159 -1.302  0.286 -1.173  0.406 -1.037  0.526 -0.901  0.606 -0.741  0.665 -0.570  0.725 -0.399  0.784 -0.227  0.791 -0.046  0.798 0.135  0.805 0.317  0.792 0.497  0.761 0.675  0.730 0.854  0.673 1.023  0.577 1.177  0.450 1.280  0.271 1.293  0.127 1.182  -0.017 1.071  -0.112 0.920  -0.200 0.761  -0.287 0.602  -0.338 0.428  -0.380 0.252  -0.422 0.076  -0.466 -0.100  -0.509 -0.276  -0.511 -0.456  -0.497 -0.637
2#apb#apb36#app3666/P  -0.040 0.516  -0.166 0.401  -0.226 0.231  -0.281 0.061  -0.295 -0.118  -0.308 -0.298  -0.321 -0.477  -0.356 -0.653  -0.396 -0.828  -0.433 -1.004  -0.433 -1.183  -0.433 -1.363  -0.443 -1.542  -0.459 -1.697  -0.436 -1.546  -0.439 -1.367  -0.448 -1.187  -0.450 -1.008  -0.415 -0.832  -0.381 -0.655  -0.347 -0.479  -0.311 -0.303  -0.272 -0.127  -0.233 0.048  -0.194 0.223  -0.155 0.399  -0.096 0.568  -0.032 0.736  0.032 0.904  0.098 1.071  0.207 1.213  0.317 1.356  0.443 1.481  0.591 1.584  0.755 1.514  0.880 1.389  0.899 1.216  0.899 1.037  0.851 0.866  0.789 0.697  0.716 0.534  0.620 0.382  0.524 0.230  0.412 0.089  0.290 -0.042  0.165 -0.171  0.034 -0.294  -0.098 -0.416  -0.233 -0.535  -0.389 -0.619
2#apb#apb36#app3666/Q  0.214 1.223  0.028 1.108  -0.097 0.915  -0.222 0.722  -0.323 0.515  -0.422 0.308  -0.518 0.099  -0.585 -0.121  -0.652 -0.341  -0.718 -0.561  -0.738 -0.789  -0.748 -1.019  -0.716 -1.245  -0.580 -1.373  -0.354 -1.373  -0.155 -1.258  0.043 -1.141  0.210 -0.984  0.378 -0.826  0.488 -0.627  0.585 -0.418  0.676 -0.208  0.706 0.020  0.736 0.248  0.723 0.477  0.703 0.706  0.636 0.924  0.546 1.135  0.424 1.326  0.268 1.496  0.045 1.488  -0.161 1.389  -0.301 1.217  -0.413 1.016  -0.484 0.799  -0.540 0.576  -0.576 0.350  -0.576 0.120  -0.576 -0.110  -0.385 -0.070  -0.168 0.007  0.049 0.084  0.170 0.024  0.215 -0.198  0.291 -0.415  0.377 -0.628  0.467 -0.840  0.569 -1.046  0.675 -1.250  0.784 -1.453
2#apb#apb36#app3666/R  -0.239 0.552  -0.279 0.362  -0.318 0.171  -0.339 -0.022  -0.360 -0.216  -0.383 -0.409  -0.413 -0.601  -0.444 -0.793  -0.470 -0.986  -0.493 -1.179  -0.500 -1.373  -0.546 -1.317  -0.591 -1.128  -0.591 -0.934  -0.591 -0.739  -0.571 -0.546  -0.549 -0.353  -0.524 -0.160  -0.492 0.032  -0.460 0.224  -0.428 0.416  -0.378 0.603  -0.317 0.788  -0.255 0.972  -0.176 1.149  -0.072 1.313  0.041 1.467  0.210 1.563  0.388 1.576  0.560 1.495  0.697 1.357  0.739 1.173  0.754 0.980  0.714 0.790  0.667 0.602  0.584 0.426  0.498 0.252  0.351 0.125  0.203 -0.001  0.039 -0.106  -0.133 -0.197  -0.102 -0.320  0.043 -0.449  0.187 -0.579  0.336 -0.705  0.488 -0.826  0.652 -0.931  0.804 -1.051  0.949 -1.180  1.111 -1.288
2#apb#apb36#app3666/S  0.636 1.112  0.573 1.194  0.484 1.254  0.376 1.254  0.267 1.254  0.160 1.241  0.052 1.228  -0.052 1.200  -0.152 1.157  -0.252 1.115  -0.349 1.069  -0.445 1.018  -0.541 0.967  -0.617 0.892  -0.686 0.808  -0.709 0.708  -0.709 0.599  -0.691 0.496  -0.637 0.402  -0.583 0.308  -0.524 0.218  -0.435 0.155  -0.347 0.092  -0.258 0.030  -0.170 -0.033  -0.079 -0.092  0.013 -0.151  0.104 -0.209  0.195 -0.268  0.283 -0.331  0.368 -0.399  0.453 -0.466  0.538 -0.534  0.619 -0.606  0.699 -0.680  0.751 -0.767  0.761 -0.875  0.684 -0.947  0.591 -1.002  0.495 -1.053  0.391 -1.071  0.283 -1.071  0.174 -1.071  0.067 -1.082  -0.040 -1.101  -0.147 -1.121  -0.252 -1.147  -0.357 -1.173  -0.449 -1.226  -0.535 -1.293
2#apb#apb36#app3666/T  0.306 0.659  0.341 0.549  0.366 0.396  0.377 0.243  0.360 0.089  0.342 -0.065  0.324 -0.219  0.299 -0.371  0.275 -0.524  0.250 -0.677  0.208 -0.826  0.163 -0.974  0.126 -1.124  0.104 -1.278  0.060 -1.425  0.067 -1.485  0.056 -1.346  -0.029 -1.216  -0.114 -1.087  -0.199 -0.958  -0.284 -0.828  -0.369 -0.699  -0.454 -0.569  -0.539 -0.440  -0.624 -0.310  -0.709 -0.181  -0.794 -0.052  -0.879 0.078  -0.964 0.207  -1.049 0.337  -1.134 0.466  -1.161 0.575  -1.014 0.624  -0.861 0.640  -0.706 0.640  -0.552 0.640  -0.397 0.646  -0.243 0.659  -0.088 0.672  0.066 0.686  0.220 0.699  0.375 0.709  0.529 0.718  0.684 0.728  0.838 0.742  0.990 0.770  1.143 0.797  1.289 0.842  1.428 0.912  1.579 0.929
2#apb#apb36#app3666/U  -0.512 1.315  -0.512 1.121  -0.512 0.927  -0.512 0.733  -0.512 0.539  -0.512 0.346  -0.512 0.152  -0.532 -0.039  -0.583 -0.226  -0.634 -0.413  -0.688 -0.600  -0.743 -0.786  -0.798 -0.972  -0.800 -1.153  -0.651 -1.218  -0.464 -1.167  -0.287 -1.089  -0.125 -0.989  -0.013 -0.831  0.097 -0.672  0.189 -0.501  0.270 -0.325  0.337 -0.144  0.403 0.039  0.417 0.232  0.432 0.425  0.446 0.619  0.476 0.810  0.509 1.001  0.542 1.192  0.566 1.385  0.586 1.577  0.529 1.527  0.471 1.342  0.419 1.156  0.370 0.968  0.322 0.780  0.276 0.592  0.236 0.403  0.195 0.213  0.155 0.023  0.124 -0.168  0.110 -0.361  0.097 -0.554  0.084 -0.748  0.118 -0.938  0.158 -1.128  0.198 -1.317  0.323 -1.465  0.448 -1.613
2#apb#apb36#app3666/V  -0.701 1.347  -0.748 1.245  -0.748 1.123  -0.725 1.004  -0.700 0.884  -0.675 0.765  -0.650 0.646  -0.626 0.526  -0.602 0.407  -0.578 0.287  -0.554 0.168  -0.530 0.048  -0.507 -0.072  -0.486 -0.192  -0.466 -0.312  -0.445 -0.432  -0.424 -0.552  -0.403 -0.672  -0.371 -0.789  -0.331 -0.904  -0.290 -1.019  -0.247 -1.133  -0.181 -1.236  -0.116 -1.338  -0.017 -1.380  0.083 -1.325  0.157 -1.232  0.200 -1.118  0.243 -1.004  0.286 -0.889  0.307 -0.770  0.328 -0.649  0.349 -0.529  0.370 -0.409  0.391 -0.289  0.414 -0.169  0.436 -0.050  0.458 0.070  0.480 0.190  0.504 0.309  0.540 0.426  0.575 0.543  0.610 0.660  0.645 0.776  0.684 0.892  0.722 1.008  0.762 1.123  0.817 1.232  0.860 1.344  0.898 1.441
2#apb#apb36#app3666/W  -0.497 1.154  -0.552 1.267  -0.662 1.151  -0.740 1.005  -0.789 0.847  -0.836 0.688  -0.883 0.529  -0.901 0.365  -0.917 0.200  -0.932 0.035  -0.938 -0.130  -0.932 -0.296  -0.927 -0.461  -0.914 -0.625  -0.865 -0.783  -0.795 -0.931  -0.691 -1.059  -0.528 -1.038  -0.392 -0.944  -0.273 -0.833  -0.190 -0.690  -0.114 -0.543  -0.066 -0.385  -0.018 -0.226  0.015 -0.064  0.048 0.097  0.041 -0.043  0.050 -0.206  0.088 -0.368  0.126 -0.529  0.161 -0.691  0.238 -0.832  0.381 -0.882  0.536 -0.834  0.650 -0.715  0.739 -0.578  0.806 -0.426  0.852 -0.268  0.886 -0.106  0.919 0.057  0.932 0.222  0.945 0.387  0.952 0.552  0.939 0.717  0.927 0.882  0.905 1.046  0.870 1.208  0.787 1.181  0.746 1.022  0.813 0.871
2#apb#apb36#app3666/X  -0.871 1.057  -0.825 0.876  -0.750 0.701  -0.668 0.530  -0.586 0.358  -0.497 0.190  -0.398 0.027  -0.299 -0.136  -0.199 -0.297  -0.091 -0.454  0.016 -0.611  0.134 -0.760  0.263 -0.900  0.366 -1.058  0.467 -1.219  0.519 -1.338  0.522 -1.148  0.525 -0.958  0.528 -0.767  0.531 -0.577  0.534 -0.387  0.536 -0.197  0.539 -0.006  0.542 0.184  0.545 0.374  0.548 0.564  0.551 0.755  0.554 0.945  0.557 1.135  0.559 1.326  0.562 1.516  0.528 1.537  0.447 1.365  0.356 1.197  0.265 1.030  0.174 0.864  0.082 0.697  -0.002 0.526  -0.084 0.355  -0.167 0.183  -0.251 0.012  -0.338 -0.157  -0.426 -0.326  -0.513 -0.495  -0.601 -0.663  -0.693 -0.830  -0.785 -0.997  -0.857 -1.172  -0.913 -1.354  -0.938 -1.497
2#apb#apb36#app3666/Y  -1.008 0.943  -0.912 0.867  -0.827 0.738  -0.760 0.596  -0.693 0.455  -0.628 0.312  -0.564 0.169  -0.499 0.026  -0.429 -0.114  -0.359 -0.254  -0.260 -0.373  -0.144 -0.478  -0.015 -0.467  0.083 -0.347  0.174 -0.220  0.243 -0.080  0.299 0.066  0.355 0.212  0.412 0.358  0.465 0.505  0.519 0.653  0.572 0.800  0.603 0.953  0.634 1.107  0.683 1.253  0.755 1.389  0.711 1.280  0.641 1.139  0.572 0.999  0.503 0.858  0.434 0.718  0.364 0.577  0.295 0.437  0.226 0.296  0.157 0.156  0.088 0.015  0.017 -0.125  -0.056 -0.262  -0.066 -0.418  -0.076 -0.575  -0.100 -0.729  -0.124 -0.884  -0.153 -1.038  -0.185 -1.191  -0.216 -1.345  -0.255 -1.496  -0.307 -1.644  -0.358 -1.792  -0.390 -1.944  -0.420 -2.097
2#apb#apb36#app3666/Z  -0.612 1.101  -0.612 1.184  -0.526 1.258  -0.415 1.282  -0.305 1.306  -0.192 1.317  -0.079 1.324  0.033 1.318  0.144 1.296  0.254 1.270  0.349 1.209  0.438 1.143  0.457 1.031  0.477 0.920  0.474 0.810  0.443 0.701  0.411 0.592  0.379 0.483  0.328 0.384  0.262 0.292  0.197 0.199  0.131 0.107  0.066 0.014  -0.005 -0.074  -0.076 -0.163  -0.147 -0.251  -0.218 -0.339  -0.290 -0.427  -0.372 -0.505  -0.454 -0.583  -0.536 -0.660  -0.617 -0.739  -0.684 -0.831  -0.751 -0.923  -0.695 -0.990  -0.584 -1.016  -0.474 -1.019  -0.363 -0.997  -0.251 -0.975  -0.140 -0.954  -0.028 -0.937  0.084 -0.920  0.196 -0.909  0.309 -0.916  0.422 -0.924  0.530 -0.890  0.637 -0.855  0.750 -0.855  0.782 -0.914  0.872 -0.977
