2#app#app11#app1169/E  0.377 1.098  0.544 1.098  0.711 1.098  0.584 1.098  0.417 1.098  0.250 1.098  0.082 1.098  -0.085 1.098  -0.206 0.987  -0.370 0.980  -0.512 0.918  -0.656 0.862  -0.783 0.765  -0.901 0.647  -0.922 0.488  -0.922 0.321  -0.922 0.154  -0.804 0.105  -0.804 -0.062  -0.804 -0.230  -0.804 -0.397  -0.804 -0.564  -0.804 -0.731  -0.729 -0.867  -0.686 -1.017  -0.568 -1.066  -0.481 -1.146  -0.314 -1.146  -0.147 -1.146  0.020 -1.146  0.139 -1.030  0.306 -1.028  0.473 -1.028  0.522 -0.910  0.689 -0.910  0.744 -0.785  0.760 -0.619  0.777 -0.453  0.794 -0.286  0.810 -0.120  0.827 0.046  0.843 0.213  0.849 0.380  0.810 0.271  0.643 0.271  0.516 0.174  0.357 0.153  0.210 0.104  0.072 0.035  -0.096 0.035
1b#uqb#re/E  -0.705 0.845  -0.714 0.658  -0.751 0.408  -0.790 0.158  -0.809 -0.092  -0.818 -0.345  -0.833 -0.597  -0.769 -0.834  -0.628 -1.034  -0.424 -1.183  -0.183 -1.258  0.056 -1.337  0.297 -1.410  0.549 -1.410  0.802 -1.410  0.941 -1.207  1.092 -1.005  1.287 -0.847  1.350 -0.637  1.146 -0.489  0.942 -0.341  0.737 -0.192  0.533 -0.044  0.329 0.104  0.124 0.253  -0.080 0.401  -0.284 0.549  -0.489 0.698  -0.693 0.846  -0.667 0.930  -0.416 0.944  -0.164 0.931  0.088 0.921  0.339 0.943  0.590 0.960  0.843 0.949  0.681 0.860  0.451 0.755  0.221 0.650  -0.008 0.546  -0.238 0.441  -0.468 0.336  -0.698 0.232  -0.927 0.127  -0.770 0.022  -0.519 0.021  -0.267 0.039  -0.015 0.039  0.238 0.050  0.490 0.053
1b#uqb#re/E  -0.561 0.878  -0.648 0.751  -0.695 0.511  -0.762 0.275  -0.813 0.038  -0.803 -0.204  -0.741 -0.441  -0.700 -0.683  -0.628 -0.917  -0.520 -1.135  -0.396 -1.346  -0.255 -1.533  -0.031 -1.622  0.213 -1.596  0.438 -1.501  0.519 -1.312  0.470 -1.075  0.385 -0.849  0.269 -0.633  0.154 -0.417  0.038 -0.201  -0.078 0.015  -0.194 0.231  -0.310 0.447  -0.425 0.663  -0.548 0.794  -0.416 0.830  -0.182 0.903  0.059 0.942  0.303 0.955  0.547 0.979  0.784 0.920  1.026 0.893  1.271 0.897  1.476 0.922  1.245 0.862  1.023 0.758  0.801 0.653  0.579 0.549  0.357 0.445  0.135 0.341  -0.087 0.237  -0.309 0.132  -0.531 0.028  -0.753 -0.076  -0.615 -0.187  -0.370 -0.198  -0.131 -0.250  0.085 -0.358  0.326 -0.314
1b#uqb#re/E  -0.700 0.779  -0.680 0.634  -0.738 0.401  -0.803 0.169  -0.850 -0.067  -0.874 -0.307  -0.865 -0.547  -0.839 -0.787  -0.790 -1.021  -0.650 -1.214  -0.455 -1.350  -0.225 -1.411  0.014 -1.439  0.255 -1.449  0.495 -1.426  0.729 -1.367  0.914 -1.258  0.841 -1.028  0.690 -0.844  0.524 -0.668  0.393 -0.467  0.270 -0.260  0.146 -0.052  0.022 0.155  -0.101 0.362  -0.225 0.569  -0.349 0.776  -0.472 0.983  -0.353 1.104  -0.119 1.051  0.122 1.040  0.363 1.039  0.603 1.019  0.842 0.987  1.082 0.990  0.939 0.993  0.712 0.942  0.510 0.810  0.308 0.678  0.106 0.545  -0.095 0.413  -0.297 0.281  -0.499 0.149  -0.676 0.014  -0.444 -0.043  -0.204 -0.037  0.033 0.007  0.274 0.020  0.514 0.033  0.599 0.104
1b#uqb#re/E  -0.687 0.578  -0.672 0.531  -0.753 0.280  -0.848 0.035  -0.844 -0.229  -0.774 -0.483  -0.665 -0.724  -0.524 -0.946  -0.322 -1.116  -0.094 -1.250  0.139 -1.373  0.395 -1.376  0.655 -1.383  0.915 -1.413  1.056 -1.234  0.944 -0.995  0.745 -0.821  0.545 -0.649  0.345 -0.477  0.144 -0.305  -0.057 -0.133  -0.257 0.038  -0.458 0.210  -0.658 0.382  -0.779 0.555  -0.578 0.726  -0.371 0.888  -0.144 1.024  0.105 1.077  0.364 1.109  0.626 1.138  0.887 1.120  1.138 1.172  1.019 1.152  0.785 1.037  0.561 0.896  0.338 0.755  0.115 0.614  -0.109 0.473  -0.332 0.332  -0.556 0.192  -0.779 0.051  -0.950 -0.107  -0.727 -0.228  -0.467 -0.218  -0.204 -0.195  0.060 -0.184  0.323 -0.202  0.585 -0.199  0.824 -0.126
1b#uqb#re/E  -0.348 0.719  -0.539 0.926  -0.723 0.767  -0.768 0.487  -0.775 0.206  -0.710 -0.067  -0.644 -0.340  -0.629 -0.623  -0.582 -0.900  -0.465 -1.158  -0.262 -1.332  0.002 -1.438  0.280 -1.481  0.557 -1.436  0.836 -1.438  0.920 -1.195  0.820 -0.931  0.662 -0.700  0.466 -0.495  0.270 -0.289  0.074 -0.084  -0.122 0.121  -0.318 0.326  -0.514 0.532  -0.710 0.737  -0.905 0.942  -0.643 0.954  -0.362 0.948  -0.080 0.982  0.203 1.002  0.486 1.012  0.770 1.001  1.053 0.986  1.332 0.943  1.184 0.841  0.934 0.707  0.685 0.570  0.437 0.432  0.189 0.295  -0.060 0.158  -0.308 0.020  -0.556 -0.117  -0.804 -0.255  -0.889 -0.350  -0.606 -0.329  -0.325 -0.289  -0.044 -0.312  0.238 -0.342  0.519 -0.377  0.774 -0.336
1b#uqb#re/E  -0.479 0.492  -0.594 0.773  -0.711 0.548  -0.734 0.244  -0.719 -0.063  -0.664 -0.364  -0.626 -0.669  -0.549 -0.964  -0.393 -1.225  -0.171 -1.428  0.104 -1.566  0.402 -1.527  0.604 -1.302  0.663 -1.009  0.598 -0.726  0.372 -0.517  0.147 -0.308  -0.078 -0.098  -0.304 0.111  -0.529 0.320  -0.754 0.530  -0.979 0.739  -1.001 0.938  -0.700 0.970  -0.393 0.965  -0.087 0.941  0.220 0.925  0.527 0.907  0.833 0.876  1.136 0.849  1.441 0.888  1.271 0.859  0.988 0.744  0.708 0.615  0.429 0.486  0.150 0.357  -0.129 0.228  -0.408 0.100  -0.687 -0.029  -0.967 -0.158  -1.028 -0.223  -0.721 -0.201  -0.414 -0.198  -0.108 -0.224  0.188 -0.306  0.470 -0.428  0.731 -0.585  1.028 -0.625  1.085 -0.411  0.832 -0.253
1b#uqb#re/E  -0.553 0.506  -0.571 0.613  -0.608 0.352  -0.673 0.096  -0.719 -0.161  -0.841 -0.395  -0.865 -0.658  -0.783 -0.909  -0.661 -1.140  -0.476 -1.328  -0.218 -1.368  0.046 -1.377  0.310 -1.367  0.574 -1.354  0.838 -1.354  0.873 -1.177  0.753 -0.946  0.592 -0.736  0.431 -0.527  0.270 -0.317  0.109 -0.107  -0.052 0.102  -0.214 0.312  -0.375 0.522  -0.536 0.731  -0.705 0.929  -0.752 1.001  -0.488 0.995  -0.224 0.976  0.039 0.997  0.303 1.001  0.567 1.014  0.829 1.031  1.091 1.005  1.291 0.980  1.029 0.984  0.802 0.848  0.576 0.711  0.350 0.574  0.124 0.437  -0.103 0.301  -0.329 0.164  -0.555 0.027  -0.774 -0.114  -0.607 -0.291  -0.345 -0.294  -0.081 -0.289  0.182 -0.314  0.446 -0.324  0.683 -0.365
1b#apa#apa13#app1324/E  -0.671 0.816  -0.759 0.602  -0.771 0.354  -0.846 0.121  -0.897 -0.109  -0.933 -0.345  -0.933 -0.596  -1.021 -0.759  -0.855 -0.845  -0.692 -0.932  -0.441 -0.932  -0.190 -0.932  0.061 -0.932  0.305 -0.947  0.526 -1.019  0.777 -1.019  0.992 -1.107  1.243 -1.107  1.371 -1.071  1.160 -0.936  0.948 -0.800  0.737 -0.665  0.526 -0.530  0.314 -0.395  0.103 -0.260  -0.108 -0.124  -0.319 0.011  -0.531 0.146  -0.742 0.281  -0.527 0.292  -0.313 0.204  -0.062 0.204  0.189 0.204  0.404 0.117  0.655 0.117  0.740 0.167  0.531 0.306  0.322 0.446  0.114 0.585  -0.095 0.724  -0.304 0.863  -0.513 1.002  -0.721 1.141  -0.552 1.166  -0.302 1.166  -0.053 1.160  0.164 1.079  0.415 1.079  0.655 1.015  0.902 0.991
2#app#app37#app3712/E  -0.898 1.080  -0.898 0.861  -0.898 0.641  -0.898 0.422  -0.808 0.240  -0.894 0.084  -0.898 -0.134  -0.898 -0.353  -0.830 -0.557  -0.773 -0.763  -0.773 -0.982  -0.703 -1.186  -0.580 -1.364  -0.384 -1.421  -0.164 -1.421  -0.004 -1.277  0.151 -1.122  0.339 -1.046  0.498 -0.900  0.654 -0.744  0.809 -0.589  0.923 -0.404  1.047 -0.226  1.103 -0.030  1.103 0.190  1.103 0.410  0.953 0.545  0.765 0.658  0.577 0.771  0.388 0.884  0.200 0.997  0.012 1.110  -0.118 1.220  0.078 1.319  0.227 1.263  0.173 1.053  0.099 0.846  0.025 0.639  -0.049 0.432  -0.123 0.225  -0.197 0.019  -0.271 -0.188  -0.344 -0.395  -0.349 -0.510  -0.170 -0.383  0.008 -0.255  0.187 -0.127  0.366 0.000  0.536 0.138  0.602 0.330
2#app#app37#app3712/E  -0.909 0.352  -0.909 0.171  -0.909 -0.010  -0.909 -0.191  -0.909 -0.372  -0.909 -0.552  -0.909 -0.733  -0.909 -0.914  -0.909 -1.095  -0.909 -1.276  -0.781 -1.329  -0.704 -1.432  -0.523 -1.432  -0.359 -1.392  -0.271 -1.248  -0.193 -1.099  -0.065 -0.971  0.063 -0.844  0.111 -0.683  0.228 -0.551  0.356 -0.423  0.484 -0.295  0.568 -0.136  0.666 0.014  0.812 0.097  0.876 0.214  0.845 0.382  0.717 0.510  0.589 0.638  0.461 0.766  0.333 0.894  0.206 1.022  0.144 1.150  0.286 1.244  0.366 1.345  0.520 1.371  0.621 1.291  0.552 1.129  0.459 0.974  0.366 0.819  0.273 0.664  0.180 0.509  0.087 0.354  -0.006 0.199  -0.099 0.044  -0.077 0.036  0.078 0.097  0.238 0.117  0.312 0.224  0.366 0.352
2#app#app37#app3712/E  -0.629 0.613  -0.629 0.374  -0.629 0.135  -0.629 -0.104  -0.751 -0.293  -0.759 -0.529  -0.759 -0.768  -0.759 -1.007  -0.629 -1.116  -0.530 -1.314  -0.304 -1.346  -0.077 -1.317  0.092 -1.148  0.261 -0.979  0.469 -0.863  0.654 -0.717  0.824 -0.548  0.993 -0.378  1.070 -0.171  1.005 0.047  0.861 0.238  0.718 0.429  0.574 0.621  0.431 0.812  0.287 1.003  0.492 1.080  0.699 1.157  0.893 1.266  1.063 1.392  0.874 1.245  0.685 1.098  0.497 0.951  0.308 0.804  0.119 0.658  -0.070 0.511  -0.259 0.364  -0.447 0.217  -0.636 0.070  -0.825 -0.077  -1.014 -0.224  -1.203 -0.370  -1.142 -0.432  -0.903 -0.432  -0.664 -0.432  -0.446 -0.341  -0.261 -0.195  -0.031 -0.171  0.189 -0.089  0.378 0.052  0.547 0.221
1b#apb#apb17#app1796/E  -0.679 0.795  -0.764 0.625  -0.835 0.449  -0.898 0.270  -0.946 0.087  -0.976 -0.101  -1.006 -0.288  -1.010 -0.478  -1.010 -0.668  -0.956 -0.847  -0.870 -1.013  -0.720 -1.129  -0.533 -1.160  -0.345 -1.189  -0.157 -1.163  0.031 -1.138  0.210 -1.077  0.386 -1.005  0.543 -0.900  0.695 -0.787  0.825 -0.648  0.936 -0.501  0.941 -0.311  0.945 -0.121  0.949 0.068  0.953 0.258  0.958 0.448  0.962 0.638  0.966 0.828  0.970 1.018  0.974 1.208  0.809 1.168  0.631 1.102  0.458 1.024  0.285 0.945  0.110 0.872  -0.066 0.800  -0.245 0.736  -0.427 0.684  -0.336 0.547  -0.214 0.401  -0.093 0.255  0.029 0.109  0.151 -0.037  0.182 -0.160  0.005 -0.205  -0.175 -0.145  -0.358 -0.098  -0.548 -0.089  -0.737 -0.080
1b#apb#apb17#app1796/E  -0.049 0.938  -0.073 0.750  -0.130 0.569  -0.194 0.391  -0.264 0.215  -0.381 0.065  -0.498 -0.084  -0.604 -0.241  -0.699 -0.405  -0.793 -0.569  -0.879 -0.739  -0.964 -0.908  -1.010 -1.092  -1.025 -1.272  -0.883 -1.369  -0.698 -1.385  -0.521 -1.319  -0.343 -1.254  -0.173 -1.169  -0.007 -1.077  0.159 -0.986  0.240 -0.820  0.309 -0.643  0.378 -0.467  0.447 -0.290  0.516 -0.114  0.586 0.063  0.655 0.240  0.724 0.416  0.793 0.593  0.862 0.769  0.931 0.946  1.000 1.123  1.043 1.284  0.857 1.304  0.679 1.239  0.499 1.179  0.317 1.128  0.135 1.073  -0.039 1.001  -0.109 0.919  -0.095 0.730  -0.081 0.541  -0.067 0.352  -0.053 0.163  -0.038 -0.026  -0.024 -0.216  -0.030 -0.404  -0.112 -0.558  -0.294 -0.582
3#apb#apb18#app1807/E  -0.471 0.934  -0.561 0.784  -0.651 0.634  -0.741 0.483  -0.810 0.322  -0.871 0.158  -0.921 -0.010  -0.951 -0.183  -0.972 -0.356  -0.964 -0.532  -0.948 -0.706  -0.898 -0.874  -0.813 -1.023  -0.700 -1.157  -0.550 -1.248  -0.393 -1.323  -0.225 -1.373  -0.054 -1.360  0.110 -1.303  0.263 -1.217  0.345 -1.074  0.397 -0.906  0.449 -0.739  0.501 -0.571  0.553 -0.403  0.605 -0.236  0.657 -0.068  0.709 0.099  0.761 0.267  0.813 0.435  0.865 0.602  0.917 0.770  0.969 0.937  1.021 1.105  0.929 1.125  0.767 1.058  0.610 0.980  0.447 0.917  0.279 0.864  0.113 0.807  -0.051 0.746  -0.220 0.701  -0.306 0.636  -0.188 0.506  -0.071 0.375  0.046 0.245  0.164 0.114  0.188 0.021  0.013 0.012  -0.162 0.026
3#apb#apb18#app1807/E  -0.622 0.506  -0.721 0.363  -0.808 0.212  -0.889 0.058  -0.961 -0.100  -1.031 -0.259  -1.081 -0.426  -1.109 -0.595  -1.087 -0.767  -1.022 -0.928  -0.906 -1.057  -0.753 -1.139  -0.589 -1.193  -0.419 -1.224  -0.245 -1.216  -0.075 -1.188  0.090 -1.133  0.251 -1.068  0.410 -0.997  0.479 -0.850  0.522 -0.681  0.564 -0.512  0.607 -0.344  0.650 -0.175  0.692 -0.006  0.735 0.162  0.778 0.331  0.821 0.500  0.863 0.668  0.906 0.837  0.949 1.006  0.992 1.174  0.854 1.131  0.681 1.109  0.509 1.081  0.338 1.049  0.170 1.004  0.000 0.966  -0.170 0.977  -0.227 0.924  -0.153 0.767  -0.078 0.610  -0.004 0.452  0.071 0.295  0.145 0.138  0.220 -0.019  0.174 -0.104  -0.000 -0.111  -0.174 -0.115  -0.348 -0.115
1b#tos#t3#t3067063/E  -0.854 0.882  -0.835 0.848  -0.580 0.864  -0.327 0.889  -0.094 1.000  0.154 1.070  0.398 1.146  0.611 1.275  0.847 1.369  0.913 1.374  0.674 1.274  0.435 1.174  0.196 1.073  -0.044 0.973  -0.269 0.873  -0.333 0.631  -0.372 0.383  -0.406 0.126  -0.438 -0.127  -0.506 -0.376  -0.527 -0.633  -0.578 -0.885  -0.515 -0.751  -0.432 -0.505  -0.350 -0.259  -0.268 -0.012  -0.235 0.056  -0.020 0.139  0.236 0.159  0.447 0.294  0.638 0.366  0.485 0.171  0.314 -0.024  0.143 -0.219  -0.028 -0.414  -0.199 -0.609  -0.371 -0.804  -0.542 -0.999  -0.715 -1.181  -0.796 -1.306  -0.563 -1.210  -0.327 -1.103  -0.093 -0.999  0.112 -0.866  0.337 -0.743  0.560 -0.633  0.801 -0.673  0.951 -0.844  1.120 -1.013  1.246 -1.218
3#app#app07#app0749/E  1.743 1.128  1.632 1.201  1.447 1.201  1.263 1.201  1.088 1.165  0.917 1.096  0.743 1.037  0.568 0.979  0.393 0.921  0.236 0.827  0.073 0.747  -0.106 0.703  -0.248 0.593  -0.393 0.481  -0.541 0.372  -0.671 0.242  -0.775 0.093  -0.876 -0.055  -0.876 -0.239  -0.808 -0.395  -0.720 -0.555  -0.634 -0.690  -0.485 -0.781  -0.332 -0.883  -0.156 -0.909  -0.002 -0.981  0.171 -1.010  0.337 -1.054  0.521 -1.054  0.466 -0.998  0.302 -0.915  0.137 -0.833  -0.028 -0.751  -0.193 -0.668  -0.357 -0.586  -0.522 -0.503  -0.687 -0.421  -0.852 -0.339  -1.016 -0.256  -0.927 -0.134  -0.762 -0.051  -0.590 -0.002  -0.415 0.037  -0.261 0.110  -0.076 0.110  0.096 0.160  0.275 0.183  0.459 0.183  0.643 0.183  0.797 0.110
3#apa#apa00#app0070/E  -0.384 1.250  -0.302 1.140  -0.384 0.962  -0.398 0.756  -0.481 0.578  -0.562 0.399  -0.577 0.194  -0.671 0.004  -0.673 -0.208  -0.673 -0.420  -0.770 -0.592  -0.770 -0.804  -0.770 -1.016  -0.770 -1.229  -0.609 -1.188  -0.409 -1.156  -0.197 -1.156  -0.025 -1.060  0.187 -1.060  0.398 -1.054  0.588 -0.964  0.801 -0.964  1.013 -0.964  1.156 -0.895  0.991 -0.785  0.801 -0.690  0.611 -0.595  0.422 -0.501  0.232 -0.406  0.042 -0.311  -0.148 -0.216  -0.337 -0.121  -0.288 -0.034  -0.109 -0.001  0.073 0.071  0.275 0.095  0.486 0.099  0.524 0.251  0.381 0.408  0.238 0.565  0.096 0.722  -0.047 0.879  -0.190 1.036  -0.332 1.193  -0.250 1.250  -0.038 1.250  0.174 1.250  0.347 1.347  0.559 1.347  0.771 1.347
