2#tos#f1#f1041060/!  0.407 1.436  0.375 1.500  0.323 1.533  0.268 1.490  0.262 1.421  0.245 1.353  0.213 1.288  0.180 1.224  0.166 1.155  0.166 1.083  0.166 1.011  0.166 0.939  0.152 0.869  0.125 0.802  0.098 0.735  0.071 0.668  0.069 0.597  0.069 0.525  0.069 0.452  0.069 0.380  0.069 0.308  0.069 0.236  0.031 0.177  -0.012 0.119  -0.056 0.061  -0.076 -0.004  -0.076 -0.076  -0.076 -0.148  -0.076 -0.220  -0.076 -0.293  -0.076 -0.365  -0.076 -0.437  -0.076 -0.509  -0.076 -0.581  -0.089 -0.652  -0.105 -0.722  -0.122 -0.792  -0.138 -0.862  -0.154 -0.933  -0.170 -1.003  -0.187 -1.073  -0.203 -1.144  -0.219 -1.214  -0.221 -1.286  -0.238 -1.354  -0.270 -1.419  -0.270 -1.491  -0.270 -1.563  -0.245 -1.610  -0.173 -1.610
2#tos#f1#f1041060/{  0.455 1.465  0.455 1.366  0.358 1.363  0.259 1.363  0.160 1.363  0.073 1.336  0.003 1.266  -0.090 1.243  -0.154 1.184  -0.179 1.110  -0.255 1.087  -0.255 0.988  -0.225 0.897  -0.205 0.802  -0.205 0.703  -0.156 0.653  -0.057 0.653  -0.052 0.559  -0.052 0.460  -0.052 0.361  -0.018 0.287  0.076 0.255  0.100 0.174  0.100 0.075  0.100 -0.024  0.084 -0.108  -0.013 -0.114  -0.102 -0.158  -0.201 -0.159  -0.211 -0.159  -0.135 -0.196  -0.084 -0.279  -0.052 -0.365  -0.006 -0.436  0.049 -0.501  0.049 -0.600  0.049 -0.699  0.049 -0.797  0.049 -0.896  -0.002 -0.945  -0.002 -1.044  -0.002 -1.143  -0.002 -1.242  -0.002 -1.341  -0.002 -1.440  -0.002 -1.539  -0.002 -1.637  0.003 -1.731  0.102 -1.731  0.201 -1.731
2#tos#f1#f1041060/|  0.251 1.436  0.176 1.436  0.101 1.436  0.026 1.436  -0.050 1.436  -0.121 1.432  -0.121 1.356  -0.121 1.281  -0.121 1.206  -0.121 1.131  -0.121 1.055  -0.121 0.980  -0.121 0.905  -0.121 0.830  -0.121 0.754  -0.121 0.679  -0.125 0.605  -0.149 0.533  -0.173 0.462  -0.195 0.390  -0.195 0.315  -0.195 0.240  -0.195 0.164  -0.192 0.090  -0.163 0.021  -0.133 -0.049  -0.103 -0.118  -0.074 -0.187  -0.044 -0.256  -0.014 -0.325  0.015 -0.394  0.045 -0.464  0.075 -0.533  0.104 -0.602  0.134 -0.671  0.164 -0.740  0.193 -0.809  0.223 -0.879  0.251 -0.948  0.251 -1.023  0.247 -1.094  0.175 -1.099  0.151 -1.170  0.128 -1.242  0.104 -1.313  0.103 -1.388  0.103 -1.464  0.103 -1.539  0.103 -1.614  0.103 -1.689
2#tos#f1#f1041060/~  -1.023 -0.041  -1.121 -0.041  -1.196 -0.064  -1.196 -0.163  -1.196 -0.261  -1.196 -0.243  -1.196 -0.145  -1.196 -0.046  -1.108 -0.012  -1.015 0.019  -0.936 0.061  -0.936 0.160  -0.936 0.258  -0.885 0.306  -0.850 0.368  -0.775 0.392  -0.677 0.392  -0.665 0.479  -0.574 0.495  -0.504 0.564  -0.406 0.566  -0.308 0.566  -0.210 0.566  -0.111 0.566  -0.013 0.566  0.048 0.505  0.092 0.417  0.154 0.342  0.224 0.272  0.277 0.196  0.308 0.117  0.396 0.073  0.477 0.019  0.537 -0.054  0.537 -0.152  0.569 -0.231  0.657 -0.275  0.745 -0.319  0.833 -0.363  0.913 -0.417  0.971 -0.492  1.000 -0.561  1.098 -0.561  1.196 -0.561  1.295 -0.561  1.393 -0.561  1.491 -0.561  1.590 -0.561  1.681 -0.544  1.751 -0.474
2#tos#f1#f1041060/0  -0.254 0.995  -0.405 0.995  -0.490 0.929  -0.549 0.802  -0.549 0.651  -0.567 0.510  -0.693 0.426  -0.786 0.352  -0.786 0.201  -0.786 0.050  -0.786 -0.101  -0.786 -0.252  -0.786 -0.404  -0.786 -0.555  -0.727 -0.647  -0.727 -0.798  -0.703 -0.943  -0.608 -1.054  -0.484 -1.139  -0.354 -1.192  -0.203 -1.192  -0.052 -1.192  0.040 -1.133  0.191 -1.133  0.298 -1.072  0.365 -0.956  0.515 -0.954  0.552 -0.807  0.616 -0.677  0.692 -0.591  0.692 -0.440  0.692 -0.289  0.741 -0.187  0.869 -0.164  0.869 -0.013  0.869 0.138  0.869 0.289  0.869 0.440  0.820 0.571  0.714 0.678  0.665 0.813  0.612 0.936  0.460 0.936  0.325 0.961  0.231 1.054  0.104 1.110  -0.046 1.113  -0.135 1.034  -0.254 0.969  -0.372 0.936
2#tos#f1#f1041060/2  -0.184 0.931  -0.346 0.931  -0.508 0.931  -0.465 1.001  -0.350 1.113  -0.199 1.140  -0.038 1.140  0.124 1.140  0.286 1.140  0.372 1.065  0.372 0.903  0.372 0.742  0.372 0.580  0.361 0.421  0.303 0.273  0.303 0.111  0.296 -0.043  0.146 -0.067  0.049 -0.196  -0.049 -0.324  -0.192 -0.399  -0.328 -0.461  -0.490 -0.461  -0.651 -0.461  -0.813 -0.461  -0.975 -0.461  -1.136 -0.461  -1.298 -0.461  -1.437 -0.439  -1.323 -0.391  -1.161 -0.391  -0.999 -0.391  -0.838 -0.391  -0.676 -0.391  -0.514 -0.391  -0.353 -0.391  -0.191 -0.391  -0.030 -0.391  0.132 -0.391  0.294 -0.391  0.452 -0.421  0.611 -0.453  0.772 -0.461  0.933 -0.461  1.095 -0.461  1.257 -0.461  1.418 -0.461  1.580 -0.461  1.742 -0.461  1.903 -0.461
2#tos#f1#f1041060/3  -0.342 1.135  -0.486 1.146  -0.465 1.286  -0.318 1.335  -0.166 1.351  -0.011 1.351  0.143 1.351  0.298 1.351  0.448 1.346  0.448 1.191  0.460 1.039  0.520 0.899  0.520 0.744  0.520 0.589  0.472 0.465  0.376 0.369  0.327 0.240  0.198 0.155  0.063 0.081  -0.076 0.011  -0.224 -0.014  -0.379 -0.014  -0.534 -0.014  -0.688 -0.014  -0.559 -0.014  -0.486 0.067  -0.394 0.130  -0.239 0.130  -0.084 0.130  0.070 0.130  0.225 0.130  0.328 0.058  0.378 -0.088  0.447 -0.227  0.448 -0.381  0.448 -0.536  0.448 -0.691  0.376 -0.816  0.376 -0.970  0.343 -1.092  0.188 -1.092  0.161 -1.219  0.022 -1.235  -0.132 -1.235  -0.287 -1.235  -0.402 -1.315  -0.495 -1.439  -0.607 -1.523  -0.762 -1.523  -0.917 -1.523
2#tos#f1#f1041060/6  1.108 1.453  1.012 1.485  0.947 1.548  0.818 1.548  0.723 1.481  0.646 1.378  0.543 1.305  0.432 1.238  0.346 1.147  0.279 1.038  0.221 0.923  0.133 0.835  0.027 0.763  -0.080 0.692  -0.103 0.573  -0.185 0.474  -0.268 0.376  -0.347 0.274  -0.418 0.168  -0.435 0.044  -0.502 -0.066  -0.568 -0.176  -0.645 -0.279  -0.710 -0.386  -0.710 -0.515  -0.710 -0.643  -0.710 -0.772  -0.701 -0.894  -0.579 -0.935  -0.548 -1.041  -0.426 -1.081  -0.308 -1.130  -0.180 -1.130  -0.051 -1.130  0.077 -1.130  0.149 -1.039  0.273 -1.010  0.391 -0.979  0.391 -0.850  0.391 -0.721  0.380 -0.599  0.295 -0.523  0.295 -0.395  0.207 -0.321  0.083 -0.288  0.008 -0.218  -0.077 -0.174  -0.199 -0.158  -0.294 -0.078  -0.423 -0.078
2#tos#f1#f1041060/A  0.655 1.315  0.539 1.288  0.348 1.097  0.188 0.881  0.046 0.651  -0.068 0.415  -0.152 0.181  -0.394 0.060  -0.558 -0.145  -0.585 -0.408  -0.699 -0.646  -0.864 -0.860  -0.961 -1.108  -1.083 -1.347  -1.161 -1.567  -1.093 -1.573  -0.963 -1.336  -0.833 -1.099  -0.703 -0.862  -0.573 -0.626  -0.443 -0.389  -0.313 -0.152  -0.182 0.085  -0.052 0.322  0.078 0.559  0.208 0.796  0.338 1.033  0.468 1.270  0.588 1.492  0.642 1.252  0.666 0.985  0.699 0.718  0.743 0.453  0.794 0.195  0.832 -0.067  0.832 -0.337  0.832 -0.607  0.876 -0.867  0.742 -0.803  0.555 -0.608  0.368 -0.413  0.181 -0.218  -0.006 -0.023  -0.215 0.120  -0.485 0.120  -0.503 0.120  -0.233 0.120  0.033 0.163  0.303 0.164  0.566 0.208
2#tos#f1#f1041060/I  -0.071 1.178  -0.177 1.178  -0.282 1.178  -0.388 1.178  -0.318 1.178  -0.213 1.178  -0.107 1.178  -0.002 1.178  0.104 1.178  0.209 1.178  0.300 1.141  0.398 1.122  0.431 1.050  0.364 1.011  0.259 1.011  0.153 1.011  0.119 0.912  0.096 0.810  0.091 0.705  0.070 0.601  0.049 0.498  0.040 0.393  0.040 0.288  0.040 0.182  0.040 0.077  0.040 -0.029  0.040 -0.135  0.040 -0.240  0.040 -0.346  0.062 -0.448  0.095 -0.548  0.096 -0.653  0.096 -0.759  0.096 -0.864  0.128 -0.900  0.037 -0.955  -0.054 -1.009  -0.144 -1.063  -0.235 -1.118  -0.325 -1.172  -0.417 -1.220  -0.512 -1.220  -0.407 -1.220  -0.301 -1.220  -0.195 -1.220  -0.090 -1.220  0.016 -1.220  0.113 -1.257  0.214 -1.276  0.319 -1.276
2#tos#f1#f1041060/J  -0.701 0.572  -0.837 0.572  -0.973 0.572  -1.097 0.572  -0.961 0.572  -0.825 0.572  -0.689 0.572  -0.553 0.572  -0.417 0.572  -0.281 0.572  -0.145 0.572  -0.009 0.572  0.127 0.572  0.263 0.572  0.392 0.607  0.519 0.652  0.655 0.652  0.789 0.656  0.910 0.692  1.046 0.692  1.182 0.692  1.059 0.668  0.926 0.642  0.792 0.616  0.659 0.590  0.525 0.565  0.392 0.539  0.258 0.513  0.143 0.473  0.143 0.337  0.143 0.201  0.143 0.065  0.143 -0.071  0.143 -0.207  0.143 -0.343  0.143 -0.479  0.143 -0.615  0.143 -0.751  0.143 -0.887  0.113 -1.015  0.008 -1.099  -0.063 -1.202  -0.160 -1.298  -0.245 -1.374  -0.374 -1.415  -0.505 -1.437  -0.641 -1.437  -0.777 -1.437  -0.912 -1.433  -1.022 -1.357
2#tos#f1#f1041060/O  -0.139 0.820  -0.187 0.914  -0.329 0.913  -0.457 0.849  -0.558 0.756  -0.645 0.644  -0.704 0.526  -0.704 0.384  -0.758 0.275  -0.798 0.157  -0.798 0.015  -0.798 -0.127  -0.798 -0.270  -0.766 -0.407  -0.751 -0.547  -0.751 -0.689  -0.682 -0.803  -0.657 -0.935  -0.567 -1.029  -0.449 -1.108  -0.322 -1.158  -0.179 -1.158  -0.037 -1.158  0.105 -1.158  0.248 -1.158  0.385 -1.124  0.496 -1.041  0.597 -0.940  0.697 -0.839  0.708 -0.702  0.765 -0.583  0.803 -0.456  0.803 -0.314  0.803 -0.171  0.803 -0.029  0.847 0.106  0.850 0.248  0.850 0.391  0.774 0.510  0.747 0.644  0.668 0.763  0.603 0.879  0.497 0.973  0.370 1.036  0.232 1.055  0.090 1.055  -0.053 1.055  -0.195 1.055  -0.280 0.962  -0.375 0.914
2#tos#f1#f1041060/P  -0.087 1.300  -0.277 1.387  -0.277 1.167  -0.277 0.947  -0.277 0.727  -0.277 0.507  -0.324 0.295  -0.324 0.075  -0.324 -0.144  -0.324 -0.364  -0.324 -0.584  -0.324 -0.804  -0.283 -1.014  -0.277 -1.232  -0.229 -1.433  -0.198 -1.643  -0.134 -1.844  -0.138 -1.697  -0.142 -1.477  -0.146 -1.257  -0.149 -1.038  -0.153 -0.818  -0.157 -0.598  -0.161 -0.378  -0.165 -0.158  -0.169 0.062  -0.173 0.281  -0.177 0.501  -0.181 0.721  -0.182 0.941  -0.280 1.062  -0.372 1.191  -0.213 1.252  0.007 1.252  0.225 1.237  0.418 1.160  0.544 0.980  0.710 0.872  0.864 0.769  0.910 0.554  0.910 0.334  0.899 0.116  0.849 -0.095  0.715 -0.269  0.530 -0.374  0.345 -0.409  0.200 -0.549  -0.019 -0.551  -0.239 -0.551  -0.372 -0.409
2#tos#f1#f1041060/R  -0.021 1.298  -0.150 1.397  -0.159 1.143  -0.193 0.894  -0.276 0.659  -0.279 0.404  -0.279 0.149  -0.279 -0.106  -0.279 -0.361  -0.279 -0.616  -0.279 -0.871  -0.279 -1.126  -0.279 -1.381  -0.236 -1.571  -0.247 -1.316  -0.258 -1.061  -0.269 -0.806  -0.280 -0.551  -0.291 -0.297  -0.301 -0.042  -0.312 0.213  -0.322 0.468  -0.382 0.705  -0.451 0.918  -0.418 1.159  -0.303 1.369  -0.102 1.470  0.153 1.470  0.404 1.439  0.536 1.256  0.710 1.073  0.773 0.828  0.796 0.579  0.753 0.329  0.628 0.140  0.465 -0.009  0.266 -0.154  0.079 -0.307  -0.159 -0.378  -0.414 -0.378  -0.583 -0.292  -0.451 -0.249  -0.241 -0.364  -0.058 -0.537  0.118 -0.710  0.277 -0.892  0.486 -1.038  0.681 -1.200  0.887 -1.336  1.096 -1.410
2#tos#f1#f1041060/V  -0.487 1.412  -0.590 1.441  -0.590 1.353  -0.590 1.221  -0.590 1.089  -0.590 0.957  -0.590 0.825  -0.557 0.698  -0.539 0.569  -0.539 0.437  -0.539 0.305  -0.534 0.175  -0.441 0.081  -0.347 -0.012  -0.333 -0.138  -0.333 -0.270  -0.333 -0.402  -0.333 -0.534  -0.326 -0.665  -0.284 -0.791  -0.282 -0.922  -0.282 -1.054  -0.251 -1.155  -0.231 -1.267  -0.231 -1.399  -0.111 -1.412  0.021 -1.412  0.096 -1.306  0.129 -1.184  0.129 -1.052  0.129 -0.920  0.170 -0.796  0.219 -0.673  0.286 -0.560  0.334 -0.443  0.334 -0.310  0.334 -0.178  0.348 -0.050  0.407 0.068  0.470 0.184  0.538 0.297  0.600 0.413  0.642 0.539  0.642 0.671  0.730 0.759  0.835 0.838  0.847 0.964  0.847 1.096  0.869 1.206  0.899 1.309
2#tos#f1#f1041060/W  -1.089 0.744  -1.178 0.852  -1.096 0.966  -1.001 0.812  -0.974 0.621  -0.954 0.428  -0.900 0.239  -0.868 0.046  -0.868 -0.150  -0.868 -0.346  -0.823 -0.507  -0.691 -0.600  -0.691 -0.796  -0.602 -0.904  -0.548 -1.072  -0.481 -0.917  -0.457 -0.726  -0.425 -0.535  -0.425 -0.338  -0.319 -0.178  -0.284 0.008  -0.192 0.180  -0.159 0.363  -0.134 0.548  -0.078 0.700  0.066 0.645  0.106 0.455  0.106 0.259  0.106 0.063  0.151 -0.120  0.195 -0.303  0.195 -0.499  0.195 -0.695  0.239 -0.873  0.328 -1.033  0.452 -0.992  0.591 -0.853  0.638 -0.676  0.651 -0.487  0.787 -0.358  0.815 -0.166  0.918 -0.009  0.973 0.179  1.057 0.354  1.081 0.543  1.125 0.720  1.218 0.889  1.327 1.010  1.347 1.186  1.435 1.320
2#tos#f1#f1041060/Y  -0.947 0.999  -0.964 0.999  -0.903 0.866  -0.903 0.706  -0.858 0.565  -0.858 0.405  -0.738 0.320  -0.638 0.205  -0.578 0.061  -0.461 -0.036  -0.375 -0.134  -0.284 -0.242  -0.183 -0.326  -0.023 -0.326  0.101 -0.234  0.198 -0.108  0.297 0.013  0.341 0.163  0.436 0.272  0.469 0.427  0.582 0.540  0.616 0.690  0.676 0.838  0.791 0.944  0.864 1.067  0.915 1.175  0.950 1.111  0.857 0.981  0.764 0.851  0.672 0.721  0.579 0.591  0.486 0.461  0.393 0.331  0.300 0.201  0.207 0.071  0.114 -0.059  0.022 -0.189  -0.071 -0.319  -0.205 -0.370  -0.240 -0.495  -0.240 -0.654  -0.240 -0.814  -0.240 -0.974  -0.240 -1.134  -0.240 -1.293  -0.240 -1.453  -0.240 -1.613  -0.240 -1.773  -0.240 -1.933  -0.240 -2.092
