2#app#app41#app4103/1  0.471 1.497  0.471 1.422  0.471 1.346  0.471 1.270  0.471 1.194  0.417 1.172  0.341 1.172  0.266 1.172  0.190 1.172  0.145 1.141  0.145 1.065  0.145 0.989  0.145 0.913  0.145 0.838  0.145 0.762  0.145 0.686  0.145 0.610  0.145 0.535  0.101 0.477  0.047 0.424  -0.006 0.370  -0.060 0.316  -0.113 0.263  -0.167 0.209  -0.180 0.139  -0.180 0.063  -0.180 -0.013  -0.180 -0.088  -0.180 -0.164  -0.180 -0.240  -0.180 -0.316  -0.180 -0.392  -0.180 -0.467  -0.180 -0.543  -0.180 -0.619  -0.180 -0.695  -0.180 -0.770  -0.180 -0.846  -0.180 -0.922  -0.180 -0.998  -0.180 -1.073  -0.180 -1.149  -0.180 -1.225  -0.180 -1.301  -0.180 -1.377  -0.180 -1.452  -0.180 -1.528  -0.180 -1.604  -0.180 -1.680  -0.180 -1.755
2#app#app41#app4103/a  0.537 0.226  0.537 0.423  0.481 0.598  0.341 0.737  0.193 0.857  -0.005 0.857  -0.095 0.964  -0.095 1.162  -0.281 1.173  -0.411 1.105  -0.411 0.907  -0.558 0.857  -0.747 0.836  -0.887 0.697  -1.027 0.557  -1.042 0.366  -1.042 0.168  -1.042 -0.029  -1.042 -0.227  -1.042 -0.425  -1.042 -0.622  -0.944 -0.722  -0.747 -0.722  -0.726 -0.899  -0.667 -1.038  -0.470 -1.038  -0.411 -0.899  -0.390 -0.722  -0.193 -0.722  -0.095 -0.622  -0.095 -0.425  0.032 -0.279  0.171 -0.140  0.221 0.037  0.221 0.235  0.221 0.433  0.310 0.541  0.507 0.541  0.537 0.373  0.537 0.176  0.537 -0.022  0.628 -0.181  0.768 -0.321  0.853 -0.484  0.853 -0.681  1.010 -0.722  1.207 -0.722  1.405 -0.722  1.602 -0.722  1.800 -0.722
2#app#app41#app4103/r  -0.628 0.896  -0.628 0.763  -0.628 0.630  -0.628 0.497  -0.523 0.469  -0.390 0.469  -0.257 0.469  -0.254 0.415  -0.348 0.321  -0.442 0.227  -0.536 0.133  -0.628 0.038  -0.628 -0.095  -0.628 -0.228  -0.628 -0.361  -0.628 -0.494  -0.628 -0.627  -0.628 -0.760  -0.628 -0.893  -0.628 -1.026  -0.628 -1.159  -0.577 -1.241  -0.444 -1.241  -0.311 -1.241  -0.184 -1.226  -0.090 -1.132  0.004 -1.038  0.098 -0.944  0.192 -0.850  0.286 -0.756  0.380 -0.662  0.474 -0.568  0.568 -0.473  0.655 -0.377  0.655 -0.244  0.655 -0.111  0.655 0.022  0.655 0.155  0.655 0.288  0.655 0.421  0.655 0.554  0.655 0.687  0.655 0.820  0.655 0.953  0.655 1.086  0.655 1.220  0.655 1.353  0.655 1.486  0.655 1.619  0.655 1.752
2#app#app41#app4103/e  -0.662 0.160  -0.540 0.038  -0.418 -0.083  -0.286 -0.180  -0.114 -0.180  0.059 -0.180  0.231 -0.180  0.358 -0.135  0.358 0.038  0.408 0.160  0.580 0.160  0.698 0.215  0.698 0.387  0.757 0.500  0.930 0.500  1.039 0.564  1.039 0.736  0.991 0.889  0.869 1.011  0.747 1.132  0.595 1.181  0.422 1.181  0.250 1.181  0.077 1.181  0.018 1.068  0.018 0.895  -0.099 0.841  -0.272 0.841  -0.322 0.718  -0.322 0.546  -0.322 0.374  -0.322 0.201  -0.453 0.160  -0.626 0.160  -0.662 0.024  -0.662 -0.148  -0.662 -0.320  -0.662 -0.493  -0.662 -0.665  -0.662 -0.837  -0.662 -1.010  -0.662 -1.182  -0.508 -1.200  -0.336 -1.200  -0.322 -1.359  -0.322 -1.531  -0.159 -1.540  0.014 -1.540  0.186 -1.540  0.358 -1.540
2#app#app41#app4103/^  -0.652 -0.587  -0.652 -0.734  -0.652 -0.881  -0.652 -1.029  -0.652 -1.176  -0.652 -1.323  -0.652 -1.471  -0.652 -1.559  -0.652 -1.411  -0.652 -1.264  -0.652 -1.117  -0.652 -0.969  -0.652 -0.822  -0.652 -0.675  -0.610 -0.545  -0.506 -0.440  -0.402 -0.336  -0.297 -0.232  -0.193 -0.128  -0.151 0.002  -0.151 0.149  -0.151 0.297  -0.151 0.444  -0.151 0.591  -0.151 0.739  -0.151 0.886  -0.034 0.916  0.114 0.916  0.261 0.916  0.350 0.974  0.350 1.122  0.350 1.269  0.350 1.417  0.350 1.270  0.350 1.123  0.350 0.975  0.350 0.828  0.350 0.681  0.350 0.533  0.379 0.415  0.526 0.415  0.674 0.415  0.821 0.415  0.851 0.298  0.851 0.150  0.851 0.003  0.851 -0.145  0.851 -0.292  0.851 -0.439  0.851 -0.587
2#app#app41#app4103/u  -1.089 1.448  -1.089 1.286  -1.089 1.124  -1.089 0.962  -1.089 0.800  -1.089 0.637  -1.089 0.475  -1.089 0.313  -1.089 0.151  -1.059 0.001  -0.944 -0.113  -0.829 -0.228  -0.715 -0.343  -0.617 -0.464  -0.617 -0.626  -0.617 -0.788  -0.579 -0.912  -0.417 -0.912  -0.254 -0.912  -0.108 -0.875  0.007 -0.761  0.122 -0.646  0.236 -0.531  0.327 -0.407  0.327 -0.245  0.327 -0.083  0.327 0.079  0.327 0.242  0.327 0.404  0.327 0.566  0.327 0.728  0.327 0.890  0.327 0.900  0.327 0.738  0.327 0.575  0.418 0.504  0.580 0.504  0.742 0.504  0.799 0.399  0.799 0.237  0.799 0.075  0.799 -0.087  0.799 -0.250  0.799 -0.412  0.799 -0.574  0.799 -0.736  0.799 -0.898  0.947 -0.912  1.109 -0.912  1.272 -0.912
2#app#app41#app4103/n  -0.873 0.358  -0.873 0.191  -0.873 0.023  -0.873 -0.144  -0.873 -0.312  -0.873 -0.479  -0.873 -0.647  -0.873 -0.814  -0.873 -0.982  -0.873 -1.150  -0.873 -1.317  -0.830 -1.379  -0.711 -1.260  -0.593 -1.142  -0.474 -1.023  -0.356 -0.905  -0.280 -0.769  -0.280 -0.601  -0.280 -0.434  -0.280 -0.266  -0.183 -0.139  -0.065 -0.020  0.054 0.098  0.172 0.217  0.291 0.335  0.314 0.493  0.314 0.661  0.314 0.828  0.314 0.996  0.314 1.163  0.314 1.331  0.314 1.498  0.314 1.425  0.314 1.258  0.314 1.090  0.314 0.923  0.314 0.755  0.314 0.588  0.314 0.420  0.420 0.358  0.587 0.358  0.755 0.358  0.908 0.344  0.908 0.176  0.908 0.009  0.908 -0.159  0.908 -0.326  0.908 -0.494  0.908 -0.661  0.908 -0.829
2#app#app41#app4103/d  0.242 -0.720  0.242 -0.527  0.072 -0.504  0.027 -0.356  -0.098 -0.289  -0.291 -0.289  -0.484 -0.289  -0.660 -0.330  -0.796 -0.467  -0.834 -0.644  -0.834 -0.837  -0.834 -1.029  -0.834 -1.222  -0.784 -1.365  -0.591 -1.365  -0.399 -1.365  -0.206 -1.365  -0.064 -1.241  0.027 -1.086  0.056 -0.906  0.193 -0.769  0.242 -0.597  0.242 -0.404  0.242 -0.212  0.242 -0.019  0.242 0.174  0.242 0.367  0.242 0.560  0.242 0.753  0.242 0.945  0.242 1.138  0.242 1.331  0.178 1.497  0.042 1.634  0.027 1.820  0.027 1.714  0.027 1.521  0.027 1.328  0.027 1.135  0.027 0.943  0.027 0.750  0.042 0.572  0.235 0.572  0.325 0.406  0.411 0.234  0.458 0.052  0.458 -0.141  0.502 -0.289  0.673 -0.311  0.673 -0.504
2#app#app41#app4103/e  -1.085 0.264  -0.959 0.137  -0.833 0.011  -0.706 -0.115  -0.550 -0.169  -0.371 -0.169  -0.192 -0.169  -0.014 -0.169  0.165 -0.169  0.212 -0.037  0.212 0.141  0.269 0.264  0.447 0.264  0.626 0.264  0.758 0.377  0.884 0.503  1.011 0.629  1.077 0.780  1.077 0.959  1.068 1.129  0.890 1.129  0.711 1.129  0.532 1.129  0.354 1.129  0.212 1.091  0.212 0.913  0.212 0.734  0.071 0.696  -0.107 0.696  -0.220 0.631  -0.220 0.452  -0.220 0.273  -0.389 0.264  -0.568 0.264  -0.653 0.170  -0.653 -0.009  -0.653 -0.188  -0.653 -0.366  -0.653 -0.545  -0.566 -0.688  -0.440 -0.814  -0.313 -0.941  -0.220 -1.081  -0.220 -1.259  -0.220 -1.438  -0.070 -1.466  0.109 -1.466  0.212 -1.542  0.212 -1.720  0.212 -1.899
2#app#app41#app4103/f  1.100 0.985  1.002 1.082  0.920 1.187  0.920 1.325  0.802 1.344  0.664 1.344  0.526 1.344  0.388 1.344  0.250 1.344  0.112 1.344  0.023 1.294  0.017 1.158  -0.080 1.061  -0.156 0.954  -0.156 0.816  -0.156 0.678  -0.217 0.566  -0.314 0.468  -0.336 0.339  -0.336 0.201  -0.336 0.063  -0.336 -0.075  -0.336 -0.213  -0.279 -0.328  -0.181 -0.425  -0.156 -0.553  -0.156 -0.691  -0.156 -0.829  -0.156 -0.967  -0.074 -1.071  0.023 -1.169  0.023 -1.307  0.023 -1.445  0.001 -1.476  -0.053 -1.349  -0.107 -1.222  -0.162 -1.095  -0.216 -0.968  -0.270 -0.842  -0.325 -0.715  -0.379 -0.588  -0.433 -0.461  -0.488 -0.334  -0.446 -0.271  -0.308 -0.271  -0.170 -0.271  -0.032 -0.271  0.106 -0.271  0.203 -0.312  0.203 -0.450
2#app#app41#app4103/i  0.867 1.808  0.779 1.720  0.690 1.631  0.601 1.542  0.513 1.454  0.424 1.365  0.335 1.276  0.246 1.187  0.158 1.099  0.082 1.005  0.082 0.879  0.082 0.754  0.082 0.628  0.082 0.503  0.082 0.377  0.082 0.252  -0.029 0.238  -0.155 0.238  -0.280 0.238  -0.406 0.238  -0.531 0.238  -0.657 0.238  -0.703 0.159  -0.703 0.033  -0.703 -0.092  -0.703 -0.218  -0.703 -0.343  -0.703 -0.469  -0.670 -0.580  -0.582 -0.669  -0.493 -0.758  -0.404 -0.847  -0.316 -0.935  -0.227 -1.024  -0.138 -1.113  -0.049 -1.201  0.039 -1.290  0.082 -1.268  0.082 -1.142  0.082 -1.017  0.082 -0.891  0.082 -0.766  0.082 -0.641  0.115 -0.548  0.240 -0.548  0.366 -0.548  0.491 -0.548  0.616 -0.548  0.742 -0.548  0.867 -0.548
2#app#app41#app4103/n  -1.305 1.241  -1.305 1.421  -1.237 1.437  -1.110 1.310  -1.041 1.158  -1.041 0.978  -0.862 0.976  -0.776 0.881  -0.766 0.711  -0.585 0.711  -0.405 0.711  -0.247 0.689  -0.247 0.509  -0.247 0.328  -0.213 0.182  -0.032 0.182  0.018 0.052  0.018 -0.129  0.018 -0.309  0.018 -0.490  0.018 -0.670  0.018 -0.850  -0.092 -0.985  -0.219 -1.113  -0.247 -1.282  -0.247 -1.349  -0.247 -1.168  -0.094 -1.141  0.018 -1.072  0.018 -0.892  0.134 -0.760  0.262 -0.632  0.282 -0.460  0.282 -0.280  0.282 -0.099  0.446 -0.082  0.572 -0.007  0.629 0.164  0.686 0.335  0.743 0.506  0.800 0.677  0.812 0.567  0.812 0.387  0.812 0.206  0.812 0.026  0.812 -0.155  0.812 -0.335  0.812 -0.515  0.812 -0.696  0.812 -0.876
2#app#app41#app4103/e  -0.574 -0.472  -0.427 -0.472  -0.280 -0.472  -0.134 -0.472  0.013 -0.472  0.159 -0.472  0.306 -0.472  0.452 -0.472  0.599 -0.472  0.707 -0.433  0.707 -0.286  0.707 -0.140  0.707 0.007  0.707 0.154  0.707 0.300  0.707 0.447  0.707 0.593  0.707 0.740  0.707 0.887  0.707 1.033  0.707 1.180  0.616 1.236  0.470 1.236  0.323 1.236  0.177 1.236  0.030 1.236  -0.117 1.236  -0.147 1.119  -0.147 0.973  -0.147 0.826  -0.238 0.717  -0.342 0.614  -0.446 0.510  -0.549 0.406  -0.574 0.270  -0.574 0.123  -0.574 -0.023  -0.574 -0.170  -0.574 -0.316  -0.574 -0.463  -0.574 -0.610  -0.574 -0.756  -0.574 -0.903  -0.574 -1.049  -0.574 -1.196  -0.561 -1.338  -0.458 -1.441  -0.354 -1.545  -0.250 -1.648  -0.147 -1.752
2#app#app41#app4103/d  0.324 -0.174  0.139 -0.174  -0.047 -0.174  -0.212 -0.223  -0.343 -0.354  -0.503 -0.417  -0.650 -0.455  -0.650 -0.640  -0.815 -0.661  -0.894 -0.768  -0.894 -0.953  -0.894 -1.139  -0.894 -1.324  -0.776 -1.392  -0.650 -1.331  -0.648 -1.148  -0.463 -1.148  -0.315 -1.056  -0.184 -0.925  -0.163 -0.748  -0.094 -0.592  0.037 -0.460  0.168 -0.329  0.300 -0.198  0.324 -0.023  0.324 0.163  0.324 0.348  0.324 0.534  0.324 0.719  0.324 0.905  0.324 1.090  0.324 1.276  0.324 1.461  0.243 1.613  0.112 1.744  0.081 1.634  0.081 1.448  0.081 1.263  0.081 1.077  0.189 0.936  0.320 0.805  0.324 0.622  0.324 0.436  0.369 0.269  0.500 0.138  0.568 -0.020  0.590 -0.196  0.721 -0.327  0.811 -0.475  0.811 -0.661
2#app#app41#app4103/^  -0.848 0.468  -0.848 0.322  -0.848 0.177  -0.848 0.032  -0.848 -0.114  -0.848 -0.259  -0.848 -0.404  -0.848 -0.550  -0.848 -0.695  -0.848 -0.840  -0.848 -0.985  -0.848 -1.131  -0.848 -1.119  -0.848 -0.974  -0.848 -0.828  -0.848 -0.683  -0.774 -0.568  -0.671 -0.466  -0.568 -0.363  -0.465 -0.260  -0.363 -0.157  -0.293 -0.041  -0.293 0.104  -0.293 0.250  -0.293 0.395  -0.241 0.519  -0.139 0.622  -0.036 0.725  0.067 0.827  0.170 0.930  0.262 1.008  0.262 0.863  0.262 0.718  0.262 0.572  0.303 0.468  0.448 0.468  0.593 0.468  0.739 0.468  0.817 0.401  0.817 0.256  0.817 0.110  0.817 -0.035  0.910 -0.087  1.056 -0.087  1.201 -0.087  1.346 -0.087  1.492 -0.087  1.637 -0.087  1.782 -0.087  1.928 -0.087
