2#app#app37#app3756/8  0.405 0.556  0.254 0.676  0.103 0.797  -0.048 0.917  -0.218 0.982  -0.411 0.982  -0.599 0.961  -0.772 0.876  -0.965 0.876  -1.089 0.806  -1.089 0.613  -1.060 0.449  -0.867 0.449  -0.674 0.449  -0.500 0.368  -0.353 0.246  -0.164 0.235  -0.016 0.126  0.157 0.039  0.301 -0.087  0.450 -0.191  0.605 -0.285  0.735 -0.426  0.822 -0.598  0.831 -0.789  0.800 -0.969  0.725 -1.131  0.603 -1.274  0.511 -1.429  0.374 -1.503  0.212 -1.578  0.038 -1.532  -0.098 -1.395  -0.235 -1.321  -0.235 -1.128  -0.235 -0.935  -0.235 -0.742  -0.235 -0.549  -0.235 -0.356  -0.175 -0.177  -0.065 -0.021  -0.004 0.147  0.085 0.303  0.153 0.480  0.268 0.632  0.404 0.769  0.443 0.953  0.511 1.130  0.491 1.302  0.298 1.302
2#app#app37#app3756/;  0.135 1.411  0.135 1.483  0.135 1.555  0.135 1.540  0.135 1.468  0.134 1.396  0.129 1.324  0.124 1.252  0.118 1.180  0.113 1.108  0.108 1.036  0.103 0.964  0.098 0.892  0.093 0.820  0.088 0.748  0.082 0.676  0.077 0.604  0.072 0.533  0.067 0.461  0.062 0.389  0.057 0.317  0.052 0.245  0.047 0.173  0.041 0.101  0.036 0.029  0.031 -0.043  0.026 -0.115  0.021 -0.187  0.016 -0.259  0.011 -0.331  0.005 -0.403  0.000 -0.475  -0.005 -0.547  -0.010 -0.619  -0.015 -0.691  -0.020 -0.763  -0.025 -0.835  -0.031 -0.907  -0.036 -0.979  -0.067 -1.039  -0.118 -1.090  -0.169 -1.141  -0.211 -1.196  -0.211 -1.268  -0.211 -1.340  -0.211 -1.412  -0.211 -1.484  -0.239 -1.528  -0.312 -1.528  -0.384 -1.528
2#app#app37#app3756/>  -0.673 1.257  -0.781 1.257  -0.837 1.310  -0.837 1.419  -0.762 1.346  -0.685 1.270  -0.609 1.193  -0.532 1.116  -0.455 1.039  -0.378 0.962  -0.301 0.885  -0.224 0.808  -0.134 0.763  -0.025 0.763  -0.014 0.665  0.015 0.569  0.092 0.492  0.169 0.415  0.246 0.338  0.323 0.261  0.400 0.184  0.477 0.107  0.554 0.030  0.631 -0.047  0.734 -0.060  0.833 -0.084  0.910 -0.161  0.954 -0.224  0.845 -0.224  0.757 -0.275  0.680 -0.352  0.604 -0.429  0.527 -0.506  0.438 -0.554  0.329 -0.554  0.315 -0.648  0.276 -0.718  0.167 -0.718  0.085 -0.783  0.008 -0.860  -0.091 -0.883  -0.194 -0.897  -0.271 -0.974  -0.344 -1.053  -0.344 -1.162  -0.402 -1.212  -0.511 -1.212  -0.620 -1.212  -0.673 -1.268  -0.673 -1.376
2#app#app37#app3756/S  0.735 1.165  0.610 1.165  0.486 1.165  0.361 1.165  0.237 1.165  0.112 1.165  -0.012 1.165  -0.137 1.165  -0.226 1.080  -0.346 1.068  -0.459 1.041  -0.554 0.971  -0.627 0.919  -0.627 0.794  -0.551 0.701  -0.446 0.637  -0.334 0.582  -0.223 0.526  -0.118 0.462  -0.026 0.379  0.085 0.323  0.187 0.254  0.275 0.166  0.363 0.078  0.451 -0.010  0.539 -0.098  0.595 -0.209  0.659 -0.315  0.735 -0.408  0.766 -0.519  0.809 -0.607  0.735 -0.701  0.702 -0.812  0.604 -0.876  0.540 -0.937  0.452 -0.974  0.328 -0.974  0.203 -0.974  0.079 -0.974  -0.046 -0.974  -0.170 -0.974  -0.295 -0.974  -0.419 -0.974  -0.544 -0.974  -0.656 -0.944  -0.752 -0.876  -0.877 -0.876  -1.001 -0.876  -1.093 -0.798  -1.113 -0.682
2#app#app37#app3756/i  0.045 1.174  0.045 1.038  0.045 0.903  0.045 0.767  0.045 0.631  0.045 0.495  0.045 0.359  0.045 0.224  -0.007 0.109  -0.103 0.013  -0.158 -0.100  -0.158 -0.236  -0.158 -0.371  -0.158 -0.507  -0.158 -0.643  -0.158 -0.779  -0.158 -0.915  -0.158 -1.050  -0.158 -1.186  -0.113 -1.303  -0.017 -1.399  0.045 -1.510  0.045 -1.645  0.045 -1.546  0.045 -1.410  0.045 -1.274  0.045 -1.138  0.045 -1.003  0.045 -0.867  0.045 -0.731  0.045 -0.595  0.045 -0.459  0.045 -0.324  0.045 -0.188  0.045 -0.052  0.045 0.084  0.045 0.220  0.045 0.355  0.045 0.491  0.045 0.627  0.045 0.763  0.045 0.899  0.045 1.034  0.045 1.170  0.045 1.306  0.045 1.442  0.045 1.578  0.045 1.713  0.045 1.849  0.045 1.985
2#app#app37#app3756/m  -0.735 0.637  -0.876 0.463  -0.876 0.231  -0.876 -0.001  -0.876 -0.233  -0.876 -0.465  -0.876 -0.697  -0.876 -0.929  -0.876 -0.935  -0.876 -0.703  -0.876 -0.471  -0.876 -0.239  -0.876 -0.007  -0.876 0.225  -0.804 0.427  -0.735 0.631  -0.595 0.804  -0.595 1.036  -0.454 0.988  -0.314 0.896  -0.234 0.697  -0.174 0.490  -0.130 0.269  -0.033 0.060  -0.033 -0.172  -0.033 -0.404  -0.033 -0.636  -0.033 -0.868  -0.033 -0.996  -0.033 -0.764  -0.033 -0.532  -0.033 -0.300  0.064 -0.108  0.129 0.097  0.248 0.280  0.388 0.371  0.464 0.572  0.669 0.637  0.809 0.728  0.992 0.777  1.224 0.777  1.230 0.551  1.356 0.371  1.371 0.145  1.356 -0.080  1.230 -0.260  1.230 -0.492  1.230 -0.724  1.230 -0.956  1.230 -1.188
2#app#app37#app3756/i  0.008 0.544  0.008 0.425  0.008 0.306  0.008 0.187  0.008 0.068  0.008 -0.051  0.008 -0.171  0.008 -0.290  0.008 -0.409  0.008 -0.528  0.008 -0.647  0.008 -0.766  0.008 -0.885  0.008 -1.004  0.008 -1.123  0.008 -1.242  0.008 -1.361  0.008 -1.481  0.008 -1.566  0.008 -1.447  0.008 -1.328  0.008 -1.209  0.008 -1.089  0.008 -0.970  0.008 -0.851  0.008 -0.732  0.008 -0.613  0.008 -0.494  0.008 -0.375  0.008 -0.256  0.008 -0.137  0.008 -0.018  0.008 0.101  0.008 0.221  0.008 0.340  0.008 0.459  0.008 0.578  0.008 0.697  0.008 0.816  0.008 0.935  0.008 1.054  0.008 1.173  0.008 1.292  0.008 1.412  0.008 1.531  0.008 1.650  0.001 1.766  -0.083 1.850  -0.144 1.878  -0.144 1.759
2#app#app37#app3756/l  -0.064 1.829  -0.064 1.746  -0.064 1.663  -0.064 1.580  -0.064 1.498  -0.064 1.415  -0.075 1.335  -0.112 1.261  -0.149 1.187  -0.181 1.112  -0.181 1.029  -0.181 0.946  -0.181 0.863  -0.181 0.780  -0.181 0.698  -0.181 0.615  -0.181 0.532  -0.181 0.449  -0.181 0.366  -0.181 0.284  -0.181 0.201  -0.181 0.118  -0.181 0.035  -0.181 -0.048  -0.181 -0.130  -0.181 -0.213  -0.176 -0.294  -0.118 -0.352  -0.064 -0.413  -0.064 -0.496  -0.064 -0.578  -0.064 -0.661  -0.064 -0.744  -0.016 -0.807  0.042 -0.866  0.054 -0.944  0.054 -1.026  0.054 -1.109  0.054 -1.192  0.099 -1.230  0.181 -1.230  0.264 -1.230  0.289 -1.173  0.305 -1.097  0.364 -1.038  0.429 -0.995  0.512 -0.995  0.525 -0.925  0.560 -0.877  0.642 -0.877
2#app#app37#app3756/a  0.510 1.517  0.313 1.517  0.116 1.517  -0.081 1.517  -0.239 1.422  -0.306 1.253  -0.306 1.056  -0.309 0.860  -0.397 0.683  -0.470 0.503  -0.518 0.326  -0.633 0.177  -0.633 -0.020  -0.633 -0.217  -0.633 -0.414  -0.633 -0.611  -0.633 -0.808  -0.633 -1.005  -0.633 -1.202  -0.633 -1.399  -0.458 -1.421  -0.261 -1.421  -0.143 -1.342  -0.063 -1.178  0.020 -1.015  0.100 -0.851  0.183 -0.689  0.183 -0.492  0.183 -0.295  0.183 -0.098  0.183 0.099  0.183 0.296  0.267 0.459  0.347 0.623  0.347 0.820  0.347 1.017  0.347 1.168  0.347 0.971  0.347 0.774  0.347 0.577  0.347 0.380  0.347 0.183  0.347 -0.014  0.347 -0.211  0.347 -0.408  0.347 -0.605  0.486 -0.744  0.510 -0.931  0.649 -1.071  0.673 -1.258
2#app#app37#app3756/r  -0.245 1.031  -0.245 0.891  -0.245 0.751  -0.245 0.611  -0.245 0.471  -0.245 0.330  -0.245 0.190  -0.245 0.050  -0.245 -0.090  -0.245 -0.230  -0.245 -0.371  -0.245 -0.511  -0.245 -0.651  -0.245 -0.791  -0.245 -0.931  -0.245 -1.071  -0.245 -1.212  -0.245 -1.352  -0.245 -1.492  -0.245 -1.598  -0.245 -1.458  -0.245 -1.318  -0.245 -1.177  -0.245 -1.037  -0.303 -0.911  -0.366 -0.785  -0.392 -0.651  -0.392 -0.511  -0.392 -0.371  -0.392 -0.231  -0.392 -0.091  -0.392 0.050  -0.363 0.178  -0.264 0.277  -0.245 0.409  -0.170 0.518  -0.070 0.618  0.029 0.717  0.128 0.816  0.240 0.884  0.380 0.884  0.520 0.884  0.660 0.884  0.796 0.896  0.895 0.995  1.020 1.031  1.160 1.031  1.278 1.084  1.380 1.179  1.520 1.179
2#app#app37#app3756/?  -0.806 0.527  -0.806 0.638  -0.769 0.712  -0.658 0.712  -0.555 0.745  -0.456 0.795  -0.347 0.805  -0.236 0.805  -0.135 0.828  -0.053 0.897  0.058 0.897  0.169 0.897  0.260 0.945  0.353 0.990  0.464 0.990  0.575 0.990  0.686 0.990  0.768 0.961  0.768 0.850  0.768 0.739  0.708 0.653  0.647 0.562  0.597 0.463  0.527 0.379  0.490 0.283  0.435 0.195  0.357 0.116  0.278 0.038  0.200 -0.041  0.122 -0.119  0.043 -0.198  -0.061 -0.214  -0.141 -0.289  -0.245 -0.306  -0.159 -0.319  -0.172 -0.429  -0.185 -0.539  -0.198 -0.650  -0.211 -0.760  -0.224 -0.870  -0.237 -0.980  -0.250 -1.090  -0.263 -1.201  -0.276 -1.311  -0.289 -1.421  -0.302 -1.531  -0.315 -1.642  -0.328 -1.752  -0.341 -1.862  -0.251 -1.880
