3#apa#apa01#app0113/R  -0.341 1.104  -0.341 0.869  -0.341 0.634  -0.341 0.399  -0.341 0.164  -0.341 -0.071  -0.341 -0.306  -0.320 -0.538  -0.266 -0.766  -0.266 -1.001  -0.192 -1.219  -0.144 -1.443  -0.122 -1.617  -0.162 -1.385  -0.202 -1.154  -0.242 -0.922  -0.281 -0.690  -0.321 -0.459  -0.361 -0.227  -0.400 0.005  -0.440 0.236  -0.480 0.468  -0.520 0.699  -0.559 0.931  -0.520 1.148  -0.354 1.314  -0.139 1.391  0.093 1.402  0.311 1.476  0.476 1.407  0.625 1.320  0.625 1.085  0.546 0.869  0.467 0.649  0.293 0.493  0.104 0.359  -0.020 0.162  -0.186 -0.004  -0.388 -0.084  -0.281 -0.010  -0.046 -0.010  0.114 -0.084  0.269 -0.174  0.435 -0.340  0.555 -0.539  0.681 -0.734  0.804 -0.932  0.970 -1.098  1.084 -1.286  1.145 -1.495
3#apa#apa01#app0113/n  -0.714 1.294  -0.714 1.133  -0.714 0.973  -0.714 0.812  -0.714 0.651  -0.714 0.491  -0.714 0.330  -0.714 0.170  -0.714 0.009  -0.714 -0.152  -0.625 -0.276  -0.591 -0.422  -0.591 -0.583  -0.591 -0.743  -0.520 -0.874  -0.467 -1.013  -0.467 -1.174  -0.467 -1.260  -0.467 -1.099  -0.467 -0.938  -0.467 -0.778  -0.467 -0.617  -0.467 -0.456  -0.467 -0.296  -0.467 -0.135  -0.428 0.016  -0.356 0.160  -0.336 0.314  -0.223 0.428  -0.097 0.464  -0.047 0.604  0.067 0.718  0.180 0.831  0.303 0.924  0.463 0.924  0.624 0.924  0.743 0.824  0.857 0.710  0.890 0.563  0.909 0.411  1.013 0.293  1.013 0.132  1.013 -0.028  1.015 -0.188  1.128 -0.302  1.137 -0.459  1.137 -0.620  1.207 -0.751  1.260 -0.890  1.260 -1.050
3#apa#apa01#app0113/o  0.541 1.033  0.541 1.184  0.392 1.186  0.241 1.186  0.133 1.082  0.002 1.033  -0.149 1.033  -0.221 0.954  -0.276 0.826  -0.386 0.729  -0.525 0.717  -0.533 0.569  -0.639 0.462  -0.746 0.356  -0.830 0.239  -0.830 0.089  -0.830 -0.062  -0.830 -0.213  -0.830 -0.364  -0.830 -0.515  -0.813 -0.659  -0.706 -0.766  -0.567 -0.795  -0.525 -0.903  -0.449 -1.023  -0.330 -1.099  -0.191 -1.129  -0.085 -1.235  0.059 -1.252  0.210 -1.252  0.361 -1.252  0.389 -1.128  0.511 -1.099  0.626 -1.014  0.694 -0.891  0.694 -0.740  0.694 -0.589  0.694 -0.438  0.694 -0.287  0.694 -0.136  0.672 0.009  0.605 0.144  0.538 0.280  0.491 0.423  0.443 0.566  0.395 0.709  0.297 0.821  0.237 0.947  0.191 1.079  0.084 1.186
3#apa#apa01#app0113/n  -0.534 1.507  -0.534 1.326  -0.534 1.145  -0.534 0.964  -0.613 0.802  -0.670 0.635  -0.670 0.454  -0.670 0.273  -0.670 0.092  -0.670 -0.089  -0.670 -0.270  -0.636 -0.437  -0.534 -0.575  -0.534 -0.756  -0.534 -0.937  -0.501 -1.085  -0.397 -1.162  -0.397 -1.343  -0.397 -1.193  -0.397 -1.012  -0.397 -0.831  -0.397 -0.650  -0.397 -0.469  -0.397 -0.288  -0.397 -0.107  -0.349 0.054  -0.261 0.198  -0.261 0.379  -0.255 0.558  -0.127 0.686  0.001 0.813  0.129 0.941  0.257 1.069  0.422 1.094  0.422 0.913  0.515 0.825  0.558 0.687  0.558 0.507  0.558 0.326  0.692 0.279  0.695 0.100  0.695 -0.081  0.787 -0.223  0.831 -0.386  0.947 -0.519  1.075 -0.647  1.107 -0.813  1.240 -0.860  1.332 -0.949  1.513 -0.949
3#apa#apa01#app0113/e  -0.406 -0.132  -0.399 -0.000  -0.304 0.095  -0.180 0.117  -0.078 0.197  0.037 0.242  0.148 0.298  0.254 0.366  0.340 0.414  0.398 0.491  0.465 0.558  0.543 0.615  0.589 0.702  0.589 0.837  0.589 0.971  0.589 1.105  0.463 1.114  0.369 1.209  0.246 1.237  0.112 1.237  -0.023 1.237  -0.121 1.150  -0.157 1.031  -0.222 0.923  -0.282 0.814  -0.324 0.697  -0.406 0.597  -0.406 0.463  -0.406 0.328  -0.440 0.208  -0.531 0.111  -0.531 -0.023  -0.531 -0.157  -0.531 -0.291  -0.511 -0.421  -0.451 -0.541  -0.406 -0.665  -0.406 -0.799  -0.367 -0.917  -0.273 -1.012  -0.178 -1.107  -0.083 -1.202  0.012 -1.297  0.107 -1.392  0.202 -1.487  0.331 -1.501  0.452 -1.556  0.572 -1.616  0.704 -1.625  0.838 -1.625
3#apa#apa01#app0113/d  0.038 -0.841  0.233 -0.797  0.330 -0.656  0.330 -0.417  0.330 -0.179  0.330 0.060  0.281 0.279  0.084 0.379  -0.136 0.425  -0.374 0.425  -0.573 0.328  -0.762 0.209  -0.931 0.040  -1.043 -0.169  -1.131 -0.372  -1.131 -0.610  -1.126 -0.847  -1.026 -1.044  -0.836 -1.184  -0.608 -1.231  -0.421 -1.106  -0.254 -0.936  -0.157 -0.738  -0.091 -0.514  -0.006 -0.292  0.038 -0.060  0.058 0.174  0.135 0.394  0.214 0.601  0.240 0.830  0.330 1.047  0.410 1.267  0.427 1.502  0.427 1.741  0.427 1.793  0.331 1.594  0.330 1.356  0.268 1.143  0.233 0.919  0.233 0.680  0.233 0.441  0.233 0.202  0.233 -0.036  0.328 -0.253  0.330 -0.491  0.427 -0.689  0.489 -0.903  0.589 -1.100  0.773 -1.231  0.914 -1.134
3#apa#apa01#app0113/i  -0.209 0.479  -0.296 0.392  -0.347 0.292  -0.347 0.170  -0.347 0.048  -0.347 -0.074  -0.347 -0.196  -0.347 -0.318  -0.347 -0.440  -0.347 -0.562  -0.347 -0.684  -0.347 -0.806  -0.347 -0.928  -0.341 -1.047  -0.255 -1.133  -0.209 -1.236  -0.168 -1.316  -0.071 -1.291  -0.062 -1.178  0.060 -1.178  0.170 -1.127  0.279 -1.072  0.343 -0.990  0.367 -0.878  0.453 -0.791  0.540 -0.705  0.619 -0.616  0.619 -0.494  0.575 -0.381  0.529 -0.268  0.482 -0.155  0.436 -0.043  0.389 0.070  0.343 0.183  0.296 0.296  0.250 0.408  0.204 0.521  0.157 0.634  0.111 0.747  0.064 0.859  0.018 0.972  -0.029 1.085  -0.075 1.198  -0.121 1.310  -0.168 1.423  -0.214 1.536  -0.261 1.649  -0.307 1.761  -0.347 1.875  -0.347 1.997
3#apa#apa01#app0113/m  -1.200 0.711  -1.200 0.505  -1.089 0.345  -1.089 0.140  -1.089 -0.066  -1.089 -0.271  -1.089 -0.477  -1.089 -0.682  -1.089 -0.888  -0.979 -0.909  -0.885 -0.742  -0.868 -0.543  -0.829 -0.354  -0.758 -0.178  -0.758 0.027  -0.635 0.184  -0.543 0.368  -0.479 0.548  -0.405 0.711  -0.310 0.821  -0.134 0.893  0.015 0.891  0.015 0.686  0.015 0.480  0.015 0.275  0.015 0.069  0.015 -0.136  0.015 -0.342  0.058 -0.504  0.153 -0.615  0.245 -0.495  0.346 -0.332  0.346 -0.126  0.447 0.038  0.514 0.215  0.567 0.399  0.648 0.571  0.731 0.711  0.893 0.816  1.009 0.733  1.009 0.528  1.009 0.322  1.009 0.117  1.009 -0.089  1.095 -0.259  1.138 -0.451  1.203 -0.646  1.238 -0.844  1.383 -0.989  1.451 -1.167
3#apa#apa01#app0113/c  0.323 0.339  0.323 0.218  0.332 0.106  0.454 0.106  0.575 0.106  0.689 0.124  0.774 0.210  0.787 0.325  0.787 0.447  0.787 0.568  0.787 0.689  0.781 0.804  0.671 0.815  0.660 0.932  0.574 1.017  0.488 1.103  0.388 1.152  0.266 1.152  0.163 1.109  0.077 1.023  -0.008 0.938  -0.094 0.852  -0.195 0.804  -0.299 0.763  -0.375 0.673  -0.388 0.557  -0.474 0.472  -0.535 0.368  -0.589 0.259  -0.607 0.143  -0.645 0.030  -0.699 -0.078  -0.723 -0.193  -0.723 -0.315  -0.723 -0.436  -0.723 -0.557  -0.662 -0.653  -0.607 -0.751  -0.607 -0.872  -0.569 -0.978  -0.483 -1.063  -0.397 -1.149  -0.286 -1.172  -0.192 -1.238  -0.106 -1.324  -0.019 -1.408  0.089 -1.462  0.197 -1.516  0.318 -1.520  0.439 -1.520
3#apa#apa01#app0113/o  0.312 0.823  0.312 0.965  0.289 1.083  0.148 1.083  0.006 1.083  -0.135 1.083  -0.207 1.013  -0.288 0.953  -0.402 0.888  -0.502 0.788  -0.602 0.688  -0.702 0.588  -0.802 0.488  -0.902 0.388  -0.986 0.281  -0.986 0.139  -0.986 -0.002  -0.986 -0.143  -0.937 -0.264  -0.856 -0.372  -0.856 -0.514  -0.806 -0.605  -0.682 -0.649  -0.579 -0.743  -0.452 -0.807  -0.328 -0.873  -0.228 -0.973  -0.128 -1.073  -0.008 -1.124  0.133 -1.124  0.275 -1.124  0.416 -1.124  0.558 -1.124  0.572 -0.997  0.670 -0.896  0.702 -0.768  0.778 -0.658  0.832 -0.539  0.832 -0.398  0.832 -0.256  0.800 -0.120  0.755 0.014  0.710 0.148  0.702 0.288  0.702 0.430  0.697 0.569  0.597 0.669  0.572 0.800  0.572 0.941  0.572 1.083
3#apa#apa01#app0113/r  -0.619 0.954  -0.484 0.954  -0.473 0.830  -0.473 0.695  -0.473 0.560  -0.473 0.425  -0.473 0.290  -0.473 0.155  -0.473 0.021  -0.473 -0.114  -0.473 -0.249  -0.473 -0.384  -0.473 -0.519  -0.471 -0.653  -0.375 -0.749  -0.327 -0.864  -0.327 -0.999  -0.327 -1.133  -0.303 -1.259  -0.208 -1.354  -0.181 -1.478  -0.181 -1.440  -0.181 -1.305  -0.181 -1.170  -0.181 -1.035  -0.181 -0.900  -0.181 -0.765  -0.181 -0.630  -0.181 -0.496  -0.181 -0.361  -0.181 -0.226  -0.095 -0.127  -0.035 -0.016  -0.035 0.119  -0.035 0.254  -0.023 0.383  0.073 0.479  0.168 0.574  0.264 0.670  0.359 0.765  0.476 0.808  0.593 0.853  0.688 0.948  0.821 0.954  0.922 1.036  1.030 1.100  1.165 1.100  1.300 1.100  1.435 1.100  1.570 1.100
3#apa#apa01#app0113/n  -0.612 1.203  -0.729 1.076  -0.729 0.901  -0.729 0.726  -0.729 0.550  -0.729 0.375  -0.729 0.200  -0.729 0.024  -0.729 -0.151  -0.729 -0.326  -0.729 -0.501  -0.729 -0.677  -0.729 -0.852  -0.612 -0.911  -0.612 -0.941  -0.612 -0.765  -0.612 -0.590  -0.601 -0.419  -0.496 -0.288  -0.496 -0.112  -0.450 0.056  -0.395 0.222  -0.375 0.394  -0.297 0.551  -0.262 0.718  -0.152 0.847  -0.029 0.903  0.080 0.970  0.138 1.087  0.314 1.087  0.438 1.035  0.438 0.860  0.554 0.801  0.554 0.626  0.538 0.453  0.482 0.287  0.438 0.119  0.438 -0.056  0.438 -0.232  0.438 -0.407  0.545 -0.538  0.554 -0.709  0.659 -0.780  0.717 -0.897  0.862 -0.971  1.020 -1.013  1.195 -1.013  1.370 -1.013  1.546 -1.013  1.604 -0.897
3#apa#apa01#app0113/e  -0.133 -0.092  -0.008 -0.092  0.014 0.010  0.071 0.111  0.159 0.199  0.247 0.287  0.335 0.375  0.423 0.463  0.511 0.551  0.599 0.639  0.600 0.763  0.600 0.888  0.600 1.012  0.600 1.136  0.566 1.226  0.441 1.226  0.317 1.226  0.226 1.145  0.129 1.080  0.005 1.076  -0.106 1.020  -0.217 0.964  -0.279 0.878  -0.303 0.763  -0.391 0.675  -0.426 0.565  -0.463 0.456  -0.551 0.368  -0.572 0.252  -0.572 0.128  -0.572 0.003  -0.572 -0.121  -0.572 -0.245  -0.572 -0.370  -0.495 -0.462  -0.426 -0.558  -0.426 -0.683  -0.426 -0.807  -0.350 -0.900  -0.262 -0.988  -0.174 -1.076  -0.086 -1.164  0.002 -1.252  0.090 -1.340  0.185 -1.411  0.309 -1.413  0.397 -1.501  0.454 -1.602  0.476 -1.704  0.600 -1.704
3#apa#apa01#app0113/r  -0.599 0.556  -0.599 0.694  -0.476 0.709  -0.446 0.602  -0.446 0.464  -0.446 0.326  -0.490 0.206  -0.587 0.109  -0.599 -0.024  -0.599 -0.162  -0.599 -0.300  -0.599 -0.438  -0.556 -0.558  -0.459 -0.656  -0.446 -0.788  -0.446 -0.926  -0.446 -1.064  -0.394 -1.180  -0.296 -1.278  -0.293 -1.414  -0.175 -1.434  -0.140 -1.332  -0.140 -1.194  -0.140 -1.056  -0.140 -0.918  -0.140 -0.780  -0.140 -0.642  -0.140 -0.504  -0.140 -0.366  -0.140 -0.229  -0.140 -0.091  -0.140 0.047  -0.140 0.185  -0.140 0.323  -0.082 0.403  0.013 0.446  0.038 0.569  0.161 0.630  0.285 0.692  0.408 0.754  0.531 0.815  0.658 0.863  0.791 0.874  0.889 0.972  1.008 1.016  1.146 1.016  1.284 1.016  1.422 1.016  1.560 1.016  1.698 1.016
