3#app#app07#app0715/!  -0.009 1.433  -0.009 1.509  -0.009 1.585  -0.009 1.594  -0.009 1.518  -0.009 1.442  -0.009 1.366  -0.009 1.290  -0.009 1.214  -0.009 1.138  -0.009 1.062  -0.009 0.986  -0.009 0.910  -0.009 0.834  -0.009 0.758  -0.009 0.682  -0.009 0.606  -0.009 0.530  -0.009 0.454  -0.009 0.378  -0.009 0.302  -0.009 0.226  -0.009 0.150  -0.009 0.074  -0.009 -0.002  -0.009 -0.078  -0.009 -0.154  -0.009 -0.230  -0.009 -0.306  -0.009 -0.382  -0.009 -0.458  -0.009 -0.534  -0.009 -0.610  -0.009 -0.686  -0.009 -0.762  -0.009 -0.838  -0.009 -0.914  -0.009 -0.990  -0.073 -1.002  -0.106 -1.044  -0.091 -1.114  -0.038 -1.168  0.016 -1.222  0.070 -1.275  0.124 -1.329  0.177 -1.383  0.122 -1.391  0.046 -1.391  0.012 -1.391  0.088 -1.391
3#app#app07#app0715/~  -1.299 -0.375  -1.384 -0.375  -1.403 -0.375  -1.318 -0.375  -1.299 -0.308  -1.289 -0.227  -1.228 -0.167  -1.168 -0.107  -1.086 -0.101  -1.026 -0.076  -1.026 0.009  -0.967 0.035  -0.889 0.043  -0.889 0.128  -0.849 0.172  -0.764 0.172  -0.679 0.172  -0.593 0.172  -0.508 0.172  -0.423 0.172  -0.342 0.168  -0.342 0.083  -0.305 0.035  -0.220 0.035  -0.155 -0.015  -0.095 -0.075  -0.021 -0.101  0.064 -0.101  0.149 -0.101  0.234 -0.101  0.319 -0.101  0.404 -0.101  0.489 -0.101  0.574 -0.101  0.659 -0.101  0.744 -0.101  0.829 -0.101  0.907 -0.083  0.967 -0.023  1.028 0.035  1.113 0.035  1.188 0.061  1.248 0.121  1.312 0.172  1.397 0.172  1.468 0.205  1.528 0.265  1.589 0.325  1.649 0.385  1.709 0.446
3#app#app07#app0715/  -1.622 -0.482  -1.548 -0.482  -1.475 -0.482  -1.402 -0.482  -1.329 -0.482  -1.256 -0.482  -1.183 -0.482  -1.109 -0.482  -1.036 -0.482  -0.982 -0.437  -0.930 -0.385  -0.878 -0.333  -0.827 -0.281  -0.775 -0.230  -0.720 -0.185  -0.647 -0.185  -0.574 -0.185  -0.501 -0.185  -0.428 -0.182  -0.363 -0.150  -0.297 -0.117  -0.232 -0.084  -0.166 -0.052  -0.101 -0.019  -0.036 0.014  0.030 0.047  0.095 0.079  0.161 0.112  0.234 0.112  0.307 0.112  0.380 0.112  0.453 0.112  0.507 0.160  0.558 0.212  0.610 0.264  0.662 0.316  0.714 0.367  0.769 0.410  0.842 0.410  0.916 0.410  0.989 0.410  1.062 0.410  1.135 0.410  1.208 0.410  1.281 0.410  1.355 0.410  1.428 0.410  1.501 0.410  1.574 0.410  1.647 0.410
3#app#app07#app0715/_  -1.475 0.468  -1.475 0.396  -1.475 0.323  -1.446 0.280  -1.373 0.280  -1.301 0.280  -1.245 0.239  -1.194 0.188  -1.143 0.136  -1.089 0.091  -1.017 0.091  -0.944 0.091  -0.872 0.091  -0.799 0.091  -0.727 0.091  -0.674 0.045  -0.623 -0.007  -0.571 -0.058  -0.515 -0.097  -0.443 -0.097  -0.370 -0.097  -0.298 -0.097  -0.226 -0.097  -0.153 -0.097  -0.081 -0.097  -0.008 -0.097  0.064 -0.097  0.137 -0.097  0.209 -0.097  0.282 -0.097  0.354 -0.097  0.426 -0.097  0.499 -0.097  0.571 -0.097  0.644 -0.097  0.716 -0.097  0.789 -0.097  0.861 -0.097  0.934 -0.097  1.006 -0.097  1.078 -0.097  1.151 -0.097  1.223 -0.097  1.296 -0.097  1.368 -0.097  1.441 -0.097  1.513 -0.097  1.586 -0.097  1.658 -0.097  1.731 -0.097
3#app#app07#app0715/+  -1.907 -0.342  -1.733 -0.342  -1.560 -0.342  -1.386 -0.342  -1.212 -0.342  -1.083 -0.234  -0.938 -0.163  -0.765 -0.163  -0.591 -0.163  -0.417 -0.163  -0.243 -0.163  -0.069 -0.163  0.105 -0.163  0.278 -0.163  0.452 -0.163  0.626 -0.163  0.800 -0.163  0.974 -0.163  1.138 -0.173  1.136 -0.338  1.081 -0.173  1.026 -0.008  0.971 0.157  0.916 0.322  0.861 0.487  0.806 0.652  0.751 0.817  0.696 0.982  0.641 1.147  0.600 1.226  0.562 1.091  0.388 1.091  0.222 1.071  0.099 0.948  -0.024 0.825  -0.116 0.689  -0.143 0.527  -0.266 0.404  -0.295 0.242  -0.295 0.068  -0.295 -0.106  -0.295 -0.279  -0.295 -0.453  -0.295 -0.627  -0.295 -0.801  -0.295 -0.975  -0.205 -1.059  -0.116 -1.143  -0.060 -1.294  0.063 -1.417
3#app#app07#app0715/=  -0.721 1.208  -0.578 1.208  -0.435 1.208  -0.292 1.208  -0.149 1.208  -0.006 1.208  0.137 1.208  0.256 1.184  0.256 1.041  0.371 1.013  0.514 1.013  0.647 1.003  0.647 0.860  0.571 0.751  0.464 0.655  0.357 0.560  0.250 0.465  0.144 0.370  0.037 0.275  -0.070 0.180  -0.177 0.085  -0.284 -0.010  -0.391 -0.105  -0.498 -0.200  -0.605 -0.295  -0.712 -0.390  -0.819 -0.485  -0.926 -0.580  -1.033 -0.675  -1.076 -0.746  -0.933 -0.746  -0.789 -0.746  -0.668 -0.799  -0.567 -0.900  -0.441 -0.941  -0.298 -0.941  -0.155 -0.941  -0.135 -0.818  -0.064 -0.746  0.079 -0.746  0.222 -0.746  0.365 -0.746  0.491 -0.706  0.592 -0.605  0.713 -0.550  0.856 -0.550  0.999 -0.550  1.142 -0.550  1.285 -0.550  1.428 -0.550
3#app#app07#app0715/[  0.985 0.642  0.948 0.709  0.911 0.775  0.852 0.820  0.794 0.899  0.721 0.973  0.628 0.999  0.542 1.041  0.453 1.056  0.402 1.108  0.298 1.108  0.194 1.108  0.091 1.108  -0.012 1.107  -0.050 1.041  -0.132 0.988  -0.153 0.892  -0.200 0.800  -0.212 0.699  -0.258 0.642  -0.278 0.559  -0.278 0.455  -0.296 0.359  -0.345 0.275  -0.345 0.172  -0.355 0.070  -0.380 -0.031  -0.405 -0.131  -0.446 -0.226  -0.478 -0.322  -0.478 -0.426  -0.496 -0.525  -0.543 -0.618  -0.544 -0.721  -0.544 -0.824  -0.544 -0.928  -0.544 -1.031  -0.544 -1.135  -0.459 -1.153  -0.356 -1.153  -0.252 -1.153  -0.148 -1.153  -0.045 -1.153  0.038 -1.103  0.135 -1.087  0.238 -1.087  0.342 -1.087  0.445 -1.087  0.520 -1.116  0.586 -1.153
3#app#app07#app0715/]  -0.618 1.062  -0.577 1.128  -0.472 1.128  -0.366 1.128  -0.260 1.128  -0.175 1.078  -0.076 1.062  0.030 1.062  0.135 1.062  0.241 1.062  0.347 1.062  0.452 1.062  0.558 1.062  0.624 1.023  0.689 0.982  0.664 0.882  0.613 0.791  0.539 0.716  0.493 0.629  0.486 0.525  0.439 0.431  0.370 0.351  0.320 0.259  0.297 0.159  0.255 0.063  0.232 -0.037  0.189 -0.133  0.166 -0.233  0.137 -0.334  0.103 -0.434  0.101 -0.540  0.095 -0.643  0.036 -0.724  0.036 -0.830  0.036 -0.935  0.036 -1.041  0.036 -1.147  0.036 -1.197  -0.032 -1.159  -0.138 -1.159  -0.219 -1.100  -0.313 -1.072  -0.401 -1.029  -0.506 -1.029  -0.612 -1.029  -0.718 -1.029  -0.823 -1.029  -0.879 -0.979  -0.854 -1.029  -0.748 -1.029
3#app#app07#app0715/{  0.842 1.497  0.862 1.497  0.768 1.483  0.706 1.406  0.662 1.316  0.588 1.250  0.499 1.205  0.425 1.139  0.354 1.069  0.283 0.998  0.223 0.920  0.176 0.833  0.087 0.789  0.011 0.725  -0.060 0.655  -0.104 0.565  -0.124 0.471  -0.179 0.394  -0.179 0.294  -0.179 0.194  -0.119 0.154  -0.059 0.115  0.041 0.115  0.141 0.115  0.122 0.115  0.061 0.076  -0.013 0.041  -0.093 -0.005  -0.133 -0.065  -0.179 -0.119  -0.179 -0.219  -0.179 -0.319  -0.127 -0.366  -0.087 -0.426  -0.059 -0.498  -0.096 -0.583  -0.167 -0.653  -0.237 -0.724  -0.308 -0.795  -0.360 -0.873  -0.364 -0.971  -0.420 -1.048  -0.420 -1.148  -0.420 -1.248  -0.420 -1.348  -0.393 -1.441  -0.360 -1.533  -0.313 -1.614  -0.279 -1.688  -0.240 -1.748
3#app#app07#app0715/}  0.406 1.492  0.463 1.422  0.513 1.379  0.576 1.316  0.619 1.266  0.688 1.243  0.715 1.156  0.745 1.070  0.737 0.984  0.657 0.953  0.592 0.887  0.526 0.822  0.459 0.757  0.376 0.715  0.305 0.657  0.239 0.591  0.157 0.565  0.091 0.500  0.025 0.434  -0.041 0.368  -0.123 0.342  -0.158 0.263  -0.214 0.227  -0.214 0.134  -0.214 0.041  -0.158 0.004  -0.101 -0.033  -0.140 -0.087  -0.171 -0.157  -0.237 -0.223  -0.270 -0.302  -0.327 -0.338  -0.327 -0.431  -0.327 -0.524  -0.255 -0.554  -0.178 -0.595  -0.158 -0.667  -0.158 -0.760  -0.181 -0.844  -0.214 -0.923  -0.233 -1.008  -0.270 -1.086  -0.324 -1.157  -0.350 -1.239  -0.416 -1.305  -0.482 -1.370  -0.548 -1.436  -0.615 -1.497  -0.708 -1.497  -0.778 -1.554
3#app#app07#app0715/\\  -0.068 1.366  -0.068 1.439  -0.068 1.512  -0.097 1.514  -0.149 1.463  -0.157 1.393  -0.157 1.320  -0.157 1.247  -0.157 1.174  -0.157 1.101  -0.157 1.028  -0.157 0.955  -0.140 0.886  -0.107 0.821  -0.074 0.756  -0.068 0.684  -0.068 0.611  -0.068 0.538  -0.068 0.465  -0.068 0.392  -0.068 0.319  -0.031 0.262  0.021 0.210  0.021 0.137  0.021 0.064  0.021 -0.009  0.021 -0.082  0.021 -0.155  0.021 -0.228  0.021 -0.301  0.021 -0.374  0.032 -0.445  0.055 -0.514  0.078 -0.583  0.101 -0.653  0.110 -0.724  0.110 -0.797  0.110 -0.870  0.110 -0.943  0.110 -1.016  0.110 -1.089  0.110 -1.162  0.110 -1.235  0.110 -1.308  0.110 -1.381  0.110 -1.454  0.110 -1.527  0.142 -1.568  0.199 -1.584  0.199 -1.657
3#app#app07#app0715/,  1.433 0.867  1.360 0.867  1.287 0.867  1.214 0.867  1.141 0.867  1.080 0.837  1.028 0.786  0.976 0.734  0.925 0.682  0.873 0.630  0.821 0.579  0.769 0.527  0.718 0.475  0.666 0.423  0.614 0.372  0.562 0.320  0.511 0.268  0.458 0.219  0.385 0.219  0.312 0.219  0.238 0.219  0.165 0.219  0.106 0.187  0.054 0.135  0.002 0.083  -0.050 0.032  -0.101 -0.020  -0.153 -0.072  -0.205 -0.124  -0.257 -0.175  -0.308 -0.227  -0.360 -0.279  -0.412 -0.330  -0.464 -0.382  -0.515 -0.434  -0.567 -0.486  -0.619 -0.537  -0.670 -0.589  -0.722 -0.641  -0.774 -0.693  -0.826 -0.744  -0.896 -0.752  -0.969 -0.752  -1.042 -0.752  -1.115 -0.752  -1.188 -0.752  -1.261 -0.752  -1.335 -0.752  -1.408 -0.752  -1.481 -0.752
3#app#app07#app0715/  1.009 1.343  1.009 1.272  1.007 1.202  0.957 1.152  0.907 1.101  0.861 1.048  0.830 0.984  0.796 0.921  0.746 0.871  0.689 0.829  0.630 0.789  0.571 0.750  0.517 0.706  0.485 0.643  0.453 0.579  0.403 0.528  0.353 0.478  0.303 0.428  0.252 0.378  0.217 0.316  0.186 0.253  0.142 0.198  0.092 0.147  0.041 0.097  -0.009 0.047  -0.050 -0.010  -0.082 -0.073  -0.117 -0.135  -0.160 -0.192  -0.202 -0.249  -0.245 -0.306  -0.288 -0.363  -0.333 -0.417  -0.384 -0.467  -0.434 -0.517  -0.472 -0.576  -0.504 -0.640  -0.536 -0.703  -0.568 -0.767  -0.608 -0.822  -0.671 -0.854  -0.730 -0.888  -0.735 -0.958  -0.785 -1.008  -0.836 -1.058  -0.870 -1.115  -0.887 -1.179  -0.937 -1.229  -1.007 -1.232  -1.009 -1.301
3#app#app07#app0715/?  0.083 0.898  0.149 0.964  0.236 0.978  0.301 1.043  0.394 1.044  0.486 1.044  0.579 1.044  0.648 1.100  0.734 1.116  0.810 1.099  0.810 1.007  0.810 0.914  0.755 0.844  0.690 0.779  0.614 0.728  0.531 0.686  0.463 0.624  0.385 0.577  0.302 0.535  0.236 0.470  0.171 0.405  0.105 0.339  0.028 0.290  -0.055 0.248  -0.137 0.207  -0.217 0.162  -0.283 0.096  -0.348 0.031  -0.414 -0.035  -0.479 -0.100  -0.545 -0.166  -0.570 -0.248  -0.570 -0.340  -0.570 -0.433  -0.570 -0.526  -0.570 -0.618  -0.511 -0.686  -0.446 -0.752  -0.380 -0.817  -0.315 -0.883  -0.280 -0.961  -0.289 -1.053  -0.302 -1.144  -0.315 -1.236  -0.328 -1.328  -0.341 -1.419  -0.352 -1.511  -0.352 -1.604  -0.352 -1.696  -0.425 -1.716
3#app#app07#app0715/'  1.140 1.299  1.089 1.247  1.038 1.196  0.986 1.145  0.935 1.094  0.884 1.043  0.833 0.992  0.782 0.941  0.731 0.890  0.680 0.839  0.629 0.788  0.578 0.736  0.527 0.685  0.475 0.634  0.424 0.583  0.373 0.532  0.322 0.481  0.271 0.430  0.220 0.379  0.169 0.328  0.118 0.276  0.067 0.225  0.015 0.174  -0.036 0.123  -0.087 0.072  -0.138 0.021  -0.189 -0.030  -0.240 -0.081  -0.291 -0.132  -0.342 -0.183  -0.348 -0.253  -0.348 -0.326  -0.348 -0.398  -0.348 -0.470  -0.387 -0.526  -0.438 -0.577  -0.490 -0.628  -0.541 -0.679  -0.592 -0.731  -0.643 -0.782  -0.646 -0.853  -0.646 -0.925  -0.646 -0.997  -0.646 -1.070  -0.688 -1.124  -0.739 -1.175  -0.790 -1.227  -0.841 -1.278  -0.892 -1.329  -0.944 -1.380
3#app#app07#app0715/\"  0.258 1.756  0.258 1.596  0.237 1.444  0.123 1.331  0.009 1.217  -0.104 1.103  -0.218 0.990  -0.325 0.874  -0.325 0.713  -0.352 0.564  -0.466 0.451  -0.579 0.337  -0.693 0.224  -0.806 0.110  -0.907 -0.009  -0.907 -0.169  -0.941 -0.316  -1.054 -0.429  -1.168 -0.543  -1.198 -0.691  -1.198 -0.851  -1.066 -0.798  -0.923 -0.726  -0.779 -0.655  -0.635 -0.583  -0.492 -0.511  -0.348 -0.439  -0.205 -0.367  -0.061 -0.296  0.082 -0.224  0.226 -0.152  0.370 -0.080  0.513 -0.008  0.657 0.063  0.800 0.135  0.944 0.207  1.088 0.279  1.131 0.189  1.131 0.028  0.989 0.009  0.840 -0.002  0.840 -0.162  0.840 -0.323  0.840 -0.483  0.769 -0.573  0.609 -0.573  0.549 -0.674  0.549 -0.834  0.549 -0.995  0.549 -1.155
3#app#app07#app0715/<  1.580 0.506  1.501 0.585  1.403 0.618  1.291 0.618  1.179 0.618  1.130 0.682  1.067 0.731  0.955 0.731  0.861 0.687  0.778 0.618  0.665 0.618  0.553 0.618  0.441 0.618  0.329 0.618  0.219 0.613  0.119 0.562  0.018 0.512  -0.092 0.506  -0.204 0.506  -0.316 0.506  -0.400 0.438  -0.494 0.393  -0.606 0.393  -0.718 0.393  -0.830 0.393  -0.895 0.346  -0.941 0.281  -1.008 0.235  -0.975 0.136  -0.896 0.057  -0.895 -0.055  -0.785 -0.057  -0.782 -0.166  -0.706 -0.246  -0.626 -0.325  -0.547 -0.405  -0.468 -0.484  -0.389 -0.563  -0.332 -0.652  -0.310 -0.755  -0.231 -0.834  -0.220 -0.941  -0.123 -0.957  -0.107 -1.053  -0.040 -1.137  0.039 -1.216  0.119 -1.294  0.230 -1.295  0.230 -1.406  0.230 -1.294
3#app#app07#app0715/|  0.794 1.508  0.794 1.436  0.762 1.377  0.711 1.326  0.673 1.265  0.640 1.200  0.608 1.136  0.564 1.079  0.513 1.028  0.474 0.968  0.442 0.903  0.409 0.838  0.365 0.782  0.314 0.731  0.276 0.670  0.243 0.606  0.211 0.541  0.167 0.484  0.116 0.433  0.065 0.382  0.014 0.331  -0.000 0.264  -0.000 0.192  -0.000 0.119  -0.032 0.055  -0.064 -0.010  -0.097 -0.075  -0.129 -0.140  -0.162 -0.204  -0.194 -0.269  -0.226 -0.334  -0.259 -0.399  -0.291 -0.463  -0.298 -0.534  -0.298 -0.607  -0.300 -0.678  -0.351 -0.729  -0.397 -0.783  -0.397 -0.855  -0.397 -0.927  -0.397 -1.000  -0.397 -1.072  -0.448 -1.124  -0.496 -1.176  -0.496 -1.248  -0.531 -1.306  -0.583 -1.357  -0.596 -1.424  -0.623 -1.470  -0.695 -1.470
3#app#app07#app0715/>  -0.295 1.237  -0.295 1.342  -0.282 1.418  -0.208 1.344  -0.107 1.334  -0.099 1.234  -0.024 1.160  0.050 1.085  0.092 0.997  0.092 0.892  0.156 0.850  0.240 0.799  0.298 0.714  0.332 0.614  0.365 0.514  0.434 0.464  0.521 0.421  0.575 0.338  0.602 0.243  0.672 0.167  0.687 0.077  0.769 0.053  0.802 -0.020  0.865 -0.061  0.865 -0.167  0.806 -0.213  0.721 -0.261  0.646 -0.336  0.570 -0.407  0.469 -0.416  0.394 -0.491  0.294 -0.503  0.189 -0.503  0.094 -0.550  -0.000 -0.598  -0.076 -0.671  -0.170 -0.697  -0.268 -0.731  -0.362 -0.778  -0.464 -0.793  -0.569 -0.793  -0.675 -0.793  -0.751 -0.863  -0.845 -0.890  -0.951 -0.890  -1.056 -0.890  -1.152 -0.932  -1.246 -0.979  -1.350 -0.987  -1.358 -1.083
