1c#apa#apa03#app0358/k  0.098 1.882  -0.025 1.778  -0.209 1.698  -0.283 1.501  -0.396 1.319  -0.473 1.110  -0.520 0.893  -0.643 0.716  -0.643 0.488  -0.655 0.265  -0.766 0.083  -0.766 -0.145  -0.776 -0.372  -0.849 -0.588  -0.890 -0.809  -0.890 -1.037  -0.831 -1.206  -0.736 -1.056  -0.564 -0.906  -0.393 -0.756  -0.221 -0.605  -0.050 -0.455  0.122 -0.305  0.294 -0.155  0.465 -0.005  0.637 0.145  0.808 0.295  0.980 0.446  1.151 0.596  1.086 0.620  0.957 0.518  0.778 0.400  0.674 0.276  0.453 0.260  0.291 0.099  0.092 0.029  -0.103 -0.049  -0.301 -0.123  -0.490 -0.218  -0.643 -0.292  -0.464 -0.341  -0.283 -0.455  -0.059 -0.465  0.162 -0.497  0.368 -0.588  0.595 -0.591  0.773 -0.712  0.963 -0.750  1.086 -0.854  1.086 -1.082
2#lav#lav2#mp_0005/k  -0.588 -0.982  -0.647 -1.089  -0.466 -0.951  -0.305 -0.791  -0.152 -0.621  -0.030 -0.429  0.094 -0.240  0.135 -0.016  0.188 0.206  0.236 0.429  0.258 0.656  0.244 0.880  0.193 1.103  0.151 1.327  0.120 1.553  0.079 1.777  -0.004 1.961  -0.196 1.837  -0.220 1.614  -0.247 1.388  -0.292 1.165  -0.322 0.940  -0.329 0.712  -0.332 0.483  -0.332 0.255  -0.332 0.027  -0.338 -0.201  -0.355 -0.428  -0.363 -0.655  -0.345 -0.882  -0.345 -1.110  -0.345 -1.338  -0.330 -1.164  -0.313 -0.937  -0.295 -0.710  -0.294 -0.482  -0.231 -0.266  -0.092 -0.090  0.064 0.077  0.249 0.208  0.460 0.275  0.644 0.157  0.702 -0.040  0.610 -0.249  0.485 -0.435  0.444 -0.622  0.548 -0.820  0.695 -0.993  0.859 -1.150  0.985 -1.340
2#lav#lav2#mp_0005/k  -1.056 -1.156  -0.974 -1.163  -0.805 -1.019  -0.662 -0.847  -0.520 -0.675  -0.364 -0.517  -0.246 -0.326  -0.138 -0.130  -0.042 0.072  0.047 0.277  0.130 0.485  0.175 0.702  0.191 0.925  0.185 1.149  0.179 1.372  0.178 1.596  0.178 1.820  0.035 1.774  -0.024 1.560  -0.072 1.341  -0.144 1.130  -0.223 0.921  -0.269 0.702  -0.326 0.486  -0.391 0.272  -0.437 0.053  -0.471 -0.168  -0.509 -0.388  -0.509 -0.612  -0.451 -0.827  -0.422 -1.049  -0.406 -1.040  -0.382 -0.817  -0.371 -0.596  -0.279 -0.396  -0.151 -0.212  -0.013 -0.036  0.154 0.109  0.342 0.230  0.548 0.314  0.748 0.257  0.852 0.062  0.841 -0.152  0.741 -0.346  0.566 -0.484  0.570 -0.651  0.719 -0.816  0.909 -0.934  1.094 -1.059  1.273 -1.194
2#lav#lav2#mp_0005/k  -0.714 -1.243  -0.610 -1.025  -0.452 -0.840  -0.286 -0.661  -0.145 -0.462  -0.003 -0.264  0.111 -0.048  0.180 0.186  0.199 0.427  0.199 0.671  0.199 0.916  0.189 1.159  0.165 1.402  0.124 1.642  0.061 1.878  -0.042 1.966  -0.138 1.745  -0.177 1.504  -0.209 1.262  -0.238 1.020  -0.250 0.776  -0.262 0.532  -0.288 0.289  -0.320 0.047  -0.364 -0.193  -0.395 -0.435  -0.459 -0.669  -0.517 -0.904  -0.570 -1.138  -0.595 -1.117  -0.545 -0.878  -0.504 -0.638  -0.411 -0.416  -0.288 -0.206  -0.146 -0.009  0.016 0.174  0.232 0.286  0.467 0.331  0.706 0.291  0.781 0.090  0.700 -0.136  0.525 -0.302  0.308 -0.413  0.085 -0.506  0.132 -0.660  0.292 -0.841  0.500 -0.966  0.711 -1.090  0.934 -1.186  1.113 -1.350
2#lav#lav2#mp_0005/k  -1.034 -1.079  -0.836 -0.960  -0.681 -0.796  -0.579 -0.588  -0.457 -0.392  -0.375 -0.175  -0.282 0.037  -0.189 0.249  -0.108 0.466  -0.040 0.687  0.018 0.912  0.040 1.141  0.048 1.372  0.011 1.601  0.037 1.825  -0.068 1.754  -0.096 1.524  -0.121 1.293  -0.143 1.063  -0.185 0.836  -0.241 0.611  -0.300 0.387  -0.358 0.163  -0.402 -0.065  -0.440 -0.293  -0.466 -0.523  -0.532 -0.744  -0.540 -0.971  -0.562 -0.936  -0.547 -0.718  -0.464 -0.502  -0.418 -0.275  -0.298 -0.078  -0.123 0.073  0.068 0.201  0.282 0.286  0.508 0.336  0.727 0.346  0.902 0.207  0.883 -0.009  0.797 -0.220  0.649 -0.398  0.477 -0.553  0.294 -0.694  0.343 -0.819  0.530 -0.955  0.746 -1.027  0.965 -1.103  1.173 -1.203  1.386 -1.293
2#lav#lav2#mp_0005/k  -0.654 -0.938  -0.482 -0.807  -0.345 -0.636  -0.208 -0.466  -0.085 -0.286  0.034 -0.103  0.150 0.083  0.224 0.288  0.273 0.500  0.305 0.716  0.330 0.933  0.357 1.150  0.346 1.367  0.313 1.582  0.254 1.792  0.188 1.948  0.058 1.774  -0.028 1.573  -0.083 1.362  -0.138 1.151  -0.175 0.936  -0.212 0.720  -0.253 0.506  -0.294 0.291  -0.331 0.076  -0.368 -0.139  -0.405 -0.354  -0.436 -0.570  -0.465 -0.787  -0.525 -0.996  -0.593 -1.203  -0.556 -1.222  -0.523 -1.006  -0.477 -0.793  -0.415 -0.584  -0.334 -0.381  -0.210 -0.207  -0.039 -0.071  0.139 0.053  0.339 0.128  0.525 0.041  0.579 -0.162  0.489 -0.350  0.307 -0.456  0.280 -0.651  0.320 -0.863  0.446 -1.040  0.610 -1.179  0.788 -1.304  0.975 -1.417
3#apb#apb32#app3246/k  -0.809 1.642  -0.859 1.454  -0.863 1.263  -0.840 1.070  -0.817 0.877  -0.795 0.683  -0.774 0.490  -0.758 0.296  -0.741 0.102  -0.722 -0.091  -0.703 -0.285  -0.679 -0.478  -0.659 -0.671  -0.659 -0.866  -0.663 -1.038  -0.632 -0.854  -0.569 -0.670  -0.493 -0.491  -0.406 -0.317  -0.313 -0.147  -0.211 0.019  -0.108 0.184  0.022 0.326  0.168 0.454  0.323 0.571  0.491 0.668  0.673 0.736  0.860 0.790  1.048 0.803  1.232 0.743  1.274 0.656  1.110 0.551  0.946 0.447  0.781 0.342  0.617 0.238  0.453 0.134  0.289 0.029  0.125 -0.075  -0.039 -0.180  -0.203 -0.284  -0.286 -0.408  -0.178 -0.569  -0.051 -0.716  0.110 -0.825  0.273 -0.931  0.436 -1.037  0.613 -1.113  0.801 -1.164  0.995 -1.177  1.189 -1.177
1c#tos#f1#f1009062/k  -0.630 2.054  -0.687 1.866  -0.611 1.654  -0.573 1.446  -0.573 1.201  -0.573 0.956  -0.573 0.711  -0.573 0.466  -0.573 0.220  -0.573 -0.025  -0.573 -0.270  -0.573 -0.515  -0.573 -0.760  -0.630 -0.982  -0.630 -1.227  -0.574 -1.296  -0.433 -1.096  -0.291 -0.896  -0.150 -0.696  -0.008 -0.496  0.133 -0.296  0.275 -0.096  0.416 0.104  0.558 0.305  0.700 0.505  0.841 0.705  0.983 0.905  0.970 0.857  0.856 0.682  0.699 0.525  0.495 0.396  0.330 0.306  0.284 0.069  0.054 0.053  -0.173 0.036  -0.207 -0.175  -0.395 -0.232  -0.526 -0.347  -0.771 -0.347  -0.587 -0.347  -0.399 -0.404  -0.154 -0.404  0.091 -0.404  0.279 -0.461  0.524 -0.461  0.699 -0.575  0.887 -0.632  1.018 -0.747  1.182 -0.861  1.313 -0.975
2#app#app08#app0867/k  -0.443 1.682  -0.443 1.857  -0.443 1.991  -0.443 1.816  -0.443 1.641  -0.443 1.466  -0.443 1.291  -0.443 1.116  -0.443 0.941  -0.426 0.770  -0.348 0.613  -0.333 0.441  -0.333 0.266  -0.333 0.091  -0.333 -0.084  -0.333 -0.259  -0.333 -0.434  -0.333 -0.609  -0.333 -0.784  -0.333 -0.959  -0.333 -1.134  -0.276 -1.050  -0.202 -0.892  -0.128 -0.733  -0.054 -0.574  0.020 -0.416  0.094 -0.257  0.168 -0.099  0.242 0.060  0.317 0.219  0.391 0.377  0.504 0.474  0.545 0.560  0.482 0.411  0.359 0.287  0.216 0.236  0.157 0.085  0.106 -0.069  -0.004 -0.199  -0.004 -0.374  -0.004 -0.549  0.067 -0.695  0.113 -0.851  0.245 -0.954  0.392 -1.020  0.550 -1.064  0.704 -1.113  0.854 -1.173  1.029 -1.173  1.204 -1.173
3#kai#kai1#jhkim5/k  -1.152 -0.394  -0.959 -0.266  -0.790 -0.108  -0.601 0.016  -0.404 0.127  -0.239 0.291  -0.053 0.430  0.113 0.588  0.253 0.774  0.392 0.959  0.530 1.146  0.658 1.339  0.733 1.559  0.736 1.791  0.510 1.796  0.381 1.603  0.252 1.410  0.160 1.199  0.052 0.996  -0.058 0.793  -0.144 0.577  -0.197 0.352  -0.235 0.123  -0.320 -0.090  -0.397 -0.304  -0.397 -0.536  -0.437 -0.757  -0.548 -0.955  -0.548 -1.187  -0.609 -1.409  -0.623 -1.265  -0.517 -1.065  -0.388 -0.872  -0.254 -0.682  -0.115 -0.497  0.029 -0.315  0.174 -0.133  0.368 -0.012  0.571 0.100  0.736 0.177  0.736 -0.056  0.649 -0.267  0.535 -0.469  0.407 -0.662  0.274 -0.851  0.054 -0.923  -0.163 -0.926  0.058 -0.999  0.278 -1.072  0.510 -1.074
2#apb#apb33#app3354/k  0.343 0.826  0.478 1.059  0.472 0.992  0.260 0.723  0.009 0.494  -0.215 0.237  -0.462 0.000  -0.685 -0.260  -0.883 -0.539  -1.090 -0.812  -1.311 -1.073  -1.172 -1.046  -0.889 -0.854  -0.660 -0.600  -0.432 -0.344  -0.204 -0.088  0.024 0.168  0.252 0.423  0.480 0.679  0.708 0.935  0.935 1.191  1.066 1.484  1.036 1.615  0.759 1.413  0.465 1.246  0.230 1.010  0.043 0.727  -0.135 0.436  -0.278 0.127  -0.446 -0.162  -0.578 -0.475  -0.762 -0.752  -0.767 -0.788  -0.562 -0.515  -0.297 -0.299  -0.021 -0.096  0.268 0.087  0.568 0.253  0.795 0.415  0.762 0.110  0.538 -0.145  0.287 -0.377  -0.032 -0.463  -0.189 -0.254  -0.086 -0.372  0.017 -0.697  0.077 -1.026  0.202 -1.341  0.390 -1.625  0.690 -1.649
1c#tos#f1#f1051061/k  -0.407 1.787  -0.542 1.864  -0.561 1.826  -0.561 1.614  -0.561 1.402  -0.477 1.219  -0.407 1.032  -0.407 0.819  -0.407 0.607  -0.407 0.395  -0.407 0.183  -0.407 -0.029  -0.407 -0.241  -0.407 -0.454  -0.407 -0.666  -0.407 -0.878  -0.407 -1.090  -0.407 -1.302  -0.445 -1.244  -0.474 -1.155  -0.522 -0.963  -0.522 -0.751  -0.517 -0.539  -0.453 -0.343  -0.346 -0.169  -0.251 0.018  -0.199 0.220  -0.053 0.373  0.092 0.490  0.226 0.634  0.420 0.668  0.536 0.528  0.674 0.376  0.674 0.164  0.603 -0.019  0.442 -0.142  0.239 -0.181  0.027 -0.181  -0.185 -0.181  -0.146 -0.065  0.045 -0.105  0.201 -0.219  0.375 -0.309  0.507 -0.474  0.701 -0.554  0.903 -0.605  1.076 -0.699  1.267 -0.788  1.457 -0.881  1.638 -0.991
3#apb#apb21#app2168/k  -1.888 -0.917  -1.761 -0.871  -1.563 -0.764  -1.363 -0.659  -1.162 -0.559  -0.955 -0.470  -0.757 -0.364  -0.572 -0.235  -0.388 -0.105  -0.209 0.031  -0.030 0.168  0.130 0.327  0.289 0.487  0.448 0.646  0.604 0.808  0.714 1.004  0.836 1.194  0.943 1.391  0.891 1.511  0.697 1.398  0.562 1.221  0.444 1.029  0.310 0.848  0.174 0.668  0.046 0.483  -0.070 0.290  -0.167 0.088  -0.263 -0.112  -0.356 -0.313  -0.464 -0.511  -0.490 -0.479  -0.563 -0.613  -0.639 -0.732  -0.585 -0.615  -0.413 -0.473  -0.244 -0.324  -0.069 -0.183  0.115 -0.053  0.313 0.054  0.535 0.090  0.609 0.020  0.419 -0.096  0.253 -0.248  0.195 -0.445  0.354 -0.591  0.573 -0.633  0.796 -0.655  1.019 -0.623  1.241 -0.583  1.460 -0.531
1c#apb#apb06#app0698/k  -1.048 1.426  -1.063 1.238  -1.063 1.051  -1.044 0.864  -1.020 0.678  -0.990 0.492  -0.951 0.309  -0.911 0.125  -0.867 -0.058  -0.815 -0.238  -0.764 -0.419  -0.696 -0.594  -0.615 -0.763  -0.533 -0.932  -0.469 -1.108  -0.410 -1.287  -0.372 -1.433  -0.264 -1.280  -0.156 -1.126  -0.047 -0.972  0.061 -0.819  0.169 -0.665  0.278 -0.512  0.386 -0.358  0.494 -0.205  0.603 -0.051  0.711 0.102  0.819 0.256  0.928 0.409  1.036 0.563  1.144 0.716  1.253 0.870  1.291 0.986  1.144 0.884  1.020 0.743  0.920 0.585  0.792 0.450  0.632 0.354  0.452 0.301  0.268 0.261  0.084 0.225  -0.101 0.192  -0.281 0.138  -0.458 0.093  -0.347 -0.045  -0.181 -0.131  -0.010 -0.210  0.160 -0.289  0.330 -0.368  0.500 -0.448
1c#mot#mot1#bb2/k  -1.482 -0.941  -1.263 -0.848  -1.056 -0.728  -0.854 -0.601  -0.656 -0.466  -0.465 -0.323  -0.280 -0.171  -0.098 -0.016  0.078 0.146  0.249 0.312  0.417 0.483  0.571 0.665  0.721 0.852  0.866 1.042  0.990 1.246  1.091 1.463  1.133 1.697  0.942 1.733  0.782 1.556  0.655 1.354  0.541 1.144  0.423 0.936  0.309 0.726  0.191 0.518  0.075 0.309  -0.040 0.100  -0.160 -0.107  -0.275 -0.317  -0.387 -0.528  -0.488 -0.745  -0.578 -0.966  -0.678 -1.183  -0.695 -1.098  -0.609 -0.876  -0.503 -0.661  -0.386 -0.453  -0.245 -0.260  -0.097 -0.073  0.075 0.093  0.279 0.216  0.451 0.150  0.381 -0.073  0.239 -0.265  0.070 -0.433  -0.127 -0.568  -0.302 -0.590  -0.096 -0.552  -0.029 -0.779  0.062 -0.998  0.260 -1.120
1c#mot#mot1#bb2/k  -1.330 -0.868  -1.082 -0.735  -0.842 -0.584  -0.606 -0.428  -0.386 -0.249  -0.178 -0.057  0.028 0.138  0.238 0.328  0.444 0.522  0.641 0.726  0.822 0.944  0.989 1.173  1.113 1.426  1.127 1.703  0.881 1.676  0.689 1.470  0.527 1.237  0.372 1.000  0.224 0.759  0.070 0.521  -0.080 0.280  -0.216 0.032  -0.351 -0.217  -0.506 -0.454  -0.674 -0.682  -0.851 -0.903  -1.030 -1.122  -0.922 -0.888  -0.753 -0.661  -0.577 -0.439  -0.398 -0.219  -0.218 -0.001  -0.017 0.200  0.210 0.368  0.459 0.503  0.731 0.568  0.949 0.417  0.820 0.179  0.607 -0.008  0.377 -0.173  0.127 -0.305  -0.132 -0.420  -0.406 -0.488  -0.559 -0.363  -0.493 -0.630  -0.453 -0.909  -0.261 -1.106  0.016 -1.149  0.294 -1.099  0.564 -1.012
1c#mot#mot1#bb2/k  -1.636 -0.725  -1.497 -0.821  -1.291 -0.749  -1.098 -0.645  -0.911 -0.531  -0.728 -0.410  -0.550 -0.283  -0.375 -0.151  -0.203 -0.015  -0.036 0.128  0.129 0.272  0.293 0.417  0.451 0.569  0.608 0.722  0.753 0.887  0.892 1.057  1.024 1.231  1.140 1.417  1.183 1.618  0.991 1.550  0.827 1.404  0.681 1.241  0.546 1.068  0.422 0.887  0.303 0.704  0.190 0.516  0.089 0.322  -0.010 0.126  -0.107 -0.071  -0.202 -0.268  -0.310 -0.459  -0.425 -0.646  -0.555 -0.822  -0.622 -0.813  -0.516 -0.622  -0.395 -0.439  -0.257 -0.269  -0.107 -0.109  0.063 0.028  0.256 0.057  0.244 -0.156  0.138 -0.347  -0.005 -0.512  -0.172 -0.653  -0.049 -0.688  -0.101 -0.899  -0.076 -1.104  0.138 -1.096  0.339 -1.010  0.533 -0.908
1c#mot#mot1#bb2/k  0.718 1.538  0.689 1.476  0.659 1.413  0.630 1.350  0.601 1.287  0.571 1.224  0.542 1.162  0.513 1.099  0.484 1.036  0.454 0.973  0.425 0.911  0.396 0.848  0.366 0.785  0.337 0.722  0.308 0.659  0.278 0.597  0.249 0.534  0.220 0.471  0.190 0.408  0.161 0.345  0.132 0.283  0.103 0.220  0.073 0.157  0.044 0.094  0.015 0.031  -0.015 -0.031  -0.044 -0.094  -0.073 -0.157  -0.103 -0.220  -0.132 -0.283  -0.161 -0.345  -0.190 -0.408  -0.220 -0.471  -0.249 -0.534  -0.278 -0.597  -0.308 -0.659  -0.337 -0.722  -0.366 -0.785  -0.396 -0.848  -0.425 -0.911  -0.454 -0.973  -0.484 -1.036  -0.513 -1.099  -0.542 -1.162  -0.571 -1.224  -0.601 -1.287  -0.630 -1.350  -0.659 -1.413  -0.689 -1.476  -0.718 -1.538
