3#apa#apa02#app0209/b  -1.066 1.749  -1.039 1.586  -0.851 1.586  -0.740 1.507  -0.740 1.318  -0.740 1.129  -0.740 0.940  -0.725 0.757  -0.592 0.624  -0.578 0.441  -0.555 0.261  -0.421 0.128  -0.415 -0.059  -0.415 -0.248  -0.415 -0.437  -0.347 -0.598  -0.252 -0.747  -0.252 -0.936  -0.252 -0.911  -0.252 -0.722  -0.252 -0.533  -0.252 -0.344  -0.217 -0.169  -0.089 -0.033  -0.089 0.156  -0.029 0.284  0.073 0.371  0.187 0.447  0.376 0.447  0.402 0.609  0.591 0.609  0.764 0.570  0.887 0.432  0.928 0.284  1.050 0.217  1.050 0.028  1.050 -0.161  1.050 -0.350  1.050 -0.539  1.025 -0.717  0.891 -0.851  0.710 -0.870  0.576 -1.003  0.394 -1.018  0.205 -1.018  0.016 -1.018  -0.089 -0.934  -0.200 -0.855  -0.252 -0.719  -0.415 -0.692
3#apa#apa02#app0209/l  -0.571 1.428  -0.496 1.428  -0.420 1.428  -0.401 1.373  -0.401 1.297  -0.365 1.258  -0.289 1.258  -0.230 1.241  -0.230 1.166  -0.230 1.091  -0.230 1.015  -0.230 0.940  -0.193 0.879  -0.140 0.826  -0.086 0.772  -0.059 0.708  -0.059 0.633  -0.059 0.557  -0.059 0.482  -0.059 0.406  -0.059 0.331  -0.059 0.255  -0.022 0.195  0.032 0.142  0.085 0.089  0.112 0.024  0.112 -0.051  0.112 -0.127  0.112 -0.202  0.112 -0.278  0.112 -0.353  0.112 -0.429  0.112 -0.504  0.112 -0.580  0.112 -0.655  0.112 -0.731  0.112 -0.806  0.112 -0.882  0.112 -0.957  0.161 -1.012  0.214 -1.066  0.268 -1.119  0.283 -1.188  0.283 -1.264  0.283 -1.339  0.283 -1.415  0.293 -1.486  0.347 -1.539  0.400 -1.593  0.453 -1.646
3#apa#apa02#app0209/l  -0.404 1.671  -0.350 1.618  -0.296 1.564  -0.257 1.505  -0.257 1.429  -0.257 1.353  -0.257 1.277  -0.257 1.202  -0.257 1.126  -0.257 1.050  -0.257 0.974  -0.257 0.899  -0.257 0.823  -0.257 0.747  -0.257 0.671  -0.223 0.610  -0.169 0.556  -0.115 0.503  -0.110 0.429  -0.110 0.353  -0.110 0.278  -0.110 0.202  -0.110 0.126  -0.107 0.051  -0.073 -0.017  -0.039 -0.084  -0.005 -0.152  0.028 -0.220  0.037 -0.294  0.037 -0.370  0.037 -0.445  0.037 -0.521  0.104 -0.530  0.180 -0.530  0.183 -0.602  0.183 -0.677  0.183 -0.753  0.186 -0.828  0.220 -0.896  0.254 -0.964  0.287 -1.032  0.321 -1.099  0.330 -1.173  0.330 -1.249  0.330 -1.325  0.330 -1.400  0.396 -1.410  0.472 -1.410  0.477 -1.481  0.477 -1.557
3#apa#apa02#app0209/e  -0.240 -0.125  -0.087 -0.125  0.031 -0.090  0.031 0.063  0.080 0.195  0.188 0.303  0.296 0.411  0.404 0.519  0.512 0.627  0.572 0.755  0.572 0.908  0.572 1.061  0.572 1.213  0.434 1.228  0.287 1.214  0.179 1.106  0.071 0.998  -0.065 0.958  -0.217 0.958  -0.370 0.958  -0.510 0.945  -0.510 0.793  -0.558 0.687  -0.710 0.687  -0.781 0.605  -0.781 0.452  -0.781 0.300  -0.781 0.147  -0.781 -0.006  -0.781 -0.159  -0.781 -0.311  -0.712 -0.395  -0.559 -0.395  -0.510 -0.499  -0.510 -0.652  -0.372 -0.666  -0.240 -0.687  -0.240 -0.839  -0.184 -0.936  -0.032 -0.936  0.121 -0.936  0.274 -0.936  0.390 -1.025  0.498 -1.133  0.620 -1.207  0.773 -1.207  0.926 -1.207  1.078 -1.207  1.231 -1.207  1.384 -1.207
3#apa#apa02#app0209/r  -0.518 0.437  -0.518 0.296  -0.518 0.156  -0.518 0.015  -0.518 -0.125  -0.518 -0.265  -0.518 -0.406  -0.430 -0.510  -0.331 -0.609  -0.304 -0.738  -0.276 -0.850  -0.135 -0.850  -0.089 -0.945  -0.089 -1.085  -0.089 -1.226  -0.003 -1.279  0.125 -1.292  0.125 -1.432  0.125 -1.415  0.125 -1.275  0.125 -1.134  0.125 -0.994  0.125 -0.854  0.125 -0.713  0.081 -0.591  -0.019 -0.492  -0.089 -0.381  -0.089 -0.241  -0.089 -0.100  -0.089 0.040  -0.089 0.181  -0.188 0.222  -0.304 0.247  -0.304 0.387  -0.304 0.528  -0.292 0.663  -0.193 0.762  -0.093 0.862  -0.089 1.000  -0.029 1.080  0.112 1.080  0.215 1.170  0.314 1.269  0.444 1.294  0.584 1.294  0.725 1.294  0.865 1.294  0.999 1.310  1.098 1.410  1.198 1.509
3#apa#apa02#app0209/.  -0.532 1.596  -0.532 1.522  -0.532 1.447  -0.532 1.373  -0.532 1.299  -0.532 1.225  -0.532 1.151  -0.532 1.077  -0.532 1.003  -0.532 0.929  -0.532 0.854  -0.532 0.780  -0.532 0.706  -0.532 0.632  -0.532 0.558  -0.498 0.498  -0.445 0.445  -0.393 0.393  -0.341 0.341  -0.288 0.288  -0.236 0.236  -0.183 0.183  -0.131 0.131  -0.079 0.079  -0.026 0.026  0.026 -0.026  0.079 -0.079  0.131 -0.131  0.183 -0.183  0.236 -0.236  0.288 -0.288  0.341 -0.341  0.393 -0.393  0.445 -0.445  0.498 -0.498  0.532 -0.558  0.532 -0.632  0.532 -0.706  0.532 -0.780  0.532 -0.854  0.532 -0.929  0.532 -1.003  0.532 -1.077  0.532 -1.151  0.532 -1.225  0.532 -1.299  0.532 -1.373  0.532 -1.447  0.532 -1.522  0.532 -1.596
3#apa#apa02#app0209/R  -0.410 0.722  -0.302 0.606  -0.302 0.382  -0.302 0.158  -0.302 -0.066  -0.302 -0.290  -0.302 -0.514  -0.195 -0.693  -0.195 -0.917  -0.195 -1.141  -0.105 -1.191  -0.222 -1.000  -0.339 -0.809  -0.456 -0.617  -0.572 -0.426  -0.689 -0.235  -0.806 -0.044  -0.923 0.147  -1.039 0.338  -1.156 0.529  -1.273 0.720  -1.054 0.726  -0.873 0.830  -0.674 0.890  -0.514 1.046  -0.290 1.046  -0.104 1.136  0.113 1.154  0.337 1.154  0.561 1.154  0.674 1.040  0.777 0.859  0.885 0.743  0.885 0.519  0.777 0.403  0.699 0.212  0.595 0.074  0.479 -0.034  0.300 -0.142  0.120 -0.250  0.146 -0.250  0.345 -0.275  0.477 -0.381  0.635 -0.539  0.669 -0.749  0.777 -0.865  0.777 -1.089  0.885 -1.205  0.885 -1.429  1.101 -1.437
3#apa#apa02#app0209/i  -0.179 -0.277  -0.079 -0.277  0.022 -0.277  0.047 -0.351  0.047 -0.452  0.047 -0.552  0.047 -0.652  0.064 -0.745  0.135 -0.816  0.206 -0.887  0.273 -0.959  0.273 -1.059  0.273 -1.159  0.273 -1.260  0.273 -1.360  0.273 -1.352  0.273 -1.252  0.267 -1.152  0.246 -1.055  0.225 -0.957  0.204 -0.859  0.183 -0.761  0.162 -0.663  0.141 -0.565  0.120 -0.467  0.099 -0.369  0.078 -0.271  0.057 -0.173  0.036 -0.075  0.015 0.023  -0.006 0.121  -0.027 0.219  -0.048 0.317  -0.069 0.415  -0.090 0.513  -0.111 0.611  -0.132 0.709  -0.153 0.807  -0.174 0.904  -0.195 1.002  -0.216 1.100  -0.237 1.198  -0.258 1.296  -0.279 1.394  -0.300 1.492  -0.321 1.590  -0.342 1.688  -0.363 1.786  -0.384 1.884  -0.405 1.982
3#apa#apa02#app0209/n  -0.798 0.419  -0.798 0.255  -0.798 0.090  -0.798 -0.074  -0.798 -0.238  -0.798 -0.403  -0.686 -0.456  -0.579 -0.513  -0.579 -0.677  -0.579 -0.842  -0.466 -0.893  -0.360 -0.952  -0.365 -1.112  -0.529 -1.112  -0.579 -0.997  -0.579 -0.833  -0.579 -0.669  -0.579 -0.504  -0.579 -0.340  -0.579 -0.176  -0.579 -0.011  -0.579 0.153  -0.579 0.317  -0.579 0.482  -0.573 0.644  -0.457 0.760  -0.333 0.856  -0.168 0.856  -0.142 0.994  -0.058 1.075  0.106 1.075  0.271 1.075  0.435 1.075  0.514 0.990  0.545 0.856  0.709 0.856  0.733 0.716  0.733 0.551  0.765 0.419  0.929 0.419  0.952 0.277  0.952 0.113  0.952 -0.052  0.952 -0.216  1.053 -0.338  1.169 -0.455  1.170 -0.619  1.170 -0.783  1.170 -0.947  1.170 -1.112
3#apa#apa02#app0209/c  0.150 1.325  0.050 1.325  -0.050 1.325  -0.125 1.300  -0.125 1.200  -0.125 1.100  -0.175 1.050  -0.275 1.050  -0.375 1.050  -0.400 0.975  -0.400 0.875  -0.400 0.776  -0.500 0.776  -0.600 0.776  -0.674 0.750  -0.674 0.650  -0.674 0.550  -0.674 0.450  -0.674 0.350  -0.674 0.250  -0.674 0.150  -0.674 0.050  -0.673 -0.049  -0.603 -0.120  -0.532 -0.191  -0.461 -0.261  -0.391 -0.332  -0.320 -0.403  -0.249 -0.473  -0.179 -0.544  -0.101 -0.598  -0.001 -0.598  0.099 -0.598  0.150 -0.647  0.150 -0.747  0.150 -0.847  0.224 -0.873  0.324 -0.873  0.424 -0.873  0.524 -0.873  0.624 -0.873  0.724 -0.873  0.824 -0.873  0.924 -0.873  1.023 -0.873  1.123 -0.873  1.223 -0.873  1.249 -0.798  1.249 -0.698  1.249 -0.598
3#apa#apa02#app0209/e  -1.020 0.316  -1.020 0.140  -0.903 0.081  -0.727 0.081  -0.552 0.081  -0.376 0.081  -0.200 0.081  -0.025 0.081  0.151 0.081  0.155 0.253  0.268 0.316  0.444 0.316  0.619 0.316  0.625 0.486  0.736 0.551  0.859 0.603  0.859 0.779  0.740 0.905  0.612 1.021  0.437 1.021  0.261 1.021  0.085 1.021  -0.090 1.021  -0.266 1.021  -0.405 0.931  -0.529 0.807  -0.550 0.640  -0.637 0.551  -0.785 0.523  -0.785 0.347  -0.785 0.172  -0.785 -0.004  -0.785 -0.180  -0.785 -0.356  -0.642 -0.389  -0.550 -0.472  -0.533 -0.641  -0.409 -0.765  -0.284 -0.889  -0.160 -1.014  -0.017 -1.093  0.158 -1.093  0.334 -1.093  0.510 -1.093  0.686 -1.093  0.861 -1.093  1.037 -1.093  1.213 -1.093  1.388 -1.093  1.564 -1.093
3#apa#apa02#app0209/w  -1.147 0.942  -0.979 0.942  -0.977 0.775  -1.142 0.771  -1.147 0.608  -1.147 0.440  -1.147 0.271  -1.147 0.103  -1.147 -0.066  -1.147 -0.234  -1.147 -0.403  -0.997 -0.421  -0.872 -0.526  -0.730 -0.591  -0.584 -0.538  -0.464 -0.421  -0.296 -0.420  -0.296 -0.252  -0.129 -0.250  -0.126 -0.085  -0.126 0.084  -0.126 0.252  -0.126 0.421  -0.284 0.431  -0.296 0.274  -0.296 0.106  -0.143 0.090  -0.126 -0.061  -0.126 -0.229  -0.021 -0.355  0.098 -0.474  0.218 -0.591  0.386 -0.592  0.505 -0.711  0.653 -0.761  0.821 -0.761  0.990 -0.761  1.066 -0.669  1.066 -0.501  1.066 -0.332  1.066 -0.164  1.126 -0.020  1.236 0.103  1.236 0.271  1.236 0.440  1.236 0.608  1.231 0.771  1.066 0.775  1.066 0.940  1.066 0.771
