1c#apa#apa00#app0055/x  -0.958 1.697  -0.783 1.685  -0.783 1.499  -0.750 1.346  -0.607 1.301  -0.607 1.115  -0.578 0.935  -0.494 0.769  -0.432 0.597  -0.391 0.427  -0.259 0.295  -0.127 0.164  -0.081 -0.004  -0.022 -0.176  0.061 -0.343  0.174 -0.489  0.306 -0.621  0.438 -0.753  0.446 -0.936  0.578 -1.068  0.621 -1.236  0.621 -1.149  0.621 -0.963  0.621 -0.776  0.621 -0.590  0.621 -0.403  0.621 -0.217  0.621 -0.030  0.621 0.156  0.621 0.343  0.621 0.529  0.621 0.716  0.621 0.902  0.554 0.928  0.422 0.796  0.290 0.665  0.159 0.533  0.027 0.401  -0.081 0.259  -0.081 0.073  -0.121 -0.098  -0.253 -0.229  -0.338 -0.395  -0.421 -0.562  -0.432 -0.746  -0.509 -0.914  -0.593 -1.081  -0.607 -1.264  -0.607 -1.450  -0.607 -1.637
1c#apa#apa00#app0055/d  -0.105 -0.357  0.019 -0.261  0.143 -0.165  0.259 0.006  0.267 0.223  0.088 0.263  -0.132 0.263  -0.352 0.263  -0.507 0.108  -0.688 0.015  -0.854 -0.115  -1.009 -0.270  -1.164 -0.426  -1.219 -0.622  -1.219 -0.842  -1.219 -1.062  -1.096 -1.157  -0.942 -1.224  -0.723 -1.224  -0.532 -1.155  -0.376 -1.000  -0.221 -0.845  -0.105 -0.673  0.019 -0.578  0.019 -0.358  0.086 -0.166  0.241 -0.011  0.267 0.198  0.267 0.417  0.307 0.631  0.377 0.839  0.514 1.005  0.515 1.224  0.562 1.424  0.639 1.612  0.639 1.666  0.515 1.498  0.515 1.278  0.391 1.110  0.391 0.891  0.391 0.671  0.391 0.451  0.391 0.232  0.391 0.012  0.391 -0.207  0.440 -0.406  0.515 -0.595  0.663 -0.753  0.842 -0.852  1.010 -0.976
1c#apa#apa00#app0055/t  0.288 1.932  0.268 1.764  0.191 1.610  0.088 1.474  0.030 1.326  -0.030 1.168  -0.099 1.012  -0.099 0.839  -0.099 0.667  -0.099 0.495  -0.099 0.323  -0.099 0.150  -0.099 -0.022  -0.099 -0.194  -0.099 -0.367  -0.099 -0.539  -0.099 -0.711  -0.099 -0.884  -0.099 -1.056  -0.099 -1.228  0.013 -1.290  0.185 -1.290  0.288 -1.220  0.401 -1.161  0.573 -1.161  0.738 -1.129  0.892 -1.052  1.060 -1.032  0.924 -0.929  0.786 -0.826  0.648 -0.722  0.511 -0.619  0.373 -0.516  0.235 -0.412  0.097 -0.309  -0.041 -0.205  -0.179 -0.102  -0.317 0.001  -0.454 0.105  -0.592 0.208  -0.730 0.311  -0.868 0.415  -0.994 0.514  -0.822 0.514  -0.743 0.608  -0.606 0.643  -0.433 0.643  -0.289 0.710  -0.142 0.772  0.030 0.772
1c#apa#apa00#app0055/h  -0.325 1.715  -0.403 1.560  -0.460 1.401  -0.460 1.227  -0.515 1.067  -0.592 0.912  -0.609 0.742  -0.687 0.587  -0.730 0.424  -0.730 0.250  -0.730 0.077  -0.730 -0.096  -0.730 -0.270  -0.730 -0.443  -0.701 -0.605  -0.595 -0.734  -0.595 -0.907  -0.524 -1.051  -0.377 -1.116  -0.325 -0.994  -0.325 -0.821  -0.280 -0.666  -0.190 -0.530  -0.190 -0.356  -0.190 -0.183  -0.171 -0.018  -0.055 0.108  -0.055 0.281  -0.055 0.455  -0.055 0.628  0.061 0.753  0.183 0.876  0.344 0.907  0.517 0.907  0.619 0.834  0.619 0.661  0.619 0.488  0.619 0.314  0.619 0.141  0.619 -0.033  0.619 -0.206  0.619 -0.379  0.619 -0.553  0.725 -0.682  0.753 -0.844  0.753 -1.017  0.828 -1.116  0.968 -1.196  1.119 -1.250  1.293 -1.250
1c#apa#apa00#app0055/e  -1.193 -0.560  -1.024 -0.560  -0.855 -0.560  -0.703 -0.490  -0.552 -0.415  -0.419 -0.313  -0.300 -0.194  -0.180 -0.074  -0.029 -0.031  0.110 0.040  0.236 0.145  0.401 0.155  0.520 0.274  0.670 0.321  0.743 0.417  0.832 0.497  0.919 0.579  0.994 0.673  1.095 0.740  1.095 0.909  1.041 1.025  0.919 1.071  0.879 1.201  0.743 1.168  0.718 1.025  0.549 1.025  0.383 1.017  0.263 0.897  0.144 0.778  0.024 0.658  -0.095 0.539  -0.215 0.419  -0.334 0.300  -0.453 0.180  -0.573 0.061  -0.665 -0.070  -0.697 -0.208  -0.841 -0.232  -0.841 -0.401  -0.841 -0.570  -0.839 -0.738  -0.720 -0.857  -0.600 -0.977  -0.481 -1.096  -0.361 -1.216  -0.212 -1.264  -0.043 -1.264  0.126 -1.264  0.271 -1.320  0.391 -1.440
1c#apa#apa00#app0055/s  0.300 0.777  0.386 0.862  0.420 0.969  0.369 1.069  0.277 1.138  0.156 1.138  0.035 1.138  -0.086 1.138  -0.200 1.121  -0.286 1.035  -0.399 1.018  -0.520 1.018  -0.544 0.920  -0.642 0.897  -0.734 0.828  -0.785 0.728  -0.785 0.607  -0.735 0.535  -0.665 0.485  -0.614 0.415  -0.508 0.378  -0.421 0.294  -0.300 0.294  -0.180 0.293  -0.071 0.239  0.037 0.185  0.127 0.105  0.213 0.020  0.298 -0.066  0.384 -0.152  0.490 -0.188  0.541 -0.258  0.591 -0.359  0.662 -0.450  0.662 -0.571  0.662 -0.693  0.662 -0.814  0.645 -0.928  0.560 -1.014  0.474 -1.099  0.375 -1.153  0.300 -1.199  0.254 -1.273  0.132 -1.273  0.011 -1.273  -0.096 -1.307  -0.181 -1.393  -0.302 -1.394  -0.423 -1.394  -0.544 -1.394
1c#apa#apa00#app0055/n  -0.659 1.492  -0.511 1.471  -0.511 1.303  -0.555 1.153  -0.659 1.028  -0.659 0.860  -0.659 0.692  -0.659 0.523  -0.659 0.355  -0.659 0.187  -0.659 0.019  -0.659 -0.149  -0.659 -0.317  -0.619 -0.469  -0.511 -0.592  -0.511 -0.761  -0.511 -0.929  -0.511 -1.097  -0.511 -1.265  -0.511 -1.196  -0.511 -1.028  -0.364 -1.007  -0.364 -0.839  -0.364 -0.671  -0.331 -0.511  -0.256 -0.360  -0.216 -0.201  -0.146 -0.063  -0.068 0.074  -0.068 0.242  0.002 0.381  0.106 0.511  0.181 0.661  0.273 0.799  0.399 0.901  0.567 0.901  0.670 0.836  0.670 0.667  0.745 0.530  0.818 0.392  0.818 0.224  0.818 0.056  0.907 -0.075  0.965 -0.219  1.041 -0.356  1.113 -0.494  1.113 -0.662  1.113 -0.831  1.113 -0.999  1.113 -1.167
1c#apa#apa00#app0055/a  -1.111 0.892  -1.083 1.017  -0.986 1.073  -0.902 1.142  -0.748 1.142  -0.595 1.142  -0.442 1.142  -0.288 1.142  -0.135 1.142  0.018 1.142  0.172 1.142  0.308 1.101  0.427 1.017  0.518 0.955  0.518 0.801  0.518 0.648  0.503 0.501  0.394 0.392  0.267 0.365  0.230 0.227  0.112 0.140  -0.024 0.099  -0.133 -0.009  -0.234 -0.121  -0.261 -0.263  -0.369 -0.371  -0.478 -0.480  -0.485 -0.630  -0.531 -0.737  -0.610 -0.812  -0.610 -0.965  -0.518 -1.080  -0.409 -1.189  -0.277 -1.239  -0.123 -1.239  0.030 -1.239  0.184 -1.239  0.316 -1.189  0.438 -1.113  0.518 -1.040  0.620 -0.988  0.643 -0.858  0.643 -0.705  0.643 -0.551  0.643 -0.398  0.643 -0.245  0.629 -0.097  0.521 0.011  0.501 0.157  0.393 0.265
1c#apa#apa00#app0055/z  -0.942 1.303  -0.802 1.366  -0.674 1.443  -0.470 1.443  -0.266 1.443  -0.062 1.443  0.142 1.443  0.206 1.303  0.260 1.241  0.181 1.069  0.181 0.865  0.181 0.661  0.041 0.597  0.041 0.393  0.041 0.189  -0.096 0.042  -0.141 -0.143  -0.240 -0.307  -0.331 -0.473  -0.475 -0.617  -0.521 -0.803  -0.583 -0.944  -0.661 -1.070  -0.612 -1.225  -0.408 -1.225  -0.255 -1.100  -0.058 -1.084  0.146 -1.084  0.342 -1.064  0.496 -0.944  0.700 -0.944  0.904 -0.944  1.109 -0.944  1.036 -0.869  0.860 -0.767  0.684 -0.664  0.507 -0.561  0.331 -0.458  0.155 -0.355  -0.021 -0.252  -0.198 -0.150  -0.374 -0.047  -0.521 0.073  -0.521 0.277  -0.360 0.320  -0.155 0.320  0.005 0.425  0.195 0.460  0.399 0.460  0.603 0.460
1c#apa#apa00#app0055/z  -0.818 1.183  -0.673 1.249  -0.541 1.329  -0.330 1.329  -0.236 1.446  -0.053 1.474  0.158 1.474  0.346 1.451  0.346 1.240  0.340 1.031  0.201 0.877  0.144 0.690  0.055 0.515  0.049 0.310  -0.090 0.238  -0.187 0.067  -0.236 -0.124  -0.280 -0.317  -0.382 -0.487  -0.476 -0.659  -0.527 -0.849  -0.527 -1.060  -0.402 -1.147  -0.336 -1.292  -0.125 -1.292  -0.059 -1.147  0.152 -1.147  0.363 -1.147  0.575 -1.147  0.786 -1.147  0.997 -1.147  1.074 -1.012  0.910 -0.887  0.736 -0.767  0.562 -0.647  0.389 -0.526  0.215 -0.406  0.041 -0.286  -0.133 -0.165  -0.306 -0.045  -0.480 0.075  -0.654 0.196  -0.807 0.310  -0.596 0.310  -0.385 0.310  -0.173 0.310  0.038 0.310  0.249 0.310  0.449 0.361  0.638 0.455
1c#apa#apa00#app0055/y  -0.680 1.153  -0.581 1.234  -0.449 1.234  -0.327 1.260  -0.217 1.316  -0.189 1.212  -0.189 1.080  -0.271 1.029  -0.336 0.923  -0.372 0.805  -0.434 0.699  -0.434 0.566  -0.434 0.433  -0.434 0.301  -0.434 0.168  -0.382 0.088  -0.249 0.088  -0.137 0.139  -0.044 0.233  -0.001 0.334  0.057 0.409  0.139 0.507  0.182 0.622  0.276 0.716  0.315 0.825  0.385 0.762  0.362 0.638  0.303 0.530  0.303 0.397  0.303 0.265  0.303 0.132  0.303 -0.001  0.303 -0.133  0.303 -0.266  0.303 -0.399  0.303 -0.531  0.303 -0.664  0.303 -0.797  0.303 -0.929  0.303 -1.062  0.303 -1.195  0.303 -1.327  0.303 -1.460  0.273 -1.580  0.221 -1.692  0.110 -1.714  -0.022 -1.714  -0.107 -1.618  -0.172 -1.550  -0.271 -1.468
1c#apa#apa00#app0055/z  -1.053 1.288  -0.873 1.288  -0.693 1.288  -0.512 1.288  -0.332 1.288  -0.152 1.288  0.028 1.288  0.208 1.288  0.388 1.288  0.391 1.111  0.391 0.931  0.270 0.871  0.188 0.725  0.060 0.598  -0.067 0.470  -0.109 0.308  -0.237 0.180  -0.331 0.039  -0.331 -0.141  -0.449 -0.272  -0.451 -0.451  -0.451 -0.631  -0.451 -0.811  -0.451 -0.992  -0.326 -1.117  -0.146 -1.117  0.034 -1.117  0.214 -1.117  0.393 -1.114  0.524 -0.997  0.705 -0.997  0.885 -0.997  1.065 -0.997  1.206 -0.903  1.106 -0.810  0.947 -0.725  0.788 -0.641  0.629 -0.557  0.470 -0.473  0.310 -0.388  0.151 -0.304  -0.008 -0.220  -0.167 -0.135  -0.326 -0.051  -0.486 0.033  -0.645 0.117  -0.804 0.202  -0.656 0.242  -0.511 0.326  -0.331 0.326
1c#apa#apa00#app0055/o  0.355 1.231  0.210 1.231  0.099 1.150  -0.004 1.048  -0.106 0.946  -0.224 0.880  -0.347 0.859  -0.347 0.714  -0.468 0.644  -0.598 0.579  -0.698 0.496  -0.699 0.352  -0.802 0.250  -0.873 0.135  -0.873 -0.010  -0.873 -0.155  -0.873 -0.299  -0.805 -0.416  -0.703 -0.518  -0.698 -0.661  -0.622 -0.774  -0.520 -0.877  -0.417 -0.979  -0.315 -1.081  -0.212 -1.184  -0.085 -1.225  0.060 -1.225  0.205 -1.225  0.350 -1.225  0.494 -1.225  0.607 -1.148  0.705 -1.044  0.705 -0.899  0.705 -0.754  0.705 -0.609  0.705 -0.465  0.705 -0.320  0.705 -0.175  0.705 -0.030  0.705 0.114  0.669 0.251  0.605 0.380  0.540 0.510  0.443 0.616  0.346 0.722  0.281 0.851  0.217 0.981  0.179 1.117  0.149 1.231  0.004 1.231
1c#apa#apa00#app0055/m  -0.731 1.161  -0.793 1.021  -0.871 0.896  -0.955 0.714  -1.011 0.525  -1.011 0.322  -1.011 0.120  -1.011 -0.083  -1.011 -0.285  -1.011 -0.487  -1.011 -0.690  -1.011 -0.892  -0.871 -0.922  -0.871 -0.720  -0.808 -0.532  -0.709 -0.357  -0.591 -0.204  -0.591 -0.001  -0.520 0.184  -0.451 0.370  -0.372 0.540  -0.311 0.717  -0.144 0.768  -0.031 0.838  -0.031 0.636  -0.031 0.434  -0.031 0.231  -0.031 0.029  -0.031 -0.173  -0.031 -0.376  0.029 -0.518  0.231 -0.518  0.379 -0.388  0.522 -0.245  0.567 -0.061  0.727 0.041  0.809 0.162  0.938 0.311  1.081 0.454  1.140 0.601  1.228 0.487  1.203 0.295  1.088 0.140  1.088 -0.062  1.088 -0.264  1.088 -0.467  1.088 -0.669  1.140 -0.850  1.228 -1.016  1.228 -1.218
1c#apa#apa00#app0055/b  -0.093 2.255  -0.093 2.104  -0.093 1.954  -0.093 1.803  -0.093 1.653  -0.093 1.503  -0.093 1.352  -0.156 1.217  -0.223 1.082  -0.223 0.932  -0.223 0.781  -0.223 0.631  -0.223 0.480  -0.223 0.330  -0.278 0.192  -0.345 0.058  -0.354 -0.091  -0.354 -0.241  -0.354 -0.392  -0.354 -0.542  -0.354 -0.693  -0.354 -0.843  -0.354 -0.993  -0.354 -0.858  -0.330 -0.717  -0.224 -0.611  -0.223 -0.460  -0.195 -0.321  -0.093 -0.213  -0.075 -0.071  0.032 0.036  0.138 0.142  0.277 0.171  0.389 0.080  0.428 -0.055  0.544 -0.089  0.558 -0.225  0.584 -0.350  0.688 -0.396  0.688 -0.547  0.688 -0.697  0.688 -0.847  0.598 -0.961  0.464 -1.001  0.347 -1.081  0.217 -1.131  0.067 -1.131  -0.083 -1.131  -0.219 -1.068  -0.354 -1.001
1c#apa#apa00#app0055/i  -0.181 0.425  -0.181 0.305  -0.183 0.186  -0.268 0.101  -0.300 -0.006  -0.300 -0.126  -0.300 -0.246  -0.300 -0.366  -0.300 -0.486  -0.300 -0.606  -0.300 -0.726  -0.300 -0.846  -0.300 -0.966  -0.300 -1.086  -0.210 -1.116  -0.181 -1.208  -0.181 -1.328  -0.181 -1.259  -0.085 -1.235  -0.063 -1.138  0.036 -1.116  0.056 -1.016  0.158 -0.998  0.248 -0.925  0.332 -0.840  0.410 -0.753  0.389 -0.635  0.368 -0.517  0.346 -0.399  0.325 -0.280  0.303 -0.162  0.282 -0.044  0.260 0.074  0.239 0.192  0.217 0.310  0.196 0.428  0.174 0.546  0.153 0.665  0.131 0.783  0.110 0.901  0.088 1.019  0.067 1.137  0.045 1.255  0.024 1.373  0.002 1.491  -0.019 1.610  -0.041 1.728  -0.062 1.846  -0.063 1.966  -0.063 2.086
1c#apa#apa00#app0055/e  -0.647 0.243  -0.501 0.243  -0.356 0.243  -0.331 0.364  -0.222 0.401  -0.087 0.444  0.043 0.509  0.177 0.559  0.316 0.575  0.419 0.678  0.549 0.717  0.694 0.717  0.840 0.717  0.931 0.771  0.890 0.875  0.744 0.875  0.599 0.875  0.453 0.875  0.307 0.875  0.162 0.875  0.016 0.875  -0.129 0.875  -0.173 0.773  -0.263 0.717  -0.386 0.662  -0.489 0.559  -0.634 0.559  -0.647 0.426  -0.732 0.316  -0.805 0.200  -0.805 0.055  -0.792 -0.086  -0.689 -0.189  -0.647 -0.317  -0.647 -0.462  -0.603 -0.590  -0.500 -0.693  -0.397 -0.796  -0.294 -0.899  -0.191 -1.002  -0.053 -1.020  0.061 -1.096  0.164 -1.199  0.267 -1.302  0.388 -1.379  0.518 -1.444  0.652 -1.493  0.798 -1.493  0.944 -1.493  1.089 -1.493
