2#app#app32#app3258/!  -0.086 1.758  -0.086 1.684  -0.086 1.610  -0.086 1.536  -0.086 1.462  -0.086 1.388  -0.086 1.314  -0.086 1.241  -0.086 1.167  -0.086 1.093  -0.086 1.019  -0.086 0.945  -0.086 0.871  -0.086 0.797  -0.086 0.723  -0.086 0.650  -0.086 0.576  -0.086 0.502  -0.086 0.428  -0.086 0.354  -0.086 0.280  -0.076 0.207  -0.063 0.135  -0.050 0.062  -0.037 -0.011  -0.023 -0.083  -0.010 -0.156  0.003 -0.229  0.016 -0.301  0.029 -0.374  0.043 -0.447  0.056 -0.519  0.069 -0.592  0.082 -0.665  0.095 -0.738  0.109 -0.810  0.122 -0.883  0.135 -0.956  0.148 -1.028  0.162 -1.101  0.175 -1.174  0.188 -1.246  0.201 -1.319  0.208 -1.386  0.134 -1.386  0.064 -1.382  0.064 -1.308  0.062 -1.236  -0.012 -1.236  -0.086 -1.236
2#app#app32#app3258/~  -1.511 0.039  -1.511 0.146  -1.475 0.216  -1.368 0.216  -1.333 0.289  -1.332 0.395  -1.257 0.471  -1.181 0.546  -1.085 0.572  -0.978 0.572  -0.871 0.572  -0.764 0.572  -0.657 0.572  -0.571 0.521  -0.496 0.445  -0.445 0.359  -0.445 0.252  -0.395 0.166  -0.319 0.090  -0.267 0.005  -0.267 -0.102  -0.267 -0.209  -0.267 -0.316  -0.192 -0.392  -0.117 -0.467  -0.021 -0.494  0.086 -0.494  0.088 -0.599  0.122 -0.672  0.229 -0.672  0.336 -0.672  0.443 -0.672  0.550 -0.672  0.646 -0.647  0.722 -0.571  0.798 -0.496  0.904 -0.494  0.977 -0.460  0.977 -0.353  1.026 -0.267  1.102 -0.191  1.154 -0.106  1.154 0.001  1.154 0.108  1.154 0.215  1.154 0.322  1.154 0.429  1.154 0.536  1.154 0.643  1.154 0.750
2#app#app32#app3258/  -1.691 -0.237  -1.618 -0.237  -1.545 -0.237  -1.472 -0.237  -1.399 -0.237  -1.326 -0.237  -1.253 -0.237  -1.180 -0.237  -1.107 -0.237  -1.034 -0.237  -0.961 -0.237  -0.888 -0.237  -0.815 -0.237  -0.742 -0.237  -0.668 -0.237  -0.595 -0.237  -0.522 -0.237  -0.449 -0.237  -0.388 -0.210  -0.336 -0.158  -0.284 -0.107  -0.233 -0.055  -0.181 -0.004  -0.129 0.048  -0.078 0.100  -0.026 0.151  0.032 0.188  0.105 0.188  0.178 0.188  0.251 0.188  0.324 0.188  0.397 0.188  0.470 0.188  0.543 0.188  0.616 0.188  0.689 0.188  0.762 0.188  0.835 0.188  0.908 0.188  0.981 0.188  1.054 0.188  1.127 0.188  1.200 0.188  1.273 0.188  1.346 0.188  1.419 0.188  1.492 0.188  1.565 0.188  1.638 0.188  1.711 0.188
2#app#app32#app3258/_  -1.614 0.240  -1.564 0.190  -1.515 0.141  -1.465 0.091  -1.416 0.042  -1.367 -0.008  -1.300 -0.016  -1.230 -0.016  -1.160 -0.016  -1.090 -0.016  -1.020 -0.016  -0.950 -0.016  -0.881 -0.016  -0.811 -0.016  -0.741 -0.016  -0.671 -0.016  -0.601 -0.016  -0.531 -0.016  -0.461 -0.016  -0.391 -0.016  -0.321 -0.016  -0.251 -0.016  -0.181 -0.016  -0.111 -0.016  -0.042 -0.016  0.028 -0.016  0.098 -0.016  0.168 -0.016  0.238 -0.016  0.308 -0.016  0.378 -0.016  0.448 -0.016  0.518 -0.016  0.588 -0.016  0.658 -0.016  0.728 -0.016  0.797 -0.016  0.867 -0.016  0.937 -0.016  1.007 -0.016  1.077 -0.016  1.147 -0.016  1.217 -0.016  1.287 -0.016  1.357 -0.016  1.427 -0.016  1.497 -0.016  1.567 -0.016  1.636 -0.016  1.706 -0.016
2#app#app32#app3258/+  0.695 1.661  0.695 1.484  0.613 1.342  0.488 1.217  0.458 1.052  0.458 0.876  0.458 0.699  0.458 0.522  0.366 0.384  0.241 0.259  0.221 0.091  0.221 -0.086  0.221 -0.263  0.221 -0.439  0.221 -0.616  0.279 -0.768  0.404 -0.893  0.366 -0.907  0.205 -0.835  0.043 -0.763  -0.118 -0.691  -0.280 -0.620  -0.441 -0.548  -0.602 -0.476  -0.764 -0.405  -0.925 -0.333  -1.087 -0.261  -1.248 -0.189  -1.410 -0.118  -1.571 -0.046  -1.615 0.001  -1.438 0.001  -1.262 0.001  -1.085 0.001  -0.908 0.001  -0.732 0.001  -0.555 0.001  -0.378 0.001  -0.202 0.001  -0.025 0.001  0.152 0.001  0.328 0.001  0.505 0.001  0.682 0.001  0.858 0.001  1.035 0.001  1.211 0.001  1.388 0.001  1.518 -0.111  1.643 -0.236
2#app#app32#app3258/=  -0.112 1.138  -0.112 1.032  -0.112 0.926  -0.112 1.031  -0.112 1.137  -0.007 1.138  0.099 1.138  0.205 1.138  0.310 1.138  0.416 1.138  0.522 1.138  0.627 1.138  0.733 1.138  0.680 1.051  0.623 0.961  0.567 0.872  0.510 0.783  0.453 0.694  0.396 0.605  0.340 0.516  0.283 0.426  0.226 0.337  0.169 0.248  0.113 0.159  0.056 0.070  -0.001 -0.019  -0.058 -0.109  -0.114 -0.198  -0.171 -0.287  -0.228 -0.376  -0.285 -0.465  -0.341 -0.554  -0.398 -0.644  -0.455 -0.733  -0.511 -0.822  -0.568 -0.911  -0.625 -1.000  -0.682 -1.089  -0.738 -1.179  -0.657 -1.192  -0.552 -1.192  -0.446 -1.192  -0.340 -1.192  -0.234 -1.192  -0.129 -1.192  -0.023 -1.192  0.083 -1.192  0.162 -1.130  0.237 -1.055  0.312 -0.980
2#app#app32#app3258/[  1.044 1.165  0.953 1.165  0.861 1.165  0.770 1.165  0.701 1.110  0.636 1.046  0.555 1.022  0.465 1.018  0.400 0.953  0.335 0.889  0.249 0.878  0.164 0.861  0.099 0.796  0.034 0.734  -0.058 0.734  -0.149 0.734  -0.241 0.734  -0.309 0.677  -0.373 0.612  -0.438 0.547  -0.503 0.483  -0.500 0.446  -0.409 0.446  -0.396 0.367  -0.396 0.276  -0.396 0.185  -0.396 0.093  -0.396 0.002  -0.396 -0.090  -0.396 -0.181  -0.396 -0.273  -0.396 -0.364  -0.369 -0.445  -0.304 -0.509  -0.240 -0.574  -0.175 -0.639  -0.110 -0.703  -0.108 -0.794  -0.108 -0.885  -0.108 -0.977  -0.074 -1.060  -0.033 -1.142  0.007 -1.224  0.036 -1.309  0.036 -1.400  0.102 -1.426  0.180 -1.439  0.180 -1.531  0.180 -1.622  0.180 -1.714
2#app#app32#app3258/]  -0.958 0.843  -0.870 0.843  -0.781 0.843  -0.693 0.843  -0.675 0.913  -0.658 0.984  -0.570 0.984  -0.481 0.984  -0.393 0.984  -0.305 0.984  -0.216 0.984  -0.128 0.984  -0.040 0.984  0.048 0.984  0.137 0.984  0.174 0.933  0.174 0.845  0.260 0.843  0.316 0.810  0.316 0.722  0.316 0.633  0.316 0.545  0.316 0.457  0.316 0.369  0.316 0.280  0.316 0.192  0.316 0.104  0.316 0.015  0.294 -0.069  0.266 -0.153  0.239 -0.237  0.211 -0.321  0.183 -0.404  0.174 -0.491  0.174 -0.580  0.174 -0.668  0.174 -0.756  0.174 -0.844  0.174 -0.933  0.174 -1.021  0.174 -1.109  0.132 -1.180  0.069 -1.242  0.033 -1.316  0.033 -1.404  0.033 -1.492  0.033 -1.580  0.033 -1.669  -0.021 -1.704  -0.109 -1.704
2#app#app32#app3258/{  0.419 1.588  0.308 1.588  0.299 1.486  0.233 1.403  0.180 1.314  0.153 1.230  0.061 1.212  0.054 1.104  -0.024 1.026  -0.058 0.929  -0.112 0.873  -0.177 0.827  -0.214 0.754  -0.297 0.725  -0.297 0.614  -0.308 0.515  -0.416 0.512  -0.416 0.402  -0.311 0.396  -0.200 0.396  -0.090 0.396  0.021 0.396  0.132 0.396  0.180 0.334  0.234 0.277  0.299 0.232  0.299 0.121  0.299 0.010  0.299 -0.100  0.299 -0.211  0.299 -0.321  0.299 -0.432  0.195 -0.438  0.180 -0.534  0.180 -0.645  0.101 -0.677  0.061 -0.747  0.017 -0.840  -0.061 -0.918  -0.139 -0.996  -0.234 -1.034  -0.297 -1.082  -0.297 -1.193  -0.297 -1.304  -0.297 -1.414  -0.287 -1.521  -0.209 -1.599  -0.111 -1.630  -0.017 -1.671  0.061 -1.749
2#app#app32#app3258/}  -0.411 1.483  -0.316 1.483  -0.221 1.483  -0.125 1.483  -0.030 1.482  0.037 1.415  0.104 1.347  0.159 1.274  0.159 1.179  0.159 1.084  0.159 0.989  0.145 0.899  0.078 0.832  0.064 0.742  0.010 0.669  -0.057 0.602  -0.124 0.535  -0.192 0.467  -0.221 0.384  -0.259 0.305  -0.316 0.233  -0.316 0.138  -0.316 0.043  -0.305 -0.048  -0.237 -0.115  -0.149 -0.132  -0.054 -0.132  0.041 -0.132  0.137 -0.132  0.232 -0.132  0.180 -0.132  0.159 -0.205  0.159 -0.301  0.159 -0.396  0.159 -0.491  0.159 -0.586  0.159 -0.682  0.159 -0.777  0.159 -0.872  0.159 -0.967  0.159 -1.063  0.159 -1.158  0.159 -1.253  0.159 -1.348  0.159 -1.444  0.104 -1.516  0.037 -1.583  -0.031 -1.651  -0.126 -1.651  -0.221 -1.651
2#app#app32#app3258/\\  -0.415 1.592  -0.415 1.517  -0.415 1.443  -0.415 1.368  -0.415 1.294  -0.377 1.257  -0.303 1.257  -0.248 1.237  -0.248 1.163  -0.248 1.088  -0.248 1.014  -0.248 0.939  -0.248 0.865  -0.248 0.790  -0.248 0.716  -0.248 0.641  -0.248 0.567  -0.248 0.492  -0.247 0.418  -0.223 0.347  -0.200 0.276  -0.176 0.205  -0.153 0.135  -0.129 0.064  -0.105 -0.007  -0.082 -0.077  -0.031 -0.131  0.022 -0.184  0.074 -0.237  0.087 -0.306  0.087 -0.381  0.087 -0.455  0.087 -0.530  0.101 -0.598  0.154 -0.651  0.206 -0.704  0.255 -0.758  0.255 -0.833  0.255 -0.908  0.299 -0.964  0.352 -1.016  0.404 -1.069  0.422 -1.136  0.422 -1.211  0.444 -1.276  0.497 -1.329  0.550 -1.382  0.589 -1.440  0.589 -1.514  0.589 -1.589
2#app#app32#app3258/,  0.306 1.672  0.306 1.599  0.306 1.526  0.306 1.452  0.306 1.379  0.306 1.305  0.306 1.232  0.306 1.158  0.306 1.085  0.306 1.012  0.306 0.938  0.306 0.865  0.306 0.791  0.306 0.718  0.306 0.644  0.306 0.571  0.306 0.497  0.306 0.424  0.306 0.351  0.306 0.277  0.306 0.204  0.306 0.130  0.306 0.057  0.306 -0.017  0.306 -0.090  0.306 -0.163  0.266 -0.220  0.214 -0.272  0.162 -0.324  0.110 -0.376  0.058 -0.428  0.006 -0.480  -0.046 -0.532  -0.098 -0.584  -0.150 -0.636  -0.202 -0.688  -0.254 -0.739  -0.306 -0.791  -0.358 -0.843  -0.409 -0.895  -0.461 -0.947  -0.513 -0.999  -0.565 -1.051  -0.617 -1.103  -0.669 -1.155  -0.721 -1.207  -0.773 -1.259  -0.825 -1.311  -0.877 -1.363  -0.929 -1.415
2#app#app32#app3258/  1.188 1.309  1.132 1.253  1.076 1.198  1.028 1.139  1.028 1.060  1.022 0.984  0.967 0.928  0.911 0.873  0.855 0.817  0.800 0.761  0.744 0.706  0.688 0.650  0.633 0.594  0.577 0.539  0.510 0.510  0.431 0.510  0.363 0.485  0.308 0.429  0.252 0.373  0.196 0.318  0.141 0.262  0.085 0.207  0.029 0.151  -0.026 0.095  -0.082 0.040  -0.138 -0.016  -0.193 -0.072  -0.249 -0.127  -0.305 -0.183  -0.360 -0.239  -0.416 -0.294  -0.472 -0.350  -0.527 -0.406  -0.570 -0.467  -0.570 -0.545  -0.570 -0.624  -0.570 -0.703  -0.584 -0.768  -0.662 -0.768  -0.729 -0.779  -0.729 -0.858  -0.729 -0.937  -0.729 -1.015  -0.736 -1.087  -0.815 -1.087  -0.889 -1.082  -0.889 -1.004  -0.887 -0.927  -0.808 -0.927  -0.729 -0.927
2#app#app32#app3258/?  -0.765 0.777  -0.652 0.777  -0.617 0.856  -0.573 0.925  -0.468 0.935  -0.468 1.048  -0.380 1.074  -0.266 1.074  -0.152 1.074  -0.038 1.074  0.075 1.074  0.189 1.074  0.303 1.074  0.417 1.074  0.499 0.998  0.580 0.918  0.660 0.837  0.721 0.749  0.721 0.635  0.721 0.521  0.670 0.428  0.590 0.348  0.532 0.251  0.482 0.149  0.431 0.047  0.325 0.033  0.230 -0.012  0.150 -0.092  0.069 -0.173  -0.011 -0.253  -0.121 -0.264  -0.171 -0.328  -0.200 -0.413  -0.314 -0.413  -0.427 -0.413  -0.468 -0.486  -0.468 -0.599  -0.466 -0.713  -0.403 -0.807  -0.340 -0.902  -0.277 -0.997  -0.214 -1.092  -0.151 -1.186  -0.087 -1.281  -0.024 -1.376  0.039 -1.470  0.102 -1.565  0.057 -1.602  -0.022 -1.637  -0.022 -1.750
2#app#app32#app3258/'  0.127 1.299  0.212 1.299  0.296 1.299  0.381 1.299  0.465 1.299  0.549 1.298  0.549 1.213  0.549 1.129  0.549 1.044  0.549 0.960  0.549 0.875  0.549 0.791  0.549 0.706  0.549 0.622  0.549 0.537  0.545 0.457  0.460 0.457  0.376 0.457  0.291 0.457  0.207 0.457  0.127 0.452  0.127 0.367  0.127 0.283  0.127 0.198  0.127 0.114  0.123 0.031  0.063 -0.029  0.003 -0.088  -0.056 -0.148  -0.116 -0.208  -0.176 -0.268  -0.236 -0.327  -0.294 -0.388  -0.294 -0.472  -0.294 -0.557  -0.294 -0.641  -0.294 -0.726  -0.296 -0.809  -0.356 -0.869  -0.416 -0.929  -0.475 -0.989  -0.535 -1.048  -0.595 -1.108  -0.655 -1.168  -0.714 -1.227  -0.715 -1.312  -0.715 -1.396  -0.715 -1.481  -0.715 -1.565  -0.715 -1.650
2#app#app32#app3258/\"  -0.834 1.274  -0.991 1.274  -1.054 1.179  -1.054 1.022  -1.054 0.865  -1.054 0.708  -1.054 0.550  -1.054 0.393  -1.054 0.236  -1.054 0.079  -1.021 -0.045  -0.863 -0.045  -0.834 -0.173  -0.834 -0.330  -0.834 -0.487  -0.834 -0.645  -0.761 -0.640  -0.642 -0.537  -0.524 -0.433  -0.406 -0.330  -0.288 -0.226  -0.169 -0.123  -0.051 -0.019  0.067 0.084  0.186 0.188  0.304 0.291  0.422 0.395  0.541 0.498  0.659 0.602  0.777 0.705  0.896 0.809  0.925 0.715  0.925 0.558  0.925 0.401  0.925 0.244  0.925 0.086  0.906 -0.063  0.795 -0.174  0.705 -0.294  0.705 -0.451  0.705 -0.609  0.705 -0.766  0.705 -0.923  0.705 -0.769  0.611 -0.705  0.515 -0.705  0.673 -0.705  0.705 -0.830  0.705 -0.987  0.705 -1.144
2#app#app32#app3258/<  0.654 1.437  0.753 1.437  0.828 1.414  0.828 1.316  0.783 1.263  0.684 1.263  0.654 1.195  0.654 1.096  0.613 1.008  0.569 0.919  0.525 0.831  0.481 0.743  0.384 0.741  0.306 0.721  0.306 0.622  0.276 0.537  0.206 0.467  0.136 0.397  0.040 0.393  -0.054 0.381  -0.123 0.312  -0.193 0.242  -0.216 0.153  -0.216 0.055  -0.305 0.046  -0.399 0.036  -0.469 -0.034  -0.538 -0.103  -0.563 -0.191  -0.563 -0.290  -0.624 -0.363  -0.694 -0.433  -0.737 -0.513  -0.737 -0.611  -0.678 -0.650  -0.579 -0.650  -0.563 -0.733  -0.559 -0.829  -0.489 -0.899  -0.419 -0.968  -0.333 -0.998  -0.235 -0.998  -0.160 -1.054  -0.090 -1.124  -0.012 -1.172  0.087 -1.172  0.132 -1.225  0.132 -1.323  0.208 -1.346  0.306 -1.346
2#app#app32#app3258/|  0.574 1.561  0.522 1.509  0.470 1.457  0.432 1.400  0.432 1.326  0.415 1.260  0.363 1.208  0.312 1.157  0.260 1.105  0.208 1.053  0.156 1.001  0.148 0.931  0.148 0.858  0.148 0.785  0.148 0.712  0.098 0.659  0.046 0.608  0.007 0.551  0.007 0.478  0.007 0.404  0.007 0.331  -0.012 0.266  -0.064 0.214  -0.116 0.162  -0.135 0.097  -0.135 0.024  -0.135 -0.050  -0.135 -0.123  -0.135 -0.196  -0.135 -0.269  -0.135 -0.342  -0.135 -0.416  -0.135 -0.489  -0.135 -0.562  -0.135 -0.635  -0.135 -0.709  -0.135 -0.782  -0.135 -0.855  -0.135 -0.928  -0.140 -1.000  -0.172 -1.066  -0.205 -1.131  -0.238 -1.197  -0.271 -1.262  -0.277 -1.334  -0.277 -1.407  -0.277 -1.481  -0.277 -1.554  -0.277 -1.627  -0.277 -1.700
2#app#app32#app3258/>  -0.795 1.610  -0.795 1.511  -0.764 1.425  -0.694 1.354  -0.630 1.280  -0.585 1.191  -0.541 1.102  -0.496 1.013  -0.433 0.938  -0.363 0.868  -0.277 0.835  -0.178 0.835  -0.107 0.767  -0.036 0.697  -0.020 0.604  0.000 0.525  0.099 0.525  0.180 0.480  0.250 0.410  0.321 0.340  0.391 0.269  0.461 0.199  0.531 0.129  0.602 0.060  0.701 0.060  0.756 0.015  0.756 -0.084  0.756 -0.184  0.756 -0.283  0.756 -0.382  0.702 -0.459  0.632 -0.530  0.562 -0.600  0.492 -0.670  0.411 -0.716  0.312 -0.716  0.235 -0.771  0.165 -0.841  0.078 -0.871  -0.021 -0.872  -0.091 -0.942  -0.161 -1.013  -0.255 -1.026  -0.354 -1.026  -0.453 -1.026  -0.485 -1.094  -0.497 -1.181  -0.596 -1.181  -0.640 -1.237  -0.640 -1.336
