2#apa#apa15#app1553/t  -0.203 1.816  -0.203 1.637  -0.203 1.457  -0.203 1.278  -0.203 1.098  -0.186 0.920  -0.151 0.744  -0.116 0.568  -0.081 0.392  -0.045 0.216  -0.010 0.040  0.001 -0.139  0.001 -0.318  0.001 -0.498  0.001 -0.677  0.001 -0.857  0.001 -1.037  0.001 -1.216  0.001 -1.396  0.001 -1.575  0.050 -1.548  0.130 -1.388  0.210 -1.227  0.283 -1.063  0.356 -0.899  0.429 -0.735  0.502 -0.571  0.575 -0.406  0.647 -0.242  0.720 -0.078  0.793 0.086  0.866 0.250  0.939 0.414  1.012 0.578  0.905 0.480  0.762 0.391  0.583 0.391  0.403 0.391  0.224 0.391  0.044 0.391  -0.135 0.391  -0.315 0.391  -0.495 0.391  -0.663 0.355  -0.813 0.255  -0.962 0.156  -1.112 0.056  -1.269 -0.017  -1.449 -0.017  -1.628 -0.017
2#apa#apa15#app1553/p  -0.518 0.151  -0.518 -0.001  -0.518 -0.154  -0.477 -0.299  -0.429 -0.444  -0.380 -0.588  -0.323 -0.729  -0.255 -0.865  -0.188 -1.002  -0.140 -1.146  -0.092 -1.291  -0.044 -1.435  -0.027 -1.585  -0.027 -1.560  -0.062 -1.415  -0.130 -1.279  -0.196 -1.142  -0.244 -0.998  -0.292 -0.853  -0.340 -0.709  -0.354 -0.559  -0.354 -0.407  -0.354 -0.254  -0.354 -0.102  -0.354 0.050  -0.354 0.203  -0.354 0.355  -0.354 0.507  -0.354 0.659  -0.351 0.811  -0.266 0.937  -0.182 1.064  -0.097 1.191  -0.002 1.304  0.142 1.352  0.286 1.400  0.431 1.448  0.547 1.376  0.644 1.261  0.713 1.125  0.781 0.989  0.791 0.839  0.791 0.686  0.791 0.534  0.791 0.382  0.731 0.254  0.623 0.147  0.515 0.039  0.408 -0.069  0.300 -0.176
2#apa#apa15#app1553/h  -0.727 1.852  -0.727 1.730  -0.713 1.610  -0.674 1.495  -0.635 1.379  -0.597 1.264  -0.558 1.148  -0.529 1.031  -0.529 0.909  -0.529 0.787  -0.529 0.665  -0.529 0.543  -0.515 0.423  -0.476 0.308  -0.438 0.192  -0.399 0.076  -0.360 -0.039  -0.331 -0.156  -0.331 -0.278  -0.331 -0.400  -0.331 -0.522  -0.331 -0.644  -0.331 -0.766  -0.331 -0.888  -0.266 -0.983  -0.180 -1.069  -0.134 -1.058  -0.134 -0.936  -0.134 -0.814  -0.125 -0.694  -0.087 -0.578  -0.048 -0.463  -0.010 -0.347  0.029 -0.231  0.074 -0.121  0.183 -0.067  0.292 -0.012  0.401 0.042  0.510 0.047  0.619 -0.008  0.728 -0.062  0.837 -0.117  0.927 -0.198  1.013 -0.284  1.100 -0.370  1.186 -0.457  1.251 -0.551  1.251 -0.673  1.251 -0.795  1.251 -0.917
2#apa#apa15#app1553/w  -0.537 0.938  -0.631 1.031  -0.724 1.024  -0.811 0.928  -0.815 0.797  -0.908 0.704  -0.948 0.588  -0.948 0.455  -0.948 0.323  -0.948 0.191  -0.948 0.059  -0.948 -0.074  -0.948 -0.206  -0.948 -0.338  -0.935 -0.468  -0.893 -0.594  -0.851 -0.719  -0.806 -0.841  -0.674 -0.840  -0.549 -0.799  -0.423 -0.757  -0.298 -0.715  -0.196 -0.635  -0.102 -0.542  -0.009 -0.448  0.085 -0.355  0.147 -0.248  0.147 -0.116  0.110 -0.020  0.010 -0.052  0.022 -0.181  0.081 -0.299  0.140 -0.418  0.265 -0.430  0.397 -0.430  0.529 -0.430  0.650 -0.383  0.769 -0.324  0.868 -0.243  0.948 -0.137  1.027 -0.031  1.106 0.075  1.186 0.180  1.249 0.294  1.275 0.423  1.301 0.553  1.327 0.683  1.352 0.812  1.378 0.942  1.378 1.074
2#apa#apa15#app1553/o  -0.014 0.387  -0.014 0.551  0.027 0.705  0.100 0.851  0.174 0.998  0.161 1.091  -0.003 1.091  -0.014 0.939  -0.051 0.784  -0.124 0.637  -0.197 0.491  -0.270 0.345  -0.344 0.198  -0.417 0.052  -0.490 -0.095  -0.563 -0.241  -0.636 -0.388  -0.710 -0.534  -0.718 -0.696  -0.718 -0.859  -0.718 -1.023  -0.718 -1.187  -0.718 -1.350  -0.694 -1.490  -0.530 -1.490  -0.366 -1.490  -0.216 -1.457  -0.101 -1.341  0.007 -1.219  0.091 -1.079  0.176 -0.938  0.260 -0.798  0.344 -0.658  0.428 -0.517  0.512 -0.377  0.597 -0.237  0.681 -0.096  0.689 0.065  0.689 0.229  0.689 0.392  0.689 0.556  0.689 0.720  0.689 0.884  0.689 1.047  0.569 1.091  0.406 1.091  0.242 1.091  0.078 1.091  -0.085 1.091  -0.249 1.091
2#apa#apa15#app1553/r  -0.395 1.231  -0.454 1.113  -0.513 0.994  -0.572 0.876  -0.632 0.757  -0.691 0.639  -0.704 0.520  -0.644 0.402  -0.585 0.283  -0.526 0.165  -0.467 0.046  -0.407 -0.072  -0.395 -0.202  -0.395 -0.334  -0.395 -0.467  -0.395 -0.599  -0.395 -0.731  -0.349 -0.853  -0.290 -0.972  -0.231 -1.090  -0.171 -1.209  -0.112 -1.327  -0.041 -1.427  0.091 -1.427  0.224 -1.427  0.270 -1.341  0.270 -1.208  0.270 -1.076  0.270 -0.943  0.270 -0.811  0.270 -0.678  0.270 -0.546  0.270 -0.413  0.270 -0.281  0.270 -0.148  0.270 -0.016  0.270 0.117  0.270 0.249  0.270 0.381  0.270 0.514  0.270 0.646  0.270 0.779  0.279 0.908  0.372 1.001  0.466 1.095  0.560 1.189  0.653 1.282  0.747 1.376  0.841 1.470  0.934 1.563
2#apa#apa15#app1553/k  -0.907 1.387  -0.907 1.178  -0.907 0.970  -0.907 0.761  -0.907 0.553  -0.907 0.345  -0.888 0.138  -0.847 -0.066  -0.806 -0.271  -0.765 -0.475  -0.724 -0.679  -0.665 -0.879  -0.599 -1.076  -0.533 -1.274  -0.440 -1.155  -0.341 -0.971  -0.242 -0.788  -0.143 -0.604  -0.044 -0.421  0.054 -0.238  0.153 -0.054  0.252 0.129  0.351 0.313  0.450 0.496  0.548 0.680  0.647 0.863  0.746 1.047  0.866 1.194  0.977 1.154  0.830 1.006  0.664 0.881  0.497 0.756  0.330 0.631  0.164 0.506  -0.018 0.424  -0.200 0.361  -0.347 0.214  -0.495 0.067  -0.522 -0.131  -0.355 -0.236  -0.169 -0.329  0.027 -0.400  0.225 -0.466  0.422 -0.532  0.610 -0.622  0.796 -0.716  0.992 -0.786  1.190 -0.852  1.387 -0.918  1.403 -1.115
2#apa#apa15#app1553/e  -1.173 -0.957  -1.064 -1.066  -0.954 -1.176  -0.845 -1.283  -0.736 -1.174  -0.626 -1.065  -0.516 -0.957  -0.361 -0.957  -0.207 -0.957  -0.129 -0.832  -0.060 -0.694  0.009 -0.556  0.078 -0.417  0.150 -0.281  0.236 -0.152  0.322 -0.023  0.408 0.105  0.494 0.234  0.579 0.363  0.665 0.491  0.751 0.620  0.790 0.763  0.790 0.917  0.743 1.053  0.634 1.162  0.525 1.271  0.396 1.333  0.241 1.333  0.086 1.333  -0.068 1.333  -0.206 1.305  -0.275 1.167  -0.344 1.028  -0.413 0.890  -0.482 0.752  -0.486 0.613  -0.417 0.475  -0.347 0.337  -0.278 0.198  -0.209 0.060  -0.128 -0.071  -0.042 -0.200  0.044 -0.329  0.130 -0.457  0.216 -0.586  0.301 -0.715  0.387 -0.843  0.463 -0.975  0.463 -1.130  0.463 -1.284
2#apa#apa15#app1553/d  0.192 2.225  0.192 2.059  0.192 1.893  0.097 1.766  0.009 1.636  0.009 1.470  0.009 1.304  0.009 1.138  0.009 0.972  0.009 0.806  0.009 0.640  0.009 0.474  0.009 0.308  0.009 0.142  0.009 -0.025  0.009 -0.191  0.023 -0.353  0.097 -0.502  0.171 -0.651  0.230 -0.806  0.282 -0.963  0.335 -1.121  0.404 -1.208  0.521 -1.090  0.556 -0.938  0.556 -0.772  0.556 -0.606  0.556 -0.440  0.519 -0.290  0.402 -0.172  0.317 -0.031  0.243 0.118  0.146 0.243  -0.003 0.317  -0.151 0.392  -0.300 0.339  -0.448 0.265  -0.585 0.173  -0.702 0.056  -0.720 -0.103  -0.720 -0.269  -0.720 -0.435  -0.678 -0.592  -0.604 -0.740  -0.525 -0.885  -0.408 -1.003  -0.264 -1.056  -0.105 -1.089  0.043 -1.163  0.192 -1.238
2#apa#apa15#app1553/.  0.192 2.225  0.192 2.059  0.192 1.893  0.097 1.766  0.009 1.636  0.009 1.470  0.009 1.304  0.009 1.138  0.009 0.972  0.009 0.806  0.009 0.640  0.009 0.474  0.009 0.308  0.009 0.142  0.009 -0.025  0.009 -0.191  0.023 -0.353  0.097 -0.502  0.171 -0.651  0.230 -0.806  0.282 -0.963  0.335 -1.121  0.404 -1.208  0.521 -1.090  0.556 -0.938  0.556 -0.772  0.556 -0.606  0.556 -0.440  0.519 -0.290  0.402 -0.172  0.317 -0.031  0.243 0.118  0.146 0.243  -0.003 0.317  -0.151 0.392  -0.300 0.339  -0.448 0.265  -0.585 0.173  -0.702 0.056  -0.720 -0.103  -0.720 -0.269  -0.720 -0.435  -0.678 -0.592  -0.604 -0.740  -0.525 -0.885  -0.408 -1.003  -0.264 -1.056  -0.105 -1.089  0.043 -1.163  0.192 -1.238
2#apa#apa15#app1553/E  -0.442 0.851  -0.606 1.015  -0.610 0.792  -0.640 0.564  -0.696 0.339  -0.752 0.114  -0.778 -0.115  -0.778 -0.346  -0.778 -0.578  -0.778 -0.810  -0.778 -1.042  -0.665 -1.161  -0.433 -1.161  -0.202 -1.161  0.030 -1.161  0.261 -1.153  0.486 -1.097  0.711 -1.041  0.937 -0.993  1.099 -0.897  1.172 -0.677  1.245 -0.457  1.319 -0.237  1.392 -0.017  1.201 0.012  0.969 0.012  0.738 0.012  0.508 -0.002  0.283 -0.058  0.058 -0.114  -0.169 -0.155  -0.401 -0.155  -0.632 -0.155  -0.709 -0.102  -0.526 0.040  -0.343 0.183  -0.160 0.325  0.023 0.467  0.206 0.610  0.389 0.752  0.572 0.894  0.705 1.005  0.498 0.902  0.278 0.851  0.046 0.851  -0.186 0.851  -0.418 0.851  -0.649 0.851  -0.881 0.851  -1.113 0.851
2#apa#apa15#app1553/v  -0.564 1.310  -0.609 1.221  -0.654 1.132  -0.698 1.042  -0.743 0.953  -0.788 0.864  -0.832 0.774  -0.837 0.676  -0.837 0.576  -0.837 0.476  -0.837 0.376  -0.837 0.276  -0.837 0.176  -0.837 0.077  -0.837 -0.023  -0.806 -0.116  -0.762 -0.205  -0.717 -0.294  -0.672 -0.384  -0.628 -0.473  -0.583 -0.562  -0.523 -0.641  -0.453 -0.711  -0.382 -0.782  -0.311 -0.852  -0.223 -0.849  -0.129 -0.818  -0.034 -0.786  0.061 -0.755  0.156 -0.723  0.250 -0.691  0.345 -0.660  0.440 -0.628  0.533 -0.594  0.603 -0.523  0.674 -0.452  0.744 -0.382  0.809 -0.307  0.854 -0.218  0.899 -0.128  0.943 -0.039  0.988 0.050  1.033 0.140  1.077 0.229  1.122 0.318  1.166 0.407  1.211 0.497  1.256 0.586  1.300 0.675  1.345 0.765
2#apa#apa15#app1553/e  -0.023 0.148  0.088 0.259  0.198 0.369  0.309 0.480  0.420 0.590  0.463 0.729  0.463 0.885  0.463 1.041  0.384 1.119  0.227 1.119  0.071 1.119  -0.067 1.074  -0.178 0.964  -0.288 0.853  -0.399 0.743  -0.509 0.632  -0.620 0.522  -0.730 0.411  -0.751 0.263  -0.751 0.189  -0.751 0.346  -0.672 0.469  -0.562 0.580  -0.508 0.552  -0.508 0.396  -0.615 0.284  -0.725 0.173  -0.751 0.028  -0.751 -0.129  -0.751 -0.285  -0.751 -0.441  -0.738 -0.593  -0.628 -0.703  -0.517 -0.814  -0.407 -0.924  -0.296 -1.035  -0.152 -1.065  0.004 -1.065  0.160 -1.065  0.317 -1.065  0.472 -1.061  0.612 -0.991  0.752 -0.921  0.892 -0.851  1.026 -0.771  1.156 -0.684  1.286 -0.598  1.416 -0.511  1.546 -0.424  1.676 -0.337
2#apa#apa15#app1553/n  -0.972 -0.058  -0.972 -0.169  -0.972 -0.280  -0.972 -0.391  -0.972 -0.502  -0.972 -0.613  -0.972 -0.724  -0.972 -0.835  -0.972 -0.946  -0.951 -0.932  -0.916 -0.827  -0.881 -0.721  -0.846 -0.616  -0.811 -0.511  -0.772 -0.407  -0.722 -0.308  -0.673 -0.208  -0.623 -0.109  -0.573 -0.010  -0.524 0.089  -0.474 0.189  -0.425 0.288  -0.354 0.372  -0.276 0.451  -0.197 0.529  -0.119 0.608  -0.040 0.686  0.058 0.737  0.158 0.786  0.257 0.836  0.358 0.876  0.469 0.876  0.574 0.851  0.674 0.801  0.773 0.751  0.872 0.702  0.924 0.611  0.959 0.505  0.994 0.400  1.029 0.295  1.064 0.190  1.084 0.082  1.084 -0.029  1.084 -0.140  1.084 -0.251  1.084 -0.362  1.084 -0.473  1.084 -0.584  1.084 -0.695  1.084 -0.806
2#apa#apa15#app1553/a  -0.206 -0.401  -0.206 -0.235  -0.097 -0.136  0.053 -0.061  0.202 0.014  0.284 0.155  0.358 0.304  0.428 0.455  0.428 0.621  0.428 0.788  0.428 0.955  0.383 1.077  0.216 1.077  0.050 1.077  -0.117 1.077  -0.284 1.077  -0.437 1.050  -0.537 0.917  -0.637 0.784  -0.737 0.650  -0.837 0.517  -0.937 0.383  -1.037 0.250  -1.096 0.095  -1.149 -0.063  -1.202 -0.221  -1.255 -0.379  -1.134 -0.466  -0.985 -0.540  -0.835 -0.611  -0.677 -0.559  -0.519 -0.506  -0.361 -0.453  -0.203 -0.399  -0.085 -0.281  0.005 -0.152  0.005 0.015  0.119 -0.093  0.244 -0.199  0.402 -0.252  0.560 -0.305  0.718 -0.358  0.870 -0.421  0.988 -0.539  1.106 -0.657  1.224 -0.775  1.341 -0.893  1.459 -1.011  1.577 -1.128  1.695 -1.246
