3#apa#apa16#app1600/b  -0.281 1.775  -0.444 1.775  -0.477 1.646  -0.477 1.483  -0.477 1.320  -0.477 1.158  -0.477 0.995  -0.477 0.833  -0.477 0.670  -0.477 0.508  -0.477 0.345  -0.477 0.182  -0.477 0.020  -0.477 -0.143  -0.477 -0.305  -0.477 -0.468  -0.477 -0.631  -0.477 -0.793  -0.477 -0.956  -0.634 -0.961  -0.672 -0.837  -0.672 -0.674  -0.654 -0.515  -0.603 -0.361  -0.551 -0.206  -0.500 -0.052  -0.477 0.107  -0.419 0.212  -0.259 0.223  -0.114 0.295  0.032 0.368  0.185 0.407  0.335 0.377  0.450 0.262  0.582 0.171  0.728 0.098  0.873 0.025  1.018 -0.047  1.164 -0.120  1.282 -0.209  1.282 -0.372  1.211 -0.518  1.138 -0.663  1.044 -0.787  0.898 -0.860  0.753 -0.933  0.597 -0.961  0.435 -0.961  0.272 -0.961  0.109 -0.961
3#apa#apa16#app1600/h  -0.405 1.727  -0.532 1.727  -0.565 1.634  -0.565 1.507  -0.565 1.380  -0.565 1.253  -0.565 1.126  -0.565 0.999  -0.565 0.872  -0.565 0.745  -0.565 0.618  -0.565 0.491  -0.565 0.364  -0.557 0.238  -0.532 0.113  -0.507 -0.011  -0.482 -0.136  -0.457 -0.260  -0.432 -0.385  -0.407 -0.510  -0.405 -0.636  -0.405 -0.763  -0.405 -0.798  -0.398 -0.674  -0.327 -0.568  -0.257 -0.462  -0.187 -0.356  -0.116 -0.251  -0.083 -0.134  -0.083 -0.007  -0.083 0.120  0.007 0.210  0.102 0.269  0.215 0.212  0.329 0.155  0.433 0.086  0.523 -0.004  0.613 -0.094  0.703 -0.184  0.745 -0.301  0.776 -0.424  0.807 -0.547  0.838 -0.670  0.868 -0.793  0.934 -0.897  1.024 -0.987  1.042 -1.106  1.042 -1.233  1.076 -1.327  1.203 -1.327
3#apa#apa16#app1600/e  -0.951 -0.592  -0.792 -0.592  -0.650 -0.550  -0.538 -0.438  -0.426 -0.325  -0.313 -0.213  -0.201 -0.101  -0.088 0.012  0.024 0.124  0.136 0.236  0.249 0.349  0.354 0.466  0.425 0.609  0.496 0.751  0.567 0.893  0.600 1.044  0.600 1.203  0.455 1.217  0.296 1.217  0.137 1.217  -0.022 1.217  -0.180 1.213  -0.292 1.100  -0.404 0.988  -0.517 0.876  -0.629 0.763  -0.692 0.630  -0.692 0.471  -0.692 0.313  -0.692 0.154  -0.692 -0.005  -0.692 -0.164  -0.692 -0.323  -0.692 -0.482  -0.658 -0.627  -0.545 -0.739  -0.433 -0.851  -0.274 -0.851  -0.115 -0.851  0.044 -0.851  0.203 -0.851  0.362 -0.851  0.521 -0.851  0.680 -0.851  0.839 -0.851  0.998 -0.851  1.157 -0.851  1.316 -0.851  1.475 -0.851  1.634 -0.851
3#apa#apa16#app1600/c  0.698 0.672  0.594 0.672  0.531 0.714  0.531 0.817  0.494 0.913  0.448 1.006  0.402 1.098  0.343 1.172  0.239 1.172  0.135 1.172  0.032 1.172  -0.055 1.114  -0.141 1.057  -0.228 0.999  -0.314 0.941  -0.401 0.884  -0.478 0.818  -0.525 0.726  -0.571 0.633  -0.618 0.540  -0.635 0.440  -0.635 0.336  -0.635 0.232  -0.635 0.128  -0.635 0.024  -0.635 -0.080  -0.629 -0.183  -0.604 -0.284  -0.579 -0.384  -0.554 -0.485  -0.528 -0.586  -0.503 -0.687  -0.478 -0.788  -0.411 -0.855  -0.319 -0.902  -0.226 -0.948  -0.132 -0.993  -0.029 -0.993  0.075 -0.993  0.179 -0.993  0.283 -0.993  0.387 -0.993  0.491 -0.993  0.593 -0.978  0.694 -0.953  0.794 -0.928  0.895 -0.902  0.996 -0.877  1.097 -0.852  1.198 -0.827
3#apa#apa16#app1600/o  -0.283 0.366  -0.283 0.512  -0.283 0.659  -0.283 0.805  -0.231 0.940  -0.166 1.071  -0.100 1.202  -0.027 1.284  0.077 1.180  0.181 1.077  0.263 0.956  0.344 0.834  0.426 0.712  0.507 0.590  0.588 0.468  0.673 0.349  0.777 0.246  0.880 0.142  0.891 -0.000  0.891 -0.147  0.891 -0.293  0.891 -0.440  0.891 -0.586  0.891 -0.733  0.891 -0.879  0.891 -1.026  0.763 -1.044  0.616 -1.044  0.470 -1.044  0.323 -1.044  0.177 -1.044  0.030 -1.044  -0.116 -1.044  -0.263 -1.044  -0.372 -0.954  -0.476 -0.851  -0.580 -0.747  -0.683 -0.644  -0.774 -0.531  -0.840 -0.400  -0.905 -0.269  -0.971 -0.138  -0.988 0.005  -0.988 0.151  -0.988 0.298  -0.932 0.421  -0.829 0.525  -0.725 0.628  -0.622 0.732  -0.518 0.836
3#apa#apa16#app1600/u  -0.759 1.045  -0.759 1.164  -0.759 1.284  -0.644 1.288  -0.525 1.288  -0.517 1.177  -0.517 1.058  -0.517 0.939  -0.517 0.819  -0.517 0.700  -0.517 0.581  -0.517 0.462  -0.517 0.343  -0.517 0.224  -0.517 0.105  -0.517 -0.015  -0.517 -0.134  -0.517 -0.253  -0.517 -0.372  -0.517 -0.491  -0.517 -0.610  -0.517 -0.729  -0.517 -0.849  -0.517 -0.968  -0.517 -1.087  -0.448 -1.137  -0.329 -1.137  -0.220 -1.101  -0.121 -1.035  -0.022 -0.969  0.077 -0.903  0.176 -0.837  0.275 -0.771  0.374 -0.705  0.464 -0.630  0.517 -0.523  0.571 -0.417  0.624 -0.310  0.677 -0.204  0.731 -0.097  0.784 0.009  0.837 0.116  0.890 0.222  0.951 0.318  1.070 0.318  1.181 0.326  1.181 0.445  1.181 0.564  1.181 0.684  1.181 0.803
3#apa#apa16#app1600/l  0.087 1.700  0.087 1.630  0.087 1.560  0.087 1.490  0.087 1.420  0.087 1.350  0.087 1.280  0.087 1.210  0.087 1.140  0.087 1.070  0.087 1.000  0.087 0.930  0.087 0.860  0.087 0.790  0.087 0.720  0.087 0.650  0.087 0.581  0.087 0.511  0.087 0.441  0.087 0.371  0.087 0.301  0.087 0.231  0.087 0.161  0.087 0.091  0.087 0.021  0.070 -0.046  0.048 -0.113  0.026 -0.179  0.004 -0.245  -0.018 -0.312  -0.040 -0.378  -0.062 -0.445  -0.085 -0.511  -0.107 -0.577  -0.125 -0.644  -0.125 -0.714  -0.125 -0.784  -0.125 -0.854  -0.125 -0.924  -0.125 -0.994  -0.125 -1.064  -0.125 -1.134  -0.125 -1.204  -0.125 -1.274  -0.125 -1.344  -0.125 -1.414  -0.125 -1.484  -0.125 -1.554  -0.125 -1.624  -0.125 -1.694
3#apa#apa16#app1600/d  0.684 1.899  0.538 1.899  0.499 1.791  0.499 1.646  0.499 1.500  0.499 1.354  0.499 1.208  0.475 1.065  0.440 0.923  0.404 0.782  0.369 0.640  0.334 0.498  0.314 0.355  0.314 0.209  0.314 0.063  0.314 -0.083  0.314 -0.229  0.314 -0.375  0.314 -0.521  0.314 -0.667  0.314 -0.813  0.314 -0.959  0.335 -1.016  0.400 -0.885  0.466 -0.755  0.476 -0.620  0.430 -0.482  0.384 -0.344  0.338 -0.205  0.251 -0.102  0.120 -0.037  -0.010 0.028  -0.141 0.094  -0.271 0.159  -0.402 0.224  -0.533 0.182  -0.663 0.117  -0.794 0.051  -0.859 -0.079  -0.925 -0.209  -0.979 -0.342  -0.979 -0.488  -0.979 -0.634  -0.979 -0.780  -0.932 -0.897  -0.801 -0.962  -0.671 -1.027  -0.532 -1.058  -0.386 -1.058  -0.240 -1.058
3#apa#apa16#app1600/n  -0.935 0.271  -0.935 0.143  -0.935 0.014  -0.935 -0.114  -0.935 -0.242  -0.935 -0.371  -0.898 -0.491  -0.840 -0.606  -0.783 -0.720  -0.725 -0.835  -0.705 -0.959  -0.705 -1.087  -0.705 -0.993  -0.705 -0.865  -0.705 -0.736  -0.705 -0.608  -0.705 -0.479  -0.676 -0.358  -0.619 -0.243  -0.561 -0.128  -0.504 -0.013  -0.429 0.089  -0.338 0.180  -0.247 0.271  -0.206 0.393  -0.166 0.514  -0.125 0.636  -0.084 0.758  -0.044 0.880  0.027 0.959  0.156 0.959  0.284 0.959  0.413 0.959  0.531 0.915  0.646 0.857  0.760 0.800  0.875 0.742  0.932 0.634  0.972 0.512  1.013 0.390  1.054 0.269  1.094 0.147  1.129 0.024  1.129 -0.105  1.129 -0.233  1.129 -0.361  1.129 -0.490  1.129 -0.618  1.129 -0.747  1.129 -0.875
3#apa#apa16#app1600/'  0.470 1.317  0.397 1.317  0.324 1.317  0.251 1.317  0.178 1.317  0.105 1.317  0.032 1.317  -0.041 1.317  -0.041 1.244  -0.041 1.171  -0.041 1.098  -0.041 1.025  -0.041 0.952  -0.041 0.880  -0.041 0.807  -0.041 0.734  -0.041 0.661  -0.041 0.588  -0.041 0.515  -0.041 0.442  -0.041 0.369  -0.041 0.296  -0.041 0.223  -0.041 0.150  -0.041 0.077  -0.041 0.004  -0.041 -0.069  -0.041 -0.141  -0.041 -0.214  -0.041 -0.287  -0.041 -0.360  -0.041 -0.433  -0.041 -0.506  -0.041 -0.579  -0.041 -0.652  -0.041 -0.725  -0.041 -0.798  -0.041 -0.871  -0.041 -0.944  -0.041 -1.017  -0.041 -1.090  -0.041 -1.162  -0.041 -1.235  -0.041 -1.308  -0.041 -1.381  -0.041 -1.454  -0.041 -1.527  -0.041 -1.600  -0.041 -1.673  -0.041 -1.746
3#apa#apa16#app1600/t  -0.516 1.331  -0.693 1.331  -0.731 1.192  -0.731 1.015  -0.711 0.841  -0.655 0.673  -0.599 0.506  -0.543 0.338  -0.516 0.165  -0.516 -0.012  -0.512 -0.189  -0.469 -0.360  -0.426 -0.532  -0.383 -0.704  -0.341 -0.875  -0.302 -1.048  -0.302 -1.225  -0.302 -1.402  -0.223 -1.371  -0.105 -1.239  0.012 -1.107  0.130 -0.974  0.247 -0.842  0.365 -0.710  0.483 -0.578  0.600 -0.445  0.718 -0.313  0.835 -0.181  0.953 -0.048  1.070 0.084  1.188 0.216  1.306 0.348  1.408 0.480  1.283 0.605  1.158 0.644  1.033 0.519  0.887 0.423  0.728 0.343  0.570 0.264  0.395 0.258  0.218 0.258  0.041 0.258  -0.136 0.258  -0.313 0.258  -0.490 0.258  -0.667 0.258  -0.844 0.258  -1.021 0.258  -1.198 0.258  -1.375 0.258
3#apa#apa16#app1600/.  0.000 1.698  0.000 1.628  0.000 1.559  0.000 1.490  0.000 1.421  0.000 1.351  0.000 1.282  0.000 1.213  0.000 1.143  0.000 1.074  0.000 1.005  0.000 0.936  0.000 0.866  0.000 0.797  0.000 0.728  0.000 0.658  0.000 0.589  0.000 0.520  0.000 0.450  0.000 0.381  0.000 0.312  0.000 0.243  0.000 0.173  0.000 0.104  0.000 0.035  0.000 -0.035  0.000 -0.104  0.000 -0.173  0.000 -0.243  0.000 -0.312  0.000 -0.381  0.000 -0.450  0.000 -0.520  0.000 -0.589  0.000 -0.658  0.000 -0.728  0.000 -0.797  0.000 -0.866  0.000 -0.936  0.000 -1.005  0.000 -1.074  0.000 -1.143  0.000 -1.213  0.000 -1.282  0.000 -1.351  0.000 -1.421  0.000 -1.490  0.000 -1.559  0.000 -1.628  0.000 -1.698
