1c#apa#apa03#app0358/k  0.098 1.882  -0.025 1.778  -0.209 1.698  -0.283 1.501  -0.396 1.319  -0.473 1.110  -0.520 0.893  -0.643 0.716  -0.643 0.488  -0.655 0.265  -0.766 0.083  -0.766 -0.145  -0.776 -0.372  -0.849 -0.588  -0.890 -0.809  -0.890 -1.037  -0.831 -1.206  -0.736 -1.056  -0.564 -0.906  -0.393 -0.756  -0.221 -0.605  -0.050 -0.455  0.122 -0.305  0.294 -0.155  0.465 -0.005  0.637 0.145  0.808 0.295  0.980 0.446  1.151 0.596  1.086 0.620  0.957 0.518  0.778 0.400  0.674 0.276  0.453 0.260  0.291 0.099  0.092 0.029  -0.103 -0.049  -0.301 -0.123  -0.490 -0.218  -0.643 -0.292  -0.464 -0.341  -0.283 -0.455  -0.059 -0.465  0.162 -0.497  0.368 -0.588  0.595 -0.591  0.773 -0.712  0.963 -0.750  1.086 -0.854  1.086 -1.082
1c#apa#apa03#app0358/e  -0.438 0.254  -0.290 0.254  -0.143 0.254  0.005 0.254  0.153 0.254  0.282 0.298  0.392 0.390  0.539 0.390  0.674 0.419  0.779 0.524  0.780 0.671  0.780 0.818  0.780 0.966  0.733 1.066  0.585 1.066  0.438 1.066  0.290 1.066  0.143 1.066  0.007 1.018  -0.125 0.952  -0.239 0.859  -0.343 0.755  -0.447 0.651  -0.552 0.546  -0.656 0.442  -0.760 0.338  -0.865 0.233  -0.969 0.129  -0.979 -0.014  -0.979 -0.162  -0.979 -0.310  -0.979 -0.457  -0.958 -0.600  -0.892 -0.732  -0.804 -0.828  -0.662 -0.852  -0.530 -0.918  -0.393 -0.964  -0.246 -0.964  -0.098 -0.964  0.049 -0.964  0.197 -0.964  0.344 -0.964  0.492 -0.964  0.640 -0.964  0.787 -0.964  0.929 -0.950  1.033 -0.846  1.174 -0.828  1.321 -0.828
1c#apa#apa03#app0358/w  -0.790 0.945  -0.790 0.793  -0.790 0.642  -0.934 0.634  -0.946 0.494  -1.042 0.382  -1.149 0.275  -1.256 0.168  -1.257 0.017  -1.257 -0.135  -1.257 -0.286  -1.257 -0.438  -1.257 -0.589  -1.127 -0.611  -0.976 -0.611  -0.824 -0.611  -0.673 -0.611  -0.554 -0.531  -0.434 -0.456  -0.295 -0.426  -0.187 -0.319  -0.080 -0.212  -0.012 -0.089  -0.012 0.063  0.021 0.201  0.129 0.308  0.236 0.415  0.299 0.540  0.299 0.576  0.299 0.424  0.299 0.272  0.299 0.121  0.299 -0.031  0.299 -0.182  0.299 -0.334  0.329 -0.456  0.480 -0.456  0.632 -0.456  0.783 -0.456  0.931 -0.446  1.038 -0.339  1.174 -0.300  1.298 -0.234  1.388 -0.120  1.388 0.032  1.388 0.183  1.388 0.335  1.388 0.486  1.388 0.638  1.388 0.789
1c#apa#apa03#app0358/i  0.092 -0.450  0.092 -0.547  0.092 -0.643  0.040 -0.688  -0.027 -0.718  -0.032 -0.812  -0.101 -0.881  -0.178 -0.926  -0.266 -0.936  -0.266 -1.033  -0.349 -1.046  -0.385 -1.107  -0.385 -1.204  -0.368 -1.284  -0.272 -1.284  -0.249 -1.195  -0.232 -1.099  -0.215 -1.004  -0.198 -0.909  -0.180 -0.814  -0.163 -0.719  -0.146 -0.624  -0.128 -0.529  -0.111 -0.433  -0.094 -0.338  -0.076 -0.243  -0.059 -0.148  -0.042 -0.053  -0.025 0.042  -0.007 0.137  0.010 0.233  0.027 0.328  0.045 0.423  0.062 0.518  0.079 0.613  0.097 0.708  0.114 0.803  0.131 0.898  0.148 0.994  0.166 1.089  0.183 1.184  0.200 1.279  0.211 1.375  0.226 1.456  0.323 1.456  0.330 1.546  0.397 1.575  0.449 1.620  0.472 1.694  0.568 1.694
1c#apa#apa03#app0358/t  0.631 1.622  0.631 1.443  0.631 1.265  0.631 1.086  0.631 0.908  0.591 0.739  0.511 0.579  0.431 0.419  0.306 0.293  0.230 0.146  0.195 -0.019  0.069 -0.145  -0.093 -0.185  -0.172 -0.284  -0.172 -0.463  -0.211 -0.625  -0.337 -0.751  -0.373 -0.915  -0.373 -1.094  -0.373 -1.272  -0.373 -1.451  -0.384 -1.553  -0.435 -1.382  -0.486 -1.211  -0.538 -1.040  -0.589 -0.869  -0.640 -0.698  -0.692 -0.527  -0.743 -0.356  -0.794 -0.185  -0.845 -0.014  -0.897 0.157  -0.948 0.328  -0.975 0.332  -0.912 0.216  -0.734 0.216  -0.555 0.216  -0.377 0.216  -0.198 0.216  -0.020 0.216  0.121 0.308  0.254 0.417  0.433 0.417  0.611 0.417  0.790 0.417  0.968 0.417  1.147 0.417  1.315 0.458  1.475 0.538  1.635 0.618
1c#apa#apa03#app0358/h  0.201 2.058  0.201 1.921  0.189 1.789  0.093 1.692  0.072 1.564  -0.010 1.461  -0.056 1.343  -0.076 1.209  -0.109 1.076  -0.142 0.943  -0.175 0.810  -0.254 0.703  -0.337 0.596  -0.398 0.474  -0.442 0.347  -0.442 0.210  -0.442 0.073  -0.442 -0.064  -0.442 -0.201  -0.442 -0.338  -0.442 -0.475  -0.510 -0.583  -0.571 -0.695  -0.571 -0.832  -0.619 -0.949  -0.677 -1.030  -0.549 -1.008  -0.452 -0.911  -0.355 -0.814  -0.314 -0.695  -0.227 -0.644  -0.118 -0.577  -0.021 -0.480  0.072 -0.382  0.084 -0.252  0.206 -0.191  0.329 -0.130  0.426 -0.033  0.549 -0.001  0.686 -0.001  0.716 -0.108  0.716 -0.245  0.716 -0.382  0.716 -0.519  0.707 -0.652  0.610 -0.749  0.587 -0.876  0.587 -1.013  0.587 -1.150  0.587 -1.287
1c#apa#apa03#app0358/f  1.789 0.359  1.680 0.468  1.571 0.577  1.462 0.686  1.319 0.713  1.209 0.819  1.055 0.819  0.901 0.819  0.862 0.934  0.707 0.934  0.553 0.934  0.399 0.934  0.259 0.900  0.138 0.819  0.063 0.740  -0.053 0.701  -0.102 0.555  -0.150 0.408  -0.212 0.268  -0.281 0.130  -0.282 -0.024  -0.282 -0.178  -0.364 -0.299  -0.397 -0.439  -0.397 -0.593  -0.397 -0.747  -0.397 -0.902  -0.397 -1.056  -0.397 -1.210  -0.397 -1.364  -0.469 -1.235  -0.543 -1.100  -0.617 -0.965  -0.691 -0.829  -0.765 -0.694  -0.838 -0.559  -0.912 -0.423  -0.986 -0.288  -1.060 -0.152  -0.991 -0.102  -0.837 -0.102  -0.683 -0.102  -0.529 -0.102  -0.377 -0.092  -0.239 -0.023  -0.093 0.013  0.061 0.013  0.215 0.013  0.369 0.013  0.523 0.013
1c#apa#apa03#app0358/r  -0.096 0.587  -0.096 0.456  -0.096 0.326  -0.096 0.195  -0.170 0.095  -0.263 0.003  -0.304 -0.110  -0.304 -0.241  -0.429 -0.246  -0.512 -0.294  -0.512 -0.425  -0.512 -0.555  -0.522 -0.683  -0.581 -0.800  -0.639 -0.917  -0.698 -1.034  -0.721 -1.159  -0.719 -1.288  -0.588 -1.288  -0.512 -1.233  -0.512 -1.103  -0.405 -1.080  -0.304 -1.050  -0.304 -0.919  -0.304 -0.789  -0.304 -0.658  -0.304 -0.527  -0.263 -0.414  -0.171 -0.321  -0.096 -0.222  -0.096 -0.091  -0.041 0.017  0.052 0.109  0.113 0.214  0.113 0.345  0.113 0.476  0.126 0.601  0.219 0.693  0.311 0.785  0.403 0.878  0.496 0.970  0.588 1.062  0.681 1.155  0.787 1.212  0.918 1.212  1.049 1.212  1.179 1.212  1.310 1.212  1.441 1.212  1.571 1.212
1c#apa#apa03#app0358/a  0.771 0.205  0.754 0.379  0.597 0.413  0.562 0.589  0.427 0.724  0.412 0.901  0.221 0.901  0.030 0.901  -0.161 0.901  -0.351 0.901  -0.514 0.834  -0.661 0.727  -0.795 0.670  -0.861 0.520  -1.031 0.435  -1.209 0.379  -1.317 0.296  -1.387 0.135  -1.491 -0.013  -1.491 -0.204  -1.413 -0.317  -1.317 -0.411  -1.205 -0.491  -1.014 -0.491  -0.824 -0.491  -0.633 -0.491  -0.442 -0.491  -0.251 -0.491  -0.061 -0.491  0.130 -0.491  0.300 -0.440  0.440 -0.317  0.597 -0.284  0.647 -0.143  0.771 -0.076  0.771 0.115  0.871 0.205  0.945 0.322  0.812 0.379  0.771 0.229  0.771 0.038  0.597 0.021  0.597 -0.169  0.597 -0.360  0.640 -0.533  0.771 -0.670  0.771 -0.860  0.798 -1.040  0.933 -1.175  1.119 -1.187
1c#apa#apa03#app0358/n  -0.733 0.125  -0.733 -0.006  -0.733 -0.136  -0.733 -0.267  -0.861 -0.269  -0.930 -0.331  -0.930 -0.462  -1.056 -0.466  -1.127 -0.526  -1.127 -0.657  -1.127 -0.787  -1.069 -0.860  -0.939 -0.860  -0.930 -0.738  -0.891 -0.624  -0.798 -0.531  -0.733 -0.428  -0.733 -0.297  -0.660 -0.197  -0.568 -0.104  -0.451 -0.072  -0.339 -0.053  -0.339 0.077  -0.280 0.184  -0.188 0.276  -0.095 0.368  -0.003 0.461  0.089 0.553  0.182 0.645  0.274 0.738  0.366 0.830  0.463 0.913  0.593 0.913  0.724 0.913  0.855 0.913  0.985 0.913  1.041 0.838  1.041 0.708  1.041 0.577  1.041 0.446  1.041 0.316  1.041 0.185  1.041 0.054  1.041 -0.076  1.041 -0.207  1.041 -0.338  1.041 -0.468  1.041 -0.599  1.041 -0.729  1.041 -0.860
1c#apa#apa03#app0358/t  0.702 1.990  0.702 1.847  0.564 1.842  0.553 1.709  0.553 1.566  0.514 1.429  0.469 1.293  0.424 1.157  0.405 1.017  0.405 0.874  0.372 0.738  0.308 0.610  0.244 0.482  0.180 0.354  0.116 0.226  0.108 0.085  0.108 -0.059  0.108 -0.202  0.108 -0.345  0.034 -0.457  -0.040 -0.570  -0.064 -0.703  -0.165 -0.804  -0.188 -0.938  -0.188 -1.081  -0.188 -1.224  -0.188 -1.368  -0.236 -1.345  -0.312 -1.223  -0.388 -1.102  -0.464 -0.980  -0.539 -0.859  -0.615 -0.737  -0.691 -0.616  -0.767 -0.495  -0.843 -0.373  -0.919 -0.252  -0.807 -0.234  -0.698 -0.151  -0.582 -0.086  -0.439 -0.086  -0.296 -0.086  -0.152 -0.086  -0.009 -0.086  0.134 -0.086  0.277 -0.086  0.420 -0.086  0.564 -0.086  0.702 -0.091  0.702 -0.234
1c#apa#apa03#app0358/i  -0.128 -0.077  -0.128 -0.178  -0.128 -0.279  -0.128 -0.380  -0.128 -0.481  -0.149 -0.574  -0.221 -0.645  -0.287 -0.719  -0.287 -0.820  -0.337 -0.870  -0.438 -0.870  -0.445 -0.964  -0.445 -1.065  -0.445 -1.166  -0.445 -1.267  -0.438 -1.324  -0.406 -1.228  -0.374 -1.133  -0.342 -1.037  -0.311 -0.941  -0.279 -0.845  -0.247 -0.749  -0.215 -0.654  -0.183 -0.558  -0.151 -0.462  -0.119 -0.366  -0.087 -0.270  -0.055 -0.175  -0.023 -0.079  0.009 0.017  0.041 0.113  0.073 0.209  0.105 0.304  0.137 0.400  0.168 0.496  0.200 0.592  0.232 0.688  0.264 0.783  0.296 0.879  0.328 0.975  0.360 1.071  0.392 1.167  0.424 1.262  0.456 1.358  0.488 1.454  0.537 1.539  0.608 1.610  0.680 1.682  0.751 1.753  0.823 1.825
1c#apa#apa03#app0358/c  0.397 0.477  0.490 0.385  0.531 0.416  0.601 0.477  0.665 0.545  0.665 0.676  0.665 0.807  0.606 0.879  0.475 0.879  0.360 0.917  0.267 1.009  0.138 1.013  0.007 1.013  -0.125 1.013  -0.243 0.961  -0.361 0.902  -0.463 0.823  -0.562 0.745  -0.674 0.726  -0.685 0.600  -0.778 0.507  -0.808 0.389  -0.869 0.283  -0.942 0.182  -0.942 0.051  -0.942 -0.080  -0.942 -0.211  -0.942 -0.342  -0.942 -0.473  -0.931 -0.594  -0.802 -0.599  -0.710 -0.692  -0.593 -0.728  -0.485 -0.783  -0.387 -0.862  -0.256 -0.862  -0.125 -0.862  0.007 -0.862  0.138 -0.862  0.269 -0.862  0.399 -0.860  0.492 -0.767  0.606 -0.728  0.738 -0.728  0.869 -0.728  1.000 -0.728  1.112 -0.683  1.206 -0.594  1.337 -0.594  1.469 -0.594
