3#app#app32#app3247/Q  -0.469 0.954  -0.567 1.052  -0.567 0.855  -0.638 0.688  -0.665 0.503  -0.736 0.324  -0.763 0.134  -0.763 -0.063  -0.763 -0.259  -0.763 -0.455  -0.763 -0.652  -0.763 -0.848  -0.763 -1.044  -0.720 -1.197  -0.564 -1.295  -0.367 -1.295  -0.171 -1.295  -0.005 -1.222  0.138 -1.089  0.314 -1.001  0.452 -0.862  0.522 -0.695  0.661 -0.556  0.704 -0.378  0.765 -0.196  0.802 -0.008  0.802 0.188  0.802 0.384  0.797 0.580  0.735 0.766  0.702 0.957  0.563 1.096  0.424 1.234  0.257 1.304  0.118 1.443  -0.078 1.444  -0.065 1.248  -0.052 1.052  -0.039 0.856  -0.026 0.660  -0.013 0.464  0.000 0.268  0.013 0.073  0.022 -0.121  0.117 -0.222  0.189 -0.389  0.215 -0.574  0.243 -0.764  0.313 -0.944  0.411 -1.100
3#app#app32#app3247/O  0.086 1.170  -0.044 1.159  -0.139 1.065  -0.233 0.970  -0.328 0.876  -0.422 0.781  -0.515 0.685  -0.575 0.565  -0.634 0.445  -0.694 0.326  -0.749 0.205  -0.761 0.074  -0.820 -0.046  -0.869 -0.169  -0.869 -0.302  -0.869 -0.436  -0.869 -0.570  -0.869 -0.704  -0.798 -0.809  -0.704 -0.903  -0.601 -0.977  -0.480 -1.008  -0.382 -1.096  -0.248 -1.096  -0.115 -1.096  0.019 -1.096  0.153 -1.096  0.278 -1.060  0.398 -1.000  0.502 -0.919  0.597 -0.824  0.682 -0.725  0.702 -0.600  0.796 -0.505  0.801 -0.373  0.801 -0.240  0.801 -0.106  0.801 0.028  0.801 0.162  0.765 0.287  0.706 0.407  0.682 0.535  0.682 0.669  0.604 0.771  0.509 0.865  0.443 0.972  0.404 1.089  0.304 1.170  0.180 1.194  0.086 1.289
3#app#app32#app3247/T  0.471 0.637  0.471 0.483  0.433 0.345  0.344 0.228  0.344 0.074  0.286 -0.056  0.217 -0.181  0.217 -0.335  0.139 -0.457  0.090 -0.590  0.090 -0.744  0.090 -0.898  0.090 -1.052  0.090 -1.205  0.090 -1.359  0.090 -1.513  0.083 -1.633  0.020 -1.493  -0.042 -1.352  -0.105 -1.212  -0.167 -1.071  -0.230 -0.930  -0.292 -0.790  -0.355 -0.649  -0.417 -0.508  -0.480 -0.368  -0.542 -0.227  -0.605 -0.087  -0.667 0.054  -0.730 0.195  -0.792 0.335  -0.855 0.476  -0.917 0.616  -0.795 0.637  -0.672 0.668  -0.614 0.764  -0.461 0.764  -0.307 0.764  -0.280 0.891  -0.126 0.891  0.028 0.891  0.182 0.891  0.301 0.975  0.437 1.018  0.591 1.018  0.745 1.018  0.898 1.018  1.052 1.018  1.206 1.018  1.360 1.018
3#app#app32#app3247/H  -0.410 0.719  -0.449 0.541  -0.509 0.368  -0.528 0.186  -0.608 0.018  -0.651 -0.159  -0.708 -0.333  -0.742 -0.506  -0.807 -0.666  -0.889 -0.834  -0.906 -1.017  -0.906 -1.204  -0.898 -1.339  -0.838 -1.162  -0.779 -0.984  -0.720 -0.807  -0.661 -0.629  -0.602 -0.452  -0.543 -0.274  -0.428 -0.174  -0.282 -0.075  -0.129 0.008  0.051 0.025  0.197 0.124  0.334 0.210  0.427 0.373  0.520 0.535  0.612 0.697  0.705 0.860  0.798 1.022  0.891 1.185  0.984 1.347  1.077 1.510  0.979 1.371  0.887 1.222  0.764 1.083  0.680 0.915  0.597 0.748  0.582 0.564  0.482 0.419  0.398 0.251  0.314 0.084  0.285 -0.096  0.285 -0.283  0.215 -0.441  0.185 -0.616  0.185 -0.803  0.185 -0.990  0.185 -1.177  0.185 -1.364
3#app#app32#app3247/O  0.004 1.241  -0.123 1.234  -0.215 1.142  -0.307 1.050  -0.383 0.947  -0.441 0.831  -0.499 0.715  -0.557 0.599  -0.627 0.491  -0.717 0.398  -0.717 0.268  -0.724 0.139  -0.765 0.016  -0.806 -0.107  -0.837 -0.232  -0.837 -0.362  -0.837 -0.492  -0.837 -0.622  -0.837 -0.752  -0.779 -0.858  -0.717 -0.962  -0.665 -1.040  -0.535 -1.040  -0.405 -1.040  -0.275 -1.040  -0.146 -1.040  -0.016 -1.040  0.103 -0.991  0.219 -0.933  0.316 -0.848  0.426 -0.800  0.535 -0.750  0.604 -0.648  0.634 -0.531  0.724 -0.438  0.724 -0.308  0.739 -0.185  0.831 -0.093  0.844 0.032  0.844 0.162  0.844 0.291  0.844 0.421  0.844 0.551  0.844 0.681  0.809 0.796  0.724 0.891  0.704 1.001  0.583 1.022  0.491 1.114  0.364 1.121
3#app#app32#app3247/W  -0.798 0.947  -0.916 0.904  -0.943 0.747  -0.994 0.594  -1.059 0.450  -1.151 0.327  -1.151 0.166  -1.151 0.005  -1.151 -0.156  -1.151 -0.317  -1.143 -0.475  -1.027 -0.585  -0.866 -0.585  -0.798 -0.492  -0.667 -0.454  -0.553 -0.340  -0.444 -0.224  -0.422 -0.068  -0.349 0.076  -0.277 0.220  -0.208 0.365  -0.173 0.512  -0.091 0.639  -0.091 0.623  -0.091 0.462  -0.091 0.301  -0.091 0.140  -0.091 -0.021  -0.091 -0.183  -0.011 -0.311  0.027 -0.456  0.134 -0.573  0.247 -0.687  0.388 -0.765  0.536 -0.820  0.697 -0.820  0.822 -0.733  0.970 -0.702  1.014 -0.585  1.149 -0.523  1.206 -0.385  1.206 -0.224  1.206 -0.063  1.206 0.098  1.206 0.259  1.206 0.420  1.206 0.582  1.206 0.743  1.206 0.904  1.206 1.065
3#app#app32#app3247/T  0.757 0.609  0.605 0.616  0.605 0.747  0.590 0.594  0.477 0.481  0.452 0.331  0.452 0.172  0.354 0.053  0.300 -0.084  0.300 -0.243  0.300 -0.403  0.300 -0.562  0.300 -0.722  0.300 -0.881  0.300 -1.041  0.300 -1.200  0.300 -1.360  0.300 -1.519  0.299 -1.674  0.224 -1.533  0.150 -1.392  0.075 -1.251  0.000 -1.110  -0.074 -0.969  -0.149 -0.828  -0.224 -0.687  -0.298 -0.547  -0.373 -0.406  -0.447 -0.265  -0.522 -0.124  -0.597 0.017  -0.671 0.158  -0.746 0.299  -0.821 0.440  -0.895 0.581  -0.970 0.722  -1.045 0.863  -0.969 0.914  -0.809 0.914  -0.650 0.914  -0.490 0.914  -0.331 0.914  -0.171 0.914  -0.012 0.914  0.148 0.914  0.307 0.914  0.467 0.914  0.624 0.923  0.767 0.995  0.909 1.066
3#app#app32#app3247/O  -0.041 1.252  -0.050 1.127  -0.179 1.114  -0.274 1.019  -0.369 0.924  -0.464 0.829  -0.552 0.729  -0.612 0.609  -0.676 0.491  -0.771 0.396  -0.790 0.270  -0.873 0.170  -0.914 0.053  -0.914 -0.082  -0.914 -0.216  -0.914 -0.351  -0.914 -0.485  -0.914 -0.619  -0.790 -0.629  -0.777 -0.758  -0.682 -0.853  -0.587 -0.948  -0.472 -0.995  -0.338 -0.995  -0.204 -0.995  -0.069 -0.995  0.065 -0.995  0.200 -0.995  0.321 -0.939  0.441 -0.879  0.573 -0.870  0.671 -0.783  0.745 -0.672  0.805 -0.552  0.833 -0.425  0.891 -0.314  0.958 -0.208  0.958 -0.073  0.958 0.061  0.958 0.196  0.904 0.308  0.833 0.413  0.814 0.542  0.754 0.663  0.685 0.776  0.590 0.871  0.458 0.878  0.338 0.938  0.218 0.998  0.084 1.002
3#app#app32#app3247/W  -1.007 1.053  -1.007 0.885  -1.067 0.741  -1.133 0.601  -1.133 0.433  -1.133 0.264  -1.133 0.096  -1.133 -0.072  -1.133 -0.240  -1.133 -0.408  -1.133 -0.576  -1.021 -0.698  -0.902 -0.817  -0.742 -0.837  -0.590 -0.798  -0.483 -0.671  -0.408 -0.521  -0.377 -0.360  -0.251 -0.318  -0.251 -0.149  -0.251 0.019  -0.151 0.145  -0.032 0.264  0.001 0.419  0.001 0.587  0.081 0.675  0.127 0.553  0.127 0.385  0.127 0.216  0.127 0.048  0.127 -0.120  0.184 -0.264  0.253 -0.404  0.332 -0.539  0.451 -0.658  0.597 -0.711  0.765 -0.711  0.883 -0.660  0.976 -0.585  1.104 -0.490  1.135 -0.334  1.135 -0.166  1.135 0.002  1.135 0.170  1.135 0.338  1.135 0.506  1.135 0.674  1.135 0.843  1.135 1.011  1.135 1.179
3#app#app32#app3247/A  -0.541 0.704  -0.681 0.555  -0.795 0.384  -0.909 0.213  -0.967 0.032  -1.033 -0.147  -1.084 -0.331  -1.156 -0.507  -1.111 -0.605  -1.033 -0.432  -0.954 -0.245  -0.834 -0.081  -0.689 0.064  -0.543 0.210  -0.429 0.380  -0.315 0.551  -0.143 0.657  0.022 0.775  0.167 0.920  0.313 1.065  0.494 1.160  0.691 1.196  0.897 1.196  0.979 1.073  1.059 0.948  1.059 0.742  1.059 0.537  1.059 0.331  1.059 0.126  1.059 -0.080  1.057 -0.285  0.965 -0.469  0.936 -0.667  0.936 -0.873  0.936 -1.078  0.812 -1.071  0.634 -0.969  0.455 -0.867  0.277 -0.765  0.099 -0.663  -0.080 -0.561  -0.258 -0.459  -0.437 -0.357  -0.615 -0.255  -0.787 -0.165  -0.696 -0.280  -0.542 -0.402  -0.336 -0.403  -0.131 -0.403  0.075 -0.403
3#app#app32#app3247/L  0.346 1.791  0.346 1.703  0.346 1.614  0.346 1.525  0.345 1.436  0.282 1.373  0.228 1.307  0.228 1.218  0.196 1.137  0.156 1.057  0.116 0.978  0.057 0.912  -0.006 0.849  -0.008 0.762  -0.034 0.679  -0.073 0.599  -0.113 0.520  -0.126 0.434  -0.140 0.348  -0.180 0.269  -0.219 0.189  -0.259 0.110  -0.299 0.030  -0.339 -0.050  -0.363 -0.133  -0.363 -0.222  -0.363 -0.311  -0.392 -0.392  -0.432 -0.472  -0.472 -0.552  -0.481 -0.638  -0.481 -0.727  -0.481 -0.816  -0.481 -0.905  -0.431 -0.973  -0.368 -1.036  -0.282 -1.042  -0.193 -1.042  -0.104 -1.042  -0.015 -1.042  0.074 -1.042  0.163 -1.042  0.249 -1.031  0.328 -0.992  0.408 -0.952  0.490 -0.924  0.579 -0.924  0.659 -0.885  0.739 -0.846  0.818 -0.806
3#app#app32#app3247/T  0.698 1.038  0.698 0.890  0.698 0.742  0.698 0.594  0.672 0.456  0.568 0.351  0.559 0.207  0.555 0.061  0.450 -0.044  0.420 -0.179  0.420 -0.327  0.365 -0.462  0.299 -0.595  0.280 -0.738  0.280 -0.886  0.280 -1.034  0.280 -1.182  0.278 -1.329  0.173 -1.434  0.141 -1.569  0.094 -1.503  0.031 -1.369  -0.032 -1.235  -0.096 -1.101  -0.159 -0.967  -0.222 -0.833  -0.285 -0.699  -0.348 -0.565  -0.411 -0.431  -0.474 -0.297  -0.537 -0.164  -0.600 -0.030  -0.663 0.104  -0.726 0.238  -0.789 0.372  -0.852 0.506  -0.915 0.640  -0.955 0.760  -0.814 0.777  -0.710 0.882  -0.569 0.899  -0.421 0.899  -0.273 0.900  -0.141 0.966  -0.008 1.032  0.138 1.038  0.271 1.103  0.404 1.169  0.550 1.177  0.698 1.177
3#app#app32#app3247/Z  -0.209 1.274  -0.011 1.274  0.186 1.274  0.384 1.274  0.581 1.274  0.779 1.274  0.922 1.220  0.824 1.063  0.764 0.890  0.640 0.738  0.530 0.574  0.407 0.420  0.244 0.313  0.099 0.194  0.007 0.020  -0.096 -0.135  -0.117 -0.320  -0.294 -0.408  -0.322 -0.588  -0.419 -0.745  -0.435 -0.936  -0.402 -1.101  -0.317 -1.214  -0.146 -1.277  0.031 -1.327  0.229 -1.327  0.379 -1.214  0.577 -1.214  0.774 -1.214  0.679 -1.115  0.522 -0.995  0.366 -0.875  0.209 -0.755  0.052 -0.635  -0.105 -0.515  -0.262 -0.395  -0.419 -0.275  -0.576 -0.155  -0.733 -0.035  -0.890 0.085  -1.047 0.205  -1.001 0.257  -0.916 0.370  -0.766 0.486  -0.578 0.548  -0.393 0.617  -0.217 0.705  -0.030 0.769  0.159 0.822  0.357 0.822
