2#apa#apa09#app0982/!  0.071 1.724  0.071 1.652  0.071 1.581  0.071 1.509  0.071 1.437  0.071 1.366  0.071 1.294  0.071 1.223  0.071 1.151  0.071 1.080  0.071 1.008  0.071 0.936  0.071 0.865  0.071 0.793  0.071 0.722  0.067 0.651  0.050 0.581  0.032 0.512  0.015 0.442  -0.002 0.373  -0.020 0.303  -0.037 0.234  -0.054 0.165  -0.072 0.095  -0.080 0.025  -0.080 -0.047  -0.080 -0.119  -0.080 -0.190  -0.080 -0.262  -0.080 -0.333  -0.079 -0.405  -0.069 -0.476  -0.058 -0.547  -0.048 -0.617  -0.038 -0.688  -0.028 -0.759  -0.018 -0.830  -0.008 -0.901  0.002 -0.972  0.012 -1.043  0.023 -1.113  0.033 -1.184  0.043 -1.255  0.053 -1.326  0.063 -1.397  0.055 -1.452  -0.017 -1.452  -0.088 -1.452  -0.160 -1.452  -0.232 -1.452
2#apa#apa09#app0982/~  -1.227 0.153  -1.227 0.066  -1.227 -0.020  -1.227 -0.106  -1.227 -0.193  -1.227 -0.279  -1.227 -0.366  -1.227 -0.452  -1.227 -0.539  -1.178 -0.546  -1.100 -0.507  -1.023 -0.468  -0.946 -0.430  -0.868 -0.391  -0.791 -0.352  -0.714 -0.314  -0.637 -0.275  -0.559 -0.236  -0.486 -0.191  -0.425 -0.130  -0.364 -0.069  -0.303 -0.008  -0.242 0.053  -0.181 0.114  -0.114 0.167  -0.037 0.206  0.041 0.244  0.118 0.283  0.195 0.322  0.273 0.360  0.350 0.399  0.427 0.438  0.505 0.476  0.582 0.514  0.643 0.452  0.704 0.391  0.765 0.330  0.826 0.269  0.887 0.208  0.951 0.153  1.037 0.153  1.124 0.153  1.210 0.153  1.297 0.153  1.360 0.097  1.421 0.036  1.482 -0.025  1.543 -0.086  1.604 -0.148  1.665 -0.209
2#apa#apa09#app0982/  -1.519 0.759  -1.426 0.759  -1.333 0.759  -1.240 0.759  -1.147 0.759  -1.054 0.759  -0.961 0.759  -0.868 0.759  -0.775 0.759  -0.682 0.759  -0.589 0.759  -0.496 0.759  -0.403 0.759  -0.310 0.759  -0.217 0.759  -0.124 0.759  -0.031 0.759  0.000 0.697  0.000 0.604  0.000 0.511  0.000 0.418  0.000 0.325  0.000 0.232  0.000 0.139  0.000 0.046  0.000 -0.046  0.000 -0.139  0.000 -0.232  0.000 -0.325  0.000 -0.418  0.000 -0.511  0.000 -0.604  0.000 -0.697  0.031 -0.759  0.124 -0.759  0.217 -0.759  0.310 -0.759  0.403 -0.759  0.496 -0.759  0.589 -0.759  0.682 -0.759  0.775 -0.759  0.868 -0.759  0.961 -0.759  1.054 -0.759  1.147 -0.759  1.240 -0.759  1.333 -0.759  1.426 -0.759  1.519 -0.759
2#apa#apa09#app0982/_  -1.455 -0.170  -1.455 -0.097  -1.455 -0.024  -1.455 0.049  -1.455 0.121  -1.404 0.143  -1.331 0.143  -1.258 0.143  -1.185 0.143  -1.112 0.143  -1.039 0.143  -0.967 0.143  -0.894 0.143  -0.821 0.143  -0.748 0.143  -0.675 0.143  -0.602 0.143  -0.529 0.143  -0.460 0.125  -0.390 0.102  -0.321 0.079  -0.252 0.056  -0.183 0.033  -0.114 0.009  -0.045 -0.014  0.024 -0.037  0.093 -0.060  0.163 -0.083  0.232 -0.106  0.301 -0.129  0.370 -0.152  0.440 -0.170  0.513 -0.170  0.586 -0.170  0.658 -0.170  0.731 -0.170  0.804 -0.170  0.877 -0.170  0.950 -0.170  1.023 -0.170  1.091 -0.150  1.156 -0.117  1.221 -0.085  1.286 -0.052  1.352 -0.020  1.417 0.013  1.482 0.045  1.547 0.078  1.612 0.111  1.677 0.143
2#apa#apa09#app0982/+  -1.741 -0.159  -1.741 -0.014  -1.741 0.132  -1.675 0.117  -1.572 0.015  -1.470 -0.088  -1.354 -0.159  -1.208 -0.159  -1.063 -0.159  -0.918 -0.159  -0.772 -0.159  -0.627 -0.159  -0.482 -0.159  -0.336 -0.159  -0.191 -0.159  -0.046 -0.159  0.100 -0.159  0.245 -0.159  0.390 -0.159  0.536 -0.159  0.681 -0.159  0.826 -0.159  0.972 -0.159  1.117 -0.159  1.262 -0.159  1.408 -0.159  1.553 -0.159  1.667 -0.153  1.532 -0.099  1.398 -0.045  1.263 0.009  1.128 0.063  0.993 0.117  0.858 0.171  0.723 0.225  0.588 0.279  0.453 0.333  0.318 0.387  0.183 0.441  0.048 0.495  -0.091 0.526  -0.236 0.526  -0.372 0.516  -0.372 0.371  -0.372 0.225  -0.372 0.080  -0.372 -0.065  -0.372 -0.211  -0.372 -0.356  -0.372 -0.501
2#apa#apa09#app0982/=  -1.406 0.124  -1.406 0.295  -1.406 0.466  -1.383 0.614  -1.212 0.614  -1.041 0.614  -0.870 0.614  -0.699 0.614  -0.528 0.614  -0.357 0.614  -0.186 0.614  -0.015 0.614  0.156 0.614  0.327 0.614  0.498 0.614  0.669 0.614  0.840 0.614  1.011 0.614  1.044 0.476  1.044 0.305  1.044 0.134  1.205 0.124  1.376 0.124  1.521 0.121  1.354 0.088  1.186 0.054  1.018 0.021  0.851 -0.013  0.683 -0.046  0.515 -0.080  0.348 -0.113  0.180 -0.147  0.012 -0.180  -0.155 -0.214  -0.323 -0.248  -0.491 -0.281  -0.658 -0.315  -0.826 -0.348  -0.916 -0.445  -0.916 -0.616  -0.916 -0.787  -0.814 -0.856  -0.643 -0.856  -0.472 -0.856  -0.301 -0.856  -0.130 -0.856  0.041 -0.856  0.212 -0.856  0.383 -0.856  0.554 -0.856
2#apa#apa09#app0982/[  0.606 0.412  0.606 0.527  0.669 0.578  0.771 0.590  0.771 0.704  0.696 0.743  0.583 0.751  0.474 0.787  0.366 0.823  0.257 0.859  0.149 0.896  0.058 0.960  -0.023 1.041  -0.124 1.074  -0.238 1.074  -0.353 1.074  -0.388 1.154  -0.388 1.212  -0.388 1.097  -0.365 0.985  -0.338 0.874  -0.310 0.763  -0.282 0.652  -0.254 0.541  -0.227 0.430  -0.222 0.317  -0.222 0.202  -0.222 0.088  -0.222 -0.027  -0.222 -0.141  -0.222 -0.256  -0.222 -0.370  -0.222 -0.484  -0.222 -0.599  -0.222 -0.713  -0.222 -0.828  -0.222 -0.942  -0.222 -1.057  -0.222 -1.171  -0.264 -1.244  -0.378 -1.244  -0.283 -1.244  -0.171 -1.261  -0.062 -1.297  0.046 -1.333  0.155 -1.369  0.263 -1.405  0.377 -1.409  0.491 -1.409  0.606 -1.409
2#apa#apa09#app0982/]  -0.381 0.878  -0.450 0.947  -0.519 1.016  -0.587 1.084  -0.656 1.153  -0.678 1.175  -0.610 1.107  -0.541 1.038  -0.454 0.995  -0.368 0.951  -0.281 0.908  -0.191 0.878  -0.094 0.878  0.003 0.878  0.100 0.878  0.197 0.878  0.294 0.878  0.391 0.878  0.387 0.816  0.344 0.729  0.301 0.642  0.259 0.555  0.259 0.458  0.259 0.361  0.259 0.264  0.259 0.167  0.259 0.070  0.259 -0.027  0.259 -0.124  0.259 -0.221  0.259 -0.318  0.259 -0.415  0.259 -0.512  0.259 -0.609  0.259 -0.706  0.259 -0.803  0.259 -0.900  0.259 -0.997  0.259 -1.094  0.259 -1.191  0.259 -1.288  0.235 -1.362  0.138 -1.362  0.041 -1.362  -0.056 -1.362  -0.153 -1.362  -0.250 -1.362  -0.347 -1.362  -0.444 -1.362  -0.541 -1.362
2#apa#apa09#app0982/{  -0.062 1.275  0.044 1.275  0.150 1.275  0.256 1.275  0.362 1.275  0.468 1.275  0.574 1.275  0.664 1.260  0.664 1.154  0.589 1.079  0.508 1.012  0.417 0.957  0.326 0.903  0.235 0.848  0.144 0.794  0.053 0.739  -0.038 0.685  -0.117 0.615  -0.187 0.537  -0.221 0.437  -0.254 0.336  -0.288 0.236  -0.267 0.148  -0.192 0.073  -0.117 -0.002  -0.036 -0.069  0.058 -0.117  0.153 -0.164  0.180 -0.254  0.125 -0.326  0.030 -0.373  -0.064 -0.421  -0.159 -0.468  -0.254 -0.515  -0.354 -0.541  -0.441 -0.572  -0.488 -0.666  -0.536 -0.761  -0.510 -0.856  -0.463 -0.951  -0.409 -1.041  -0.334 -1.116  -0.259 -1.191  -0.184 -1.266  -0.109 -1.341  -0.034 -1.416  0.041 -1.491  0.116 -1.566  0.165 -1.630  0.059 -1.630
2#apa#apa09#app0982/}  -0.084 1.386  -0.170 1.471  -0.161 1.518  -0.045 1.499  0.063 1.445  0.171 1.391  0.279 1.337  0.387 1.283  0.443 1.197  0.411 1.090  0.325 1.004  0.240 0.919  0.148 0.843  0.040 0.789  -0.068 0.735  -0.176 0.681  -0.284 0.627  -0.348 0.546  -0.348 0.425  -0.324 0.319  -0.216 0.265  -0.109 0.211  -0.018 0.132  0.067 0.047  0.153 -0.038  0.143 -0.139  0.089 -0.247  0.018 -0.329  -0.102 -0.329  -0.216 -0.336  -0.216 -0.457  -0.134 -0.543  -0.034 -0.593  0.087 -0.593  0.208 -0.593  0.319 -0.608  0.373 -0.716  0.427 -0.824  0.443 -0.941  0.383 -1.029  0.282 -1.096  0.182 -1.163  0.081 -1.230  -0.031 -1.268  -0.149 -1.292  -0.268 -1.316  -0.386 -1.339  -0.505 -1.363  -0.623 -1.385  -0.744 -1.385
2#apa#apa09#app0982/\\  -1.097 0.802  -1.097 0.875  -1.097 0.947  -1.097 1.019  -1.073 1.032  -1.022 0.981  -0.971 0.930  -0.920 0.879  -0.869 0.828  -0.818 0.777  -0.766 0.726  -0.715 0.675  -0.664 0.624  -0.613 0.573  -0.562 0.521  -0.511 0.470  -0.460 0.419  -0.409 0.368  -0.358 0.317  -0.307 0.266  -0.256 0.215  -0.204 0.164  -0.153 0.113  -0.102 0.062  -0.051 0.011  -0.000 -0.041  0.051 -0.092  0.102 -0.143  0.153 -0.194  0.212 -0.234  0.277 -0.266  0.341 -0.299  0.406 -0.331  0.471 -0.363  0.535 -0.396  0.600 -0.428  0.664 -0.460  0.712 -0.512  0.752 -0.572  0.792 -0.632  0.832 -0.692  0.872 -0.753  0.912 -0.813  0.952 -0.873  0.993 -0.933  1.033 -0.993  1.073 -1.053  1.113 -1.113  1.153 -1.173  1.193 -1.234
2#apa#apa09#app0982/,  0.541 1.619  0.541 1.545  0.541 1.470  0.541 1.395  0.541 1.321  0.541 1.246  0.541 1.171  0.541 1.096  0.541 1.022  0.541 0.947  0.541 0.872  0.541 0.798  0.526 0.726  0.493 0.660  0.460 0.593  0.426 0.526  0.393 0.459  0.359 0.392  0.326 0.326  0.293 0.259  0.259 0.192  0.226 0.125  0.192 0.058  0.159 -0.009  0.125 -0.075  0.092 -0.142  0.059 -0.209  0.025 -0.276  -0.008 -0.343  -0.042 -0.409  -0.075 -0.476  -0.108 -0.543  -0.142 -0.610  -0.175 -0.677  -0.209 -0.744  -0.242 -0.810  -0.275 -0.877  -0.309 -0.944  -0.366 -0.973  -0.440 -0.973  -0.515 -0.973  -0.590 -0.973  -0.664 -0.973  -0.739 -0.973  -0.814 -0.973  -0.889 -0.973  -0.963 -0.973  -1.038 -0.973  -1.113 -0.973  -1.187 -0.973
2#apa#apa09#app0982/  0.586 0.900  0.639 0.953  0.692 1.006  0.744 1.058  0.797 1.111  0.849 1.163  0.845 1.147  0.804 1.085  0.763 1.023  0.722 0.961  0.680 0.900  0.639 0.838  0.598 0.776  0.557 0.714  0.516 0.652  0.474 0.590  0.433 0.529  0.392 0.467  0.351 0.405  0.309 0.343  0.264 0.284  0.217 0.226  0.171 0.168  0.124 0.110  0.078 0.052  0.032 -0.006  -0.015 -0.064  -0.061 -0.122  -0.108 -0.180  -0.154 -0.238  -0.201 -0.296  -0.247 -0.354  -0.293 -0.412  -0.340 -0.470  -0.386 -0.528  -0.433 -0.586  -0.479 -0.644  -0.526 -0.702  -0.572 -0.760  -0.618 -0.818  -0.665 -0.876  -0.711 -0.934  -0.758 -0.992  -0.804 -1.051  -0.853 -1.106  -0.906 -1.159  -0.958 -1.211  -1.011 -1.264  -1.063 -1.317  -1.116 -1.369
2#apa#apa09#app0982/?  -0.337 0.572  -0.383 0.665  -0.430 0.758  -0.476 0.851  -0.503 0.949  -0.503 1.053  -0.416 1.070  -0.311 1.070  -0.207 1.070  -0.103 1.070  0.001 1.069  0.100 1.036  0.198 1.003  0.297 0.970  0.396 0.937  0.494 0.903  0.552 0.817  0.610 0.730  0.668 0.643  0.726 0.557  0.783 0.470  0.807 0.387  0.734 0.313  0.660 0.239  0.586 0.166  0.513 0.092  0.439 0.019  0.365 -0.055  0.282 -0.115  0.189 -0.162  0.096 -0.209  0.003 -0.255  -0.090 -0.302  -0.184 -0.348  -0.277 -0.395  -0.337 -0.462  -0.337 -0.566  -0.337 -0.670  -0.337 -0.775  -0.337 -0.879  -0.337 -0.983  -0.337 -1.087  -0.337 -1.191  -0.337 -1.295  -0.337 -1.399  -0.337 -1.504  -0.337 -1.608  -0.337 -1.712  -0.399 -1.754  -0.503 -1.754
2#apa#apa09#app0982/'  0.235 -1.794  0.235 -1.711  0.235 -1.628  0.235 -1.545  0.235 -1.463  0.235 -1.380  0.235 -1.297  0.235 -1.214  0.235 -1.131  0.235 -1.049  0.235 -0.966  0.235 -0.883  0.235 -0.800  0.235 -0.717  0.235 -0.635  0.235 -0.552  0.235 -0.469  0.235 -0.386  0.235 -0.304  0.235 -0.221  0.235 -0.138  0.235 -0.055  0.235 0.028  0.235 0.110  0.235 0.193  0.235 0.276  0.235 0.359  0.235 0.442  0.235 0.524  0.235 0.607  0.235 0.690  0.235 0.773  0.235 0.855  0.207 0.911  0.124 0.911  0.041 0.911  -0.041 0.911  -0.124 0.911  -0.207 0.911  -0.290 0.911  -0.373 0.911  -0.455 0.911  -0.538 0.911  -0.621 0.911  -0.704 0.911  -0.786 0.911  -0.869 0.911  -0.952 0.911  -1.035 0.911  -1.118 0.911
2#apa#apa09#app0982/\"  -0.359 -0.084  -0.359 0.065  -0.359 0.214  -0.359 0.363  -0.359 0.511  -0.359 0.660  -0.367 0.802  -0.515 0.802  -0.664 0.802  -0.813 0.802  -0.962 0.802  -1.111 0.802  -1.230 0.802  -1.081 0.802  -0.932 0.802  -0.783 0.802  -0.634 0.802  -0.485 0.802  -0.359 0.779  -0.359 0.630  -0.359 0.481  -0.359 0.332  -0.359 0.184  -0.359 0.035  -0.359 -0.114  -0.359 -0.263  -0.359 -0.412  -0.359 -0.561  -0.359 -0.710  -0.359 -0.859  -0.325 -0.953  -0.192 -0.887  -0.059 -0.820  0.074 -0.753  0.207 -0.687  0.341 -0.620  0.474 -0.554  0.607 -0.487  0.740 -0.420  0.873 -0.354  1.006 -0.287  1.140 -0.221  1.273 -0.154  1.406 -0.088  1.413 -0.226  1.413 -0.374  1.413 -0.523  1.413 -0.672  1.413 -0.821  1.413 -0.970
2#apa#apa09#app0982/<  0.874 1.068  0.874 1.184  0.874 1.301  0.874 1.300  0.874 1.183  0.873 1.067  0.791 0.985  0.709 0.902  0.626 0.820  0.533 0.752  0.429 0.700  0.325 0.648  0.221 0.596  0.117 0.544  0.012 0.491  -0.092 0.439  -0.196 0.387  -0.300 0.335  -0.405 0.283  -0.509 0.231  -0.606 0.169  -0.689 0.087  -0.771 0.005  -0.854 -0.078  -0.962 -0.096  -1.079 -0.096  -1.163 -0.129  -1.163 -0.245  -1.163 -0.362  -1.076 -0.416  -0.965 -0.453  -0.855 -0.490  -0.744 -0.527  -0.634 -0.563  -0.523 -0.600  -0.413 -0.637  -0.302 -0.674  -0.186 -0.678  -0.070 -0.678  0.047 -0.678  0.163 -0.678  0.280 -0.678  0.391 -0.711  0.502 -0.748  0.612 -0.785  0.723 -0.822  0.833 -0.858  0.944 -0.895  1.054 -0.932  1.165 -0.969
2#apa#apa09#app0982/|  0.000 1.698  0.000 1.628  0.000 1.559  0.000 1.490  0.000 1.421  0.000 1.351  0.000 1.282  0.000 1.213  0.000 1.143  0.000 1.074  0.000 1.005  0.000 0.935  0.000 0.866  0.000 0.797  0.000 0.728  0.000 0.658  0.000 0.589  0.000 0.520  0.000 0.450  0.000 0.381  0.000 0.312  0.000 0.243  0.000 0.173  0.000 0.104  0.000 0.035  0.000 -0.035  0.000 -0.104  0.000 -0.173  0.000 -0.243  0.000 -0.312  0.000 -0.381  0.000 -0.450  0.000 -0.520  0.000 -0.589  0.000 -0.658  0.000 -0.728  0.000 -0.797  0.000 -0.866  0.000 -0.935  0.000 -1.005  0.000 -1.074  0.000 -1.143  0.000 -1.213  0.000 -1.282  0.000 -1.351  0.000 -1.421  0.000 -1.490  0.000 -1.559  0.000 -1.628  0.000 -1.698
2#apa#apa09#app0982/>  -1.226 0.281  -1.226 0.404  -1.226 0.527  -1.316 0.561  -1.439 0.561  -1.450 0.561  -1.327 0.561  -1.204 0.561  -1.081 0.561  -0.958 0.561  -0.839 0.534  -0.719 0.504  -0.600 0.474  -0.481 0.444  -0.362 0.414  -0.242 0.385  -0.123 0.355  -0.004 0.325  0.115 0.295  0.237 0.281  0.359 0.281  0.482 0.281  0.605 0.281  0.728 0.281  0.851 0.281  0.974 0.281  1.097 0.281  1.220 0.281  1.288 0.227  1.288 0.104  1.273 -0.013  1.186 -0.100  1.100 -0.187  1.013 -0.274  0.926 -0.361  0.839 -0.447  0.752 -0.534  0.638 -0.557  0.515 -0.557  0.392 -0.557  0.270 -0.557  0.151 -0.570  0.048 -0.638  -0.054 -0.707  -0.156 -0.775  -0.258 -0.843  -0.361 -0.911  -0.463 -0.979  -0.565 -1.047  -0.668 -1.116
