2#tos#t3#t3036066/\"  -0.509 1.011  -0.659 1.011  -0.809 1.011  -0.872 0.924  -0.872 0.774  -0.872 0.624  -0.872 0.474  -0.872 0.325  -0.872 0.175  -0.872 0.025  -0.872 -0.125  -0.872 -0.275  -0.872 -0.425  -0.872 -0.575  -0.872 -0.725  -0.872 -0.875  -0.848 -0.958  -0.754 -0.842  -0.659 -0.726  -0.564 -0.610  -0.469 -0.494  -0.374 -0.378  -0.279 -0.262  -0.184 -0.146  -0.089 -0.030  0.006 0.086  0.101 0.203  0.196 0.319  0.291 0.435  0.386 0.551  0.481 0.667  0.576 0.783  0.671 0.899  0.762 1.006  0.762 0.856  0.762 0.706  0.762 0.556  0.762 0.406  0.775 0.259  0.842 0.125  0.909 -0.009  0.944 -0.151  0.944 -0.301  0.944 -0.451  0.944 -0.601  0.944 -0.751  0.944 -0.900  0.944 -1.050  0.944 -1.200  0.944 -1.350
2#tos#t3#t3036066/?  -0.386 0.941  -0.471 0.877  -0.556 0.814  -0.640 0.750  -0.604 0.812  -0.578 0.893  -0.520 0.941  -0.425 0.966  -0.340 1.028  -0.244 1.069  -0.138 1.069  -0.032 1.069  0.074 1.069  0.180 1.069  0.276 1.027  0.377 1.005  0.448 0.970  0.448 0.864  0.448 0.758  0.448 0.652  0.448 0.546  0.396 0.492  0.384 0.398  0.377 0.299  0.319 0.250  0.293 0.171  0.255 0.103  0.255 -0.003  0.167 -0.021  0.126 -0.085  0.063 -0.129  0.063 -0.235  0.063 -0.341  0.063 -0.447  0.063 -0.552  0.063 -0.658  0.058 -0.764  0.045 -0.869  0.032 -0.974  0.019 -1.079  0.006 -1.185  -0.001 -1.290  -0.093 -1.304  -0.194 -1.310  -0.194 -1.416  -0.194 -1.522  -0.194 -1.627  -0.194 -1.733  -0.129 -1.731  -0.129 -1.625
2#tos#t3#t3036066/@  0.576 0.501  0.468 0.381  0.396 0.418  0.276 0.561  0.108 0.621  -0.120 0.621  -0.263 0.535  -0.337 0.381  -0.382 0.198  -0.331 0.022  -0.223 -0.098  -0.083 -0.187  -0.023 -0.355  0.157 -0.403  0.330 -0.457  0.494 -0.378  0.636 -0.261  0.641 -0.038  0.756 0.076  0.756 0.304  0.756 0.532  0.742 0.754  0.653 0.920  0.576 1.071  0.456 1.180  0.268 1.219  0.040 1.219  -0.188 1.219  -0.416 1.219  -0.525 1.100  -0.622 0.969  -0.622 0.741  -0.742 0.562  -0.802 0.348  -0.802 0.120  -0.802 -0.108  -0.802 -0.336  -0.802 -0.564  -0.766 -0.757  -0.718 -0.936  -0.610 -1.056  -0.561 -1.236  -0.333 -1.236  -0.225 -1.356  -0.022 -1.416  0.206 -1.416  0.434 -1.416  0.663 -1.416  0.799 -1.253  0.935 -1.116
2#tos#t3#t3036066/^  -1.025 -0.333  -1.150 -0.333  -1.275 -0.333  -1.361 -0.372  -1.361 -0.497  -1.361 -0.622  -1.282 -0.669  -1.157 -0.669  -1.032 -0.669  -0.942 -0.586  -0.913 -0.472  -0.844 -0.376  -0.756 -0.288  -0.689 -0.190  -0.658 -0.078  -0.567 0.002  -0.466 0.026  -0.466 0.151  -0.416 0.226  -0.354 0.289  -0.278 0.338  -0.242 0.427  -0.242 0.552  -0.160 0.644  -0.048 0.674  0.077 0.674  0.094 0.782  0.206 0.795  0.222 0.882  0.310 0.793  0.320 0.674  0.445 0.674  0.562 0.654  0.650 0.565  0.653 0.442  0.653 0.317  0.653 0.192  0.653 0.067  0.714 0.002  0.839 0.002  0.938 -0.059  0.989 -0.163  1.036 -0.268  1.101 -0.367  1.147 -0.445  1.272 -0.445  1.324 -0.518  1.324 -0.643  1.423 -0.669  1.436 -0.781
2#tos#t3#t3036066/_  -1.418 0.114  -1.418 0.042  -1.445 -0.003  -1.516 -0.003  -1.483 -0.003  -1.411 -0.003  -1.339 -0.003  -1.267 -0.003  -1.196 -0.003  -1.124 -0.003  -1.052 -0.003  -0.980 -0.003  -0.908 -0.003  -0.836 -0.003  -0.765 -0.003  -0.693 -0.003  -0.621 -0.003  -0.549 -0.003  -0.477 -0.003  -0.406 -0.003  -0.334 -0.003  -0.262 -0.003  -0.190 -0.003  -0.118 -0.003  -0.046 -0.003  0.025 -0.003  0.097 -0.003  0.169 -0.003  0.241 -0.003  0.313 -0.003  0.384 -0.003  0.456 -0.003  0.528 -0.003  0.600 -0.003  0.672 -0.003  0.744 -0.003  0.815 -0.003  0.887 -0.003  0.959 -0.003  1.031 -0.003  1.103 -0.003  1.175 -0.003  1.246 -0.003  1.318 -0.003  1.390 -0.003  1.462 -0.003  1.534 -0.003  1.605 -0.003  1.586 -0.003  1.515 -0.003
2#tos#t3#t3036066/`  -0.377 1.240  -0.443 1.174  -0.509 1.108  -0.575 1.042  -0.641 0.976  -0.707 0.910  -0.773 0.844  -0.839 0.778  -0.905 0.712  -0.971 0.646  -0.978 0.555  -0.978 0.462  -0.978 0.369  -0.915 0.339  -0.821 0.339  -0.728 0.339  -0.678 0.296  -0.678 0.202  -0.678 0.109  -0.655 0.038  -0.562 0.038  -0.468 0.038  -0.375 0.038  -0.281 0.038  -0.188 0.038  -0.095 0.038  -0.001 0.038  0.092 0.038  0.185 0.038  0.279 0.038  0.372 0.038  0.465 0.038  0.540 0.007  0.581 -0.076  0.623 -0.160  0.665 -0.243  0.707 -0.327  0.748 -0.410  0.790 -0.494  0.830 -0.578  0.859 -0.667  0.889 -0.755  0.918 -0.844  0.948 -0.933  0.977 -1.021  1.007 -1.110  1.036 -1.198  1.066 -1.287  1.095 -1.375  1.125 -1.464
2#tos#t3#t3036066/{  0.525 1.493  0.415 1.493  0.305 1.493  0.195 1.493  0.127 1.452  0.033 1.436  -0.027 1.356  -0.101 1.307  -0.112 1.208  -0.158 1.144  -0.158 1.034  -0.158 0.925  -0.101 0.872  -0.053 0.810  -0.013 0.722  0.029 0.640  0.070 0.570  0.070 0.461  0.070 0.351  0.070 0.241  0.046 0.137  -0.023 0.071  -0.067 -0.008  -0.144 -0.086  -0.248 -0.099  -0.349 -0.078  -0.326 -0.042  -0.217 -0.042  -0.158 -0.093  -0.101 -0.146  -0.044 -0.199  -0.044 -0.309  -0.044 -0.419  -0.075 -0.497  -0.101 -0.581  -0.101 -0.691  -0.101 -0.800  -0.101 -0.910  -0.101 -1.020  -0.158 -1.073  -0.158 -1.182  -0.102 -1.236  -0.044 -1.288  0.004 -1.350  0.090 -1.407  0.143 -1.464  0.252 -1.464  0.305 -1.407  0.415 -1.407  0.525 -1.407
2#tos#t3#t3036066/~  -1.297 -0.189  -1.392 -0.189  -1.476 -0.200  -1.461 -0.279  -1.372 -0.264  -1.305 -0.197  -1.297 -0.106  -1.297 -0.011  -1.213 0.031  -1.129 0.074  -1.035 0.079  -0.989 0.158  -0.947 0.243  -0.862 0.258  -0.767 0.258  -0.673 0.258  -0.667 0.348  -0.573 0.348  -0.478 0.348  -0.383 0.348  -0.289 0.348  -0.194 0.348  -0.099 0.348  -0.044 0.308  0.000 0.258  0.095 0.258  0.159 0.209  0.202 0.124  0.244 0.039  0.286 -0.045  0.347 -0.100  0.403 -0.139  0.447 -0.189  0.542 -0.189  0.636 -0.189  0.725 -0.216  0.809 -0.258  0.894 -0.301  0.979 -0.343  1.029 -0.331  1.072 -0.279  1.167 -0.279  1.262 -0.279  1.356 -0.279  1.387 -0.215  1.387 -0.121  1.387 -0.026  1.387 0.069  1.472 0.079  1.566 0.079
2#tos#t3#t3036066/1  0.100 1.542  0.026 1.542  -0.048 1.542  -0.105 1.524  -0.105 1.450  -0.105 1.376  -0.105 1.302  -0.105 1.228  -0.105 1.153  -0.105 1.079  -0.105 1.005  -0.105 0.931  -0.105 0.857  -0.105 0.782  -0.105 0.708  -0.105 0.634  -0.105 0.560  -0.105 0.486  -0.104 0.412  -0.030 0.412  -0.002 0.366  -0.002 0.291  -0.002 0.217  -0.002 0.143  -0.002 0.069  -0.002 -0.005  -0.002 -0.080  -0.002 -0.154  -0.002 -0.228  -0.002 -0.302  -0.002 -0.376  -0.002 -0.451  -0.002 -0.525  -0.002 -0.599  0.039 -0.656  0.092 -0.708  0.100 -0.779  0.100 -0.853  0.100 -0.927  0.100 -1.002  0.100 -1.076  0.100 -1.150  0.100 -1.224  0.100 -1.298  0.100 -1.373  0.100 -1.447  0.100 -1.521  0.100 -1.595  0.129 -1.641  0.203 -1.641
2#tos#t3#t3036066/2  -0.359 0.943  -0.452 0.887  -0.583 0.905  -0.583 1.054  -0.471 1.091  -0.419 1.218  -0.303 1.254  -0.179 1.279  -0.030 1.279  0.119 1.279  0.201 1.212  0.249 1.111  0.369 1.082  0.425 0.956  0.425 0.807  0.425 0.658  0.425 0.509  0.403 0.383  0.310 0.327  0.183 0.291  0.089 0.207  -0.012 0.159  -0.049 0.047  -0.185 -0.007  -0.247 -0.096  -0.359 -0.133  -0.415 -0.259  -0.515 -0.334  -0.583 -0.422  -0.640 -0.513  -0.695 -0.608  -0.714 -0.737  -0.751 -0.849  -0.807 -0.943  -0.690 -0.905  -0.541 -0.905  -0.448 -0.849  -0.299 -0.849  -0.150 -0.849  -0.001 -0.849  0.148 -0.849  0.297 -0.849  0.446 -0.849  0.595 -0.849  0.744 -0.849  0.893 -0.849  0.986 -0.905  1.135 -0.905  1.228 -0.961  1.377 -0.961
2#tos#t3#t3036066/5  0.049 1.112  -0.073 1.051  -0.073 0.869  -0.073 0.686  -0.073 0.504  -0.073 0.321  -0.195 0.214  -0.195 0.031  -0.195 -0.151  -0.256 -0.273  -0.156 -0.355  0.026 -0.355  0.144 -0.433  0.294 -0.500  0.355 -0.621  0.416 -0.742  0.416 -0.925  0.355 -1.082  0.301 -1.211  0.213 -1.353  0.073 -1.456  -0.109 -1.456  -0.292 -1.456  -0.474 -1.456  -0.568 -1.327  -0.673 -1.230  -0.625 -1.054  -0.578 -0.877  -0.531 -0.701  -0.484 -0.525  -0.436 -0.348  -0.389 -0.172  -0.342 0.004  -0.294 0.181  -0.247 0.357  -0.200 0.533  -0.152 0.710  -0.105 0.886  -0.058 1.062  -0.017 1.234  -0.162 1.144  -0.120 1.050  0.063 1.050  0.245 1.050  0.427 1.048  0.604 1.003  0.785 0.989  0.968 0.989  1.150 0.989  1.333 0.989
2#tos#t3#t3036066/7  -0.261 0.720  -0.401 0.720  -0.525 0.706  -0.525 0.566  -0.525 0.426  -0.542 0.291  -0.591 0.163  -0.591 0.023  -0.516 0.036  -0.487 0.173  -0.458 0.309  -0.428 0.446  -0.399 0.582  -0.370 0.719  -0.341 0.855  -0.402 0.919  -0.541 0.919  -0.568 0.853  -0.428 0.853  -0.289 0.853  -0.149 0.853  -0.010 0.853  0.130 0.853  0.270 0.853  0.407 0.846  0.521 0.787  0.661 0.787  0.664 0.650  0.664 0.511  0.604 0.396  0.557 0.266  0.532 0.130  0.532 -0.010  0.464 -0.107  0.400 -0.207  0.400 -0.347  0.400 -0.486  0.400 -0.626  0.334 -0.738  0.326 -0.874  0.227 -0.973  0.202 -1.102  0.152 -1.230  0.136 -1.366  0.136 -1.505  0.136 -1.645  0.082 -1.752  0.003 -1.842  0.003 -1.982  0.003 -2.122
2#tos#t3#t3036066/8  0.640 0.914  0.448 0.914  0.396 1.054  0.290 1.193  0.168 1.263  0.046 1.333  -0.117 1.403  -0.308 1.403  -0.500 1.403  -0.618 1.329  -0.618 1.138  -0.570 0.957  -0.475 0.844  -0.409 0.718  -0.339 0.596  -0.196 0.492  -0.059 0.398  0.011 0.276  0.124 0.172  0.165 0.005  0.290 -0.061  0.360 -0.183  0.461 -0.275  0.500 -0.427  0.500 -0.619  0.609 -0.773  0.640 -0.957  0.604 -1.113  0.552 -1.253  0.375 -1.316  0.185 -1.323  0.022 -1.393  -0.141 -1.463  -0.333 -1.463  -0.439 -1.323  -0.614 -1.255  -0.618 -1.066  -0.618 -0.874  -0.618 -0.682  -0.559 -0.504  -0.449 -0.414  -0.398 -0.269  -0.235 -0.171  -0.059 -0.134  -0.022 0.042  0.086 0.145  0.261 0.186  0.396 0.287  0.547 0.355  0.640 0.494
2#tos#t3#t3036066/A  -0.830 -1.214  -0.985 -1.289  -0.981 -1.205  -0.908 -0.992  -0.830 -0.794  -0.809 -0.570  -0.755 -0.353  -0.695 -0.133  -0.579 0.016  -0.530 0.240  -0.503 0.453  -0.338 0.597  -0.154 0.668  -0.154 0.898  -0.079 1.097  0.023 1.245  0.071 1.463  0.071 1.693  0.146 1.585  0.297 1.462  0.297 1.232  0.372 1.077  0.372 0.848  0.468 0.698  0.522 0.481  0.597 0.283  0.597 0.053  0.608 -0.172  0.747 -0.344  0.773 -0.563  0.822 -0.773  0.898 -0.927  0.973 -1.082  1.042 -1.144  0.872 -1.004  0.689 -0.865  0.506 -0.726  0.323 -0.587  0.141 -0.447  -0.042 -0.308  -0.225 -0.169  -0.407 -0.030  -0.606 0.064  -0.755 -0.017  -0.746 -0.087  -0.516 -0.087  -0.286 -0.087  -0.057 -0.087  0.173 -0.087  0.372 -0.012
2#tos#t3#t3036066/F  -0.262 0.893  -0.402 0.827  -0.573 0.827  -0.368 0.827  -0.162 0.827  0.043 0.827  0.183 0.893  0.388 0.893  0.593 0.893  0.799 0.893  1.004 0.893  1.210 0.893  1.343 0.893  1.139 0.871  0.938 0.831  0.737 0.790  0.535 0.750  0.334 0.710  0.132 0.670  -0.069 0.629  -0.270 0.589  -0.438 0.498  -0.525 0.319  -0.525 0.113  -0.459 -0.026  -0.459 -0.232  -0.459 -0.437  -0.459 -0.643  -0.459 -0.848  -0.590 -0.972  -0.590 -1.178  -0.590 -1.383  -0.590 -1.588  -0.642 -1.608  -0.594 -1.408  -0.547 -1.208  -0.499 -1.008  -0.451 -0.808  -0.404 -0.609  -0.356 -0.409  -0.410 -0.289  -0.500 -0.354  -0.294 -0.354  -0.089 -0.354  0.117 -0.354  0.322 -0.354  0.527 -0.354  0.730 -0.362  0.911 -0.420  1.051 -0.486
2#tos#t3#t3036066/H  -0.795 0.938  -0.975 0.924  -0.961 0.811  -0.961 0.626  -0.961 0.440  -0.961 0.255  -0.961 0.069  -0.935 -0.110  -0.906 -0.288  -0.906 -0.474  -0.906 -0.659  -0.906 -0.845  -0.906 -1.030  -0.855 -1.165  -0.801 -0.995  -0.728 -0.825  -0.655 -0.654  -0.582 -0.484  -0.509 -0.313  -0.436 -0.143  -0.363 0.028  -0.500 0.006  -0.409 0.052  -0.223 0.052  -0.038 0.052  0.148 0.052  0.333 0.052  0.509 0.009  0.691 -0.003  0.717 0.173  0.743 0.356  0.769 0.540  0.795 0.723  0.822 0.907  0.848 1.091  0.810 1.209  0.755 1.079  0.755 0.894  0.755 0.708  0.755 0.523  0.755 0.338  0.755 0.152  0.755 -0.033  0.810 -0.163  0.810 -0.349  0.810 -0.534  0.810 -0.720  0.810 -0.905  0.810 -1.091  0.810 -1.276
2#tos#t3#t3036066/I  -0.214 1.229  -0.326 1.229  -0.388 1.178  -0.493 1.171  -0.428 1.113  -0.315 1.113  -0.203 1.113  -0.090 1.113  0.022 1.113  0.135 1.113  0.247 1.113  0.360 1.113  0.472 1.113  0.391 1.075  0.287 1.034  0.182 0.996  0.088 0.949  0.019 0.866  0.019 0.753  0.019 0.641  0.019 0.528  0.019 0.416  0.019 0.303  0.019 0.191  0.019 0.079  0.019 -0.034  0.019 -0.146  0.019 -0.259  0.019 -0.371  0.019 -0.484  0.019 -0.596  0.019 -0.709  0.019 -0.821  0.019 -0.934  0.019 -1.046  0.016 -1.155  -0.093 -1.127  -0.202 -1.100  -0.314 -1.097  -0.330 -1.194  -0.388 -1.179  -0.299 -1.155  -0.187 -1.155  -0.074 -1.155  0.038 -1.155  0.151 -1.155  0.263 -1.155  0.376 -1.155  0.488 -1.155  0.484 -1.155
2#tos#t3#t3036066/J  -0.328 1.075  -0.428 1.065  -0.448 0.975  -0.397 0.975  -0.337 1.025  -0.227 1.025  -0.116 1.025  -0.006 1.025  0.105 1.025  0.206 1.066  0.314 1.075  0.414 1.120  0.523 1.126  0.569 1.169  0.497 1.085  0.425 1.001  0.353 0.917  0.281 0.833  0.225 0.775  0.224 0.665  0.224 0.555  0.224 0.445  0.224 0.334  0.224 0.224  0.224 0.113  0.224 0.003  0.224 -0.108  0.224 -0.218  0.224 -0.329  0.224 -0.439  0.224 -0.550  0.224 -0.660  0.224 -0.771  0.222 -0.879  0.173 -0.941  0.123 -1.031  0.080 -1.124  0.023 -1.181  -0.038 -1.234  -0.142 -1.269  -0.201 -1.331  -0.311 -1.331  -0.378 -1.287  -0.461 -1.230  -0.528 -1.187  -0.566 -1.092  -0.662 -1.038  -0.679 -0.938  -0.679 -0.828  -0.729 -0.729
